Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Luxilus_coccogenis,50,4.4508,4.9103,500,0.9974,6,5.2358,0.9987,0.0005,10050,0.4736,0.9528,0.4627,0.7670,0.3319,2.9951,0.5813,1.5258,2.6282,0.0306,31.3193,0.4565,2.9524,0.5491,0.5557,0.7705,0.3144,0.0000,0.7841,9.3264,1.4838,0.0066,0.0988,0.2811,0.0000,2.9243,0.5650,0.0000,36.8379,0.0252,0.0000,4.8020,0.0055,1.0000,0.0027,0.0732,0.0000,0.0000,1.543E-7,5.0000,0.0312,0.0200,0.0000,0.0000,6.4E-11,10.0000,0.1017,0.0102,0.0000,0.0000,1.159E-12,18.1549,0.3311,0.0059,0.0000,0.0000,4.094E-14,22.2652,0.4439,0.0052,0.1000,0.0000,1.919E-14,18.1549,0.3311,0.0059,0.0000,0.0000,4.094E-14,18.1549,0.3311,0.0059,0.0000,0.0000,4.094E-14,46.8929,0.6311,0.0028,0.4200,0.0000,4.677E-16,46.8929,0.6311,0.0028,0.4200,0.0000,4.677E-16,1.5956,0.0048,0.0533,0.0000,0.0000,2.301E-8,8.5060,0.0819,0.0120,0.0000,0.0000,3.046E-12
Luxilus_coccogenis,50,4.5082,4.9562,500,0.9974,6,4.0767,0.9946,0.0016,10050,1.3076,0.6296,2.7364,0.0772,0.0057,3.6244,0.2267,0.8247,1.0198,1.4151,23.9557,0.2561,4.3059,0.9027,0.5014,1.0348,0.9350,0.0000,0.9266,8.3055,1.9914,0.0000,0.1642,0.8518,0.0000,3.3752,0.3536,0.0000,40.2578,0.0150,0.0000,4.7334,0.0051,1.0000,0.0028,0.0664,0.0000,0.0000,8.546E-8,5.0000,0.0312,0.0181,0.0000,0.0000,3.527E-11,10.0000,0.1106,0.0091,0.0000,0.1667,3.624E-10,14.1583,0.2288,0.0065,0.0000,0.3333,2.598E-8,23.9575,0.4648,0.0047,0.1000,0.5000,2.024E-6,14.1583,0.2288,0.0065,0.0000,0.3333,2.598E-8,14.1583,0.2288,0.0065,0.0000,0.3333,2.598E-8,7.0380,0.0585,0.0129,0.0000,0.0000,4.685E-12,7.0380,0.0585,0.0129,0.0000,0.0000,4.685E-12,1.4968,0.0045,0.0504,0.0000,0.0000,1.648E-8,8.1253,0.0708,0.0112,0.0000,0.1667,1.068E-9
Luxilus_coccogenis,50,4.5083,4.9163,500,0.9973,6,3.9946,0.9939,0.0028,10050,1.1095,1.6453,0.8561,0.2418,0.0669,4.7835,0.1560,2.5556,1.1139,0.2705,28.0669,0.2700,3.9970,0.4809,1.7607,1.0728,0.5712,0.0000,0.2268,8.9723,1.0032,0.0121,0.0039,0.4780,0.0000,1.4128,0.7117,0.0000,38.1215,0.0392,0.0000,4.7251,0.0051,1.0000,0.0027,0.0583,0.0000,0.0000,3.93E-8,5.0000,0.0398,0.0162,0.0000,0.1667,6.643E-9,10.0000,0.1337,0.0092,0.0000,0.1667,3.828E-10,14.5396,0.2210,0.0068,0.0000,0.1667,8.461E-11,23.3728,0.4257,0.0048,0.1000,0.5000,2.156E-6,14.5396,0.2210,0.0068,0.0000,0.1667,8.461E-11,14.5396,0.2210,0.0068,0.0000,0.1667,8.461E-11,3.7524,0.0250,0.0204,0.0000,0.0000,7.203E-11,3.7524,0.0250,0.0204,0.0000,0.0000,7.203E-11,1.4060,0.0045,0.0453,0.0000,0.0000,8.611E-9,7.8940,0.0925,0.0111,0.0000,0.1667,1.022E-9
Luxilus_coccogenis,50,4.5386,4.9889,500,0.9974,6,3.5456,0.9914,0.0036,10050,2.6449,0.6392,1.1536,0.8176,0.0412,6.4651,0.5222,11.2996,3.9325,0.0043,37.6542,0.1719,7.9312,0.4156,0.4572,0.6616,0.8237,0.0000,0.7788,7.1059,0.5137,0.0224,0.0583,0.0927,0.0000,1.1836,0.5238,0.0000,13.9142,0.1708,0.0000,4.7107,0.0050,1.0000,0.0026,0.0650,0.0000,0.0000,7.525E-8,5.0000,0.0320,0.0177,0.0000,0.1667,1.03E-8,10.0000,0.1085,0.0090,0.0000,0.3333,9.509E-8,16.1729,0.3403,0.0058,0.0000,0.3333,1.649E-8,23.6751,0.4678,0.0046,0.1000,0.5000,1.898E-6,16.1729,0.3403,0.0058,0.0000,0.3333,1.649E-8,16.1729,0.3403,0.0058,0.0000,0.3333,1.649E-8,3.2726,0.0146,0.0261,0.0000,0.0000,3.139E-10,3.2726,0.0146,0.0261,0.0000,0.0000,3.139E-10,1.4540,0.0044,0.0502,0.0000,0.0000,1.61E-8,8.1612,0.0776,0.0110,0.0000,0.3333,2.193E-7
Luxilus_coccogenis,50,4.5166,4.9393,500,0.9974,6,3.8129,0.9891,0.0073,10050,1.0079,1.1248,0.2124,0.8276,1.5746,3.3974,0.0042,1.3428,2.5229,0.0000,33.4702,0.6155,6.8975,0.2071,0.1685,0.9210,1.4569,0.0000,0.9944,10.1350,0.5947,0.0036,0.0322,0.3381,0.0000,3.1605,0.3639,0.0000,28.5797,0.0253,0.0211,4.7349,0.0051,1.0000,0.0029,0.0625,0.0000,0.0000,5.953E-8,5.0000,0.0337,0.0178,0.0000,0.1667,1.059E-8,10.0000,0.1175,0.0092,0.0000,0.1667,3.828E-10,16.4742,0.2895,0.0059,0.0000,0.3333,1.765E-8,22.7498,0.4837,0.0048,0.1000,0.3333,7.746E-9,16.4742,0.2895,0.0059,0.0000,0.3333,1.765E-8,16.4742,0.2895,0.0059,0.0000,0.3333,1.765E-8,1.3753,0.0044,0.0508,0.0000,0.0000,1.728E-8,1.3753,0.0044,0.0508,0.0000,0.0000,1.728E-8,1.3753,0.0044,0.0508,0.0000,0.0000,1.728E-8,8.0703,0.0861,0.0112,0.0000,0.1667,1.068E-9
Luxilus_coccogenis,51,4.4690,4.9108,500,0.9973,5,4.7133,0.9970,0.0012,10051,0.9427,0.3982,1.7156,0.1153,0.0451,4.3594,0.0663,0.5577,2.3227,0.0000,28.8636,0.4003,3.2074,0.4680,1.2084,0.8885,0.3756,0.0000,0.6625,5.8454,2.4953,0.0054,0.1668,0.2454,0.0000,2.1447,0.4024,0.0000,42.0793,0.0153,0.0027,4.7968,0.0054,1.0000,0.0026,0.0753,0.0000,0.0000,2.423E-6,5.0000,0.0292,0.0202,0.0000,0.0000,3.361E-9,10.0000,0.1053,0.0101,0.0000,0.0000,1.076E-10,16.7241,0.2806,0.0062,0.0000,0.2000,7.204E-9,22.6530,0.4649,0.0051,0.0980,0.2000,3.301E-9,16.7241,0.2806,0.0062,0.0000,0.2000,7.204E-9,16.7241,0.2806,0.0062,0.0000,0.2000,7.204E-9,13.0983,0.1739,0.0078,0.0000,0.0000,2.815E-11,13.0983,0.1739,0.0078,0.0000,0.0000,2.815E-11,1.6278,0.0048,0.0541,0.0000,0.0000,4.645E-7,8.4684,0.0799,0.0120,0.0000,0.0000,2.529E-10
Luxilus_coccogenis,51,4.5073,4.9254,500,0.9973,5,3.8107,0.9932,0.0031,10051,1.1153,0.7646,3.1341,0.0094,0.0001,4.1402,0.5136,2.2879,2.7953,0.0000,30.2415,0.4241,3.8929,0.3270,0.1123,1.0321,0.6238,0.0000,1.1300,8.7676,1.2644,0.0284,0.0568,0.2320,0.0000,0.1612,0.7163,0.0000,36.1895,0.0000,0.0396,4.7341,0.0051,1.0000,0.0027,0.0597,0.0000,0.0000,7.581E-7,5.0000,0.0391,0.0166,0.0000,0.2000,3.76E-7,10.0000,0.1264,0.0091,0.0000,0.2000,3.335E-8,15.0738,0.2453,0.0063,0.0000,0.4000,2.44E-6,21.8152,0.4577,0.0050,0.0980,0.4000,1.222E-6,15.0738,0.2453,0.0063,0.0000,0.4000,2.44E-6,15.0738,0.2453,0.0063,0.0000,0.4000,2.44E-6,3.9683,0.0269,0.0200,0.0000,0.0000,3.198E-9,3.9683,0.0269,0.0200,0.0000,0.0000,3.198E-9,1.3790,0.0045,0.0475,0.0000,0.0000,2.407E-7,7.8937,0.0788,0.0112,0.0000,0.2000,7.916E-8
Luxilus_coccogenis,50,4.4922,4.9339,500,0.9974,6,3.8506,0.9944,0.0012,10050,2.6262,0.8153,1.0672,0.1323,2.0784,7.7006,0.3701,12.1178,2.8942,0.8162,40.1044,0.4272,6.9447,0.4286,0.2453,1.0936,0.7334,0.0000,0.0558,0.8903,4.5685,0.0000,0.0612,0.2625,0.0000,0.6642,0.9287,0.0000,11.9700,0.0000,0.0031,4.7438,0.0052,1.0000,0.0026,0.0696,0.0000,0.0000,1.132E-7,5.0000,0.0297,0.0191,0.0000,0.0000,4.862E-11,10.0000,0.1121,0.0095,0.0000,0.1667,4.493E-10,12.0923,0.1667,0.0080,0.0000,0.3333,5.946E-8,23.2192,0.4412,0.0047,0.1000,0.6667,3.24E-4,12.0923,0.1667,0.0080,0.0000,0.3333,5.946E-8,12.0923,0.1667,0.0080,0.0000,0.3333,5.946E-8,9.9911,0.1092,0.0095,0.0000,0.0000,7.134E-13,9.9911,0.1092,0.0095,0.0000,0.0000,7.134E-13,1.5417,0.0045,0.0520,0.0000,0.0000,1.986E-8,8.4506,0.0726,0.0113,0.0000,0.0000,2.13E-12
Luxilus_coccogenis,51,4.4648,4.9230,500,0.9973,5,4.7458,0.9971,0.0011,10051,0.9535,0.4252,1.3620,0.5674,0.0920,3.6338,0.0091,1.6241,3.6616,0.0000,34.7780,0.5086,7.4963,0.5152,0.2926,1.0023,0.9503,0.0000,0.7022,7.4135,2.6008,0.0993,0.0810,0.2397,0.0000,2.2873,0.6921,0.0000,27.9776,0.0346,0.0000,4.7768,0.0053,1.0000,0.0027,0.0691,0.0000,0.0000,1.581E-6,5.0000,0.0332,0.0192,0.0000,0.0000,2.611E-9,10.0000,0.1068,0.0097,0.0000,0.0000,8.372E-11,17.3008,0.2792,0.0060,0.0000,0.0000,7.581E-12,22.8438,0.4527,0.0050,0.0980,0.4000,1.222E-6,17.3008,0.2792,0.0060,0.0000,0.0000,7.581E-12,17.3008,0.2792,0.0060,0.0000,0.0000,7.581E-12,19.4407,0.3703,0.0055,0.0588,0.0000,4.906E-12,19.4407,0.3703,0.0055,0.0588,0.0000,4.906E-12,1.5114,0.0047,0.0519,0.0000,0.0000,3.778E-7,8.2787,0.0699,0.0117,0.0000,0.0000,2.23E-10
Luxilus_coccogenis,51,4.5253,4.9469,500,0.9973,5,3.4083,0.9903,0.0047,10051,2.0517,0.1158,1.4147,0.8187,0.0023,2.7078,0.4102,1.7574,0.6201,0.4482,27.0188,0.7256,2.9449,0.7014,0.3154,1.0984,0.1065,0.0000,0.7708,8.8599,1.7594,0.0094,0.0542,0.3295,0.0000,3.7461,0.8697,0.0000,40.3026,0.0403,0.0000,4.7108,0.0050,1.0000,0.0029,0.0574,0.0000,0.0000,6.235E-7,5.0000,0.0377,0.0158,0.0000,0.2000,3.092E-7,10.0000,0.1370,0.0086,0.0000,0.4000,6.184E-6,16.8385,0.3453,0.0057,0.0000,0.4000,1.808E-6,24.0166,0.4961,0.0048,0.0980,0.4000,1.081E-6,16.8385,0.3453,0.0057,0.0000,0.4000,1.808E-6,16.8385,0.3453,0.0057,0.0000,0.4000,1.808E-6,2.6341,0.0127,0.0278,0.0000,0.0000,1.648E-8,2.6341,0.0127,0.0278,0.0000,0.0000,1.648E-8,1.3230,0.0044,0.0474,0.0000,0.0000,2.382E-7,7.4448,0.0793,0.0110,0.0000,0.4000,1.325E-5
