Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Lyonia_ligustrina,65,2.2479,2.9847,500,0.9753,8,1.8355,0.8765,0.0565,10065,3.4277,0.8211,0.6776,0.3773,4.7510,11.6764,9.4578,7.4488,1.9082,1.6206,1.0446,2.4729,20.5706,8.9812,0.9593,0.9923,0.2757,0.3867,0.5172,0.0090,18.1042,1.1467,0.0447,0.0000,0.1524,0.0067,0.2779,0.0891,1.4856,0.3168,0.0000,6.9920,0.0518,1.0000,0.0072,0.5184,0.0000,0.0000,5.218E-3,5.0000,0.0341,0.2674,0.0154,0.1250,5.985E-4,10.0000,0.0744,0.1667,0.0308,0.3750,4.615E-3,4.0772,0.0273,0.2992,0.0000,0.1250,1.266E-3,25.7630,0.2448,0.0585,0.0923,0.5000,6.781E-4,21.1792,0.1850,0.0769,0.0769,0.3750,1.235E-4,24.4654,0.2260,0.0632,0.0769,0.5000,9.075E-4,5.6030,0.0381,0.2500,0.0154,0.2500,4.224E-3,5.1352,0.0348,0.2633,0.0154,0.1250,5.4E-4,4.0772,0.0273,0.2992,0.0000,0.1250,1.266E-3,15.9119,0.1273,0.1080,0.0615,0.3750,6.205E-4
Lyonia_ligustrina,66,2.2427,2.9741,500,0.9763,7,1.6745,0.9117,0.0561,10066,5.8095,2.1209,1.9373,0.0088,3.7236,9.5494,7.5169,4.6675,0.4654,6.7746,0.0887,2.4059,26.5959,9.6196,1.7583,0.9358,0.8463,1.0195,0.5012,0.0471,9.6464,0.8072,0.4370,0.0000,0.0000,0.1650,0.1138,0.0161,2.2250,0.1974,0.0000,6.9948,0.0525,1.0000,0.0071,0.5552,0.0000,0.0000,1.627E-2,5.0000,0.0317,0.2959,0.0000,0.1429,3.51E-3,10.0000,0.0671,0.1855,0.0303,0.1429,2.397E-4,7.5296,0.0488,0.2295,0.0000,0.1429,8.213E-4,23.3043,0.1900,0.0751,0.0909,0.2857,4.41E-5,21.5225,0.1715,0.0838,0.0909,0.2857,7.53E-5,17.6166,0.1340,0.1076,0.0455,0.2857,2.51E-4,13.4475,0.0955,0.1429,0.0455,0.1429,5.221E-5,16.5213,0.1239,0.1156,0.0455,0.1429,1.508E-5,6.4822,0.0415,0.2536,0.0000,0.1429,1.458E-3,17.5317,0.1333,0.1083,0.0455,0.2857,2.588E-4
Lyonia_ligustrina,65,2.2185,2.9439,500,0.9727,8,1.4682,0.8394,0.0794,10065,3.0381,1.1321,0.2339,0.9860,4.7412,10.9457,8.5647,7.1386,1.6727,7.1536,0.8737,1.8733,22.1602,10.9852,0.1360,0.5852,1.6292,0.3599,1.1606,0.0000,11.9346,0.1136,0.1950,0.0000,0.2600,0.4895,0.2684,0.0000,1.3439,0.0250,0.0000,7.0276,0.0543,1.0000,0.0078,0.5319,0.0000,0.1250,5.154E-2,5.0000,0.0344,0.2843,0.0154,0.2500,8.468E-3,10.0000,0.0745,0.1806,0.0308,0.2500,6.951E-4,3.5452,0.0249,0.3382,0.0000,0.2500,2.12E-2,22.6047,0.1889,0.0800,0.0923,0.3750,1.491E-4,20.2071,0.1686,0.0923,0.0923,0.3750,2.952E-4,29.0992,0.2666,0.0546,0.1077,0.5000,5.222E-4,6.2386,0.0437,0.2500,0.0154,0.2500,4.224E-3,16.6739,0.1362,0.1143,0.0615,0.2500,5.07E-5,3.5452,0.0249,0.3382,0.0000,0.2500,2.12E-2,17.0072,0.1397,0.1120,0.0615,0.3750,7.354E-4
Lyonia_ligustrina,66,2.2089,2.9475,500,0.9765,7,1.6584,0.8851,0.0683,10066,3.4069,3.6673,0.9002,0.9948,3.4290,10.5529,7.9903,5.7512,1.6340,6.5388,0.4590,2.2028,26.0348,9.8665,0.2226,1.0603,0.5840,0.5314,0.6020,0.5846,10.0988,0.3770,0.0515,0.0000,0.1115,0.7956,0.0868,0.0000,1.2332,0.0718,0.1603,7.0335,0.0546,1.0000,0.0077,0.5462,0.0000,0.0000,1.45E-2,5.0000,0.0335,0.2919,0.0000,0.1429,3.245E-3,10.0000,0.0716,0.1843,0.0303,0.2857,3.201E-3,6.2622,0.0421,0.2557,0.0000,0.1429,1.528E-3,22.9297,0.1910,0.0773,0.0909,0.2857,5.071E-5,22.4564,0.1870,0.0797,0.0758,0.2857,5.878E-5,20.8930,0.1715,0.0877,0.0455,0.2857,9.373E-5,6.4594,0.0435,0.2508,0.0152,0.2857,1.307E-2,44.8152,0.4731,0.0223,0.2727,0.2857,1.104E-7,6.2622,0.0421,0.2557,0.0000,0.1429,1.528E-3,16.9280,0.1333,0.1126,0.0455,0.2857,3.117E-4
Lyonia_ligustrina,65,2.3031,3.0589,500,0.9727,8,0.2994,0.8399,0.0549,10065,3.3967,1.7323,3.0907,0.0747,2.1395,9.1693,12.1891,4.6886,1.4670,8.1656,1.0519,2.2614,27.1654,10.8983,0.3945,1.0452,0.4532,0.4835,1.0825,0.3439,4.8503,0.0587,0.0342,0.0000,0.1193,1.1085,0.1515,0.0646,2.1528,0.0000,0.1667,6.9386,0.0495,1.0000,0.0072,0.5274,0.0000,0.0000,5.983E-3,5.0000,0.0325,0.2804,0.0154,0.2500,7.866E-3,10.0000,0.0665,0.1774,0.0615,0.3750,6.112E-3,2.4227,0.0155,0.3929,0.0000,0.1250,7.593E-3,28.7940,0.2491,0.0505,0.0923,0.6250,5.943E-3,22.0862,0.1737,0.0769,0.0769,0.5000,1.901E-3,28.6976,0.2473,0.0508,0.0769,0.6250,6.042E-3,6.1203,0.0404,0.2500,0.0154,0.2500,4.224E-3,4.4578,0.0286,0.2980,0.0154,0.1250,1.233E-3,2.4227,0.0155,0.3929,0.0000,0.1250,7.593E-3,17.6403,0.1312,0.1024,0.0769,0.5000,5.486E-3
Lyonia_ligustrina,66,2.1760,2.9055,500,0.9716,7,2.5065,0.9578,0.0275,10066,3.6762,0.8343,1.3808,3.9663,4.8825,11.7136,9.4697,5.6301,2.9546,4.0140,0.4004,1.5152,22.7290,8.9804,0.4338,0.7594,0.4498,0.2116,0.3395,0.7984,10.2915,1.0052,0.0762,0.1538,0.0197,0.3754,0.1923,0.0115,2.5024,0.1752,0.0570,7.0582,0.0561,1.0000,0.0077,0.5723,0.0000,0.0000,2.011E-2,5.0000,0.0334,0.3104,0.0152,0.0000,2.773E-4,10.0000,0.0691,0.1966,0.0303,0.1429,3.361E-4,4.2348,0.0283,0.3382,0.0000,0.0000,5.057E-4,29.9661,0.2763,0.0537,0.0909,0.1429,1.609E-7,21.1615,0.1657,0.0909,0.0909,0.1429,3.641E-6,29.9661,0.2763,0.0537,0.0909,0.1429,1.609E-7,14.2978,0.1025,0.1429,0.0606,0.1429,5.221E-5,35.5959,0.3472,0.0391,0.1818,0.1429,2.433E-8,4.2348,0.0283,0.3382,0.0000,0.0000,5.057E-4,17.4354,0.1336,0.1154,0.0606,0.1429,1.493E-5
Lyonia_ligustrina,66,2.1830,2.9029,500,0.9718,7,2.0110,0.9538,0.0194,10066,3.9631,0.8909,2.3626,0.0180,3.9432,12.5853,8.4548,6.2260,0.5324,5.7680,0.1180,1.4823,26.3486,8.7462,0.6307,0.6716,1.1926,0.2701,0.4978,0.3724,10.7393,0.5344,0.0239,0.0000,0.1093,0.4301,0.1842,0.2695,2.4220,0.2126,0.0000,7.0777,0.0572,1.0000,0.0079,0.5702,0.0000,0.0000,1.961E-2,5.0000,0.0338,0.3116,0.0152,0.0000,2.855E-4,10.0000,0.0699,0.1985,0.0455,0.0000,1.214E-5,4.9749,0.0336,0.3124,0.0000,0.0000,2.906E-4,29.3087,0.2586,0.0573,0.0909,0.1429,2.361E-7,24.6351,0.2030,0.0758,0.0758,0.1429,1.241E-6,29.3087,0.2586,0.0573,0.0909,0.1429,2.361E-7,14.5418,0.1092,0.1429,0.0606,0.1429,5.221E-5,12.7488,0.0930,0.1615,0.0606,0.0000,2.87E-6,4.9749,0.0336,0.3124,0.0000,0.0000,2.906E-4,17.5205,0.1360,0.1177,0.0758,0.1429,1.675E-5
Lyonia_ligustrina,66,2.2368,2.9697,500,0.9724,7,1.1911,0.9291,0.0264,10066,4.1742,2.8847,0.2132,1.2486,5.6155,11.3586,8.5886,6.4769,0.3738,6.2213,0.3508,1.6910,24.0511,9.8898,0.2007,0.5125,1.6749,0.3288,0.7583,0.0093,9.0646,0.4150,0.0871,0.0000,0.1200,0.1219,0.4114,0.0200,2.6989,0.0000,0.4384,7.0019,0.0529,1.0000,0.0071,0.5566,0.0000,0.0000,1.656E-2,5.0000,0.0319,0.2954,0.0152,0.0000,1.96E-4,10.0000,0.0688,0.1856,0.0606,0.1429,2.404E-4,4.3831,0.0282,0.3172,0.0000,0.0000,3.231E-4,23.0544,0.1889,0.0775,0.0909,0.2857,5.134E-5,20.4350,0.1637,0.0909,0.0909,0.1429,3.641E-6,18.9249,0.1478,0.0997,0.0606,0.1429,6.303E-6,13.5458,0.0969,0.1429,0.0606,0.1429,5.221E-5,21.7141,0.1752,0.0840,0.0909,0.1429,2.289E-6,4.3831,0.0282,0.3172,0.0000,0.0000,3.231E-4,17.5369,0.1341,0.1091,0.0606,0.1429,1.069E-5
Lyonia_ligustrina,66,2.2145,2.9351,500,0.9736,7,1.9965,0.9423,0.0293,10066,1.6745,0.3497,1.1607,0.0679,3.1312,9.9705,9.7072,5.6777,1.2829,9.7870,1.7393,2.1334,25.9034,12.2210,0.6939,1.0475,0.5623,0.4662,0.8727,0.3261,7.8873,0.4558,0.0377,0.0000,0.0230,0.0419,0.1251,0.3895,1.9720,0.2774,0.0152,7.0278,0.0542,1.0000,0.0075,0.5687,0.0000,0.0000,1.925E-2,5.0000,0.0316,0.3067,0.0000,0.0000,2.551E-4,10.0000,0.0665,0.1910,0.0455,0.1429,2.846E-4,6.1301,0.0392,0.2721,0.0000,0.0000,1.104E-4,28.9302,0.2516,0.0548,0.0909,0.2857,9.485E-6,20.7562,0.1634,0.0909,0.0909,0.2857,1.114E-4,28.9302,0.2516,0.0548,0.0909,0.2857,9.485E-6,13.9090,0.1021,0.1429,0.0455,0.1429,5.221E-5,8.1059,0.0527,0.2249,0.0303,0.0000,2.912E-5,6.1301,0.0392,0.2721,0.0000,0.0000,1.104E-4,17.5023,0.1322,0.1120,0.0606,0.2857,3.038E-4
Lyonia_ligustrina,66,2.1944,2.8927,500,0.9730,7,2.1128,0.8790,0.0952,10066,5.4615,0.4619,1.1746,1.2597,3.9411,9.0804,9.7601,6.0247,0.6007,6.4474,0.2610,2.8809,19.1470,9.7156,0.1466,1.3144,0.8648,0.6019,0.9364,0.0878,15.8529,0.2006,0.0485,0.0000,0.0094,1.0501,0.2096,0.0170,2.3788,0.0645,0.0000,7.0408,0.0549,1.0000,0.0076,0.5280,0.0000,0.1429,8.304E-2,5.0000,0.0360,0.2817,0.0152,0.1429,2.656E-3,10.0000,0.0752,0.1799,0.0455,0.1429,2.008E-4,4.7605,0.0341,0.2893,0.0000,0.1429,3.086E-3,26.8576,0.2516,0.0609,0.0909,0.2857,1.585E-5,22.3352,0.1943,0.0791,0.0758,0.2857,5.667E-5,26.8576,0.2516,0.0609,0.0909,0.2857,1.585E-5,13.1568,0.1016,0.1429,0.0606,0.1429,5.221E-5,21.9037,0.1891,0.0812,0.0758,0.1429,1.862E-6,4.7605,0.0341,0.2893,0.0000,0.1429,3.086E-3,16.5661,0.1316,0.1135,0.0606,0.1429,1.347E-5
