Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Maianthemum_canadense,32,2.2451,3.4162,500,0.9874,4,1.7074,0.9089,0.0636,10031,7.6063,0.6893,2.8933,0.5984,3.6310,13.4040,6.5342,1.2842,1.2288,7.8973,0.0026,10.6380,12.4740,2.4673,0.7432,1.8408,0.8631,0.0000,1.1405,0.0662,11.0272,6.0533,1.9591,0.0000,0.8482,1.7843,0.0100,1.6940,0.1394,0.4817,0.0000,6.9743,0.0518,1.0000,0.0075,0.5316,0.0000,0.0000,7.983E-2,5.0000,0.0321,0.2809,0.0000,0.2500,7E-2,10.0000,0.0713,0.1758,0.0000,0.2500,1.885E-2,16.4564,0.1272,0.1112,0.0000,0.2500,5.036E-3,40.1715,0.4029,0.0278,0.0938,0.5000,4.471E-3,25.7488,0.2323,0.0625,0.0625,0.2500,9.311E-4,39.2478,0.3909,0.0293,0.0625,0.5000,4.955E-3,6.0729,0.0394,0.2500,0.0000,0.2500,5.08E-2,37.4093,0.3666,0.0326,0.0625,0.2500,1.352E-4,6.2608,0.0409,0.2452,0.0000,0.2500,4.815E-2,17.1138,0.1327,0.1065,0.0312,0.2500,4.442E-3
Maianthemum_canadense,32,2.3782,3.4762,500,0.9872,4,0.5139,0.8481,0.0663,10032,3.2522,5.2075,0.9634,1.9774,5.1499,13.1823,4.6374,0.6255,0.1516,7.5090,1.8231,7.6247,15.6755,2.0936,10.6731,0.6705,0.2709,0.0000,0.5371,0.1000,11.0440,1.1968,0.8665,0.0000,0.4193,1.0178,2.3901,0.2973,0.6433,0.0000,0.0000,6.8584,0.0459,1.0000,0.0066,0.5022,0.0000,0.0000,6.36E-2,5.0000,0.0302,0.2541,0.0000,0.5000,2.686E-1,10.0000,0.0680,0.1554,0.0000,0.5000,1.166E-1,16.6352,0.1325,0.0957,0.0000,0.5000,4.818E-2,33.9287,0.3269,0.0346,0.0938,0.5000,6.852E-3,23.5933,0.2043,0.0625,0.0625,0.5000,2.153E-2,16.6352,0.1325,0.0957,0.0000,0.5000,4.818E-2,4.5005,0.0266,0.2702,0.0000,0.2500,6.294E-2,3.7785,0.0224,0.2976,0.0000,0.0000,7.849E-3,5.9191,0.0365,0.2290,0.0000,0.5000,2.268E-1,16.7969,0.1343,0.0948,0.0312,0.5000,4.735E-2
Maianthemum_canadense,32,2.3627,3.4899,500,0.9900,4,1.2617,0.8338,0.1309,10031,6.2934,3.0742,0.0386,0.5443,4.7258,12.5957,7.5473,0.9163,0.7839,6.7381,0.1345,8.2412,13.0112,2.2561,1.0534,0.9790,0.6341,0.0000,1.2619,0.0088,13.1697,7.5653,0.3263,0.0000,0.7851,5.7392,0.2833,0.6072,0.1827,0.5032,0.0000,6.8738,0.0463,1.0000,0.0067,0.4747,0.0000,0.2500,2.756E-1,5.0000,0.0323,0.2393,0.0000,0.2500,4.495E-2,10.0000,0.0749,0.1475,0.0000,0.2500,1.143E-2,15.3401,0.1255,0.1000,0.0000,0.2500,3.699E-3,40.5849,0.4375,0.0237,0.0938,0.5000,3.272E-3,35.4552,0.3689,0.0312,0.0312,0.5000,5.602E-3,38.4633,0.4082,0.0266,0.0312,0.5000,4.102E-3,4.6444,0.0301,0.2500,0.0000,0.2500,5.08E-2,34.2344,0.3535,0.0332,0.0312,0.2500,1.427E-4,5.6369,0.0371,0.2223,0.0000,0.2500,3.662E-2,15.9032,0.1322,0.0963,0.0312,0.2500,3.314E-3
Maianthemum_canadense,32,2.4642,3.6463,500,0.9898,4,-0.8905,0.7721,0.0509,10031,9.8395,4.4720,1.7926,0.0061,2.5757,13.0980,3.8851,0.3090,0.7034,0.6267,1.5698,7.9589,16.2177,1.8764,9.6196,1.9500,0.0000,0.0344,1.0852,0.0000,12.1591,4.4005,2.8368,0.0000,1.1604,0.5804,0.0354,0.2258,0.2559,0.5834,0.1423,6.7726,0.0421,1.0000,0.0062,0.4710,0.0000,0.0000,4.923E-2,5.0000,0.0296,0.2339,0.0000,0.2500,4.219E-2,10.0000,0.0686,0.1421,0.0000,0.7500,4.582E-1,17.0899,0.1353,0.0848,0.0000,1.0000,1E0,43.0059,0.4387,0.0193,0.0938,1.0000,1E0,21.9446,0.1872,0.0625,0.0625,1.0000,1E0,41.1084,0.4153,0.0215,0.0625,1.0000,1E0,4.4728,0.0260,0.2500,0.0000,0.2500,5.08E-2,1.7208,0.0100,0.3928,0.0000,0.0000,2.38E-2,5.6256,0.0337,0.2172,0.0000,0.5000,2.078E-1,16.7023,0.1315,0.0870,0.0000,1.0000,1E0
Maianthemum_canadense,32,2.3609,3.5904,500,0.9889,4,0.2247,0.8571,0.0589,10031,5.4345,5.0318,1.8035,1.2948,6.2616,8.3966,8.5895,0.5754,0.4802,8.0785,0.0251,3.2962,9.1932,2.4865,10.8575,2.1449,1.1221,0.0311,1.8664,0.0116,16.0496,1.3913,1.5678,0.0000,1.0158,1.6769,0.0000,0.9410,0.3765,0.0000,0.0000,6.8793,0.0469,1.0000,0.0068,0.4886,0.0000,0.0000,5.699E-2,5.0000,0.0317,0.2454,0.0000,0.2500,4.825E-2,10.0000,0.0733,0.1504,0.0000,0.2500,1.208E-2,15.5976,0.1291,0.1005,0.0000,0.5000,5.278E-2,44.9946,0.4815,0.0195,0.0938,1.0000,1E0,23.4110,0.2112,0.0625,0.0625,0.7500,2.275E-1,15.5976,0.1291,0.1005,0.0000,0.5000,5.278E-2,4.8480,0.0308,0.2500,0.0000,0.2500,5.08E-2,2.6985,0.0166,0.3393,0.0000,0.0000,1.326E-2,5.7966,0.0373,0.2238,0.0000,0.2500,3.731E-2,16.1931,0.1345,0.0968,0.0312,0.5000,4.923E-2
Maianthemum_canadense,32,2.3971,3.4277,500,0.9859,4,-0.1363,0.7647,0.0968,10031,6.8548,2.2174,0.0363,0.0170,4.7563,10.1493,7.5294,0.6980,0.0808,8.2877,0.3045,9.1077,9.8195,1.9731,11.3863,1.5310,1.6335,0.0000,1.3442,0.0542,15.0479,1.5058,1.0981,0.2797,0.8476,1.0773,1.0692,0.8904,0.2046,0.1983,0.0000,6.8302,0.0444,1.0000,0.0062,0.4963,0.0000,0.0000,6.065E-2,5.0000,0.0294,0.2473,0.0000,0.5000,2.572E-1,10.0000,0.0669,0.1499,0.0000,0.5000,1.094E-1,15.8655,0.1214,0.0964,0.0000,0.5000,4.885E-2,34.1623,0.3393,0.0321,0.0938,0.7500,1.224E-1,18.7374,0.1521,0.0797,0.0938,0.7500,2.825E-1,15.8655,0.1214,0.0964,0.0000,0.5000,4.885E-2,2.1009,0.0123,0.3825,0.0000,0.5000,4.944E-1,1.2227,0.0074,0.4663,0.0000,0.0000,4.726E-2,5.8696,0.0356,0.2235,0.0000,0.5000,2.179E-1,16.5148,0.1285,0.0922,0.0625,0.5000,4.496E-2
Maianthemum_canadense,33,2.3988,3.4924,500,0.9882,3,-0.8137,0.7507,0.1010,10032,3.1625,3.7757,1.3391,1.0162,5.0088,14.6154,6.0813,0.8942,0.9720,8.2426,0.0000,8.0513,14.8540,2.2069,0.1659,1.9815,0.9618,0.0190,1.6731,0.0505,10.9727,7.9391,0.2487,0.0000,0.6692,2.2508,0.0118,1.4379,1.1179,0.2799,0.0000,6.8261,0.0446,1.0000,0.0066,0.4660,0.0000,0.3333,4.491E-1,5.0000,0.0331,0.2353,0.0000,0.3333,1.401E-1,10.0000,0.0716,0.1471,0.0000,0.6667,3.796E-1,10.1015,0.0723,0.1459,0.0000,0.6667,3.77E-1,42.4792,0.4282,0.0210,0.0909,1.0000,1E0,23.6459,0.2142,0.0606,0.0606,1.0000,1E0,42.2363,0.4251,0.0214,0.0606,1.0000,1E0,2.5348,0.0157,0.3333,0.0000,0.3333,2.593E-1,0.8678,0.0059,0.4853,0.0000,0.0000,1.143E-1,5.3008,0.0354,0.2276,0.0000,0.3333,1.318E-1,16.6532,0.1368,0.0918,0.0303,0.6667,2.509E-1
Maianthemum_canadense,33,2.3845,3.5431,500,0.9889,3,-1.0049,0.7284,0.0948,10032,4.4584,3.1064,0.6454,0.5409,4.6900,13.7814,9.5210,0.8251,0.3471,7.4889,0.0732,10.0025,9.5449,1.8600,7.9827,1.7123,1.5704,0.0000,1.5935,0.0318,11.4888,3.7228,0.2450,0.0000,0.8807,0.8049,0.0000,2.2675,0.5931,0.2215,0.0000,6.8235,0.0442,1.0000,0.0063,0.4790,0.0000,0.0000,1.099E-1,5.0000,0.0310,0.2362,0.0000,0.6667,5.545E-1,10.0000,0.0715,0.1446,0.0000,0.6667,3.742E-1,14.2208,0.1109,0.1054,0.0000,0.6667,2.84E-1,40.4736,0.4202,0.0232,0.0909,1.0000,1E0,22.7917,0.1995,0.0606,0.0606,0.6667,1.71E-1,38.5383,0.3913,0.0258,0.0606,1.0000,1E0,2.6242,0.0154,0.3333,0.0000,0.3333,2.593E-1,1.1601,0.0072,0.4573,0.0000,0.0000,9.565E-2,5.5898,0.0354,0.2205,0.0000,0.6667,5.263E-1,16.2739,0.1289,0.0916,0.0303,0.6667,2.504E-1
Maianthemum_canadense,33,2.2954,3.3542,500,0.9858,3,0.2843,0.8317,0.0715,10032,1.5727,2.6851,0.8751,0.0623,5.0326,11.3610,7.0034,0.9447,0.0830,7.5352,0.1508,9.1251,12.9728,2.0047,9.9851,1.4804,2.4270,0.0000,1.2815,0.0544,14.7130,3.6214,0.5441,0.0000,1.1751,1.1777,0.8909,0.4053,0.6056,0.2299,0.0000,6.9226,0.0488,1.0000,0.0071,0.4948,0.0000,0.0000,1.212E-1,5.0000,0.0329,0.2528,0.0000,0.3333,1.594E-1,10.0000,0.0742,0.1563,0.0000,0.6667,3.994E-1,14.0771,0.1128,0.1159,0.0000,0.6667,3.09E-1,40.7465,0.4249,0.0249,0.0909,0.6667,7.291E-2,24.5793,0.2256,0.0606,0.0606,0.6667,1.71E-1,40.7465,0.4249,0.0249,0.0909,0.6667,7.291E-2,3.3731,0.0221,0.3125,0.0000,0.3333,2.319E-1,3.3719,0.0221,0.3125,0.0000,0.0000,3.052E-2,5.7874,0.0388,0.2314,0.0000,0.3333,1.358E-1,16.1110,0.1313,0.1011,0.0303,0.6667,2.736E-1
Maianthemum_canadense,33,2.2901,3.3848,500,0.9856,3,1.6589,0.9338,0.0358,10032,10.3978,2.6812,0.3219,1.4344,4.5322,10.6939,6.9924,0.5423,0.1694,1.7240,0.0357,8.1720,12.2566,2.2631,9.4825,1.5997,0.9881,0.0000,1.3877,0.0000,16.4307,3.3777,0.2849,0.0107,0.4395,1.2211,0.0496,1.7267,0.5508,0.2336,0.0000,6.9359,0.0496,1.0000,0.0072,0.5060,0.0000,0.0000,1.295E-1,5.0000,0.0327,0.2626,0.0000,0.0000,1.81E-2,10.0000,0.0730,0.1645,0.0000,0.0000,4.449E-3,12.1472,0.0913,0.1398,0.0000,0.3333,5.313E-2,36.8136,0.3698,0.0313,0.0909,0.6667,9.099E-2,25.2056,0.2225,0.0606,0.0606,0.3333,1.057E-2,34.8764,0.3449,0.0350,0.0606,0.6667,1.013E-1,11.1308,0.0829,0.1506,0.0000,0.0000,3.417E-3,11.1308,0.0829,0.1506,0.0000,0.0000,3.417E-3,5.9152,0.0393,0.2374,0.0000,0.0000,1.339E-2,16.6782,0.1329,0.1025,0.0606,0.3333,2.935E-2
