Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Malirekus_hastatus,194,2.7738,3.2770,500,0.9873,22,2.3461,0.9594,0.0129,10192,1.3332,1.2880,3.4785,0.0000,1.7886,0.8187,1.9694,0.0000,0.0000,7.6679,17.0115,0.1476,3.8669,0.0211,3.6013,0.5344,0.3265,0.9446,0.3993,0.0626,1.0083,0.2742,5.8878,0.6358,1.0036,24.5166,1.6360,0.9357,16.5858,2.2534,0.0030,6.5000,0.0299,1.0000,0.0038,0.3318,0.0000,0.0000,2.885E-11,5.0000,0.0352,0.1142,0.0000,0.1364,1.362E-15,10.0000,0.1046,0.0638,0.0103,0.1364,2.48E-20,8.3740,0.0769,0.0745,0.0000,0.1364,4.567E-19,27.9648,0.4137,0.0234,0.0876,0.3182,4.89E-20,16.8884,0.2169,0.0394,0.0412,0.1818,3.353E-22,13.4437,0.1625,0.0491,0.0103,0.1364,1.774E-22,4.3775,0.0289,0.1266,0.0000,0.1364,9.225E-15,13.4441,0.1625,0.0490,0.0155,0.1364,1.708E-22,4.0233,0.0254,0.1348,0.0000,0.0909,6.9E-16,9.7539,0.0985,0.0652,0.0103,0.1364,3.809E-20
Malirekus_hastatus,194,2.7832,3.2399,500,0.9847,22,2.3878,0.9605,0.0168,10192,3.7928,1.3218,0.0291,0.1343,1.0277,0.9308,0.9130,0.0000,2.2564,6.9316,15.3469,0.1776,4.5640,0.0214,1.6092,0.7366,0.5625,0.8773,0.8238,0.1173,0.7780,0.2865,5.9214,0.3803,0.5940,24.5246,1.6995,0.8809,19.6275,3.1281,0.0051,6.4794,0.0293,1.0000,0.0038,0.3182,0.0052,0.0455,5.516E-10,5.0000,0.0361,0.1133,0.0103,0.0455,2.713E-19,10.0000,0.0979,0.0635,0.0155,0.0455,1.482E-24,0.6447,0.0024,0.3922,0.0000,0.0000,1.139E-9,29.3507,0.4536,0.0216,0.0979,0.4091,9.157E-17,14.7749,0.1734,0.0433,0.0412,0.1364,1.661E-23,10.4543,0.1047,0.0609,0.0155,0.0455,6.279E-25,10.4543,0.1047,0.0609,0.0155,0.0455,6.279E-25,10.4543,0.1047,0.0609,0.0155,0.0455,6.279E-25,3.9287,0.0249,0.1354,0.0052,0.0455,1.113E-17,9.9356,0.0970,0.0639,0.0155,0.0455,1.686E-24
Malirekus_hastatus,194,2.7705,3.2172,500,0.9856,22,2.8497,0.9751,0.0085,10192,3.2948,1.9299,1.4774,0.0554,1.6848,1.1413,1.3581,0.0000,1.2674,5.6903,17.1240,0.1433,4.6034,0.0268,1.7488,0.7728,0.4269,0.6581,0.7619,0.1301,1.9532,0.0563,6.9692,0.7092,1.0321,24.3815,1.4846,1.0149,16.2597,1.5431,0.3010,6.5120,0.0302,1.0000,0.0040,0.3329,0.0000,0.0000,3.098E-11,5.0000,0.0349,0.1179,0.0052,0.0455,6.239E-19,10.0000,0.0978,0.0650,0.0206,0.0909,3.632E-22,3.7184,0.0226,0.1473,0.0000,0.0455,6.415E-17,26.5182,0.4107,0.0249,0.0979,0.1818,9.142E-26,14.8129,0.1868,0.0447,0.0464,0.1364,3.121E-23,13.4762,0.1578,0.0490,0.0258,0.1364,1.708E-22,8.1649,0.0704,0.0784,0.0206,0.0909,1.52E-20,8.1622,0.0704,0.0784,0.0206,0.0455,1.227E-22,3.7184,0.0226,0.1473,0.0000,0.0455,6.415E-17,9.8375,0.0947,0.0660,0.0206,0.0909,5.039E-22
Malirekus_hastatus,194,2.7551,3.2179,500,0.9855,22,2.9649,0.9814,0.0043,10192,2.1365,1.7578,2.0020,1.2539,1.4355,1.0630,2.0022,0.0000,0.0000,3.0868,19.7701,0.1691,4.5278,0.0171,3.5783,0.9597,0.4494,0.6769,0.4133,0.0811,1.5130,0.0964,7.2303,0.1385,0.8681,24.5483,1.4025,1.2622,14.5006,3.0595,0.0000,6.5393,0.0311,1.0000,0.0043,0.3320,0.0000,0.0000,2.923E-11,5.0000,0.0350,0.1224,0.0103,0.0000,8.46E-21,10.0000,0.0975,0.0683,0.0206,0.0455,6.831E-24,3.1732,0.0184,0.1702,0.0000,0.0000,1.21E-17,29.1320,0.4475,0.0231,0.0825,0.1818,2.272E-26,15.6837,0.1903,0.0443,0.0464,0.0909,1.835E-25,13.2072,0.1484,0.0526,0.0206,0.0909,5.459E-24,10.9035,0.1117,0.0631,0.0206,0.0455,1.301E-24,8.0165,0.0706,0.0832,0.0206,0.0000,1.75E-24,3.1732,0.0184,0.1702,0.0000,0.0000,1.21E-17,10.0858,0.0996,0.0678,0.0206,0.0455,5.874E-24
Malirekus_hastatus,194,2.7519,3.2163,500,0.9857,22,2.9503,0.9817,0.0038,10193,3.5962,0.8440,0.0448,1.5248,1.3395,1.5018,1.7092,0.0000,0.0000,7.5674,19.4397,0.2095,4.7063,0.0299,2.0102,0.2678,0.4888,0.6965,0.4622,0.4271,0.4377,0.1280,6.6620,0.8108,0.3878,21.6327,1.6505,1.5667,17.5077,2.3468,0.0035,6.5140,0.0303,1.0000,0.0040,0.3362,0.0000,0.0000,3.85E-11,5.0000,0.0337,0.1203,0.0103,0.0000,5.81E-21,10.0000,0.0959,0.0658,0.0206,0.0455,3.17E-24,4.4045,0.0276,0.1328,0.0000,0.0000,5.164E-20,26.1764,0.4065,0.0254,0.0979,0.2727,1.949E-21,16.8604,0.2164,0.0392,0.0412,0.0909,1.606E-26,14.3752,0.1688,0.0461,0.0258,0.0455,1.831E-27,14.5922,0.1754,0.0454,0.0309,0.0455,1.337E-27,8.0145,0.0682,0.0805,0.0206,0.0000,8.569E-25,4.1968,0.0258,0.1378,0.0000,0.0000,1.165E-19,9.9557,0.0956,0.0661,0.0206,0.0455,3.48E-24
Malirekus_hastatus,194,2.7390,3.2164,500,0.9859,22,2.8088,0.9764,0.0069,10193,4.5956,2.2494,0.7050,0.1136,1.7794,1.1007,1.0748,0.0000,0.0000,4.6659,20.1509,0.1663,4.6310,0.0359,3.0978,0.5297,0.7314,0.8182,0.2974,0.1240,1.1827,0.1303,6.5459,0.2416,1.0523,22.6928,2.0219,0.9999,15.8902,2.3752,0.0000,6.5485,0.0312,1.0000,0.0037,0.3730,0.0000,0.0000,3.781E-10,5.0000,0.0325,0.1270,0.0052,0.0000,1.938E-20,10.0000,0.0930,0.0691,0.0206,0.1364,1.11E-19,4.2584,0.0247,0.1445,0.0000,0.0000,3.295E-19,26.4103,0.3962,0.0257,0.0928,0.2273,2.173E-23,16.7306,0.2066,0.0412,0.0412,0.1364,6.599E-24,14.6371,0.1658,0.0474,0.0258,0.1364,9.221E-23,7.4019,0.0587,0.0909,0.0103,0.0909,2.887E-19,6.2511,0.0448,0.1054,0.0052,0.0000,3.158E-22,4.2584,0.0247,0.1445,0.0000,0.0000,3.295E-19,10.1005,0.0943,0.0685,0.0206,0.1364,9.45E-20
Malirekus_hastatus,195,2.7753,3.2322,500,0.9860,21,1.6630,0.9331,0.0457,10193,3.3361,0.0561,0.7100,0.1142,1.3720,1.6012,1.8626,0.0000,1.6174,6.2074,18.1178,0.1528,4.9046,0.0471,3.1235,0.6262,0.2885,1.1376,0.4146,0.0787,1.2226,0.0389,7.0160,0.6758,0.8577,19.4733,1.4073,1.2849,19.8238,2.0367,0.3946,6.5019,0.0299,1.0000,0.0042,0.3310,0.0000,0.0476,3.586E-9,5.0000,0.0331,0.1195,0.0103,0.0476,6.556E-18,10.0000,0.0974,0.0653,0.0205,0.0952,5.686E-21,4.5336,0.0286,0.1290,0.0000,0.0476,3.004E-17,25.9005,0.3945,0.0250,0.0974,0.3333,3.707E-18,16.0902,0.1997,0.0410,0.0410,0.1429,1.27E-22,13.5304,0.1517,0.0489,0.0205,0.1429,2.903E-21,8.4006,0.0749,0.0766,0.0205,0.0952,1.146E-19,8.3977,0.0749,0.0766,0.0205,0.0476,9.469E-22,4.1882,0.0255,0.1373,0.0000,0.0476,1.027E-16,10.0006,0.0974,0.0653,0.0205,0.0952,5.686E-21
Malirekus_hastatus,195,2.7599,3.2098,500,0.9859,21,2.7057,0.9732,0.0083,10193,2.0210,1.5227,2.5079,0.0094,1.1907,1.2581,1.4556,0.0000,0.0000,8.1445,19.3088,0.0642,4.1047,0.0566,2.4887,0.8007,0.3263,1.2142,0.4008,0.1663,0.7321,0.2165,6.4812,0.7569,0.3495,25.6955,1.7136,0.9491,14.5430,1.5109,0.0106,6.5352,0.0310,1.0000,0.0040,0.3371,0.0000,0.0000,1.21E-10,5.0000,0.0350,0.1194,0.0000,0.0476,6.45E-18,10.0000,0.0994,0.0665,0.0205,0.0952,7.964E-21,5.9909,0.0461,0.1033,0.0000,0.0476,3.629E-19,27.0787,0.4036,0.0252,0.0974,0.3333,4.13E-18,16.4620,0.2217,0.0416,0.0410,0.0952,1.121E-24,15.3041,0.1963,0.0445,0.0308,0.0952,4.083E-24,7.6904,0.0669,0.0841,0.0205,0.0952,6.589E-19,19.1628,0.2681,0.0358,0.0564,0.0952,6.576E-26,4.0802,0.0263,0.1392,0.0000,0.0476,1.362E-16,9.8468,0.0963,0.0675,0.0205,0.0952,1.05E-20
Malirekus_hastatus,195,2.7808,3.2452,500,0.9855,21,2.6931,0.9535,0.0232,10193,4.3059,1.9521,0.1555,0.1676,1.0064,1.0945,1.5765,0.0000,1.2985,6.8004,19.2017,0.0835,4.7398,0.0295,2.5899,1.0328,0.4929,0.7620,0.3708,0.4683,1.1511,0.2880,7.6702,0.4311,0.6939,22.0029,1.3465,1.1097,14.6460,2.5252,0.0071,6.4869,0.0295,1.0000,0.0041,0.3053,0.0051,0.0952,1.717E-8,5.0000,0.0372,0.1108,0.0051,0.0952,1.172E-16,10.0000,0.1041,0.0626,0.0154,0.0952,2.528E-21,0.9575,0.0039,0.3121,0.0000,0.0476,1.133E-9,26.0695,0.4038,0.0248,0.0974,0.2857,3.94E-20,16.2562,0.2129,0.0395,0.0410,0.1429,6.61E-23,13.9617,0.1656,0.0459,0.0154,0.1429,9.57E-22,6.0714,0.0481,0.0953,0.0103,0.0952,6.907E-18,12.7022,0.1506,0.0502,0.0154,0.0952,3.964E-23,3.7586,0.0249,0.1364,0.0051,0.0952,5.771E-15,9.7068,0.0992,0.0644,0.0154,0.0952,4.274E-21
Malirekus_hastatus,195,2.7665,3.2026,500,0.9855,21,2.7144,0.9767,0.0060,10193,3.8855,0.2040,0.2813,0.0117,1.0062,1.4089,1.3801,0.0000,0.2881,7.6879,20.0380,0.1427,4.9714,0.0237,2.5340,0.7185,0.1308,1.0413,0.2624,0.0820,1.6037,0.1105,6.4148,0.4703,0.8035,22.1887,2.0798,0.8373,17.4885,1.7560,0.1484,6.5063,0.0300,1.0000,0.0039,0.3373,0.0000,0.0000,1.225E-10,5.0000,0.0334,0.1183,0.0051,0.0476,5.385E-18,10.0000,0.0962,0.0648,0.0205,0.0476,3.408E-23,4.7545,0.0313,0.1232,0.0000,0.0476,1.207E-17,24.5881,0.3652,0.0268,0.0974,0.2381,1.256E-21,14.3420,0.1748,0.0461,0.0462,0.0952,7.86E-24,12.8511,0.1460,0.0512,0.0205,0.0476,3.075E-25,13.3370,0.1561,0.0493,0.0308,0.0476,1.468E-25,13.3370,0.1561,0.0493,0.0308,0.0476,1.468E-25,4.0748,0.0256,0.1384,0.0000,0.0000,9.241E-19,9.8855,0.0946,0.0656,0.0205,0.0476,4.332E-23
