Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Melanerpes_carolinus,154,1.9956,2.4488,500,0.9640,18,1.7867,0.9246,0.0292,10153,5.9483,1.9804,6.1480,3.9719,5.8056,14.0063,2.6195,0.0000,1.3016,1.5976,0.2424,4.8890,2.9519,1.6389,0.4316,0.7735,0.7344,0.7902,0.7034,24.3347,7.8346,1.0975,0.3464,0.3060,0.1758,0.3724,0.9409,5.8697,1.9636,0.2083,0.0155,7.2966,0.0693,1.0000,0.0098,0.5944,0.0065,0.0000,8.58E-5,5.0000,0.0395,0.3247,0.0065,0.0556,6.196E-8,10.0000,0.0812,0.2053,0.0260,0.1111,9.89E-10,0.5409,0.0063,0.6767,0.0000,0.0000,8.865E-4,22.0020,0.2101,0.0923,0.0974,0.2778,1.929E-10,21.8589,0.2085,0.0931,0.0909,0.2778,2.146E-10,17.1592,0.1552,0.1239,0.0455,0.1667,1.403E-11,14.1466,0.1257,0.1509,0.0455,0.1667,2.472E-10,14.1404,0.1255,0.1509,0.0455,0.1111,8.134E-12,5.8740,0.0469,0.2966,0.0065,0.0556,1.376E-8,14.7144,0.1307,0.1453,0.0455,0.1667,1.426E-10
Melanerpes_carolinus,154,2.0378,2.4750,500,0.9642,18,1.7018,0.9217,0.0251,10152,8.6129,2.8341,6.3566,2.8166,5.6365,11.1779,3.9220,0.0070,1.0044,2.3968,0.3018,5.3305,4.0986,1.5278,0.0442,1.2141,1.5527,0.6704,0.8466,22.7350,6.4672,1.5454,0.1097,0.2706,0.0982,0.4700,0.4299,5.6251,1.6955,0.2016,0.0000,7.2519,0.0658,1.0000,0.0097,0.5700,0.0065,0.0000,4.039E-5,5.0000,0.0385,0.3134,0.0065,0.0556,3.446E-8,10.0000,0.0789,0.1955,0.0390,0.1111,4.65E-10,0.7052,0.0073,0.6176,0.0000,0.0000,1.71E-4,21.9973,0.2138,0.0854,0.0974,0.2778,7.29E-11,20.9507,0.2030,0.0909,0.0909,0.2778,1.6E-10,20.4069,0.1954,0.0940,0.0779,0.2778,2.42E-10,12.0255,0.0983,0.1667,0.0584,0.1667,1.043E-9,10.2616,0.0813,0.1914,0.0390,0.1111,3.334E-10,6.4397,0.0489,0.2695,0.0065,0.0556,2.801E-9,14.4692,0.1231,0.1389,0.0584,0.2222,1.746E-9
Melanerpes_carolinus,154,2.0127,2.4825,500,0.9660,18,1.8973,0.9351,0.0223,10152,5.0847,7.8555,3.7314,1.4448,4.9976,13.2962,2.7997,0.0097,0.8733,2.1627,0.2747,5.4791,2.1636,1.4838,0.0699,0.7914,1.0293,0.6751,1.1730,25.2194,5.6617,2.5156,0.5113,0.6833,0.4950,0.3042,0.7228,6.7940,1.3873,0.3098,0.0000,7.2924,0.0688,1.0000,0.0100,0.5946,0.0065,0.0000,8.621E-5,5.0000,0.0389,0.3268,0.0065,0.0556,6.894E-8,10.0000,0.0798,0.2043,0.0325,0.0556,2.732E-11,0.9747,0.0098,0.5982,0.0000,0.0000,9.623E-5,24.2562,0.2441,0.0786,0.0974,0.3333,6.577E-10,22.6114,0.2193,0.0866,0.0844,0.2222,2.908E-12,22.5732,0.2191,0.0868,0.0779,0.2222,2.999E-12,17.5462,0.1585,0.1187,0.0649,0.1111,1.874E-13,17.5462,0.1585,0.1187,0.0649,0.1111,1.874E-13,7.1136,0.0547,0.2639,0.0065,0.0556,1.972E-9,14.5861,0.1262,0.1447,0.0584,0.1111,4.218E-12
Melanerpes_carolinus,154,2.0776,2.5432,500,0.9697,18,0.9012,0.8596,0.0501,10153,11.4273,3.6252,2.1289,1.8184,4.6618,14.7323,4.4225,0.0051,1.0115,1.5269,0.5103,5.1846,2.5323,2.0045,0.0601,1.0720,1.0549,0.4946,0.7890,25.0542,3.7073,1.4294,0.4159,0.2395,0.4844,1.4615,0.8110,5.6602,1.2416,0.4181,0.0147,7.2249,0.0639,1.0000,0.0090,0.5716,0.0000,0.0556,6.141E-4,5.0000,0.0376,0.3052,0.0065,0.0556,2.219E-8,10.0000,0.0784,0.1875,0.0195,0.2778,1.171E-6,4.9957,0.0375,0.3053,0.0000,0.0556,2.231E-8,23.2838,0.2351,0.0751,0.0974,0.4444,1.412E-7,20.4310,0.1974,0.0893,0.0909,0.3889,5.066E-8,23.2390,0.2348,0.0752,0.0909,0.4444,1.447E-7,8.1062,0.0609,0.2222,0.0130,0.2222,8.654E-7,5.0644,0.0381,0.3031,0.0065,0.0556,1.972E-8,4.9957,0.0375,0.3053,0.0000,0.0556,2.231E-8,14.2772,0.1224,0.1352,0.0519,0.3333,3.126E-7
Melanerpes_carolinus,155,2.0675,2.5095,500,0.9674,17,0.9054,0.8463,0.0559,10153,7.5648,2.4767,3.3178,3.4507,5.3938,12.6059,4.4168,0.2144,0.0000,5.0688,0.2359,6.0862,2.5125,1.5991,0.6612,0.7199,1.1854,1.0732,0.9698,24.7473,5.0907,1.7037,0.3794,0.3186,0.0964,0.2427,0.6606,5.1363,1.8115,0.0605,0.1993,7.2305,0.0647,1.0000,0.0095,0.5523,0.0000,0.1176,4.316E-3,5.0000,0.0394,0.2965,0.0129,0.1765,1.045E-5,10.0000,0.0837,0.1871,0.0258,0.2353,3.834E-7,1.5295,0.0134,0.4892,0.0000,0.1176,8.795E-4,24.5375,0.2464,0.0728,0.0968,0.2941,9.666E-11,22.0728,0.2165,0.0839,0.0839,0.2941,5.044E-10,21.1154,0.2074,0.0886,0.0710,0.2941,9.51E-10,7.2858,0.0591,0.2353,0.0129,0.2353,6.032E-6,24.8798,0.2507,0.0713,0.1032,0.2941,7.613E-11,6.4848,0.0515,0.2538,0.0129,0.2353,1.478E-5,14.3341,0.1271,0.1359,0.0387,0.2941,1.26E-7
Melanerpes_carolinus,156,1.9764,2.4431,500,0.9631,16,1.9645,0.9324,0.0271,10154,5.5423,5.0894,4.4615,3.8628,5.6175,13.8503,2.9268,0.1678,0.7801,1.5565,0.5731,5.7168,2.5760,1.4481,0.1438,1.0914,0.6821,0.8237,0.3657,28.4183,4.7849,1.3931,0.6381,0.1511,0.1026,0.3954,0.2734,5.0075,1.3134,0.2315,0.0152,7.3096,0.0699,1.0000,0.0099,0.5945,0.0064,0.0000,2.437E-4,5.0000,0.0399,0.3251,0.0128,0.1250,8.582E-6,10.0000,0.0818,0.2049,0.0256,0.1250,1.81E-8,0.8072,0.0084,0.6251,0.0000,0.0000,5.431E-4,22.0368,0.2103,0.0909,0.0962,0.1875,1.244E-11,21.1411,0.1999,0.0961,0.0962,0.1875,2.529E-11,22.0368,0.2103,0.0909,0.0962,0.1875,1.244E-11,16.9446,0.1538,0.1250,0.0705,0.1250,2.123E-11,16.9568,0.1540,0.1249,0.0705,0.1250,2.101E-11,4.0241,0.0324,0.3633,0.0064,0.0000,9.212E-8,14.4777,0.1277,0.1471,0.0577,0.1250,1.99E-10
Melanerpes_carolinus,154,1.9605,2.4128,500,0.9641,18,2.6137,0.9633,0.0149,10152,10.6321,4.2353,1.8061,3.3576,6.4110,11.5815,2.2423,0.0000,1.2732,1.8985,0.4996,6.5814,3.1826,1.8614,0.5315,0.9003,1.0267,0.4817,0.7077,25.5402,4.6514,1.6518,0.4961,0.1085,0.0779,0.3798,0.3314,6.0393,1.2934,0.2199,0.0000,7.3494,0.0731,1.0000,0.0106,0.5914,0.0000,0.0000,7.834E-5,5.0000,0.0422,0.3275,0.0065,0.0000,1.881E-9,10.0000,0.0857,0.2095,0.0390,0.0556,4.17E-11,1.5181,0.0148,0.5292,0.0000,0.0000,1.058E-5,22.0915,0.2158,0.0954,0.0974,0.1111,5.919E-15,21.7242,0.2123,0.0974,0.0974,0.1111,8.308E-15,17.8963,0.1702,0.1223,0.0519,0.1111,3.017E-13,19.4805,0.1864,0.1111,0.0714,0.1111,6.62E-14,33.5394,0.3746,0.0512,0.1948,0.1111,3.112E-19,6.0586,0.0515,0.2945,0.0065,0.0000,2.781E-10,14.3783,0.1312,0.1532,0.0519,0.1111,1.029E-11
Melanerpes_carolinus,156,2.0150,2.5083,500,0.9662,16,1.3788,0.8904,0.0375,10154,7.0776,2.2381,3.0805,5.8918,4.9485,14.2194,2.0721,0.0038,0.5548,2.3400,0.6681,6.0636,2.5127,1.5846,0.4575,0.7442,1.2339,0.8921,0.5642,19.4648,11.9763,1.3385,0.1995,0.1516,1.3941,0.4626,0.5611,6.0553,0.8952,0.3424,0.0111,7.2844,0.0682,1.0000,0.0097,0.5817,0.0000,0.0000,1.721E-4,5.0000,0.0402,0.3171,0.0128,0.1250,6.191E-6,10.0000,0.0815,0.2000,0.0192,0.2500,3.305E-6,1.6124,0.0141,0.5082,0.0000,0.0625,3.261E-4,22.7624,0.2183,0.0856,0.0962,0.3125,5.24E-9,21.4610,0.2044,0.0926,0.0897,0.3125,1.201E-8,19.0151,0.1771,0.1075,0.0705,0.3125,5.791E-8,9.7134,0.0790,0.2047,0.0192,0.1875,3.309E-7,8.0587,0.0641,0.2358,0.0192,0.1250,1.198E-7,4.3942,0.0352,0.3393,0.0064,0.1250,1.502E-5,14.5362,0.1283,0.1435,0.0513,0.3125,1.148E-6
Melanerpes_carolinus,156,2.0619,2.5165,500,0.9676,16,1.2028,0.8952,0.0325,10154,8.5404,4.2682,3.0965,3.5859,3.6275,14.2125,2.4837,0.0000,1.8557,0.7872,0.5320,5.6665,2.1563,1.5908,0.7569,0.8321,1.3982,0.4407,0.9092,26.8455,4.5596,2.1425,0.3773,0.2259,0.3962,0.2058,0.4068,6.8431,1.1225,0.1092,0.0252,7.2286,0.0644,1.0000,0.0093,0.5646,0.0000,0.0000,1.066E-4,5.0000,0.0386,0.3052,0.0064,0.1250,3.736E-6,10.0000,0.0804,0.1919,0.0321,0.1250,7.452E-9,3.0452,0.0239,0.3887,0.0000,0.0625,7.108E-6,22.1371,0.2113,0.0832,0.0962,0.3125,3.896E-9,20.9082,0.1966,0.0897,0.0897,0.3125,8.627E-9,19.9953,0.1868,0.0948,0.0769,0.3125,1.549E-8,10.2201,0.0824,0.1886,0.0385,0.1875,1.201E-7,10.2157,0.0823,0.1886,0.0385,0.1250,5.869E-9,6.6031,0.0515,0.2587,0.0064,0.1250,4.158E-7,14.6218,0.1229,0.1357,0.0577,0.2500,4.161E-8
Melanerpes_carolinus,155,2.0754,2.5206,500,0.9692,17,0.9288,0.8166,0.0646,10153,10.0666,5.4933,4.3236,0.1997,5.7288,12.1246,2.4479,0.0000,0.8230,2.1548,0.3642,5.7412,1.9119,1.4094,0.1955,0.4976,0.8907,0.7307,0.3137,28.3633,4.8271,1.8926,0.4015,0.1672,0.0976,0.6007,0.7404,5.6138,1.2434,0.5577,0.0775,7.1946,0.0621,1.0000,0.0087,0.5525,0.0000,0.1176,4.336E-3,5.0000,0.0376,0.2929,0.0129,0.2353,7.848E-5,10.0000,0.0802,0.1813,0.0194,0.2941,3.136E-6,1.7771,0.0145,0.4635,0.0000,0.1765,2.645E-3,22.3333,0.2226,0.0774,0.0968,0.3529,4.766E-9,22.0169,0.2165,0.0789,0.0774,0.3529,5.817E-9,17.0407,0.1537,0.1079,0.0387,0.3529,1.538E-7,5.1059,0.0384,0.2895,0.0129,0.2941,4.564E-4,23.9613,0.2464,0.0703,0.1097,0.3529,1.727E-9,4.5545,0.0342,0.3088,0.0065,0.2353,1.436E-4,14.2096,0.1232,0.1312,0.0258,0.3529,1.139E-6
