Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Melanolophia_signataria,109,3.2971,3.9792,500,0.9922,13,4.0070,0.9940,0.0016,10109,2.6519,1.8054,3.8916,0.1162,2.4845,14.8654,2.3419,1.1137,1.5966,4.8511,0.0000,2.2312,6.4481,0.4375,18.6222,0.2764,0.4265,3.7591,2.5781,0.1923,2.8141,4.0317,5.3442,1.5159,6.1284,1.7077,0.7187,0.9262,0.1409,5.9580,0.0243,5.9842,0.0172,1.0000,0.0026,0.3605,0.0000,0.0000,1.735E-6,5.0000,0.0156,0.1276,0.0092,0.0000,2.379E-12,10.0000,0.0485,0.0562,0.0183,0.0000,5.563E-17,4.7298,0.0144,0.1346,0.0000,0.0000,4.775E-12,31.4701,0.5755,0.0097,0.0734,0.0769,8.877E-24,16.0854,0.1221,0.0275,0.0275,0.0000,5.145E-21,17.4202,0.1460,0.0240,0.0275,0.0000,8.947E-22,18.9044,0.1693,0.0210,0.0459,0.0000,1.518E-22,18.9044,0.1693,0.0210,0.0459,0.0000,1.518E-22,4.7298,0.0144,0.1346,0.0000,0.0000,4.775E-12,12.8609,0.0777,0.0393,0.0275,0.0000,5.285E-19
Melanolophia_signataria,109,3.3083,3.9794,500,0.9926,13,3.6926,0.9785,0.0164,10109,7.2946,1.5025,3.7245,0.3493,2.9220,15.1557,3.3161,0.8838,1.6313,1.2104,0.0000,3.0150,4.9484,0.5390,16.7254,0.6407,0.9207,4.2828,1.8608,0.2872,2.6208,4.6918,3.5819,2.3062,6.5982,2.4584,0.5103,0.1461,0.0097,5.7778,0.0882,5.9841,0.0172,1.0000,0.0026,0.3585,0.0000,0.0000,1.615E-6,5.0000,0.0161,0.1277,0.0000,0.0769,2.158E-10,10.0000,0.0477,0.0569,0.0183,0.0769,1.413E-14,7.5065,0.0286,0.0826,0.0000,0.0769,1.211E-12,31.0052,0.5467,0.0098,0.0642,0.1538,6.088E-21,14.5975,0.0976,0.0321,0.0275,0.0769,1.482E-17,18.9040,0.1746,0.0209,0.0367,0.0769,8.717E-20,7.9577,0.0315,0.0770,0.0092,0.0769,5.214E-13,25.7002,0.3330,0.0124,0.0642,0.0769,1.642E-22,4.8643,0.0154,0.1311,0.0000,0.0769,2.938E-10,12.8467,0.0759,0.0393,0.0275,0.0769,1.686E-16
Melanolophia_signataria,109,3.2835,3.9739,500,0.9924,13,4.0813,0.9942,0.0010,10109,6.6522,1.6233,4.0031,1.1013,2.7493,19.1884,2.4153,1.0886,2.2036,2.1532,0.0000,1.7711,5.3774,0.2809,16.4139,0.2298,1.3730,3.7631,2.3682,0.1995,1.4422,6.3307,2.6713,1.3537,5.7568,1.6664,0.5056,0.1995,0.0240,4.9747,0.1197,6.0058,0.0176,1.0000,0.0026,0.3688,0.0000,0.0000,2.333E-6,5.0000,0.0155,0.1338,0.0000,0.0000,4.422E-12,10.0000,0.0467,0.0599,0.0275,0.0000,1.291E-16,7.8178,0.0300,0.0827,0.0000,0.0000,8.462E-15,31.1050,0.5648,0.0100,0.0917,0.0769,1.274E-23,15.1366,0.1008,0.0320,0.0275,0.0000,3.618E-20,19.9518,0.1847,0.0199,0.0367,0.0000,7.592E-23,27.8255,0.4150,0.0112,0.0642,0.0000,4.254E-26,27.8255,0.4150,0.0112,0.0642,0.0000,4.254E-26,5.0684,0.0158,0.1322,0.0000,0.0000,3.752E-12,13.2116,0.0772,0.0401,0.0275,0.0000,6.85E-19
Melanolophia_signataria,111,3.2843,3.9461,500,0.9920,11,3.6843,0.9913,0.0022,10111,7.8505,0.8520,1.6141,2.2666,2.8169,20.2156,2.2346,1.5584,2.2278,2.1324,0.0000,1.4346,4.0850,0.3375,14.8825,0.2284,1.1317,3.5534,1.9851,0.2142,2.2019,7.2908,1.2699,2.3665,5.4595,1.8053,0.5855,0.1283,0.1013,7.1081,0.0614,5.9872,0.0173,1.0000,0.0026,0.3600,0.0000,0.0000,1.316E-5,5.0000,0.0159,0.1269,0.0000,0.0000,1.373E-10,10.0000,0.0492,0.0560,0.0270,0.0000,1.691E-14,5.9492,0.0202,0.1064,0.0000,0.0000,1.982E-11,31.1374,0.5564,0.0099,0.0991,0.1818,4.892E-17,14.9105,0.1064,0.0308,0.0270,0.0000,2.331E-17,20.3082,0.2049,0.0186,0.0360,0.1818,1.412E-14,18.2214,0.1649,0.0223,0.0360,0.0000,6.626E-19,18.2214,0.1649,0.0223,0.0360,0.0000,6.626E-19,4.9272,0.0155,0.1288,0.0000,0.0000,1.614E-10,12.7331,0.0775,0.0394,0.0270,0.0000,3.515E-16
Melanolophia_signataria,110,3.2734,3.9735,500,0.9922,12,3.9421,0.9907,0.0052,10110,7.9514,0.4362,5.0251,0.7299,2.9727,15.0306,3.3497,0.6319,1.5882,0.7408,0.0000,2.5663,3.5078,0.3070,18.3067,0.5157,1.5297,6.1322,2.1360,0.2302,2.5123,5.7518,1.5271,0.8130,6.5667,1.5246,0.5299,0.1858,0.4199,6.4489,0.0318,6.0241,0.0179,1.0000,0.0027,0.3849,0.0000,0.0000,1.056E-5,5.0000,0.0150,0.1407,0.0000,0.0000,5.995E-11,10.0000,0.0429,0.0622,0.0273,0.0833,6.117E-13,6.8288,0.0237,0.1019,0.0000,0.0000,1.25E-12,32.2909,0.5747,0.0096,0.1000,0.0833,7.543E-22,16.9056,0.1261,0.0273,0.0273,0.0833,7.344E-17,24.0649,0.2898,0.0143,0.0364,0.0833,6.255E-20,9.3723,0.0383,0.0683,0.0182,0.0833,1.71E-12,9.3644,0.0383,0.0683,0.0182,0.0000,1.039E-14,5.2784,0.0160,0.1334,0.0000,0.0000,3.185E-11,13.2382,0.0779,0.0409,0.0273,0.0833,6.107E-15
Melanolophia_signataria,110,3.4088,3.9900,500,0.9919,12,2.1438,0.9448,0.0244,10110,4.9096,4.3406,3.6198,1.0786,2.9916,19.6414,3.0063,0.5308,1.5855,1.0648,0.0000,2.3797,4.0956,0.2037,17.3737,0.1944,0.4836,4.0554,1.9169,0.4306,1.1546,7.2616,0.5417,1.3830,4.4581,1.0284,0.5667,0.8889,0.2325,8.4516,0.1304,5.8886,0.0156,1.0000,0.0023,0.3452,0.0000,0.0000,2.863E-6,5.0000,0.0151,0.1145,0.0091,0.1667,2.059E-8,10.0000,0.0467,0.0486,0.0182,0.1667,4.402E-12,4.3292,0.0121,0.1319,0.0000,0.1667,8.178E-8,28.8020,0.5637,0.0097,0.0909,0.4167,6.103E-12,12.0547,0.0700,0.0364,0.0364,0.4167,5.704E-8,10.7486,0.0548,0.0435,0.0182,0.1667,1.484E-12,3.3239,0.0087,0.1667,0.0000,0.1667,7.86E-7,10.7486,0.0548,0.0435,0.0182,0.1667,1.484E-12,4.3292,0.0121,0.1319,0.0000,0.1667,8.178E-8,12.2279,0.0740,0.0356,0.0364,0.4167,4.908E-8
Melanolophia_signataria,110,3.2909,3.9451,500,0.9917,12,3.7882,0.9851,0.0104,10110,4.0428,1.9131,5.0936,3.0544,2.7172,16.9637,3.0983,1.2365,0.0000,1.9133,0.0000,1.8113,4.5093,0.3914,21.1847,0.2530,0.8059,3.5101,1.9279,0.2623,2.0139,6.6939,0.6048,1.9172,5.1687,2.2625,0.5896,0.1372,0.0564,5.8062,0.0608,6.0009,0.0176,1.0000,0.0028,0.3566,0.0000,0.0000,4.225E-6,5.0000,0.0163,0.1284,0.0000,0.0833,1.654E-9,10.0000,0.0477,0.0572,0.0273,0.0833,2.425E-13,5.6744,0.0191,0.1135,0.0000,0.0833,4.309E-10,30.5295,0.5134,0.0102,0.1000,0.1667,7.804E-19,14.8826,0.1038,0.0321,0.0364,0.0833,4.412E-16,19.9632,0.1917,0.0198,0.0364,0.0833,2.139E-18,7.4939,0.0289,0.0834,0.0182,0.0833,1.501E-11,28.7035,0.4689,0.0110,0.0636,0.0833,3.32E-21,4.9172,0.0157,0.1305,0.0000,0.0833,1.969E-9,12.9133,0.0833,0.0399,0.0273,0.0833,4.668E-15
Melanolophia_signataria,110,3.3960,4.0139,500,0.9925,12,1.9302,0.8900,0.0636,10110,7.6690,0.3082,4.4642,0.6571,2.4378,20.3257,2.4700,0.8920,1.4842,1.2423,0.0001,2.0354,4.6291,0.1886,15.4242,0.1192,0.4682,5.0510,2.4231,0.1714,1.4901,8.9640,2.0310,0.9838,4.9471,1.8677,0.3502,0.8730,0.0333,5.9637,0.0351,5.8804,0.0155,1.0000,0.0024,0.3271,0.0000,0.1667,4.576E-4,5.0000,0.0159,0.1117,0.0091,0.2500,4.326E-7,10.0000,0.0479,0.0475,0.0182,0.2500,2.366E-10,4.7063,0.0147,0.1184,0.0000,0.2500,7.176E-7,28.5790,0.5354,0.0098,0.0727,0.5000,7.745E-10,14.3875,0.1056,0.0273,0.0273,0.2500,1.72E-12,16.6213,0.1407,0.0215,0.0273,0.2500,2.006E-13,3.1527,0.0087,0.1667,0.0000,0.1667,7.86E-7,20.7451,0.2328,0.0147,0.0455,0.2500,6.933E-15,4.5471,0.0139,0.1223,0.0000,0.2500,9.466E-7,12.2025,0.0735,0.0353,0.0182,0.2500,1.705E-11
Melanolophia_signataria,110,3.3611,4.0356,500,0.9936,12,1.6886,0.8484,0.0898,10110,4.2206,2.9056,4.7413,1.6605,1.9919,18.9095,1.3580,0.9300,1.5777,2.1669,0.0000,2.3113,4.6482,0.9508,17.3497,1.1574,1.1420,4.3850,1.6155,0.1432,0.9841,6.2077,1.6319,1.4192,6.4881,1.2553,0.4211,0.1466,0.1830,6.9769,0.1210,5.9399,0.0164,1.0000,0.0024,0.3603,0.0000,0.1667,1.103E-3,5.0000,0.0149,0.1246,0.0000,0.1667,4.692E-8,10.0000,0.0469,0.0541,0.0000,0.2500,7.526E-10,10.4664,0.0513,0.0507,0.0000,0.2500,4.264E-10,28.4805,0.4939,0.0102,0.1000,0.5000,9.803E-10,15.5210,0.1087,0.0273,0.0273,0.3333,1.384E-10,13.5792,0.0849,0.0341,0.0091,0.2500,1.257E-11,3.6310,0.0097,0.1667,0.0000,0.1667,7.86E-7,9.0704,0.0389,0.0618,0.0000,0.1667,4.793E-11,4.9646,0.0148,0.1255,0.0000,0.1667,5.029E-8,12.8087,0.0746,0.0375,0.0091,0.2500,2.902E-11
Melanolophia_signataria,110,3.2754,3.9419,500,0.9922,12,3.9385,0.9935,0.0012,10110,3.1956,3.0006,3.7535,2.7847,2.5099,19.7060,4.0299,0.7958,0.8938,2.4351,0.0000,1.9179,4.2836,0.3345,17.8648,0.4901,0.6514,3.8469,1.9624,0.2203,2.4836,6.1000,2.7132,1.6392,4.8996,1.4922,0.6617,0.9049,0.2185,4.1431,0.0673,6.0252,0.0180,1.0000,0.0026,0.3766,0.0000,0.0000,8.128E-6,5.0000,0.0153,0.1372,0.0000,0.0000,4.445E-11,10.0000,0.0473,0.0608,0.0273,0.0000,2.567E-15,6.8430,0.0237,0.0984,0.0000,0.0000,8.258E-13,31.5118,0.5739,0.0100,0.1000,0.0833,1.176E-21,15.0948,0.1010,0.0328,0.0364,0.0000,1.573E-18,15.0948,0.1010,0.0328,0.0273,0.0000,1.573E-18,26.0041,0.3203,0.0129,0.0636,0.0000,2.043E-23,26.0041,0.3203,0.0129,0.0636,0.0000,2.043E-23,5.2023,0.0161,0.1320,0.0000,0.0000,2.81E-11,13.1799,0.0796,0.0409,0.0273,0.0000,2.16E-17
