Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Metalimnobia_immatura,74,4.2359,4.7337,500,0.9963,9,3.2958,0.9142,0.0767,10074,10.6427,6.8286,0.6531,1.1311,3.7223,5.6305,4.8396,0.2715,0.0000,8.5423,0.0414,1.3246,19.0432,0.0000,0.1998,3.4383,0.1134,0.0000,0.0121,0.0000,0.0000,11.8952,0.0000,0.2263,0.0560,2.3596,12.3375,0.0000,3.4906,3.2002,0.0000,4.9819,0.0065,1.0000,0.0017,0.1147,0.0000,0.1111,2.413E-7,5.0000,0.0246,0.0229,0.0000,0.1111,6.739E-13,10.0000,0.1351,0.0095,0.0000,0.1111,6.069E-16,15.0067,0.5191,0.0072,0.0000,0.1111,6.798E-17,17.4515,0.5754,0.0070,0.0405,0.2222,3.071E-14,15.7643,0.5247,0.0072,0.0135,0.1111,6.798E-17,15.0067,0.5191,0.0072,0.0000,0.1111,6.798E-17,1.0424,0.0018,0.1111,0.0000,0.1111,1.88E-7,15.0067,0.5191,0.0072,0.0000,0.1111,6.798E-17,2.2907,0.0058,0.0552,0.0000,0.1111,7.368E-10,7.1328,0.0513,0.0144,0.0000,0.1111,1.637E-14
Metalimnobia_immatura,74,4.1335,4.6419,500,0.9953,9,4.6393,0.9957,0.0009,10074,12.7806,4.0996,1.9478,0.9526,5.5261,5.1817,4.7168,0.1551,0.0000,10.4909,0.0586,1.2657,17.4397,0.0179,0.0000,2.9083,0.2521,0.0000,0.0477,0.0000,0.0000,9.6241,0.0000,0.5664,0.0704,4.8067,12.3581,0.0000,2.0635,2.6695,0.0000,5.1197,0.0073,1.0000,0.0014,0.1753,0.0000,0.0000,1.564E-7,5.0000,0.0169,0.0366,0.0135,0.0000,1.187E-13,10.0000,0.0723,0.0133,0.0135,0.0000,1.304E-17,2.4677,0.0048,0.0830,0.0000,0.0000,1.867E-10,20.0501,0.5802,0.0069,0.0541,0.1111,4.861E-17,9.9336,0.0705,0.0135,0.0135,0.0000,1.489E-17,17.7155,0.5399,0.0072,0.0135,0.0000,5.509E-20,17.7155,0.5399,0.0072,0.0135,0.0000,5.509E-20,17.7155,0.5399,0.0072,0.0135,0.0000,5.509E-20,2.4677,0.0048,0.0830,0.0000,0.0000,1.867E-10,8.6855,0.0555,0.0166,0.0135,0.0000,9.454E-17
Metalimnobia_immatura,74,4.1272,4.6383,500,0.9952,9,4.7340,0.9959,0.0007,10074,5.8779,6.0267,3.2000,4.1898,4.0759,4.9059,3.0928,0.2032,0.0000,8.9282,0.1249,0.4402,22.9045,0.0057,0.0249,4.3330,0.2329,0.0000,0.0419,0.0000,0.0000,13.6486,0.0000,0.4138,0.1062,0.5731,11.4788,0.0000,2.4484,2.7227,0.0000,5.1370,0.0074,1.0000,0.0015,0.1754,0.0000,0.0000,1.571E-7,5.0000,0.0172,0.0374,0.0135,0.0000,1.44E-13,10.0000,0.0729,0.0139,0.0135,0.0000,1.933E-17,2.2574,0.0043,0.0928,0.0000,0.0000,5.111E-10,25.4256,0.6151,0.0064,0.0676,0.0000,1.686E-20,10.2303,0.0755,0.0135,0.0135,0.0000,1.489E-17,18.0432,0.5468,0.0071,0.0135,0.0000,4.866E-20,25.4256,0.6151,0.0064,0.0676,0.0000,1.686E-20,25.4256,0.6151,0.0064,0.0676,0.0000,1.686E-20,2.2574,0.0043,0.0928,0.0000,0.0000,5.111E-10,8.8189,0.0596,0.0169,0.0135,0.0000,1.11E-16
Metalimnobia_immatura,75,4.1163,4.6283,500,0.9951,8,4.6772,0.9944,0.0007,10075,9.5051,6.2589,1.4162,3.3500,4.9515,6.8814,2.3734,0.0204,0.0000,7.1531,0.3781,0.4002,22.3576,0.0024,0.0000,4.2493,0.1757,0.0000,0.0087,0.0000,0.0000,12.4883,0.0000,0.3995,0.0958,0.5520,12.0584,0.0000,2.2484,2.6755,0.0000,5.1276,0.0073,1.0000,0.0015,0.1707,0.0000,0.0000,7.216E-7,5.0000,0.0174,0.0355,0.0133,0.0000,2.542E-12,10.0000,0.0742,0.0132,0.0133,0.0000,9.223E-16,2.1170,0.0039,0.0949,0.0000,0.0000,6.572E-9,21.2574,0.6200,0.0069,0.0667,0.0000,5.43E-18,9.9977,0.0735,0.0133,0.0133,0.0000,9.792E-16,17.6727,0.5304,0.0072,0.0133,0.0000,7.597E-18,27.1084,0.6308,0.0064,0.1467,0.0000,2.651E-18,27.1084,0.6308,0.0064,0.1467,0.0000,2.651E-18,2.1170,0.0039,0.0949,0.0000,0.0000,6.572E-9,8.6482,0.0515,0.0167,0.0133,0.0000,5.977E-15
Metalimnobia_immatura,75,4.1196,4.6279,500,0.9950,8,4.6513,0.9950,0.0009,10075,7.6076,8.0908,3.5897,1.9811,5.0644,4.4405,5.0118,0.2435,0.0000,9.8879,0.0698,0.6848,17.7379,0.0155,0.0000,2.9274,0.2211,0.0000,0.0080,0.0000,0.0000,10.0413,0.0000,0.3450,0.1680,4.4664,11.6101,0.0000,1.8915,3.8961,0.0000,5.1217,0.0073,1.0000,0.0015,0.1687,0.0000,0.0000,6.571E-7,5.0000,0.0178,0.0349,0.0133,0.0000,2.22E-12,10.0000,0.0718,0.0131,0.0133,0.0000,8.682E-16,1.9543,0.0036,0.1000,0.0000,0.0000,1.004E-8,19.9420,0.6056,0.0070,0.0533,0.1250,6.863E-15,9.9368,0.0701,0.0133,0.0133,0.0000,9.792E-16,18.2948,0.5415,0.0071,0.0133,0.0000,6.803E-18,18.2948,0.5415,0.0071,0.0133,0.0000,6.803E-18,18.2948,0.5415,0.0071,0.0133,0.0000,6.803E-18,1.9543,0.0036,0.1000,0.0000,0.0000,1.004E-8,8.6321,0.0558,0.0166,0.0133,0.0000,5.699E-15
Metalimnobia_immatura,75,4.1083,4.6268,500,0.9953,8,4.7296,0.9957,0.0008,10075,7.3486,6.0526,6.6122,2.1208,4.6332,6.6375,3.8610,0.0186,0.0000,7.2646,0.2125,0.8359,18.7235,0.0025,0.0000,3.5547,0.2253,0.0000,0.0494,0.0000,0.0000,11.6303,0.0000,0.4578,0.1090,2.9150,12.3624,0.0000,1.8260,2.5468,0.0000,5.1600,0.0075,1.0000,0.0015,0.1847,0.0000,0.0000,1.355E-6,5.0000,0.0163,0.0392,0.0133,0.0000,5.582E-12,10.0000,0.0701,0.0144,0.0133,0.0000,1.841E-15,2.6877,0.0054,0.0825,0.0000,0.0000,2.142E-9,21.9053,0.6238,0.0069,0.0667,0.0000,5.43E-18,10.5205,0.0794,0.0133,0.0133,0.0000,9.792E-16,18.2596,0.5524,0.0072,0.0133,0.0000,7.597E-18,36.5455,0.6566,0.0055,0.1467,0.0000,7.888E-19,36.5455,0.6566,0.0055,0.1467,0.0000,7.888E-19,2.6877,0.0054,0.0825,0.0000,0.0000,2.142E-9,8.8583,0.0583,0.0173,0.0133,0.0000,7.915E-15
Metalimnobia_immatura,75,4.1087,4.6245,500,0.9950,8,4.7239,0.9964,0.0008,10075,11.2385,5.2646,2.2626,1.3435,5.0498,6.3292,4.1211,0.2529,0.0000,8.5136,0.0416,1.2176,20.8737,0.0332,0.0125,3.0308,0.1998,0.0000,0.0381,0.0000,0.0000,11.8099,0.0000,0.4373,0.1576,4.4835,8.1523,0.0000,1.8188,3.2223,0.0952,5.1500,0.0075,1.0000,0.0014,0.1855,0.0000,0.0000,1.403E-6,5.0000,0.0162,0.0384,0.0133,0.0000,4.739E-12,10.0000,0.0698,0.0141,0.0133,0.0000,1.557E-15,2.1511,0.0039,0.1018,0.0000,0.0000,1.157E-8,23.1146,0.6053,0.0067,0.0933,0.1250,5.074E-15,10.4025,0.0748,0.0133,0.0133,0.0000,9.792E-16,17.9146,0.5496,0.0073,0.0133,0.0000,8.47E-18,22.2250,0.5978,0.0067,0.0267,0.0000,4.306E-18,22.2250,0.5978,0.0067,0.0267,0.0000,4.306E-18,2.1511,0.0039,0.1018,0.0000,0.0000,1.157E-8,8.8476,0.0594,0.0171,0.0133,0.0000,7.216E-15
Metalimnobia_immatura,75,4.1672,4.6505,500,0.9955,8,2.9404,0.9572,0.0229,10075,9.2185,4.0396,4.2019,1.4729,5.2099,7.2180,3.6842,0.0197,0.0000,7.8427,0.1362,0.3716,20.6993,0.0000,0.0000,5.4308,0.1669,0.0000,0.0458,0.0000,0.0000,11.8564,0.0000,0.4574,0.0837,0.2753,11.2762,0.0000,4.1231,2.1700,0.0000,5.0824,0.0070,1.0000,0.0016,0.1532,0.0000,0.2500,2.728E-4,5.0000,0.0184,0.0318,0.0133,0.2500,2.72E-8,10.0000,0.0830,0.0118,0.0133,0.2500,7.45E-11,2.8500,0.0068,0.0624,0.0000,0.2500,1.485E-6,25.2028,0.6159,0.0064,0.0667,0.2500,1.82E-12,9.2729,0.0705,0.0133,0.0133,0.2500,1.515E-10,16.5938,0.4882,0.0073,0.0133,0.2500,4.341E-12,0.9820,0.0015,0.1550,0.0000,0.2500,2.925E-4,0.9817,0.0015,0.1550,0.0000,0.0000,3.338E-7,2.8500,0.0068,0.0624,0.0000,0.2500,1.485E-6,8.1659,0.0537,0.0160,0.0133,0.2500,4.536E-10
Metalimnobia_immatura,75,4.1054,4.6270,500,0.9950,8,4.7254,0.9955,0.0007,10075,10.4930,6.1673,3.1372,0.0341,5.7914,5.4253,3.9556,0.4703,0.0000,9.5187,0.0731,0.5106,18.8777,0.0071,0.0000,3.4016,0.1578,0.0000,0.0064,0.0000,0.0000,10.1065,0.0000,0.4091,0.1564,3.7054,11.7582,0.0000,2.2043,3.6328,0.0000,5.1384,0.0074,1.0000,0.0014,0.1809,0.0000,0.0000,1.149E-6,5.0000,0.0164,0.0372,0.0133,0.0000,3.684E-12,10.0000,0.0722,0.0135,0.0133,0.0000,1.102E-15,2.0413,0.0036,0.1035,0.0000,0.0000,1.319E-8,26.3289,0.6248,0.0064,0.0667,0.0000,2.651E-18,10.1352,0.0741,0.0133,0.0133,0.0000,9.792E-16,17.8408,0.5613,0.0073,0.0133,0.0000,8.47E-18,35.0737,0.6507,0.0056,0.1467,0.0000,9.111E-19,35.0737,0.6507,0.0056,0.1467,0.0000,9.111E-19,2.0413,0.0036,0.1035,0.0000,0.0000,1.319E-8,8.7096,0.0555,0.0169,0.0133,0.0000,6.571E-15
Metalimnobia_immatura,75,4.1501,4.6410,500,0.9955,8,3.7885,0.9694,0.0260,10075,6.5283,2.6362,4.8033,3.8114,3.9729,5.0519,3.7712,0.2514,0.0000,9.5099,0.0158,1.3072,20.4755,0.0775,0.0000,2.9357,0.2442,0.0000,0.0470,0.0000,0.0000,13.9713,0.0000,0.4642,0.0958,4.0257,8.4248,0.0000,3.2967,4.2821,0.0000,5.0997,0.0071,1.0000,0.0015,0.1656,0.0000,0.1250,2.332E-5,5.0000,0.0171,0.0335,0.0133,0.1250,3.714E-10,10.0000,0.0765,0.0124,0.0133,0.1250,3.581E-13,2.9177,0.0065,0.0651,0.0000,0.1250,3.743E-8,24.7980,0.6172,0.0065,0.0533,0.1250,3.701E-15,9.5741,0.0736,0.0133,0.0133,0.1250,5.821E-13,17.1402,0.5904,0.0073,0.0133,0.1250,9.166E-15,1.4725,0.0024,0.1250,0.0000,0.1250,3.391E-6,27.9651,0.6338,0.0062,0.1333,0.1250,2.659E-15,2.9177,0.0065,0.0651,0.0000,0.1250,3.743E-8,8.3619,0.0533,0.0162,0.0133,0.1250,2.288E-12
