Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Micromus_subanticus,28,5.1311,5.6995,500,0.9986,4,5.7360,0.9983,0.0004,10028,20.7438,4.9038,1.6827,1.5199,2.9243,0.8786,3.7674,23.7681,2.1080,0.6212,0.0000,9.1130,17.0511,0.0000,2.4133,0.7678,0.9663,0.1556,0.0683,0.0000,0.0000,0.6583,0.0000,0.0000,0.0239,0.1566,4.2841,1.3589,0.0652,0.0000,0.0000,4.0930,0.0025,1.0000,0.0007,0.1182,0.0000,0.0000,1.95E-4,5.0000,0.0088,0.0182,0.0000,0.0000,1.109E-7,10.0000,0.0646,0.0039,0.0000,0.0000,2.288E-10,14.4709,0.3991,0.0028,0.0000,0.0000,6.078E-11,16.7927,0.5818,0.0027,0.0357,0.0000,5.255E-11,14.4709,0.3991,0.0028,0.0000,0.0000,6.078E-11,14.4709,0.3991,0.0028,0.0000,0.0000,6.078E-11,24.1511,0.6014,0.0023,0.1071,0.0000,2.767E-11,24.1511,0.6014,0.0023,0.1071,0.0000,2.767E-11,2.4004,0.0024,0.0531,0.0000,0.0000,7.921E-6,8.3223,0.0320,0.0059,0.0000,0.0000,1.198E-9
Micromus_subanticus,28,5.1643,5.7012,500,0.9986,4,5.4530,0.9980,0.0005,10028,14.5843,3.4150,2.7188,5.1493,3.1798,3.6394,8.8749,24.9110,0.0000,0.0368,0.0000,11.3415,9.3898,0.0000,0.4535,1.5182,1.1285,0.2565,0.0732,0.0000,0.0000,0.0958,0.1388,0.0000,0.0006,0.2529,3.6710,4.6329,0.0395,0.0000,0.4979,4.0522,0.0025,1.0000,0.0006,0.1168,0.0000,0.0000,1.859E-4,5.0000,0.0097,0.0155,0.0000,0.0000,5.708E-8,10.0000,0.0938,0.0035,0.0000,0.0000,1.484E-10,13.9903,0.3993,0.0027,0.0000,0.0000,5.255E-11,17.2383,0.4855,0.0026,0.0714,0.2500,6.958E-8,13.9903,0.3993,0.0027,0.0000,0.0000,5.255E-11,13.9903,0.3993,0.0027,0.0000,0.0000,5.255E-11,15.5981,0.4805,0.0026,0.0357,0.0000,4.519E-11,15.5981,0.4805,0.0026,0.0357,0.0000,4.519E-11,2.3943,0.0023,0.0493,0.0000,0.0000,5.889E-6,7.7773,0.0328,0.0057,0.0000,0.0000,1.044E-9
Micromus_subanticus,29,5.2894,5.7205,500,0.9986,3,1.6551,0.8673,0.1071,10029,8.9868,5.7605,9.0445,4.0886,2.8652,0.9874,10.1665,20.5116,0.0009,0.0176,0.1215,11.3329,15.9836,0.0000,0.5561,0.5105,0.5408,0.2215,0.0709,0.0000,0.0000,1.9531,0.0000,0.0000,0.6225,0.0000,3.0491,2.5982,0.0097,0.0000,0.0000,3.9471,0.0023,1.0000,0.0009,0.0684,0.0000,0.3333,1.34E-2,5.0000,0.0165,0.0091,0.0000,0.3333,2.455E-4,10.0000,0.5635,0.0029,0.0000,0.3333,2.504E-5,12.4246,0.5635,0.0029,0.0000,0.3333,2.504E-5,17.4315,0.5656,0.0027,0.0690,0.3333,2.17E-5,12.4246,0.5635,0.0029,0.0000,0.3333,2.504E-5,12.4246,0.5635,0.0029,0.0000,0.3333,2.504E-5,0.0287,0.0000,0.3333,0.0000,0.3333,2.593E-1,22.4637,0.5660,0.0025,0.1379,0.3333,1.861E-5,1.7483,0.0021,0.0403,0.0000,0.3333,4.737E-3,6.7393,0.0301,0.0051,0.0000,0.3333,7.732E-5
Micromus_subanticus,29,5.1317,5.6658,500,0.9986,3,5.5166,0.9984,0.0006,10029,13.1054,4.5153,3.5585,2.7614,4.5265,3.8442,4.6921,27.6903,0.0000,0.0000,0.0000,7.5010,16.0803,0.0000,0.6230,2.4103,0.7720,0.1814,0.1983,0.0836,0.0000,0.1180,0.0693,0.2081,0.0484,1.6424,3.5949,1.6672,0.1083,0.0000,0.0000,4.0954,0.0026,1.0000,0.0006,0.1202,0.0000,0.0000,1.735E-3,5.0000,0.0088,0.0168,0.0000,0.0000,4.701E-6,10.0000,0.0913,0.0036,0.0000,0.0000,4.625E-8,14.0343,0.4004,0.0028,0.0000,0.0000,2.176E-8,17.8337,0.5834,0.0027,0.0690,0.3333,2.17E-5,14.0343,0.4004,0.0028,0.0000,0.0000,2.176E-8,14.0343,0.4004,0.0028,0.0000,0.0000,2.176E-8,14.0343,0.4004,0.0028,0.0000,0.0000,2.176E-8,14.0343,0.4004,0.0028,0.0000,0.0000,2.176E-8,2.4466,0.0024,0.0508,0.0000,0.0000,1.307E-4,7.8280,0.0289,0.0060,0.0000,0.0000,2.141E-7
Micromus_subanticus,29,5.0992,5.6616,500,0.9986,3,5.7679,0.9985,0.0004,10029,20.5128,4.1885,1.1451,2.0040,2.6272,0.5180,2.1615,28.5092,0.0001,2.7896,0.0087,5.9976,16.7691,0.0000,0.6677,1.3059,0.6606,0.0000,0.0229,0.8137,0.0000,0.5934,0.0000,0.3388,0.1380,0.1784,4.7437,3.2571,0.0482,0.0000,0.0000,4.1308,0.0026,1.0000,0.0007,0.1241,0.0000,0.0000,1.913E-3,5.0000,0.0085,0.0190,0.0000,0.0000,6.908E-6,10.0000,0.0672,0.0040,0.0000,0.0000,6.345E-8,14.6666,0.4013,0.0028,0.0000,0.0000,2.176E-8,19.0047,0.5744,0.0026,0.0345,0.0000,1.742E-8,14.6666,0.4013,0.0028,0.0000,0.0000,2.176E-8,14.6666,0.4013,0.0028,0.0000,0.0000,2.176E-8,29.3083,0.6341,0.0022,0.1724,0.0000,1.056E-8,29.3083,0.6341,0.0022,0.1724,0.0000,1.056E-8,2.5046,0.0025,0.0537,0.0000,0.0000,1.552E-4,8.1988,0.0315,0.0062,0.0000,0.0000,2.363E-7
Micromus_subanticus,29,5.1150,5.6549,500,0.9986,3,5.5240,0.9980,0.0004,10029,13.9473,3.4205,2.7971,1.7179,2.0209,3.0514,1.5760,21.3485,2.9744,2.3329,1.4389,16.0690,15.2425,0.0000,1.0569,0.7083,1.0926,0.2403,0.0539,0.0000,0.0000,0.0612,0.1931,0.0000,0.0025,0.1447,4.8865,3.5812,0.0414,0.0000,0.0000,4.1180,0.0026,1.0000,0.0007,0.1193,0.0000,0.0000,1.696E-3,5.0000,0.0087,0.0176,0.0000,0.0000,5.497E-6,10.0000,0.0902,0.0039,0.0000,0.0000,5.881E-8,14.4125,0.3632,0.0029,0.0000,0.0000,2.418E-8,20.3852,0.5782,0.0025,0.0690,0.3333,1.861E-5,14.4125,0.3632,0.0029,0.0000,0.0000,2.418E-8,14.4125,0.3632,0.0029,0.0000,0.0000,2.418E-8,15.9231,0.4814,0.0027,0.0345,0.0000,1.951E-8,15.9231,0.4814,0.0027,0.0345,0.0000,1.951E-8,2.4517,0.0024,0.0523,0.0000,0.0000,1.435E-4,8.0937,0.0314,0.0061,0.0000,0.0000,2.25E-7
Micromus_subanticus,29,5.0947,5.6595,500,0.9986,3,5.7711,0.9985,0.0003,10029,12.6599,3.3648,4.9580,2.5986,5.2223,1.0832,6.7836,20.3250,0.0000,0.3141,0.5916,15.0200,15.3797,0.0000,1.1533,0.7568,0.9183,0.1722,0.0248,0.0000,0.0000,0.1469,0.0000,0.0072,0.0568,2.6650,4.2037,1.5528,0.0415,0.0000,0.0000,4.1277,0.0026,1.0000,0.0007,0.1139,0.0000,0.0000,1.476E-3,5.0000,0.0094,0.0176,0.0000,0.0000,5.497E-6,10.0000,0.0734,0.0041,0.0000,0.0000,6.832E-8,14.6732,0.3852,0.0028,0.0000,0.0000,2.176E-8,19.1831,0.5831,0.0026,0.0345,0.0000,1.742E-8,14.6732,0.3852,0.0028,0.0000,0.0000,2.176E-8,14.6732,0.3852,0.0028,0.0000,0.0000,2.176E-8,29.5425,0.6337,0.0022,0.1724,0.0000,1.056E-8,29.5425,0.6337,0.0022,0.1724,0.0000,1.056E-8,2.3613,0.0025,0.0523,0.0000,0.0000,1.435E-4,8.1858,0.0345,0.0062,0.0000,0.0000,2.363E-7
Micromus_subanticus,29,5.0992,5.6616,500,0.9986,3,5.7679,0.9985,0.0004,10029,20.5128,4.1885,1.1451,2.0040,2.6272,0.5180,2.1615,28.5092,0.0001,2.7896,0.0087,5.9976,16.7691,0.0000,0.6677,1.3059,0.6606,0.0000,0.0229,0.8137,0.0000,0.5934,0.0000,0.3388,0.1380,0.1784,4.7437,3.2571,0.0482,0.0000,0.0000,4.1308,0.0026,1.0000,0.0007,0.1241,0.0000,0.0000,1.913E-3,5.0000,0.0085,0.0190,0.0000,0.0000,6.908E-6,10.0000,0.0672,0.0040,0.0000,0.0000,6.345E-8,14.6666,0.4013,0.0028,0.0000,0.0000,2.176E-8,19.0047,0.5744,0.0026,0.0345,0.0000,1.742E-8,14.6666,0.4013,0.0028,0.0000,0.0000,2.176E-8,14.6666,0.4013,0.0028,0.0000,0.0000,2.176E-8,29.3083,0.6341,0.0022,0.1724,0.0000,1.056E-8,29.3083,0.6341,0.0022,0.1724,0.0000,1.056E-8,2.5046,0.0025,0.0537,0.0000,0.0000,1.552E-4,8.1988,0.0315,0.0062,0.0000,0.0000,2.363E-7
Micromus_subanticus,29,5.0997,5.6638,500,0.9986,3,5.7765,0.9989,0.0004,10029,16.5603,3.0295,4.9235,0.7940,6.5975,3.8227,4.6397,23.1198,0.0000,0.0129,0.0051,12.0521,8.5561,0.0000,0.5788,1.2929,0.9048,0.4124,0.1165,0.0000,0.0000,0.2905,0.0000,0.0000,0.0000,0.3320,4.6414,7.2739,0.0436,0.0000,0.0000,4.1105,0.0026,1.0000,0.0007,0.1091,0.0000,0.0000,1.298E-3,5.0000,0.0105,0.0164,0.0000,0.0000,4.373E-6,10.0000,0.0904,0.0038,0.0000,0.0000,5.44E-8,14.6096,0.3964,0.0029,0.0000,0.0000,2.418E-8,16.8165,0.5737,0.0028,0.0345,0.0000,2.176E-8,14.6096,0.3964,0.0029,0.0000,0.0000,2.418E-8,14.6096,0.3964,0.0029,0.0000,0.0000,2.418E-8,32.4377,0.6587,0.0022,0.2414,0.0000,1.056E-8,32.4377,0.6587,0.0022,0.2414,0.0000,1.056E-8,2.2772,0.0024,0.0512,0.0000,0.0000,1.338E-4,8.0160,0.0339,0.0060,0.0000,0.0000,2.141E-7
Micromus_subanticus,29,5.0947,5.6595,500,0.9986,3,5.7711,0.9985,0.0003,10029,12.6599,3.3648,4.9580,2.5986,5.2223,1.0832,6.7836,20.3250,0.0000,0.3141,0.5916,15.0200,15.3797,0.0000,1.1533,0.7568,0.9183,0.1722,0.0248,0.0000,0.0000,0.1469,0.0000,0.0072,0.0568,2.6650,4.2037,1.5528,0.0415,0.0000,0.0000,4.1277,0.0026,1.0000,0.0007,0.1139,0.0000,0.0000,1.476E-3,5.0000,0.0094,0.0176,0.0000,0.0000,5.497E-6,10.0000,0.0734,0.0041,0.0000,0.0000,6.832E-8,14.6732,0.3852,0.0028,0.0000,0.0000,2.176E-8,19.1831,0.5831,0.0026,0.0345,0.0000,1.742E-8,14.6732,0.3852,0.0028,0.0000,0.0000,2.176E-8,14.6732,0.3852,0.0028,0.0000,0.0000,2.176E-8,29.5425,0.6337,0.0022,0.1724,0.0000,1.056E-8,29.5425,0.6337,0.0022,0.1724,0.0000,1.056E-8,2.3613,0.0025,0.0523,0.0000,0.0000,1.435E-4,8.1858,0.0345,0.0062,0.0000,0.0000,2.363E-7
