Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Mordellidae_genus_species,615,2.5943,2.7186,500,0.9689,69,2.7228,0.9717,0.0028,10615,8.8621,4.0680,2.6807,6.3618,0.6789,1.1834,3.0495,0.0000,0.0000,0.1576,4.3374,0.6077,6.1487,0.1593,11.2097,2.5800,0.0939,0.6511,3.2204,0.1410,0.6951,14.3845,0.5085,1.1394,1.6350,0.4276,7.8870,0.0312,1.3075,15.7876,0.0055,6.6857,0.0359,1.0000,0.0068,0.1683,0.0049,0.0000,0E0,5.0000,0.1471,0.0609,0.0130,0.0145,0E0,10.0000,0.5245,0.0535,0.0504,0.0870,0E0,0.0027,0.0000,0.8841,0.0000,0.0000,1.318E-3,15.5704,0.5366,0.0501,0.0927,0.1304,0E0,10.4256,0.5245,0.0535,0.0504,0.0870,0E0,5.5785,0.2029,0.0587,0.0130,0.0145,0E0,7.1118,0.4406,0.0561,0.0390,0.0580,0E0,7.1118,0.4406,0.0561,0.0325,0.0145,0E0,1.8115,0.0174,0.1126,0.0065,0.0145,0E0,3.2508,0.0491,0.0754,0.0098,0.0145,0E0
Mordellidae_genus_species,615,2.6151,2.7371,500,0.9695,69,2.3443,0.9542,0.0076,10615,8.9639,6.9821,1.8692,3.1140,0.6584,0.2806,6.5035,0.0498,0.0160,3.4520,5.9062,0.7870,1.5270,0.2334,10.4633,1.5995,0.0000,0.0030,2.4640,0.1332,0.2955,14.0866,1.4047,1.8039,3.4235,0.5232,6.7475,0.5603,0.5435,15.5987,0.0062,6.6683,0.0353,1.0000,0.0068,0.1598,0.0016,0.0580,0E0,5.0000,0.1808,0.0588,0.0179,0.1014,0E0,10.0000,0.5269,0.0521,0.0585,0.1739,0E0,0.0071,0.0001,0.8247,0.0000,0.0000,6.408E-5,12.5865,0.5269,0.0521,0.0585,0.1739,0E0,9.0483,0.5269,0.0545,0.0585,0.1739,0E0,4.6332,0.1323,0.0602,0.0114,0.0580,0E0,4.6332,0.1323,0.0602,0.0114,0.0580,0E0,4.6332,0.1323,0.0602,0.0114,0.0580,0E0,2.4026,0.0286,0.0864,0.0049,0.0580,0E0,3.0206,0.0471,0.0741,0.0049,0.0580,0E0
Mordellidae_genus_species,615,2.5893,2.7168,500,0.9688,69,2.7915,0.9719,0.0022,10615,0.3073,5.7553,3.2932,6.7069,6.0838,0.7886,1.1094,0.4817,0.0000,3.7424,3.2885,0.4300,5.1333,0.2714,12.3707,7.9437,0.0025,0.5038,2.2154,0.2527,0.6571,12.0880,0.0013,0.7800,1.6230,0.8114,6.7205,0.0175,1.0288,15.5846,0.0072,6.6937,0.0361,1.0000,0.0064,0.1780,0.0049,0.0000,0E0,5.0000,0.1357,0.0613,0.0146,0.0000,0E0,10.0000,0.5297,0.0540,0.0683,0.0870,0E0,0.0012,0.0000,0.9284,0.0000,0.0000,1.053E-2,14.1914,0.5324,0.0512,0.0748,0.1014,0E0,9.9670,0.5214,0.0540,0.0504,0.0145,0E0,5.5266,0.1906,0.0593,0.0146,0.0000,0E0,10.1065,0.5297,0.0540,0.0683,0.0870,0E0,6.5992,0.3139,0.0569,0.0228,0.0000,0E0,2.5612,0.0295,0.0904,0.0081,0.0000,0E0,3.3310,0.0495,0.0760,0.0081,0.0000,0E0
Mordellidae_genus_species,615,2.5844,2.7120,500,0.9688,69,2.8104,0.9736,0.0020,10615,10.6527,5.9793,0.7213,1.1826,5.6045,0.7863,3.3550,0.0086,0.0000,0.2016,5.7419,0.0742,6.7988,0.1438,14.7731,7.9607,0.0063,0.5543,1.2805,0.1811,0.5553,10.7224,1.3575,0.6466,2.1076,0.0148,5.5031,0.7527,0.5560,11.7698,0.0074,6.7007,0.0363,1.0000,0.0062,0.1846,0.0049,0.0000,0E0,5.0000,0.1345,0.0621,0.0146,0.0000,0E0,10.0000,0.5285,0.0530,0.0585,0.0145,0E0,0.0009,0.0000,0.9414,0.0000,0.0000,1.911E-2,13.1853,0.5397,0.0519,0.0846,0.0145,0E0,9.3867,0.5285,0.0545,0.0585,0.0145,0E0,5.5349,0.1682,0.0597,0.0146,0.0000,0E0,16.6865,0.5425,0.0496,0.1041,0.0290,0E0,8.5694,0.4940,0.0550,0.0407,0.0000,0E0,2.6317,0.0297,0.0913,0.0081,0.0000,0E0,3.4043,0.0495,0.0765,0.0081,0.0000,0E0
Mordellidae_genus_species,615,2.5943,2.7198,500,0.9701,69,2.5898,0.9592,0.0140,10615,2.9621,5.8413,2.1793,3.1880,7.1295,0.6643,2.9995,0.0045,0.0000,3.8019,1.5026,0.6338,4.9475,0.1593,11.6297,5.0669,0.0025,0.8004,2.6820,0.1503,0.3004,15.3888,0.5890,0.6186,1.9874,0.5809,7.9467,0.0122,0.9415,15.2869,0.0023,6.6902,0.0360,1.0000,0.0067,0.1708,0.0016,0.0145,0E0,5.0000,0.1426,0.0613,0.0163,0.0145,0E0,10.0000,0.5210,0.0538,0.0455,0.0580,0E0,0.4223,0.0021,0.2872,0.0000,0.0145,6.409E-38,12.6281,0.5340,0.0523,0.0976,0.0870,0E0,10.2553,0.5210,0.0538,0.0455,0.0580,0E0,4.9404,0.1346,0.0615,0.0130,0.0145,0E0,8.2272,0.5210,0.0553,0.0455,0.0580,0E0,5.0856,0.1439,0.0610,0.0163,0.0145,0E0,2.5138,0.0293,0.0900,0.0065,0.0145,0E0,3.2695,0.0500,0.0757,0.0098,0.0145,0E0
Mordellidae_genus_species,616,2.5856,2.7147,500,0.9688,68,2.8118,0.9722,0.0020,10616,3.0409,8.8242,5.0120,6.6781,3.1039,1.5291,1.4909,0.3474,0.0000,0.2289,3.3943,0.1701,5.2322,0.2971,15.1485,7.1819,0.0092,0.9466,0.6269,0.2062,1.0731,10.4988,0.0080,0.5631,2.2282,1.1857,7.3066,0.7973,1.1046,11.7574,0.0087,6.6981,0.0362,1.0000,0.0062,0.1814,0.0049,0.0000,0E0,5.0000,0.1361,0.0618,0.0146,0.0000,0E0,10.0000,0.5366,0.0530,0.0860,0.0000,0E0,0.0013,0.0000,0.9247,0.0000,0.0000,9.323E-3,11.7142,0.5366,0.0530,0.0860,0.0000,0E0,8.7682,0.5280,0.0550,0.0519,0.0000,0E0,5.6944,0.2097,0.0591,0.0146,0.0000,0E0,17.1944,0.5410,0.0495,0.1477,0.0441,0E0,11.7142,0.5366,0.0530,0.0860,0.0000,0E0,2.6057,0.0295,0.0907,0.0081,0.0000,0E0,3.3652,0.0503,0.0763,0.0081,0.0000,0E0
Mordellidae_genus_species,616,2.5988,2.7238,500,0.9689,68,2.5474,0.9609,0.0041,10616,6.9606,2.4547,6.2867,2.5912,4.5346,0.9199,1.5330,0.0000,0.0139,3.6199,3.9279,0.4438,1.8987,0.1134,10.4360,6.4828,0.0936,0.5445,1.7822,0.1253,0.5283,14.9815,1.3784,0.6001,2.1000,0.5619,7.6791,0.6818,0.7841,15.9421,0.0000,6.6848,0.0358,1.0000,0.0067,0.1649,0.0032,0.0294,0E0,5.0000,0.1721,0.0606,0.0097,0.0441,0E0,10.0000,0.5279,0.0540,0.0698,0.1471,0E0,0.0019,0.0000,0.9015,0.0000,0.0000,3.203E-3,13.4661,0.5279,0.0516,0.0698,0.1471,0E0,8.1436,0.5086,0.0554,0.0633,0.1324,0E0,5.6199,0.2097,0.0586,0.0097,0.0441,0E0,7.1092,0.4051,0.0561,0.0325,0.0588,0E0,6.8720,0.3782,0.0564,0.0276,0.0441,0E0,1.2553,0.0096,0.1412,0.0032,0.0294,0E0,3.1822,0.0499,0.0754,0.0097,0.0441,0E0
Mordellidae_genus_species,617,2.5909,2.7108,500,0.9689,67,2.6371,0.9700,0.0026,10617,6.7614,3.7761,1.6529,6.1980,4.8421,0.4064,3.5065,0.0304,0.0000,0.2080,5.7282,0.3914,2.1721,0.2267,10.9530,4.8045,0.0029,0.7522,2.3614,0.2172,0.9769,13.1607,1.3664,1.4508,2.6149,0.4759,6.9333,0.1982,0.9536,16.8674,0.0103,6.6893,0.0359,1.0000,0.0063,0.1742,0.0049,0.0000,0E0,5.0000,0.1436,0.0609,0.0194,0.0448,0E0,10.0000,0.5330,0.0537,0.0762,0.0896,0E0,0.0061,0.0001,0.8360,0.0000,0.0000,1.444E-4,10.6796,0.5330,0.0537,0.0762,0.0896,0E0,8.4463,0.5284,0.0552,0.0502,0.0896,0E0,4.5530,0.1082,0.0632,0.0130,0.0299,0E0,6.3557,0.3317,0.0570,0.0259,0.0597,0E0,4.7976,0.1316,0.0620,0.0162,0.0299,0E0,1.7740,0.0155,0.1167,0.0049,0.0000,0E0,3.2787,0.0493,0.0756,0.0097,0.0299,0E0
Mordellidae_genus_species,616,2.5875,2.7139,500,0.9688,68,2.7930,0.9718,0.0021,10616,3.4122,7.0611,0.6202,5.8431,5.6861,1.1879,3.3876,0.0176,0.0000,4.2449,4.3343,0.0959,2.7312,0.1039,13.1944,8.2056,0.0052,0.6870,2.4400,0.1361,1.0353,10.6801,1.3745,0.5988,1.8738,0.5932,7.2106,0.0522,1.1584,12.0286,0.0000,6.6974,0.0362,1.0000,0.0065,0.1794,0.0049,0.0000,0E0,5.0000,0.1325,0.0618,0.0146,0.0000,0E0,10.0000,0.5309,0.0536,0.0763,0.0147,0E0,0.0010,0.0000,0.9314,0.0000,0.0000,1.263E-2,11.4551,0.5340,0.0532,0.0828,0.0294,0E0,8.6868,0.5277,0.0551,0.0503,0.0147,0E0,4.3647,0.0943,0.0657,0.0081,0.0000,0E0,11.4551,0.5340,0.0532,0.0828,0.0294,0E0,6.5459,0.3058,0.0572,0.0227,0.0000,0E0,1.9885,0.0185,0.1094,0.0065,0.0000,0E0,3.3357,0.0502,0.0763,0.0081,0.0000,0E0
Mordellidae_genus_species,616,2.5969,2.7238,500,0.9689,68,2.6304,0.9653,0.0053,10616,1.3194,8.5544,8.1827,2.2622,3.0161,1.5169,1.1565,0.0210,0.0000,3.5524,4.4301,0.0845,2.4976,0.2747,9.3384,7.1023,0.0075,0.5334,0.5506,0.2195,0.3034,15.6306,1.9384,0.5451,4.2387,0.4161,6.6592,0.5908,1.1494,13.8971,0.0109,6.6822,0.0357,1.0000,0.0066,0.1687,0.0032,0.0147,0E0,5.0000,0.1555,0.0600,0.0146,0.0294,0E0,10.0000,0.5303,0.0540,0.0698,0.0735,0E0,0.0006,0.0000,0.9511,0.0000,0.0000,3.077E-2,12.4233,0.5356,0.0525,0.0958,0.1029,0E0,8.2040,0.5228,0.0553,0.0471,0.0441,0E0,5.8813,0.2848,0.0576,0.0146,0.0294,0E0,8.2040,0.5228,0.0553,0.0471,0.0441,0E0,6.7889,0.4208,0.0564,0.0292,0.0294,0E0,1.9149,0.0185,0.1060,0.0065,0.0294,0E0,3.1325,0.0477,0.0752,0.0081,0.0294,0E0
