Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Murrayon_hastatus,70,4.4791,4.8069,500,0.9965,8,3.8642,0.9932,0.0020,10070,5.2599,8.6869,4.2094,6.1509,2.4610,3.2789,0.7862,1.0517,2.6259,0.0383,2.3877,1.2024,9.4475,0.0000,1.9074,0.8759,0.0000,0.0000,0.0000,0.0000,0.0000,0.2639,44.7849,0.0450,0.0631,0.1500,0.4474,0.8366,1.4089,1.5491,0.0811,4.7577,0.0053,1.0000,0.0023,0.0637,0.0000,0.0000,2.695E-10,5.0000,0.0363,0.0129,0.0000,0.2500,1.268E-10,10.0000,0.2235,0.0072,0.0143,0.2500,4.013E-12,8.2085,0.1380,0.0083,0.0000,0.2500,9.299E-12,25.8446,0.5803,0.0055,0.0857,0.2500,7.363E-13,8.2085,0.1380,0.0083,0.0143,0.2500,9.299E-12,8.2085,0.1380,0.0083,0.0000,0.2500,9.299E-12,3.8422,0.0206,0.0180,0.0000,0.0000,1.089E-14,3.8422,0.0206,0.0180,0.0000,0.0000,1.089E-14,1.5602,0.0046,0.0443,0.0000,0.0000,1.481E-11,5.6081,0.0594,0.0115,0.0000,0.2500,6.414E-11
Murrayon_hastatus,70,4.4333,4.7776,500,0.9965,8,4.8654,0.9968,0.0008,10070,5.8385,4.2328,3.1072,2.0383,2.5458,1.8359,0.4524,2.5795,2.2625,3.8200,0.5420,0.9591,5.1864,0.0000,7.7486,0.5186,0.0000,0.0000,0.0000,0.0127,0.0000,0.3526,47.3614,0.0000,0.0209,0.1409,0.3644,0.9732,6.2660,0.8267,0.0137,4.7920,0.0055,1.0000,0.0030,0.0589,0.0000,0.0000,1.446E-10,5.0000,0.0339,0.0141,0.0000,0.0000,1.563E-15,10.0000,0.2317,0.0076,0.0143,0.0000,1.169E-17,7.0558,0.0912,0.0099,0.0000,0.0000,9.457E-17,18.3941,0.5752,0.0063,0.1000,0.0000,2.347E-18,7.1415,0.0936,0.0099,0.0143,0.0000,9.457E-17,7.0558,0.0912,0.0099,0.0000,0.0000,9.457E-17,17.2710,0.5230,0.0063,0.0857,0.0000,2.347E-18,17.2710,0.5230,0.0063,0.0857,0.0000,2.347E-18,1.3400,0.0048,0.0482,0.0000,0.0000,2.895E-11,5.8463,0.0536,0.0119,0.0000,0.0000,4.066E-16
Murrayon_hastatus,70,4.4536,4.7870,500,0.9965,8,4.3516,0.9955,0.0021,10070,5.5436,8.7023,2.9550,0.2401,2.8316,1.7601,0.6632,1.2120,0.0061,5.6722,1.9512,0.5019,5.6536,0.0000,9.7042,0.4314,0.0019,0.0000,0.0000,0.0461,0.0000,0.4250,37.8191,0.0760,0.0252,0.0833,0.2875,0.4309,12.3757,0.5783,0.0226,4.7755,0.0054,1.0000,0.0029,0.0568,0.0000,0.0000,1.084E-10,5.0000,0.0374,0.0135,0.0000,0.1250,6.479E-13,10.0000,0.2184,0.0075,0.0143,0.1250,1.108E-14,7.8005,0.1097,0.0088,0.0000,0.1250,3.344E-14,17.8895,0.5859,0.0063,0.1000,0.1250,2.985E-15,7.9070,0.1121,0.0088,0.0143,0.1250,3.344E-14,7.8005,0.1097,0.0088,0.0000,0.1250,3.344E-14,3.6516,0.0188,0.0194,0.0000,0.0000,1.977E-14,3.6516,0.0188,0.0194,0.0000,0.0000,1.977E-14,1.3231,0.0047,0.0467,0.0000,0.0000,2.252E-11,5.7430,0.0553,0.0117,0.0000,0.1250,2.402E-13
Murrayon_hastatus,70,4.4346,4.7796,500,0.9965,8,4.8787,0.9966,0.0007,10070,6.8045,5.0438,5.3791,4.6223,2.7736,4.9213,0.6554,1.5350,2.5833,2.8698,1.7757,0.8381,1.8092,0.0000,0.1154,0.0920,0.0000,0.0000,0.0000,0.0089,0.0000,0.8419,49.3146,0.0000,0.0565,0.1797,0.3316,0.4128,5.5868,1.4145,0.0341,4.7862,0.0054,1.0000,0.0028,0.0593,0.0000,0.0000,1.526E-10,5.0000,0.0349,0.0139,0.0000,0.0000,1.396E-15,10.0000,0.2215,0.0076,0.0143,0.0000,1.169E-17,6.7958,0.0821,0.0101,0.0000,0.0000,1.108E-16,18.1383,0.5687,0.0063,0.1000,0.0000,2.347E-18,6.8725,0.0841,0.0101,0.0143,0.0000,1.108E-16,6.7958,0.0821,0.0101,0.0000,0.0000,1.108E-16,30.1091,0.6052,0.0053,0.2429,0.0000,5.888E-19,30.1091,0.6052,0.0053,0.2429,0.0000,5.888E-19,1.3680,0.0047,0.0477,0.0000,0.0000,2.665E-11,5.8065,0.0546,0.0118,0.0000,0.0000,3.803E-16
Murrayon_hastatus,70,4.5494,4.8480,500,0.9965,8,2.7875,0.8994,0.0925,10070,7.5779,7.9078,2.9973,4.9978,3.3595,1.9921,0.7521,2.2000,0.0000,0.6639,0.2024,0.4401,3.3973,0.0000,5.2285,0.0732,0.2792,0.0000,5.5431,0.0000,0.1107,0.1689,35.3110,0.0000,0.1035,0.1341,1.5596,0.5008,9.7337,4.7189,0.0464,4.6799,0.0050,1.0000,0.0037,0.0427,0.0000,0.1250,1.994E-9,5.0000,0.0676,0.0103,0.0000,0.1250,9.935E-14,10.0000,0.3666,0.0070,0.0143,0.1250,6.236E-15,9.5006,0.3427,0.0071,0.0000,0.1250,6.887E-15,15.0768,0.5707,0.0064,0.0857,0.1250,3.332E-15,9.5006,0.3427,0.0071,0.0000,0.1250,6.887E-15,9.5006,0.3427,0.0071,0.0000,0.1250,6.887E-15,0.1521,0.0003,0.1250,0.0000,0.1250,3.402E-6,76.3717,0.5968,0.0017,0.6143,0.1250,3.122E-19,1.1087,0.0042,0.0398,0.0000,0.1250,1.226E-9,4.8679,0.0614,0.0106,0.0000,0.1250,1.212E-13
Murrayon_hastatus,70,4.4512,4.7895,500,0.9965,8,4.4347,0.9956,0.0013,10070,11.0296,7.3021,4.3845,3.1980,2.8809,1.7409,2.9949,0.4646,0.0000,0.0212,2.5456,1.8499,5.7304,0.0000,0.1396,0.0141,0.0357,0.0000,5.3966,0.0071,0.0000,0.2890,40.3606,0.0000,0.0471,0.1378,0.3175,0.9659,7.2738,0.7272,0.1455,4.7812,0.0054,1.0000,0.0027,0.0619,0.0000,0.0000,2.146E-10,5.0000,0.0334,0.0145,0.0000,0.0000,1.952E-15,10.0000,0.2363,0.0074,0.0143,0.1250,1.01E-14,7.2763,0.0951,0.0095,0.0000,0.1250,5.677E-14,26.0900,0.5795,0.0055,0.1000,0.1250,1.154E-15,7.3669,0.0975,0.0095,0.0143,0.1250,5.677E-14,7.2763,0.0951,0.0095,0.0000,0.1250,5.677E-14,5.6113,0.0416,0.0126,0.0000,0.0000,6.4E-16,5.6113,0.0416,0.0126,0.0000,0.0000,6.4E-16,1.3759,0.0047,0.0495,0.0000,0.0000,3.578E-11,5.9207,0.0447,0.0118,0.0000,0.1250,2.548E-13
Murrayon_hastatus,70,4.4602,4.7929,500,0.9965,8,4.3764,0.9943,0.0013,10070,7.7583,7.2165,5.3185,4.2922,2.7484,4.5587,0.5173,0.7731,2.6144,2.2734,3.6629,0.9128,3.7721,0.0000,3.8210,0.4188,0.0551,0.0000,0.0000,0.0081,0.0000,0.2763,37.4563,0.0000,0.0666,0.1444,0.4241,0.6673,4.8769,5.2474,0.1191,4.7617,0.0053,1.0000,0.0030,0.0568,0.0000,0.0000,1.084E-10,5.0000,0.0366,0.0133,0.0000,0.1250,5.842E-13,10.0000,0.2581,0.0073,0.0143,0.1250,9.198E-15,7.1287,0.0876,0.0093,0.0000,0.1250,4.9E-14,17.7471,0.5752,0.0063,0.1000,0.1250,2.985E-15,7.1287,0.0876,0.0093,0.0143,0.1250,4.9E-14,7.1287,0.0876,0.0093,0.0000,0.1250,4.9E-14,4.8485,0.0336,0.0138,0.0000,0.0000,1.318E-15,4.8485,0.0336,0.0138,0.0000,0.0000,1.318E-15,1.3431,0.0046,0.0463,0.0000,0.0000,2.103E-11,5.7276,0.0531,0.0115,0.0000,0.1250,2.132E-13
Murrayon_hastatus,70,4.4318,4.7783,500,0.9965,8,4.8921,0.9976,0.0007,10070,9.3544,8.9370,0.0353,0.3694,2.8753,2.3154,1.3701,1.0395,2.0658,2.9325,2.2411,0.8022,4.7386,0.0000,14.3704,0.5463,0.0113,0.0237,0.0000,0.2149,0.0000,0.1694,32.5513,0.0000,0.0255,0.1129,0.2593,0.5127,10.5329,1.5504,0.0424,4.8081,0.0055,1.0000,0.0027,0.0643,0.0000,0.0000,2.904E-10,5.0000,0.0337,0.0148,0.0000,0.0000,2.297E-15,10.0000,0.1937,0.0078,0.0143,0.0000,1.435E-17,8.0738,0.1187,0.0092,0.0000,0.0000,5.292E-17,18.5368,0.5607,0.0063,0.1000,0.0000,2.347E-18,8.0738,0.1187,0.0092,0.0143,0.0000,5.292E-17,8.0738,0.1187,0.0092,0.0000,0.0000,5.292E-17,19.6897,0.5855,0.0062,0.1143,0.0000,2.065E-18,19.6897,0.5855,0.0062,0.1143,0.0000,2.065E-18,1.4700,0.0048,0.0484,0.0000,0.0000,2.992E-11,5.9666,0.0530,0.0121,0.0000,0.0000,4.641E-16
Murrayon_hastatus,71,4.4254,4.7634,500,0.9964,7,4.8322,0.9960,0.0008,10071,6.9149,9.6986,2.8369,1.3939,2.0890,3.3979,0.6742,1.4600,0.0394,0.2183,1.4537,2.0360,8.7047,0.0000,3.9812,0.3002,0.0000,0.0504,0.0000,0.0044,0.0000,0.3391,48.1601,0.0000,0.0575,0.1017,0.3294,0.6096,3.5566,1.5358,0.0566,4.8040,0.0055,1.0000,0.0026,0.0631,0.0000,0.0000,3.962E-9,5.0000,0.0346,0.0143,0.0000,0.0000,1.222E-13,10.0000,0.1860,0.0077,0.0141,0.0000,1.672E-15,7.0526,0.0940,0.0101,0.0000,0.0000,1.093E-14,17.8707,0.5723,0.0063,0.0986,0.0000,3.749E-16,7.1399,0.0962,0.0100,0.0141,0.0000,1.02E-14,7.0526,0.0940,0.0101,0.0000,0.0000,1.093E-14,25.6312,0.5749,0.0056,0.1127,0.0000,1.644E-16,25.6312,0.5749,0.0056,0.1127,0.0000,1.644E-16,1.4199,0.0048,0.0488,0.0000,0.0000,6.547E-10,5.8488,0.0558,0.0120,0.0000,0.0000,3.614E-14
Murrayon_hastatus,71,4.5175,4.8126,500,0.9965,7,1.5249,0.8910,0.0764,10071,5.3683,4.6981,0.0274,4.6672,1.9775,0.6655,0.5558,2.3116,0.0930,2.5107,1.3698,1.0134,5.6556,0.0000,27.5348,0.5034,0.0088,0.0000,0.1464,0.0000,0.0000,0.2984,27.9676,0.0000,0.4182,0.0999,0.0778,0.5242,10.0941,1.4038,0.0090,4.7128,0.0051,1.0000,0.0048,0.0422,0.0000,0.2857,2.617E-6,5.0000,0.0502,0.0110,0.0000,0.2857,3.353E-9,10.0000,0.3694,0.0071,0.0141,0.2857,3.876E-10,8.3944,0.1933,0.0076,0.0000,0.2857,5.417E-10,25.0343,0.5683,0.0056,0.0845,0.2857,1.106E-10,8.6118,0.1950,0.0076,0.0141,0.2857,5.417E-10,8.3944,0.1933,0.0076,0.0000,0.2857,5.417E-10,0.0719,0.0001,0.1659,0.0000,0.1429,1.253E-4,25.0343,0.5683,0.0056,0.0845,0.2857,1.106E-10,0.9433,0.0044,0.0436,0.0000,0.2857,3.069E-6,5.0259,0.0502,0.0110,0.0000,0.2857,3.353E-9
