Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Mycena_species,60,3.0268,3.9513,500,0.9940,7,4.0787,0.9946,0.0027,10060,9.3523,2.5591,4.1382,2.1597,8.8219,9.2516,5.2049,0.3884,4.4999,0.1101,0.0114,10.3506,9.5191,0.8497,5.4129,1.4035,0.1111,1.3611,0.4326,10.0538,0.4004,3.7827,3.4952,0.0000,0.2654,3.0818,0.5408,0.0428,2.3770,0.0220,0.0000,6.2198,0.0226,1.0000,0.0030,0.4977,0.0000,0.0000,7.566E-3,5.0000,0.0145,0.2109,0.0000,0.0000,1.858E-5,10.0000,0.0375,0.1067,0.0000,0.0000,1.57E-7,19.8717,0.1253,0.0385,0.0000,0.0000,1.247E-10,33.3757,0.3592,0.0129,0.1000,0.1429,3.224E-11,21.7041,0.1492,0.0327,0.0333,0.0000,4.001E-11,19.8717,0.1253,0.0385,0.0000,0.0000,1.247E-10,26.1393,0.2134,0.0224,0.0667,0.0000,2.8E-12,26.1393,0.2134,0.0224,0.0667,0.0000,2.8E-12,6.3058,0.0196,0.1728,0.0000,0.0000,4.594E-6,17.1157,0.0928,0.0499,0.0000,0.0000,7.704E-10
Mycena_species,59,3.0505,3.9534,500,0.9941,8,3.5935,0.9904,0.0052,10059,8.8691,5.0237,4.7847,0.2162,8.5904,6.9285,4.0778,0.6302,3.9972,0.2063,0.0518,9.2599,6.5223,0.8294,16.0050,1.3974,0.0571,0.8809,0.2913,11.0790,0.4298,4.1856,0.0000,0.0000,0.6859,2.3374,0.5270,0.0000,2.0373,0.0989,0.0000,6.1828,0.0218,1.0000,0.0029,0.4833,0.0000,0.0000,2.979E-3,5.0000,0.0145,0.2042,0.0000,0.0000,3.022E-6,10.0000,0.0377,0.1029,0.0000,0.0000,1.256E-8,17.7298,0.1011,0.0456,0.0000,0.1250,3.164E-9,31.6291,0.3352,0.0140,0.0847,0.1250,8.402E-13,22.1591,0.1522,0.0305,0.0339,0.1250,1.921E-10,17.7298,0.1011,0.0456,0.0000,0.1250,3.164E-9,17.2024,0.0962,0.0479,0.0000,0.0000,2.779E-11,17.2024,0.0962,0.0479,0.0000,0.0000,2.779E-11,6.2129,0.0188,0.1695,0.0000,0.0000,6.813E-7,17.1660,0.0960,0.0481,0.0000,0.0000,2.873E-11
Mycena_species,60,3.1026,3.9957,500,0.9943,7,2.9489,0.9480,0.0333,10060,9.1280,5.1643,5.2522,0.1392,6.5445,8.9707,3.6993,0.5393,4.8162,0.3561,0.0087,8.4555,10.0589,0.6673,12.6825,1.9910,0.2549,1.0942,0.5414,9.7157,0.2015,2.7840,0.4909,0.0000,0.8023,0.7032,0.6185,0.0783,4.1157,0.1013,0.0246,6.1637,0.0212,1.0000,0.0027,0.4986,0.0000,0.0000,7.662E-3,5.0000,0.0138,0.2042,0.0000,0.1429,4.184E-4,10.0000,0.0366,0.1008,0.0000,0.1429,6.706E-6,20.2425,0.1301,0.0337,0.0000,0.2857,8.62E-7,32.0196,0.3539,0.0125,0.1000,0.2857,6.338E-9,21.2893,0.1388,0.0305,0.0333,0.2857,5.279E-7,20.2425,0.1301,0.0337,0.0000,0.2857,8.62E-7,7.3371,0.0229,0.1428,0.0000,0.1429,5.218E-5,10.3103,0.0390,0.0970,0.0000,0.1429,5.352E-6,6.3866,0.0185,0.1641,0.0000,0.1429,1.175E-4,16.7695,0.0883,0.0472,0.0000,0.2857,4.548E-6
Mycena_species,60,3.0666,3.9616,500,0.9936,7,3.9714,0.9910,0.0037,10060,11.6783,4.6853,2.9427,0.1251,6.5391,9.4243,4.2743,0.4978,2.8005,0.7011,0.0371,10.5560,10.9955,0.7795,12.1391,1.2924,0.1047,1.2844,0.7443,9.6421,0.2295,2.7565,0.0400,0.0000,0.2130,0.5927,0.5360,0.1146,4.0685,0.2058,0.0000,6.1797,0.0216,1.0000,0.0028,0.4964,0.0000,0.0000,7.429E-3,5.0000,0.0140,0.2031,0.0000,0.0000,1.425E-5,10.0000,0.0368,0.0997,0.0000,0.0000,9.793E-8,17.4560,0.0981,0.0433,0.0000,0.0000,2.872E-10,28.0677,0.2683,0.0174,0.1000,0.4286,3.073E-6,20.3022,0.1347,0.0330,0.0333,0.0000,4.264E-11,17.4560,0.0981,0.0433,0.0000,0.0000,2.872E-10,25.8388,0.2309,0.0206,0.0833,0.0000,1.562E-12,25.8388,0.2309,0.0206,0.0833,0.0000,1.562E-12,6.3303,0.0188,0.1647,0.0000,0.0000,3.289E-6,16.4785,0.0871,0.0479,0.0000,0.0000,5.796E-10
Mycena_species,61,3.1661,4.0429,500,0.9947,6,2.1969,0.9505,0.0307,10061,12.4069,7.1680,1.8595,0.0041,6.9015,7.3699,2.1319,0.5009,2.8148,0.0371,0.0052,13.9199,10.3978,0.9233,10.1165,1.1635,0.3862,0.7175,0.6220,10.7776,0.2878,3.0639,0.0885,0.0000,1.0477,0.6587,0.9563,0.0000,3.5010,0.1322,0.0398,6.1005,0.0199,1.0000,0.0027,0.4563,0.0000,0.0000,9.028E-3,5.0000,0.0142,0.1799,0.0000,0.1667,9.612E-4,10.0000,0.0389,0.0886,0.0000,0.1667,3.027E-5,21.2618,0.1558,0.0275,0.0000,0.3333,8.243E-6,29.9489,0.3196,0.0133,0.0984,0.5000,4.585E-5,22.3379,0.1662,0.0250,0.0328,0.3333,5.67E-6,21.2618,0.1558,0.0275,0.0000,0.3333,8.243E-6,5.4638,0.0161,0.1667,0.0000,0.1667,6.648E-4,4.0377,0.0108,0.2138,0.0000,0.0000,9.55E-5,5.8301,0.0174,0.1571,0.0000,0.1667,4.996E-4,16.3067,0.0887,0.0443,0.0000,0.3333,5.389E-5
Mycena_species,60,3.0731,3.9877,500,0.9942,7,3.8249,0.9818,0.0143,10060,10.0497,2.6602,2.3128,2.1045,9.1023,8.6055,4.1913,0.6257,2.3810,0.8720,0.0000,5.8873,11.3127,0.7345,18.3477,1.3310,0.0506,1.2820,0.3549,7.5000,1.1786,2.9317,0.2236,0.0000,0.6593,0.6584,0.7389,0.0372,3.7071,0.1156,0.0441,6.1411,0.0208,1.0000,0.0027,0.4721,0.0000,0.0000,5.224E-3,5.0000,0.0144,0.1921,0.0000,0.0000,9.67E-6,10.0000,0.0382,0.0964,0.0000,0.1429,5.16E-6,18.6147,0.1148,0.0387,0.0000,0.1429,2.262E-8,32.9535,0.3735,0.0118,0.1000,0.1429,1.898E-11,21.7482,0.1512,0.0293,0.0333,0.1429,4.339E-9,18.6147,0.1148,0.0387,0.0000,0.1429,2.262E-8,8.8634,0.0321,0.1109,0.0000,0.1429,1.181E-5,8.8624,0.0321,0.1109,0.0000,0.0000,2.068E-7,5.8964,0.0181,0.1667,0.0000,0.0000,3.577E-6,16.7558,0.0950,0.0461,0.0000,0.1429,6.473E-8
Mycena_species,62,3.1435,3.9840,500,0.9934,5,1.9839,0.9402,0.0411,10062,14.2488,4.8427,1.6637,0.0797,6.8909,8.8977,2.8135,0.3101,2.3777,0.3407,0.2130,12.9957,10.6855,0.7164,10.8704,1.4271,0.2530,1.2961,0.2057,8.9852,1.4317,3.0402,0.3600,0.0000,0.6150,0.7658,0.2848,0.0763,3.0199,0.1885,0.1039,6.1114,0.0200,1.0000,0.0026,0.5171,0.0000,0.0000,3.697E-2,5.0000,0.0121,0.2139,0.0000,0.2000,8.672E-3,10.0000,0.0328,0.1031,0.0000,0.2000,5.176E-4,12.3615,0.0459,0.0769,0.0000,0.2000,1.643E-4,31.6840,0.3628,0.0119,0.0968,0.4000,1.666E-5,20.1472,0.1152,0.0323,0.0323,0.4000,3.209E-4,18.1626,0.0913,0.0400,0.0161,0.2000,1.233E-5,5.3962,0.0132,0.2000,0.0000,0.2000,6.715E-3,18.9703,0.1021,0.0366,0.0323,0.2000,8.684E-6,6.5922,0.0176,0.1653,0.0000,0.2000,3.238E-3,17.1324,0.0844,0.0447,0.0161,0.2000,1.929E-5
Mycena_species,60,3.0600,3.9734,500,0.9939,7,2.9741,0.9421,0.0371,10060,14.1066,2.2495,0.7540,2.3658,9.1692,9.1106,2.3126,0.3765,6.5759,0.6471,0.0063,10.8308,10.6586,0.8991,7.1078,1.4998,0.1359,0.6716,0.1877,11.4896,0.5807,3.3100,0.0177,0.0000,0.3242,0.7488,0.9720,0.0632,2.7200,0.1086,0.0000,6.1630,0.0213,1.0000,0.0028,0.4965,0.0000,0.0000,7.44E-3,5.0000,0.0136,0.2052,0.0000,0.1429,4.303E-4,10.0000,0.0368,0.1006,0.0000,0.2857,1.816E-4,18.2906,0.1095,0.0407,0.0000,0.2857,2.177E-6,32.8408,0.3772,0.0124,0.1000,0.2857,6.092E-9,20.3410,0.1358,0.0337,0.0333,0.2857,8.62E-7,18.2906,0.1095,0.0407,0.0000,0.2857,2.177E-6,7.3492,0.0223,0.1428,0.0000,0.1429,5.218E-5,8.9255,0.0306,0.1151,0.0000,0.1429,1.468E-5,6.3883,0.0185,0.1645,0.0000,0.1429,1.192E-4,16.7743,0.0901,0.0471,0.0000,0.2857,4.501E-6
Mycena_species,61,3.1046,3.9652,500,0.9941,6,3.0064,0.9584,0.0325,10061,12.4168,0.8155,1.5154,1.3359,9.2120,9.6343,3.0451,0.3720,6.3321,1.0282,0.0000,9.1459,7.7884,0.6916,2.0064,1.6273,0.0511,2.2822,0.0712,8.9388,0.3845,5.0596,0.1179,0.0000,0.6384,11.9557,0.4564,0.0508,1.9700,0.0150,1.0413,6.1206,0.0203,1.0000,0.0026,0.4870,0.0000,0.0000,1.335E-2,5.0000,0.0135,0.1948,0.0000,0.1667,1.41E-3,10.0000,0.0370,0.0947,0.0000,0.1667,4.214E-5,16.2392,0.0859,0.0463,0.0000,0.1667,1.23E-6,30.4705,0.3245,0.0136,0.0984,0.3333,5.045E-7,24.8321,0.2036,0.0212,0.0164,0.1667,2.507E-8,24.8321,0.2036,0.0212,0.0164,0.1667,2.507E-8,5.9531,0.0168,0.1667,0.0000,0.1667,6.648E-4,26.8596,0.2380,0.0179,0.0820,0.1667,1.083E-8,6.1650,0.0177,0.1612,0.0000,0.1667,5.656E-4,16.4921,0.0892,0.0452,0.0164,0.1667,1.092E-6
Mycena_species,60,3.3356,4.1630,500,0.9928,7,-0.9165,0.7759,0.0861,10060,18.3490,3.7264,1.9832,3.8510,6.3852,9.1531,2.8881,1.1651,0.4942,0.6177,0.0000,13.3149,10.1809,0.5893,1.3614,0.8893,0.0000,2.0236,0.7397,11.7521,0.3412,4.0055,2.4994,0.0838,0.1210,1.9834,0.3435,0.0000,0.9004,0.2572,0.0000,5.9188,0.0162,1.0000,0.0021,0.4721,0.0000,0.2857,1.833E-1,5.0000,0.0112,0.1759,0.0000,0.2857,2.581E-3,10.0000,0.0332,0.0795,0.0333,0.5714,1.379E-2,8.7412,0.0261,0.0951,0.0000,0.5714,2.246E-2,29.0764,0.3206,0.0106,0.1000,1.0000,1E0,16.6659,0.0842,0.0353,0.0333,0.7143,2.323E-2,16.6659,0.0842,0.0353,0.0333,0.7143,2.323E-2,2.6983,0.0053,0.2857,0.0000,0.2857,2.326E-2,5.2249,0.0117,0.1688,0.0000,0.2857,2.126E-3,6.1261,0.0146,0.1438,0.0000,0.4286,1.04E-2,16.3061,0.0796,0.0369,0.0333,0.7143,2.524E-2
