Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Mycetoporus_floridensis,49,4.6630,5.1590,500,0.9976,6,5.2264,0.9980,0.0006,10049,14.9735,2.7296,2.8475,3.3161,4.1830,0.6533,2.2517,31.1421,0.0000,4.8406,0.5686,7.5680,6.9314,0.0000,0.0000,6.7289,0.0443,0.1028,1.6991,0.0000,0.0000,1.9533,0.0000,0.4066,0.0000,2.6600,4.0393,0.1002,0.2601,0.0000,0.0000,4.5899,0.0042,1.0000,0.0008,0.1578,0.0000,0.0000,1.546E-5,5.0000,0.0136,0.0217,0.0000,0.0000,1.042E-10,10.0000,0.0980,0.0062,0.0000,0.0000,5.516E-14,13.0530,0.3217,0.0048,0.0000,0.0000,1.188E-14,15.1213,0.5565,0.0047,0.0408,0.0000,1.047E-14,13.0530,0.3217,0.0048,0.0000,0.0000,1.188E-14,13.0530,0.3217,0.0048,0.0000,0.0000,1.188E-14,19.1579,0.5945,0.0044,0.1020,0.0000,7.047E-15,19.1579,0.5945,0.0044,0.1020,0.0000,7.047E-15,2.7903,0.0039,0.0527,0.0000,0.0000,2.152E-8,7.8509,0.0368,0.0098,0.0000,0.0000,8.602E-13
Mycetoporus_floridensis,49,4.6632,5.1643,500,0.9976,6,5.2549,0.9978,0.0005,10049,12.7814,4.0191,3.7147,2.6532,2.8009,0.5773,3.8101,27.4115,0.0464,3.6968,1.0719,7.9333,11.6448,0.0000,0.0000,6.1429,0.0469,0.0000,1.8026,0.0000,0.0000,1.5235,0.0000,0.5408,0.0000,3.6578,3.7645,0.0509,0.3087,0.0000,0.0000,4.5641,0.0041,1.0000,0.0008,0.1467,0.0000,0.0000,9.96E-6,5.0000,0.0148,0.0201,0.0000,0.0000,6.597E-11,10.0000,0.1182,0.0059,0.0000,0.0000,4.096E-14,12.6525,0.3411,0.0048,0.0000,0.0000,1.188E-14,14.6231,0.5446,0.0047,0.0408,0.0000,1.047E-14,12.6525,0.3411,0.0048,0.0000,0.0000,1.188E-14,12.6525,0.3411,0.0048,0.0000,0.0000,1.188E-14,37.4267,0.6341,0.0032,0.2041,0.0000,1.043E-15,37.4267,0.6341,0.0032,0.2041,0.0000,1.043E-15,2.6896,0.0038,0.0514,0.0000,0.0000,1.854E-8,7.6128,0.0358,0.0095,0.0000,0.0000,7.138E-13
Mycetoporus_floridensis,49,4.6844,5.1669,500,0.9976,6,5.1439,0.9971,0.0006,10049,13.3474,5.6659,4.6118,0.0000,2.0242,1.8123,0.9899,29.2209,0.0000,3.3938,0.2044,7.1840,13.0754,0.0000,0.0000,6.8088,0.0552,0.1731,1.7834,0.0000,0.0000,0.9082,0.0000,0.4390,0.0155,4.0223,3.8864,0.0534,0.3247,0.0000,0.0000,4.5587,0.0041,1.0000,0.0008,0.1493,0.0000,0.0000,1.106E-5,5.0000,0.0140,0.0202,0.0000,0.0000,6.796E-11,10.0000,0.1414,0.0058,0.0000,0.0000,3.697E-14,12.5029,0.3450,0.0048,0.0000,0.0000,1.188E-14,23.0585,0.5939,0.0040,0.0816,0.1667,5.976E-12,12.5029,0.3450,0.0048,0.0000,0.0000,1.188E-14,12.5029,0.3450,0.0048,0.0000,0.0000,1.188E-14,15.3969,0.5027,0.0045,0.0408,0.0000,8.064E-15,15.3969,0.5027,0.0045,0.0408,0.0000,8.064E-15,2.7339,0.0038,0.0510,0.0000,0.0000,1.749E-8,7.4543,0.0340,0.0095,0.0000,0.0000,7.138E-13
Mycetoporus_floridensis,49,4.6548,5.1637,500,0.9976,6,5.2819,0.9989,0.0002,10049,13.8321,2.9646,4.1915,3.9324,2.1130,0.5488,4.1073,30.8143,0.0000,1.2132,1.0240,6.8250,7.5472,0.0000,0.0000,7.0615,0.0385,0.0000,1.4849,0.0000,0.0000,1.6575,0.0000,0.6180,0.0000,4.9437,4.2159,0.0581,0.8084,0.0000,0.0000,4.5623,0.0042,1.0000,0.0008,0.1386,0.0000,0.0000,7.095E-6,5.0000,0.0153,0.0193,0.0000,0.0000,5.177E-11,10.0000,0.1458,0.0058,0.0000,0.0000,3.697E-14,12.8249,0.3465,0.0049,0.0000,0.0000,1.344E-14,17.3959,0.5547,0.0044,0.0408,0.0000,7.047E-15,12.8249,0.3465,0.0049,0.0000,0.0000,1.344E-14,12.8249,0.3465,0.0049,0.0000,0.0000,1.344E-14,100.0000,0.6523,0.0000,0.5306,0.0000,0E0,100.0000,0.6523,0.0000,0.5306,0.0000,0E0,2.6265,0.0038,0.0503,0.0000,0.0000,1.611E-8,7.5629,0.0381,0.0095,0.0000,0.0000,7.138E-13
Mycetoporus_floridensis,49,4.8608,5.2199,500,0.9976,6,1.6254,0.8444,0.0903,10049,15.9800,4.4975,0.9224,2.5549,4.8624,0.9461,1.3840,28.3627,0.0465,3.3962,0.7920,7.9407,13.6621,0.0000,0.0000,4.1935,0.0000,0.1632,0.9823,0.0000,0.0000,1.5554,0.0000,0.0924,0.0000,3.5578,4.0876,0.0045,0.0159,0.0000,0.0000,4.3704,0.0035,1.0000,0.0009,0.0810,0.0000,0.3333,5.649E-4,5.0000,0.0253,0.0087,0.0000,0.3333,8.311E-8,10.0000,0.5339,0.0046,0.0000,0.3333,6.538E-9,12.7529,0.5339,0.0046,0.0000,0.3333,6.538E-9,18.8768,0.5476,0.0042,0.0612,0.3333,4.547E-9,12.7529,0.5339,0.0046,0.0000,0.3333,6.538E-9,12.7529,0.5339,0.0046,0.0000,0.3333,6.538E-9,0.1387,0.0001,0.3334,0.0000,0.3333,1.002E-1,18.8768,0.5476,0.0042,0.0612,0.3333,4.547E-9,1.9301,0.0031,0.0374,0.0000,0.3333,2.767E-5,5.2889,0.0297,0.0079,0.0000,0.3333,5.658E-8
Mycetoporus_floridensis,50,4.6453,5.1396,500,0.9975,5,5.2472,0.9984,0.0004,10050,14.9314,4.7851,4.7548,0.2458,4.6516,0.6268,1.2998,29.0695,0.0000,3.5848,0.4458,9.4697,9.1397,0.0000,0.0000,6.4345,0.0366,0.0000,1.4808,0.0000,0.0000,1.1616,0.0000,0.5110,0.0000,3.6505,2.5757,0.0198,0.8665,0.2582,0.0000,4.5946,0.0043,1.0000,0.0008,0.1548,0.0000,0.0000,8.896E-5,5.0000,0.0140,0.0208,0.0000,0.0000,3.89E-9,10.0000,0.1118,0.0061,0.0000,0.0000,8.238E-12,12.7580,0.3111,0.0050,0.0000,0.0000,3.048E-12,25.0522,0.6021,0.0040,0.1000,0.0000,9.988E-13,12.7580,0.3111,0.0050,0.0000,0.0000,3.048E-12,12.7580,0.3111,0.0050,0.0000,0.0000,3.048E-12,41.3598,0.6446,0.0032,0.3600,0.0000,3.273E-13,41.3598,0.6446,0.0032,0.3600,0.0000,3.273E-13,2.7590,0.0039,0.0516,0.0000,0.0000,3.673E-7,7.6464,0.0370,0.0098,0.0000,0.0000,8.817E-11
Mycetoporus_floridensis,50,4.6662,5.1461,500,0.9975,5,5.0837,0.9970,0.0008,10050,18.5456,5.8606,1.4502,0.7084,1.7137,0.5742,2.7785,29.2114,0.0000,3.2430,1.0930,7.0163,12.4867,0.1648,0.0000,5.9477,0.0386,0.0000,1.6687,0.0000,0.0000,1.3788,0.0000,0.4987,0.0000,1.8117,3.4889,0.0616,0.2589,0.0000,0.0000,4.5690,0.0042,1.0000,0.0008,0.1484,0.0000,0.0000,7.187E-5,5.0000,0.0152,0.0192,0.0000,0.0000,2.612E-9,10.0000,0.1519,0.0058,0.0000,0.0000,6.402E-12,12.3380,0.3277,0.0050,0.0000,0.0000,3.048E-12,18.1130,0.5533,0.0045,0.1000,0.4000,8.917E-7,12.3380,0.3277,0.0050,0.0000,0.0000,3.048E-12,12.3380,0.3277,0.0050,0.0000,0.0000,3.048E-12,14.3338,0.5461,0.0048,0.0400,0.0000,2.485E-12,14.3338,0.5461,0.0048,0.0400,0.0000,2.485E-12,2.7041,0.0038,0.0494,0.0000,0.0000,2.928E-7,7.4038,0.0363,0.0096,0.0000,0.0000,7.953E-11
Mycetoporus_floridensis,50,4.6495,5.1458,500,0.9975,5,5.2401,0.9979,0.0005,10050,14.1827,3.6129,1.2490,6.2055,2.9083,1.2070,2.7349,27.9347,0.0000,0.9319,0.4381,8.1285,12.3692,0.0000,0.0000,6.8828,0.0350,0.1497,1.5976,0.0000,0.0000,0.9790,0.0000,0.3903,0.0000,3.5118,3.9673,0.1952,0.3886,0.0000,0.0000,4.5742,0.0042,1.0000,0.0008,0.1434,0.0000,0.0000,6.06E-5,5.0000,0.0157,0.0194,0.0000,0.0000,2.75E-9,10.0000,0.1364,0.0059,0.0000,0.0000,6.973E-12,12.4953,0.3238,0.0049,0.0000,0.0000,2.755E-12,18.5547,0.5956,0.0045,0.1000,0.0000,1.8E-12,12.4953,0.3238,0.0049,0.0000,0.0000,2.755E-12,12.4953,0.3238,0.0049,0.0000,0.0000,2.755E-12,37.0245,0.6319,0.0033,0.2000,0.0000,3.817E-13,37.0245,0.6319,0.0033,0.2000,0.0000,3.817E-13,2.6485,0.0038,0.0501,0.0000,0.0000,3.172E-7,7.4801,0.0377,0.0096,0.0000,0.0000,7.953E-11
Mycetoporus_floridensis,50,4.6581,5.1452,500,0.9975,5,5.1927,0.9978,0.0006,10050,19.8535,0.3845,2.3537,1.3569,2.8720,0.4622,3.0495,27.7134,0.0000,3.7306,0.5750,12.3726,9.9839,0.0000,0.0000,6.8167,0.0381,0.0000,1.4887,0.0000,0.0000,1.5826,0.0000,0.5274,0.0000,1.8441,2.6798,0.0387,0.2763,0.0000,0.0000,4.5808,0.0042,1.0000,0.0008,0.1496,0.0000,0.0000,7.481E-5,5.0000,0.0149,0.0202,0.0000,0.0000,3.362E-9,10.0000,0.1227,0.0060,0.0000,0.0000,7.584E-12,12.5503,0.3347,0.0049,0.0000,0.0000,2.755E-12,18.4165,0.5755,0.0045,0.1000,0.0000,1.8E-12,12.5503,0.3347,0.0049,0.0000,0.0000,2.755E-12,12.5503,0.3347,0.0049,0.0000,0.0000,2.755E-12,18.4165,0.5755,0.0045,0.1000,0.0000,1.8E-12,18.4165,0.5755,0.0045,0.1000,0.0000,1.8E-12,2.7201,0.0039,0.0508,0.0000,0.0000,3.398E-7,7.5454,0.0351,0.0097,0.0000,0.0000,8.376E-11
Mycetoporus_floridensis,50,4.6873,5.1458,500,0.9975,5,4.6153,0.9962,0.0008,10050,12.2208,4.7841,3.5049,3.9355,1.5050,0.2612,1.4064,28.3252,0.0000,3.3394,0.0771,11.6462,13.6161,0.0000,0.0000,5.7037,0.0360,0.2296,1.4442,0.0000,0.0000,0.1549,0.0000,0.6620,0.0000,3.7907,2.2462,0.0523,1.0105,0.0480,0.0000,4.5320,0.0040,1.0000,0.0008,0.1401,0.0000,0.0000,5.397E-5,5.0000,0.0158,0.0176,0.0000,0.0000,1.694E-9,10.0000,0.1759,0.0055,0.0000,0.0000,4.909E-12,11.6251,0.2838,0.0049,0.0000,0.0000,2.755E-12,20.5099,0.5875,0.0042,0.0600,0.4000,7.253E-7,11.6251,0.2838,0.0049,0.0000,0.0000,2.755E-12,11.6251,0.2838,0.0049,0.0000,0.0000,2.755E-12,11.6251,0.2838,0.0049,0.0000,0.0000,2.755E-12,11.6251,0.2838,0.0049,0.0000,0.0000,2.755E-12,2.6630,0.0037,0.0472,0.0000,0.0000,2.334E-7,7.1341,0.0356,0.0092,0.0000,0.0000,6.428E-11
