Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Nannaria_scutellaria,109,4.2168,4.4474,500,0.9946,13,4.4830,0.9954,0.0008,10109,8.2388,1.6875,0.0590,3.5091,0.2554,3.1704,0.1027,0.0000,0.1322,0.1508,0.0000,0.0279,7.5697,0.0000,19.6252,0.1399,0.0494,11.0038,0.0419,0.0667,1.4074,17.1146,0.0000,0.3129,0.0570,1.1650,22.9796,0.0126,1.0610,0.0079,0.0517,5.0178,0.0070,1.0000,0.0026,0.0619,0.0000,0.0000,1.969E-16,5.0000,0.0923,0.0120,0.0000,0.0000,1.035E-25,10.0000,0.5203,0.0101,0.0183,0.0000,1.124E-26,5.0783,0.0941,0.0118,0.0000,0.0000,8.335E-26,13.6571,0.5446,0.0098,0.0917,0.0769,1.003E-23,7.0654,0.5089,0.0107,0.0092,0.0000,2.362E-26,5.0783,0.0941,0.0118,0.0000,0.0000,8.335E-26,12.8654,0.5267,0.0098,0.0642,0.0000,7.622E-27,12.8654,0.5267,0.0098,0.0642,0.0000,7.622E-27,1.6285,0.0059,0.0380,0.0000,0.0000,3.428E-19,3.8408,0.0383,0.0149,0.0000,0.0000,1.843E-24
Nannaria_scutellaria,109,4.2214,4.4510,500,0.9946,13,4.4708,0.9946,0.0009,10109,3.5664,5.2657,5.9052,2.4031,0.2461,0.9706,0.0088,0.0000,0.1457,0.0000,0.0000,0.0169,7.6001,0.0000,19.7486,0.1510,0.0335,8.8196,0.0115,0.0316,0.7138,17.3054,0.0002,0.2360,0.0000,1.9205,22.8554,0.0203,2.0146,0.0060,0.0036,5.0211,0.0070,1.0000,0.0023,0.0663,0.0000,0.0000,4.762E-16,5.0000,0.0855,0.0120,0.0000,0.0000,1.035E-25,10.0000,0.5418,0.0102,0.0550,0.0769,1.612E-23,5.3233,0.1180,0.0115,0.0000,0.0000,5.981E-26,10.5029,0.5418,0.0102,0.0550,0.0769,1.612E-23,6.9836,0.5060,0.0107,0.0092,0.0000,2.362E-26,5.3233,0.1180,0.0115,0.0000,0.0000,5.981E-26,6.9836,0.5060,0.0107,0.0092,0.0000,2.362E-26,6.9836,0.5060,0.0107,0.0092,0.0000,2.362E-26,1.7165,0.0059,0.0379,0.0000,0.0000,3.314E-19,3.9035,0.0332,0.0149,0.0000,0.0000,1.843E-24
Nannaria_scutellaria,110,4.2167,4.4446,500,0.9946,12,4.4260,0.9939,0.0011,10110,6.6763,0.0584,0.4101,6.7067,3.4335,0.6112,0.0012,0.0006,0.0403,0.0133,0.0000,0.0352,8.2404,0.0000,22.7533,0.0955,0.0770,10.2686,0.0176,0.0315,1.4304,15.1622,0.0000,0.3232,0.0317,1.4425,20.8730,0.0079,1.2457,0.0086,0.0038,5.0278,0.0070,1.0000,0.0022,0.0687,0.0000,0.0000,1.114E-14,5.0000,0.0948,0.0120,0.0000,0.0000,8.638E-24,10.0000,0.5170,0.0100,0.0455,0.0833,1.176E-21,5.6461,0.1398,0.0113,0.0000,0.0000,4.225E-24,13.1739,0.5538,0.0099,0.0909,0.2500,1.941E-16,8.8424,0.5022,0.0104,0.0091,0.0000,1.575E-24,5.6461,0.1398,0.0113,0.0000,0.0000,4.225E-24,8.8424,0.5022,0.0104,0.0091,0.0000,1.575E-24,8.8424,0.5022,0.0104,0.0091,0.0000,1.575E-24,1.7722,0.0060,0.0373,0.0000,0.0000,7.229E-18,3.8787,0.0360,0.0150,0.0000,0.0000,1.334E-22
Nannaria_scutellaria,110,4.2185,4.4482,500,0.9946,12,4.4868,0.9955,0.0008,10110,6.4353,3.8994,2.9016,0.0481,0.2899,3.1480,0.0000,0.0000,0.0677,0.1938,0.0000,0.0299,10.8102,0.0000,19.6132,0.1630,0.0958,8.1715,0.0228,0.1912,0.1983,17.0947,0.0000,0.4142,0.0173,1.7845,22.5888,0.0211,1.7188,0.0685,0.0122,5.0172,0.0070,1.0000,0.0029,0.0580,0.0000,0.0000,1.438E-15,5.0000,0.0855,0.0119,0.0000,0.0000,7.819E-24,10.0000,0.5193,0.0102,0.0182,0.0000,1.25E-24,5.8793,0.1702,0.0110,0.0000,0.0000,3.068E-24,11.1970,0.5358,0.0102,0.0636,0.0000,1.25E-24,6.8552,0.5184,0.0107,0.0091,0.0000,2.208E-24,5.8793,0.1702,0.0110,0.0000,0.0000,3.068E-24,45.7523,0.5643,0.0060,0.1545,0.0000,2.328E-27,45.7523,0.5643,0.0060,0.1545,0.0000,2.328E-27,1.5543,0.0059,0.0381,0.0000,0.0000,9.301E-18,3.8660,0.0366,0.0148,0.0000,0.0000,1.138E-22
Nannaria_scutellaria,110,4.2175,4.4453,500,0.9946,12,4.4225,0.9931,0.0010,10110,7.4790,0.1684,6.1148,0.3526,0.5050,0.5556,0.0040,0.0000,0.9800,0.0000,0.0000,2.1216,8.4676,0.0705,23.2613,0.1381,0.0537,8.7840,0.0190,0.0208,1.2011,14.3073,0.0000,0.3553,0.0369,1.3347,22.3807,0.0235,1.2570,0.0037,0.0038,5.0126,0.0069,1.0000,0.0024,0.0630,0.0000,0.0000,3.914E-15,5.0000,0.0880,0.0117,0.0000,0.0000,6.391E-24,10.0000,0.5355,0.0098,0.1000,0.1667,5.256E-19,5.2755,0.1295,0.0113,0.0000,0.0000,4.225E-24,15.1119,0.5355,0.0095,0.1000,0.1667,3.866E-19,8.3394,0.4748,0.0104,0.0091,0.0000,1.575E-24,5.2755,0.1295,0.0113,0.0000,0.0000,4.225E-24,8.3394,0.4748,0.0104,0.0091,0.0000,1.575E-24,8.3394,0.4748,0.0104,0.0091,0.0000,1.575E-24,1.6457,0.0059,0.0369,0.0000,0.0000,6.361E-18,3.7423,0.0349,0.0148,0.0000,0.0000,1.138E-22
Nannaria_scutellaria,110,4.2076,4.4382,500,0.9945,12,4.4870,0.9959,0.0007,10110,6.3296,3.7009,5.6201,0.0663,0.4237,0.6825,0.0000,0.0000,0.2895,0.0000,0.0000,0.0197,8.5830,0.0000,19.8429,0.1548,0.0603,8.2914,0.0199,0.0272,0.7512,17.8508,0.0000,0.3147,0.0132,1.8539,23.0773,0.0082,2.0158,0.0030,0.0000,5.0397,0.0071,1.0000,0.0023,0.0667,0.0000,0.0000,7.707E-15,5.0000,0.0719,0.0126,0.0000,0.0000,1.544E-23,10.0000,0.5423,0.0102,0.0636,0.0000,1.25E-24,5.3782,0.0989,0.0120,0.0000,0.0000,8.638E-24,14.5083,0.5529,0.0098,0.1000,0.0000,7.773E-25,7.1848,0.5116,0.0107,0.0091,0.0000,2.208E-24,5.3782,0.0989,0.0120,0.0000,0.0000,8.638E-24,19.3712,0.5703,0.0092,0.1545,0.0000,3.671E-25,19.3712,0.5703,0.0092,0.1545,0.0000,3.671E-25,1.6810,0.0061,0.0397,0.0000,0.0000,1.516E-17,4.0456,0.0374,0.0152,0.0000,0.0000,1.56E-22
Nannaria_scutellaria,110,4.2245,4.4458,500,0.9946,12,3.6819,0.9674,0.0274,10110,5.6938,3.0382,2.5535,0.2245,0.3777,0.4631,0.0607,0.0014,0.1426,0.0000,0.0000,0.0526,6.1847,0.0000,19.7656,0.1812,0.0863,11.8001,0.0065,0.0563,1.9556,17.9239,0.0000,0.4300,0.0618,1.7926,25.8333,0.0700,1.2378,0.0060,0.0000,5.0143,0.0069,1.0000,0.0022,0.0648,0.0000,0.0833,9.528E-13,5.0000,0.1183,0.0116,0.0000,0.0833,5.92E-21,10.0000,0.5323,0.0103,0.0545,0.0833,1.622E-21,5.1575,0.1252,0.0115,0.0000,0.0833,5.387E-21,10.3922,0.5323,0.0103,0.0545,0.0833,1.622E-21,6.7846,0.5177,0.0108,0.0091,0.0833,2.718E-21,5.1575,0.1252,0.0115,0.0000,0.0833,5.387E-21,0.7755,0.0015,0.0834,0.0000,0.0833,1.501E-11,14.9747,0.5472,0.0097,0.1091,0.0833,8.444E-22,1.7278,0.0059,0.0348,0.0000,0.0833,1.059E-15,3.6082,0.0358,0.0148,0.0000,0.0833,9.078E-20
Nannaria_scutellaria,110,4.2107,4.4413,500,0.9946,12,4.4836,0.9950,0.0008,10110,3.9913,6.4982,3.7284,4.5622,0.2762,1.6018,0.0000,0.0000,0.1314,0.1193,0.0000,0.0253,2.9180,0.0000,18.5256,0.1385,0.0688,11.4261,0.0170,0.1712,1.7408,18.0720,0.0000,0.3319,0.0335,1.5022,22.3383,0.0172,1.6490,0.1103,0.0055,5.0316,0.0070,1.0000,0.0023,0.0666,0.0000,0.0000,7.571E-15,5.0000,0.0856,0.0122,0.0000,0.0000,1.052E-23,10.0000,0.5376,0.0102,0.0636,0.0000,1.25E-24,5.3831,0.1062,0.0116,0.0000,0.0000,5.771E-24,15.1745,0.5376,0.0096,0.0636,0.0000,6.085E-25,7.0248,0.5235,0.0107,0.0091,0.0000,2.208E-24,5.3831,0.1062,0.0116,0.0000,0.0000,5.771E-24,18.3280,0.5470,0.0092,0.1182,0.0000,3.671E-25,18.3280,0.5470,0.0092,0.1182,0.0000,3.671E-25,1.6908,0.0060,0.0388,0.0000,0.0000,1.155E-17,3.9227,0.0347,0.0151,0.0000,0.0000,1.443E-22
Nannaria_scutellaria,110,4.2063,4.4357,500,0.9945,12,4.4420,0.9937,0.0010,10110,3.6487,7.2241,0.0345,5.3241,0.1169,0.0562,0.0000,0.4178,0.0199,0.0000,0.0000,0.0358,7.3979,0.0000,23.4897,0.1151,0.0540,8.4475,0.0157,0.0257,0.6661,15.9154,0.0000,0.3077,0.0473,2.1548,22.7713,0.0080,1.7045,0.0005,0.0008,5.0420,0.0071,1.0000,0.0019,0.0773,0.0000,0.0000,4.586E-14,5.0000,0.0797,0.0123,0.0000,0.0000,1.159E-23,10.0000,0.5378,0.0103,0.0545,0.0833,1.622E-21,5.0415,0.0797,0.0122,0.0000,0.0000,1.052E-23,12.8285,0.5400,0.0100,0.0818,0.1667,6.417E-19,9.0970,0.5025,0.0104,0.0091,0.0000,1.575E-24,5.0415,0.0797,0.0122,0.0000,0.0000,1.052E-23,9.0970,0.5025,0.0104,0.0091,0.0000,1.575E-24,9.0970,0.5025,0.0104,0.0091,0.0000,1.575E-24,1.8577,0.0060,0.0379,0.0000,0.0000,8.737E-18,3.9638,0.0359,0.0152,0.0000,0.0000,1.56E-22
Nannaria_scutellaria,110,4.2400,4.4582,500,0.9946,12,3.8648,0.9896,0.0037,10110,7.4702,2.1109,4.6227,6.1025,1.4792,4.7721,0.0087,0.0000,0.4782,0.0000,0.0021,0.0907,9.0656,0.0000,26.8354,0.3092,0.0090,8.3701,0.0705,0.0316,2.9553,2.1851,0.0000,0.0728,0.0139,1.0953,19.1842,0.0000,2.6446,0.0067,0.0133,4.9956,0.0068,1.0000,0.0027,0.0536,0.0000,0.0000,5.636E-16,5.0000,0.1195,0.0113,0.0000,0.0833,4.45E-21,10.0000,0.5122,0.0102,0.0636,0.4167,8.628E-12,6.0034,0.4729,0.0109,0.0000,0.0833,3.005E-21,13.6454,0.5341,0.0097,0.0727,0.4167,6.103E-12,6.0034,0.4729,0.0109,0.0000,0.0833,3.005E-21,6.0034,0.4729,0.0109,0.0000,0.0833,3.005E-21,1.0605,0.0030,0.0505,0.0000,0.0833,6.294E-14,1.0588,0.0029,0.0505,0.0000,0.0000,2.78E-16,1.4890,0.0058,0.0351,0.0000,0.0833,1.162E-15,3.5676,0.0397,0.0145,0.0000,0.0833,7.271E-20
