Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Neotiphys_species,30,4.8949,5.3303,500,0.9983,4,5.6681,0.9989,0.0004,10030,22.8020,5.2539,0.0683,3.5086,2.4577,5.9399,2.5123,0.3736,35.7154,8.1072,0.2624,0.3223,4.2509,0.0000,0.0736,0.4818,0.0161,0.0000,0.0000,1.6440,0.3055,0.0000,2.5264,0.1450,0.0925,0.9378,0.0558,0.1625,1.9844,0.0000,0.0000,4.3261,0.0033,1.0000,0.0014,0.0765,0.0000,0.0000,3.42E-5,5.0000,0.0187,0.0149,0.0000,0.0000,4.87E-8,10.0000,0.0925,0.0063,0.0000,0.0000,1.557E-9,11.5463,0.1283,0.0054,0.0000,0.0000,8.402E-10,18.3319,0.3411,0.0036,0.1000,0.0000,1.66E-10,11.5463,0.1283,0.0054,0.0000,0.0000,8.402E-10,11.5463,0.1283,0.0054,0.0000,0.0000,8.402E-10,41.1560,0.6675,0.0019,0.3000,0.0000,1.288E-11,41.1560,0.6675,0.0019,0.3000,0.0000,1.288E-11,1.7507,0.0030,0.0496,0.0000,0.0000,6.029E-6,8.6760,0.0694,0.0075,0.0000,0.0000,3.126E-9
Neotiphys_species,30,4.9307,5.3577,500,0.9983,4,4.9253,0.9974,0.0010,10030,22.6838,0.1529,0.0516,4.9611,1.8924,8.5186,2.7837,1.3136,38.5058,8.7624,0.7730,0.0048,3.1837,0.0000,0.0163,0.9859,0.0309,0.0000,0.0025,0.0890,0.0055,0.0000,0.8092,0.1039,0.0145,2.0204,0.0235,0.0853,2.1996,0.0260,0.0000,4.2873,0.0032,1.0000,0.0015,0.0685,0.0000,0.0000,2.201E-5,5.0000,0.0188,0.0138,0.0000,0.0000,3.584E-8,10.0000,0.1110,0.0059,0.0000,0.2500,8.106E-7,12.2699,0.1623,0.0049,0.0000,0.2500,4.647E-7,20.9679,0.3711,0.0032,0.1000,0.2500,1.296E-7,12.2699,0.1623,0.0049,0.0000,0.2500,4.647E-7,12.2699,0.1623,0.0049,0.0000,0.2500,4.647E-7,9.9565,0.1068,0.0059,0.0000,0.0000,1.197E-9,9.9565,0.1068,0.0059,0.0000,0.0000,1.197E-9,1.6277,0.0029,0.0471,0.0000,0.0000,4.904E-6,8.4327,0.0653,0.0072,0.0000,0.0000,2.655E-9
Neotiphys_species,30,4.9353,5.3696,500,0.9983,4,5.0335,0.9977,0.0007,10030,16.3334,0.5425,3.3417,4.7848,5.2580,7.2808,2.7755,0.5518,37.0478,9.4410,0.2504,0.0671,4.8549,0.0000,0.0077,0.3606,0.0804,0.0000,0.0000,1.2320,0.0000,0.0078,0.0000,0.0904,0.0724,2.5102,0.0144,0.3352,2.7592,0.0000,0.0000,4.2903,0.0032,1.0000,0.0014,0.0755,0.0000,0.0000,3.245E-5,5.0000,0.0178,0.0149,0.0000,0.0000,4.87E-8,10.0000,0.0909,0.0059,0.0000,0.0000,1.197E-9,11.3239,0.1359,0.0052,0.0000,0.0000,7.225E-10,17.0858,0.3094,0.0037,0.1000,0.2500,2.002E-7,11.3239,0.1359,0.0052,0.0000,0.0000,7.225E-10,11.3239,0.1359,0.0052,0.0000,0.0000,7.225E-10,13.5380,0.1958,0.0043,0.0333,0.0000,3.378E-10,13.5380,0.1958,0.0043,0.0333,0.0000,3.378E-10,1.7188,0.0029,0.0501,0.0000,0.0000,6.325E-6,8.6726,0.0643,0.0072,0.0000,0.0000,2.655E-9
Neotiphys_species,30,4.8987,5.3396,500,0.9983,4,5.5407,0.9984,0.0004,10030,22.5137,3.4314,0.1852,5.1746,2.4177,5.6792,2.1013,0.3401,35.9156,8.3770,0.4462,0.3297,4.3370,0.0000,0.0766,0.3767,0.0261,0.0000,0.0031,1.6675,0.3089,0.0000,2.5873,0.1552,0.0611,1.4278,0.0482,0.1976,1.8150,0.0000,0.0000,4.3237,0.0033,1.0000,0.0015,0.0759,0.0000,0.0000,3.314E-5,5.0000,0.0183,0.0149,0.0000,0.0000,4.87E-8,10.0000,0.1017,0.0062,0.0000,0.0000,1.46E-9,11.1621,0.1264,0.0056,0.0000,0.0000,9.717E-10,18.8650,0.3544,0.0036,0.1000,0.0000,1.66E-10,11.1621,0.1264,0.0056,0.0000,0.0000,9.717E-10,11.1621,0.1264,0.0056,0.0000,0.0000,9.717E-10,33.3787,0.6206,0.0023,0.2333,0.0000,2.765E-11,33.3787,0.6206,0.0023,0.2333,0.0000,2.765E-11,1.7399,0.0030,0.0497,0.0000,0.0000,6.077E-6,8.6586,0.0638,0.0075,0.0000,0.0000,3.126E-9
Neotiphys_species,31,4.9610,5.3617,500,0.9983,3,3.9418,0.9934,0.0044,10031,19.3031,5.1320,0.4004,8.4216,2.5316,9.0123,0.5354,0.0000,34.4865,7.1102,0.3229,0.2951,4.1567,0.0000,0.0741,0.6048,0.0866,0.0000,0.0120,1.7557,0.0009,0.0000,0.0276,0.1307,0.0000,3.0057,0.0342,0.1184,2.0482,0.3933,0.0000,4.2681,0.0032,1.0000,0.0016,0.0632,0.0000,0.0000,2.525E-4,5.0000,0.0229,0.0123,0.0000,0.3333,4.474E-4,10.0000,0.1095,0.0056,0.0323,0.3333,9.315E-5,9.9790,0.1077,0.0057,0.0000,0.3333,9.65E-5,18.4686,0.3339,0.0034,0.0968,0.3333,3.439E-5,9.9790,0.1077,0.0057,0.0000,0.3333,9.65E-5,9.9790,0.1077,0.0057,0.0000,0.3333,9.65E-5,3.8032,0.0110,0.0173,0.0000,0.0000,5.219E-6,3.8032,0.0110,0.0173,0.0000,0.0000,5.219E-6,1.4922,0.0028,0.0465,0.0000,0.0000,1.003E-4,8.1485,0.0692,0.0071,0.0000,0.3333,1.496E-4
Neotiphys_species,31,5.0452,5.4189,500,0.9983,3,3.2390,0.9722,0.0220,10031,21.3891,3.4957,5.1730,0.1299,2.7482,4.6008,2.5565,1.7945,41.6196,8.4380,0.0000,0.4640,0.6073,0.0000,0.5787,0.4760,0.0127,0.0057,0.0000,0.0059,0.3704,0.0027,2.0121,0.1182,0.1401,1.0964,0.0432,0.1238,1.9975,0.0000,0.0000,4.1742,0.0029,1.0000,0.0015,0.0518,0.0000,0.3333,7.783E-3,5.0000,0.0501,0.0081,0.0000,0.3333,1.946E-4,10.0000,0.1714,0.0049,0.0000,0.3333,7.135E-5,14.3990,0.2591,0.0038,0.0000,0.3333,4.294E-5,16.9136,0.3025,0.0034,0.0968,0.3333,3.439E-5,14.3990,0.2591,0.0038,0.0000,0.3333,4.294E-5,14.3990,0.2591,0.0038,0.0000,0.3333,4.294E-5,0.5297,0.0007,0.0816,0.0000,0.0000,5.443E-4,0.5297,0.0007,0.0816,0.0000,0.0000,5.443E-4,1.5410,0.0026,0.0343,0.0000,0.3333,3.448E-3,6.7688,0.0815,0.0064,0.0000,0.3333,1.216E-4
Neotiphys_species,31,4.9716,5.3748,500,0.9983,3,3.2623,0.9942,0.0025,10031,16.6347,3.4683,4.7931,8.3523,2.0579,8.8657,0.4311,0.8385,36.4936,7.0206,0.1966,0.4706,3.3673,0.0000,0.0018,0.5757,0.0459,0.0000,0.0348,1.1019,0.2096,0.0000,0.0000,0.0809,0.0707,2.0045,0.0421,0.7068,2.1331,0.0019,0.0000,4.2524,0.0031,1.0000,0.0014,0.0685,0.0000,0.0000,3.212E-4,5.0000,0.0189,0.0131,0.0000,0.0000,2.227E-6,10.0000,0.0910,0.0056,0.0000,0.3333,9.315E-5,11.0495,0.1311,0.0049,0.0000,0.6667,1.458E-2,17.9550,0.3420,0.0033,0.0968,0.6667,9.837E-3,11.0495,0.1311,0.0049,0.0000,0.6667,1.458E-2,11.0495,0.1311,0.0049,0.0000,0.6667,1.458E-2,5.5378,0.0242,0.0113,0.0000,0.0000,1.43E-6,5.5378,0.0242,0.0113,0.0000,0.0000,1.43E-6,1.6239,0.0028,0.0471,0.0000,0.0000,1.042E-4,8.2895,0.0681,0.0070,0.0000,0.3333,1.454E-4
Neotiphys_species,31,4.9844,5.3837,500,0.9983,3,3.9042,0.9945,0.0038,10031,22.0774,5.3274,0.1548,0.0478,1.7663,5.5766,2.0736,0.4803,43.6346,9.2794,0.2749,0.0075,3.1460,0.0000,0.0000,0.3853,0.0218,0.0000,0.0389,0.0192,0.0000,0.0660,1.4650,0.0872,0.0837,1.5830,0.0589,0.1092,2.2196,0.0156,0.0000,4.2292,0.0031,1.0000,0.0013,0.0506,0.0000,0.0000,1.299E-4,5.0000,0.0525,0.0083,0.0000,0.3333,2.043E-4,10.0000,0.1587,0.0051,0.0000,0.3333,7.729E-5,10.0102,0.1587,0.0051,0.0000,0.3333,7.729E-5,23.9759,0.4404,0.0029,0.0968,0.3333,2.503E-5,10.0102,0.1587,0.0051,0.0000,0.3333,7.729E-5,10.0102,0.1587,0.0051,0.0000,0.3333,7.729E-5,2.8890,0.0098,0.0148,0.0000,0.0000,3.212E-6,2.8890,0.0098,0.0148,0.0000,0.0000,3.212E-6,1.4752,0.0027,0.0344,0.0000,0.0000,4.068E-5,6.6007,0.0819,0.0068,0.0000,0.3333,1.372E-4
Neotiphys_species,31,5.0585,5.4061,500,0.9983,3,0.2724,0.9357,0.0266,10031,55.2934,0.6038,4.5765,0.0393,4.2912,6.1860,0.0488,0.4276,11.9422,10.2072,0.3771,0.0544,2.1018,0.0000,0.0000,0.6937,0.0052,0.0000,0.0128,0.0088,0.1744,0.0128,1.3562,0.1589,0.0364,0.8465,0.0135,0.1128,0.4185,0.0000,0.0000,4.1680,0.0029,1.0000,0.0011,0.0624,0.0000,0.6667,1.758E-1,5.0000,0.0260,0.0091,0.0000,0.6667,2.697E-2,10.0000,0.1562,0.0045,0.0000,0.6667,1.34E-2,10.0563,0.1562,0.0044,0.0000,0.6667,1.31E-2,19.6858,0.4012,0.0030,0.0968,0.6667,8.945E-3,10.0563,0.1562,0.0044,0.0000,0.6667,1.31E-2,10.0563,0.1562,0.0044,0.0000,0.6667,1.31E-2,0.4802,0.0004,0.1089,0.0000,0.0000,1.29E-3,0.4802,0.0004,0.1089,0.0000,0.0000,1.29E-3,1.6599,0.0026,0.0372,0.0000,0.6667,1.075E-1,6.7142,0.0583,0.0064,0.0000,0.6667,1.902E-2
Neotiphys_species,31,4.9064,5.3349,500,0.9983,3,5.7221,0.9986,0.0006,10031,16.2801,2.9396,8.8815,0.0193,2.1196,9.2390,3.2283,0.3742,38.5131,7.1628,0.1508,0.1352,3.1395,0.0000,0.7829,0.6329,0.0192,0.0000,0.0000,1.7684,0.4821,0.0000,0.0000,0.1750,0.0566,1.8614,0.0308,0.2778,1.7299,0.0000,0.0000,4.3117,0.0033,1.0000,0.0016,0.0693,0.0000,0.0000,3.326E-4,5.0000,0.0211,0.0137,0.0000,0.0000,2.548E-6,10.0000,0.1027,0.0059,0.0000,0.0000,2.035E-7,11.1703,0.1472,0.0053,0.0000,0.0000,1.475E-7,18.6869,0.3398,0.0035,0.0968,0.0000,4.248E-8,11.1703,0.1472,0.0053,0.0000,0.0000,1.475E-7,11.1703,0.1472,0.0053,0.0000,0.0000,1.475E-7,34.5813,0.6195,0.0022,0.2581,0.0000,1.055E-8,34.5813,0.6195,0.0022,0.2581,0.0000,1.055E-8,1.6624,0.0030,0.0471,0.0000,0.0000,1.042E-4,8.2872,0.0635,0.0074,0.0000,0.0000,4.015E-7
