Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Nephelodes_minians,61,4.3862,4.8394,500,0.9969,7,4.9697,0.9974,0.0006,10061,2.4942,2.2180,2.9256,0.3151,3.2723,23.3993,9.3110,2.1748,0.2285,5.4231,0.0000,1.5556,8.2790,0.3786,31.2934,0.1131,0.0690,0.3438,0.0909,0.0000,0.0000,1.8140,3.7402,0.0000,0.0441,0.2707,0.0416,0.1120,0.0625,0.0000,0.0295,4.8453,0.0057,1.0000,0.0028,0.0655,0.0000,0.0000,5.173E-9,5.0000,0.0345,0.0185,0.0000,0.0000,7.381E-13,10.0000,0.1195,0.0095,0.0000,0.0000,7.201E-15,11.2960,0.1450,0.0085,0.0000,0.0000,3.334E-15,24.2244,0.5731,0.0053,0.0820,0.0000,1.126E-16,11.2960,0.1450,0.0085,0.0164,0.0000,3.334E-15,11.2960,0.1450,0.0085,0.0000,0.0000,3.334E-15,31.4432,0.6229,0.0048,0.2131,0.0000,5.626E-17,31.4432,0.6229,0.0048,0.2131,0.0000,5.626E-17,1.4476,0.0050,0.0508,0.0000,0.0000,8.719E-10,7.5186,0.0694,0.0126,0.0000,0.0000,5.107E-14
Nephelodes_minians,61,4.3967,4.8406,500,0.9969,7,4.8761,0.9970,0.0008,10061,3.6904,1.1973,1.0976,3.1495,3.5750,20.0621,10.5822,2.5425,0.0021,2.8759,0.0000,1.2774,11.5806,0.0773,30.6566,0.1103,0.0999,0.3355,0.0958,0.0000,0.0000,2.6989,3.6763,0.0000,0.0475,0.3028,0.0387,0.1259,0.0835,0.0183,0.0000,4.8439,0.0057,1.0000,0.0028,0.0667,0.0000,0.0000,5.869E-9,5.0000,0.0375,0.0186,0.0000,0.0000,7.663E-13,10.0000,0.1151,0.0096,0.0000,0.0000,7.743E-15,10.8413,0.1316,0.0089,0.0000,0.0000,4.584E-15,22.7789,0.5707,0.0055,0.0984,0.1429,1.859E-13,10.8413,0.1316,0.0089,0.0164,0.0000,4.584E-15,10.8413,0.1316,0.0089,0.0000,0.0000,4.584E-15,20.8501,0.5135,0.0057,0.0820,0.0000,1.873E-16,20.8501,0.5135,0.0057,0.0820,0.0000,1.873E-16,1.5204,0.0050,0.0499,0.0000,0.0000,7.699E-10,7.7362,0.0761,0.0125,0.0000,0.0000,4.832E-14
Nephelodes_minians,61,4.4112,4.8420,500,0.9969,7,4.4251,0.9956,0.0010,10061,3.5448,3.0148,2.2581,3.9324,3.6616,11.1741,12.1555,2.6866,1.1033,4.5598,0.0000,1.8796,11.3852,0.1196,31.5196,0.2947,0.0906,0.3426,0.0966,0.0000,0.0000,1.8236,3.7009,0.0000,0.0000,0.3197,0.0794,0.1206,0.0832,0.0000,0.0532,4.8290,0.0056,1.0000,0.0031,0.0628,0.0000,0.0000,3.86E-9,5.0000,0.0373,0.0189,0.0000,0.0000,8.566E-13,10.0000,0.1117,0.0099,0.0000,0.0000,9.583E-15,10.0615,0.1117,0.0098,0.0000,0.0000,8.932E-15,21.8547,0.5869,0.0055,0.0984,0.4286,3.085E-8,10.1624,0.1121,0.0098,0.0164,0.0000,8.932E-15,10.0615,0.1117,0.0098,0.0000,0.0000,8.932E-15,12.7285,0.1702,0.0077,0.0164,0.0000,1.538E-15,12.7285,0.1702,0.0077,0.0164,0.0000,1.538E-15,1.3883,0.0049,0.0508,0.0000,0.0000,8.719E-10,7.9562,0.0796,0.0124,0.0000,0.0000,4.57E-14
Nephelodes_minians,61,4.3818,4.8317,500,0.9969,7,4.9246,0.9967,0.0007,10061,4.1648,2.2363,3.5331,1.4578,3.1906,18.5907,11.7549,2.2947,0.0025,3.1416,0.0000,1.8014,8.6583,0.2667,32.8983,0.1551,0.0646,0.3125,0.0919,0.0000,0.0000,1.7372,3.0079,0.0000,0.0000,0.3790,0.0280,0.1180,0.0955,0.0182,0.0000,4.8491,0.0057,1.0000,0.0028,0.0665,0.0000,0.0000,5.748E-9,5.0000,0.0357,0.0187,0.0000,0.0000,7.955E-13,10.0000,0.1089,0.0098,0.0164,0.0000,8.932E-15,9.8238,0.1066,0.0100,0.0000,0.0000,1.027E-14,22.1822,0.5638,0.0056,0.0820,0.0000,1.655E-16,9.8238,0.1066,0.0100,0.0164,0.0000,1.027E-14,9.8238,0.1066,0.0100,0.0000,0.0000,1.027E-14,25.2735,0.5763,0.0052,0.1311,0.0000,9.852E-17,25.2735,0.5763,0.0052,0.1311,0.0000,9.852E-17,1.4619,0.0050,0.0513,0.0000,0.0000,9.334E-10,7.7281,0.0765,0.0126,0.0000,0.0000,5.107E-14
Nephelodes_minians,61,4.4100,4.8347,500,0.9969,7,4.6290,0.9969,0.0010,10061,0.6927,1.8598,4.5812,0.3437,3.7672,19.0940,11.0593,2.8697,0.8866,5.3865,0.0000,2.4455,12.5180,0.0529,27.8933,0.0741,0.0648,0.1806,0.0842,0.0000,0.0000,2.6533,2.7900,0.0000,0.1397,0.3355,0.0047,0.0801,0.1126,0.0300,0.0000,4.8309,0.0056,1.0000,0.0027,0.0697,0.0000,0.0000,7.971E-9,5.0000,0.0343,0.0185,0.0000,0.0000,7.381E-13,10.0000,0.1192,0.0092,0.0000,0.0000,5.766E-15,10.7061,0.1285,0.0085,0.0000,0.0000,3.334E-15,22.3043,0.5941,0.0055,0.0984,0.2857,1.016E-10,10.8254,0.1300,0.0085,0.0164,0.0000,3.334E-15,10.7061,0.1285,0.0085,0.0000,0.0000,3.334E-15,15.7147,0.3272,0.0065,0.0164,0.0000,4.698E-16,15.7147,0.3272,0.0065,0.0164,0.0000,4.698E-16,1.5779,0.0049,0.0506,0.0000,0.0000,8.483E-10,7.5442,0.0668,0.0124,0.0000,0.0000,4.57E-14
Nephelodes_minians,61,4.4513,4.8838,500,0.9969,7,3.5161,0.9813,0.0146,10061,5.9337,3.5220,1.7156,0.6699,3.2763,15.7586,11.9451,3.4339,0.0000,6.2453,0.0045,2.0426,9.4940,0.0850,29.4292,0.0728,0.0000,0.2881,0.0274,0.0000,0.0000,1.5614,3.6634,0.0000,0.0000,0.3300,0.1209,0.1442,0.2363,0.0000,0.0000,4.7831,0.0054,1.0000,0.0028,0.0548,0.0000,0.1429,1.8E-7,5.0000,0.0467,0.0148,0.0000,0.1429,7.292E-11,10.0000,0.1685,0.0082,0.0000,0.2857,7.914E-10,14.1504,0.3198,0.0067,0.0000,0.2857,2.72E-10,24.2371,0.5670,0.0053,0.0984,0.2857,8.444E-11,14.1504,0.3198,0.0067,0.0000,0.2857,2.72E-10,14.1504,0.3198,0.0067,0.0000,0.2857,2.72E-10,0.3229,0.0006,0.1130,0.0000,0.1429,1.317E-5,0.3225,0.0006,0.1130,0.0000,0.0000,2.354E-7,1.4120,0.0047,0.0415,0.0000,0.1429,3.472E-8,6.5762,0.0763,0.0118,0.0000,0.1429,1.897E-11
Nephelodes_minians,62,4.3810,4.8215,500,0.9969,6,4.9073,0.9967,0.0007,10062,3.1982,2.9905,2.8925,3.7349,3.1333,23.9829,9.5897,0.6576,0.0242,0.0393,0.0000,1.3411,12.5130,0.0467,28.9030,0.0280,0.0589,0.2048,0.1144,0.0000,0.0000,1.5961,4.1548,0.0000,0.2292,0.3320,0.0394,0.1234,0.0678,0.0000,0.0043,4.8679,0.0058,1.0000,0.0025,0.0752,0.0000,0.0000,1.813E-7,5.0000,0.0336,0.0198,0.0000,0.0000,5.984E-11,10.0000,0.1151,0.0098,0.0000,0.0000,9.072E-13,11.4795,0.1351,0.0085,0.0000,0.0000,3.898E-13,21.8200,0.5647,0.0057,0.0806,0.0000,3.305E-14,11.4795,0.1351,0.0085,0.0161,0.0000,3.898E-13,11.4795,0.1351,0.0085,0.0000,0.0000,3.898E-13,24.8628,0.5768,0.0053,0.1290,0.0000,2.136E-14,24.8628,0.5768,0.0053,0.1290,0.0000,2.136E-14,1.6312,0.0051,0.0527,0.0000,0.0000,2.136E-8,7.6953,0.0714,0.0129,0.0000,0.0000,4.651E-12
Nephelodes_minians,61,4.4000,4.8403,500,0.9969,7,4.2316,0.9943,0.0014,10061,1.7890,7.3117,1.3226,0.2413,2.3733,20.9276,9.3557,1.8582,0.6204,1.9587,0.0000,1.5451,9.9163,0.2539,31.4529,0.0929,0.1238,0.3768,0.1052,0.0000,0.0000,2.4550,5.3368,0.0000,0.0643,0.2680,0.0000,0.1524,0.0867,0.0113,0.0000,4.8486,0.0057,1.0000,0.0025,0.0747,0.0000,0.0000,1.303E-8,5.0000,0.0331,0.0198,0.0000,0.0000,1.184E-12,10.0000,0.1010,0.0096,0.0000,0.1429,5.575E-12,11.4977,0.1372,0.0082,0.0000,0.1429,2.191E-12,20.9120,0.5598,0.0057,0.0820,0.4286,3.557E-8,11.6253,0.1400,0.0082,0.0164,0.1429,2.191E-12,11.4977,0.1372,0.0082,0.0000,0.1429,2.191E-12,7.5725,0.0664,0.0131,0.0000,0.0000,6.692E-14,7.5725,0.0664,0.0131,0.0000,0.0000,6.692E-14,1.6166,0.0050,0.0528,0.0000,0.0000,1.141E-9,7.8874,0.0718,0.0126,0.0000,0.1429,2.801E-11
Nephelodes_minians,61,4.3919,4.8409,500,0.9969,7,4.9926,0.9977,0.0006,10061,1.0972,4.7311,2.1476,1.4114,2.8785,21.1148,10.5980,1.4591,0.0021,3.7586,0.0000,1.5285,12.2626,0.0785,29.3597,0.1073,0.0768,0.3468,0.0985,0.0000,0.0000,2.6016,3.6801,0.0000,0.0428,0.3465,0.0290,0.1641,0.0731,0.0055,0.0000,4.8328,0.0057,1.0000,0.0030,0.0640,0.0000,0.0000,4.403E-9,5.0000,0.0345,0.0184,0.0000,0.0000,7.107E-13,10.0000,0.1100,0.0095,0.0000,0.0000,7.201E-15,11.6921,0.1558,0.0082,0.0000,0.0000,2.389E-15,21.7443,0.5659,0.0056,0.0820,0.0000,1.655E-16,11.6921,0.1558,0.0082,0.0000,0.0000,2.389E-15,11.6921,0.1558,0.0082,0.0000,0.0000,2.389E-15,41.9017,0.6333,0.0039,0.3279,0.0000,1.315E-17,41.9017,0.6333,0.0039,0.3279,0.0000,1.315E-17,1.4043,0.0050,0.0509,0.0000,0.0000,8.839E-10,7.6231,0.0738,0.0124,0.0000,0.0000,4.57E-14
Nephelodes_minians,62,4.4118,4.8255,500,0.9968,6,4.4929,0.9967,0.0014,10062,3.6077,0.7941,5.7588,0.9625,2.8389,19.0625,11.8508,1.2073,0.5462,3.9547,0.0000,1.2783,9.4827,0.2149,31.6015,0.0527,0.0963,0.3000,0.0964,0.0000,0.0000,2.3219,3.3304,0.0000,0.0331,0.4182,0.0296,0.0938,0.0439,0.0000,0.0228,4.8301,0.0057,1.0000,0.0033,0.0604,0.0000,0.0000,4.868E-8,5.0000,0.0398,0.0182,0.0000,0.0000,3.619E-11,10.0000,0.1132,0.0096,0.0000,0.0000,8.026E-13,10.0226,0.1132,0.0096,0.0000,0.0000,8.026E-13,20.8696,0.5504,0.0057,0.0806,0.3333,1.531E-8,10.0226,0.1132,0.0096,0.0161,0.0000,8.026E-13,10.0226,0.1132,0.0096,0.0000,0.0000,8.026E-13,11.5473,0.1529,0.0083,0.0161,0.0000,3.385E-13,11.5473,0.1529,0.0083,0.0161,0.0000,3.385E-13,1.3269,0.0049,0.0505,0.0000,0.0000,1.656E-8,7.6535,0.0775,0.0124,0.0000,0.0000,3.676E-12
