Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Nomada_pygmaea,31,4.6385,5.4018,500,0.9981,4,5.6583,0.9988,0.0003,10031,11.5505,1.8187,2.1543,0.0875,0.5280,9.4833,5.3603,6.0474,0.0360,3.8675,0.0607,3.8136,12.8307,0.1062,5.2893,4.7032,0.0000,0.3078,0.5817,0.0424,0.4918,0.3300,0.0000,0.5363,0.0732,2.0302,0.0417,13.5499,13.1650,0.8957,0.2174,4.6103,0.0041,1.0000,0.0006,0.2816,0.0000,0.0000,6.291E-3,5.0000,0.0056,0.0599,0.0000,0.0000,1.289E-5,10.0000,0.0253,0.0169,0.0000,0.0000,8.249E-8,10.4529,0.0284,0.0154,0.0000,0.0000,5.555E-8,25.6035,0.6404,0.0027,0.0968,0.0000,5.249E-11,10.4529,0.0284,0.0154,0.0000,0.0000,5.555E-8,10.4529,0.0284,0.0154,0.0000,0.0000,5.555E-8,45.1893,0.7242,0.0019,0.3226,0.0000,1.287E-11,45.1893,0.7242,0.0019,0.3226,0.0000,1.287E-11,4.1504,0.0040,0.0778,0.0000,0.0000,3.656E-5,12.4131,0.0439,0.0100,0.0323,0.0000,9.877E-9
Nomada_pygmaea,31,4.6716,5.4290,500,0.9982,4,5.6212,0.9986,0.0004,10031,13.0674,2.6272,0.0498,1.0488,5.4189,10.8386,1.8625,3.9469,0.0341,0.8026,2.0687,2.7293,19.9554,0.0257,3.0088,1.9105,0.0000,0.0187,0.3959,0.1831,0.4459,0.4101,0.0000,0.6174,0.0784,0.8719,0.0266,7.7738,17.0664,2.6186,0.0980,4.5816,0.0040,1.0000,0.0006,0.2823,0.0000,0.0000,6.353E-3,5.0000,0.0053,0.0576,0.0000,0.0000,1.102E-5,10.0000,0.0256,0.0156,0.0000,0.0000,5.85E-8,11.9559,0.0435,0.0101,0.0000,0.0000,1.028E-8,24.9591,0.6418,0.0027,0.0968,0.0000,5.249E-11,11.9559,0.0435,0.0101,0.0000,0.0000,1.028E-8,11.9559,0.0435,0.0101,0.0000,0.0000,1.028E-8,31.9833,0.6970,0.0024,0.1935,0.0000,3.277E-11,31.9833,0.6970,0.0024,0.1935,0.0000,3.277E-11,4.1620,0.0039,0.0758,0.0000,0.0000,3.295E-5,12.1935,0.0453,0.0097,0.0323,0.0000,8.744E-9
Nomada_pygmaea,31,4.6567,5.4154,500,0.9982,4,5.5355,0.9983,0.0004,10031,8.4954,0.9282,2.4126,1.5706,4.5453,9.7062,1.8872,1.3292,0.0254,3.9398,0.1501,0.9581,20.8774,0.0040,13.0438,2.6642,0.0000,0.2760,0.4888,0.1129,0.4790,0.1677,0.0000,0.3411,0.0351,1.7871,0.0249,6.7463,16.2675,0.4704,0.2656,4.5865,0.0040,1.0000,0.0006,0.2755,0.0000,0.0000,5.765E-3,5.0000,0.0056,0.0569,0.0000,0.0000,1.05E-5,10.0000,0.0263,0.0159,0.0000,0.0000,6.313E-8,11.0534,0.0328,0.0124,0.0000,0.0000,2.335E-8,25.1836,0.6304,0.0027,0.0968,0.0000,5.249E-11,11.0534,0.0328,0.0124,0.0000,0.0000,2.335E-8,11.0534,0.0328,0.0124,0.0000,0.0000,2.335E-8,25.1836,0.6304,0.0027,0.0968,0.0000,5.249E-11,25.1836,0.6304,0.0027,0.0968,0.0000,5.249E-11,3.9974,0.0039,0.0777,0.0000,0.0000,3.637E-5,12.1399,0.0425,0.0098,0.0323,0.0000,9.11E-9
Nomada_pygmaea,31,4.9466,5.5990,500,0.9985,4,1.7687,0.7642,0.2021,10031,11.5101,1.3260,0.0012,2.1925,2.3183,10.3610,3.7207,0.3306,0.0320,2.4179,0.1927,2.5672,16.9818,0.0000,9.2346,6.7794,0.0085,0.0000,0.1533,0.1406,0.4011,0.7643,0.0000,0.2728,0.0000,0.8283,0.0000,5.6346,20.5219,1.0958,0.2129,4.2745,0.0031,1.0000,0.0007,0.1312,0.0000,0.2500,8.144E-3,5.0000,0.0100,0.0208,0.0000,0.2500,3.561E-5,10.0000,0.0660,0.0056,0.0000,0.2500,6.931E-7,16.6681,0.5064,0.0031,0.0000,0.2500,1.178E-7,22.2334,0.5949,0.0027,0.0968,0.5000,4.331E-5,16.6681,0.5064,0.0031,0.0000,0.2500,1.178E-7,16.6681,0.5064,0.0031,0.0000,0.2500,1.178E-7,0.3893,0.0002,0.2500,0.0000,0.2500,5.08E-2,18.3691,0.5500,0.0029,0.0323,0.2500,9.644E-8,2.5017,0.0029,0.0544,0.0000,0.2500,6.187E-4,8.9634,0.0416,0.0071,0.0000,0.2500,1.411E-6
Nomada_pygmaea,31,4.6997,5.4186,500,0.9983,4,4.3845,0.9942,0.0035,10031,14.0826,1.2225,0.6371,0.2854,6.0826,5.8443,1.7052,0.7033,0.2702,0.4237,2.0851,2.9682,21.4034,0.0130,9.6777,1.9254,0.0910,0.2102,0.2746,0.2896,0.1819,0.5490,0.0000,0.4595,0.0180,1.5645,0.0274,6.2428,18.9707,1.7802,0.0105,4.5293,0.0038,1.0000,0.0005,0.2884,0.0000,0.0000,6.919E-3,5.0000,0.0052,0.0571,0.0000,0.0000,1.065E-5,10.0000,0.0250,0.0145,0.0000,0.2500,1.195E-5,12.2077,0.0457,0.0084,0.0000,0.2500,2.334E-6,23.8348,0.6767,0.0027,0.0968,0.2500,7.785E-8,12.2077,0.0457,0.0084,0.0000,0.2500,2.334E-6,12.2077,0.0457,0.0084,0.0000,0.2500,2.334E-6,9.1473,0.0191,0.0179,0.0000,0.0000,1.037E-7,9.1473,0.0191,0.0179,0.0000,0.0000,1.037E-7,4.1476,0.0037,0.0751,0.0000,0.0000,3.175E-5,11.8181,0.0402,0.0092,0.0000,0.2500,3.065E-6
Nomada_pygmaea,32,4.6395,5.3860,500,0.9981,3,5.5592,0.9982,0.0005,10032,13.5092,1.0576,1.8335,0.0159,4.4433,9.3317,5.7455,4.8684,0.0278,1.6027,0.1109,2.3100,16.3184,0.0078,5.6867,3.3617,0.0000,0.0616,0.4473,0.1899,0.3132,0.2681,0.0000,0.6129,0.0850,1.0083,0.6714,7.0203,18.5481,0.4806,0.0623,4.6146,0.0041,1.0000,0.0006,0.2874,0.0000,0.0000,2.373E-2,5.0000,0.0058,0.0602,0.0000,0.0000,2.182E-4,10.0000,0.0237,0.0166,0.0000,0.0000,4.613E-6,10.8914,0.0309,0.0134,0.0000,0.0000,2.383E-6,24.7057,0.6338,0.0028,0.0938,0.0000,2.174E-8,10.8914,0.0309,0.0134,0.0000,0.0000,2.383E-6,10.8914,0.0309,0.0134,0.0000,0.0000,2.383E-6,31.2881,0.6889,0.0025,0.1250,0.0000,1.548E-8,31.2881,0.6889,0.0025,0.1250,0.0000,1.548E-8,4.2106,0.0040,0.0770,0.0000,0.0000,4.557E-4,12.1786,0.0430,0.0100,0.0312,0.0000,9.905E-7
Nomada_pygmaea,32,4.6395,5.3860,500,0.9981,3,5.5592,0.9982,0.0005,10032,13.5092,1.0576,1.8335,0.0159,4.4433,9.3317,5.7455,4.8684,0.0278,1.6027,0.1109,2.3100,16.3184,0.0078,5.6867,3.3617,0.0000,0.0616,0.4473,0.1899,0.3132,0.2681,0.0000,0.6129,0.0850,1.0083,0.6714,7.0203,18.5481,0.4806,0.0623,4.6146,0.0041,1.0000,0.0006,0.2874,0.0000,0.0000,2.373E-2,5.0000,0.0058,0.0602,0.0000,0.0000,2.182E-4,10.0000,0.0237,0.0166,0.0000,0.0000,4.613E-6,10.8914,0.0309,0.0134,0.0000,0.0000,2.383E-6,24.7057,0.6338,0.0028,0.0938,0.0000,2.174E-8,10.8914,0.0309,0.0134,0.0000,0.0000,2.383E-6,10.8914,0.0309,0.0134,0.0000,0.0000,2.383E-6,31.2881,0.6889,0.0025,0.1250,0.0000,1.548E-8,31.2881,0.6889,0.0025,0.1250,0.0000,1.548E-8,4.2106,0.0040,0.0770,0.0000,0.0000,4.557E-4,12.1786,0.0430,0.0100,0.0312,0.0000,9.905E-7
Nomada_pygmaea,32,4.6329,5.3853,500,0.9981,3,5.6259,0.9987,0.0003,10032,11.8468,1.7926,0.8073,0.3459,3.2350,14.3616,1.7461,4.9766,0.0293,1.8703,0.0831,2.5370,23.0900,0.0092,3.2567,2.1502,0.0000,0.1202,0.5704,0.1280,0.4025,0.2345,0.0000,0.4950,0.0670,0.3231,0.0842,9.5164,15.3161,0.5244,0.0803,4.6300,0.0042,1.0000,0.0006,0.2958,0.0000,0.0000,2.587E-2,5.0000,0.0055,0.0620,0.0000,0.0000,2.383E-4,10.0000,0.0245,0.0171,0.0000,0.0000,5.04E-6,11.4714,0.0343,0.0122,0.0000,0.0000,1.799E-6,25.0999,0.6371,0.0028,0.0938,0.0000,2.174E-8,11.4714,0.0343,0.0122,0.0000,0.0000,1.799E-6,11.4714,0.0343,0.0122,0.0000,0.0000,1.799E-6,82.8629,0.7393,0.0006,0.3750,0.0000,2.139E-10,82.8629,0.7393,0.0006,0.3750,0.0000,2.139E-10,4.2485,0.0041,0.0782,0.0000,0.0000,4.791E-4,12.2887,0.0435,0.0102,0.0312,0.0000,1.051E-6
Nomada_pygmaea,32,4.7019,5.4223,500,0.9981,3,4.0922,0.9940,0.0036,10032,12.9513,3.4952,0.0778,0.8420,4.5994,7.6791,7.0801,3.9944,0.0920,2.7349,0.0059,2.2640,22.1534,0.0000,0.0620,1.6203,0.0000,0.4142,0.4012,0.0206,0.3825,0.2602,0.0000,0.5551,0.2717,0.3012,0.0795,7.9459,18.6675,0.9172,0.1316,4.5022,0.0037,1.0000,0.0006,0.2135,0.0000,0.0000,9.734E-3,5.0000,0.0070,0.0417,0.0000,0.0000,7.234E-5,10.0000,0.0354,0.0120,0.0000,0.3333,4.258E-4,10.2902,0.0382,0.0113,0.0000,0.3333,3.778E-4,25.5008,0.6686,0.0027,0.0938,0.3333,2.169E-5,10.2902,0.0382,0.0113,0.0000,0.3333,3.778E-4,10.2902,0.0382,0.0113,0.0000,0.3333,3.778E-4,8.9929,0.0271,0.0149,0.0000,0.0000,3.276E-6,8.9929,0.0271,0.0149,0.0000,0.0000,3.276E-6,3.4653,0.0036,0.0695,0.0000,0.0000,3.354E-4,11.4614,0.0480,0.0090,0.0312,0.3333,2.4E-4
Nomada_pygmaea,32,4.7548,5.4560,500,0.9983,3,2.7940,0.9052,0.0764,10032,12.1238,0.2347,0.3436,0.6912,2.1055,9.3900,6.0613,6.2177,0.0816,3.8348,0.1242,2.8590,14.2625,0.0341,0.0000,6.8144,0.0000,0.2571,0.4523,0.0000,0.1933,0.6696,0.0000,0.4857,0.0849,0.2182,0.0928,12.7285,19.3822,0.1621,0.0949,4.4811,0.0036,1.0000,0.0005,0.2779,0.0000,0.3333,1.888E-1,5.0000,0.0052,0.0480,0.0000,0.3333,6.704E-3,10.0000,0.0321,0.0111,0.0000,0.3333,3.646E-4,11.4368,0.0449,0.0078,0.0000,0.3333,1.804E-4,25.2943,0.6484,0.0027,0.0938,0.3333,2.169E-5,11.4368,0.0449,0.0078,0.0000,0.3333,1.804E-4,11.4368,0.0449,0.0078,0.0000,0.3333,1.804E-4,0.9779,0.0005,0.2819,0.0000,0.3333,1.936E-1,0.9777,0.0005,0.2819,0.0000,0.0000,2.24E-2,4.1583,0.0035,0.0653,0.0000,0.3333,1.223E-2,10.9918,0.0400,0.0088,0.0000,0.3333,2.295E-4
