Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Notropis_rubricroceus,43,3.8307,4.5000,500,0.9963,5,2.4096,0.9374,0.0349,10043,2.1668,2.7011,0.0323,2.9604,2.1244,5.3516,3.5205,1.5224,1.4413,3.0641,4.4598,6.6815,6.4173,1.0305,0.0000,3.2369,0.1976,0.0000,0.1736,38.0605,0.4390,0.2235,0.5046,0.4668,0.0000,13.1121,0.0156,0.0561,0.0397,0.0000,0.0000,5.4091,0.0101,1.0000,0.0042,0.1415,0.0000,0.2000,1.777E-3,5.0000,0.0252,0.0605,0.0000,0.4000,2.022E-3,10.0000,0.0619,0.0339,0.0000,0.4000,3.686E-4,13.2780,0.0904,0.0250,0.0000,0.4000,1.503E-4,26.6140,0.2639,0.0091,0.0930,0.4000,7.339E-6,14.0839,0.0998,0.0233,0.0233,0.4000,1.221E-4,13.2780,0.0904,0.0250,0.0000,0.4000,1.503E-4,0.4273,0.0018,0.1868,0.0000,0.2000,5.178E-3,0.4266,0.0018,0.1868,0.0000,0.0000,2.274E-4,2.1037,0.0088,0.1018,0.0000,0.4000,8.995E-3,14.6501,0.1071,0.0222,0.0233,0.4000,1.059E-4
Notropis_rubricroceus,43,3.7147,4.3758,500,0.9948,5,3.8654,0.9902,0.0051,10043,3.6487,3.7523,4.8852,1.2571,2.4287,4.6110,2.8598,1.8306,0.0159,3.1461,2.7898,6.6886,4.0404,0.9302,0.0000,2.7989,0.0923,0.0000,0.1936,38.1959,1.1158,0.3786,0.0235,0.0000,0.0000,14.2240,0.0095,0.0000,0.0835,0.0000,0.0000,5.5467,0.0117,1.0000,0.0045,0.1590,0.0000,0.0000,1.017E-4,5.0000,0.0253,0.0700,0.0000,0.0000,1.681E-6,10.0000,0.0631,0.0396,0.0233,0.0000,9.775E-8,7.3212,0.0408,0.0524,0.0000,0.0000,3.941E-7,28.1342,0.2854,0.0099,0.0930,0.4000,9.438E-6,10.2999,0.0647,0.0385,0.0465,0.0000,8.496E-8,7.3212,0.0408,0.0524,0.0000,0.0000,3.941E-7,13.1508,0.0928,0.0297,0.0465,0.0000,2.3E-8,13.1508,0.0928,0.0297,0.0465,0.0000,2.3E-8,2.2115,0.0101,0.1137,0.0000,0.0000,1.901E-5,15.0671,0.1097,0.0255,0.0465,0.2000,2.068E-6
Notropis_rubricroceus,43,3.9011,4.5812,500,0.9965,5,0.7522,0.9130,0.0318,10043,3.1260,2.0146,0.9266,2.5649,1.9735,6.9144,1.9084,1.4737,1.1738,3.9911,3.7534,6.7085,2.7641,0.7233,0.0000,1.9465,0.0000,0.0426,0.7625,36.1504,1.7629,0.0822,0.0663,0.0000,0.0000,19.0978,0.0425,0.0163,0.0134,0.0000,0.0000,5.3461,0.0096,1.0000,0.0047,0.1166,0.0000,0.6000,1.069E-1,5.0000,0.0281,0.0492,0.0000,0.6000,2.19E-2,10.0000,0.0753,0.0277,0.0233,0.6000,7.247E-3,8.5029,0.0578,0.0322,0.0000,0.6000,9.694E-3,31.3212,0.3904,0.0065,0.0930,0.6000,4.135E-4,11.9500,0.0949,0.0233,0.0233,0.6000,5.18E-3,8.5029,0.0578,0.0322,0.0000,0.6000,9.694E-3,0.2830,0.0014,0.1706,0.0000,0.2000,3.655E-3,0.2830,0.0014,0.1706,0.0000,0.0000,1.444E-4,1.7729,0.0083,0.0908,0.0000,0.6000,6.848E-2,13.3157,0.1099,0.0208,0.0233,0.6000,4.153E-3
Notropis_rubricroceus,43,3.6872,4.3673,500,0.9954,5,3.7190,0.9768,0.0189,10043,5.5678,4.2431,0.8913,0.3524,1.6835,7.2677,7.5920,2.7993,1.2816,3.6654,2.1255,4.1546,3.9576,1.0893,0.0000,1.7382,0.0791,0.0643,0.2143,32.6724,2.4080,0.4722,0.0325,0.0000,0.0000,15.5297,0.0591,0.0502,0.0090,0.0000,0.0000,5.5749,0.0121,1.0000,0.0043,0.1619,0.0000,0.0000,1.112E-4,5.0000,0.0258,0.0700,0.0000,0.2000,1.133E-4,10.0000,0.0640,0.0400,0.0000,0.2000,1.242E-5,10.1873,0.0661,0.0392,0.0000,0.2000,1.147E-5,23.8740,0.2239,0.0133,0.0930,0.2000,1.568E-7,16.2547,0.1207,0.0233,0.0233,0.2000,1.446E-6,10.1873,0.0661,0.0392,0.0000,0.2000,1.147E-5,2.4747,0.0107,0.1078,0.0000,0.2000,6.178E-4,2.4710,0.0107,0.1078,0.0000,0.0000,1.458E-5,2.4710,0.0107,0.1078,0.0000,0.0000,1.458E-5,14.8414,0.1080,0.0262,0.0233,0.2000,2.302E-6
Notropis_rubricroceus,43,3.6741,4.3680,500,0.9954,5,4.0846,0.9949,0.0020,10043,4.9161,1.4949,0.7578,3.3890,2.1722,8.7656,4.8014,1.4272,0.7942,3.6517,1.2332,4.5845,4.6092,0.9610,0.0133,2.6534,0.0336,0.0062,0.3276,36.5767,2.8375,0.1106,0.0375,0.0000,0.0000,13.5036,0.0729,0.0000,0.2691,0.0000,0.0000,5.5796,0.0122,1.0000,0.0049,0.1604,0.0000,0.0000,1.062E-4,5.0000,0.0262,0.0716,0.0000,0.0000,1.881E-6,10.0000,0.0638,0.0404,0.0000,0.0000,1.08E-7,13.8356,0.1027,0.0288,0.0000,0.0000,1.973E-8,20.6209,0.1823,0.0170,0.0930,0.0000,1.431E-9,16.4135,0.1229,0.0235,0.0233,0.0000,7.165E-9,13.8356,0.1027,0.0288,0.0000,0.0000,1.973E-8,24.0967,0.2275,0.0134,0.1163,0.0000,4.389E-10,24.0967,0.2275,0.0134,0.1163,0.0000,4.389E-10,2.2810,0.0104,0.1139,0.0000,0.0000,1.918E-5,15.0118,0.1121,0.0263,0.0233,0.0000,1.255E-8
Notropis_rubricroceus,43,3.7553,4.4385,500,0.9958,5,2.9191,0.9775,0.0111,10043,2.8902,4.2930,0.0791,0.7015,2.0080,7.2896,6.4853,2.9439,0.5695,2.6262,2.3046,5.6128,2.3698,0.5586,0.0000,2.8130,0.0862,0.0000,0.2624,31.6457,0.1231,0.5043,0.0745,0.0000,0.0555,23.6450,0.0260,0.0082,0.0239,0.0000,0.0000,5.4776,0.0109,1.0000,0.0039,0.1550,0.0000,0.0000,8.956E-5,5.0000,0.0249,0.0649,0.0000,0.0000,1.153E-6,10.0000,0.0633,0.0362,0.0233,0.4000,4.506E-4,9.1657,0.0563,0.0393,0.0000,0.2000,1.159E-5,24.6418,0.2402,0.0114,0.0930,0.4000,1.438E-5,14.8912,0.1094,0.0233,0.0233,0.4000,1.221E-4,19.7754,0.1693,0.0160,0.0233,0.4000,4.021E-5,5.1239,0.0256,0.0637,0.0000,0.0000,1.051E-6,5.1239,0.0256,0.0637,0.0000,0.0000,1.051E-6,2.3153,0.0094,0.1053,0.0000,0.0000,1.298E-5,14.6375,0.1066,0.0238,0.0233,0.4000,1.3E-4
Notropis_rubricroceus,44,3.7263,4.3582,500,0.9949,4,3.3175,0.9823,0.0112,10044,5.7366,3.1309,3.4338,0.7364,1.6749,6.8736,3.2753,3.3443,0.2497,0.3085,2.9305,5.7703,5.0512,0.7349,0.0000,1.8434,0.0141,0.0103,0.4126,33.0042,0.5821,0.2012,0.0374,0.0000,0.0000,20.4799,0.0545,0.0000,0.0875,0.0223,0.0000,5.5402,0.0116,1.0000,0.0041,0.1657,0.0000,0.0000,7.533E-4,5.0000,0.0249,0.0729,0.0000,0.0000,2.821E-5,10.0000,0.0572,0.0407,0.0000,0.2500,2.618E-4,11.7848,0.0737,0.0341,0.0000,0.2500,1.552E-4,25.0685,0.2369,0.0120,0.0909,0.2500,6.93E-6,11.9744,0.0754,0.0336,0.0227,0.2500,1.473E-4,11.7848,0.0737,0.0341,0.0000,0.2500,1.552E-4,7.0535,0.0362,0.0560,0.0000,0.0000,9.802E-6,7.0535,0.0362,0.0560,0.0000,0.0000,9.802E-6,2.3812,0.0100,0.1142,0.0000,0.0000,1.701E-4,15.2536,0.1076,0.0253,0.0682,0.2500,6.346E-5
Notropis_rubricroceus,43,3.7930,4.5093,500,0.9962,5,2.7038,0.9681,0.0191,10043,3.0785,4.8949,0.3079,3.6332,2.7017,6.7707,3.4629,1.3365,0.0610,1.6064,3.0393,6.2023,5.1386,0.7954,0.0000,0.8557,0.1701,0.0000,0.7483,28.0431,3.9947,0.5510,0.1495,0.0000,0.0076,22.3282,0.0880,0.0322,0.0025,0.0000,0.0000,5.4553,0.0106,1.0000,0.0040,0.1575,0.0000,0.0000,9.699E-5,5.0000,0.0224,0.0666,0.0000,0.2000,9.32E-5,10.0000,0.0592,0.0357,0.0000,0.4000,4.326E-4,10.5911,0.0643,0.0338,0.0000,0.4000,3.654E-4,29.7650,0.3270,0.0075,0.0930,0.4000,4.118E-6,14.5987,0.1035,0.0233,0.0233,0.4000,1.221E-4,10.5911,0.0643,0.0338,0.0000,0.4000,3.654E-4,2.1554,0.0086,0.1130,0.0000,0.2000,7.419E-4,2.1525,0.0086,0.1130,0.0000,0.0000,1.844E-5,2.3050,0.0092,0.1091,0.0000,0.2000,6.473E-4,14.6484,0.1042,0.0232,0.0233,0.4000,1.206E-4
Notropis_rubricroceus,43,3.7820,4.4453,500,0.9953,5,2.7105,0.9662,0.0185,10043,8.1635,3.0502,0.0877,0.2115,2.0767,5.5829,3.5466,2.3984,0.0188,2.6338,1.4990,6.7840,2.8495,0.8475,0.0488,1.2198,0.0515,0.0136,0.3177,38.0641,1.6418,0.2098,0.0000,0.0000,0.0000,18.5030,0.0000,0.0544,0.0488,0.0508,0.0259,5.4760,0.0109,1.0000,0.0043,0.1534,0.0000,0.0000,8.505E-5,5.0000,0.0252,0.0673,0.0000,0.2000,9.711E-5,10.0000,0.0582,0.0374,0.0233,0.4000,4.957E-4,6.5168,0.0342,0.0553,0.0000,0.4000,1.551E-3,27.4621,0.2758,0.0096,0.0930,0.4000,8.609E-6,13.9643,0.0927,0.0257,0.0233,0.4000,1.631E-4,13.9643,0.0927,0.0257,0.0233,0.4000,1.631E-4,2.4289,0.0108,0.1048,0.0000,0.2000,5.536E-4,2.4275,0.0108,0.1048,0.0000,0.0000,1.267E-5,2.1600,0.0094,0.1111,0.0000,0.0000,1.694E-5,14.9336,0.1059,0.0237,0.0465,0.4000,1.284E-4
Notropis_rubricroceus,44,3.7253,4.3983,500,0.9954,4,3.3109,0.9854,0.0067,10044,4.8859,1.3208,4.2663,2.7998,2.3902,4.3655,3.0785,2.1103,0.9269,2.5334,4.0642,3.9170,5.4000,1.1793,0.0045,1.6662,0.1374,0.0357,0.5310,38.0414,0.9188,0.2250,0.0481,0.0000,0.0000,15.0396,0.0931,0.0000,0.0210,0.0000,0.0000,5.5237,0.0114,1.0000,0.0042,0.1642,0.0000,0.0000,7.265E-4,5.0000,0.0236,0.0720,0.0000,0.0000,2.685E-5,10.0000,0.0594,0.0399,0.0000,0.0000,2.541E-6,13.0459,0.0851,0.0299,0.0000,0.2500,1.042E-4,25.3076,0.2417,0.0115,0.0909,0.5000,7.88E-4,15.0163,0.1065,0.0253,0.0227,0.2500,6.346E-5,13.0459,0.0851,0.0299,0.0000,0.2500,1.042E-4,12.3864,0.0786,0.0318,0.0000,0.0000,1.018E-6,12.3864,0.0786,0.0318,0.0000,0.0000,1.018E-6,2.2639,0.0099,0.1161,0.0000,0.0000,1.816E-4,15.2100,0.1090,0.0249,0.0455,0.2500,6.053E-5
