Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Oclemena_acuminata,53,2.8450,3.3294,500,0.9773,6,0.9015,0.8128,0.0854,10051,2.3174,0.5516,0.0856,0.3996,10.8597,2.4225,0.3385,0.7781,0.0000,1.9663,0.1472,0.3846,4.0677,2.0237,0.0066,0.1473,0.0401,0.0069,0.0854,66.8597,1.0401,1.1455,0.1072,0.1713,0.1358,0.3323,2.6622,0.5346,0.2625,0.1203,0.0000,6.3830,0.0280,1.0000,0.0037,0.4545,0.0000,0.1667,7.228E-2,5.0000,0.0215,0.2071,0.0000,0.3333,1.925E-2,10.0000,0.0516,0.1230,0.0566,0.5000,2.788E-2,6.0461,0.0273,0.1826,0.0000,0.5000,7.864E-2,15.3596,0.0881,0.0793,0.0943,0.5000,8.303E-3,13.5341,0.0752,0.0915,0.0943,0.5000,1.24E-2,12.7463,0.0686,0.0975,0.0566,0.5000,1.478E-2,2.1198,0.0078,0.3333,0.0000,0.3333,1.001E-1,54.4092,0.6392,0.0047,0.4151,0.5000,2.024E-6,5.2729,0.0230,0.2002,0.0000,0.3333,1.702E-2,19.3429,0.1179,0.0588,0.1509,0.5000,3.553E-3
Oclemena_acuminata,53,2.8496,3.3773,500,0.9768,6,1.3744,0.9159,0.0308,10051,3.6938,0.7603,0.9834,0.0543,11.1944,3.4061,0.4787,0.3080,0.0000,0.0596,0.0046,0.6145,3.1553,2.0679,0.0000,0.0527,0.1561,0.0125,0.4549,59.0909,3.4147,1.4892,0.0000,0.1741,0.1876,0.5307,6.4887,0.3599,0.4521,0.3458,0.0091,6.3865,0.0279,1.0000,0.0036,0.4907,0.0000,0.0000,1.396E-2,5.0000,0.0192,0.2290,0.0000,0.0000,1.443E-4,10.0000,0.0455,0.1334,0.0566,0.3333,3.795E-3,5.1070,0.0196,0.2257,0.0000,0.0000,1.324E-4,20.6360,0.1204,0.0556,0.0943,0.5000,3.029E-3,16.7353,0.0899,0.0755,0.0755,0.5000,7.236E-3,20.3632,0.1174,0.0568,0.0755,0.5000,3.219E-3,7.7288,0.0329,0.1667,0.0566,0.1667,6.641E-4,5.9787,0.0238,0.2026,0.0189,0.0000,6.909E-5,5.1070,0.0196,0.2257,0.0000,0.0000,1.324E-4,19.9005,0.1136,0.0590,0.0755,0.5000,3.587E-3
Oclemena_acuminata,53,2.8376,3.3206,500,0.9790,6,1.3064,0.9037,0.0322,10051,2.6649,1.8325,0.5691,0.4330,6.5837,2.4672,0.7337,0.5761,0.0000,0.0677,0.0000,0.5395,3.7138,1.9198,0.0629,0.3717,0.2403,0.1314,0.2409,70.7841,1.1967,1.3233,0.0254,0.0246,0.2623,0.4271,1.9883,0.3831,0.1140,0.2877,0.0352,6.4052,0.0285,1.0000,0.0034,0.5016,0.0000,0.0000,1.594E-2,5.0000,0.0200,0.2305,0.0000,0.1667,3.156E-3,10.0000,0.0453,0.1353,0.0377,0.3333,4.001E-3,8.5770,0.0378,0.1550,0.0000,0.1667,4.676E-4,19.3812,0.1102,0.0626,0.0943,0.6667,4.961E-2,16.3567,0.0888,0.0791,0.0755,0.6667,7.574E-2,12.6496,0.0626,0.1070,0.0377,0.3333,1.642E-3,7.8622,0.0342,0.1667,0.0000,0.1667,6.641E-4,4.9925,0.0200,0.2307,0.0000,0.0000,1.509E-4,5.7134,0.0235,0.2112,0.0000,0.1667,2.079E-3,19.9249,0.1140,0.0601,0.1132,0.6667,4.606E-2
Oclemena_acuminata,53,2.7940,3.3554,500,0.9744,6,1.8625,0.9411,0.0246,10051,4.0605,1.3690,0.7576,0.4261,7.5122,3.8610,0.4058,0.6079,0.0000,0.0413,0.0084,1.4329,2.7542,2.1429,0.0000,0.4314,0.0720,0.2011,0.2938,63.5380,4.2382,1.4453,0.0563,0.2106,0.0472,0.2461,2.6700,0.4163,0.4086,0.3456,0.0000,6.4539,0.0301,1.0000,0.0040,0.5088,0.0000,0.0000,1.735E-2,5.0000,0.0199,0.2467,0.0000,0.0000,2.257E-4,10.0000,0.0455,0.1465,0.0566,0.1667,3.549E-4,5.1395,0.0206,0.2426,0.0000,0.0000,2.037E-4,18.1014,0.0975,0.0753,0.0943,0.3333,4.263E-4,17.2989,0.0915,0.0802,0.0755,0.3333,5.434E-4,14.7002,0.0740,0.0985,0.0566,0.3333,1.198E-3,8.6309,0.0379,0.1666,0.0377,0.1667,6.622E-4,8.6286,0.0379,0.1666,0.0377,0.0000,2.134E-5,5.1395,0.0206,0.2426,0.0000,0.0000,2.037E-4,20.4028,0.1162,0.0632,0.1698,0.5000,4.362E-3
Oclemena_acuminata,53,2.9002,3.4423,500,0.9820,6,1.2254,0.8840,0.0477,10051,1.0408,4.1788,0.2932,0.8855,8.3852,2.6951,0.9982,0.4171,0.0000,0.2041,0.0064,1.1004,2.1394,1.9723,0.0000,0.1602,0.1206,0.3754,0.0586,65.4835,3.1278,1.3711,0.0000,0.1352,0.0888,0.5210,3.2524,0.5870,0.1981,0.2039,0.0000,6.3490,0.0268,1.0000,0.0034,0.4743,0.0000,0.0000,1.138E-2,5.0000,0.0190,0.2146,0.0000,0.1667,2.243E-3,10.0000,0.0466,0.1226,0.0377,0.3333,2.756E-3,8.2087,0.0356,0.1464,0.0000,0.1667,3.537E-4,19.6874,0.1183,0.0543,0.0943,0.6667,3.823E-2,14.3786,0.0763,0.0833,0.0755,0.6667,8.299E-2,12.9536,0.0655,0.0939,0.0377,0.5000,1.332E-2,7.0238,0.0292,0.1667,0.0000,0.1667,6.641E-4,8.5926,0.0383,0.1407,0.0377,0.1667,2.919E-4,5.7143,0.0222,0.1953,0.0000,0.1667,1.427E-3,19.1395,0.1130,0.0568,0.0943,0.6667,4.153E-2
Oclemena_acuminata,53,2.7096,3.2784,500,0.9792,6,3.5357,0.9545,0.0386,10051,4.2504,1.0787,1.4097,1.0283,11.2663,2.2175,0.6520,0.3872,0.0000,0.1169,0.0029,0.3893,3.6293,2.0978,0.0092,0.1847,0.2517,0.1354,0.5595,59.8948,4.4532,1.7387,0.0000,0.2856,0.4407,0.3502,1.9400,0.2010,0.1620,0.8095,0.0574,6.5477,0.0333,1.0000,0.0043,0.5013,0.0000,0.0000,1.588E-2,5.0000,0.0228,0.2409,0.0000,0.1667,3.888E-3,10.0000,0.0519,0.1454,0.0377,0.1667,3.422E-4,7.4574,0.0368,0.1840,0.0000,0.1667,1.07E-3,22.1040,0.1470,0.0583,0.0943,0.1667,3.846E-6,18.4543,0.1142,0.0755,0.0755,0.1667,1.381E-5,14.8069,0.0845,0.0986,0.0377,0.1667,5.131E-5,8.4891,0.0429,0.1667,0.0377,0.1667,6.641E-4,45.6700,0.4693,0.0108,0.3208,0.1667,8.919E-10,5.7682,0.0270,0.2200,0.0000,0.1667,2.524E-3,19.6524,0.1231,0.0693,0.0755,0.1667,9.066E-6
Oclemena_acuminata,53,2.6772,3.2362,500,0.9760,6,3.3656,0.9757,0.0148,10052,6.8485,0.9338,0.3095,0.0000,8.4953,3.0095,0.5111,0.3597,0.0000,0.3280,0.0039,0.6575,2.9053,2.3077,0.0173,0.1212,0.1865,0.0000,0.2665,63.9606,4.0958,1.1491,0.0000,0.0730,0.3507,0.3665,1.8119,0.2467,0.3304,0.2147,0.1390,6.5744,0.0340,1.0000,0.0044,0.5201,0.0000,0.0000,1.979E-2,5.0000,0.0222,0.2519,0.0189,0.0000,2.554E-4,10.0000,0.0503,0.1512,0.0377,0.0000,1.195E-5,3.2521,0.0138,0.3216,0.0000,0.0000,1.107E-3,19.0634,0.1147,0.0742,0.0943,0.1667,1.267E-5,16.7788,0.0978,0.0880,0.0943,0.1667,2.941E-5,16.5242,0.0960,0.0897,0.0566,0.1667,3.23E-5,14.8769,0.0843,0.1016,0.0566,0.1667,5.938E-5,14.8764,0.0843,0.1016,0.0566,0.0000,1.098E-6,3.2521,0.0138,0.3216,0.0000,0.0000,1.107E-3,19.6364,0.1186,0.0712,0.1132,0.1667,1.035E-5
Oclemena_acuminata,53,2.8009,3.3205,500,0.9777,6,1.0319,0.7718,0.1403,10051,1.5619,1.2270,1.3623,0.0253,9.6639,2.5825,0.4174,0.3451,0.0067,3.6200,0.2651,0.4435,2.6878,1.6796,0.0000,0.3508,0.0725,0.2767,0.2771,63.5184,2.7170,1.4688,0.0000,0.2491,0.6398,0.6389,2.6267,0.2773,0.2728,0.7261,0.0000,6.4405,0.0299,1.0000,0.0041,0.4372,0.0000,0.1667,6.09E-2,5.0000,0.0237,0.2121,0.0000,0.3333,2.097E-2,10.0000,0.0542,0.1291,0.0566,0.5000,3.181E-2,7.1835,0.0356,0.1670,0.0000,0.3333,8.776E-3,17.7088,0.1088,0.0719,0.0943,0.5000,6.307E-3,15.3043,0.0911,0.0857,0.0943,0.5000,1.031E-2,9.0621,0.0478,0.1401,0.0189,0.5000,3.952E-2,3.6399,0.0168,0.2539,0.0000,0.3333,3.969E-2,3.6375,0.0168,0.2539,0.0000,0.1667,4.992E-3,5.1137,0.0243,0.2093,0.0000,0.3333,2E-2,19.7950,0.1272,0.0623,0.1321,0.5000,4.188E-3
Oclemena_acuminata,53,2.7649,3.3639,500,0.9813,6,2.6237,0.8901,0.0969,10051,2.5260,2.6206,3.5605,0.0107,16.4221,3.0761,1.5550,0.7453,0.0000,1.3181,0.0008,0.8002,5.1152,2.0938,0.0543,0.1607,0.2713,0.0100,0.5256,53.9307,1.0214,0.5913,0.0000,0.3709,0.1610,0.3945,1.3393,0.5306,0.1236,0.6703,0.0000,6.4544,0.0304,1.0000,0.0044,0.4251,0.0000,0.1667,5.38E-2,5.0000,0.0250,0.2044,0.0000,0.1667,1.774E-3,10.0000,0.0570,0.1247,0.0377,0.1667,1.619E-4,6.8443,0.0355,0.1665,0.0000,0.1667,6.603E-4,21.4362,0.1465,0.0544,0.0943,0.1667,2.735E-6,16.8314,0.1092,0.0744,0.0755,0.1667,1.285E-5,15.0764,0.0922,0.0844,0.0377,0.1667,2.385E-5,6.8385,0.0355,0.1667,0.0000,0.1667,6.641E-4,46.4598,0.4711,0.0096,0.3208,0.1667,4.731E-10,4.9414,0.0247,0.2059,0.0000,0.1667,1.837E-3,19.2267,0.1291,0.0632,0.0755,0.1667,5.721E-6
Oclemena_acuminata,54,2.7185,3.2723,500,0.9774,5,2.2400,0.9353,0.0453,10053,3.5447,1.1472,0.9721,0.3370,6.0482,2.9655,1.0962,0.2746,0.0271,0.0923,0.0000,0.7958,3.6654,1.8962,0.0000,0.2622,0.1497,0.0000,0.3686,66.2742,3.7854,1.0335,0.1805,0.3884,0.4372,1.1362,1.9328,0.2320,0.4362,0.5207,0.0000,6.5212,0.0322,1.0000,0.0041,0.5077,0.0000,0.0000,3.373E-2,5.0000,0.0218,0.2460,0.0000,0.2000,1.471E-2,10.0000,0.0484,0.1472,0.0370,0.2000,2.072E-3,5.3692,0.0236,0.2354,0.0000,0.2000,1.245E-2,20.0533,0.1194,0.0664,0.0926,0.2000,9.229E-5,15.7123,0.0873,0.0926,0.0926,0.2000,3.405E-4,13.8857,0.0749,0.1064,0.0370,0.2000,5.87E-4,6.8351,0.0312,0.2000,0.0185,0.2000,6.725E-3,31.2959,0.2336,0.0289,0.2037,0.2000,3.429E-6,5.3692,0.0236,0.2354,0.0000,0.2000,1.245E-2,19.8551,0.1182,0.0675,0.0926,0.2000,9.843E-5
