Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ormosia_species,42,3.9981,4.7798,500,0.9964,5,5.0950,0.9980,0.0006,10042,2.4979,8.3768,2.0049,1.8271,14.8283,4.2871,4.8336,0.3065,1.0567,1.3698,0.1454,0.0184,22.1755,0.5363,15.5695,2.0533,0.7818,0.0000,0.0000,0.0000,0.8938,0.0598,0.0000,0.7392,0.0000,8.9154,3.7540,0.0000,2.8718,0.0685,0.0285,5.2627,0.0084,1.0000,0.0016,0.2295,0.0000,0.0000,6.372E-4,5.0000,0.0138,0.0691,0.0000,0.0000,1.577E-6,10.0000,0.0435,0.0312,0.0238,0.0000,2.942E-8,8.4014,0.0318,0.0392,0.0000,0.0000,9.298E-8,33.3395,0.4923,0.0042,0.0952,0.0000,1.28E-12,10.0274,0.0436,0.0311,0.0238,0.0000,2.895E-8,8.4014,0.0318,0.0392,0.0000,0.0000,9.298E-8,39.3386,0.6822,0.0033,0.1905,0.0000,3.832E-13,39.3386,0.6822,0.0033,0.1905,0.0000,3.832E-13,3.3928,0.0076,0.0990,0.0000,0.0000,9.502E-6,13.8874,0.0845,0.0192,0.0476,0.0000,2.622E-9
Ormosia_species,42,3.9740,4.7755,500,0.9963,5,5.2388,0.9984,0.0004,10042,2.8077,8.0714,1.9320,1.5524,15.5587,3.3036,6.5687,0.0208,0.9663,0.2566,0.3837,0.0360,24.4265,0.4711,17.5307,2.6292,0.6898,0.0000,0.0000,0.2369,1.6789,0.1245,0.0000,0.6656,0.0000,5.2427,4.0721,0.0000,0.6505,0.1237,0.0000,5.2995,0.0087,1.0000,0.0016,0.2390,0.0000,0.0000,7.797E-4,5.0000,0.0133,0.0728,0.0000,0.0000,2.044E-6,10.0000,0.0425,0.0327,0.0238,0.0000,3.718E-8,8.5298,0.0327,0.0404,0.0000,0.0000,1.08E-7,34.3082,0.5049,0.0042,0.0952,0.0000,1.28E-12,10.5856,0.0482,0.0303,0.0238,0.0000,2.543E-8,8.5298,0.0327,0.0404,0.0000,0.0000,1.08E-7,49.5073,0.7527,0.0026,0.3333,0.0000,1.163E-13,49.5073,0.7527,0.0026,0.3333,0.0000,1.163E-13,3.5034,0.0079,0.1020,0.0000,0.0000,1.103E-5,13.9705,0.0815,0.0199,0.0476,0.0000,3.134E-9
Ormosia_species,42,4.3354,5.0893,500,0.9978,5,-1.3902,0.6756,0.1396,10042,0.0463,12.2489,2.6865,0.1498,15.8609,4.9207,9.6836,0.0181,0.0050,0.1574,0.2697,0.0439,22.8688,0.0000,12.3908,3.0181,0.0897,0.0000,0.0126,0.0000,0.4674,0.2902,0.0381,0.7099,0.2128,5.5125,6.0214,0.0000,0.1666,2.0825,0.0277,4.8804,0.0057,1.0000,0.0014,0.1576,0.0000,0.6000,1.79E-1,5.0000,0.0143,0.0399,0.0000,0.6000,1.471E-2,10.0000,0.0558,0.0152,0.0000,0.6000,2.251E-3,18.0299,0.2078,0.0063,0.0000,0.6000,3.887E-4,28.3242,0.6091,0.0038,0.0952,0.6000,1.421E-4,18.0299,0.2078,0.0063,0.0000,0.6000,3.887E-4,18.0299,0.2078,0.0063,0.0000,0.6000,3.887E-4,0.1266,0.0001,0.4000,0.0000,0.4000,3.175E-1,29.7548,0.6533,0.0037,0.1190,0.6000,1.348E-4,2.6866,0.0052,0.0756,0.0000,0.6000,4.897E-2,11.1225,0.0650,0.0130,0.0000,0.6000,1.658E-3
Ormosia_species,42,3.9679,4.7840,500,0.9963,5,5.3103,0.9990,0.0004,10042,3.7580,7.8407,3.0057,0.2935,16.2240,4.3338,5.7745,0.0492,2.2006,0.3098,0.2575,0.0452,23.4023,0.4479,14.8098,2.8838,0.5560,0.0000,0.0000,4.8343,0.8743,0.0588,0.0000,0.8781,0.0000,2.2071,4.3309,0.0000,0.5257,0.0987,0.0000,5.2831,0.0086,1.0000,0.0016,0.2390,0.0000,0.0000,7.797E-4,5.0000,0.0131,0.0714,0.0000,0.0000,1.856E-6,10.0000,0.0439,0.0318,0.0238,0.0000,3.235E-8,8.0408,0.0295,0.0421,0.0000,0.0000,1.326E-7,33.7716,0.4948,0.0042,0.0952,0.0000,1.28E-12,10.4913,0.0479,0.0298,0.0238,0.0000,2.34E-8,8.0408,0.0295,0.0421,0.0000,0.0000,1.326E-7,63.0487,0.7789,0.0018,0.4524,0.0000,1.85E-14,63.0487,0.7789,0.0018,0.4524,0.0000,1.85E-14,3.5164,0.0078,0.0999,0.0000,0.0000,9.94E-6,13.9208,0.0879,0.0195,0.0476,0.0000,2.833E-9
Ormosia_species,42,4.0768,4.8521,500,0.9964,5,3.2234,0.9865,0.0066,10042,3.0637,10.2570,3.2378,0.3014,18.1106,2.0578,5.3963,0.2312,0.3924,0.7628,0.0000,0.0313,24.6282,0.1174,13.4697,1.5562,0.3802,0.0000,0.0042,0.0000,1.2025,0.2180,0.3569,0.6307,0.0000,7.7033,5.4173,0.0000,0.3403,0.1328,0.0000,5.1602,0.0075,1.0000,0.0014,0.2356,0.0000,0.0000,7.261E-4,5.0000,0.0124,0.0684,0.0000,0.0000,1.499E-6,10.0000,0.0385,0.0293,0.0476,0.2000,3.587E-6,8.4627,0.0292,0.0369,0.0000,0.2000,9.04E-6,32.2859,0.5667,0.0038,0.0952,0.4000,5.388E-7,9.2450,0.0335,0.0329,0.0238,0.2000,5.678E-6,8.4627,0.0292,0.0369,0.0000,0.2000,9.04E-6,7.8850,0.0256,0.0405,0.0000,0.0000,1.094E-7,7.8850,0.0256,0.0405,0.0000,0.0000,1.094E-7,3.5140,0.0069,0.0963,0.0000,0.0000,8.28E-6,14.1066,0.0809,0.0173,0.0476,0.4000,5.068E-5
Ormosia_species,42,4.0064,4.8011,500,0.9960,5,4.1815,0.9922,0.0051,10042,1.8993,10.1093,1.5401,0.8102,16.2869,5.0866,5.1544,0.0230,1.9355,0.6190,0.7136,0.1708,21.3631,0.9717,13.4796,2.3392,0.6489,0.0000,0.0000,0.0000,1.8191,0.0433,0.0000,0.8116,0.0000,9.6427,3.3919,0.0000,0.3769,0.7635,0.0000,5.2757,0.0085,1.0000,0.0015,0.2512,0.0000,0.0000,1.001E-3,5.0000,0.0128,0.0755,0.0000,0.0000,2.45E-6,10.0000,0.0399,0.0334,0.0238,0.0000,4.132E-8,6.0411,0.0168,0.0619,0.0000,0.0000,9.117E-7,34.0353,0.5204,0.0039,0.0952,0.2000,1.134E-9,12.5782,0.0605,0.0238,0.0238,0.2000,1.574E-6,12.7107,0.0609,0.0234,0.0238,0.2000,1.471E-6,10.6166,0.0449,0.0307,0.0238,0.0000,2.714E-8,10.6166,0.0449,0.0307,0.0238,0.0000,2.714E-8,3.6519,0.0077,0.1019,0.0000,0.0000,1.097E-5,14.2538,0.0796,0.0194,0.0476,0.2000,6.999E-7
Ormosia_species,42,4.0942,4.9111,500,0.9974,5,3.3669,0.9143,0.0751,10042,3.6127,8.8231,2.9913,0.0117,16.6338,4.6917,7.0066,0.0524,0.6372,0.4244,0.0529,0.0906,23.4088,0.8795,16.3661,1.7654,0.6121,0.0000,0.0000,0.0000,0.3827,0.0451,0.0000,0.3853,0.0000,6.8391,3.8112,0.0000,0.4575,0.0188,0.0000,5.1443,0.0074,1.0000,0.0014,0.2072,0.0000,0.2000,7.692E-3,5.0000,0.0135,0.0573,0.0000,0.2000,5.129E-5,10.0000,0.0473,0.0247,0.0000,0.2000,1.823E-6,10.8002,0.0529,0.0222,0.0000,0.2000,1.194E-6,33.2027,0.5295,0.0038,0.0952,0.2000,1.022E-9,10.8002,0.0529,0.0222,0.0238,0.2000,1.194E-6,10.8002,0.0529,0.0222,0.0000,0.2000,1.194E-6,1.0629,0.0015,0.2000,0.0000,0.2000,6.715E-3,52.9943,0.7395,0.0023,0.3571,0.2000,1.373E-10,3.2385,0.0068,0.0881,0.0000,0.2000,2.804E-4,12.8306,0.0752,0.0170,0.0238,0.2000,4.147E-7
Ormosia_species,43,3.9840,4.7646,500,0.9963,4,5.0225,0.9981,0.0006,10043,6.0852,8.7340,0.7902,0.0387,13.2554,3.4676,5.2598,0.1599,0.1524,1.8481,0.0443,0.0602,24.5980,0.0785,15.7463,2.4318,0.5993,0.0000,0.0000,0.6629,1.0543,0.0032,0.1500,0.8951,0.0000,6.9048,3.8783,0.0000,2.8230,0.2788,0.0000,5.2701,0.0085,1.0000,0.0015,0.2365,0.0000,0.0000,3.128E-3,5.0000,0.0133,0.0715,0.0000,0.0000,2.612E-5,10.0000,0.0429,0.0317,0.0233,0.0000,1.005E-6,8.3858,0.0309,0.0400,0.0000,0.0000,2.567E-6,32.3943,0.4667,0.0044,0.0930,0.0000,3.684E-10,10.1929,0.0437,0.0308,0.0233,0.0000,8.961E-7,8.3858,0.0309,0.0400,0.0000,0.0000,2.567E-6,37.3574,0.6055,0.0035,0.1628,0.0000,1.475E-10,37.3574,0.6055,0.0035,0.1628,0.0000,1.475E-10,3.4815,0.0077,0.1007,0.0000,0.0000,1.027E-4,13.8745,0.0814,0.0193,0.0465,0.0000,1.392E-7
Ormosia_species,43,4.0325,4.7908,500,0.9961,4,4.0842,0.9940,0.0034,10043,7.8493,4.3913,1.6431,1.6374,15.0301,3.0451,5.7166,0.0259,1.3344,0.8635,0.9998,0.0389,20.5486,0.3422,16.0976,2.2874,0.6535,0.0000,0.0000,0.4686,0.7944,0.0182,0.0000,0.7831,0.0000,9.9999,3.7157,0.0000,1.6570,0.0585,0.0000,5.2305,0.0081,1.0000,0.0015,0.2301,0.0000,0.0000,2.804E-3,5.0000,0.0130,0.0696,0.0000,0.0000,2.347E-5,10.0000,0.0387,0.0310,0.0233,0.0000,9.196E-7,6.5740,0.0209,0.0524,0.0000,0.0000,7.525E-6,32.1462,0.4924,0.0041,0.0930,0.2500,2.713E-7,11.0681,0.0491,0.0266,0.0233,0.0000,4.996E-7,11.0681,0.0491,0.0266,0.0233,0.0000,4.996E-7,14.4826,0.0864,0.0175,0.0465,0.0000,9.432E-8,14.4826,0.0864,0.0175,0.0465,0.0000,9.432E-8,3.3947,0.0074,0.1001,0.0000,0.0000,1.003E-4,14.0169,0.0796,0.0185,0.0465,0.0000,1.177E-7
Ormosia_species,43,3.9991,4.7715,500,0.9964,4,4.9281,0.9978,0.0007,10043,3.5295,9.7603,1.3583,0.9515,14.0810,4.0465,5.9443,0.1272,0.8130,0.6242,0.0037,0.0389,21.5788,0.4181,15.5291,2.3106,0.8328,0.0000,0.0000,0.0000,1.8830,0.0667,0.0000,0.6984,0.0000,8.6778,3.9233,0.0000,2.7071,0.0527,0.0432,5.2771,0.0085,1.0000,0.0016,0.2403,0.0000,0.0000,3.333E-3,5.0000,0.0128,0.0727,0.0000,0.0000,2.791E-5,10.0000,0.0416,0.0325,0.0465,0.0000,1.11E-6,9.0647,0.0352,0.0371,0.0000,0.0000,1.903E-6,33.4340,0.5105,0.0041,0.0930,0.0000,2.778E-10,9.9778,0.0415,0.0327,0.0233,0.0000,1.138E-6,9.0647,0.0352,0.0371,0.0000,0.0000,1.903E-6,37.4002,0.6199,0.0035,0.1628,0.0000,1.475E-10,37.4002,0.6199,0.0035,0.1628,0.0000,1.475E-10,3.5503,0.0077,0.1007,0.0000,0.0000,1.027E-4,14.1122,0.0825,0.0194,0.0465,0.0000,1.421E-7
