Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Orthodes_cynica,190,2.5923,3.1953,500,0.9792,22,2.8716,0.9303,0.0412,10190,2.9525,0.9602,0.8536,2.7794,2.9822,8.6545,3.6835,0.1765,1.8922,3.1818,0.0308,1.7349,7.0287,0.0361,9.7896,2.3370,0.0438,0.8412,1.4574,14.8290,3.2883,14.5906,0.3378,0.1136,0.2156,1.3573,0.0589,3.9306,0.8915,8.9562,0.0146,6.7332,0.0369,1.0000,0.0048,0.5766,0.0053,0.0455,9.425E-5,5.0000,0.0203,0.2641,0.0211,0.0909,3.523E-10,10.0000,0.0488,0.1383,0.0211,0.0909,1.137E-15,0.9254,0.0045,0.5899,0.0000,0.0455,1.476E-4,28.6258,0.3206,0.0253,0.0947,0.1364,6.626E-28,24.3633,0.2267,0.0350,0.0316,0.0909,1.675E-27,24.3633,0.2267,0.0350,0.0316,0.0909,1.675E-27,13.8824,0.0811,0.0909,0.0316,0.0909,2.843E-19,24.9788,0.2397,0.0334,0.0421,0.0909,6.334E-28,7.2765,0.0319,0.1927,0.0211,0.0909,7.706E-13,14.8484,0.0899,0.0823,0.0316,0.0909,4.022E-20
Orthodes_cynica,190,2.6118,3.1817,500,0.9774,22,2.7975,0.9497,0.0359,10190,5.9671,2.4604,1.5795,0.0880,5.2315,8.1038,2.4896,0.1476,1.2880,2.8146,0.0070,0.6739,7.4662,0.0203,7.8053,2.4395,0.0298,0.9568,1.5102,14.5206,3.4404,15.3730,0.1753,0.1198,0.4126,1.6521,0.0000,4.3875,0.7794,8.0485,0.0115,6.6900,0.0354,1.0000,0.0048,0.5391,0.0053,0.0455,2.471E-5,5.0000,0.0212,0.2448,0.0158,0.0455,2.475E-12,10.0000,0.0507,0.1289,0.0263,0.0455,4.02E-18,0.1018,0.0010,0.8187,0.0000,0.0000,1.228E-2,29.4357,0.3670,0.0229,0.1000,0.2273,3.014E-24,20.5165,0.1684,0.0450,0.0421,0.0909,2.502E-25,20.5165,0.1684,0.0450,0.0421,0.0909,2.502E-25,17.7981,0.1275,0.0576,0.0368,0.0455,1.939E-25,17.7981,0.1275,0.0576,0.0368,0.0455,1.939E-25,6.8679,0.0306,0.1885,0.0158,0.0455,1.093E-14,14.5726,0.0910,0.0789,0.0368,0.0455,1.403E-22
Orthodes_cynica,190,2.5790,3.1608,500,0.9787,22,3.2774,0.9894,0.0025,10190,1.9399,2.8345,2.4182,1.3381,3.6635,9.5846,3.7413,0.0631,1.4978,2.9951,0.0390,0.5507,8.9859,0.0362,7.1095,2.3124,0.1364,0.1047,1.2200,14.5072,4.7479,14.2150,0.3391,0.1462,0.1334,1.7964,0.0411,4.1281,0.9143,8.3902,0.0705,6.7180,0.0363,1.0000,0.0048,0.5679,0.0053,0.0000,3.928E-6,5.0000,0.0203,0.2623,0.0211,0.0000,1.637E-13,10.0000,0.0491,0.1365,0.0211,0.0000,9.405E-20,0.8509,0.0043,0.5945,0.0000,0.0000,1.075E-5,26.1990,0.2644,0.0294,0.1000,0.0909,5.222E-29,20.5138,0.1587,0.0474,0.0474,0.0000,7.362E-30,20.4910,0.1585,0.0474,0.0421,0.0000,7.362E-30,23.9070,0.2198,0.0352,0.0789,0.0455,6.5E-30,23.9070,0.2198,0.0352,0.0632,0.0000,1.077E-32,4.7101,0.0189,0.2742,0.0105,0.0000,4.337E-13,14.8325,0.0911,0.0812,0.0368,0.0000,1.012E-24
Orthodes_cynica,190,2.5692,3.1444,500,0.9765,22,3.4349,0.9889,0.0024,10190,4.5887,0.6724,0.4787,1.1542,2.8210,10.4304,3.2899,0.1706,1.4398,3.3756,0.0153,0.6894,8.2595,0.0807,7.2071,2.0674,0.0051,0.2028,1.1092,14.5840,6.4957,14.4547,0.2508,0.0794,0.1786,1.4512,0.0104,4.4530,0.8805,9.0685,0.0358,6.7260,0.0366,1.0000,0.0048,0.5763,0.0053,0.0000,5.434E-6,5.0000,0.0204,0.2682,0.0211,0.0000,2.668E-13,10.0000,0.0480,0.1401,0.0263,0.0000,1.676E-19,0.8955,0.0044,0.5947,0.0000,0.0000,1.083E-5,26.1047,0.2553,0.0297,0.1000,0.0909,6.368E-29,21.5809,0.1758,0.0438,0.0421,0.0000,1.275E-30,21.5809,0.1758,0.0438,0.0421,0.0000,1.275E-30,21.6066,0.1762,0.0437,0.0474,0.0455,5.859E-28,21.5809,0.1758,0.0438,0.0421,0.0000,1.275E-30,7.3549,0.0317,0.1936,0.0211,0.0000,2.056E-16,15.0047,0.0884,0.0817,0.0368,0.0000,1.187E-24
Orthodes_cynica,192,2.6193,3.1769,500,0.9772,20,2.6708,0.9498,0.0285,10192,4.3874,0.5390,1.3991,1.6160,3.4913,9.7958,2.0675,0.0965,1.9866,2.6005,0.0000,1.2748,7.1207,0.0241,8.4804,2.0898,0.1110,0.1775,0.5206,14.9216,7.2827,15.5252,0.2076,0.0791,0.1372,1.5138,0.0780,3.7596,0.5988,8.0389,0.0790,6.6850,0.0350,1.0000,0.0047,0.5676,0.0052,0.0500,1.956E-4,5.0000,0.0195,0.2573,0.0208,0.0500,9.471E-11,10.0000,0.0479,0.1324,0.0260,0.0500,3.597E-16,0.7367,0.0037,0.6172,0.0000,0.0000,6.424E-5,28.5234,0.3430,0.0233,0.0938,0.2000,3.241E-23,17.7936,0.1191,0.0573,0.0573,0.2000,5.242E-17,26.2380,0.2724,0.0273,0.0625,0.2000,4.099E-22,12.4648,0.0663,0.1000,0.0417,0.1000,1.552E-16,11.4367,0.0580,0.1122,0.0365,0.0500,1.604E-17,7.2770,0.0304,0.1863,0.0208,0.0500,2.246E-13,14.7416,0.0869,0.0785,0.0469,0.1500,1.475E-16
Orthodes_cynica,191,2.5705,3.1482,500,0.9770,21,2.6731,0.9770,0.0050,10191,5.5432,2.0769,2.0041,1.1951,4.4165,11.5853,2.6745,0.1035,1.3298,3.1792,0.0364,0.5650,7.3708,0.0279,9.0101,3.0497,0.1702,0.3787,0.5824,14.0867,1.7682,12.3358,2.4985,0.1073,0.2361,1.0754,0.0119,4.3784,0.6327,7.0748,0.4953,6.7431,0.0373,1.0000,0.0050,0.5766,0.0052,0.0000,9.51E-6,5.0000,0.0207,0.2710,0.0209,0.0000,1.239E-12,10.0000,0.0488,0.1447,0.0314,0.0000,2.355E-18,0.7773,0.0041,0.6171,0.0000,0.0000,3.96E-5,29.7378,0.3504,0.0237,0.0942,0.2857,2.041E-20,19.9362,0.1434,0.0524,0.0524,0.1429,1.012E-20,25.0686,0.2375,0.0334,0.0628,0.2381,4.088E-20,17.7609,0.1163,0.0645,0.0419,0.0476,3.032E-23,15.8068,0.0949,0.0786,0.0419,0.0000,6.364E-24,6.6340,0.0288,0.2166,0.0209,0.0000,1.115E-14,15.2507,0.0897,0.0832,0.0419,0.0000,2.107E-23
Orthodes_cynica,191,2.6175,3.1900,500,0.9766,21,2.2777,0.9016,0.0449,10191,3.7126,2.4957,3.0339,1.4133,4.1655,11.8740,1.3944,0.1492,1.5465,2.4232,0.0000,0.5246,7.6501,0.2933,7.4821,2.4865,0.1470,0.0390,1.0221,15.3682,6.3218,10.3395,1.8785,0.1855,0.1398,1.3807,0.0488,4.4152,0.3475,7.7217,0.0000,6.6614,0.0342,1.0000,0.0044,0.5474,0.0052,0.0476,5.875E-5,5.0000,0.0200,0.2443,0.0209,0.1905,8.275E-8,10.0000,0.0488,0.1241,0.0366,0.1905,1.434E-12,0.3016,0.0019,0.7222,0.0000,0.0476,9.769E-3,28.5321,0.3541,0.0227,0.0995,0.2857,1.022E-20,19.0683,0.1466,0.0471,0.0471,0.2381,9.517E-18,22.6607,0.2136,0.0341,0.0524,0.2381,5.908E-20,6.7029,0.0283,0.1905,0.0262,0.1905,1.548E-9,18.3880,0.1383,0.0501,0.0419,0.1905,3.947E-19,5.0405,0.0201,0.2428,0.0209,0.1905,7.473E-8,14.2258,0.0843,0.0766,0.0419,0.1905,4.808E-16
Orthodes_cynica,191,2.6392,3.1617,500,0.9748,21,2.3326,0.9568,0.0132,10191,5.1242,1.7201,0.3812,2.1466,3.3079,10.3678,2.7382,0.1027,1.2113,2.9428,0.0164,0.9953,6.8043,0.5082,9.1839,2.3923,0.1591,0.0309,0.9258,15.6928,6.8066,12.8193,0.2434,0.1956,0.0487,1.4783,0.0742,3.2739,0.9229,7.3128,0.0726,6.6624,0.0341,1.0000,0.0044,0.5774,0.0105,0.0000,9.785E-6,5.0000,0.0187,0.2603,0.0209,0.0000,5.32E-13,10.0000,0.0448,0.1317,0.0314,0.1429,1.265E-13,0.8012,0.0037,0.6153,0.0000,0.0000,3.728E-5,24.3831,0.2385,0.0300,0.0995,0.2857,6.648E-19,16.4786,0.1028,0.0637,0.0628,0.1905,2.177E-17,21.2050,0.1724,0.0396,0.0733,0.2857,4.058E-17,9.6392,0.0424,0.1378,0.0314,0.1429,2.795E-13,6.7381,0.0266,0.2019,0.0209,0.0000,2.569E-15,6.7381,0.0266,0.2019,0.0209,0.0000,2.569E-15,14.7090,0.0858,0.0767,0.0471,0.1429,9.023E-18
Orthodes_cynica,191,2.6427,3.2300,500,0.9778,21,2.2389,0.9035,0.0485,10191,6.1977,2.2430,1.1466,0.1010,2.5810,6.8042,0.8807,0.2091,2.0181,2.6899,0.0164,1.6390,6.7027,0.0348,7.9472,1.7338,0.0478,0.4159,2.0013,14.4663,7.1526,14.2649,0.3156,0.0468,0.4621,2.6006,0.0307,4.6548,0.8383,5.9799,3.7770,6.6530,0.0339,1.0000,0.0045,0.5448,0.0157,0.0952,4.773E-4,5.0000,0.0197,0.2457,0.0157,0.1429,6.404E-9,10.0000,0.0478,0.1256,0.0157,0.1429,5.505E-14,0.0829,0.0009,0.8391,0.0000,0.0000,2.511E-2,28.0269,0.3468,0.0230,0.0995,0.3810,8.447E-17,19.1358,0.1421,0.0471,0.0471,0.1905,1.379E-19,17.7241,0.1237,0.0542,0.0314,0.1429,1.829E-20,8.9539,0.0411,0.1429,0.0157,0.1429,5.29E-13,17.7241,0.1237,0.0542,0.0314,0.1429,1.829E-20,7.0143,0.0295,0.1835,0.0157,0.1429,4.173E-11,14.4315,0.0864,0.0760,0.0314,0.1429,7.691E-18
Orthodes_cynica,192,2.5858,3.1701,500,0.9798,20,3.0491,0.9521,0.0364,10192,2.8430,3.1229,0.4717,0.0990,3.2571,9.5347,2.1602,0.4081,1.3441,4.1008,0.0190,1.0210,8.0426,0.0369,13.2911,1.9835,0.0036,0.0218,0.3961,15.7773,8.2759,12.5587,0.6490,0.2629,0.1324,1.5110,0.0393,3.5005,0.5755,4.4516,0.1087,6.7442,0.0373,1.0000,0.0049,0.5896,0.0000,0.0500,3.843E-4,5.0000,0.0199,0.2701,0.0156,0.0500,2.353E-10,10.0000,0.0492,0.1405,0.0208,0.0500,1.109E-15,1.0039,0.0049,0.5890,0.0000,0.0500,3.776E-4,30.2153,0.3691,0.0230,0.0938,0.1000,5.713E-28,20.8535,0.1653,0.0469,0.0469,0.0500,1.08E-24,21.5891,0.1791,0.0439,0.0469,0.0500,3.03E-25,20.1311,0.1553,0.0500,0.0469,0.0500,3.688E-24,23.3866,0.2078,0.0376,0.0729,0.0500,1.618E-26,7.4433,0.0322,0.1921,0.0156,0.0500,3.99E-13,14.8661,0.0898,0.0833,0.0417,0.0500,5.722E-20
