Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Orthogonalys_pulchella,40,5.1832,5.4391,500,0.9980,5,5.3775,0.9970,0.0005,10040,1.1746,1.8133,0.0296,0.2344,4.0440,8.5621,0.0228,0.0000,0.0000,30.3293,0.0006,5.1547,32.3397,0.0000,0.3261,3.3648,0.0358,0.2283,0.0000,0.0264,0.0000,4.5318,0.0000,0.0538,0.0000,1.0762,5.1186,0.1474,1.3857,0.0000,0.0000,4.0505,0.0027,1.0000,0.0028,0.0217,0.0000,0.0000,4.826E-9,5.0000,0.0811,0.0049,0.0000,0.0000,2.769E-12,10.0000,0.5316,0.0039,0.0250,0.2000,1.135E-9,8.5919,0.4663,0.0039,0.0000,0.0000,8.844E-13,14.8966,0.5746,0.0037,0.0750,0.2000,9.195E-10,8.5919,0.4663,0.0039,0.0000,0.0000,8.844E-13,8.5919,0.4663,0.0039,0.0000,0.0000,8.844E-13,8.5919,0.4663,0.0039,0.0000,0.0000,8.844E-13,8.5919,0.4663,0.0039,0.0000,0.0000,8.844E-13,0.8946,0.0023,0.0241,0.0000,0.0000,8.136E-9,4.2282,0.0443,0.0057,0.0000,0.0000,5.898E-12
Orthogonalys_pulchella,40,5.1502,5.4346,500,0.9980,5,5.4585,0.9979,0.0005,10040,1.4497,2.1788,0.0000,2.0911,5.1189,10.3621,0.0000,0.0000,0.0000,25.9558,0.0000,2.1045,30.1528,0.0000,0.2661,2.9619,0.0975,0.2457,0.0000,0.0253,0.0000,5.1862,0.0000,0.0506,0.0000,2.0096,8.5770,0.1831,0.9833,0.0000,0.0000,4.0843,0.0027,1.0000,0.0022,0.0283,0.0000,0.0000,1.811E-8,5.0000,0.0639,0.0052,0.0000,0.0000,3.727E-12,10.0000,0.5336,0.0038,0.0000,0.0000,7.767E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,1.0400,0.0023,0.0273,0.0000,0.0000,1.514E-8,4.4824,0.0402,0.0059,0.0000,0.0000,7.008E-12
Orthogonalys_pulchella,40,5.1502,5.4346,500,0.9980,5,5.4585,0.9979,0.0005,10040,1.4497,2.1788,0.0000,2.0911,5.1189,10.3621,0.0000,0.0000,0.0000,25.9558,0.0000,2.1045,30.1528,0.0000,0.2661,2.9619,0.0975,0.2457,0.0000,0.0253,0.0000,5.1862,0.0000,0.0506,0.0000,2.0096,8.5770,0.1831,0.9833,0.0000,0.0000,4.0843,0.0027,1.0000,0.0022,0.0283,0.0000,0.0000,1.811E-8,5.0000,0.0639,0.0052,0.0000,0.0000,3.727E-12,10.0000,0.5336,0.0038,0.0000,0.0000,7.767E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,1.0400,0.0023,0.0273,0.0000,0.0000,1.514E-8,4.4824,0.0402,0.0059,0.0000,0.0000,7.008E-12
Orthogonalys_pulchella,40,5.1502,5.4346,500,0.9980,5,5.4585,0.9979,0.0005,10040,1.4497,2.1788,0.0000,2.0911,5.1189,10.3621,0.0000,0.0000,0.0000,25.9558,0.0000,2.1045,30.1528,0.0000,0.2661,2.9619,0.0975,0.2457,0.0000,0.0253,0.0000,5.1862,0.0000,0.0506,0.0000,2.0096,8.5770,0.1831,0.9833,0.0000,0.0000,4.0843,0.0027,1.0000,0.0022,0.0283,0.0000,0.0000,1.811E-8,5.0000,0.0639,0.0052,0.0000,0.0000,3.727E-12,10.0000,0.5336,0.0038,0.0000,0.0000,7.767E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,11.4490,0.5336,0.0038,0.0000,0.0000,7.767E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,17.6652,0.5780,0.0036,0.1000,0.0000,5.927E-13,1.0400,0.0023,0.0273,0.0000,0.0000,1.514E-8,4.4824,0.0402,0.0059,0.0000,0.0000,7.008E-12
Orthogonalys_pulchella,40,5.1509,5.4364,500,0.9980,5,5.4520,0.9975,0.0005,10040,0.0049,2.1792,2.8269,0.2197,5.3391,10.3618,0.9672,0.0000,0.0000,26.8423,0.0000,2.4695,31.1065,0.0000,0.3667,3.8326,0.0354,0.1499,0.0000,0.0159,0.0000,5.1130,0.0000,0.0953,0.0000,1.8893,4.6393,0.1614,1.3841,0.0000,0.0000,4.0764,0.0027,1.0000,0.0024,0.0265,0.0000,0.0000,1.305E-8,5.0000,0.0548,0.0053,0.0000,0.0000,4.099E-12,10.0000,0.5421,0.0038,0.0500,0.0000,7.767E-13,9.3151,0.5340,0.0040,0.0000,0.0000,1.004E-12,49.8877,0.5762,0.0021,0.1000,0.0000,4.003E-14,9.3151,0.5340,0.0040,0.0000,0.0000,1.004E-12,9.3151,0.5340,0.0040,0.0000,0.0000,1.004E-12,49.8877,0.5762,0.0021,0.1000,0.0000,4.003E-14,49.8877,0.5762,0.0021,0.1000,0.0000,4.003E-14,0.9822,0.0023,0.0270,0.0000,0.0000,1.433E-8,4.6004,0.0409,0.0058,0.0000,0.0000,6.434E-12
Orthogonalys_pulchella,41,5.1325,5.4102,500,0.9980,4,5.4411,0.9986,0.0005,10041,1.6777,2.0532,0.0000,1.4851,4.9936,12.6321,0.2953,0.0000,0.0000,25.3811,0.0000,3.0060,30.6365,0.0000,0.3941,1.5678,0.0223,0.1599,0.0000,0.0483,0.0000,5.6513,0.0000,0.0737,0.0000,1.9520,6.7527,0.1573,1.0601,0.0000,0.0000,4.0951,0.0028,1.0000,0.0025,0.0259,0.0000,0.0000,4.496E-7,5.0000,0.0607,0.0053,0.0000,0.0000,7.762E-10,10.0000,0.5325,0.0039,0.0000,0.0000,2.276E-10,11.0851,0.5325,0.0039,0.0000,0.0000,2.276E-10,56.3200,0.5793,0.0019,0.0976,0.0000,1.282E-11,11.0851,0.5325,0.0039,0.0000,0.0000,2.276E-10,11.0851,0.5325,0.0039,0.0000,0.0000,2.276E-10,56.3200,0.5793,0.0019,0.0976,0.0000,1.282E-11,56.3200,0.5793,0.0019,0.0976,0.0000,1.282E-11,0.9531,0.0024,0.0271,0.0000,0.0000,5.385E-7,4.4391,0.0451,0.0060,0.0000,0.0000,1.275E-9
Orthogonalys_pulchella,41,5.1650,5.4134,500,0.9980,4,5.3298,0.9973,0.0007,10041,0.3597,0.6626,3.2983,0.0346,3.5883,7.1826,0.0000,0.1480,0.0000,28.0854,0.0000,5.0507,32.2670,0.0000,0.0528,2.6289,0.0478,0.1746,0.0192,0.0089,0.0000,6.4448,0.0273,0.1367,0.0000,1.5498,7.2567,0.1612,0.8141,0.0000,0.0000,4.0761,0.0027,1.0000,0.0028,0.0221,0.0000,0.0000,2.389E-7,5.0000,0.0723,0.0050,0.0000,0.0000,6.149E-10,10.0000,0.5404,0.0040,0.0244,0.2500,2.521E-7,8.5657,0.4654,0.0040,0.0000,0.0000,2.518E-10,51.3893,0.5737,0.0021,0.0732,0.2500,3.653E-8,8.5657,0.4654,0.0040,0.0000,0.0000,2.518E-10,8.5657,0.4654,0.0040,0.0000,0.0000,2.518E-10,8.5657,0.4654,0.0040,0.0000,0.0000,2.518E-10,8.5657,0.4654,0.0040,0.0000,0.0000,2.518E-10,0.8591,0.0023,0.0253,0.0000,0.0000,4.095E-7,4.2648,0.0383,0.0058,0.0000,0.0000,1.113E-9
Orthogonalys_pulchella,41,5.1462,5.4180,500,0.9980,4,5.3548,0.9978,0.0007,10041,3.0472,1.8479,0.0358,0.0024,7.6239,6.8298,0.0859,0.0192,0.0000,25.1512,0.0027,3.6940,29.3121,0.0000,0.2143,2.2017,0.0620,0.1033,0.0000,0.0205,0.0000,6.3560,0.0000,0.0912,0.0000,1.0920,11.0435,0.2061,0.9573,0.0000,0.0000,4.0745,0.0027,1.0000,0.0027,0.0242,0.0000,0.0000,3.43E-7,5.0000,0.0730,0.0050,0.0000,0.0000,6.149E-10,10.0000,0.5288,0.0040,0.0244,0.2500,2.521E-7,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,14.5404,0.5756,0.0038,0.0732,0.2500,2.162E-7,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,0.9378,0.0023,0.0257,0.0000,0.0000,4.359E-7,4.3529,0.0415,0.0058,0.0000,0.0000,1.113E-9
Orthogonalys_pulchella,41,5.1462,5.4180,500,0.9980,4,5.3548,0.9978,0.0007,10041,3.0472,1.8479,0.0358,0.0024,7.6239,6.8298,0.0859,0.0192,0.0000,25.1512,0.0027,3.6940,29.3121,0.0000,0.2143,2.2017,0.0620,0.1033,0.0000,0.0205,0.0000,6.3560,0.0000,0.0912,0.0000,1.0920,11.0435,0.2061,0.9573,0.0000,0.0000,4.0745,0.0027,1.0000,0.0027,0.0242,0.0000,0.0000,3.43E-7,5.0000,0.0730,0.0050,0.0000,0.0000,6.149E-10,10.0000,0.5288,0.0040,0.0244,0.2500,2.521E-7,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,14.5404,0.5756,0.0038,0.0732,0.2500,2.162E-7,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,8.4178,0.4848,0.0040,0.0000,0.0000,2.518E-10,0.9378,0.0023,0.0257,0.0000,0.0000,4.359E-7,4.3529,0.0415,0.0058,0.0000,0.0000,1.113E-9
Orthogonalys_pulchella,41,5.1325,5.4102,500,0.9980,4,5.4411,0.9986,0.0005,10041,1.6777,2.0532,0.0000,1.4851,4.9936,12.6321,0.2953,0.0000,0.0000,25.3811,0.0000,3.0060,30.6365,0.0000,0.3941,1.5678,0.0223,0.1599,0.0000,0.0483,0.0000,5.6513,0.0000,0.0737,0.0000,1.9520,6.7527,0.1573,1.0601,0.0000,0.0000,4.0951,0.0028,1.0000,0.0025,0.0259,0.0000,0.0000,4.496E-7,5.0000,0.0607,0.0053,0.0000,0.0000,7.762E-10,10.0000,0.5325,0.0039,0.0000,0.0000,2.276E-10,11.0851,0.5325,0.0039,0.0000,0.0000,2.276E-10,56.3200,0.5793,0.0019,0.0976,0.0000,1.282E-11,11.0851,0.5325,0.0039,0.0000,0.0000,2.276E-10,11.0851,0.5325,0.0039,0.0000,0.0000,2.276E-10,56.3200,0.5793,0.0019,0.0976,0.0000,1.282E-11,56.3200,0.5793,0.0019,0.0976,0.0000,1.282E-11,0.9531,0.0024,0.0271,0.0000,0.0000,5.385E-7,4.4391,0.0451,0.0060,0.0000,0.0000,1.275E-9
