Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Oxalis_stricta,27,3.9557,4.9466,500,0.9979,4,4.0453,0.9947,0.0023,10027,4.0096,5.3120,2.5426,1.9249,5.6878,36.9556,10.8912,1.8161,0.0050,2.9232,0.3756,1.1429,3.7294,0.9914,1.3733,1.0703,1.8901,0.0165,0.2231,0.6386,0.8926,0.0628,0.0000,0.7685,0.0000,13.0951,0.4697,0.0000,1.1920,0.0000,0.0000,5.2509,0.0087,1.0000,0.0027,0.1533,0.0000,0.0000,5.521E-4,5.0000,0.0201,0.0550,0.0000,0.0000,9.118E-6,10.0000,0.0627,0.0282,0.0000,0.0000,6.345E-7,17.5121,0.1490,0.0154,0.0000,0.0000,5.564E-8,40.4914,0.4981,0.0038,0.0370,0.5000,8.574E-5,17.5121,0.1490,0.0154,0.0000,0.0000,5.564E-8,17.5121,0.1490,0.0154,0.0000,0.0000,5.564E-8,20.3415,0.1854,0.0126,0.0370,0.0000,2.493E-8,20.3415,0.1854,0.0126,0.0370,0.0000,2.493E-8,2.4153,0.0075,0.0939,0.0000,0.0000,7.79E-5,14.6424,0.1156,0.0189,0.0000,0.0000,1.289E-7
Oxalis_stricta,28,3.9397,4.8863,500,0.9977,3,4.8535,0.9974,0.0013,10028,4.1633,4.6716,3.1345,0.4212,8.0031,44.7443,7.6732,2.1075,0.0009,0.9763,0.4426,1.3678,4.2208,0.9309,1.6308,2.2276,1.6120,0.0000,0.3318,0.6412,0.8578,0.0933,0.0000,0.4637,0.0000,8.6061,0.1080,0.0000,0.5003,0.0684,0.0010,5.2720,0.0089,1.0000,0.0028,0.1531,0.0000,0.0000,3.587E-3,5.0000,0.0209,0.0553,0.0000,0.0000,1.695E-4,10.0000,0.0621,0.0290,0.0000,0.0000,2.444E-5,13.9087,0.1021,0.0202,0.0000,0.0000,8.296E-6,41.3244,0.5069,0.0037,0.0357,0.3333,4.074E-5,13.9672,0.1023,0.0202,0.0357,0.0000,8.296E-6,13.9087,0.1021,0.0202,0.0000,0.0000,8.296E-6,33.6990,0.3857,0.0056,0.0357,0.0000,1.741E-7,33.6990,0.3857,0.0056,0.0357,0.0000,1.741E-7,2.4500,0.0077,0.0930,0.0000,0.0000,8.054E-4,14.5108,0.1075,0.0193,0.0357,0.0000,7.24E-6
Oxalis_stricta,28,4.0090,4.9143,500,0.9975,3,3.3616,0.9902,0.0039,10028,7.4115,2.6002,6.0415,1.9870,3.6443,40.3567,9.3314,1.1272,0.0009,0.1664,0.8706,2.0945,3.4780,0.1961,1.2036,1.5665,1.4637,0.0175,0.7153,0.1905,4.3890,0.0714,0.0000,0.3692,0.0000,9.0341,0.8512,0.0000,0.7702,0.0515,0.0000,5.2172,0.0084,1.0000,0.0025,0.1589,0.0000,0.0000,4.009E-3,5.0000,0.0188,0.0549,0.0000,0.0000,1.659E-4,10.0000,0.0561,0.0278,0.0000,0.0000,2.154E-5,14.0761,0.0990,0.0187,0.0000,0.0000,6.589E-6,39.6400,0.4702,0.0035,0.0714,0.6667,1.043E-2,14.1363,0.0999,0.0187,0.0357,0.0000,6.589E-6,14.0761,0.0990,0.0187,0.0000,0.0000,6.589E-6,16.0450,0.1250,0.0160,0.0357,0.0000,4.062E-6,16.0450,0.1250,0.0160,0.0357,0.0000,4.062E-6,2.5746,0.0073,0.0926,0.0000,0.0000,7.951E-4,14.3854,0.1044,0.0183,0.0357,0.0000,6.177E-6
Oxalis_stricta,28,4.0428,4.9293,500,0.9972,3,2.9725,0.9913,0.0025,10028,7.1324,2.2902,3.1902,0.0003,8.7593,44.7555,9.6073,1.6574,0.0016,1.0234,0.3524,1.5664,4.2024,0.8206,0.9115,0.9771,1.4720,0.0690,0.4562,0.5289,0.9156,0.0010,0.0000,0.7916,0.0000,7.9022,0.1092,0.0000,0.4620,0.0443,0.0000,5.1686,0.0079,1.0000,0.0025,0.1531,0.0000,0.0000,3.587E-3,5.0000,0.0186,0.0541,0.0000,0.0000,1.588E-4,10.0000,0.0535,0.0269,0.0000,0.0000,1.952E-5,10.3627,0.0562,0.0258,0.0000,0.0000,1.723E-5,34.6785,0.4536,0.0042,0.0714,0.6667,1.251E-2,10.3972,0.0571,0.0258,0.0357,0.0000,1.723E-5,10.3627,0.0562,0.0258,0.0000,0.0000,1.723E-5,16.4185,0.1269,0.0143,0.0357,0.0000,2.9E-6,16.4185,0.1269,0.0143,0.0357,0.0000,2.9E-6,2.4646,0.0070,0.0929,0.0000,0.0000,8.028E-4,14.1827,0.0974,0.0175,0.0357,0.0000,5.315E-6
Oxalis_stricta,28,4.0732,4.9257,500,0.9974,3,2.1049,0.9844,0.0028,10028,6.1344,2.5115,1.5573,0.8770,12.1689,41.3478,11.4508,1.1441,0.0011,0.1643,0.3117,1.8069,3.5037,0.5985,1.4922,1.1584,1.4481,0.0279,0.6210,2.0801,0.0000,0.1203,0.0000,0.8328,0.0135,8.1361,0.0551,0.0000,0.4329,0.0036,0.0000,5.1420,0.0078,1.0000,0.0027,0.1329,0.0000,0.0000,2.349E-3,5.0000,0.0215,0.0473,0.0000,0.0000,1.056E-4,10.0000,0.0611,0.0244,0.0000,0.0000,1.458E-5,12.2506,0.0890,0.0196,0.0000,0.3333,1.143E-3,41.3978,0.5233,0.0033,0.0714,1.0000,1E0,12.2506,0.0890,0.0196,0.0357,0.3333,1.143E-3,12.2506,0.0890,0.0196,0.0000,0.3333,1.143E-3,11.6018,0.0789,0.0207,0.0000,0.0000,8.924E-6,11.6018,0.0789,0.0207,0.0000,0.0000,8.924E-6,2.2195,0.0067,0.0861,0.0000,0.0000,6.374E-4,13.9239,0.1072,0.0171,0.0357,0.3333,8.624E-4
Oxalis_stricta,28,4.1546,5.1043,500,0.9984,3,1.3387,0.9615,0.0206,10028,3.4006,1.4886,2.2023,0.3162,5.9763,48.8092,8.8652,2.4051,0.0059,0.0000,0.4257,3.5105,3.1907,0.9514,0.9361,1.3192,1.9306,0.0000,1.3520,0.1484,3.7247,0.0501,0.0000,0.6180,0.0000,5.8346,1.7169,0.0000,0.8217,0.0000,0.0000,5.0683,0.0072,1.0000,0.0023,0.1384,0.0000,0.0000,2.652E-3,5.0000,0.0199,0.0460,0.0000,0.3333,6.146E-3,10.0000,0.0576,0.0232,0.0000,0.6667,6.81E-2,36.2136,0.4598,0.0036,0.0000,1.0000,1E0,38.9405,0.5473,0.0033,0.0714,1.0000,1E0,36.2136,0.4598,0.0036,0.0000,1.0000,1E0,36.2136,0.4598,0.0036,0.0000,1.0000,1E0,2.1749,0.0057,0.0878,0.0000,0.0000,6.758E-4,2.1749,0.0057,0.0878,0.0000,0.0000,6.758E-4,2.3315,0.0063,0.0837,0.0000,0.3333,1.983E-2,14.0395,0.1063,0.0158,0.0000,0.6667,4.653E-2
Oxalis_stricta,28,4.1798,5.0059,500,0.9977,3,-0.6125,0.8714,0.0917,10028,5.2667,0.8502,3.7586,3.5017,6.1405,40.6857,9.6967,1.2048,0.0000,0.0139,0.3244,0.6816,6.0017,1.0942,3.9230,1.1126,1.5237,0.0000,0.2935,1.3289,0.0000,0.0732,0.5971,0.5830,0.0000,9.5923,1.1200,0.0000,0.6083,0.0056,0.0179,5.0419,0.0070,1.0000,0.0027,0.1255,0.0000,0.3333,4.333E-2,5.0000,0.0199,0.0454,0.0000,0.3333,5.989E-3,10.0000,0.0558,0.0235,0.0000,0.3333,1.635E-3,13.5905,0.0867,0.0163,0.0000,0.6667,4.798E-2,35.9816,0.4801,0.0036,0.0714,1.0000,1E0,13.5905,0.0867,0.0163,0.0000,0.6667,4.798E-2,13.5905,0.0867,0.0163,0.0000,0.6667,4.798E-2,0.0364,0.0001,0.3334,0.0000,0.3333,2.593E-1,11.6648,0.0691,0.0196,0.0000,0.3333,1.143E-3,2.1127,0.0061,0.0840,0.0000,0.3333,1.997E-2,14.1687,0.0931,0.0154,0.0357,0.6667,4.537E-2
Oxalis_stricta,28,3.9818,4.9521,500,0.9978,3,4.7522,0.9925,0.0061,10028,3.4452,2.6574,1.4111,0.1431,7.6314,42.3588,12.6076,1.4459,0.0007,1.2716,0.9134,2.2596,3.5048,0.8583,2.3077,2.2561,1.6608,0.0088,0.9252,4.4610,0.0011,0.1308,0.0000,0.4931,0.0000,6.0531,0.3336,0.0000,0.8518,0.0081,0.0000,5.2403,0.0086,1.0000,0.0026,0.1502,0.0000,0.0000,3.387E-3,5.0000,0.0202,0.0523,0.0000,0.0000,1.427E-4,10.0000,0.0619,0.0268,0.0000,0.0000,1.93E-5,14.0166,0.1015,0.0182,0.0000,0.3333,9.869E-4,45.6079,0.6220,0.0031,0.0714,0.3333,2.861E-5,14.0166,0.1015,0.0182,0.0357,0.3333,9.869E-4,14.0166,0.1015,0.0182,0.0000,0.3333,9.869E-4,11.8247,0.0793,0.0223,0.0000,0.0000,1.115E-5,11.8247,0.0793,0.0223,0.0000,0.0000,1.115E-5,2.3929,0.0075,0.0915,0.0000,0.0000,7.672E-4,13.7185,0.1004,0.0187,0.0000,0.3333,1.041E-3
Oxalis_stricta,28,4.0382,4.9397,500,0.9976,3,2.2164,0.9723,0.0179,10028,4.1740,4.2646,1.8806,1.9369,9.3595,45.6520,8.4757,1.1122,0.0012,0.0221,0.5723,1.6289,2.5609,0.9429,1.3319,1.5106,0.0000,0.0231,0.7463,0.1255,3.9689,0.1119,0.0755,1.3304,0.0000,6.0929,1.5834,0.0000,0.5035,0.0123,0.0000,5.1730,0.0080,1.0000,0.0026,0.1448,0.0000,0.0000,3.036E-3,5.0000,0.0194,0.0519,0.0000,0.3333,7.788E-3,10.0000,0.0572,0.0261,0.0000,0.3333,2.012E-3,10.6475,0.0633,0.0243,0.0000,0.3333,1.747E-3,42.6312,0.5467,0.0031,0.0714,1.0000,1E0,10.6859,0.0635,0.0243,0.0357,0.3333,1.747E-3,10.6475,0.0633,0.0243,0.0000,0.3333,1.747E-3,3.3439,0.0109,0.0714,0.0000,0.0000,3.64E-4,3.3439,0.0109,0.0714,0.0000,0.0000,3.64E-4,2.3021,0.0070,0.0919,0.0000,0.0000,7.772E-4,14.0545,0.1019,0.0176,0.0357,0.3333,9.133E-4
Oxalis_stricta,28,3.9743,4.9359,500,0.9978,3,4.5140,0.9961,0.0021,10028,4.8599,3.2103,0.6826,3.6956,6.7839,47.5529,5.6446,1.3158,0.0000,0.0000,0.6105,1.9197,2.7562,0.9470,1.4487,2.4333,1.4929,0.0157,0.2055,4.9356,0.0000,0.2205,0.0000,0.6090,0.0000,7.8631,0.0070,0.0000,0.7058,0.0744,0.0096,5.2520,0.0087,1.0000,0.0025,0.1590,0.0000,0.0000,4.016E-3,5.0000,0.0191,0.0560,0.0000,0.0000,1.76E-4,10.0000,0.0596,0.0282,0.0000,0.0000,2.248E-5,13.9459,0.1029,0.0190,0.0000,0.0000,6.91E-6,40.6409,0.5196,0.0037,0.0357,0.3333,4.074E-5,14.0061,0.1030,0.0190,0.0357,0.0000,6.91E-6,13.9459,0.1029,0.0190,0.0000,0.0000,6.91E-6,24.4944,0.2514,0.0089,0.0357,0.0000,6.991E-7,24.4944,0.2514,0.0089,0.0357,0.0000,6.991E-7,2.5211,0.0075,0.0943,0.0000,0.0000,8.395E-4,14.0666,0.1036,0.0189,0.0357,0.0000,6.802E-6
