Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Panicum_species,172,2.7226,3.0847,500,0.9817,20,1.9098,0.9393,0.0210,10171,2.1808,1.1235,0.6301,2.2600,2.9539,2.7903,2.5328,18.8611,0.4496,0.2281,0.0000,0.3041,19.8745,0.3272,0.6827,0.2317,0.0766,0.0000,0.2229,0.5546,37.9116,0.2833,0.5163,0.0904,0.1984,3.1708,0.0584,0.3855,1.0487,0.0418,0.0103,6.5620,0.0317,1.0000,0.0054,0.4168,0.0000,0.0000,2.5E-8,5.0000,0.0266,0.2046,0.0058,0.1500,1.156E-9,10.0000,0.0584,0.1212,0.0233,0.1500,2.088E-13,2.6423,0.0134,0.2885,0.0000,0.0500,8.013E-10,24.2937,0.1951,0.0350,0.0988,0.2500,1.902E-18,17.2154,0.1118,0.0639,0.0640,0.2000,2.927E-16,20.0321,0.1403,0.0501,0.0698,0.2000,6.377E-18,7.7985,0.0439,0.1500,0.0174,0.1500,7.131E-12,14.0577,0.0849,0.0843,0.0407,0.1500,4.835E-16,5.0892,0.0271,0.2024,0.0058,0.1500,9.72E-10,16.2522,0.1027,0.0695,0.0640,0.2000,1.098E-15
Panicum_species,172,2.7350,3.0504,500,0.9808,20,1.8359,0.9298,0.0457,10171,1.9678,2.6829,0.1639,0.4990,1.4854,4.7438,0.7301,23.6627,0.5740,7.6911,0.0730,0.2056,11.8147,2.5020,0.1030,0.2492,0.0648,0.0000,0.1038,1.3184,34.5525,1.8420,0.5105,0.0106,0.0910,1.2063,0.2324,0.2181,0.5222,0.1381,0.0413,6.5476,0.0313,1.0000,0.0050,0.4095,0.0000,0.0500,5.246E-7,5.0000,0.0277,0.1942,0.0058,0.0500,4.879E-13,10.0000,0.0611,0.1166,0.0349,0.0500,3.294E-17,4.1658,0.0222,0.2166,0.0000,0.0500,3.787E-12,21.8663,0.1661,0.0427,0.0988,0.2000,4.967E-19,16.8235,0.1132,0.0642,0.0640,0.0500,4.141E-22,16.6968,0.1113,0.0649,0.0581,0.0500,5.068E-22,17.0884,0.1157,0.0627,0.0698,0.0500,2.667E-22,17.0884,0.1157,0.0627,0.0698,0.0500,2.667E-22,4.1658,0.0222,0.2166,0.0000,0.0500,3.787E-12,16.0511,0.1048,0.0685,0.0581,0.0500,1.423E-21
Panicum_species,173,2.7443,3.0866,500,0.9829,19,2.2396,0.9478,0.0170,10172,1.7102,1.6529,1.5275,0.3014,1.9242,4.8227,0.9882,21.2513,0.0087,7.9877,0.0085,0.3469,11.2064,2.5119,0.1276,0.2732,0.0649,0.0000,0.1192,0.7156,37.6530,0.6241,0.6880,0.2772,0.0661,1.3332,0.1576,0.5678,0.8797,0.1319,0.0721,6.5388,0.0311,1.0000,0.0049,0.3964,0.0000,0.0000,2.313E-8,5.0000,0.0285,0.1810,0.0000,0.1053,2.82E-11,10.0000,0.0647,0.1076,0.0289,0.2105,7.552E-12,5.3482,0.0311,0.1732,0.0000,0.1579,3.734E-10,24.1777,0.2112,0.0335,0.0983,0.3158,1.516E-15,17.6483,0.1320,0.0556,0.0578,0.2632,2.429E-14,17.6483,0.1320,0.0556,0.0520,0.2632,2.429E-14,6.1383,0.0370,0.1579,0.0173,0.1579,8.919E-11,3.6775,0.0192,0.2186,0.0000,0.0000,2.85E-13,4.7820,0.0264,0.1863,0.0000,0.1053,4.554E-11,15.2333,0.1064,0.0679,0.0520,0.2105,9.02E-15
Panicum_species,173,2.6708,3.0419,500,0.9811,19,3.2597,0.9822,0.0068,10172,1.6491,2.4338,0.4252,0.3665,1.3529,5.2506,0.5308,18.7509,0.0052,8.9756,0.0000,0.5483,16.4964,1.0217,0.2108,0.2764,0.0814,0.0046,0.1694,1.3018,34.0272,1.8426,0.6036,0.5117,0.1967,1.0822,0.0765,0.4036,1.3288,0.0326,0.0431,6.6318,0.0342,1.0000,0.0054,0.4293,0.0000,0.0000,1.054E-7,5.0000,0.0279,0.2069,0.0116,0.0000,1.002E-13,10.0000,0.0618,0.1229,0.0231,0.0000,5.018E-18,4.2149,0.0231,0.2295,0.0000,0.0000,7.132E-13,24.9141,0.2132,0.0366,0.0983,0.1579,8.931E-21,17.8104,0.1284,0.0636,0.0636,0.1053,6.897E-19,20.7117,0.1578,0.0505,0.0694,0.1053,1.416E-20,16.5225,0.1148,0.0705,0.0578,0.0526,3.272E-20,10.2515,0.0638,0.1201,0.0231,0.0000,3.263E-18,4.2149,0.0231,0.2295,0.0000,0.0000,7.132E-13,15.8481,0.1100,0.0745,0.0578,0.0526,8.865E-20
Panicum_species,173,2.6936,3.0493,500,0.9820,19,2.9828,0.9448,0.0441,10172,1.4967,0.6158,0.2605,0.7922,2.0765,4.9147,0.5217,16.1353,0.0164,7.5659,0.0000,0.2263,21.2789,0.4209,0.1731,0.2886,0.0452,0.0000,0.1230,0.6586,37.2065,1.2669,0.4835,0.4782,0.1208,0.9802,0.3617,0.4717,0.9856,0.0231,0.0114,6.5859,0.0328,1.0000,0.0060,0.3770,0.0000,0.0526,2.893E-7,5.0000,0.0310,0.1852,0.0058,0.0526,1.031E-12,10.0000,0.0666,0.1127,0.0289,0.0526,1.451E-16,2.9577,0.0175,0.2456,0.0000,0.0526,1.538E-10,23.6248,0.2028,0.0390,0.0983,0.1053,1.794E-22,17.0579,0.1249,0.0636,0.0636,0.0526,5.185E-21,20.5334,0.1658,0.0489,0.0694,0.1053,8.019E-21,17.9466,0.1352,0.0594,0.0636,0.0526,1.51E-21,17.9466,0.1352,0.0594,0.0636,0.0526,1.51E-21,2.9577,0.0175,0.2456,0.0000,0.0526,1.538E-10,15.6244,0.1142,0.0712,0.0578,0.0526,3.894E-20
Panicum_species,173,2.7326,3.0845,500,0.9825,19,2.4056,0.9242,0.0385,10172,1.6610,1.0333,0.0449,2.1015,1.5713,4.7759,0.4704,16.5569,0.0372,6.6057,0.0000,0.1139,18.8599,0.3584,0.0524,0.3580,0.0690,0.0000,0.1340,0.3987,38.0908,1.5750,0.8728,0.1173,0.0626,2.0238,0.1028,0.3590,1.4098,0.1839,0.0000,6.5469,0.0315,1.0000,0.0053,0.3825,0.0000,0.1053,5.613E-6,5.0000,0.0295,0.1805,0.0058,0.1053,2.696E-11,10.0000,0.0652,0.1083,0.0231,0.1579,2.527E-13,4.7184,0.0274,0.1871,0.0000,0.1053,4.884E-11,22.7706,0.1877,0.0393,0.0983,0.2105,2.773E-18,16.4743,0.1222,0.0636,0.0636,0.2105,3.42E-15,9.8643,0.0645,0.1097,0.0173,0.1579,3.08E-13,8.0789,0.0517,0.1295,0.0058,0.1053,1.064E-13,31.5366,0.3168,0.0206,0.1908,0.2105,1.891E-22,4.7184,0.0274,0.1871,0.0000,0.1053,4.884E-11,15.5230,0.1136,0.0685,0.0636,0.2105,1.024E-14
Panicum_species,173,2.6990,3.0642,500,0.9811,19,2.4177,0.9688,0.0089,10172,2.4420,0.8513,0.6393,0.2257,1.3091,6.8119,0.7350,16.8987,0.4603,6.2195,0.0000,0.5393,19.9254,1.0784,0.4997,0.3574,0.0286,0.0000,0.1112,0.8846,34.4866,1.5594,0.5761,0.1535,0.1068,1.2905,0.1632,0.4094,1.1476,0.0896,0.0000,6.5781,0.0324,1.0000,0.0049,0.4263,0.0000,0.0000,9.204E-8,5.0000,0.0267,0.1996,0.0116,0.0000,5.032E-14,10.0000,0.0599,0.1168,0.0347,0.0526,2.762E-16,4.1512,0.0215,0.2241,0.0000,0.0000,4.571E-13,22.9283,0.1867,0.0399,0.0983,0.3158,1.411E-14,16.9574,0.1192,0.0636,0.0636,0.1053,6.897E-19,20.1968,0.1567,0.0493,0.0636,0.1579,1.008E-18,13.3047,0.0856,0.0864,0.0405,0.1053,1.205E-16,13.3003,0.0855,0.0864,0.0405,0.0526,1.259E-18,4.1512,0.0215,0.2241,0.0000,0.0000,4.571E-13,15.6870,0.1074,0.0707,0.0520,0.1053,4.088E-18
Panicum_species,173,2.6774,3.0362,500,0.9812,19,3.0302,0.9708,0.0133,10172,6.0446,1.2161,0.4959,0.8765,1.5676,5.8186,0.4695,22.4228,1.9963,0.6266,0.0000,0.5169,12.9832,2.9442,0.1686,0.2747,0.3693,0.0000,0.1030,1.1546,34.4341,1.2904,0.7113,0.1453,0.1351,1.4503,0.1016,0.4106,1.2416,0.0306,0.0000,6.6014,0.0331,1.0000,0.0053,0.4203,0.0000,0.0000,7.032E-8,5.0000,0.0285,0.2001,0.0058,0.0526,4.058E-12,10.0000,0.0611,0.1192,0.0231,0.1053,2.685E-14,4.3378,0.0238,0.2180,0.0000,0.0526,1.872E-11,23.6135,0.2010,0.0384,0.0983,0.1579,1.971E-20,16.9352,0.1185,0.0653,0.0636,0.1053,1.068E-18,20.1427,0.1524,0.0503,0.0694,0.1053,1.325E-20,11.3544,0.0698,0.1053,0.0405,0.1053,3.331E-15,23.0340,0.1906,0.0401,0.0925,0.1053,2.85E-22,4.3378,0.0238,0.2180,0.0000,0.0526,1.872E-11,15.6855,0.1071,0.0724,0.0578,0.1053,6.061E-18
Panicum_species,173,2.7123,3.0738,500,0.9814,19,2.5983,0.9655,0.0119,10173,1.5483,0.9527,0.4736,0.6832,1.7097,6.0002,2.3423,21.7621,1.3840,6.9479,0.0060,0.2015,13.4422,0.3763,0.1260,0.2551,0.3439,0.0595,0.1233,1.0237,33.7286,1.7295,0.7912,0.5726,0.0000,1.5232,0.1631,0.2671,1.2034,0.2142,0.0455,6.5729,0.0321,1.0000,0.0053,0.4113,0.0000,0.0000,4.663E-8,5.0000,0.0273,0.1952,0.0058,0.0000,3.312E-14,10.0000,0.0618,0.1151,0.0347,0.1053,1.486E-14,3.5806,0.0185,0.2381,0.0000,0.0000,1.438E-12,24.4748,0.2093,0.0340,0.0983,0.3158,1.824E-15,16.6761,0.1187,0.0643,0.0636,0.1579,6.84E-17,16.4351,0.1162,0.0656,0.0578,0.1579,9.337E-17,10.9766,0.0683,0.1053,0.0347,0.1053,3.325E-15,16.1331,0.1118,0.0671,0.0578,0.1053,1.716E-18,3.5806,0.0185,0.2381,0.0000,0.0000,1.438E-12,15.6012,0.1053,0.0703,0.0578,0.1053,3.715E-18
Panicum_species,173,2.7488,3.0960,500,0.9815,19,1.8153,0.9295,0.0316,10172,5.9786,2.4140,0.3239,0.3155,1.4830,4.8774,2.0558,24.5050,2.2028,1.0923,0.0000,0.4305,11.0075,0.6708,0.1830,0.1742,0.3668,0.0000,0.1580,1.3209,35.5648,1.6459,0.6149,0.0160,0.2119,1.1213,0.1146,0.4148,0.6727,0.0632,0.0000,6.5378,0.0310,1.0000,0.0053,0.3947,0.0000,0.0526,6.433E-7,5.0000,0.0273,0.1868,0.0116,0.0526,1.198E-12,10.0000,0.0618,0.1090,0.0289,0.1579,2.791E-13,2.7309,0.0140,0.2630,0.0000,0.0526,5.162E-10,24.1737,0.2085,0.0336,0.0983,0.4211,3.652E-12,16.1675,0.1134,0.0636,0.0636,0.3158,5.254E-12,20.0714,0.1543,0.0463,0.0636,0.4211,1.121E-10,9.5867,0.0590,0.1134,0.0289,0.1053,1.165E-14,8.7011,0.0520,0.1236,0.0289,0.0526,7.575E-16,2.7309,0.0140,0.2630,0.0000,0.0526,5.162E-10,15.3965,0.1070,0.0678,0.0578,0.2632,3.662E-13
