Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Panopoda_rufimargo,66,2.4810,3.3093,500,0.9694,6,1.7870,0.9096,0.0410,10066,10.5443,4.4382,2.8922,1.5704,8.1268,7.8743,2.2595,1.1461,1.4035,5.9431,0.0879,4.8832,19.7907,2.1787,7.6352,1.0261,1.1679,0.0000,0.5816,0.5436,1.3204,1.9395,1.2573,0.2378,0.7826,5.4015,1.2020,0.0000,3.5635,0.2023,0.0000,6.7941,0.0417,1.0000,0.0058,0.5933,0.0152,0.0000,4.361E-2,5.0000,0.0229,0.3060,0.0152,0.0000,8.207E-4,10.0000,0.0496,0.1796,0.0303,0.1667,9.538E-4,0.1979,0.0020,0.7866,0.0000,0.0000,2.369E-1,19.5053,0.1243,0.0815,0.0909,0.5000,8.956E-3,18.1151,0.1093,0.0909,0.0909,0.5000,1.217E-2,26.9799,0.2059,0.0468,0.1061,0.5000,1.841E-3,10.8052,0.0554,0.1667,0.0303,0.1667,6.651E-4,5.9000,0.0274,0.2751,0.0303,0.0000,4.333E-4,5.7945,0.0269,0.2785,0.0152,0.0000,4.662E-4,18.4364,0.1126,0.0886,0.0909,0.5000,1.133E-2
Panopoda_rufimargo,65,2.5472,3.3756,500,0.9750,7,1.4490,0.8984,0.0496,10065,4.3254,6.1793,3.7456,2.4070,6.2857,7.0502,2.1089,1.0228,1.1137,5.7038,0.0941,6.4064,20.9727,3.1977,14.7773,0.6968,0.9582,0.0000,1.0263,0.6920,0.6285,2.3293,0.5564,0.2775,0.5963,2.0856,0.9958,0.0000,3.7008,0.0275,0.0386,6.7573,0.0401,1.0000,0.0054,0.5953,0.0154,0.0000,2.65E-2,5.0000,0.0217,0.3056,0.0154,0.1429,4.209E-3,10.0000,0.0480,0.1779,0.0308,0.2857,2.72E-3,0.2441,0.0021,0.7742,0.0000,0.0000,1.667E-1,28.1441,0.2197,0.0413,0.0923,0.2857,2.362E-6,24.4852,0.1737,0.0540,0.0615,0.2857,8.834E-6,24.4607,0.1737,0.0540,0.0462,0.2857,8.834E-6,5.6266,0.0248,0.2830,0.0154,0.2857,2.231E-2,28.1441,0.2197,0.0413,0.0923,0.2857,2.362E-6,7.4177,0.0330,0.2312,0.0154,0.2857,9.056E-3,18.5557,0.1121,0.0854,0.0462,0.2857,8.252E-5
Panopoda_rufimargo,64,2.4416,3.2999,500,0.9740,8,3.1841,0.9572,0.0345,10064,7.8154,5.4063,1.3017,0.5428,7.3662,9.4386,1.9551,0.1050,0.6654,8.7327,0.1151,6.9084,20.4253,2.8129,12.5660,0.4645,0.8299,0.0000,0.9441,0.7495,1.0558,2.4903,0.1774,0.2774,0.6480,2.5267,0.9219,0.0000,2.5220,0.2072,0.0283,6.8670,0.0453,1.0000,0.0061,0.6109,0.0156,0.0000,1.94E-2,5.0000,0.0245,0.3212,0.0156,0.0000,1.134E-4,10.0000,0.0510,0.1923,0.0312,0.1250,6.463E-5,0.2557,0.0026,0.7795,0.0000,0.0000,1.363E-1,34.2963,0.3032,0.0314,0.0938,0.1250,2.341E-10,25.3585,0.1886,0.0586,0.0625,0.1250,1.806E-8,29.8153,0.2418,0.0428,0.0625,0.1250,2.034E-9,15.1046,0.0889,0.1250,0.0469,0.1250,3.397E-6,39.0540,0.3752,0.0224,0.1250,0.1250,2.19E-11,7.2836,0.0359,0.2498,0.0156,0.1250,3.794E-4,18.6231,0.1153,0.0954,0.0469,0.1250,5.269E-7
Panopoda_rufimargo,64,2.4434,3.2984,500,0.9714,8,2.4509,0.9544,0.0332,10064,5.9755,5.3964,5.8619,1.2897,4.4361,9.3371,1.3452,0.4187,2.1244,7.4107,0.0067,5.1622,18.3723,3.4812,15.8962,1.5779,1.0512,0.0469,0.4902,0.3201,0.7203,2.0185,1.1695,0.1951,0.6976,1.2784,1.3290,0.0000,2.1565,0.3000,0.1345,6.8600,0.0450,1.0000,0.0063,0.6180,0.0156,0.0000,2.129E-2,5.0000,0.0237,0.3323,0.0156,0.0000,1.486E-4,10.0000,0.0501,0.2004,0.0312,0.1250,8.568E-5,0.2855,0.0027,0.7717,0.0000,0.0000,1.257E-1,33.4362,0.2754,0.0337,0.0938,0.1250,3.82E-10,23.2188,0.1537,0.0716,0.0781,0.1250,7.263E-8,33.4362,0.2754,0.0337,0.0938,0.1250,3.82E-10,15.7052,0.0897,0.1250,0.0469,0.1250,3.397E-6,36.4961,0.3241,0.0269,0.1250,0.1250,8.019E-11,6.5737,0.0312,0.2792,0.0156,0.1250,7.998E-4,19.4006,0.1200,0.0947,0.0625,0.1250,5.009E-7
Panopoda_rufimargo,65,2.4831,3.3459,500,0.9711,7,0.5097,0.8723,0.0606,10065,6.2526,6.9197,4.4548,0.7801,3.4394,10.7484,1.8575,1.4884,1.2965,6.5800,0.0365,5.2057,23.6857,2.2887,11.1728,0.7729,0.4933,0.0000,0.8914,0.4361,0.3583,2.3988,2.4843,0.2320,0.3959,1.2675,1.0791,0.0498,2.4880,0.3155,0.1302,6.8162,0.0429,1.0000,0.0058,0.6177,0.0154,0.0000,3.431E-2,5.0000,0.0225,0.3279,0.0154,0.1429,6.252E-3,10.0000,0.0485,0.1949,0.0308,0.1429,3.199E-4,0.2316,0.0023,0.7937,0.0000,0.0000,1.985E-1,25.8463,0.1797,0.0556,0.0923,0.4286,2.927E-4,24.1491,0.1624,0.0631,0.0615,0.4286,4.749E-4,24.1491,0.1624,0.0631,0.0615,0.4286,4.749E-4,13.6105,0.0720,0.1429,0.0308,0.1429,5.224E-5,13.6435,0.0723,0.1425,0.0308,0.1429,5.14E-5,5.5153,0.0245,0.3084,0.0154,0.1429,4.43E-3,19.3505,0.1154,0.0906,0.0615,0.4286,1.884E-3
Panopoda_rufimargo,65,2.4232,3.2366,500,0.9706,7,2.4135,0.9745,0.0092,10065,9.1293,8.9664,3.7133,0.3200,6.2404,9.0211,1.5069,0.4799,3.1811,2.6420,0.0657,4.4901,24.9043,1.3556,9.2786,0.6086,0.8924,0.0000,2.6790,0.5187,0.8979,1.8776,0.1751,0.3190,0.6980,1.0935,1.0715,0.0000,3.6012,0.2729,0.0000,6.8565,0.0448,1.0000,0.0062,0.6210,0.0154,0.0000,3.56E-2,5.0000,0.0233,0.3317,0.0154,0.0000,4.422E-4,10.0000,0.0483,0.1986,0.0154,0.0000,1.219E-5,0.1710,0.0020,0.8217,0.0000,0.0000,2.528E-1,27.5398,0.2069,0.0506,0.0923,0.2857,6.373E-6,21.8182,0.1414,0.0769,0.0769,0.0000,1.59E-8,24.8536,0.1724,0.0615,0.0769,0.0000,3.328E-9,24.8536,0.1724,0.0615,0.0769,0.0000,3.328E-9,24.8536,0.1724,0.0615,0.0769,0.0000,3.328E-9,7.6508,0.0364,0.2491,0.0154,0.0000,5.948E-5,19.0714,0.1161,0.0944,0.0615,0.0000,6.674E-8
Panopoda_rufimargo,64,2.5865,3.4361,500,0.9764,8,1.3853,0.8371,0.0876,10064,6.8944,4.9570,2.8527,1.3779,6.3253,8.3864,2.7813,1.0077,1.9446,6.8446,0.0379,7.6582,20.1804,3.2129,12.0727,2.3038,2.1604,0.0000,2.0727,0.4448,0.4424,0.5001,0.7074,0.2153,0.9213,0.5822,0.4693,0.0000,2.4308,0.0726,0.1432,6.6987,0.0378,1.0000,0.0052,0.5565,0.0156,0.1250,6.787E-2,5.0000,0.0218,0.2796,0.0156,0.2500,7.751E-3,10.0000,0.0494,0.1625,0.0156,0.2500,3.816E-4,0.5195,0.0032,0.6505,0.0000,0.1250,1.699E-1,20.6355,0.1355,0.0671,0.0938,0.5000,1.137E-3,18.7500,0.1191,0.0777,0.0781,0.5000,1.976E-3,33.0752,0.2919,0.0271,0.1094,0.5000,3.472E-5,5.9105,0.0265,0.2500,0.0156,0.2500,4.227E-3,10.4248,0.0523,0.1562,0.0156,0.2500,3.052E-4,6.8340,0.0312,0.2249,0.0156,0.2500,2.361E-3,18.2752,0.1144,0.0806,0.0625,0.3750,1.545E-4
Panopoda_rufimargo,66,2.4738,3.2784,500,0.9725,6,1.0481,0.8260,0.1477,10066,9.1325,3.8909,3.1541,0.8623,5.6616,8.8002,1.7046,0.2216,1.0247,7.9690,0.0282,5.5815,24.8466,1.5019,10.1555,0.7787,0.8279,0.0415,1.1891,0.4642,0.7007,2.5471,1.2888,0.2544,0.8139,2.7098,1.0117,0.0000,2.6465,0.1908,0.0000,6.8112,0.0428,1.0000,0.0061,0.5812,0.0152,0.1667,2.051E-1,5.0000,0.0240,0.3040,0.0152,0.1667,1.163E-2,10.0000,0.0521,0.1818,0.0152,0.1667,1.011E-3,0.0984,0.0013,0.8225,0.0000,0.1667,7.104E-1,26.2255,0.1957,0.0520,0.0909,0.1667,2.173E-6,21.0486,0.1392,0.0758,0.0758,0.1667,1.407E-5,25.5987,0.1873,0.0542,0.0758,0.1667,2.69E-6,10.9752,0.0582,0.1667,0.0303,0.1667,6.651E-4,36.2875,0.3356,0.0258,0.1667,0.1667,6.75E-8,7.0770,0.0348,0.2408,0.0152,0.1667,3.884E-3,18.7193,0.1185,0.0901,0.0606,0.1667,3.296E-5
Panopoda_rufimargo,64,2.4360,3.2747,500,0.9699,8,3.1190,0.9767,0.0121,10064,6.4959,3.2033,3.8487,2.9494,6.9319,7.4339,1.6473,0.1076,5.6124,6.1566,0.1778,6.0599,21.2797,2.7293,11.5412,0.9480,1.1808,0.0000,0.5959,0.6153,0.8002,2.0253,0.7576,0.2254,0.5552,1.5173,0.8532,0.0000,3.5620,0.1889,0.0000,6.8551,0.0447,1.0000,0.0064,0.5974,0.0156,0.0000,1.622E-2,5.0000,0.0248,0.3175,0.0156,0.0000,1.032E-4,10.0000,0.0527,0.1912,0.0469,0.0000,1.784E-6,0.1919,0.0021,0.7870,0.0000,0.0000,1.471E-1,30.1802,0.2467,0.0403,0.0938,0.2500,1.125E-7,19.1960,0.1195,0.0907,0.0938,0.1250,3.725E-7,30.1802,0.2467,0.0403,0.0938,0.2500,1.125E-7,19.1960,0.1195,0.0907,0.0938,0.1250,3.725E-7,19.1817,0.1193,0.0908,0.0781,0.0000,4.628E-9,7.3300,0.0363,0.2466,0.0156,0.0000,1.369E-5,18.7047,0.1160,0.0942,0.0625,0.0000,6.199E-9
Panopoda_rufimargo,65,2.6304,3.4968,500,0.9833,7,0.4405,0.7810,0.1102,10065,5.4028,6.1575,4.5275,3.1418,7.7861,8.1448,1.8943,0.0000,1.0348,7.9045,0.0251,5.2588,21.0559,2.2467,11.7432,0.2997,0.6748,0.0000,0.9723,0.6485,0.5010,2.0196,0.1826,0.1381,0.5750,2.5932,0.6767,0.0095,4.2153,0.1697,0.0000,6.6563,0.0359,1.0000,0.0048,0.5886,0.0000,0.1429,1.442E-1,5.0000,0.0199,0.2917,0.0000,0.2857,2.549E-2,10.0000,0.0445,0.1658,0.0308,0.2857,1.957E-3,8.3056,0.0349,0.1976,0.0000,0.2857,4.421E-3,27.5437,0.2083,0.0373,0.0923,0.5714,1.617E-3,19.1839,0.1149,0.0726,0.0769,0.5714,1.073E-2,25.0838,0.1799,0.0452,0.0769,0.5714,2.818E-3,5.1590,0.0205,0.2857,0.0000,0.2857,2.329E-2,10.3511,0.0469,0.1602,0.0308,0.2857,1.663E-3,7.2809,0.0300,0.2212,0.0000,0.2857,7.404E-3,18.4395,0.1079,0.0772,0.0615,0.4286,1.027E-3
