Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Paralobesia_liriodendrana,31,4.6127,5.3502,500,0.9983,3,5.5966,0.9986,0.0005,10031,26.2476,5.8047,0.0018,6.3212,9.0191,3.5969,0.4308,6.6930,0.0000,3.6257,3.3790,7.1171,21.4935,0.0000,0.0000,0.7077,0.0038,0.0000,0.0476,0.0000,0.0000,0.2275,0.0000,0.6347,0.0000,0.0103,1.3233,0.2222,2.5608,0.4611,0.0706,4.5984,0.0042,1.0000,0.0006,0.2228,0.0000,0.0000,1.106E-2,5.0000,0.0101,0.0345,0.0000,0.0000,4.104E-5,10.0000,0.0448,0.0116,0.0000,0.0000,1.546E-6,14.2908,0.1205,0.0064,0.0000,0.0000,2.597E-7,25.3987,0.5116,0.0030,0.0645,0.0000,2.675E-8,14.2908,0.1205,0.0064,0.0000,0.0000,2.597E-7,14.2908,0.1205,0.0064,0.0000,0.0000,2.597E-7,40.4703,0.7057,0.0021,0.2581,0.0000,9.175E-9,40.4703,0.7057,0.0021,0.2581,0.0000,9.175E-9,3.3044,0.0039,0.0619,0.0000,0.0000,2.373E-4,11.0139,0.0624,0.0099,0.0000,0.0000,9.613E-7
Paralobesia_liriodendrana,30,4.6139,5.3732,500,0.9984,4,5.6451,0.9989,0.0004,10030,22.8853,9.1743,0.2784,2.9452,8.7134,4.5136,0.3389,3.2936,0.0000,3.5334,3.5498,6.5915,25.3352,0.0000,0.0000,0.5774,0.0045,0.0000,0.4555,0.0000,0.0000,0.8561,0.0000,0.7968,0.0000,0.0058,1.5711,0.0353,4.4563,0.0665,0.0220,4.6081,0.0042,1.0000,0.0005,0.2399,0.0000,0.0000,3.311E-3,5.0000,0.0096,0.0363,0.0000,0.0000,1.735E-6,10.0000,0.0417,0.0124,0.0000,0.0000,2.336E-8,15.3540,0.1355,0.0060,0.0000,0.0000,1.281E-9,27.2352,0.5214,0.0027,0.0667,0.0000,5.251E-11,15.3540,0.1355,0.0060,0.0000,0.0000,1.281E-9,15.3540,0.1355,0.0060,0.0000,0.0000,1.281E-9,41.6856,0.7158,0.0020,0.2667,0.0000,1.581E-11,41.6856,0.7158,0.0020,0.2667,0.0000,1.581E-11,3.4132,0.0040,0.0629,0.0000,0.0000,1.566E-5,11.3152,0.0615,0.0100,0.0000,0.0000,9.881E-9
Paralobesia_liriodendrana,30,4.6494,5.3810,500,0.9984,4,5.4196,0.9981,0.0004,10030,27.4165,2.9485,0.0001,0.1166,10.6924,3.4234,0.7049,4.2289,0.0000,4.1249,0.4388,3.3974,27.6097,0.0000,0.0000,0.8253,0.0028,0.0000,0.0758,0.0000,0.0000,0.0996,0.0000,0.6542,0.0051,0.0036,1.6926,0.0831,10.0390,1.3869,0.0298,4.5655,0.0041,1.0000,0.0005,0.2267,0.0000,0.0000,2.642E-3,5.0000,0.0099,0.0335,0.0000,0.0000,1.259E-6,10.0000,0.0475,0.0112,0.0000,0.0000,1.555E-8,13.9529,0.1207,0.0065,0.0000,0.0000,1.764E-9,25.4241,0.5345,0.0029,0.0667,0.0000,6.989E-11,13.9529,0.1207,0.0065,0.0000,0.0000,1.764E-9,13.9529,0.1207,0.0065,0.0000,0.0000,1.764E-9,27.9635,0.5637,0.0027,0.1333,0.0000,5.251E-11,27.9635,0.5637,0.0027,0.1333,0.0000,5.251E-11,3.3331,0.0038,0.0607,0.0000,0.0000,1.359E-5,10.9692,0.0605,0.0096,0.0000,0.0000,8.392E-9
Paralobesia_liriodendrana,31,4.6426,5.3738,500,0.9983,3,4.8598,0.9974,0.0005,10031,22.2244,6.1350,5.3340,0.0138,9.8459,6.2449,0.2929,1.2417,0.0000,2.7419,4.4992,3.8019,28.7601,0.0000,0.0000,0.7322,0.0030,0.0000,0.1635,0.0000,0.0000,0.2303,0.0000,0.6122,0.0110,0.0000,1.6022,0.1868,4.8062,0.4963,0.0205,4.5759,0.0041,1.0000,0.0005,0.2520,0.0000,0.0000,1.601E-2,5.0000,0.0081,0.0360,0.0000,0.0000,4.661E-5,10.0000,0.0427,0.0112,0.0000,0.0000,1.392E-6,14.2198,0.1247,0.0062,0.0000,0.0000,2.361E-7,25.2079,0.5192,0.0028,0.0645,0.3333,2.333E-5,14.2198,0.1247,0.0062,0.0000,0.0000,2.361E-7,14.2198,0.1247,0.0062,0.0000,0.0000,2.361E-7,22.5525,0.3634,0.0031,0.0645,0.0000,2.952E-8,22.5525,0.3634,0.0031,0.0645,0.0000,2.952E-8,3.5821,0.0038,0.0604,0.0000,0.0000,2.205E-4,10.8975,0.0577,0.0097,0.0000,0.0000,9.042E-7
Paralobesia_liriodendrana,31,4.6647,5.3393,500,0.9983,3,4.7346,0.9976,0.0012,10031,22.6530,5.1161,0.0005,2.5033,8.2409,3.8283,0.1953,3.9661,0.0000,7.3208,2.7848,4.6233,25.8691,0.0000,0.0000,0.3396,0.0000,0.0000,0.1264,0.0000,0.0000,0.4366,0.0000,0.5875,0.0000,0.0050,2.0804,0.0622,6.4958,2.7648,0.0000,4.5512,0.0040,1.0000,0.0005,0.2437,0.0000,0.0000,1.448E-2,5.0000,0.0091,0.0338,0.0000,0.0000,3.86E-5,10.0000,0.0457,0.0110,0.0000,0.0000,1.319E-6,13.4694,0.0965,0.0066,0.0000,0.0000,2.848E-7,25.0359,0.6256,0.0029,0.0968,0.3333,2.503E-5,13.4694,0.0965,0.0066,0.0000,0.0000,2.848E-7,13.4694,0.0965,0.0066,0.0000,0.0000,2.848E-7,15.3028,0.1467,0.0053,0.0323,0.0000,1.475E-7,15.3028,0.1467,0.0053,0.0323,0.0000,1.475E-7,3.4299,0.0038,0.0597,0.0000,0.0000,2.129E-4,11.0052,0.0594,0.0094,0.0000,0.0000,8.229E-7
Paralobesia_liriodendrana,30,4.7576,5.4684,500,0.9984,4,2.8849,0.8086,0.1651,10030,24.3249,6.3143,0.5873,0.5504,2.9238,6.7669,0.6118,2.6540,0.1072,3.6864,3.2627,6.7646,29.0696,0.0000,0.0000,1.2558,0.0727,0.0000,0.3708,0.0000,0.0000,0.4728,0.0000,0.6158,0.0000,0.0073,1.5867,0.1117,7.7162,0.0431,0.1233,4.4593,0.0036,1.0000,0.0005,0.2167,0.0000,0.2500,3.411E-2,5.0000,0.0110,0.0271,0.0000,0.2500,7.815E-5,10.0000,0.0561,0.0088,0.0000,0.2500,2.684E-6,12.8677,0.0966,0.0058,0.0000,0.2500,7.701E-7,26.8694,0.6088,0.0026,0.1000,0.2500,6.954E-8,12.8677,0.0966,0.0058,0.0000,0.2500,7.701E-7,12.8677,0.0966,0.0058,0.0000,0.2500,7.701E-7,0.8381,0.0004,0.2500,0.0000,0.2500,5.081E-2,75.2479,0.7122,0.0008,0.4000,0.2500,2.028E-9,3.1270,0.0034,0.0539,0.0000,0.2500,6.023E-4,10.1647,0.0565,0.0086,0.0000,0.2500,2.505E-6
Paralobesia_liriodendrana,32,4.6265,5.3344,500,0.9983,2,5.2331,0.9984,0.0008,10032,24.3956,4.5824,0.0003,2.9104,8.5809,6.5906,0.2504,1.2456,0.0000,6.0364,0.8997,2.0414,27.9102,0.0000,0.0000,1.3104,0.0005,0.0000,0.0898,0.0000,0.0000,0.0544,0.0000,0.5867,0.0984,0.0092,1.3008,0.0881,6.8677,4.1502,0.0000,4.5844,0.0041,1.0000,0.0005,0.2330,0.0000,0.0000,5.427E-2,5.0000,0.0102,0.0325,0.0000,0.0000,1.056E-3,10.0000,0.0493,0.0110,0.0000,0.0000,1.202E-4,14.0553,0.1196,0.0063,0.0000,0.0000,3.944E-5,25.3048,0.5057,0.0029,0.0625,0.0000,8.356E-6,14.0553,0.1196,0.0063,0.0000,0.0000,3.944E-5,14.0553,0.1196,0.0063,0.0000,0.0000,3.944E-5,27.7851,0.5485,0.0027,0.1250,0.0000,7.244E-6,27.7851,0.5485,0.0027,0.1250,0.0000,7.244E-6,3.3341,0.0039,0.0591,0.0000,0.0000,3.494E-3,10.8193,0.0611,0.0097,0.0000,0.0000,9.349E-5
Paralobesia_liriodendrana,30,4.7412,5.4841,500,0.9985,4,4.0370,0.9850,0.0121,10030,18.4066,8.1929,0.2211,3.4890,6.9429,5.0173,0.5462,6.2524,0.0000,2.9928,2.8353,6.7352,27.1753,0.0000,0.0000,1.5438,0.0000,0.0000,0.0409,0.0000,0.0000,0.7140,0.0000,0.5932,0.0269,0.0191,1.1890,0.0199,6.6304,0.3511,0.0646,4.4807,0.0037,1.0000,0.0005,0.2075,0.0000,0.0000,1.853E-3,5.0000,0.0095,0.0278,0.0000,0.2500,8.43E-5,10.0000,0.0559,0.0095,0.0000,0.2500,3.375E-6,16.9815,0.2245,0.0039,0.0000,0.2500,2.345E-7,26.8342,0.6205,0.0027,0.1000,0.2500,7.787E-8,16.9815,0.2245,0.0039,0.0000,0.2500,2.345E-7,16.9815,0.2245,0.0039,0.0000,0.2500,2.345E-7,3.1372,0.0034,0.0567,0.0000,0.0000,1.036E-5,3.1372,0.0034,0.0567,0.0000,0.0000,1.036E-5,3.1372,0.0034,0.0567,0.0000,0.0000,1.036E-5,10.5080,0.0594,0.0088,0.0000,0.2500,2.684E-6
Paralobesia_liriodendrana,30,4.6250,5.3793,500,0.9984,4,5.6211,0.9987,0.0004,10030,26.7648,3.1743,0.0751,6.4794,6.8234,3.3008,0.3790,5.1211,0.0000,2.8092,3.4293,6.1055,26.3516,0.0000,0.0000,0.8508,0.0005,0.0000,0.0635,0.0000,0.0000,0.8531,0.0000,0.7233,0.0004,0.0082,1.5382,0.0767,4.9471,0.0924,0.0323,4.5960,0.0042,1.0000,0.0006,0.2274,0.0000,0.0000,2.675E-3,5.0000,0.0097,0.0354,0.0000,0.0000,1.569E-6,10.0000,0.0428,0.0120,0.0000,0.0000,2.049E-8,14.8840,0.1353,0.0060,0.0000,0.0000,1.281E-9,26.0979,0.5356,0.0029,0.0667,0.0000,6.989E-11,14.8840,0.1353,0.0060,0.0000,0.0000,1.281E-9,14.8840,0.1353,0.0060,0.0000,0.0000,1.281E-9,39.1525,0.7044,0.0022,0.2667,0.0000,2.315E-11,39.1525,0.7044,0.0022,0.2667,0.0000,2.315E-11,3.2888,0.0039,0.0641,0.0000,0.0000,1.689E-5,11.1563,0.0644,0.0099,0.0000,0.0000,9.492E-9
Paralobesia_liriodendrana,31,4.6757,5.3538,500,0.9983,3,4.7345,0.9972,0.0009,10031,28.2974,3.0350,0.6695,0.3064,8.8724,4.2038,0.2042,4.5465,0.0000,8.6616,3.6357,6.4617,24.9562,0.0000,0.0000,0.8597,0.0000,0.0000,0.3756,0.0000,0.0000,0.2989,0.0000,0.6724,0.0000,0.0077,1.2496,0.0584,2.5544,0.0691,0.0037,4.5435,0.0039,1.0000,0.0005,0.2316,0.0000,0.0000,1.242E-2,5.0000,0.0100,0.0334,0.0000,0.0000,3.725E-5,10.0000,0.0480,0.0110,0.0000,0.0000,1.319E-6,14.4031,0.1124,0.0058,0.0000,0.0000,1.933E-7,24.7955,0.6183,0.0029,0.0968,0.3333,2.503E-5,14.4031,0.1124,0.0058,0.0000,0.0000,1.933E-7,14.4031,0.1124,0.0058,0.0000,0.0000,1.933E-7,16.1910,0.1704,0.0048,0.0323,0.0000,1.096E-7,16.1910,0.1704,0.0048,0.0323,0.0000,1.096E-7,3.3446,0.0037,0.0593,0.0000,0.0000,2.087E-4,11.0001,0.0600,0.0094,0.0000,0.0000,8.229E-7
