Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Parkesia_motacilla,199,2.4125,2.7718,500,0.9755,23,2.5567,0.9501,0.0183,10199,15.6914,2.6051,1.5126,0.0593,4.2294,4.7515,5.9139,0.1711,0.0056,5.0918,0.1120,1.5860,1.5655,1.0751,0.4346,1.5715,0.3403,0.1840,0.7392,31.4195,3.4704,0.2891,0.2522,0.8101,0.6201,11.5400,0.1374,3.0269,0.5167,0.2451,0.0326,6.8502,0.0438,1.0000,0.0079,0.3593,0.0050,0.0000,5.945E-11,5.0000,0.0460,0.1858,0.0151,0.1304,2.375E-12,10.0000,0.0954,0.1225,0.0302,0.1739,2.538E-14,0.9313,0.0073,0.3675,0.0000,0.0000,1.001E-10,20.1163,0.1948,0.0644,0.0955,0.2174,8.962E-18,17.4870,0.1681,0.0754,0.0754,0.2174,1.441E-16,14.2719,0.1358,0.0920,0.0402,0.2174,4.729E-15,8.5102,0.0813,0.1367,0.0251,0.1304,6.035E-15,37.5969,0.4141,0.0249,0.2462,0.2174,4.056E-25,2.7332,0.0237,0.2464,0.0050,0.1304,5.404E-10,14.1723,0.1351,0.0926,0.0402,0.2174,5.288E-15
Parkesia_motacilla,199,2.4245,2.8044,500,0.9753,23,2.5507,0.9544,0.0151,10199,14.4168,4.3276,0.8890,1.9016,1.9928,4.8152,3.4948,0.1482,0.5533,4.8727,0.0872,1.7556,1.7588,1.2757,0.3507,1.6639,0.2352,0.4358,0.6312,26.4875,8.0207,0.2215,0.1683,0.7068,0.6661,14.0295,0.2712,2.8536,0.4822,0.4726,0.0140,6.8149,0.0421,1.0000,0.0081,0.3445,0.0050,0.0000,2.273E-11,5.0000,0.0459,0.1815,0.0251,0.0870,4.718E-14,10.0000,0.0924,0.1186,0.0302,0.1739,1.412E-14,0.4991,0.0036,0.4266,0.0000,0.0000,3.095E-9,22.9702,0.2275,0.0517,0.0955,0.2609,9.979E-18,16.7668,0.1548,0.0754,0.0754,0.2174,1.441E-16,11.2809,0.1055,0.1082,0.0302,0.1739,2.586E-15,7.3998,0.0687,0.1454,0.0251,0.1304,2.022E-14,2.8487,0.0252,0.2353,0.0151,0.0000,3.532E-15,2.6255,0.0231,0.2434,0.0050,0.0000,7.649E-15,14.1297,0.1330,0.0893,0.0603,0.2174,2.834E-15
Parkesia_motacilla,199,2.4367,2.8040,500,0.9754,23,2.4045,0.9569,0.0137,10199,10.4770,3.2831,2.6153,5.8835,0.9636,7.3164,5.1894,0.1324,0.3471,5.7501,0.2364,1.6915,1.5832,1.2105,0.3344,0.8986,0.2165,0.1881,0.8065,34.4346,2.6445,0.2416,0.2191,1.4670,0.7826,7.5763,0.1351,2.5363,0.6175,0.2074,0.0144,6.8340,0.0429,1.0000,0.0083,0.3593,0.0050,0.0000,5.982E-11,5.0000,0.0446,0.1884,0.0201,0.0870,1.012E-13,10.0000,0.0890,0.1231,0.0402,0.1304,7.72E-16,0.8572,0.0070,0.3762,0.0000,0.0000,1.718E-10,22.8823,0.2245,0.0530,0.0955,0.2174,2.874E-19,16.3661,0.1525,0.0794,0.0804,0.1739,8.12E-18,20.9002,0.2002,0.0597,0.0854,0.1739,3.899E-20,9.2379,0.0836,0.1304,0.0302,0.1304,2.406E-15,16.3467,0.1523,0.0795,0.0754,0.1304,1.429E-19,3.9666,0.0344,0.2114,0.0050,0.0435,2.604E-14,14.2934,0.1292,0.0910,0.0653,0.1304,2.042E-18
Parkesia_motacilla,200,2.4621,2.8486,500,0.9782,22,1.8934,0.9299,0.0269,10200,12.2736,2.2830,2.3785,3.0316,3.6528,6.9163,5.8821,0.2064,0.0134,5.2046,0.2080,2.1115,1.8994,1.0004,0.4127,1.9004,0.3476,0.6040,0.4418,30.6590,3.0305,0.2081,0.2241,0.7101,0.5307,10.6246,0.2235,2.0835,0.3669,0.5711,0.0000,6.8120,0.0420,1.0000,0.0081,0.3460,0.0050,0.0455,3.079E-9,5.0000,0.0453,0.1812,0.0050,0.1364,7.007E-12,10.0000,0.0920,0.1186,0.0200,0.1364,2.763E-15,0.7734,0.0064,0.3739,0.0000,0.0455,1.51E-8,24.6158,0.2500,0.0470,0.1000,0.3182,1.483E-15,17.8959,0.1713,0.0700,0.0700,0.2273,4.352E-16,13.9394,0.1294,0.0900,0.0400,0.1818,7.688E-16,8.1850,0.0756,0.1364,0.0200,0.1364,3.687E-14,12.2607,0.1118,0.1009,0.0400,0.1364,1.345E-16,3.8369,0.0344,0.2063,0.0050,0.1364,7.551E-11,14.1039,0.1306,0.0890,0.0450,0.1818,6.338E-16
Parkesia_motacilla,200,2.4555,2.8289,500,0.9767,22,1.8603,0.9473,0.0129,10200,18.4475,3.8550,2.5913,0.3361,0.9214,8.2294,5.2393,0.2985,1.3366,2.6477,0.0602,1.6945,2.7872,1.0279,0.5929,0.4887,0.1455,0.1145,0.6650,30.3321,3.6506,0.2209,0.3446,0.5338,0.5264,9.6874,0.4093,1.9598,0.4046,0.4514,0.0000,6.8008,0.0414,1.0000,0.0077,0.3566,0.0000,0.0000,1.403E-10,5.0000,0.0427,0.1849,0.0200,0.0455,7.309E-15,10.0000,0.0880,0.1194,0.0350,0.1818,1.103E-13,1.1029,0.0087,0.3455,0.0000,0.0000,7.008E-11,20.4909,0.1923,0.0587,0.1000,0.3182,3.91E-14,16.5721,0.1511,0.0754,0.0750,0.2727,5.229E-14,14.1198,0.1256,0.0890,0.0450,0.2273,2.351E-14,8.7668,0.0783,0.1315,0.0300,0.1364,1.869E-14,7.6388,0.0685,0.1440,0.0200,0.0455,4.028E-17,3.9813,0.0340,0.2076,0.0050,0.0455,8.134E-14,14.2807,0.1269,0.0880,0.0550,0.2273,1.957E-14
Parkesia_motacilla,201,2.4627,2.7971,500,0.9745,21,1.8124,0.9353,0.0168,10201,11.7197,1.3643,2.9174,8.9452,1.9733,7.9683,4.8962,0.3102,0.0138,3.8334,0.1801,1.5347,2.1806,1.0518,0.0651,1.7997,0.0856,0.5664,0.8092,30.5292,2.5932,0.2526,0.2090,0.6422,0.6225,9.5140,0.3120,2.4041,0.3108,0.3921,0.0033,6.7942,0.0412,1.0000,0.0079,0.3388,0.0050,0.0000,1.344E-10,5.0000,0.0469,0.1784,0.0249,0.1429,2.561E-11,10.0000,0.0898,0.1159,0.0448,0.1429,1.33E-14,0.4806,0.0035,0.4221,0.0000,0.0000,1.362E-8,21.5227,0.2122,0.0541,0.0995,0.3810,4.597E-12,17.3912,0.1665,0.0697,0.0697,0.3333,4.639E-12,18.3770,0.1784,0.0656,0.0697,0.3333,2.035E-12,7.4220,0.0673,0.1428,0.0398,0.1429,5.263E-13,10.9739,0.1002,0.1076,0.0498,0.1429,3.623E-15,2.4157,0.0207,0.2468,0.0050,0.0476,1.133E-11,13.9269,0.1284,0.0874,0.0597,0.3333,9.798E-11
Parkesia_motacilla,200,2.4431,2.8138,500,0.9774,22,2.6857,0.9474,0.0321,10200,8.9314,3.8694,3.3669,3.9800,0.6741,5.6118,4.7419,0.2447,1.8545,0.9859,0.3059,1.8982,2.9278,1.1095,0.2547,1.3434,0.1375,0.6425,0.3134,35.3602,2.7251,0.2840,0.2853,1.1069,0.5087,13.0055,0.2309,2.5802,0.4153,0.2941,0.0099,6.8386,0.0433,1.0000,0.0091,0.3274,0.0000,0.0455,9.887E-10,5.0000,0.0492,0.1776,0.0100,0.0909,1.562E-13,10.0000,0.0969,0.1177,0.0250,0.0909,4.777E-17,3.1811,0.0313,0.2179,0.0000,0.0909,8.48E-12,24.3759,0.2510,0.0494,0.1000,0.1364,2.031E-22,18.1752,0.1823,0.0700,0.0700,0.0909,1.606E-21,15.0359,0.1494,0.0846,0.0500,0.0909,6.9E-20,13.8856,0.1371,0.0909,0.0500,0.0909,2.848E-19,23.8644,0.2476,0.0508,0.1000,0.0909,2.724E-24,3.1811,0.0313,0.2179,0.0000,0.0909,8.48E-12,13.7838,0.1363,0.0915,0.0500,0.0909,3.237E-19
Parkesia_motacilla,200,2.5373,2.8911,500,0.9771,22,0.7545,0.8656,0.0447,10200,12.0037,1.0372,3.0626,6.0732,0.8376,6.5969,3.7172,0.0447,0.0000,5.3544,0.0953,2.2496,1.9556,0.7296,0.6219,0.7792,0.0760,0.6675,0.6360,25.6601,6.5726,0.3760,0.2753,0.6622,0.4743,13.9955,0.3224,4.3098,0.4681,0.2634,0.0824,6.7341,0.0385,1.0000,0.0071,0.3358,0.0050,0.1364,4.818E-7,5.0000,0.0423,0.1679,0.0200,0.2273,7.476E-10,10.0000,0.0885,0.1066,0.0500,0.3182,2.122E-10,0.3912,0.0026,0.4483,0.0000,0.0909,8.175E-6,22.1220,0.2242,0.0476,0.1000,0.5000,1.241E-9,15.9294,0.1521,0.0700,0.0700,0.4091,2.634E-10,14.7499,0.1386,0.0757,0.0600,0.4091,6.912E-10,3.5300,0.0283,0.2015,0.0150,0.1818,9.387E-10,3.0248,0.0245,0.2169,0.0100,0.1364,1.882E-10,2.7658,0.0224,0.2257,0.0050,0.1364,3.89E-10,13.5155,0.1263,0.0824,0.0600,0.3636,1.114E-10
Parkesia_motacilla,200,2.4604,2.8389,500,0.9775,22,1.9486,0.9456,0.0150,10200,13.8628,2.6211,1.0986,2.9213,2.2324,7.5236,9.0311,0.1272,0.0534,4.3547,0.1345,1.9895,2.3749,0.8791,0.4643,2.0863,0.1526,0.3468,0.7310,24.2099,6.1669,0.1999,1.1651,0.7535,0.3691,10.1697,0.2044,3.0371,0.5132,0.2061,0.0196,6.7953,0.0412,1.0000,0.0078,0.3485,0.0050,0.0000,8.497E-11,5.0000,0.0450,0.1809,0.0100,0.0909,2.225E-13,10.0000,0.0903,0.1174,0.0250,0.1364,2.259E-15,0.9871,0.0077,0.3499,0.0000,0.0000,9.264E-11,22.9783,0.2253,0.0503,0.1000,0.3182,4.054E-15,19.2777,0.1805,0.0630,0.0650,0.3182,1.099E-13,19.2777,0.1805,0.0630,0.0600,0.3182,1.099E-13,8.0847,0.0725,0.1364,0.0250,0.1364,3.687E-14,13.3152,0.1218,0.0927,0.0450,0.1364,2.792E-17,3.5552,0.0301,0.2137,0.0050,0.0455,1.48E-13,14.1754,0.1304,0.0875,0.0550,0.1818,4.725E-16
Parkesia_motacilla,200,2.4068,2.7627,500,0.9744,22,2.5648,0.9612,0.0119,10200,14.3677,0.7114,4.7528,0.0097,0.8842,8.3747,4.8736,0.1775,0.0000,4.9407,0.0945,1.3004,2.0503,0.9854,0.3196,1.1274,0.0642,0.6418,0.5135,29.2155,4.1741,0.2535,0.3659,1.3332,0.3656,14.3335,0.2835,2.9710,0.2345,0.2248,0.0554,6.8525,0.0438,1.0000,0.0080,0.3624,0.0000,0.0000,1.999E-10,5.0000,0.0443,0.1898,0.0150,0.0000,1.327E-16,10.0000,0.0932,0.1236,0.0400,0.1364,5.956E-15,1.1097,0.0089,0.3505,0.0000,0.0000,9.613E-11,20.6275,0.2018,0.0624,0.1000,0.2273,6.329E-17,16.6640,0.1598,0.0794,0.0800,0.2273,3.543E-15,12.6346,0.1181,0.1028,0.0500,0.1364,1.927E-16,8.7018,0.0805,0.1364,0.0350,0.1364,3.687E-14,5.0163,0.0446,0.1895,0.0150,0.0000,1.282E-16,3.4285,0.0299,0.2277,0.0050,0.0000,7.309E-15,14.1885,0.1329,0.0927,0.0650,0.1364,2.792E-17
