Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Passerina_cyanea,1466,0.8353,0.9733,500,0.8649,162,0.8476,0.8434,0.0119,11464,5.4685,0.6041,2.1628,0.0903,2.6918,17.3222,1.4210,0.3187,0.0310,1.2227,0.0494,9.2232,3.9871,2.1272,0.0505,0.4386,0.1136,0.2623,0.4076,3.5500,21.7040,9.5381,1.8674,0.7547,0.3789,0.6649,0.1840,7.2431,4.4458,1.6762,0.0000,8.5297,0.2154,1.0000,0.0400,0.7908,0.0020,0.0000,2.955E-11,5.0000,0.1100,0.5597,0.0164,0.0123,2.57E-28,10.0000,0.1842,0.4294,0.0471,0.0617,2.034E-39,0.0576,0.0101,0.9544,0.0000,0.0000,2.695E-3,16.0484,0.2487,0.3323,0.0996,0.1481,4.619E-45,28.2426,0.3727,0.2108,0.2108,0.3086,4.017E-51,27.2711,0.3643,0.2181,0.1992,0.2901,3.316E-52,23.0011,0.3185,0.2544,0.1671,0.2531,2.943E-47,14.4207,0.2318,0.3549,0.0853,0.1173,4.506E-45,5.5729,0.1197,0.5400,0.0171,0.0309,3.034E-28,9.3936,0.1760,0.4416,0.0423,0.0556,2.653E-38
Passerina_cyanea,1463,0.8291,0.9626,500,0.8638,165,0.9111,0.8529,0.0122,11460,4.8375,1.5534,1.8193,0.1432,2.4227,16.6609,2.4673,0.3939,0.0234,1.5791,0.0106,8.7540,5.2891,2.5296,1.2802,0.4956,0.1529,0.2558,0.3045,2.5090,21.4867,9.1769,0.0480,0.8678,0.3537,0.9908,0.2468,8.1709,3.7707,1.4057,0.0000,8.5339,0.2165,1.0000,0.0406,0.7921,0.0021,0.0000,2.354E-11,5.0000,0.1114,0.5620,0.0130,0.0242,4.503E-27,10.0000,0.1832,0.4318,0.0396,0.0727,4.294E-38,0.1189,0.0143,0.9333,0.0000,0.0000,2.984E-4,16.4251,0.2541,0.3299,0.0984,0.1273,4.765E-50,28.2406,0.3712,0.2126,0.2126,0.2242,0E0,22.9530,0.3199,0.2572,0.1613,0.1758,1.148E-62,27.5184,0.3648,0.2182,0.2071,0.2182,0E0,34.6804,0.4337,0.1701,0.2919,0.2424,0E0,4.4648,0.1029,0.5818,0.0096,0.0182,1.028E-25,9.4166,0.1758,0.4436,0.0383,0.0727,3.517E-36
Passerina_cyanea,1462,0.8501,0.9911,500,0.8673,166,0.7335,0.8274,0.0123,11459,4.4738,1.7223,0.5763,1.7552,3.2035,16.8717,2.0510,0.1993,1.8033,0.6572,0.0102,7.8097,4.4295,3.4138,0.1259,0.4400,0.1854,0.4938,0.4162,2.5215,20.2880,9.6588,1.4647,1.0911,0.3245,0.9343,0.2933,8.0653,3.3899,1.3191,0.0116,8.5143,0.2121,1.0000,0.0393,0.7856,0.0027,0.0060,3.035E-11,5.0000,0.1091,0.5544,0.0130,0.0120,1.322E-29,10.0000,0.1800,0.4249,0.0458,0.0843,9.206E-38,0.0163,0.0051,0.9753,0.0000,0.0000,2.017E-2,15.9139,0.2449,0.3299,0.0999,0.1867,2.372E-40,28.0929,0.3694,0.2079,0.2079,0.3133,1.643E-52,19.6129,0.2815,0.2848,0.1231,0.2169,3.232E-46,22.3597,0.3113,0.2565,0.1607,0.2590,1.189E-46,13.2953,0.2191,0.3677,0.0705,0.1205,6.919E-43,5.0397,0.1100,0.5530,0.0130,0.0120,9.117E-30,9.4972,0.1739,0.4350,0.0417,0.0783,5.773E-37
Passerina_cyanea,1472,0.8402,0.9797,500,0.8661,156,0.8431,0.8378,0.0153,11469,5.8255,2.7390,1.0464,0.1713,3.2650,16.6620,2.8532,0.1737,0.1600,0.7079,0.0504,8.4542,4.3936,1.9623,0.1132,0.5478,0.1731,0.4107,0.4102,2.9274,20.9366,9.4553,0.0500,0.6578,0.7756,0.7630,0.2326,9.3131,3.2607,1.2515,0.2569,8.5282,0.2150,1.0000,0.0397,0.7880,0.0020,0.0256,6.137E-9,5.0000,0.1109,0.5584,0.0115,0.0641,1.096E-21,10.0000,0.1838,0.4290,0.0455,0.0897,3.036E-34,0.8668,0.0370,0.8027,0.0000,0.0128,3.515E-9,16.3860,0.2537,0.3283,0.0999,0.1731,1.898E-40,27.8665,0.3670,0.2140,0.2140,0.2500,3.267E-60,23.5300,0.3243,0.2503,0.1603,0.2051,7.534E-56,25.7555,0.3454,0.2308,0.1929,0.2308,1.194E-57,34.6461,0.4320,0.1687,0.2880,0.2821,0E0,5.1550,0.1133,0.5530,0.0115,0.0641,3.302E-22,9.4163,0.1760,0.4408,0.0394,0.0833,2.471E-33
Passerina_cyanea,1462,0.8370,0.9752,500,0.8649,166,0.8379,0.8432,0.0122,11459,5.9316,1.5851,0.7031,0.6926,2.9357,16.8186,2.5325,0.0933,0.3071,0.0340,0.0630,8.5561,4.1821,2.8364,0.1625,0.4772,0.1933,0.5725,0.4187,2.6729,20.1368,8.5679,2.0505,1.2310,0.2873,1.2130,0.2176,8.4996,4.6524,1.3756,0.0000,8.5314,0.2159,1.0000,0.0409,0.7914,0.0021,0.0060,6.676E-11,5.0000,0.1107,0.5625,0.0164,0.0241,3.439E-27,10.0000,0.1832,0.4324,0.0479,0.0542,5.827E-41,0.0629,0.0102,0.9518,0.0000,0.0000,1.875E-3,16.1137,0.2496,0.3341,0.0999,0.1084,1.194E-52,28.2307,0.3674,0.2121,0.2120,0.2892,5.401E-56,22.5248,0.3136,0.2612,0.1518,0.1988,8.449E-57,25.1223,0.3373,0.2374,0.1847,0.2349,8.863E-58,14.7138,0.2358,0.3534,0.0855,0.0723,2.442E-54,4.9288,0.1096,0.5651,0.0137,0.0241,6.627E-27,9.5016,0.1762,0.4425,0.0431,0.0542,3.002E-39
Passerina_cyanea,1465,0.8272,0.9646,500,0.8635,163,0.9398,0.8554,0.0121,11462,5.8474,1.1305,1.7281,1.0750,3.0981,17.0869,2.9707,0.2493,0.0000,0.0880,0.0193,8.3832,4.3694,3.5156,0.0528,0.5150,0.1941,0.3730,0.3547,1.9686,21.1568,9.3888,0.3847,0.8776,0.4158,1.1001,0.2070,8.1569,3.7096,1.5830,0.0000,8.5377,0.2173,1.0000,0.0411,0.7910,0.0027,0.0000,2.63E-11,5.0000,0.1118,0.5630,0.0157,0.0245,1.246E-26,10.0000,0.1844,0.4329,0.0451,0.0675,3.172E-38,0.1386,0.0149,0.9262,0.0000,0.0000,1.566E-4,16.4190,0.2538,0.3307,0.0997,0.1288,5.398E-49,28.3443,0.3733,0.2124,0.2123,0.2270,0E0,24.5960,0.3374,0.2429,0.1727,0.2086,2.987E-60,27.2494,0.3624,0.2208,0.2007,0.2209,0E0,30.1616,0.3911,0.1994,0.2321,0.2270,0E0,4.7673,0.1084,0.5714,0.0130,0.0245,9.534E-26,9.3962,0.1759,0.4452,0.0416,0.0552,5.317E-38
Passerina_cyanea,1466,0.8331,0.9675,500,0.8640,162,0.8205,0.8432,0.0122,11464,5.4395,1.4714,1.4624,0.4662,2.6943,17.5080,1.2015,0.1235,0.3975,0.1961,0.0582,8.2076,6.6073,3.1420,0.1352,0.5162,0.2533,0.3595,0.6135,2.5622,21.8883,5.4575,3.2705,0.4414,0.4441,1.1852,0.1808,7.6927,4.9889,1.0351,0.0000,8.5320,0.2160,1.0000,0.0400,0.7947,0.0020,0.0062,1.763E-10,5.0000,0.1099,0.5650,0.0164,0.0185,5.491E-27,10.0000,0.1809,0.4337,0.0471,0.0802,4.624E-36,0.0599,0.0105,0.9553,0.0000,0.0000,2.936E-3,16.5119,0.2522,0.3295,0.0996,0.1358,8.07E-48,27.9611,0.3664,0.2141,0.2142,0.2346,0E0,20.3288,0.2900,0.2840,0.1303,0.1420,2.47E-59,27.3316,0.3598,0.2189,0.2053,0.2160,0E0,25.0892,0.3364,0.2375,0.1862,0.1852,0E0,4.3880,0.1008,0.5880,0.0130,0.0185,1.283E-24,9.5689,0.1749,0.4426,0.0457,0.0802,1.114E-34
Passerina_cyanea,1463,0.8341,0.9709,500,0.8637,165,0.8796,0.8508,0.0108,11460,4.6948,0.4590,2.5434,0.2707,3.0006,17.5287,2.0235,0.4816,0.5497,0.8815,0.0260,9.4512,4.1982,2.9008,0.0908,0.3109,0.2525,0.2523,0.5354,2.5391,21.1630,7.4686,2.5998,0.9105,0.5563,0.6787,0.1773,8.2363,3.7557,1.2264,0.2364,8.5347,0.2165,1.0000,0.0409,0.7892,0.0021,0.0000,1.578E-11,5.0000,0.1119,0.5603,0.0150,0.0121,9.218E-29,10.0000,0.1838,0.4304,0.0478,0.0545,4.969E-41,0.2559,0.0196,0.8969,0.0000,0.0000,6.62E-6,16.1345,0.2517,0.3323,0.0998,0.1030,8.296E-54,28.2220,0.3712,0.2113,0.2119,0.2667,5.959E-61,24.2428,0.3314,0.2439,0.1716,0.2121,7.804E-60,25.8267,0.3467,0.2303,0.1873,0.2303,3.683E-61,22.1872,0.3110,0.2633,0.1599,0.1697,9.642E-62,5.0919,0.1131,0.5571,0.0150,0.0121,3.982E-29,9.3336,0.1745,0.4440,0.0458,0.0545,9.69E-39
Passerina_cyanea,1463,0.8417,0.9772,500,0.8650,165,0.7730,0.8316,0.0125,11461,5.7651,2.3250,0.6767,0.5067,3.3518,17.3115,3.2976,0.2561,0.4442,0.2321,0.0112,8.3567,4.6395,2.8434,0.0385,0.5425,0.1801,0.4882,0.3744,2.6901,21.1771,8.4685,0.1191,0.5328,0.5823,0.7378,0.1112,8.9651,3.5457,1.1735,0.2554,8.5259,0.2146,1.0000,0.0402,0.7905,0.0021,0.0061,6.755E-11,5.0000,0.1098,0.5602,0.0178,0.0182,5.059E-28,10.0000,0.1813,0.4295,0.0499,0.0909,7.542E-36,0.0526,0.0092,0.9562,0.0000,0.0000,2.987E-3,15.4534,0.2418,0.3400,0.0998,0.1515,1.518E-43,27.9878,0.3656,0.2112,0.2112,0.2909,1.273E-55,24.9497,0.3357,0.2359,0.1736,0.2364,1.116E-57,24.9096,0.3357,0.2364,0.1736,0.2364,1.623E-57,24.5448,0.3321,0.2395,0.1729,0.2303,1.263E-57,4.4015,0.1004,0.5825,0.0123,0.0182,1.223E-25,9.4888,0.1743,0.4400,0.0451,0.0848,4.799E-35
Passerina_cyanea,1470,0.8318,0.9700,500,0.8648,158,0.9765,0.8586,0.0131,11467,3.9518,1.0925,1.8972,2.8701,2.8479,15.9780,1.7968,0.1915,0.2515,0.5874,0.0185,8.2457,4.8292,2.7614,0.1534,0.7780,0.1583,0.1642,0.4132,3.1673,21.2959,8.0976,0.0811,1.0701,0.2705,0.6162,0.2195,9.7658,4.9470,1.4633,0.0191,8.5347,0.2165,1.0000,0.0407,0.7899,0.0027,0.0063,1.618E-10,5.0000,0.1115,0.5620,0.0136,0.0380,1.92E-24,10.0000,0.1829,0.4319,0.0449,0.0696,5.705E-37,0.2161,0.0189,0.9035,0.0000,0.0000,2.006E-5,16.3803,0.2538,0.3303,0.1000,0.1203,4.14E-49,27.9508,0.3678,0.2143,0.2143,0.2215,0E0,24.8805,0.3381,0.2392,0.1769,0.1772,0E0,27.8142,0.3662,0.2153,0.2116,0.2152,0E0,20.8718,0.2967,0.2777,0.1429,0.1203,2.301E-64,5.2343,0.1154,0.5538,0.0136,0.0443,1.445E-24,9.4231,0.1756,0.4437,0.0361,0.0633,5.23E-36
