Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Philothermus_stephani,38,4.2938,5.1330,500,0.9981,5,1.8578,0.8856,0.0728,10038,2.2107,0.4740,0.5895,0.0816,20.1462,10.9602,23.2728,0.0000,0.0000,3.3085,0.1180,0.5198,8.6644,0.0000,0.0371,1.5344,0.5160,0.0000,0.1162,1.5696,0.0000,4.2981,0.0803,0.0036,1.5996,0.2890,0.7528,18.2268,0.6307,0.0000,0.0000,4.9464,0.0061,1.0000,0.0015,0.1569,0.0000,0.2000,2.65E-3,5.0000,0.0154,0.0479,0.0000,0.4000,1.023E-3,10.0000,0.0431,0.0215,0.0000,0.4000,9.645E-5,28.3695,0.4266,0.0039,0.0000,0.4000,5.831E-7,30.0674,0.4704,0.0035,0.0789,0.4000,4.217E-7,28.3695,0.4266,0.0039,0.0000,0.4000,5.831E-7,28.3695,0.4266,0.0039,0.0000,0.4000,5.831E-7,0.6356,0.0009,0.2000,0.0000,0.2000,6.725E-3,1.0975,0.0017,0.1485,0.0000,0.2000,2.145E-3,2.5167,0.0056,0.0857,0.0000,0.4000,5.508E-3,13.3226,0.0738,0.0139,0.0000,0.4000,2.657E-5
Philothermus_stephani,38,4.1345,4.9773,500,0.9971,5,4.0775,0.9818,0.0149,10038,1.0027,2.1400,0.0733,0.0929,18.5499,10.3232,19.3780,0.0041,0.0000,3.0997,0.0000,0.5590,9.4119,0.0000,0.2766,2.9152,0.2751,0.0000,0.0168,4.5987,0.0118,4.7088,0.3571,0.1915,2.4975,2.1163,0.0696,16.1651,1.1652,0.0000,0.0000,5.1252,0.0073,1.0000,0.0016,0.2046,0.0000,0.0000,3.587E-4,5.0000,0.0133,0.0668,0.0000,0.2000,9.449E-5,10.0000,0.0402,0.0306,0.0263,0.2000,4.268E-6,7.7666,0.0249,0.0420,0.0000,0.2000,1.509E-5,32.0352,0.4825,0.0036,0.0789,0.2000,8.248E-10,11.2016,0.0481,0.0263,0.0263,0.2000,2.342E-6,30.0511,0.4142,0.0041,0.0263,0.2000,1.387E-9,3.8042,0.0088,0.0850,0.0000,0.0000,4.431E-6,3.8042,0.0088,0.0850,0.0000,0.0000,4.431E-6,3.0967,0.0066,0.1004,0.0000,0.0000,1.021E-5,15.0216,0.0807,0.0167,0.0263,0.2000,3.87E-7
Philothermus_stephani,38,4.1005,4.9464,500,0.9961,5,2.9103,0.9631,0.0194,10038,3.0082,1.1312,0.2560,0.1143,22.8244,7.3969,19.5593,0.0000,0.0000,4.1771,0.0000,0.5931,10.0997,0.0000,0.1978,1.5738,0.1325,0.0000,0.3391,4.2910,0.0026,2.3472,0.1701,0.0621,1.6319,1.0459,0.1383,18.6881,0.1860,0.0337,0.0000,5.1305,0.0073,1.0000,0.0015,0.2228,0.0000,0.0000,5.484E-4,5.0000,0.0119,0.0720,0.0263,0.4000,3.345E-3,10.0000,0.0372,0.0324,0.0263,0.4000,3.231E-4,4.4918,0.0101,0.0798,0.0000,0.4000,4.492E-3,30.2582,0.4558,0.0040,0.0526,0.4000,6.29E-7,11.5920,0.0472,0.0263,0.0263,0.4000,1.748E-4,29.3720,0.3883,0.0042,0.0263,0.4000,7.279E-7,3.9246,0.0084,0.0900,0.0000,0.0000,5.891E-6,3.9246,0.0084,0.0900,0.0000,0.0000,5.891E-6,3.3013,0.0067,0.1038,0.0000,0.0000,1.205E-5,15.1697,0.0794,0.0168,0.0263,0.4000,4.652E-5
Philothermus_stephani,39,4.1154,4.9444,500,0.9969,4,3.7119,0.9752,0.0196,10039,1.7361,2.2010,0.0473,0.9833,22.8697,10.6781,21.9692,0.0000,0.1038,2.7919,0.0000,0.8870,6.1888,0.0000,0.2881,1.7719,0.2257,0.0000,0.2947,1.5105,0.0124,3.8204,0.4521,0.1334,1.8637,1.3970,1.0293,15.4143,1.3300,0.0000,0.0000,5.1378,0.0074,1.0000,0.0016,0.2057,0.0000,0.0000,1.79E-3,5.0000,0.0132,0.0656,0.0000,0.2500,1.076E-3,10.0000,0.0413,0.0291,0.0256,0.2500,9.628E-5,7.1050,0.0226,0.0451,0.0000,0.2500,3.551E-4,30.0030,0.4128,0.0043,0.0769,0.2500,3.133E-7,10.9448,0.0468,0.0256,0.0256,0.2500,6.582E-5,29.2142,0.3906,0.0045,0.0256,0.2500,3.591E-7,3.4197,0.0075,0.0927,0.0000,0.0000,7.397E-5,3.4197,0.0075,0.0927,0.0000,0.0000,7.397E-5,3.1371,0.0067,0.0994,0.0000,0.0000,9.767E-5,14.3565,0.0827,0.0169,0.0256,0.2500,1.918E-5
Philothermus_stephani,39,4.0462,4.9058,500,0.9962,4,5.3335,0.9986,0.0004,10039,1.0290,0.5100,0.6761,1.0322,20.7091,7.8651,24.2750,0.0018,0.0000,5.5466,0.0000,0.5109,9.3891,0.0000,0.3730,1.6304,0.0857,0.0000,0.1523,1.4671,0.0046,4.1295,0.2517,0.1359,1.7070,0.6471,0.0556,17.1545,0.6607,0.0000,0.0000,5.1883,0.0078,1.0000,0.0016,0.2164,0.0000,0.0000,2.191E-3,5.0000,0.0133,0.0727,0.0000,0.0000,2.796E-5,10.0000,0.0386,0.0339,0.0256,0.0000,1.316E-6,5.0366,0.0134,0.0723,0.0000,0.0000,2.735E-5,30.6481,0.3897,0.0043,0.0513,0.0000,3.366E-10,12.2207,0.0533,0.0256,0.0256,0.0000,4.295E-7,29.6084,0.3625,0.0045,0.0256,0.0000,4.037E-10,48.4381,0.7450,0.0023,0.3590,0.0000,2.755E-11,48.4381,0.7450,0.0023,0.3590,0.0000,2.755E-11,3.2779,0.0071,0.1038,0.0000,0.0000,1.161E-4,15.2309,0.0790,0.0178,0.0256,0.0000,1.011E-7
Philothermus_stephani,39,4.0837,4.9293,500,0.9965,4,3.8832,0.9751,0.0211,10039,2.0133,2.6168,0.2967,0.0720,25.8741,11.3088,20.1835,0.0000,0.0000,3.0045,0.0000,0.5559,9.5496,0.0000,0.7344,1.3196,0.1337,0.0809,0.1972,2.2591,0.0023,3.5835,0.3900,0.2109,1.4058,1.2432,0.3320,12.3947,0.2374,0.0000,0.0000,5.1563,0.0075,1.0000,0.0016,0.2168,0.0000,0.0000,2.207E-3,5.0000,0.0128,0.0713,0.0000,0.2500,1.374E-3,10.0000,0.0379,0.0324,0.0256,0.2500,1.324E-4,5.8826,0.0158,0.0609,0.0000,0.2500,8.606E-4,29.8284,0.3946,0.0042,0.0513,0.2500,2.92E-7,11.8075,0.0521,0.0256,0.0256,0.2500,6.582E-5,28.0553,0.3508,0.0047,0.0256,0.2500,4.09E-7,3.4718,0.0076,0.0979,0.0000,0.0000,9.193E-5,3.4718,0.0076,0.0979,0.0000,0.0000,9.193E-5,3.2521,0.0068,0.1032,0.0000,0.0000,1.134E-4,15.0574,0.0770,0.0172,0.0256,0.2500,2.021E-5
Philothermus_stephani,39,4.0883,4.8749,500,0.9953,4,4.0849,0.9858,0.0110,10039,0.5998,1.0473,1.2264,0.0516,19.6956,11.4270,19.7896,0.0027,0.0000,4.4659,0.0000,0.6266,8.6949,0.0000,0.4821,1.2172,0.0517,0.0000,0.4327,2.0115,0.6623,3.7049,0.3107,0.0692,1.2140,1.1511,0.0898,20.3250,0.6503,0.0000,0.0000,5.1558,0.0074,1.0000,0.0014,0.2304,0.0000,0.0000,2.818E-3,5.0000,0.0123,0.0725,0.0000,0.0000,2.765E-5,10.0000,0.0356,0.0327,0.0513,0.2500,1.361E-4,5.7535,0.0152,0.0632,0.0000,0.0000,1.591E-5,31.6384,0.4823,0.0037,0.0769,0.2500,1.997E-7,6.9981,0.0207,0.0513,0.0513,0.2500,5.192E-4,30.1574,0.4316,0.0040,0.0513,0.2500,2.523E-7,6.8665,0.0201,0.0524,0.0256,0.0000,7.537E-6,6.8665,0.0201,0.0524,0.0256,0.0000,7.537E-6,3.4092,0.0068,0.1021,0.0000,0.0000,1.087E-4,14.8516,0.0740,0.0172,0.0513,0.2500,2.021E-5
Philothermus_stephani,39,4.0500,4.9073,500,0.9963,4,4.8796,0.9978,0.0009,10039,1.8684,0.7489,0.2410,0.2832,20.2156,8.7225,21.3070,0.0030,0.0000,5.0669,0.0000,0.5836,8.9475,0.0000,0.1807,1.2207,0.3095,0.0000,0.3227,2.1494,0.5947,4.9105,0.3480,0.0491,1.9991,1.7859,0.0484,17.1327,0.9612,0.0000,0.0000,5.1907,0.0078,1.0000,0.0017,0.2142,0.0000,0.0000,2.104E-3,5.0000,0.0132,0.0705,0.0000,0.0000,2.474E-5,10.0000,0.0391,0.0323,0.0256,0.0000,1.085E-6,5.1194,0.0136,0.0690,0.0000,0.0000,2.271E-5,30.8616,0.4120,0.0043,0.0513,0.2500,3.133E-7,11.8277,0.0555,0.0256,0.0256,0.0000,4.295E-7,30.0835,0.3820,0.0044,0.0256,0.2500,3.357E-7,28.1723,0.3391,0.0051,0.0256,0.0000,6.661E-10,28.1723,0.3391,0.0051,0.0256,0.0000,6.661E-10,3.2094,0.0070,0.1028,0.0000,0.0000,1.117E-4,15.0840,0.0837,0.0178,0.0256,0.0000,1.011E-7
Philothermus_stephani,39,4.0584,4.8973,500,0.9962,4,5.0474,0.9979,0.0005,10039,1.1174,1.0255,0.1570,0.2279,20.6423,8.3529,22.6723,0.0173,0.0000,4.6563,0.0000,0.6601,9.6212,0.0000,0.5268,0.8275,0.4025,0.0000,0.4276,3.5658,0.0045,3.8173,0.1653,0.1058,1.4721,0.4768,0.0937,18.7282,0.2361,0.0000,0.0000,5.1736,0.0076,1.0000,0.0016,0.2160,0.0000,0.0000,2.175E-3,5.0000,0.0133,0.0723,0.0256,0.0000,2.735E-5,10.0000,0.0377,0.0339,0.0256,0.0000,1.316E-6,4.9587,0.0130,0.0729,0.0000,0.0000,2.827E-5,29.7892,0.3870,0.0045,0.0513,0.0000,4.037E-10,12.1868,0.0526,0.0256,0.0256,0.0000,4.295E-7,28.7944,0.3466,0.0048,0.0256,0.0000,5.226E-10,36.3556,0.5612,0.0032,0.1795,0.0000,1.032E-10,36.3556,0.5612,0.0032,0.1795,0.0000,1.032E-10,3.2429,0.0070,0.1041,0.0000,0.0000,1.174E-4,15.3275,0.0782,0.0175,0.0256,0.0000,9.447E-8
Philothermus_stephani,39,4.2480,4.9587,500,0.9963,4,0.7566,0.8596,0.1077,10039,1.0137,0.0828,0.6752,0.4260,20.8500,7.3314,17.0742,0.0000,0.0000,6.0800,0.0000,0.5425,8.9658,0.0000,2.3312,0.6256,0.0241,0.0000,0.1655,1.7032,1.8373,3.3177,0.9490,0.1683,0.6857,0.1237,0.8676,22.9868,1.1728,0.0000,0.0000,4.9753,0.0062,1.0000,0.0013,0.1948,0.0000,0.2500,2.526E-2,5.0000,0.0127,0.0578,0.0000,0.2500,7.38E-4,10.0000,0.0368,0.0254,0.0513,0.5000,3.741E-3,6.8557,0.0207,0.0412,0.0000,0.2500,2.719E-4,28.7110,0.4459,0.0036,0.0769,1.0000,1E0,8.2989,0.0278,0.0328,0.0256,0.5000,6.166E-3,6.8557,0.0207,0.0412,0.0000,0.2500,2.719E-4,0.6155,0.0008,0.2500,0.0000,0.2500,5.08E-2,6.8557,0.0207,0.0412,0.0000,0.2500,2.719E-4,3.0172,0.0057,0.0913,0.0000,0.2500,2.84E-3,14.1056,0.0680,0.0143,0.0513,0.5000,1.211E-3
