Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Picoides_pubescens,185,1.1662,1.5644,500,0.9095,21,0.7063,0.7456,0.0628,10185,7.6810,1.6215,2.2835,0.4195,5.8500,14.8695,9.0676,0.1368,0.3302,1.0857,0.1972,0.8056,5.9037,2.6977,14.2377,2.1786,0.7417,2.6388,2.9273,0.6752,3.5152,11.5447,0.0671,3.0191,0.9312,2.0878,0.2557,1.6047,0.2517,0.3353,0.0386,8.0852,0.1591,1.0000,0.0307,0.7876,0.0054,0.0952,1.458E-1,5.0000,0.0790,0.5595,0.0162,0.2381,4.682E-2,10.0000,0.1273,0.4191,0.0324,0.2381,1.527E-3,0.7856,0.0266,0.8108,0.0000,0.0952,2.119E-1,18.3303,0.1987,0.2806,0.0973,0.2857,4.613E-5,27.8983,0.2794,0.1822,0.1838,0.4762,4.23E-4,36.8985,0.3590,0.1204,0.2054,0.5714,3.981E-4,17.9382,0.1944,0.2857,0.0919,0.2857,5.816E-5,15.5985,0.1761,0.3184,0.0811,0.2381,3.852E-5,4.6470,0.0756,0.5730,0.0108,0.2381,6.011E-2,15.5839,0.1760,0.3187,0.0811,0.2381,3.902E-5
Picoides_pubescens,186,1.1470,1.5326,500,0.9033,20,0.6744,0.8176,0.0413,10186,3.2431,3.9237,1.2743,2.4182,5.8832,17.1660,6.6410,0.0944,1.6575,3.4190,0.1728,1.1888,6.3278,2.9317,15.9196,1.9228,0.4544,1.7910,1.7249,1.2511,3.2003,9.4244,0.1049,3.6475,0.0392,1.8071,0.9270,0.9484,0.2591,0.1654,0.0712,8.1221,0.1668,1.0000,0.0334,0.8009,0.0054,0.0000,1.179E-2,5.0000,0.0831,0.5811,0.0215,0.0500,2.971E-4,10.0000,0.1302,0.4404,0.0376,0.1500,2.013E-4,0.6361,0.0261,0.8402,0.0000,0.0000,3.072E-2,19.4328,0.2084,0.2848,0.0968,0.2500,2.17E-5,30.5240,0.2982,0.1753,0.1774,0.4000,2.607E-5,31.3357,0.3041,0.1691,0.1774,0.4500,1.2E-4,21.9775,0.2283,0.2546,0.1290,0.2500,4.865E-6,28.8189,0.2856,0.1890,0.1667,0.3000,8.997E-7,5.3075,0.0860,0.5701,0.0215,0.0500,2.115E-4,16.0714,0.1820,0.3306,0.0591,0.2000,2.236E-5
Picoides_pubescens,186,1.1086,1.4964,500,0.8977,20,1.0321,0.8308,0.0471,10186,10.4606,0.8060,1.2113,0.5511,6.4276,16.1079,7.7912,0.1583,0.3317,2.1839,0.3397,1.7303,5.0233,2.3379,10.3772,3.0100,0.3580,1.2410,2.9897,1.2939,4.0535,10.5433,0.1404,3.7760,0.0800,2.4666,0.7990,2.7028,0.4629,0.1144,0.1305,8.1401,0.1690,1.0000,0.0329,0.7876,0.0054,0.0500,5.388E-2,5.0000,0.0864,0.5682,0.0269,0.0500,1.995E-4,10.0000,0.1352,0.4311,0.0699,0.1000,1.76E-5,0.8674,0.0305,0.8013,0.0000,0.0500,7.097E-2,19.6991,0.2201,0.2756,0.0968,0.2000,1.617E-6,29.7326,0.3048,0.1799,0.1774,0.4000,3.401E-5,27.0191,0.2815,0.2016,0.1398,0.3000,2.047E-6,23.4390,0.2525,0.2348,0.1237,0.2500,1.634E-6,16.1299,0.1876,0.3227,0.0968,0.1000,1.319E-7,4.1069,0.0759,0.6023,0.0108,0.0500,5.607E-4,15.1991,0.1793,0.3366,0.0968,0.1000,2.719E-7
Picoides_pubescens,185,1.1804,1.6122,500,0.9092,21,0.2516,0.7309,0.0588,10185,9.9814,1.6650,0.8539,0.3521,7.2183,16.1703,6.7970,0.7615,0.7347,2.3919,0.1293,0.8988,6.4182,3.1940,11.4993,1.8378,0.4184,2.8190,2.5014,1.0769,2.5492,12.6665,0.1366,2.0900,0.7092,1.9617,0.5245,1.2350,0.2470,0.1079,0.0533,8.0880,0.1603,1.0000,0.0306,0.7932,0.0108,0.0476,4.995E-2,5.0000,0.0799,0.5671,0.0270,0.1429,4.908E-3,10.0000,0.1280,0.4270,0.0541,0.2381,1.934E-3,0.6018,0.0234,0.8392,0.0000,0.0476,1.265E-1,17.5744,0.1913,0.2969,0.0973,0.3333,5.036E-4,30.3857,0.2936,0.1676,0.1676,0.5714,4.411E-3,26.3772,0.2661,0.2006,0.1135,0.5714,1.469E-2,15.0789,0.1705,0.3333,0.0757,0.3333,1.827E-3,23.4685,0.2395,0.2281,0.1135,0.3810,1.386E-4,3.8680,0.0683,0.6124,0.0162,0.1429,1.467E-2,15.9831,0.1766,0.3196,0.0919,0.3333,1.15E-3
Picoides_pubescens,185,1.1429,1.5308,500,0.9048,21,0.8140,0.7984,0.0519,10185,3.1963,2.2430,0.8577,0.4746,6.6769,17.5950,6.9473,0.0377,1.3818,9.2288,0.0537,0.9905,5.3877,2.9717,13.1864,2.0876,0.2103,1.1476,1.8939,1.5340,2.9220,11.3682,0.1682,2.7347,0.0598,2.0803,0.7394,1.4415,0.1720,0.2036,0.0078,8.1197,0.1658,1.0000,0.0340,0.7749,0.0108,0.0476,3.35E-2,5.0000,0.0866,0.5655,0.0216,0.0952,8.936E-4,10.0000,0.1337,0.4309,0.0432,0.1905,4.551E-4,0.2568,0.0153,0.8720,0.0000,0.0000,5.63E-2,20.8062,0.2238,0.2631,0.0973,0.3333,1.247E-4,30.4393,0.3020,0.1730,0.1730,0.4286,4.449E-5,27.8448,0.2821,0.1937,0.1405,0.4286,1.409E-4,18.9203,0.2081,0.2857,0.0811,0.2857,5.816E-5,18.5722,0.2047,0.2900,0.0811,0.2381,1.042E-5,2.8145,0.0623,0.6554,0.0108,0.0952,9.819E-3,15.6958,0.1812,0.3299,0.0757,0.2381,6.288E-5
Picoides_pubescens,185,1.1871,1.5977,500,0.9076,21,0.4028,0.7482,0.0559,10185,5.6123,1.6591,2.2332,0.3699,7.5126,16.6148,7.4958,0.4444,1.4592,3.6148,0.1780,1.8507,6.3752,2.0051,13.3419,1.9532,0.8938,2.4728,3.2744,0.5633,4.4575,9.3511,0.1545,1.1826,0.6401,1.5818,0.5545,1.8421,0.2527,0.0587,0.0000,8.0661,0.1565,1.0000,0.0300,0.7798,0.0000,0.0476,3.734E-2,5.0000,0.0787,0.5552,0.0270,0.1429,3.599E-3,10.0000,0.1240,0.4146,0.0486,0.1905,2.615E-4,1.1041,0.0317,0.7696,0.0000,0.0476,2.977E-2,19.2171,0.2050,0.2651,0.0973,0.4286,2.903E-3,28.9872,0.2875,0.1711,0.1730,0.5238,1.203E-3,32.2007,0.3149,0.1478,0.1784,0.5714,1.812E-3,16.0485,0.1788,0.3070,0.0811,0.2857,1.452E-4,9.1898,0.1166,0.4332,0.0486,0.1429,7.897E-5,3.5880,0.0637,0.6130,0.0054,0.1429,1.487E-2,15.6657,0.1749,0.3126,0.0811,0.2857,1.822E-4
Picoides_pubescens,186,1.1713,1.5773,500,0.9077,20,0.5299,0.7175,0.0710,10186,2.9921,3.4534,1.0329,0.4737,6.5238,14.9067,6.8425,0.1505,0.6044,7.5256,0.0455,0.7993,5.7237,3.1597,14.0871,2.5012,0.7163,1.5753,3.0332,0.7536,2.7948,11.7252,0.1944,2.7620,0.6993,2.5997,0.6062,1.1834,0.4255,0.1093,0.0000,8.0940,0.1609,1.0000,0.0314,0.7841,0.0054,0.1000,1.614E-1,5.0000,0.0807,0.5607,0.0269,0.3000,1.513E-1,10.0000,0.1284,0.4212,0.0376,0.3000,1.104E-2,0.7891,0.0279,0.8064,0.0000,0.1000,2.265E-1,17.3907,0.1919,0.2944,0.0968,0.4000,4.336E-3,29.8377,0.3008,0.1693,0.1667,0.4000,1.799E-5,33.9425,0.3356,0.1410,0.1828,0.4500,2.126E-5,12.6099,0.1507,0.3692,0.0484,0.3500,1.004E-2,31.6932,0.3156,0.1559,0.1774,0.4000,7.529E-6,2.0998,0.0481,0.6981,0.0054,0.1500,1.038E-1,15.5053,0.1755,0.3214,0.0699,0.4000,9.474E-3
Picoides_pubescens,185,1.1921,1.5947,500,0.9034,21,0.1512,0.7405,0.0500,10185,5.0359,3.7522,2.4580,1.1142,5.4464,17.6217,5.2499,0.0347,1.5217,2.5680,0.1222,1.2112,5.0549,2.7959,14.4600,2.3420,0.3066,1.2625,2.7408,0.8403,2.5313,11.8488,0.1835,3.6155,1.4979,1.2842,0.4106,1.2569,0.9284,0.4512,0.0524,8.0689,0.1573,1.0000,0.0301,0.7948,0.0054,0.0476,5.165E-2,5.0000,0.0785,0.5676,0.0270,0.1429,4.97E-3,10.0000,0.1222,0.4251,0.0541,0.1905,3.75E-4,0.9914,0.0300,0.7957,0.0000,0.0476,5.262E-2,18.0906,0.1922,0.2872,0.0973,0.3333,3.444E-4,29.2962,0.2850,0.1729,0.1730,0.6190,1.924E-2,28.8502,0.2817,0.1764,0.1568,0.6190,2.16E-2,18.0889,0.1922,0.2872,0.0973,0.2857,6.213E-5,15.6828,0.1724,0.3210,0.0811,0.1905,5.767E-6,4.5997,0.0746,0.5827,0.0216,0.1429,7.269E-3,16.1898,0.1772,0.3135,0.0973,0.2857,1.888E-4
Picoides_pubescens,186,1.1190,1.5392,500,0.9041,20,0.9471,0.7967,0.0543,10186,9.4070,0.3547,1.5986,0.3953,5.1419,17.6644,7.3926,0.2235,0.9495,2.3203,0.0372,0.8367,6.2178,2.3547,13.8250,2.8168,0.3075,1.7371,3.9893,0.8840,3.0043,10.8712,0.1181,2.8216,0.1786,1.8950,0.5365,1.5812,0.2546,0.0690,0.2160,8.1387,0.1685,1.0000,0.0332,0.7913,0.0054,0.0000,9.26E-3,5.0000,0.0848,0.5702,0.0161,0.1000,1.637E-3,10.0000,0.1329,0.4308,0.0645,0.2000,8.603E-4,0.3158,0.0179,0.8795,0.0000,0.0000,7.676E-2,21.1204,0.2298,0.2584,0.0968,0.3000,4.408E-5,31.2710,0.3161,0.1667,0.1667,0.3500,1.84E-6,31.9967,0.3230,0.1614,0.1667,0.3500,1.259E-6,18.8288,0.2115,0.2857,0.0968,0.3000,1.468E-4,32.2145,0.3251,0.1599,0.1774,0.3500,1.13E-6,5.1747,0.0866,0.5640,0.0161,0.1000,1.379E-3,15.1997,0.1800,0.3361,0.0860,0.2500,1.863E-4
Picoides_pubescens,185,1.1922,1.5613,500,0.9018,21,0.2618,0.7617,0.0504,10185,8.6535,2.3582,2.4826,0.0962,6.4060,17.5027,7.4174,0.1745,0.5314,1.3069,0.2270,0.7610,6.1506,2.5879,14.9820,2.3156,0.3954,1.2025,1.7904,1.1288,2.4834,12.6978,0.4412,2.1200,0.0326,1.8386,0.4361,1.2175,0.1933,0.0687,0.0000,8.0547,0.1550,1.0000,0.0301,0.7928,0.0054,0.0476,4.953E-2,5.0000,0.0763,0.5678,0.0270,0.1429,4.995E-3,10.0000,0.1224,0.4250,0.0595,0.1429,5.833E-5,0.8858,0.0284,0.8046,0.0000,0.0000,1.041E-2,17.5724,0.1855,0.2940,0.0973,0.3333,4.496E-4,28.3520,0.2701,0.1796,0.1784,0.4762,3.705E-4,32.3863,0.3018,0.1484,0.2000,0.5238,3.746E-4,14.9040,0.1626,0.3333,0.0919,0.3333,1.827E-3,26.1327,0.2538,0.1989,0.1622,0.3333,4.216E-6,3.2823,0.0598,0.6409,0.0054,0.0952,6.902E-3,16.4969,0.1753,0.3091,0.0919,0.3333,7.926E-4
