Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pinus_pungens,252,1.8733,2.2814,500,0.9595,29,1.8850,0.9414,0.0173,10249,1.4143,0.1722,0.0000,0.0092,3.0431,13.8431,5.5323,7.4560,0.0647,2.4599,0.1574,11.8720,11.5510,1.3033,1.6651,0.7862,0.1233,0.3242,1.3287,3.3109,16.5832,1.2783,0.3212,0.7129,0.1230,3.9771,0.2448,4.0389,4.3033,1.9145,0.0858,7.4017,0.0759,1.0000,0.0113,0.5526,0.0000,0.0000,6.326E-7,5.0000,0.0480,0.3035,0.0119,0.0690,9.956E-14,10.0000,0.0980,0.1972,0.0556,0.0690,1.505E-23,1.9307,0.0194,0.4548,0.0000,0.0000,1.857E-9,20.0835,0.2137,0.1033,0.0992,0.1034,4.851E-45,20.1168,0.2143,0.1031,0.1032,0.1034,3.914E-45,26.1790,0.2992,0.0747,0.1151,0.1379,8.771E-59,20.0669,0.2135,0.1034,0.0992,0.1034,5.398E-45,18.8220,0.1994,0.1110,0.0913,0.0690,3.574E-45,4.2763,0.0407,0.3286,0.0040,0.0690,2.482E-12,12.9669,0.1292,0.1598,0.0675,0.0690,4.468E-30
Pinus_pungens,252,1.9327,2.3651,500,0.9651,29,1.5562,0.8709,0.0455,10249,0.7673,0.1222,0.0036,1.0183,3.4845,15.2539,6.9783,7.3236,0.0161,1.7544,0.4439,8.2917,13.4752,1.2348,1.2043,0.6808,0.3714,0.3738,1.4617,2.9546,16.1460,0.2987,0.0317,0.2194,0.0398,3.0068,0.4858,3.7890,7.2367,1.5232,0.0086,7.3308,0.0707,1.0000,0.0111,0.4874,0.0000,0.1379,2.707E-5,5.0000,0.0519,0.2617,0.0119,0.1724,2.058E-12,10.0000,0.1078,0.1715,0.0397,0.1724,3.558E-21,3.0080,0.0303,0.3335,0.0000,0.1724,8.325E-9,24.9839,0.2999,0.0734,0.0992,0.1724,5.25E-55,20.8381,0.2484,0.0899,0.0913,0.1724,3.565E-44,28.7135,0.3491,0.0618,0.1071,0.2414,4.305E-55,9.9299,0.1067,0.1724,0.0397,0.1724,4.791E-21,27.4827,0.3354,0.0654,0.1071,0.1724,3.163E-62,3.0080,0.0303,0.3335,0.0000,0.1724,8.325E-9,12.0784,0.1327,0.1489,0.0595,0.1724,4.962E-25
Pinus_pungens,253,1.9072,2.3050,500,0.9606,28,1.3941,0.9019,0.0235,10251,1.0397,0.0280,0.2156,0.0174,3.4846,15.1234,6.7640,6.3286,1.8621,1.0858,0.3856,10.1687,12.2778,1.0427,1.4414,0.6566,0.3394,0.3077,0.8934,4.5131,16.1355,0.2123,0.2860,0.3300,0.0662,3.3025,0.7927,4.2717,5.2931,1.3342,0.0000,7.3556,0.0722,1.0000,0.0103,0.5466,0.0000,0.0000,7.196E-7,5.0000,0.0460,0.2895,0.0158,0.1429,1.768E-11,10.0000,0.0967,0.1855,0.0553,0.2143,1.548E-16,1.7821,0.0165,0.4571,0.0000,0.0000,4.047E-9,23.0635,0.2621,0.0826,0.0988,0.2857,3.228E-34,20.2892,0.2251,0.0959,0.0949,0.2857,5.41E-29,28.0019,0.3307,0.0646,0.1107,0.2857,9.263E-45,8.1982,0.0790,0.2143,0.0514,0.2143,8.649E-14,28.0019,0.3307,0.0646,0.1107,0.2857,9.263E-45,3.6451,0.0331,0.3403,0.0040,0.0714,2.508E-11,12.6839,0.1259,0.1526,0.0632,0.2143,5.962E-21
Pinus_pungens,252,1.8955,2.2953,500,0.9592,29,1.8076,0.9269,0.0194,10249,0.8714,0.5277,0.1736,1.6863,3.1698,17.7467,4.7890,6.8664,0.1779,1.4079,0.3810,9.3505,12.7138,1.4952,1.1937,0.4995,0.2120,0.4419,1.3627,4.7434,13.6209,0.1710,0.1326,0.2088,0.0293,3.7222,0.7843,4.3032,6.1854,1.0318,0.0000,7.3765,0.0738,1.0000,0.0105,0.5448,0.0000,0.0000,4.281E-7,5.0000,0.0471,0.2919,0.0357,0.0690,1.867E-14,10.0000,0.0988,0.1878,0.0556,0.1034,7.432E-23,1.6857,0.0165,0.4661,0.0000,0.0000,4.117E-9,23.7061,0.2717,0.0816,0.0992,0.2414,8.743E-41,20.7835,0.2320,0.0952,0.0952,0.2414,2.226E-34,23.3355,0.2680,0.0832,0.0952,0.2414,6.783E-40,12.2432,0.1245,0.1597,0.0595,0.1724,4.743E-23,11.6786,0.1169,0.1662,0.0595,0.1034,2.122E-26,3.3816,0.0317,0.3547,0.0079,0.0345,3.08E-12,12.6105,0.1286,0.1558,0.0595,0.2069,1.504E-21
Pinus_pungens,253,1.8846,2.2966,500,0.9599,28,1.8579,0.9316,0.0244,10250,1.1732,0.3328,0.0000,0.0577,3.0366,16.6817,3.8281,6.0155,0.3376,2.4002,0.3001,10.0314,13.7940,0.8726,1.2481,0.7331,0.3582,0.3035,1.0275,4.7670,14.9707,0.3083,0.1523,0.5902,0.1247,3.5867,0.2739,5.0672,6.4247,1.2025,0.0000,7.3876,0.0746,1.0000,0.0108,0.5567,0.0000,0.0357,7.071E-6,5.0000,0.0458,0.3005,0.0158,0.0357,9.201E-15,10.0000,0.0971,0.1923,0.0593,0.0714,2.398E-23,2.0280,0.0194,0.4488,0.0000,0.0357,2.074E-8,20.6157,0.2250,0.0974,0.0988,0.1429,3.389E-42,20.4376,0.2210,0.0984,0.0988,0.1429,1.079E-41,25.4613,0.2963,0.0755,0.1146,0.1429,1.563E-55,18.9545,0.2030,0.1071,0.0949,0.1071,1.675E-41,27.7234,0.3231,0.0675,0.1265,0.1429,1.441E-62,3.8674,0.0356,0.3428,0.0079,0.0357,2.133E-12,12.7835,0.1285,0.1576,0.0711,0.1071,6.353E-27
Pinus_pungens,254,1.9034,2.3183,500,0.9603,27,1.5585,0.9103,0.0291,10252,1.0022,0.2700,0.0265,0.0094,3.0705,14.5369,5.0250,6.2001,0.3339,3.7504,0.3492,11.3493,11.2529,1.1308,1.6280,0.4123,0.3030,0.3387,1.0664,4.8029,16.4284,1.5713,0.0557,1.0167,0.0280,2.9899,0.2294,3.6174,5.9918,1.1968,0.0161,7.3533,0.0721,1.0000,0.0105,0.5366,0.0039,0.0370,4.435E-6,5.0000,0.0467,0.2858,0.0197,0.0741,9.044E-14,10.0000,0.0986,0.1837,0.0591,0.1481,1.531E-19,0.2000,0.0031,0.7338,0.0000,0.0000,8.752E-4,23.4612,0.2694,0.0801,0.0984,0.2222,5.397E-41,21.3489,0.2394,0.0895,0.0906,0.1852,4.455E-40,21.2084,0.2373,0.0902,0.0827,0.1852,9.539E-40,13.0039,0.1318,0.1482,0.0669,0.1481,3.82E-25,22.5519,0.2572,0.0839,0.0945,0.1852,5.04E-43,4.0296,0.0377,0.3195,0.0079,0.0741,7.04E-12,12.6047,0.1268,0.1523,0.0669,0.1481,2.297E-24
Pinus_pungens,253,1.9256,2.3252,500,0.9616,28,1.3761,0.8864,0.0291,10250,1.1765,0.1381,0.0000,0.9843,3.6318,17.4608,4.3477,4.8717,0.0876,2.1940,0.3294,10.0370,15.3077,1.1240,1.1139,0.2984,0.2727,0.5275,0.7651,3.2131,15.4905,0.5060,0.1731,0.6812,0.0453,3.9101,0.1074,4.9338,5.6273,0.6440,0.0000,7.3402,0.0710,1.0000,0.0102,0.5313,0.0000,0.0000,3.351E-7,5.0000,0.0457,0.2777,0.0237,0.1786,6.597E-11,10.0000,0.1008,0.1770,0.0553,0.2857,4.676E-14,1.5035,0.0145,0.4699,0.0000,0.0357,7.937E-8,25.0779,0.3016,0.0723,0.0988,0.2857,1.304E-39,21.5586,0.2508,0.0862,0.0870,0.2857,1.238E-32,21.5369,0.2506,0.0862,0.0830,0.2857,1.238E-32,7.2608,0.0702,0.2214,0.0435,0.2143,3.171E-13,26.2084,0.3150,0.0685,0.1028,0.2857,5.252E-42,3.5332,0.0318,0.3329,0.0040,0.1429,1.968E-9,12.2652,0.1273,0.1502,0.0593,0.2857,3.326E-17
Pinus_pungens,253,1.8868,2.2934,500,0.9598,28,1.5208,0.8922,0.0407,10250,0.7907,0.3800,0.5746,0.3105,3.4196,15.5793,5.5237,6.1816,0.1427,3.1655,0.2792,15.0962,11.4981,1.2153,1.6180,0.3667,0.1867,0.2021,1.0807,4.3143,13.8004,1.2350,0.0736,0.4553,0.0627,3.4029,0.2165,4.0006,4.0427,0.7732,0.0116,7.3741,0.0738,1.0000,0.0107,0.5361,0.0040,0.0714,1.561E-5,5.0000,0.0478,0.2890,0.0237,0.1071,8.979E-13,10.0000,0.1012,0.1861,0.0593,0.1429,3.681E-20,0.8105,0.0091,0.5656,0.0000,0.0357,1.038E-5,22.4631,0.2588,0.0879,0.0988,0.1786,4.548E-43,21.0071,0.2386,0.0948,0.0949,0.1786,1.213E-39,28.3416,0.3333,0.0661,0.1146,0.1786,1.751E-58,10.5716,0.1079,0.1785,0.0593,0.1786,3.254E-19,28.6567,0.3363,0.0652,0.1186,0.1786,2.049E-59,4.3705,0.0411,0.3102,0.0079,0.1071,1.329E-11,12.5748,0.1317,0.1555,0.0632,0.1786,1.198E-22
Pinus_pungens,253,1.8770,2.3071,500,0.9602,28,2.0169,0.9524,0.0100,10250,0.8509,0.6507,0.0311,0.3241,3.2349,17.0925,4.7749,6.9386,0.1487,2.6439,0.2593,9.7316,12.4052,1.5161,1.6757,0.5479,0.3177,0.3909,1.0997,4.5086,13.7612,0.9155,0.1268,0.3747,0.0802,3.3801,0.1872,5.3714,5.4501,1.2100,0.0000,7.3807,0.0742,1.0000,0.0108,0.5508,0.0000,0.0000,8.838E-7,5.0000,0.0469,0.2979,0.0198,0.0000,2.248E-16,10.0000,0.0962,0.1909,0.0593,0.0357,1.093E-25,1.2108,0.0126,0.5229,0.0000,0.0000,2.161E-7,21.4169,0.2397,0.0933,0.0988,0.1071,2.954E-48,20.3455,0.2235,0.0988,0.0988,0.1071,2.56E-45,27.5242,0.3199,0.0685,0.1146,0.2500,1.512E-46,18.9053,0.2043,0.1071,0.0988,0.1071,1.675E-41,14.8985,0.1545,0.1360,0.0711,0.0357,9.823E-38,4.0523,0.0377,0.3315,0.0040,0.0000,2.866E-14,12.7483,0.1293,0.1565,0.0632,0.0357,2.953E-32
Pinus_pungens,254,1.8733,2.2783,500,0.9595,27,1.6430,0.9150,0.0276,10252,0.8294,0.3023,0.5306,0.0287,2.0521,16.6632,4.4664,7.4985,0.0984,2.6455,0.2874,16.1580,11.8818,1.4836,0.9997,0.7804,0.1673,0.3644,0.9417,4.4317,13.6015,1.3070,0.0903,0.5981,0.1799,2.6374,0.1354,4.3461,3.6819,0.8111,0.0000,7.3857,0.0746,1.0000,0.0110,0.5429,0.0000,0.0370,5.896E-6,5.0000,0.0475,0.2962,0.0157,0.1111,7.677E-12,10.0000,0.0997,0.1916,0.0551,0.1111,1.675E-20,1.1082,0.0123,0.5284,0.0000,0.0741,1.751E-5,22.2582,0.2490,0.0905,0.0984,0.2222,7.336E-36,21.4436,0.2367,0.0945,0.0945,0.2222,3.41E-34,21.3478,0.2357,0.0950,0.0906,0.1852,1.451E-37,13.7339,0.1408,0.1482,0.0787,0.1481,3.82E-25,18.0849,0.1928,0.1137,0.0827,0.1481,6.705E-34,4.1496,0.0396,0.3259,0.0079,0.0741,1.444E-11,12.8254,0.1311,0.1572,0.0748,0.1481,1.79E-23
