Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pinus_rigida,897,1.1470,1.3385,500,0.9065,99,1.1911,0.8885,0.0122,10894,1.9925,1.2466,1.6625,0.0193,3.3325,6.1624,3.0232,0.4043,0.0000,3.8619,0.0000,1.0368,6.5999,1.4618,0.6352,0.2188,0.2120,0.1109,0.8199,0.4104,47.1010,2.1379,1.2714,0.7417,0.6913,0.3570,0.0618,9.6087,4.6702,0.1480,0.0000,8.1656,0.1565,1.0000,0.0297,0.5923,0.0011,0.0101,4.149E-16,5.0000,0.1046,0.3947,0.0234,0.0404,6.683E-31,10.0000,0.1824,0.2961,0.0513,0.0808,2.67E-42,0.0184,0.0012,0.8886,0.0000,0.0000,2.128E-4,18.0800,0.2949,0.2116,0.0992,0.1111,1.836E-61,24.7146,0.3662,0.1683,0.1683,0.2020,3.198E-63,21.1080,0.3329,0.1901,0.1126,0.1515,7.139E-63,22.4143,0.3430,0.1818,0.1349,0.1818,7.478E-61,19.3522,0.3096,0.2020,0.1070,0.1111,0E0,2.2340,0.0557,0.5003,0.0067,0.0101,9.844E-23,8.3138,0.1571,0.3228,0.0368,0.0707,2.093E-38
Pinus_rigida,896,1.1429,1.3276,500,0.9059,100,1.1958,0.8886,0.0138,10893,0.6382,1.5504,1.1196,0.0206,2.9389,6.0725,2.4842,0.2003,0.0000,5.2282,0.0073,0.9696,8.0802,1.7920,0.1750,0.1906,0.1185,0.2122,0.7554,0.4664,47.2378,1.1349,1.5665,0.6149,0.9120,0.2975,0.0963,9.8140,5.2414,0.0646,0.0000,8.1723,0.1577,1.0000,0.0296,0.5908,0.0033,0.0200,1.237E-15,5.0000,0.1070,0.3954,0.0179,0.0500,4.008E-30,10.0000,0.1849,0.2990,0.0491,0.0900,6.259E-41,0.0342,0.0021,0.8559,0.0000,0.0000,2.033E-5,18.3268,0.2982,0.2129,0.0982,0.1200,5.196E-60,25.3295,0.3709,0.1674,0.1674,0.1800,0E0,20.2271,0.3185,0.1990,0.1094,0.1200,0E0,24.8500,0.3673,0.1700,0.1585,0.1700,0E0,20.9676,0.3268,0.1939,0.1261,0.1200,0E0,2.4244,0.0594,0.4889,0.0056,0.0300,3.178E-22,8.3155,0.1615,0.3251,0.0368,0.0900,4.353E-36
Pinus_rigida,895,1.1578,1.3438,500,0.9074,101,1.1800,0.8849,0.0137,10893,2.0364,1.5313,0.6302,0.6073,2.6876,5.3423,2.2941,0.0883,0.3793,4.2145,0.0000,0.4789,7.0607,1.5517,0.0981,0.3279,0.1602,0.1410,1.4834,0.3745,48.9355,0.3632,1.2955,0.5474,0.7205,0.3693,0.1360,9.7078,6.2800,0.1569,0.0000,8.1502,0.1541,1.0000,0.0281,0.5827,0.0022,0.0198,2.708E-16,5.0000,0.1077,0.3864,0.0201,0.0594,1.344E-30,10.0000,0.1856,0.2918,0.0425,0.0891,6.225E-43,0.0542,0.0027,0.8310,0.0000,0.0000,2.918E-6,17.4904,0.2867,0.2140,0.0983,0.1386,5.604E-57,24.9248,0.3670,0.1653,0.1654,0.2178,8.055E-63,17.3632,0.2853,0.2150,0.0950,0.1386,1.278E-56,22.6933,0.3454,0.1782,0.1430,0.1782,2.161E-64,15.8877,0.2668,0.2273,0.0860,0.1089,2.384E-57,3.0425,0.0709,0.4506,0.0101,0.0396,3.599E-25,8.2826,0.1607,0.3180,0.0358,0.0891,8.786E-38
Pinus_rigida,896,1.1477,1.3329,500,0.9060,100,1.2168,0.8951,0.0102,10893,1.9192,0.6679,1.3061,0.4035,2.9577,5.4286,3.2291,0.1691,1.1245,4.2944,0.0000,0.6449,6.9243,2.1417,0.7127,0.2315,0.1430,0.1768,0.9860,0.3647,46.8618,0.9070,1.1300,0.6178,1.0281,0.2217,0.1371,9.3658,5.8170,0.0832,0.0050,8.1607,0.1558,1.0000,0.0293,0.5931,0.0033,0.0000,6.042E-17,5.0000,0.1056,0.3938,0.0212,0.0300,2.139E-32,10.0000,0.1832,0.2969,0.0480,0.0500,1.178E-46,0.0510,0.0026,0.8371,0.0000,0.0000,5.153E-6,17.3244,0.2807,0.2177,0.0982,0.1000,1.023E-61,25.0966,0.3671,0.1658,0.1641,0.2100,1.587E-63,19.1801,0.3044,0.2032,0.1105,0.1300,5.872E-62,22.6666,0.3437,0.1799,0.1339,0.1800,1.222E-62,17.8230,0.2873,0.2137,0.1038,0.1000,3.261E-63,3.3254,0.0753,0.4487,0.0100,0.0100,6.961E-28,8.4325,0.1604,0.3213,0.0368,0.0500,1.291E-41
Pinus_rigida,896,1.1637,1.3484,500,0.9074,100,0.9383,0.8578,0.0145,10893,0.9365,1.0540,1.2814,0.0544,3.0175,5.7883,4.1105,0.0764,0.3560,4.8491,0.0094,0.7923,6.4889,1.6860,0.8386,0.2463,0.1626,0.1436,0.7193,2.2120,46.3521,1.1570,0.6767,0.5026,0.5947,0.4158,0.3691,9.0894,5.8592,0.1556,0.0047,8.1441,0.1531,1.0000,0.0296,0.5872,0.0045,0.0100,1.396E-16,5.0000,0.1022,0.3905,0.0223,0.0900,8.924E-27,10.0000,0.1789,0.2927,0.0491,0.1400,5.49E-36,0.0349,0.0020,0.8465,0.0000,0.0000,1.03E-5,17.4508,0.2822,0.2126,0.0982,0.2300,1.465E-42,25.2027,0.3703,0.1623,0.1618,0.3300,1.967E-43,20.1508,0.3173,0.1927,0.1161,0.2800,4.564E-41,15.5322,0.2573,0.2290,0.0859,0.2300,3.188E-38,10.5740,0.1864,0.2845,0.0525,0.1400,1.448E-37,4.1479,0.0891,0.4160,0.0134,0.0600,1.081E-26,8.4954,0.1588,0.3160,0.0379,0.1300,4.84E-33
Pinus_rigida,896,1.1599,1.3442,500,0.9070,100,1.0559,0.8743,0.0141,10893,1.2152,0.2957,1.0804,0.0025,3.0406,6.4488,2.3183,0.2537,0.0000,5.5223,0.0000,0.7491,6.2347,1.7234,1.0093,0.1648,0.1992,0.0863,0.6110,0.4678,48.6324,1.3025,1.2547,0.5169,0.5272,0.2562,0.1725,10.3373,5.4388,0.1344,0.0041,8.1522,0.1544,1.0000,0.0294,0.5870,0.0045,0.0100,1.36E-16,5.0000,0.1051,0.3904,0.0246,0.0500,9.323E-31,10.0000,0.1845,0.2933,0.0525,0.1100,1.519E-39,0.3638,0.0133,0.6828,0.0000,0.0100,2.048E-11,18.7548,0.3004,0.2045,0.0982,0.1700,1.572E-54,24.7459,0.3658,0.1663,0.1663,0.2200,2.355E-61,18.6070,0.2980,0.2056,0.0971,0.1700,3.88E-54,20.0557,0.3141,0.1952,0.1116,0.2000,6.993E-53,16.5617,0.2715,0.2219,0.0848,0.1300,3.763E-55,3.6815,0.0818,0.4314,0.0134,0.0400,6.776E-27,8.3728,0.1584,0.3186,0.0368,0.0900,3.18E-37
Pinus_rigida,896,1.1708,1.3644,500,0.9089,100,0.8993,0.8562,0.0132,10893,1.5415,0.2796,1.4454,0.1759,4.1632,6.5374,2.9633,0.0486,0.0000,5.0978,0.0000,0.5714,6.5000,1.7231,0.1369,0.2715,0.2294,0.1950,0.7357,0.5584,47.1718,1.1077,1.1625,0.7535,0.7422,0.3319,0.1230,9.5087,5.8269,0.0979,0.0000,8.1434,0.1530,1.0000,0.0289,0.5853,0.0033,0.0100,1.071E-16,5.0000,0.1032,0.3891,0.0223,0.0600,6.52E-30,10.0000,0.1785,0.2910,0.0502,0.1400,2.676E-36,0.0594,0.0028,0.8179,0.0000,0.0000,1.185E-6,18.6762,0.2998,0.2029,0.0993,0.2300,1.838E-45,25.6646,0.3763,0.1595,0.1596,0.3100,6.858E-48,18.6265,0.2997,0.2032,0.0960,0.2300,2.393E-45,16.5151,0.2730,0.2200,0.0871,0.2200,5.92E-42,15.1134,0.2570,0.2323,0.0759,0.1700,8.66E-46,2.3491,0.0562,0.4871,0.0078,0.0200,3.064E-23,8.4186,0.1565,0.3158,0.0413,0.1300,4.514E-33
Pinus_rigida,896,1.1409,1.3150,500,0.9043,100,1.2273,0.8949,0.0107,10894,1.5964,1.3436,1.6887,0.0209,2.9120,5.6305,1.9935,1.0714,0.0192,4.8427,0.0000,0.4736,5.6614,1.6952,0.1107,0.2034,0.1712,0.1561,0.7001,0.4477,51.3775,0.9626,0.8788,0.4172,0.8806,0.3570,0.1027,9.6335,4.5696,0.0820,0.0000,8.1739,0.1580,1.0000,0.0302,0.5971,0.0045,0.0000,1.069E-16,5.0000,0.1074,0.4002,0.0190,0.0200,1.308E-32,10.0000,0.1829,0.3024,0.0513,0.0500,1.875E-45,0.0443,0.0024,0.8465,0.0000,0.0000,1.031E-5,17.3211,0.2811,0.2220,0.0993,0.1100,2.036E-58,25.4046,0.3687,0.1674,0.1674,0.2200,8.538E-61,16.2926,0.2684,0.2309,0.0848,0.1100,1.876E-55,21.6650,0.3325,0.1900,0.1395,0.1900,1.473E-56,12.5153,0.2182,0.2695,0.0569,0.0600,6.82E-52,3.2997,0.0760,0.4558,0.0123,0.0200,3.342E-26,8.5207,0.1612,0.3256,0.0446,0.0400,4.633E-42
Pinus_rigida,897,1.1364,1.3142,500,0.9041,99,1.3468,0.9080,0.0087,10895,1.5737,0.2458,1.0106,0.6942,3.3259,5.7124,2.5030,0.2980,0.0000,4.8234,0.0000,0.3884,5.8925,1.6868,0.1514,0.3136,0.1458,0.1629,0.6308,0.5247,49.0680,0.9993,1.3456,0.5573,0.7115,0.3169,0.2085,9.9913,6.6487,0.0691,0.0000,8.1796,0.1587,1.0000,0.0305,0.6011,0.0045,0.0000,2.628E-16,5.0000,0.1069,0.4010,0.0212,0.0000,2.524E-34,10.0000,0.1830,0.3019,0.0569,0.0101,1.378E-50,0.0480,0.0026,0.8419,0.0000,0.0000,8.126E-6,17.5337,0.2838,0.2197,0.0992,0.1212,8.664E-57,24.6792,0.3648,0.1712,0.1717,0.2121,5.762E-60,18.8197,0.3018,0.2095,0.1048,0.1313,9.321E-59,21.9392,0.3372,0.1878,0.1371,0.1919,1.484E-56,9.8411,0.1804,0.3042,0.0557,0.0000,1.755E-51,3.1901,0.0727,0.4623,0.0089,0.0000,3.673E-27,8.4029,0.1584,0.3274,0.0446,0.0000,1.907E-46
Pinus_rigida,899,1.1524,1.3348,500,0.9061,97,1.1307,0.8845,0.0107,10896,1.2425,0.8759,1.5190,0.3491,3.0328,6.1386,2.3817,0.1542,0.0000,5.3611,0.0000,1.7588,6.4734,1.4884,0.2601,0.3181,0.2384,0.1489,0.6173,0.2842,47.3900,0.8165,1.7963,0.6384,0.5314,0.4158,0.0899,9.4692,6.1288,0.0614,0.0197,8.1595,0.1555,1.0000,0.0299,0.5845,0.0033,0.0103,2.808E-16,5.0000,0.1067,0.3924,0.0211,0.0206,1.232E-32,10.0000,0.1825,0.2955,0.0467,0.0309,3.44E-48,0.0362,0.0020,0.8465,0.0000,0.0000,1.366E-5,17.6816,0.2872,0.2147,0.0990,0.0928,2.841E-62,24.6514,0.3624,0.1680,0.1680,0.2784,1.677E-48,17.9247,0.2889,0.2127,0.1001,0.1031,3.264E-61,20.1947,0.3133,0.1959,0.1313,0.1959,8.648E-52,16.7840,0.2765,0.2220,0.0923,0.0825,2.452E-61,2.6828,0.0661,0.4727,0.0089,0.0206,7.901E-24,8.3756,0.1599,0.3209,0.0356,0.0309,7.017E-43
