Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pinus_species,112,2.1616,2.8221,500,0.9709,13,1.1657,0.9022,0.0281,10111,5.5408,2.6558,0.2727,0.9384,9.9630,10.4925,4.5003,2.8954,0.0000,1.3557,0.5655,4.7650,3.0476,5.2326,0.8583,0.6631,0.8450,0.0849,1.2723,11.8359,22.9775,1.1767,0.5972,0.1306,0.6000,2.8321,0.5180,0.3086,2.5605,0.5139,0.0000,7.1419,0.0603,1.0000,0.0092,0.5011,0.0000,0.0000,1.257E-4,5.0000,0.0429,0.2730,0.0089,0.0769,1.664E-6,10.0000,0.0878,0.1795,0.0357,0.1538,3.396E-7,4.0747,0.0344,0.3019,0.0000,0.0769,5.386E-6,19.8698,0.1869,0.0971,0.0982,0.3846,6.495E-6,19.6717,0.1845,0.0982,0.0982,0.3846,7.063E-6,28.4518,0.2786,0.0607,0.1161,0.3846,1.804E-7,11.0833,0.0966,0.1663,0.0536,0.1538,1.503E-7,11.0833,0.0966,0.1663,0.0536,0.1538,1.503E-7,4.0747,0.0344,0.3019,0.0000,0.0769,5.386E-6,15.5128,0.1426,0.1249,0.0804,0.3077,3.289E-6
Pinus_species,112,2.1669,2.8518,500,0.9726,13,0.9785,0.8810,0.0335,10111,6.9539,0.5874,0.0547,1.1012,5.9770,13.6212,4.2919,4.9015,0.0000,2.9647,0.5723,4.4889,2.6791,5.1894,1.2569,0.7970,0.6206,0.0202,0.3568,17.4062,17.0128,1.3661,0.0533,0.0000,0.4718,2.9167,1.1295,0.3307,1.8359,1.0421,0.0000,7.1179,0.0586,1.0000,0.0088,0.5163,0.0000,0.0000,1.851E-4,5.0000,0.0391,0.2807,0.0089,0.1538,3.669E-5,10.0000,0.0802,0.1801,0.0357,0.3077,7.043E-5,2.7916,0.0224,0.3684,0.0000,0.0769,5.363E-5,22.3518,0.2079,0.0816,0.0982,0.5385,3.056E-4,19.9698,0.1805,0.0939,0.0982,0.4615,6.597E-5,18.7246,0.1682,0.1011,0.0714,0.4615,1.064E-4,7.0295,0.0557,0.2303,0.0179,0.2308,5.953E-5,2.6982,0.0217,0.3735,0.0000,0.0000,2.748E-6,5.2862,0.0412,0.2724,0.0089,0.1538,2.69E-5,15.6366,0.1381,0.1219,0.0625,0.3846,3.553E-5
Pinus_species,112,2.1380,2.8205,500,0.9737,13,1.4736,0.9111,0.0366,10111,6.1464,1.9944,0.3165,0.9956,9.5642,10.3930,3.4266,3.8108,0.0000,1.9733,0.6528,4.2275,2.3043,5.4120,1.4181,0.7025,0.8453,0.1455,1.0947,18.5852,17.7841,1.2464,0.3231,0.0000,0.7527,2.8190,0.9552,0.2738,1.3779,0.4482,0.0109,7.1493,0.0606,1.0000,0.0093,0.5106,0.0000,0.0000,1.605E-4,5.0000,0.0422,0.2799,0.0089,0.0769,2.229E-6,10.0000,0.0867,0.1825,0.0179,0.1538,4.041E-7,4.2790,0.0362,0.3020,0.0000,0.0769,5.406E-6,21.1671,0.1976,0.0907,0.0982,0.3077,2.112E-7,20.5228,0.1912,0.0942,0.0982,0.3077,2.919E-7,15.3856,0.1381,0.1272,0.0446,0.2308,2.192E-7,12.4447,0.1088,0.1539,0.0357,0.1538,6.599E-8,9.3066,0.0803,0.1921,0.0179,0.0769,2.696E-8,4.2790,0.0362,0.3020,0.0000,0.0769,5.406E-6,15.5632,0.1403,0.1259,0.0536,0.2308,1.988E-7
Pinus_species,112,2.1138,2.8317,500,0.9746,13,1.9232,0.9276,0.0326,10111,5.2671,2.2256,0.1746,0.4614,8.3696,10.6865,4.3506,4.9474,0.0000,1.1872,1.0295,2.5363,2.1661,5.4875,0.5464,1.2146,1.1098,0.2862,0.7126,17.7665,18.6530,1.1676,0.3342,0.0000,0.9776,3.1130,0.5005,0.3151,3.2811,1.1263,0.0060,7.1525,0.0609,1.0000,0.0098,0.4877,0.0000,0.0000,8.827E-5,5.0000,0.0446,0.2685,0.0089,0.0769,1.374E-6,10.0000,0.0909,0.1777,0.0268,0.1538,3.055E-7,3.8126,0.0336,0.3056,0.0000,0.0769,6.194E-6,26.8570,0.2701,0.0670,0.0982,0.2308,4.291E-10,24.3591,0.2428,0.0763,0.0804,0.2308,1.533E-9,20.1444,0.1945,0.0954,0.0446,0.2308,1.366E-8,12.1259,0.1120,0.1539,0.0357,0.1538,6.599E-8,17.2405,0.1624,0.1123,0.0446,0.1538,2.239E-9,3.8126,0.0336,0.3056,0.0000,0.0769,6.194E-6,15.2648,0.1411,0.1263,0.0446,0.1538,7.955E-9
Pinus_species,112,2.1241,2.7731,500,0.9701,13,1.2824,0.8634,0.0579,10111,2.6479,1.2107,0.0178,0.3310,7.4569,11.4864,5.9895,2.4902,3.0024,1.9186,1.0124,5.7297,3.4549,3.8423,0.5090,0.8243,0.8947,0.0644,0.3722,12.9195,23.2191,1.2334,0.3069,0.0329,0.5245,3.1964,0.7416,0.3290,3.2684,0.9728,0.0000,7.1750,0.0623,1.0000,0.0096,0.5104,0.0000,0.0769,2.15E-3,5.0000,0.0427,0.2822,0.0179,0.1538,3.873E-5,10.0000,0.0868,0.1848,0.0357,0.3077,8.722E-5,1.1881,0.0112,0.4872,0.0000,0.0769,1.279E-3,23.5709,0.2316,0.0817,0.0982,0.3846,1.753E-6,22.3716,0.2192,0.0870,0.0804,0.3846,2.835E-6,21.9478,0.2143,0.0890,0.0714,0.3846,3.362E-6,8.2010,0.0722,0.2118,0.0268,0.2308,2.745E-5,8.1984,0.0721,0.2118,0.0268,0.1538,1.954E-6,4.7711,0.0411,0.2890,0.0089,0.1538,4.954E-5,15.3795,0.1396,0.1292,0.0446,0.3846,5.431E-5
Pinus_species,113,2.1061,2.7602,500,0.9685,12,1.4865,0.9064,0.0346,10112,5.9305,0.6221,1.1287,0.1229,8.3907,12.1623,4.5994,2.6132,0.0000,3.1217,0.6721,4.7906,4.1347,5.0430,1.2741,0.6307,0.6258,0.0112,0.6950,12.9876,19.0163,1.7994,0.5735,0.0000,1.5416,3.6396,1.1505,0.2484,2.0073,0.4445,0.0226,7.1836,0.0628,1.0000,0.0094,0.5145,0.0000,0.0000,3.444E-4,5.0000,0.0430,0.2809,0.0265,0.2500,1.001E-3,10.0000,0.0899,0.1837,0.0442,0.2500,3.057E-5,2.1927,0.0190,0.4017,0.0000,0.0000,1.765E-5,21.9166,0.2099,0.0894,0.0973,0.2500,6.241E-8,20.3840,0.1943,0.0973,0.0973,0.2500,1.308E-7,28.6026,0.2775,0.0620,0.1150,0.2500,2.509E-9,6.1929,0.0536,0.2500,0.0265,0.2500,3.917E-4,28.6026,0.2775,0.0620,0.1150,0.2500,2.509E-9,3.7074,0.0318,0.3243,0.0088,0.0000,1.352E-6,15.3517,0.1435,0.1302,0.0796,0.2500,1.633E-6
Pinus_species,113,2.0771,2.7307,500,0.9710,12,1.8780,0.9448,0.0174,10112,6.5263,1.5761,0.1735,0.1432,9.0894,10.9314,3.7830,3.1882,0.0000,2.7927,0.8201,3.6867,4.1501,5.3465,0.7522,0.7856,0.4274,0.0000,1.0996,10.2647,24.8774,1.7800,0.2380,0.0000,1.2496,2.2566,1.2833,0.5686,1.6711,0.5387,0.0000,7.2626,0.0683,1.0000,0.0104,0.5552,0.0000,0.0000,8.575E-4,5.0000,0.0430,0.3126,0.0088,0.0000,8.707E-7,10.0000,0.0874,0.2065,0.0354,0.0833,2.831E-7,2.9756,0.0265,0.3936,0.0000,0.0000,1.382E-5,27.6298,0.2636,0.0741,0.0973,0.2500,1.201E-8,24.3329,0.2269,0.0885,0.0885,0.2500,5.718E-8,17.4497,0.1605,0.1295,0.0354,0.0833,1.809E-9,22.0015,0.2046,0.1005,0.0708,0.0833,1.148E-10,22.0015,0.2046,0.1005,0.0708,0.0833,1.148E-10,6.2447,0.0534,0.2778,0.0088,0.0000,2.111E-7,15.9746,0.1463,0.1409,0.0354,0.0833,4.548E-9
Pinus_species,113,2.1558,2.8678,500,0.9756,12,1.4526,0.8741,0.0513,10112,5.7393,1.8701,0.8811,0.3228,7.7838,12.7545,5.9379,3.3764,0.0000,0.9950,0.5802,3.8150,2.6864,5.8210,1.8114,0.7398,0.6890,0.0592,0.6170,14.4275,18.2185,1.0662,0.7875,0.0000,0.5229,3.8728,1.2647,0.3470,2.5656,0.4307,0.0167,7.1566,0.0610,1.0000,0.0094,0.5043,0.0000,0.0833,3.459E-3,5.0000,0.0412,0.2755,0.0088,0.1667,9.353E-5,10.0000,0.0878,0.1787,0.0265,0.1667,1.538E-6,3.7235,0.0312,0.3189,0.0000,0.0833,2.949E-5,25.5343,0.2509,0.0710,0.0885,0.5000,8.135E-5,23.3839,0.2301,0.0796,0.0796,0.5000,1.542E-4,18.5847,0.1786,0.1034,0.0354,0.4167,6.256E-5,10.9751,0.0971,0.1666,0.0265,0.1667,7.845E-7,12.1399,0.1086,0.1537,0.0354,0.1667,3.59E-7,3.7235,0.0312,0.3189,0.0000,0.0833,2.949E-5,15.1408,0.1400,0.1268,0.0354,0.4167,2.322E-4
Pinus_species,113,2.1225,2.8268,500,0.9741,12,1.5740,0.8998,0.0456,10113,3.5902,0.8136,2.1155,0.6919,6.6789,12.8120,4.0659,3.6177,0.0000,2.8903,0.3934,5.1545,3.6554,3.9343,0.8221,0.7380,0.8648,0.0565,0.4704,20.6468,16.3962,1.2976,0.2254,0.0000,0.8714,2.6841,1.2381,0.2603,2.2494,0.7655,0.0000,7.1732,0.0621,1.0000,0.0095,0.4968,0.0000,0.0833,2.973E-3,5.0000,0.0449,0.2710,0.0088,0.0833,5.229E-6,10.0000,0.0913,0.1795,0.0265,0.1667,1.603E-6,1.9475,0.0174,0.4041,0.0000,0.0833,3.548E-4,25.2143,0.2483,0.0736,0.0973,0.4167,6.629E-6,23.4835,0.2302,0.0808,0.0885,0.3333,6.669E-7,23.4835,0.2302,0.0808,0.0708,0.3333,6.669E-7,11.0711,0.1024,0.1666,0.0265,0.1667,7.838E-7,17.0120,0.1608,0.1155,0.0442,0.1667,2.233E-8,5.3804,0.0490,0.2611,0.0088,0.0833,3.517E-6,15.1530,0.1450,0.1288,0.0354,0.1667,6.487E-8
Pinus_species,113,2.0595,2.7704,500,0.9724,12,2.5550,0.9678,0.0118,10112,4.9312,3.1737,0.5956,0.7699,7.6058,12.7953,5.6775,2.5869,0.0000,1.3768,0.7806,4.5991,3.8326,6.0834,0.6633,0.9624,0.4554,0.0000,1.2241,16.7901,13.7697,1.9351,0.2959,0.0000,1.0167,3.0041,1.4427,0.5293,1.9592,1.1390,0.0047,7.2292,0.0660,1.0000,0.0102,0.5244,0.0000,0.0000,4.327E-4,5.0000,0.0448,0.2921,0.0088,0.0000,3.863E-7,10.0000,0.0900,0.1940,0.0265,0.0000,2.847E-9,1.3135,0.0125,0.4871,0.0000,0.0000,1.786E-4,27.8323,0.2766,0.0696,0.0973,0.1667,1.549E-10,25.2265,0.2490,0.0796,0.0796,0.1667,5.806E-10,24.9403,0.2464,0.0808,0.0708,0.1667,6.717E-10,22.3167,0.2157,0.0927,0.0708,0.0833,4.749E-11,15.4013,0.1422,0.1368,0.0442,0.0000,4.284E-11,5.7675,0.0517,0.2715,0.0088,0.0000,1.601E-7,15.4525,0.1426,0.1364,0.0442,0.0833,3.186E-9
