Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Plagodis_serinaria,62,3.0108,3.8595,500,0.9864,7,3.8420,0.9873,0.0089,10062,9.5125,9.6573,3.0224,0.0257,2.8484,38.4103,0.5803,1.7688,0.4354,4.0431,0.0247,2.8318,6.5268,1.0672,9.7730,1.6592,0.0241,0.0112,0.7716,0.0157,1.9244,1.5583,0.6305,0.0000,0.0000,1.5105,0.3834,0.7543,0.2133,0.0157,0.0000,6.2820,0.0242,1.0000,0.0033,0.5348,0.0000,0.0000,1.251E-2,5.0000,0.0149,0.2517,0.0000,0.0000,6.407E-5,10.0000,0.0341,0.1375,0.0323,0.0000,9.315E-7,7.3691,0.0231,0.1856,0.0000,0.0000,7.601E-6,30.9880,0.2357,0.0184,0.0968,0.1429,2.661E-10,16.6550,0.0745,0.0703,0.0806,0.1429,7.916E-7,30.9880,0.2357,0.0184,0.0968,0.1429,2.661E-10,16.6550,0.0745,0.0703,0.0484,0.0000,8.456E-9,16.6550,0.0745,0.0703,0.0484,0.0000,8.456E-9,6.6863,0.0208,0.2019,0.0000,0.0000,1.37E-5,19.7177,0.0983,0.0531,0.0806,0.1429,1.493E-7
Plagodis_serinaria,62,2.9820,3.8598,500,0.9879,7,4.2188,0.9970,0.0009,10062,8.3631,3.4599,3.6676,0.0489,4.0900,41.3490,1.0682,3.5955,0.1808,1.8114,0.0163,2.4991,6.8754,1.3922,10.7495,1.7568,0.0594,0.0140,0.8400,0.0110,1.8531,2.0971,0.3271,0.0000,0.0420,2.3635,0.3331,0.7441,0.2125,0.1792,0.0000,6.2978,0.0247,1.0000,0.0034,0.5369,0.0000,0.0000,1.286E-2,5.0000,0.0150,0.2541,0.0000,0.0000,6.844E-5,10.0000,0.0345,0.1397,0.0323,0.0000,1.04E-6,6.3322,0.0199,0.2137,0.0000,0.0000,2.034E-5,33.5644,0.2907,0.0153,0.0968,0.0000,1.967E-13,20.3326,0.1020,0.0507,0.0484,0.0000,8.594E-10,32.3539,0.2689,0.0169,0.0645,0.0000,3.93E-13,45.7050,0.5664,0.0058,0.2258,0.0000,2.114E-16,45.7050,0.5664,0.0058,0.2258,0.0000,2.114E-16,6.3322,0.0199,0.2137,0.0000,0.0000,2.034E-5,19.6833,0.0967,0.0540,0.0484,0.0000,1.333E-9
Plagodis_serinaria,62,3.0544,3.8989,500,0.9871,7,2.6993,0.9110,0.0711,10062,4.6058,6.4611,6.5627,0.4710,3.0579,38.5829,0.9038,4.3835,0.3424,2.4626,0.0018,3.1532,6.1492,1.2331,10.7875,1.6732,0.0083,0.0199,0.6422,0.0000,2.2564,1.8928,0.4254,0.1300,0.0278,2.3476,0.3874,0.7767,0.1613,0.0922,0.0000,6.2173,0.0225,1.0000,0.0031,0.5233,0.0000,0.1429,7.924E-2,5.0000,0.0144,0.2425,0.0000,0.1429,1.128E-3,10.0000,0.0330,0.1310,0.0323,0.1429,3.139E-5,6.0719,0.0178,0.2099,0.0000,0.1429,4.909E-4,31.0047,0.2345,0.0163,0.0968,0.2857,2.35E-8,18.1639,0.0829,0.0568,0.0484,0.1429,2.247E-7,18.1639,0.0829,0.0568,0.0484,0.1429,2.247E-7,9.2362,0.0294,0.1428,0.0323,0.1429,5.212E-5,18.1639,0.0829,0.0568,0.0484,0.1429,2.247E-7,6.0719,0.0178,0.2099,0.0000,0.1429,4.909E-4,19.5643,0.0951,0.0498,0.0806,0.2857,5.905E-6
Plagodis_serinaria,62,2.9910,3.8500,500,0.9877,7,4.0022,0.9962,0.0014,10062,7.7207,4.3123,2.0005,2.6283,4.6171,36.4318,1.1994,3.0812,0.2288,1.7004,0.0050,2.1502,6.6365,1.2326,15.2716,1.9386,0.1226,0.0421,0.4969,0.0000,2.1861,1.7373,0.4049,0.0000,0.0000,2.5408,0.3565,0.6569,0.1325,0.1682,0.0000,6.2734,0.0240,1.0000,0.0033,0.5412,0.0000,0.0000,1.361E-2,5.0000,0.0145,0.2560,0.0000,0.0000,7.208E-5,10.0000,0.0335,0.1396,0.0323,0.0000,1.035E-6,6.6411,0.0199,0.2063,0.0000,0.0000,1.591E-5,35.6555,0.3113,0.0120,0.0968,0.0000,3.637E-14,17.7157,0.0776,0.0645,0.0645,0.0000,4.644E-9,30.7836,0.2412,0.0188,0.0645,0.0000,8.25E-13,37.5466,0.3496,0.0100,0.1452,0.0000,1.027E-14,37.5466,0.3496,0.0100,0.1452,0.0000,1.027E-14,6.6411,0.0199,0.2063,0.0000,0.0000,1.591E-5,19.8239,0.0956,0.0527,0.0645,0.0000,1.125E-9
Plagodis_serinaria,62,3.0712,3.9030,500,0.9868,7,1.9168,0.9111,0.0611,10062,8.1557,4.2225,2.6638,3.3197,4.0739,41.9953,0.5957,2.9412,0.7699,1.2323,0.0150,2.3895,7.1608,1.0994,8.1721,1.5386,0.0540,0.0000,0.7263,0.0000,2.3914,1.8695,0.3533,0.0079,0.0749,3.0667,0.2679,0.4715,0.2029,0.1683,0.0000,6.1923,0.0218,1.0000,0.0030,0.5402,0.0000,0.0000,1.342E-2,5.0000,0.0134,0.2525,0.0000,0.1429,1.423E-3,10.0000,0.0309,0.1364,0.0323,0.1429,3.973E-5,6.7677,0.0191,0.1996,0.0000,0.1429,3.665E-4,33.0386,0.2659,0.0128,0.0968,0.4286,9.168E-7,18.8805,0.0815,0.0548,0.0484,0.2857,9.419E-6,18.8805,0.0815,0.0548,0.0484,0.2857,9.419E-6,9.5879,0.0295,0.1428,0.0323,0.1429,5.212E-5,16.5857,0.0665,0.0687,0.0484,0.1429,6.911E-7,6.7677,0.0191,0.1996,0.0000,0.1429,3.665E-4,20.0862,0.0891,0.0485,0.0806,0.4286,1.72E-4
Plagodis_serinaria,62,3.1571,4.0718,500,0.9910,7,2.3104,0.8373,0.0968,10062,6.4815,3.8489,1.4114,4.2371,3.2566,34.9361,1.1547,3.0077,0.5496,1.1601,0.0038,2.0329,9.6362,1.0171,13.6833,1.7064,0.1185,0.0292,0.8049,0.0292,2.8425,1.7476,0.4788,0.0000,0.0741,3.7826,0.2860,1.3870,0.2051,0.0909,0.0000,6.1392,0.0208,1.0000,0.0030,0.4555,0.0000,0.2857,1.602E-1,5.0000,0.0152,0.1997,0.0000,0.2857,4.636E-3,10.0000,0.0375,0.1058,0.0323,0.2857,2.32E-4,6.0398,0.0191,0.1719,0.0000,0.2857,2.318E-3,35.7368,0.3557,0.0096,0.0806,0.2857,1.72E-9,22.0296,0.1349,0.0323,0.0323,0.2857,6.991E-7,28.9051,0.2319,0.0173,0.0323,0.2857,3.155E-8,2.8690,0.0082,0.2857,0.0000,0.2857,2.328E-2,38.6193,0.4518,0.0078,0.1290,0.2857,5.803E-10,5.7534,0.0180,0.1790,0.0000,0.2857,2.795E-3,18.2571,0.0954,0.0460,0.0323,0.2857,4.006E-6
Plagodis_serinaria,62,2.9682,3.8497,500,0.9863,7,4.3685,0.9969,0.0009,10062,4.7173,5.8796,1.8126,1.4856,4.0166,43.0077,1.4444,1.3835,0.3277,1.3231,0.0120,3.1999,8.6417,1.1669,10.6171,1.6905,0.0987,0.0000,0.6732,0.0000,1.1663,1.8251,0.1871,0.0000,0.0574,3.2943,0.4261,1.2393,0.2211,0.0318,0.0534,6.2860,0.0244,1.0000,0.0034,0.5251,0.0000,0.0000,1.101E-2,5.0000,0.0154,0.2462,0.0000,0.0000,5.479E-5,10.0000,0.0353,0.1341,0.0323,0.0000,7.786E-7,5.6204,0.0176,0.2264,0.0000,0.0000,3.048E-5,31.3467,0.2484,0.0182,0.0968,0.0000,6.582E-13,17.4358,0.0821,0.0645,0.0645,0.0000,4.644E-9,28.4649,0.2032,0.0235,0.0645,0.0000,3.905E-12,44.4799,0.5939,0.0064,0.1613,0.0000,4.212E-16,44.4799,0.5939,0.0064,0.1613,0.0000,4.212E-16,5.6204,0.0176,0.2264,0.0000,0.0000,3.048E-5,19.5088,0.0986,0.0533,0.0645,0.0000,1.217E-9
Plagodis_serinaria,62,3.2031,4.0977,500,0.9940,7,0.8880,0.7872,0.1262,10062,7.7266,3.2522,3.1576,1.7177,3.0865,44.9705,0.7418,4.0920,1.2752,3.1983,0.0000,3.3248,7.5102,1.4954,4.3431,1.4666,0.0945,0.0000,0.5972,0.0513,1.8673,1.8327,0.1523,0.0000,0.0000,2.0881,0.9765,0.7042,0.1883,0.0891,0.0000,6.0713,0.0192,1.0000,0.0027,0.4911,0.0000,0.2857,2.122E-1,5.0000,0.0128,0.2166,0.0000,0.2857,6.727E-3,10.0000,0.0316,0.1112,0.0000,0.2857,2.942E-4,15.4650,0.0617,0.0606,0.0000,0.2857,1.55E-5,30.9865,0.2756,0.0125,0.0806,0.4286,8.35E-7,21.4480,0.1114,0.0323,0.0323,0.2857,6.991E-7,20.3159,0.1011,0.0364,0.0161,0.2857,1.257E-6,3.3354,0.0082,0.2857,0.0000,0.2857,2.328E-2,30.5209,0.2595,0.0130,0.0806,0.2857,7.686E-9,6.2959,0.0169,0.1793,0.0000,0.2857,2.817E-3,18.7169,0.0867,0.0430,0.0161,0.2857,2.881E-6
Plagodis_serinaria,62,3.0810,3.9779,500,0.9863,7,2.7758,0.9724,0.0184,10062,5.4637,5.2483,2.1405,3.3032,4.1684,43.3401,1.0902,1.5343,1.1671,1.3842,0.0854,3.7598,7.9543,1.0327,8.1097,1.5970,0.0523,0.0000,0.7541,0.0523,1.5332,2.7050,0.3091,0.0000,0.0226,1.8659,0.2696,0.7725,0.2305,0.0542,0.0000,6.1558,0.0210,1.0000,0.0030,0.5059,0.0000,0.0000,8.477E-3,5.0000,0.0138,0.2291,0.0000,0.0000,3.311E-5,10.0000,0.0327,0.1209,0.0484,0.1429,1.955E-5,5.4873,0.0151,0.2136,0.0000,0.0000,2.027E-5,32.0742,0.2874,0.0130,0.0806,0.2857,7.686E-9,15.8345,0.0674,0.0645,0.0645,0.1429,4.762E-7,32.0742,0.2874,0.0130,0.0806,0.2857,7.686E-9,8.5749,0.0267,0.1428,0.0484,0.1429,5.212E-5,8.4036,0.0258,0.1457,0.0323,0.0000,1.394E-6,5.4873,0.0151,0.2136,0.0000,0.0000,2.027E-5,19.0090,0.0908,0.0468,0.0645,0.1429,7.069E-8
Plagodis_serinaria,63,3.1754,3.9836,500,0.9846,6,0.5074,0.8154,0.1475,10063,4.7652,4.5401,4.7652,2.4640,2.3187,42.7310,1.0228,1.1502,1.0424,1.9754,0.0175,3.4792,8.1475,1.3036,4.5274,1.7939,0.0185,0.0000,0.5490,0.0000,2.3815,3.5818,0.8049,0.0221,1.8430,2.3997,0.0839,0.3927,1.8625,0.0000,0.0163,6.0886,0.0197,1.0000,0.0029,0.4468,0.0000,0.1667,6.705E-2,5.0000,0.0147,0.1970,0.0317,0.1667,1.487E-3,10.0000,0.0352,0.1043,0.0476,0.3333,1.494E-3,2.0510,0.0056,0.3351,0.0000,0.1667,1.827E-2,32.3412,0.2990,0.0118,0.0794,0.3333,2.878E-7,14.7190,0.0646,0.0635,0.0635,0.3333,2.198E-4,32.3412,0.2990,0.0118,0.0794,0.3333,2.878E-7,6.1928,0.0193,0.1667,0.0317,0.1667,6.641E-4,9.9273,0.0348,0.1052,0.0317,0.1667,7.065E-5,2.0510,0.0056,0.3351,0.0000,0.1667,1.827E-2,18.4695,0.0913,0.0437,0.0635,0.3333,5.106E-5
