Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Poaceae_genus_species,99,2.2371,2.8851,500,0.9663,11,1.1525,0.8359,0.0597,10099,3.9721,2.5537,1.6898,0.7205,2.8711,16.4274,7.8436,10.3869,0.4499,6.0981,0.0514,2.2738,22.0170,3.0051,0.6706,1.0749,0.3203,0.5466,0.9919,4.1606,6.9392,1.1961,0.4802,0.1263,0.4214,0.5858,0.5171,0.0000,0.5695,1.0325,0.0066,7.0741,0.0568,1.0000,0.0091,0.6130,0.0000,0.0000,4.595E-3,5.0000,0.0330,0.3736,0.0303,0.1818,3.445E-3,10.0000,0.0585,0.2497,0.0303,0.1818,1.25E-4,1.0677,0.0096,0.6046,0.0000,0.0000,3.947E-3,26.6232,0.1743,0.0777,0.0909,0.4545,7.227E-5,24.8330,0.1586,0.0882,0.0909,0.4545,1.473E-4,29.4303,0.2034,0.0636,0.1010,0.4545,2.306E-5,11.5875,0.0679,0.2220,0.0404,0.1818,4.616E-5,11.5875,0.0679,0.2220,0.0404,0.1818,4.616E-5,3.5449,0.0254,0.4304,0.0101,0.1818,1.051E-2,20.8015,0.1263,0.1168,0.0606,0.4545,6.954E-4
Poaceae_genus_species,99,2.1941,2.8516,500,0.9694,11,2.4343,0.8857,0.0571,10099,5.0371,4.1335,3.3735,1.2589,3.9621,18.1393,7.0826,4.8190,0.0141,2.9249,0.0152,0.9766,22.7431,3.5060,0.9915,1.0914,0.2022,0.9327,0.8027,1.0853,10.9771,1.1177,0.5457,0.2288,0.1944,0.4876,0.8314,0.3407,1.0271,1.1581,0.0000,7.1328,0.0601,1.0000,0.0099,0.6133,0.0000,0.0000,4.62E-3,5.0000,0.0363,0.3805,0.0101,0.1818,3.989E-3,10.0000,0.0629,0.2577,0.0202,0.1818,1.63E-4,2.9597,0.0236,0.4635,0.0000,0.0909,2.913E-3,25.2515,0.1612,0.0909,0.0909,0.2727,5.975E-7,25.2515,0.1612,0.0909,0.0909,0.2727,5.975E-7,23.0190,0.1455,0.1061,0.0606,0.2727,1.976E-6,11.7340,0.0722,0.2281,0.0202,0.2727,6.15E-4,40.1563,0.3566,0.0296,0.2020,0.2727,8.993E-11,2.9597,0.0236,0.4635,0.0000,0.0909,2.913E-3,20.7560,0.1281,0.1240,0.0606,0.2727,6.49E-6
Poaceae_genus_species,99,2.2729,2.9237,500,0.9710,11,0.2351,0.8069,0.0522,10099,3.1448,1.7707,1.8101,1.0482,3.3631,18.8723,7.4268,6.4198,0.3867,4.4904,0.0000,1.2826,24.7316,3.3614,0.6409,1.8080,0.2688,0.6593,0.6437,2.2311,9.4260,1.3402,0.5768,0.3373,0.2155,0.5782,0.5941,0.2523,0.8846,1.4131,0.0216,7.0232,0.0539,1.0000,0.0086,0.6024,0.0000,0.0909,3.133E-2,5.0000,0.0328,0.3661,0.0101,0.1818,2.927E-3,10.0000,0.0589,0.2463,0.0303,0.1818,1.111E-4,1.1153,0.0095,0.5884,0.0000,0.0909,2.544E-2,29.7075,0.1939,0.0611,0.0909,0.7273,2.597E-2,25.9477,0.1585,0.0808,0.0808,0.7273,5.321E-2,29.6005,0.1929,0.0616,0.0808,0.7273,2.652E-2,10.4447,0.0612,0.2385,0.0303,0.2727,8.485E-4,10.4431,0.0612,0.2385,0.0303,0.1818,8.488E-5,6.9596,0.0426,0.3101,0.0101,0.1818,7.597E-4,21.4782,0.1253,0.1111,0.0606,0.7273,1.146E-1
Poaceae_genus_species,99,2.1568,2.8213,500,0.9658,11,2.3593,0.9330,0.0255,10099,5.0536,1.7356,1.8469,1.6322,3.3515,20.1064,5.9717,3.2151,0.0000,4.5726,0.0000,1.8521,24.0987,1.8496,2.7344,0.9214,0.1814,2.2813,0.9916,3.4717,8.9871,1.1211,0.3138,0.8904,0.0515,0.7294,0.6857,0.1633,0.3537,0.8363,0.0000,7.1767,0.0630,1.0000,0.0103,0.6211,0.0000,0.0000,5.302E-3,5.0000,0.0374,0.3887,0.0202,0.0000,3.056E-5,10.0000,0.0661,0.2682,0.0404,0.0000,5.174E-7,3.9288,0.0310,0.4278,0.0000,0.0000,8.775E-5,26.7013,0.1706,0.0879,0.0909,0.3636,9.742E-6,26.2359,0.1666,0.0909,0.0909,0.3636,1.216E-5,22.5923,0.1409,0.1169,0.0505,0.2727,4.154E-6,15.8772,0.0987,0.1818,0.0505,0.1818,8.35E-6,12.1439,0.0778,0.2323,0.0404,0.0000,1.063E-7,3.9288,0.0310,0.4278,0.0000,0.0000,8.775E-5,21.0641,0.1312,0.1295,0.0505,0.2727,9.058E-6
Poaceae_genus_species,99,2.2430,2.8543,500,0.9644,11,1.3219,0.8587,0.0712,10099,1.8982,5.5244,3.8117,0.7678,2.6328,17.6427,5.5803,8.2062,0.9390,2.2134,0.0883,1.5090,26.4550,1.4310,0.9805,0.8639,0.1435,1.0206,0.6115,5.8906,6.2212,0.8233,0.2511,0.4125,0.3050,0.4058,0.9574,0.2178,1.3799,0.7331,0.0825,7.0604,0.0557,1.0000,0.0091,0.6113,0.0000,0.0909,3.564E-2,5.0000,0.0342,0.3823,0.0303,0.0909,4.788E-4,10.0000,0.0587,0.2607,0.0404,0.1818,1.795E-4,2.2702,0.0183,0.5023,0.0000,0.0909,6.114E-3,25.3839,0.1485,0.0877,0.0909,0.3636,9.597E-6,24.9260,0.1451,0.0909,0.0909,0.3636,1.216E-5,27.9088,0.1685,0.0723,0.1010,0.3636,2.621E-6,15.0227,0.0830,0.1838,0.0404,0.1818,9.166E-6,15.0227,0.0830,0.1838,0.0404,0.1818,9.166E-6,2.2702,0.0183,0.5023,0.0000,0.0909,6.114E-3,21.7045,0.1216,0.1153,0.0707,0.3636,5.836E-5
Poaceae_genus_species,99,2.1867,2.8454,500,0.9682,11,1.0665,0.8484,0.0753,10099,3.5988,3.2562,3.1224,0.9140,3.6151,14.2561,6.8130,7.7100,0.0000,3.7992,0.0000,1.8778,28.0731,2.3877,1.2819,1.0211,0.2219,0.1304,1.0036,5.7287,5.2286,2.5990,0.3062,0.1440,0.4426,0.8126,0.3010,0.1272,0.5275,0.6980,0.0023,7.1141,0.0592,1.0000,0.0094,0.6211,0.0000,0.0909,4.089E-2,5.0000,0.0349,0.3836,0.0101,0.0909,4.943E-4,10.0000,0.0621,0.2611,0.0303,0.1818,1.818E-4,4.3614,0.0313,0.4064,0.0000,0.0909,8.519E-4,24.8510,0.1560,0.0960,0.0909,0.3636,1.753E-5,24.8660,0.1560,0.0960,0.1010,0.3636,1.753E-5,32.0025,0.2191,0.0571,0.1212,0.3636,5.343E-7,12.3441,0.0745,0.2220,0.0303,0.1818,4.616E-5,20.8837,0.1273,0.1257,0.0606,0.2727,7.193E-6,4.3614,0.0313,0.4064,0.0000,0.0909,8.519E-4,21.3678,0.1303,0.1217,0.0606,0.3636,8.326E-5
Poaceae_genus_species,99,2.1221,2.8338,500,0.9641,11,1.7696,0.9015,0.0538,10099,2.5149,3.0376,2.2598,0.9726,3.8795,18.1688,8.8733,7.0040,3.0071,1.3609,0.0000,1.9774,24.7600,2.7696,1.5178,0.9332,0.1321,0.7457,0.6418,4.0493,4.8173,2.3722,0.3769,0.0746,0.3972,0.6178,0.4797,0.2459,0.9964,0.9648,0.0518,7.1862,0.0642,1.0000,0.0101,0.6414,0.0000,0.0000,7.552E-3,5.0000,0.0372,0.4000,0.0101,0.0909,7.347E-4,10.0000,0.0650,0.2748,0.0303,0.1818,2.786E-4,3.1317,0.0252,0.4773,0.0000,0.0909,3.819E-3,25.4791,0.1638,0.0998,0.0909,0.1818,4.48E-8,25.4940,0.1641,0.0998,0.1010,0.1818,4.48E-8,25.4791,0.1638,0.0998,0.0909,0.1818,4.48E-8,16.2314,0.1002,0.1818,0.0505,0.1818,8.35E-6,39.7935,0.3230,0.0355,0.1919,0.1818,4.672E-12,3.1317,0.0252,0.4773,0.0000,0.0909,3.819E-3,21.3486,0.1344,0.1308,0.0808,0.1818,4.8E-7
Poaceae_genus_species,99,2.1170,2.7680,500,0.9610,11,2.4598,0.9444,0.0308,10099,6.4174,0.2274,1.8752,1.5827,4.6240,18.6972,2.4316,4.8553,0.0000,5.3715,0.0032,2.1293,27.3846,3.2195,0.8413,1.3009,0.1591,0.1104,0.5403,0.7007,10.9941,1.1863,0.4769,0.4476,0.1405,0.4451,0.6082,0.1492,1.8823,1.1942,0.0039,7.1787,0.0633,1.0000,0.0104,0.6683,0.0000,0.0000,1.187E-2,5.0000,0.0354,0.4294,0.0202,0.0000,9.163E-5,10.0000,0.0603,0.2971,0.0303,0.0909,4.296E-5,2.5755,0.0216,0.5383,0.0000,0.0000,1.099E-3,25.0669,0.1445,0.1077,0.0909,0.0909,2.09E-9,25.9644,0.1503,0.1010,0.1010,0.0909,1.104E-9,23.2243,0.1327,0.1225,0.0707,0.0909,7.431E-9,26.0893,0.1509,0.1000,0.1010,0.0909,1.001E-9,26.0893,0.1509,0.1000,0.1010,0.0909,1.001E-9,2.5755,0.0216,0.5383,0.0000,0.0000,1.099E-3,22.3916,0.1272,0.1298,0.0707,0.0909,1.319E-8
Poaceae_genus_species,99,2.2461,2.9153,500,0.9727,11,1.3434,0.8390,0.0635,10099,3.0440,3.5912,4.1440,1.6597,2.3589,15.9225,6.3368,7.0313,0.0034,3.2930,0.0058,1.7924,25.9932,2.1766,0.5692,1.0548,0.2572,1.1254,0.7254,1.7791,11.8150,1.2687,0.5823,0.2385,0.1115,0.3947,0.5843,0.2532,1.2338,0.6284,0.0257,7.0832,0.0570,1.0000,0.0092,0.6055,0.0000,0.0909,3.276E-2,5.0000,0.0339,0.3685,0.0101,0.1818,3.083E-3,10.0000,0.0612,0.2474,0.0202,0.2727,1.101E-3,4.5884,0.0314,0.3828,0.0000,0.1818,4.183E-3,25.0581,0.1577,0.0860,0.0909,0.4545,1.28E-4,24.3188,0.1525,0.0909,0.0909,0.4545,1.74E-4,22.4088,0.1379,0.1043,0.0606,0.4545,3.725E-4,9.5612,0.0588,0.2555,0.0202,0.2727,1.387E-3,9.5601,0.0588,0.2555,0.0202,0.1818,1.513E-4,4.5884,0.0314,0.3828,0.0000,0.1818,4.183E-3,20.6445,0.1256,0.1179,0.0606,0.4545,7.315E-4
Poaceae_genus_species,99,2.3209,2.9912,500,0.9717,11,0.4645,0.7903,0.0876,10099,2.8183,4.4276,1.0094,0.5219,4.0480,18.6160,5.5010,5.1997,0.9339,4.8755,0.0000,1.4341,27.3070,3.4048,0.3788,1.0488,0.2481,0.1170,0.7733,6.2220,5.0252,1.9195,0.1966,0.7750,0.2420,0.3710,0.6781,0.1001,1.1106,0.6803,0.0167,6.9616,0.0499,1.0000,0.0081,0.5853,0.0000,0.1818,1.005E-1,5.0000,0.0317,0.3554,0.0202,0.2727,1.355E-2,10.0000,0.0551,0.2374,0.0202,0.2727,8.186E-4,1.6597,0.0126,0.5181,0.0000,0.1818,4.245E-2,27.3374,0.1694,0.0646,0.0909,0.5455,3.724E-4,26.2010,0.1590,0.0707,0.0707,0.5455,5.679E-4,25.4256,0.1537,0.0751,0.0606,0.5455,7.484E-4,8.1869,0.0468,0.2727,0.0202,0.2727,2.203E-3,21.0975,0.1156,0.1045,0.0404,0.2727,1.748E-6,6.7581,0.0401,0.3057,0.0202,0.2727,4.884E-3,21.0975,0.1156,0.1045,0.0404,0.2727,1.748E-6
