Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Polytrichum_pallidisetum,41,3.6277,4.1510,500,0.9945,5,3.2018,0.9763,0.0180,10041,5.7034,3.8555,2.3849,2.4352,5.9885,4.2231,2.7891,10.7013,0.1103,0.0559,0.0000,1.4508,8.2977,1.2105,0.2364,0.7771,0.0929,0.0692,0.0222,47.5222,0.1708,0.9444,0.0000,0.1343,0.1316,0.0648,0.1093,0.0209,0.4977,0.0000,0.0000,5.5928,0.0124,1.0000,0.0042,0.1405,0.0000,0.0000,5.48E-5,5.0000,0.0317,0.0562,0.0000,0.2000,4.753E-5,10.0000,0.0850,0.0327,0.0244,0.2000,5.544E-6,9.0558,0.0770,0.0355,0.0000,0.2000,7.677E-6,25.1221,0.2881,0.0124,0.0976,0.2000,1.189E-7,13.7396,0.1355,0.0244,0.0244,0.2000,1.738E-6,9.0558,0.0770,0.0355,0.0000,0.2000,7.677E-6,1.8464,0.0087,0.1040,0.0000,0.2000,5.357E-4,1.8443,0.0087,0.1040,0.0000,0.0000,1.215E-5,2.1632,0.0106,0.0952,0.0000,0.2000,3.796E-4,12.4968,0.1167,0.0267,0.0244,0.2000,2.483E-6
Polytrichum_pallidisetum,41,3.7335,4.2262,500,0.9950,5,1.8936,0.9493,0.0310,10041,2.3132,1.3171,2.6137,1.4164,2.4658,4.7216,4.1774,3.8433,0.3873,1.6151,0.0000,1.4451,7.5190,0.0864,0.0000,0.5427,0.0498,0.2470,0.0000,59.5636,3.0011,1.3115,0.0000,0.0411,0.0000,0.3772,0.0000,0.4856,0.3371,0.1219,0.0000,5.5030,0.0114,1.0000,0.0046,0.1173,0.0000,0.2000,8.583E-4,5.0000,0.0358,0.0479,0.0000,0.4000,1.022E-3,10.0000,0.0915,0.0289,0.0000,0.4000,2.306E-4,10.3115,0.0954,0.0282,0.0000,0.4000,2.145E-4,22.7676,0.2524,0.0125,0.0976,0.4000,1.939E-5,12.2298,0.1223,0.0244,0.0244,0.4000,1.4E-4,10.3115,0.0954,0.0282,0.0000,0.4000,2.145E-4,0.3241,0.0013,0.1829,0.0000,0.2000,4.782E-3,0.3240,0.0013,0.1829,0.0000,0.0000,2.05E-4,1.7838,0.0097,0.0886,0.0000,0.2000,2.867E-4,12.2298,0.1223,0.0244,0.0244,0.4000,1.4E-4
Polytrichum_pallidisetum,41,3.5854,4.0700,500,0.9936,5,3.3564,0.9893,0.0041,10041,3.7572,5.4876,2.0429,2.7932,3.2286,3.9131,0.9839,5.9829,0.1335,1.4227,0.0000,2.1845,4.3960,0.3458,0.0000,1.4369,0.0172,0.4880,0.0408,55.4182,3.5212,0.8766,0.0000,0.0085,0.0477,0.0000,0.0498,0.4334,0.8375,0.1524,0.0000,5.6365,0.0130,1.0000,0.0042,0.1460,0.0000,0.0000,6.634E-5,5.0000,0.0346,0.0592,0.0000,0.0000,7.245E-7,10.0000,0.0813,0.0352,0.0244,0.0000,5.37E-8,7.1566,0.0552,0.0459,0.0000,0.0000,2.04E-7,23.8408,0.2867,0.0139,0.0976,0.4000,2.654E-5,12.2982,0.1110,0.0292,0.0244,0.0000,2.116E-8,7.1566,0.0552,0.0459,0.0000,0.0000,2.04E-7,13.4301,0.1204,0.0267,0.0488,0.0000,1.355E-8,13.4301,0.1204,0.0267,0.0488,0.0000,1.355E-8,2.1958,0.0110,0.0980,0.0000,0.0000,9.038E-6,12.8939,0.1160,0.0279,0.0488,0.0000,1.686E-8
Polytrichum_pallidisetum,41,3.7000,4.1656,500,0.9937,5,1.5041,0.9512,0.0213,10041,4.0738,2.4712,1.0871,0.0008,1.9442,4.5687,2.4885,4.3437,0.2614,1.4217,0.0000,0.8996,4.7535,0.0632,0.0036,0.2205,0.1390,0.0176,0.0377,60.2462,7.3757,1.8536,0.0000,0.3567,0.0565,0.0199,0.3428,0.0293,0.3400,0.5833,0.0000,5.5307,0.0117,1.0000,0.0044,0.1271,0.0000,0.0000,3.314E-5,5.0000,0.0343,0.0507,0.0244,0.4000,1.206E-3,10.0000,0.0904,0.0298,0.0488,0.4000,2.524E-4,4.5730,0.0291,0.0541,0.0000,0.4000,1.456E-3,25.3253,0.2807,0.0114,0.0976,0.6000,1.26E-3,7.3269,0.0564,0.0383,0.0488,0.4000,5.318E-4,4.5730,0.0291,0.0541,0.0000,0.4000,1.456E-3,1.3102,0.0062,0.1121,0.0000,0.2000,7.198E-4,1.3098,0.0062,0.1121,0.0000,0.0000,1.773E-5,1.9412,0.0099,0.0924,0.0000,0.4000,6.84E-3,12.1833,0.1180,0.0251,0.0488,0.4000,1.522E-4
Polytrichum_pallidisetum,41,3.6080,4.1209,500,0.9936,5,3.1178,0.9842,0.0088,10041,3.2967,3.8272,2.3427,1.1372,3.8493,4.0630,2.5277,5.5253,0.0232,0.0153,0.0000,0.7539,4.0207,0.3627,0.1809,0.2953,0.0651,0.3345,0.0000,59.5909,3.7185,2.5700,0.0000,0.0469,0.0000,0.3357,0.4288,0.0000,0.6888,0.0000,0.0000,5.6102,0.0126,1.0000,0.0041,0.1410,0.0000,0.0000,5.577E-5,5.0000,0.0330,0.0554,0.0000,0.0000,5.206E-7,10.0000,0.0921,0.0324,0.0732,0.2000,5.346E-6,5.6809,0.0409,0.0505,0.0000,0.2000,3.119E-5,27.2756,0.3135,0.0116,0.0976,0.2000,8.824E-8,8.5978,0.0708,0.0368,0.0488,0.2000,8.947E-6,5.6809,0.0409,0.0505,0.0000,0.2000,3.119E-5,5.1264,0.0343,0.0544,0.0000,0.0000,4.754E-7,5.1264,0.0343,0.0544,0.0000,0.0000,4.754E-7,2.1294,0.0107,0.0958,0.0000,0.0000,8.072E-6,12.2451,0.1218,0.0272,0.0732,0.2000,2.673E-6
Polytrichum_pallidisetum,41,3.5842,4.0880,500,0.9938,5,3.6867,0.9898,0.0057,10041,3.8335,2.1567,2.3903,0.9329,3.1220,3.8926,2.4726,5.1343,0.0616,1.8207,0.0000,1.8897,3.6016,0.0972,0.0034,0.6815,0.0461,0.3283,0.0051,64.2392,0.0758,1.8103,0.0000,0.0039,0.0609,0.2070,0.2460,0.1545,0.7321,0.0000,0.0000,5.6449,0.0130,1.0000,0.0040,0.1531,0.0000,0.0000,8.404E-5,5.0000,0.0311,0.0606,0.0000,0.0000,8.14E-7,10.0000,0.0871,0.0350,0.0244,0.0000,5.22E-8,8.0676,0.0611,0.0418,0.0000,0.0000,1.28E-7,19.5138,0.2035,0.0175,0.0976,0.2000,4.654E-7,13.5657,0.1253,0.0264,0.0244,0.2000,2.375E-6,8.0676,0.0611,0.0418,0.0000,0.0000,1.28E-7,10.2330,0.0891,0.0344,0.0244,0.0000,4.789E-8,10.2330,0.0891,0.0344,0.0244,0.0000,4.789E-8,2.2520,0.0111,0.1014,0.0000,0.0000,1.071E-5,12.7794,0.1183,0.0281,0.0244,0.2000,3.041E-6
Polytrichum_pallidisetum,42,3.5528,4.0189,500,0.9934,4,4.0209,0.9905,0.0073,10042,4.8405,3.9645,0.9428,2.6793,2.1471,3.6195,1.1262,3.9649,0.1412,0.2756,0.0000,1.6862,5.9722,0.4633,0.2624,0.4849,0.1691,0.2510,0.0051,53.8731,10.9993,0.5923,0.0000,0.0132,0.0000,0.0000,0.0472,0.1325,1.2680,0.0784,0.0000,5.6804,0.0136,1.0000,0.0044,0.1470,0.0000,0.0000,4.667E-4,5.0000,0.0341,0.0602,0.0000,0.0000,1.317E-5,10.0000,0.0894,0.0356,0.0238,0.0000,1.597E-6,7.7949,0.0610,0.0433,0.0000,0.0000,3.521E-6,22.4131,0.2597,0.0155,0.0952,0.2500,1.482E-5,11.2253,0.1034,0.0321,0.0238,0.2500,1.287E-4,7.7949,0.0610,0.0433,0.0000,0.0000,3.521E-6,10.1692,0.0903,0.0350,0.0238,0.0000,1.493E-6,10.1692,0.0903,0.0350,0.0238,0.0000,1.493E-6,2.1157,0.0115,0.1021,0.0000,0.0000,1.085E-4,12.4935,0.1174,0.0292,0.0476,0.2500,9.718E-5
Polytrichum_pallidisetum,42,3.6494,4.1625,500,0.9942,4,1.6989,0.9339,0.0501,10042,8.5878,3.5983,1.5061,2.3444,3.2899,3.4205,2.5205,5.4622,0.1680,0.0000,0.0000,1.3593,2.9131,0.2160,0.0000,0.6232,0.0435,0.8374,0.0003,59.4611,0.2152,1.3744,0.0000,0.0000,0.7162,0.3418,0.2874,0.2284,0.4776,0.0074,0.0000,5.5670,0.0121,1.0000,0.0049,0.1224,0.0000,0.2500,6.659E-3,5.0000,0.0367,0.0525,0.0000,0.2500,5.554E-4,10.0000,0.0870,0.0311,0.0476,0.2500,1.172E-4,9.3689,0.0798,0.0329,0.0000,0.2500,1.385E-4,22.0744,0.2523,0.0141,0.0952,0.5000,1.177E-3,9.6044,0.0816,0.0322,0.0238,0.2500,1.299E-4,9.3689,0.0798,0.0329,0.0000,0.2500,1.385E-4,0.1434,0.0005,0.2396,0.0000,0.2500,4.513E-2,0.1434,0.0005,0.2396,0.0000,0.0000,3.295E-3,1.8090,0.0103,0.0937,0.0000,0.2500,3.06E-3,12.2421,0.1184,0.0260,0.0714,0.2500,6.886E-5
Polytrichum_pallidisetum,42,3.5935,4.0461,500,0.9933,4,3.6878,0.9909,0.0040,10042,3.8041,1.9388,4.0125,0.0000,3.0089,3.8673,2.1970,5.3257,0.3009,1.3934,0.0021,1.7486,3.1550,0.2086,0.2023,0.7362,0.0636,0.1504,0.0000,64.9570,0.3004,1.0456,0.0000,0.5787,0.0000,0.0757,0.2419,0.0755,0.6096,0.0000,0.0000,5.6228,0.0128,1.0000,0.0045,0.1384,0.0000,0.0000,3.671E-4,5.0000,0.0341,0.0570,0.0000,0.0000,1.053E-5,10.0000,0.0888,0.0337,0.0476,0.0000,1.283E-6,5.5723,0.0382,0.0528,0.0000,0.0000,7.759E-6,18.7996,0.2016,0.0182,0.0952,0.0000,1.103E-7,9.7285,0.0864,0.0345,0.0238,0.0000,1.409E-6,5.5723,0.0382,0.0528,0.0000,0.0000,7.759E-6,19.0536,0.2029,0.0179,0.1190,0.0000,1.032E-7,19.0536,0.2029,0.0179,0.1190,0.0000,1.032E-7,2.0930,0.0109,0.0970,0.0000,0.0000,8.85E-5,12.5539,0.1187,0.0275,0.0476,0.0000,5.706E-7
Polytrichum_pallidisetum,42,3.7609,4.2687,500,0.9945,4,0.9314,0.9619,0.0067,10042,5.2305,3.9389,1.5106,1.9758,3.1984,3.4454,0.7860,7.7343,0.0632,0.0000,0.0000,2.4631,5.7087,0.4178,0.0591,0.7655,0.0537,0.1492,0.0338,51.8323,7.5999,2.1074,0.0000,0.0003,0.0377,0.3909,0.1461,0.3002,0.0515,0.0000,0.0000,5.4614,0.0108,1.0000,0.0044,0.1253,0.0000,0.0000,2.463E-4,5.0000,0.0300,0.0510,0.0000,0.2500,5.099E-4,10.0000,0.0797,0.0288,0.0714,0.5000,4.781E-3,6.9362,0.0484,0.0396,0.0000,0.5000,8.934E-3,20.6978,0.2274,0.0131,0.0952,1.0000,1E0,8.4382,0.0633,0.0336,0.0238,0.5000,6.459E-3,6.9362,0.0484,0.0396,0.0000,0.5000,8.934E-3,4.2660,0.0251,0.0571,0.0000,0.0000,1.06E-5,4.2660,0.0251,0.0571,0.0000,0.0000,1.06E-5,1.9635,0.0092,0.0906,0.0000,0.0000,6.743E-5,12.4351,0.1112,0.0234,0.0714,1.0000,1E0
