Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ponera_pennsylvanica,78,3.6068,4.0967,500,0.9937,9,4.5527,0.9969,0.0008,10078,10.7634,6.1492,5.0528,2.5261,15.8404,6.9489,16.1999,0.2581,0.0269,0.7219,4.1102,0.2930,10.7795,0.1533,0.4000,1.5538,0.1260,0.4297,0.0278,0.9445,0.0000,2.9672,10.3573,0.5110,0.0000,0.0768,1.6075,0.9945,0.1804,0.0000,0.0000,5.6739,0.0128,1.0000,0.0025,0.2421,0.0000,0.0000,2.859E-6,5.0000,0.0190,0.0829,0.0000,0.0000,1.84E-10,10.0000,0.0589,0.0405,0.0256,0.0000,2.921E-13,6.8800,0.0314,0.0611,0.0000,0.0000,1.191E-11,25.0517,0.2824,0.0110,0.0897,0.0000,2.385E-18,11.6772,0.0781,0.0338,0.0385,0.0000,5.813E-14,9.7592,0.0566,0.0417,0.0128,0.0000,3.792E-13,32.1343,0.4397,0.0070,0.1923,0.0000,4.275E-20,32.1343,0.4397,0.0070,0.1923,0.0000,4.275E-20,3.5067,0.0114,0.1119,0.0000,0.0000,2.757E-9,13.2797,0.0947,0.0289,0.0385,0.0000,1.395E-14
Ponera_pennsylvanica,78,3.8326,4.2475,500,0.9947,9,1.0393,0.9238,0.0310,10078,13.3524,5.7770,6.4373,0.2948,20.6646,5.0591,13.3105,0.0957,0.0436,5.5723,8.3254,0.5593,8.2050,0.0986,4.2489,1.8396,0.1320,0.3891,0.0000,0.3141,0.0000,3.1514,0.2345,0.0532,0.0731,0.1867,1.1199,0.2207,0.1090,0.1322,0.0000,5.4319,0.0100,1.0000,0.0021,0.1960,0.0000,0.2222,2.745E-4,5.0000,0.0199,0.0586,0.0000,0.3333,2.927E-6,10.0000,0.0654,0.0275,0.0256,0.5556,6.436E-5,8.8434,0.0522,0.0318,0.0000,0.5556,1.126E-4,18.3454,0.1796,0.0120,0.0897,0.5556,2.495E-6,10.5493,0.0724,0.0259,0.0256,0.5556,5.106E-5,8.8434,0.0522,0.0318,0.0000,0.5556,1.126E-4,0.8113,0.0016,0.2190,0.0000,0.2222,5.687E-4,0.5427,0.0010,0.2657,0.0000,0.0000,6.606E-6,3.0537,0.0090,0.0913,0.0000,0.2222,1.61E-6,11.7656,0.0840,0.0226,0.0385,0.5556,3.013E-5
Ponera_pennsylvanica,78,3.6122,4.1037,500,0.9934,9,4.4045,0.9967,0.0010,10078,13.9895,7.3240,7.3857,0.6917,17.9496,6.2301,9.7642,0.1415,0.0418,1.7723,8.9513,0.8871,7.9199,0.1427,0.6854,4.7976,0.1929,0.0000,0.0658,0.7337,0.0000,3.3944,4.0564,0.9768,0.1803,0.1134,1.1603,0.3158,0.1279,0.0079,0.0000,5.6513,0.0125,1.0000,0.0023,0.2533,0.0000,0.0000,4.296E-6,5.0000,0.0169,0.0868,0.0128,0.0000,2.804E-10,10.0000,0.0540,0.0412,0.0256,0.0000,3.405E-13,4.9525,0.0168,0.0875,0.0000,0.0000,3.012E-10,24.6224,0.2691,0.0106,0.0897,0.0000,1.714E-18,11.1383,0.0664,0.0362,0.0385,0.0000,1.072E-13,9.9160,0.0526,0.0417,0.0128,0.0000,3.792E-13,26.4043,0.3000,0.0094,0.1026,0.0000,5.877E-19,26.4043,0.3000,0.0094,0.1026,0.0000,5.877E-19,3.7056,0.0112,0.1126,0.0000,0.0000,2.915E-9,13.4758,0.0870,0.0282,0.0513,0.0000,1.121E-14
Ponera_pennsylvanica,78,3.6594,4.1490,500,0.9943,9,3.7054,0.9818,0.0108,10078,10.8576,10.2211,3.5994,3.3830,10.9831,6.5234,8.2750,0.1658,1.8499,1.7302,11.8715,0.7728,11.1065,0.1432,0.5791,6.1891,0.1587,0.1062,0.0085,1.0773,0.0000,3.8624,3.6371,0.4288,0.0000,0.1852,1.3673,0.7669,0.1510,0.0000,0.0000,5.6120,0.0120,1.0000,0.0024,0.2364,0.0000,0.0000,2.302E-6,5.0000,0.0184,0.0811,0.0000,0.1111,1.558E-8,10.0000,0.0537,0.0390,0.0128,0.2222,4.606E-9,9.3778,0.0467,0.0423,0.0000,0.2222,8.051E-9,23.7578,0.2641,0.0105,0.0897,0.2222,5.033E-13,13.8040,0.0929,0.0256,0.0256,0.2222,2.479E-10,9.3778,0.0467,0.0423,0.0000,0.2222,8.051E-9,3.8026,0.0123,0.1020,0.0000,0.1111,9.592E-8,3.7985,0.0122,0.1020,0.0000,0.0000,1.196E-9,3.4538,0.0107,0.1101,0.0000,0.0000,2.385E-9,13.2634,0.0856,0.0271,0.0256,0.2222,3.673E-10
Ponera_pennsylvanica,78,3.6671,4.1460,500,0.9941,9,3.6973,0.9611,0.0340,10078,13.7673,4.0144,5.4707,2.5788,16.2863,5.2577,10.5005,0.0557,2.2819,5.2464,7.4675,0.2680,8.6793,0.1071,0.6823,1.4665,0.1423,0.0187,0.0422,1.2505,0.0000,3.4079,7.6431,0.5129,0.1733,0.2163,0.9436,1.2235,0.1417,0.0300,0.1236,5.5942,0.0118,1.0000,0.0024,0.2290,0.0000,0.1111,5.424E-5,5.0000,0.0179,0.0772,0.0000,0.1111,1.057E-8,10.0000,0.0572,0.0364,0.0128,0.1111,2.693E-11,6.5433,0.0268,0.0587,0.0000,0.1111,1.209E-9,21.1948,0.2163,0.0126,0.0897,0.1111,5.66E-15,11.8869,0.0768,0.0294,0.0256,0.1111,4.854E-12,11.0925,0.0696,0.0321,0.0128,0.1111,9.735E-12,3.2814,0.0099,0.1111,0.0000,0.1111,1.887E-7,31.7546,0.5048,0.0066,0.2051,0.1111,3.414E-17,3.4426,0.0105,0.1070,0.0000,0.1111,1.396E-7,12.8033,0.0849,0.0266,0.0385,0.1111,2.198E-12
Ponera_pennsylvanica,78,3.6155,4.1117,500,0.9938,9,4.2219,0.9902,0.0070,10078,17.1763,7.3884,0.6037,2.1548,15.9751,8.9566,10.7540,0.1017,0.0308,4.8723,3.9989,0.5854,7.7242,0.1386,1.1493,6.6689,0.1989,0.3121,0.0352,1.1708,0.0000,3.1027,4.3729,0.5243,0.0000,0.1004,1.2460,0.4951,0.1625,0.0000,0.0000,5.6413,0.0124,1.0000,0.0024,0.2377,0.0000,0.0000,2.427E-6,5.0000,0.0186,0.0803,0.0000,0.0000,1.384E-10,10.0000,0.0581,0.0388,0.0256,0.1111,4.461E-11,6.5236,0.0281,0.0620,0.0000,0.1111,1.861E-9,24.4354,0.2819,0.0105,0.0897,0.1111,1.335E-15,10.7685,0.0641,0.0355,0.0385,0.1111,2.21E-11,9.4255,0.0518,0.0415,0.0128,0.1111,7.592E-11,5.8486,0.0235,0.0693,0.0000,0.1111,4.472E-9,5.8432,0.0235,0.0693,0.0000,0.0000,3.667E-11,3.5153,0.0110,0.1090,0.0000,0.0000,2.163E-9,13.0906,0.0915,0.0279,0.0385,0.1111,3.206E-12
Ponera_pennsylvanica,78,3.6883,4.1584,500,0.9943,9,2.8480,0.9691,0.0176,10078,7.4687,5.9944,7.5874,1.7633,17.2280,4.3570,15.3988,0.1790,2.0862,1.7695,13.6175,1.0447,5.8695,0.2987,0.7919,6.3288,0.0744,0.1600,0.0377,0.7533,0.0000,4.2581,0.2106,0.3273,0.0000,0.1274,1.2800,0.8679,0.1198,0.0000,0.0000,5.5719,0.0115,1.0000,0.0022,0.2358,0.0000,0.0000,2.25E-6,5.0000,0.0178,0.0760,0.0000,0.1111,9.348E-9,10.0000,0.0571,0.0358,0.0128,0.2222,2.556E-9,9.7800,0.0548,0.0368,0.0000,0.2222,3.089E-9,20.4639,0.2028,0.0127,0.0897,0.3333,3.412E-10,12.8219,0.0849,0.0262,0.0256,0.3333,2.536E-8,9.7800,0.0548,0.0368,0.0000,0.2222,3.089E-9,3.2385,0.0094,0.1111,0.0000,0.1111,1.887E-7,8.2435,0.0398,0.0451,0.0000,0.1111,1.491E-10,3.4816,0.0103,0.1048,0.0000,0.1111,1.186E-7,12.8927,0.0853,0.0260,0.0385,0.3333,2.424E-8
Ponera_pennsylvanica,79,3.6252,4.1058,500,0.9937,8,4.1113,0.9932,0.0038,10079,5.6351,14.3361,2.8811,0.4432,15.8410,6.5023,9.9319,0.2819,1.9473,8.4275,7.1839,0.7589,5.9014,0.3305,0.7865,7.0417,0.0498,0.0390,0.0253,0.8341,0.0000,3.5991,4.2812,0.6607,0.1962,0.0628,1.1848,0.6568,0.1798,0.0000,0.0000,5.6494,0.0125,1.0000,0.0024,0.2481,0.0000,0.0000,1.437E-5,5.0000,0.0185,0.0817,0.0000,0.0000,1.976E-9,10.0000,0.0585,0.0392,0.0127,0.0000,5.565E-12,6.1962,0.0253,0.0664,0.0000,0.0000,3.768E-10,23.4575,0.2581,0.0115,0.0886,0.1250,2.118E-13,11.8291,0.0788,0.0321,0.0380,0.1250,2.758E-10,10.4787,0.0629,0.0370,0.0127,0.0000,3.518E-12,11.1238,0.0713,0.0345,0.0253,0.0000,2.02E-12,11.1238,0.0713,0.0345,0.0253,0.0000,2.02E-12,3.5880,0.0111,0.1092,0.0000,0.0000,2.027E-8,13.1232,0.0893,0.0282,0.0380,0.1250,1.1E-10
Ponera_pennsylvanica,79,3.7496,4.2298,500,0.9935,8,1.8315,0.9546,0.0168,10079,8.3060,0.9723,5.3892,2.5610,12.4080,4.6238,10.1482,0.0395,0.2502,2.3182,8.6480,0.6015,11.5170,0.0804,0.3986,5.1931,0.3089,0.0277,0.0000,0.6809,0.0000,4.0662,17.4630,0.7872,0.0834,0.1582,2.0864,0.7527,0.1306,0.0000,0.0000,5.5481,0.0112,1.0000,0.0022,0.2280,0.0000,0.0000,7.302E-6,5.0000,0.0177,0.0744,0.0127,0.3750,1.055E-4,10.0000,0.0539,0.0348,0.0127,0.3750,2.626E-6,1.6708,0.0040,0.1705,0.0000,0.0000,7.126E-7,24.4683,0.2926,0.0088,0.0886,0.6250,3.73E-5,14.9154,0.1066,0.0200,0.0253,0.5000,1.059E-5,14.9154,0.1066,0.0200,0.0127,0.5000,1.059E-5,2.6812,0.0074,0.1232,0.0127,0.1250,3.079E-6,2.6803,0.0074,0.1232,0.0127,0.0000,5.317E-8,1.6708,0.0040,0.1705,0.0000,0.0000,7.126E-7,12.7252,0.0850,0.0254,0.0127,0.5000,2.684E-5
Ponera_pennsylvanica,79,3.6863,4.1504,500,0.9941,8,2.7733,0.9695,0.0146,10079,10.5465,6.3404,5.5312,6.2733,15.7356,5.0338,8.7718,0.2729,0.0210,4.0391,8.4529,1.0643,7.1067,0.2900,0.7769,6.0732,0.0969,0.3563,0.1122,0.6428,0.0000,3.3394,6.2278,0.4559,0.0000,0.0433,1.1062,1.1233,0.1595,0.0069,0.0000,5.5703,0.0115,1.0000,0.0023,0.2191,0.0000,0.0000,5.305E-6,5.0000,0.0189,0.0701,0.0000,0.1250,6.275E-8,10.0000,0.0633,0.0335,0.0253,0.3750,2.182E-6,6.0670,0.0254,0.0577,0.0000,0.2500,9.378E-7,22.5555,0.2585,0.0110,0.0886,0.3750,8.825E-9,12.0240,0.0862,0.0269,0.0253,0.3750,7.353E-7,8.6722,0.0488,0.0394,0.0127,0.3750,4.804E-6,2.5327,0.0073,0.1245,0.0000,0.1250,3.308E-6,2.5321,0.0073,0.1245,0.0000,0.0000,5.778E-8,3.3300,0.0103,0.1009,0.0000,0.1250,7.767E-7,12.3912,0.0900,0.0260,0.0380,0.3750,6.224E-7
