Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Prenanthes_altissima,60,1.8345,2.6349,500,0.9580,7,-0.0930,0.7272,0.1097,10060,14.7102,3.6270,1.4035,0.9947,5.7404,20.7585,9.2570,1.7449,1.1367,1.8813,0.1970,13.6877,2.6007,6.2074,0.6171,0.3248,0.1310,0.0371,0.5551,1.8095,3.5412,0.8042,0.0000,0.1364,0.0000,1.0009,0.5705,0.8621,3.2839,2.3792,0.0000,7.4345,0.0828,1.0000,0.0121,0.6571,0.0000,0.1429,2.46E-1,5.0000,0.0438,0.3920,0.0000,0.2857,8.876E-2,10.0000,0.0831,0.2630,0.0167,0.4286,8.32E-2,8.8454,0.0736,0.2858,0.0000,0.2857,2.33E-2,16.5509,0.1387,0.1718,0.0833,0.4286,1.962E-2,19.8351,0.1713,0.1414,0.1333,0.4286,9.768E-3,37.8396,0.3728,0.0529,0.1667,0.7143,4.916E-2,8.8454,0.0736,0.2858,0.0000,0.2857,2.33E-2,21.8587,0.1949,0.1261,0.1500,0.4286,6.451E-3,7.5232,0.0631,0.3162,0.0000,0.2857,3.614E-2,16.8977,0.1416,0.1683,0.1167,0.4286,1.825E-2
Prenanthes_altissima,60,1.7277,2.5327,500,0.9533,7,1.5188,0.8885,0.0563,10060,10.9484,3.9645,3.0550,4.3655,5.8549,18.2006,10.5634,2.0161,1.0672,2.1520,0.0054,13.4003,2.1925,5.5230,1.2376,0.9149,0.4723,0.3488,0.2285,2.5999,4.0762,0.6566,0.0000,0.0694,0.1348,1.3643,0.3865,1.2607,1.4551,1.4856,0.0000,7.5162,0.0901,1.0000,0.0137,0.6761,0.0167,0.0000,6.461E-2,5.0000,0.0460,0.4158,0.0167,0.1429,2.328E-2,10.0000,0.0852,0.2819,0.0333,0.1429,2.665E-3,0.9288,0.0131,0.6857,0.0000,0.0000,7.127E-2,21.2509,0.1879,0.1442,0.1000,0.1429,5.523E-5,22.4683,0.1986,0.1351,0.1333,0.1429,3.762E-5,20.3886,0.1812,0.1513,0.0500,0.1429,7.306E-5,21.4412,0.1903,0.1428,0.1333,0.1429,5.218E-5,24.1809,0.2180,0.1233,0.1500,0.1429,2.196E-5,7.7334,0.0681,0.3322,0.0167,0.1429,6.73E-3,17.0054,0.1486,0.1826,0.0500,0.1429,2.189E-4
Prenanthes_altissima,60,1.6606,2.4172,500,0.9487,7,1.6668,0.8796,0.0769,10060,11.8684,3.5636,3.0597,0.7976,6.4640,23.7103,10.5080,2.1861,0.8023,1.2566,0.1427,12.2783,1.8813,6.9527,0.6065,0.9626,0.1740,0.4589,0.6026,1.5143,1.4569,1.1439,0.2018,0.1773,0.0000,1.6537,0.4757,0.7925,2.4887,1.0858,0.7331,7.5986,0.0982,1.0000,0.0155,0.6876,0.0000,0.0000,7.265E-2,5.0000,0.0506,0.4340,0.0167,0.1429,2.937E-2,10.0000,0.0912,0.3001,0.0167,0.1429,3.798E-3,1.9361,0.0245,0.5960,0.0000,0.1429,1.535E-1,19.5499,0.1765,0.1705,0.1000,0.1429,1.467E-4,21.9343,0.1981,0.1500,0.1500,0.1429,6.948E-5,17.8721,0.1603,0.1871,0.0667,0.1429,2.52E-4,22.8498,0.2065,0.1428,0.1500,0.1429,5.218E-5,29.9309,0.2823,0.0986,0.1667,0.1429,5.892E-6,7.8796,0.0735,0.3471,0.0167,0.1429,8.602E-3,16.8345,0.1494,0.1983,0.0667,0.1429,3.534E-4
Prenanthes_altissima,60,1.7432,2.5258,500,0.9561,7,1.0416,0.8745,0.0761,10060,9.2990,5.1096,3.3740,1.5390,3.8114,21.7815,9.8955,3.9141,1.0690,1.4862,0.0073,13.2434,2.5506,6.4674,0.5886,1.1200,0.2715,0.0809,1.1250,3.1052,1.0516,1.0455,0.0681,0.0000,0.0120,1.5660,1.7141,1.0345,2.3547,1.3142,0.0000,7.5126,0.0900,1.0000,0.0140,0.6599,0.0000,0.0000,5.452E-2,5.0000,0.0479,0.4059,0.0167,0.1429,2.04E-2,10.0000,0.0883,0.2770,0.0167,0.1429,2.413E-3,2.4184,0.0264,0.5313,0.0000,0.1429,8.576E-2,21.3387,0.1934,0.1421,0.1000,0.1429,5.071E-5,25.0595,0.2269,0.1167,0.1167,0.1429,1.591E-5,41.3790,0.4106,0.0494,0.1500,0.4286,1.848E-4,21.2602,0.1927,0.1428,0.1000,0.1429,5.218E-5,28.8352,0.2665,0.0956,0.1500,0.1429,4.914E-6,7.4593,0.0678,0.3322,0.0167,0.1429,6.73E-3,16.8649,0.1490,0.1819,0.0833,0.1429,2.141E-4
Prenanthes_altissima,60,1.7289,2.4904,500,0.9511,7,0.9902,0.8744,0.0501,10060,11.7269,6.3691,3.8566,0.4077,4.4144,18.9075,11.3803,1.9268,1.4865,2.8324,0.0197,11.9090,4.8960,5.2489,0.2077,0.8713,0.0540,0.2117,0.3489,2.9375,1.6514,0.4279,0.0478,0.1312,0.0000,1.6633,0.4624,0.5922,3.2855,1.7254,0.0000,7.5450,0.0930,1.0000,0.0145,0.6787,0.0000,0.0000,6.635E-2,5.0000,0.0488,0.4228,0.0167,0.0000,2.414E-3,10.0000,0.0879,0.2903,0.0333,0.2857,2.494E-2,2.1490,0.0247,0.5689,0.0000,0.0000,1.928E-2,16.5142,0.1435,0.1938,0.0833,0.2857,4.044E-3,23.3022,0.2111,0.1333,0.1333,0.2857,6.987E-4,38.2788,0.3650,0.0609,0.1500,0.4286,4.155E-4,10.2373,0.0897,0.2857,0.0333,0.2857,2.326E-2,7.4158,0.0672,0.3483,0.0167,0.0000,6.22E-4,7.7380,0.0699,0.3402,0.0167,0.1429,7.682E-3,17.0483,0.1491,0.1880,0.1167,0.2857,3.509E-3
Prenanthes_altissima,60,1.8099,2.6255,500,0.9537,7,0.3741,0.7945,0.0763,10060,9.7162,5.0110,5.1823,0.2145,7.2837,21.1418,11.1637,1.8448,0.9831,2.8213,0.0941,10.6927,1.9624,6.6425,0.5218,1.1961,0.2550,0.8636,1.0148,1.4224,1.9767,0.3626,0.1235,0.2109,0.0000,1.5733,0.5168,0.4531,3.1719,1.5833,0.0000,7.4562,0.0847,1.0000,0.0130,0.6517,0.0000,0.0000,4.992E-2,5.0000,0.0452,0.3949,0.0167,0.1429,1.757E-2,10.0000,0.0845,0.2658,0.0500,0.2857,1.693E-2,1.6994,0.0186,0.5759,0.0000,0.1429,1.294E-1,19.3206,0.1686,0.1481,0.1000,0.4286,1.156E-2,23.6266,0.2126,0.1167,0.1167,0.5714,3.871E-2,28.7673,0.2694,0.0885,0.1167,0.5714,1.845E-2,8.9923,0.0768,0.2857,0.0500,0.2857,2.326E-2,5.7734,0.0509,0.3686,0.0167,0.1429,1.201E-2,5.7734,0.0509,0.3686,0.0167,0.1429,1.201E-2,16.7789,0.1433,0.1720,0.0833,0.4286,1.97E-2
Prenanthes_altissima,60,1.9308,2.7055,500,0.9566,7,-1.6555,0.5231,0.1104,10060,9.3146,4.4025,3.9439,2.3597,5.8633,21.5457,9.7461,2.1592,0.0000,2.2769,0.0956,11.6999,3.1393,4.4263,1.8072,1.9149,0.0734,0.0530,0.3417,2.6149,2.6145,0.2784,0.1347,0.1593,0.0000,1.8662,0.4458,0.3961,3.8257,1.1104,1.3910,7.3413,0.0753,1.0000,0.0110,0.6587,0.0000,0.2857,5.524E-1,5.0000,0.0390,0.3945,0.0167,0.5714,5.681E-1,10.0000,0.0735,0.2613,0.0333,0.7143,5.829E-1,2.5266,0.0226,0.5167,0.0000,0.5714,7.999E-1,18.2035,0.1410,0.1508,0.1000,0.8571,6.815E-1,20.2275,0.1595,0.1333,0.1333,0.8571,6.326E-1,14.3758,0.1074,0.1924,0.0333,0.7143,4.024E-1,2.4421,0.0221,0.5224,0.0000,0.5714,8.085E-1,8.1048,0.0602,0.3020,0.0167,0.5714,3.574E-1,7.7823,0.0578,0.3099,0.0167,0.5714,3.756E-1,17.9499,0.1394,0.1533,0.0833,0.8571,6.88E-1
Prenanthes_altissima,61,1.7184,2.5009,500,0.9472,6,0.1769,0.7793,0.0950,10061,13.7673,3.9310,2.2486,1.2011,6.4394,18.4656,9.3957,1.7900,1.1326,3.8137,0.0546,10.7845,2.2686,5.9875,2.7328,1.5388,0.4965,0.2791,0.4158,0.9610,4.1294,0.8232,0.3943,0.0000,0.0000,0.8926,0.6445,0.1954,3.7924,1.4241,0.0000,7.5429,0.0928,1.0000,0.0142,0.7046,0.0000,0.0000,1.224E-1,5.0000,0.0458,0.4420,0.0164,0.1667,6.394E-2,10.0000,0.0827,0.3011,0.0492,0.3333,7.132E-2,1.4563,0.0185,0.6526,0.0000,0.1667,3.24E-1,18.6137,0.1564,0.1757,0.0984,0.3333,1.058E-2,23.7877,0.2055,0.1311,0.1311,0.3333,3.552E-3,26.0036,0.2308,0.1161,0.1311,0.3333,2.243E-3,8.5606,0.0719,0.3334,0.0492,0.3333,1.002E-1,30.4219,0.2756,0.0914,0.1803,0.3333,9.012E-4,7.5541,0.0646,0.3591,0.0164,0.3333,1.276E-1,17.4991,0.1450,0.1876,0.0984,0.3333,1.343E-2
Prenanthes_altissima,61,1.7572,2.5119,500,0.9527,6,-0.1240,0.6982,0.0922,10061,8.3464,6.3674,3.0693,2.2206,8.0254,18.1307,10.2037,1.9882,2.4602,2.4431,0.1155,11.0125,2.3463,3.8357,3.0985,2.4385,0.1888,0.1193,0.9390,1.8193,2.1389,1.1330,0.1360,0.0268,0.0000,0.0732,0.8767,1.1901,3.1101,2.0930,0.0539,7.5184,0.0908,1.0000,0.0141,0.6714,0.0000,0.0000,9.16E-2,5.0000,0.0481,0.4160,0.0164,0.5000,4.888E-1,10.0000,0.0871,0.2852,0.0164,0.5000,2.287E-1,2.4380,0.0264,0.5415,0.0000,0.1667,1.533E-1,19.1822,0.1641,0.1641,0.0820,0.6667,2.57E-1,21.0963,0.1831,0.1475,0.1475,0.6667,2.177E-1,18.4642,0.1574,0.1710,0.0656,0.6667,2.736E-1,3.9461,0.0389,0.4586,0.0164,0.5000,5.758E-1,2.3203,0.0256,0.5495,0.0000,0.0000,2.754E-2,7.6279,0.0682,0.3371,0.0164,0.5000,3.272E-1,17.2821,0.1484,0.1830,0.0656,0.6667,3.029E-1
Prenanthes_altissima,61,1.8295,2.5943,500,0.9497,6,-0.1856,0.7143,0.1218,10061,12.9479,5.0169,2.3576,3.0147,5.8788,21.1569,7.3068,3.5381,1.6589,2.1569,0.0137,12.9223,2.2838,4.8787,1.1853,1.6660,0.1756,0.0112,0.1223,0.2139,2.5337,1.7565,0.0188,0.0000,0.0000,1.6298,0.1750,1.0364,3.0525,0.2437,1.0474,7.4400,0.0832,1.0000,0.0123,0.6508,0.0164,0.3333,6.488E-1,5.0000,0.0444,0.3909,0.0164,0.3333,1.669E-1,10.0000,0.0841,0.2617,0.0328,0.3333,4.411E-2,0.8366,0.0109,0.6745,0.0000,0.1667,3.668E-1,17.4448,0.1486,0.1622,0.0984,0.5000,5.807E-2,19.5050,0.1667,0.1436,0.1475,0.5000,4.222E-2,34.0580,0.3355,0.0649,0.1475,0.6667,5.302E-2,6.8215,0.0580,0.3334,0.0328,0.3333,1.002E-1,17.1751,0.1450,0.1648,0.0984,0.3333,8.346E-3,6.2299,0.0533,0.3503,0.0164,0.3333,1.177E-1,16.7475,0.1423,0.1692,0.0984,0.3333,9.194E-3
