Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Promoresia_elegans,62,3.4019,4.0448,500,0.9927,7,2.9799,0.9887,0.0038,10061,8.5881,1.5217,1.2633,0.1112,2.2585,11.3845,0.3205,0.0982,16.3801,0.9488,9.6283,0.1444,7.4902,0.8357,0.9751,1.4379,0.0231,0.0000,0.1162,0.4618,0.7453,0.0066,0.2014,0.6261,0.0000,28.4592,0.5857,0.4710,4.9074,0.0096,0.0000,5.8434,0.0154,1.0000,0.0027,0.3001,0.0000,0.0000,2.191E-4,5.0000,0.0188,0.1192,0.0000,0.0000,3.414E-7,10.0000,0.0467,0.0647,0.0323,0.0000,4.749E-9,7.7721,0.0342,0.0831,0.0000,0.0000,2.735E-8,26.8815,0.2335,0.0138,0.0968,0.1429,4.81E-11,13.2809,0.0697,0.0462,0.0484,0.0000,4.505E-10,23.3075,0.1862,0.0185,0.0484,0.1429,2.75E-10,16.3011,0.0938,0.0344,0.0484,0.0000,5.689E-11,16.3011,0.0938,0.0344,0.0484,0.0000,5.689E-11,3.9701,0.0135,0.1408,0.0000,0.0000,1.099E-6,16.3748,0.0946,0.0342,0.0484,0.1429,1.086E-8
Promoresia_elegans,62,3.3315,4.0274,500,0.9922,7,4.7535,0.9981,0.0009,10061,7.6842,3.6956,2.6479,1.2117,1.9873,9.3589,0.8818,0.1664,12.0514,0.4998,7.6580,0.2120,8.5700,1.0610,0.6716,1.1219,0.2539,0.0000,0.1607,1.2055,1.4310,0.0368,1.6527,0.9536,0.0133,27.5901,0.6509,0.3502,6.2162,0.0056,0.0000,5.9022,0.0165,1.0000,0.0029,0.2851,0.0000,0.0000,1.53E-4,5.0000,0.0213,0.1123,0.0000,0.0000,2.255E-7,10.0000,0.0537,0.0615,0.0323,0.0000,3.337E-9,6.6057,0.0315,0.0902,0.0000,0.0000,4.839E-8,27.0044,0.2553,0.0147,0.0968,0.0000,1.491E-13,13.1688,0.0797,0.0454,0.0484,0.0000,3.99E-10,20.8211,0.1666,0.0234,0.0484,0.0000,3.793E-12,39.5265,0.5154,0.0067,0.1613,0.0000,5.808E-16,39.5265,0.5154,0.0067,0.1613,0.0000,5.808E-16,3.6845,0.0143,0.1394,0.0000,0.0000,1.025E-6,15.6061,0.0990,0.0363,0.0484,0.0000,8.271E-11
Promoresia_elegans,62,3.4494,4.1442,500,0.9939,7,3.2672,0.9386,0.0529,10061,10.4801,3.1809,1.2874,0.1739,2.4297,9.2258,1.1721,0.1195,11.5781,0.8643,11.3381,0.5030,7.8622,1.0147,0.9550,1.1725,0.3739,0.0827,0.1217,0.8678,1.3540,0.0157,0.1435,1.4471,0.0109,26.5348,0.3992,0.3474,4.9364,0.0076,0.0000,5.7860,0.0146,1.0000,0.0027,0.2541,0.0000,0.1429,1.475E-3,5.0000,0.0216,0.0958,0.0000,0.1429,4.972E-6,10.0000,0.0549,0.0523,0.0161,0.1429,1.365E-7,9.3513,0.0510,0.0560,0.0000,0.1429,2.046E-7,20.9818,0.1741,0.0189,0.0806,0.2857,4.887E-8,15.4412,0.1019,0.0307,0.0323,0.1429,5.72E-9,15.4064,0.1015,0.0307,0.0161,0.1429,5.72E-9,2.8454,0.0099,0.1428,0.0000,0.1429,5.215E-5,20.7236,0.1726,0.0193,0.0645,0.1429,3.539E-10,3.4734,0.0128,0.1249,0.0000,0.1429,2.377E-5,14.8957,0.0977,0.0323,0.0161,0.1429,7.733E-9
Promoresia_elegans,62,3.6790,4.3853,500,0.9949,7,-1.4877,0.6976,0.1274,10061,10.3227,1.7490,1.0084,1.1897,1.7755,11.7073,1.3191,0.5399,14.3256,1.6941,5.5231,1.4253,9.2174,1.1029,0.8100,0.8345,0.1626,0.0115,0.0869,0.1805,1.7722,0.0249,0.2169,0.7851,0.0496,25.7403,1.6568,0.1174,4.6108,0.0399,0.0000,5.5642,0.0115,1.0000,0.0022,0.2327,0.0000,0.4286,5.567E-2,5.0000,0.0190,0.0760,0.0000,0.5714,1.218E-2,10.0000,0.0526,0.0375,0.0161,0.7143,2.6E-2,5.0436,0.0192,0.0754,0.0000,0.5714,1.192E-2,30.7946,0.4383,0.0068,0.0806,0.7143,9.379E-4,12.0561,0.0731,0.0294,0.0323,0.7143,1.647E-2,12.0258,0.0725,0.0294,0.0161,0.7143,1.647E-2,0.6434,0.0014,0.2858,0.0000,0.2857,2.329E-2,0.8694,0.0019,0.2492,0.0000,0.2857,1.269E-2,3.3736,0.0102,0.1066,0.0000,0.5714,3.051E-2,13.2291,0.0839,0.0258,0.0323,0.7143,1.286E-2
Promoresia_elegans,62,3.4056,4.0970,500,0.9927,7,3.6189,0.9785,0.0166,10061,6.6288,2.2834,2.4959,1.2384,2.7087,11.6390,0.9359,0.6653,14.4940,2.1550,10.9903,0.2537,6.1785,1.1193,0.6210,0.8976,0.2856,0.0000,0.1017,1.2635,1.9468,0.0108,0.2703,0.6953,0.0566,21.1464,0.5213,0.1844,8.2125,0.0000,0.0000,5.8023,0.0148,1.0000,0.0026,0.2755,0.0000,0.0000,1.205E-4,5.0000,0.0196,0.1038,0.0000,0.1429,7.962E-6,10.0000,0.0513,0.0551,0.0323,0.1429,1.859E-7,6.0759,0.0265,0.0886,0.0000,0.1429,3.121E-6,28.7649,0.3183,0.0111,0.0968,0.1429,1.319E-11,15.2371,0.0974,0.0323,0.0323,0.1429,7.733E-9,17.3112,0.1216,0.0265,0.0323,0.1429,2.39E-9,3.7477,0.0134,0.1290,0.0000,0.1429,2.871E-5,3.7448,0.0133,0.1290,0.0000,0.0000,5.949E-7,3.7448,0.0133,0.1290,0.0000,0.0000,5.949E-7,15.0453,0.0941,0.0329,0.0323,0.1429,8.626E-9
Promoresia_elegans,62,3.3952,4.0811,500,0.9918,7,3.5075,0.9526,0.0412,10061,3.1389,3.9281,2.6642,0.8949,2.7913,13.1600,1.2964,0.1714,13.1134,2.0895,9.3291,0.5673,8.3534,1.0932,0.6692,1.1915,0.1410,0.0146,0.1277,1.2055,0.9469,0.0000,0.4402,0.5953,0.0000,24.6044,0.6275,0.3108,6.5343,0.0000,0.0000,5.8643,0.0159,1.0000,0.0030,0.2702,0.0000,0.1429,2.091E-3,5.0000,0.0215,0.1073,0.0161,0.1429,9.725E-6,10.0000,0.0532,0.0590,0.0161,0.1429,2.815E-7,2.7300,0.0098,0.1610,0.0000,0.1429,1.052E-4,29.3293,0.3020,0.0118,0.0968,0.1429,1.897E-11,13.0097,0.0776,0.0440,0.0484,0.1429,4.909E-8,20.4730,0.1593,0.0228,0.0484,0.1429,9.543E-10,3.3115,0.0124,0.1428,0.0161,0.1429,5.215E-5,35.6363,0.4263,0.0078,0.1452,0.1429,1.51E-12,2.7300,0.0098,0.1610,0.0000,0.1429,1.052E-4,15.4980,0.1003,0.0350,0.0484,0.1429,1.245E-8
Promoresia_elegans,62,3.4072,4.0641,500,0.9920,7,3.5810,0.9881,0.0060,10061,1.9387,5.8175,2.5479,0.4096,2.5343,9.1505,0.7511,0.1372,16.6926,2.6952,10.8496,0.1491,8.1757,0.9194,0.9322,1.0996,0.3798,0.0475,0.1974,0.5118,0.8401,0.0676,0.1070,1.4971,0.0000,26.5629,0.4723,0.2013,4.3026,0.0123,0.0000,5.8335,0.0153,1.0000,0.0028,0.2769,0.0000,0.0000,1.248E-4,5.0000,0.0207,0.1062,0.0000,0.0000,1.519E-7,10.0000,0.0516,0.0575,0.0323,0.0000,2.091E-9,6.2221,0.0280,0.0893,0.0000,0.0000,4.513E-8,20.6718,0.1676,0.0212,0.0968,0.1429,6.188E-10,13.6733,0.0809,0.0397,0.0323,0.1429,2.631E-8,13.6733,0.0809,0.0397,0.0323,0.1429,2.631E-8,11.9348,0.0678,0.0471,0.0323,0.0000,5.152E-10,11.9348,0.0678,0.0471,0.0323,0.0000,5.152E-10,3.6946,0.0133,0.1327,0.0000,0.0000,7.242E-7,15.3435,0.0952,0.0339,0.0645,0.1429,1.03E-8
Promoresia_elegans,62,3.4016,4.0448,500,0.9928,7,3.5510,0.9911,0.0032,10061,8.4201,4.4857,1.6486,0.5168,2.1842,5.8405,1.3290,0.3354,14.3597,1.0819,14.4563,0.1664,5.0012,0.7620,1.1773,0.3846,0.1826,0.0517,0.2139,1.3411,1.4240,0.0206,0.4061,0.5954,0.0000,28.1743,0.3577,0.1358,4.9295,0.0174,0.0000,5.8494,0.0156,1.0000,0.0027,0.2841,0.0000,0.0000,1.493E-4,5.0000,0.0202,0.1124,0.0000,0.0000,2.269E-7,10.0000,0.0507,0.0609,0.0323,0.0000,3.117E-9,7.7414,0.0360,0.0781,0.0000,0.0000,1.776E-8,27.0192,0.2402,0.0138,0.0968,0.2857,1.033E-8,15.2834,0.0900,0.0360,0.0323,0.0000,7.807E-11,15.2834,0.0900,0.0360,0.0323,0.0000,7.807E-11,21.0454,0.1675,0.0220,0.0484,0.0000,2.468E-12,21.0454,0.1675,0.0220,0.0484,0.0000,2.468E-12,3.7019,0.0136,0.1390,0.0000,0.0000,1E-6,15.7484,0.0931,0.0345,0.0484,0.0000,5.805E-11
Promoresia_elegans,62,3.4431,4.1502,500,0.9933,7,2.9932,0.9778,0.0109,10062,9.2600,1.6926,2.4453,0.9774,2.9035,10.8066,0.3075,0.1531,14.3133,1.8150,7.1631,0.0030,7.4153,0.8951,0.6675,1.0725,0.2276,0.0185,0.1450,1.2196,1.0703,0.0086,0.3531,0.5785,0.0380,28.3400,0.5900,0.1177,5.3909,0.0113,0.0000,5.7858,0.0145,1.0000,0.0026,0.2728,0.0000,0.0000,1.125E-4,5.0000,0.0197,0.1061,0.0000,0.0000,1.518E-7,10.0000,0.0494,0.0563,0.0484,0.2857,1.075E-5,7.1939,0.0310,0.0784,0.0000,0.0000,1.823E-8,30.7743,0.3481,0.0093,0.0968,0.2857,1.471E-9,11.3858,0.0580,0.0484,0.0484,0.2857,5.137E-6,23.0333,0.1969,0.0165,0.0484,0.2857,2.496E-8,7.9051,0.0355,0.0718,0.0161,0.1429,8.967E-7,7.9051,0.0355,0.0718,0.0161,0.0000,9.794E-9,3.5826,0.0128,0.1343,0.0000,0.0000,7.867E-7,15.4420,0.0945,0.0323,0.0484,0.2857,6.991E-7
Promoresia_elegans,63,3.3589,4.0475,500,0.9923,6,4.1050,0.9952,0.0012,10062,5.6449,5.4071,1.1216,0.2263,2.1179,8.5371,0.7566,0.4597,18.6123,1.1580,10.2964,0.1794,6.4642,1.3939,1.7790,0.9520,0.3352,0.0000,0.1422,0.7588,2.8393,0.0387,0.3797,0.6608,0.0000,25.9229,0.5398,0.4176,2.8519,0.0067,0.0000,5.8907,0.0163,1.0000,0.0029,0.2779,0.0000,0.0000,4.604E-4,5.0000,0.0218,0.1103,0.0000,0.0000,1.802E-6,10.0000,0.0541,0.0605,0.0317,0.0000,4.916E-8,6.0696,0.0279,0.0951,0.0000,0.0000,7.402E-7,26.4698,0.2539,0.0149,0.0952,0.0000,1.098E-11,14.8024,0.0931,0.0383,0.0317,0.0000,3.138E-9,14.8024,0.0931,0.0383,0.0317,0.0000,3.138E-9,31.4759,0.3364,0.0106,0.1270,0.0000,1.446E-12,31.4759,0.3364,0.0106,0.1270,0.0000,1.446E-12,3.5861,0.0142,0.1392,0.0000,0.0000,7.287E-6,15.5328,0.0980,0.0359,0.0476,0.0000,2.133E-9
