Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Prosapia_bicincta,31,5.0082,5.5143,500,0.9984,4,5.6961,0.9984,0.0004,10031,18.5865,1.2776,4.8664,5.3014,13.8172,1.0020,13.0459,2.9701,1.5607,0.0000,17.5629,2.6927,6.9637,0.0000,0.0173,3.4834,0.0000,0.0192,0.0000,0.0000,0.0000,4.2378,0.0000,0.0449,0.0253,0.0046,2.4077,0.0000,0.0114,0.1013,0.0000,4.2069,0.0029,1.0000,0.0010,0.0821,0.0000,0.0000,4.553E-5,5.0000,0.0167,0.0156,0.0000,0.0000,5.85E-8,10.0000,0.0659,0.0058,0.0000,0.0000,1.118E-9,13.6187,0.1667,0.0035,0.0000,0.0000,1.482E-10,20.0318,0.6212,0.0028,0.0968,0.0000,6.071E-11,13.6187,0.1667,0.0035,0.0000,0.0000,1.482E-10,13.6187,0.1667,0.0035,0.0000,0.0000,1.482E-10,25.0233,0.6263,0.0025,0.1290,0.0000,3.858E-11,25.0233,0.6263,0.0025,0.1290,0.0000,3.858E-11,1.8740,0.0027,0.0455,0.0000,0.0000,4.271E-6,9.1760,0.0566,0.0067,0.0000,0.0000,1.99E-9
Prosapia_bicincta,31,5.0511,5.5243,500,0.9984,4,5.6231,0.9985,0.0005,10031,12.7463,7.5762,0.1206,0.0490,17.2313,1.2211,15.4963,0.1269,1.1727,0.9227,17.6616,1.1294,6.9119,0.0000,0.0651,3.0495,0.0000,0.0515,0.0000,0.0000,0.0000,3.1022,8.7397,0.0095,0.0040,0.0013,2.5849,0.0000,0.0262,0.0000,0.0000,4.1604,0.0028,1.0000,0.0011,0.0651,0.0000,0.0000,1.796E-5,5.0000,0.0180,0.0134,0.0000,0.0000,3.185E-8,10.0000,0.0721,0.0052,0.0000,0.0000,7.222E-10,12.7390,0.1605,0.0036,0.0000,0.0000,1.659E-10,19.1241,0.5733,0.0027,0.0968,0.0000,5.249E-11,12.7390,0.1605,0.0036,0.0000,0.0000,1.659E-10,12.7390,0.1605,0.0036,0.0000,0.0000,1.659E-10,19.1241,0.5733,0.0027,0.0968,0.0000,5.249E-11,19.1241,0.5733,0.0027,0.0968,0.0000,5.249E-11,1.6098,0.0025,0.0423,0.0000,0.0000,3.192E-6,8.7586,0.0574,0.0064,0.0000,0.0000,1.657E-9
Prosapia_bicincta,31,5.0080,5.5149,500,0.9984,4,5.7103,0.9991,0.0003,10031,9.4027,4.5252,8.3001,5.9686,13.6180,1.2377,13.2842,1.3833,0.0000,0.2264,19.0795,1.9195,6.9225,0.0000,0.1168,3.8824,0.0000,0.0199,0.0000,0.0000,0.0000,3.9823,3.1050,0.0151,0.0249,0.0047,2.9617,0.0000,0.0140,0.0000,0.0057,4.2087,0.0029,1.0000,0.0010,0.0835,0.0000,0.0000,4.871E-5,5.0000,0.0167,0.0157,0.0000,0.0000,6.001E-8,10.0000,0.0652,0.0058,0.0000,0.0000,1.118E-9,13.6029,0.1677,0.0036,0.0000,0.0000,1.659E-10,20.0325,0.6212,0.0027,0.0968,0.0000,5.249E-11,13.6029,0.1677,0.0036,0.0000,0.0000,1.659E-10,13.6029,0.1677,0.0036,0.0000,0.0000,1.659E-10,63.7381,0.6669,0.0012,0.1935,0.0000,2.048E-12,63.7381,0.6669,0.0012,0.1935,0.0000,2.048E-12,1.8855,0.0027,0.0460,0.0000,0.0000,4.461E-6,9.2208,0.0578,0.0067,0.0000,0.0000,1.99E-9
Prosapia_bicincta,31,5.1661,5.6137,500,0.9985,4,2.4532,0.9817,0.0085,10031,10.9499,5.5091,8.3281,1.2587,18.6209,1.0366,10.9792,1.8309,0.0000,1.6467,22.2508,1.9989,5.9751,0.0000,0.0000,2.6528,0.0296,0.0363,0.1679,0.0000,0.0000,4.1431,0.0000,0.0336,0.0000,0.0000,2.5252,0.0000,0.0234,0.0000,0.0032,4.0509,0.0025,1.0000,0.0008,0.0779,0.0000,0.0000,3.675E-5,5.0000,0.0175,0.0096,0.0000,0.5000,5.426E-4,10.0000,0.1574,0.0035,0.0000,0.5000,7.271E-5,12.1909,0.3110,0.0030,0.0000,0.5000,5.345E-5,15.9629,0.5877,0.0029,0.0645,0.5000,4.996E-5,12.1909,0.3110,0.0030,0.0000,0.5000,5.345E-5,12.1909,0.3110,0.0030,0.0000,0.5000,5.345E-5,2.0377,0.0025,0.0361,0.0000,0.0000,1.696E-6,2.0377,0.0025,0.0361,0.0000,0.0000,1.696E-6,1.9465,0.0023,0.0383,0.0000,0.0000,2.148E-6,6.7988,0.0381,0.0057,0.0000,0.5000,1.923E-4
Prosapia_bicincta,31,5.1219,5.5661,500,0.9984,4,4.2375,0.9927,0.0043,10031,15.8982,3.1612,2.6256,6.2403,15.2244,3.7250,12.7572,0.0000,0.1741,0.1828,20.5808,0.9383,9.6025,0.0000,0.5312,2.2429,0.0000,0.0227,0.0000,0.0000,0.0000,3.7751,0.0000,0.0059,0.0052,0.0003,2.2947,0.0000,0.0116,0.0000,0.0000,4.0919,0.0026,1.0000,0.0009,0.0692,0.0000,0.0000,2.291E-5,5.0000,0.0183,0.0118,0.0000,0.2500,6.454E-6,10.0000,0.0951,0.0041,0.0000,0.2500,2.723E-7,12.1472,0.1718,0.0033,0.0000,0.2500,1.421E-7,18.2608,0.5944,0.0028,0.0968,0.5000,4.658E-5,12.1472,0.1718,0.0033,0.0000,0.2500,1.421E-7,12.1472,0.1718,0.0033,0.0000,0.2500,1.421E-7,2.9394,0.0070,0.0222,0.0000,0.0000,2.443E-7,2.9394,0.0070,0.0222,0.0000,0.0000,2.443E-7,1.6949,0.0024,0.0409,0.0000,0.0000,2.791E-6,7.9524,0.0449,0.0059,0.0000,0.2500,8.103E-7
Prosapia_bicincta,32,4.9974,5.4917,500,0.9984,3,5.6798,0.9989,0.0004,10032,15.2204,6.3960,4.9566,7.3266,10.9390,3.3688,13.6125,3.6918,0.0000,0.7783,14.1219,1.8230,7.4340,0.0000,0.0000,2.5385,0.0000,0.0292,0.0007,0.0000,0.0000,4.4935,0.3176,0.0240,0.0160,0.0059,2.8955,0.0000,0.0101,0.0000,0.0000,4.2200,0.0029,1.0000,0.0009,0.0852,0.0000,0.0000,6.191E-4,5.0000,0.0164,0.0153,0.0000,0.0000,3.547E-6,10.0000,0.0680,0.0057,0.0000,0.0000,1.834E-7,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,19.4043,0.6150,0.0028,0.0938,0.0000,2.174E-8,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,61.8141,0.6624,0.0013,0.1875,0.0000,2.176E-9,61.8141,0.6624,0.0013,0.1875,0.0000,2.176E-9,1.9454,0.0027,0.0449,0.0000,0.0000,9.026E-5,8.9180,0.0572,0.0068,0.0000,0.0000,3.114E-7
Prosapia_bicincta,32,4.9974,5.4917,500,0.9984,3,5.6798,0.9989,0.0004,10032,15.2204,6.3960,4.9566,7.3266,10.9390,3.3688,13.6125,3.6918,0.0000,0.7783,14.1219,1.8230,7.4340,0.0000,0.0000,2.5385,0.0000,0.0292,0.0007,0.0000,0.0000,4.4935,0.3176,0.0240,0.0160,0.0059,2.8955,0.0000,0.0101,0.0000,0.0000,4.2200,0.0029,1.0000,0.0009,0.0852,0.0000,0.0000,6.191E-4,5.0000,0.0164,0.0153,0.0000,0.0000,3.547E-6,10.0000,0.0680,0.0057,0.0000,0.0000,1.834E-7,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,19.4043,0.6150,0.0028,0.0938,0.0000,2.174E-8,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,61.8141,0.6624,0.0013,0.1875,0.0000,2.176E-9,61.8141,0.6624,0.0013,0.1875,0.0000,2.176E-9,1.9454,0.0027,0.0449,0.0000,0.0000,9.026E-5,8.9180,0.0572,0.0068,0.0000,0.0000,3.114E-7
Prosapia_bicincta,32,4.9974,5.4917,500,0.9984,3,5.6798,0.9989,0.0004,10032,15.2204,6.3960,4.9566,7.3266,10.9390,3.3688,13.6125,3.6918,0.0000,0.7783,14.1219,1.8230,7.4340,0.0000,0.0000,2.5385,0.0000,0.0292,0.0007,0.0000,0.0000,4.4935,0.3176,0.0240,0.0160,0.0059,2.8955,0.0000,0.0101,0.0000,0.0000,4.2200,0.0029,1.0000,0.0009,0.0852,0.0000,0.0000,6.191E-4,5.0000,0.0164,0.0153,0.0000,0.0000,3.547E-6,10.0000,0.0680,0.0057,0.0000,0.0000,1.834E-7,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,19.4043,0.6150,0.0028,0.0938,0.0000,2.174E-8,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,13.2254,0.1645,0.0037,0.0000,0.0000,5.017E-8,61.8141,0.6624,0.0013,0.1875,0.0000,2.176E-9,61.8141,0.6624,0.0013,0.1875,0.0000,2.176E-9,1.9454,0.0027,0.0449,0.0000,0.0000,9.026E-5,8.9180,0.0572,0.0068,0.0000,0.0000,3.114E-7
Prosapia_bicincta,32,4.9965,5.4923,500,0.9984,3,5.6723,0.9984,0.0004,10032,20.6570,0.1762,3.5741,3.3331,15.5410,2.9354,15.3964,0.0905,0.8530,0.8298,12.2243,1.8317,9.6060,0.0000,0.0000,1.8837,0.0000,0.0000,0.0000,0.0000,0.0000,3.3316,3.6415,0.0497,0.0579,0.0004,3.9783,0.0000,0.0086,0.0000,0.0000,4.2183,0.0029,1.0000,0.0009,0.0851,0.0000,0.0000,6.169E-4,5.0000,0.0161,0.0156,0.0000,0.0000,3.76E-6,10.0000,0.0669,0.0057,0.0000,0.0000,1.834E-7,13.1584,0.1592,0.0037,0.0000,0.0000,5.017E-8,19.2607,0.6149,0.0029,0.0938,0.0000,2.416E-8,13.1584,0.1592,0.0037,0.0000,0.0000,5.017E-8,13.1584,0.1592,0.0037,0.0000,0.0000,5.017E-8,58.5555,0.6607,0.0014,0.1875,0.0000,2.718E-9,58.5555,0.6607,0.0014,0.1875,0.0000,2.718E-9,1.8847,0.0027,0.0462,0.0000,0.0000,9.831E-5,9.0554,0.0567,0.0067,0.0000,0.0000,2.979E-7
Prosapia_bicincta,32,5.1536,5.5432,500,0.9984,3,1.9629,0.8918,0.0872,10032,8.9384,10.3470,2.1939,2.6276,17.1679,0.4760,16.0709,0.0050,2.1170,0.3077,20.1421,2.7647,5.5597,0.0000,0.0000,4.8375,0.0000,0.0000,0.3837,0.0000,0.0000,2.9247,0.0737,0.0000,0.0309,0.0192,2.2600,0.7513,0.0012,0.0000,0.0000,4.0679,0.0026,1.0000,0.0013,0.0492,0.0000,0.3333,7.036E-3,5.0000,0.0248,0.0094,0.0000,0.3333,2.617E-4,10.0000,0.1134,0.0038,0.0000,0.3333,4.294E-5,10.5840,0.1401,0.0036,0.0000,0.3333,3.854E-5,18.5566,0.5924,0.0029,0.0938,0.3333,2.502E-5,10.5840,0.1401,0.0036,0.0000,0.3333,3.854E-5,10.5840,0.1401,0.0036,0.0000,0.3333,3.854E-5,0.0558,0.0000,0.3219,0.0000,0.3333,2.441E-1,0.0558,0.0000,0.3219,0.0000,0.0000,3.335E-2,1.4099,0.0023,0.0353,0.0000,0.3333,3.648E-3,7.2561,0.0487,0.0058,0.0000,0.3333,9.989E-5
