Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Psephenus_herricki,127,3.5023,3.8659,500,0.9922,15,2.4797,0.9550,0.0201,10126,1.9841,0.2363,0.7621,0.0294,0.7597,2.6501,0.0503,0.5570,15.9367,4.4497,15.4019,0.2257,1.9230,0.4943,0.2034,0.4924,0.1395,1.1256,1.0003,18.2025,0.9061,0.8263,0.2336,1.0542,0.4196,28.0135,0.1134,0.0963,1.6110,0.0982,0.0037,5.7557,0.0142,1.0000,0.0038,0.1589,0.0000,0.0667,8.357E-11,5.0000,0.0332,0.0528,0.0079,0.2000,1.853E-13,10.0000,0.1044,0.0282,0.0315,0.2667,1.121E-14,4.7335,0.0289,0.0555,0.0000,0.2000,3.32E-13,23.0799,0.4078,0.0127,0.0945,0.2667,1.868E-18,9.5974,0.0999,0.0294,0.0315,0.2667,1.755E-14,7.8512,0.0735,0.0353,0.0079,0.2000,1.519E-15,1.3847,0.0057,0.1333,0.0000,0.1333,3.389E-10,1.3287,0.0054,0.1364,0.0000,0.0667,1.008E-11,2.5299,0.0123,0.0913,0.0000,0.2000,1.18E-10,9.0399,0.0895,0.0311,0.0236,0.2667,3.21E-14
Psephenus_herricki,127,3.4490,3.8084,500,0.9918,15,2.9835,0.9787,0.0075,10127,2.6125,0.8346,4.5812,0.2462,0.9511,0.5210,0.1786,0.5133,12.5492,4.8747,14.0889,0.1657,2.3602,0.4196,0.2372,0.6974,0.4722,0.8792,1.1598,16.8613,2.0339,0.9793,0.1653,0.1053,1.1905,28.7274,0.1159,0.1769,1.2819,0.0196,0.0000,5.8095,0.0149,1.0000,0.0037,0.1691,0.0000,0.0000,2.632E-12,5.0000,0.0340,0.0587,0.0000,0.1333,9.131E-15,10.0000,0.0951,0.0311,0.0315,0.2000,3.42E-16,5.1383,0.0351,0.0575,0.0000,0.1333,7.02E-15,21.3468,0.3458,0.0144,0.0945,0.2000,3.524E-20,9.8975,0.0926,0.0315,0.0315,0.2000,3.975E-16,13.1993,0.1559,0.0233,0.0315,0.2000,1.094E-17,3.7082,0.0214,0.0740,0.0000,0.0667,2.047E-15,2.3112,0.0112,0.1029,0.0000,0.0000,1.534E-15,2.5639,0.0130,0.0962,0.0000,0.0667,7.913E-14,9.4800,0.0864,0.0329,0.0315,0.2000,6.629E-16
Psephenus_herricki,128,3.4544,3.7932,500,0.9916,14,3.2932,0.9831,0.0064,10127,5.6564,0.7970,1.3214,0.0024,0.6743,0.5576,0.2487,0.5109,12.4804,3.2786,14.2417,0.3954,1.9240,0.4040,0.0984,0.4604,0.3573,1.2775,0.8780,19.9201,0.9669,0.5867,1.4171,0.2148,2.0813,26.0044,0.1016,0.3512,2.7913,0.0000,0.0000,5.8349,0.0153,1.0000,0.0040,0.1731,0.0000,0.0000,2.169E-11,5.0000,0.0323,0.0628,0.0000,0.0714,3.117E-15,10.0000,0.0881,0.0332,0.0469,0.2143,1.78E-14,6.6960,0.0473,0.0488,0.0000,0.0714,1.184E-16,23.4800,0.3644,0.0134,0.0938,0.2143,8.987E-19,9.6796,0.0839,0.0344,0.0312,0.2143,2.609E-14,6.6960,0.0473,0.0488,0.0000,0.0714,1.184E-16,4.2643,0.0252,0.0714,0.0000,0.0714,1.636E-14,3.4183,0.0193,0.0838,0.0000,0.0000,8.472E-16,2.6152,0.0133,0.1002,0.0000,0.0000,1.032E-14,9.8424,0.0862,0.0338,0.0469,0.2143,2.158E-14
Psephenus_herricki,128,3.4155,3.7782,500,0.9914,14,3.1833,0.9843,0.0051,10127,2.9796,0.0495,2.7683,0.8457,0.6607,1.0602,2.4600,0.7561,15.3091,2.2577,9.7928,0.2154,2.1290,0.7090,0.7950,0.6637,0.1607,0.8734,1.1186,13.4081,3.0363,0.5563,0.2674,0.6547,2.3786,32.4180,0.1862,0.0977,1.3319,0.0603,0.0000,5.8420,0.0154,1.0000,0.0039,0.1770,0.0000,0.0000,2.951E-11,5.0000,0.0307,0.0633,0.0000,0.0000,1.657E-17,10.0000,0.0890,0.0326,0.0391,0.2143,1.462E-14,5.7488,0.0376,0.0560,0.0000,0.0714,7.051E-16,18.2218,0.2582,0.0174,0.0859,0.2857,2.361E-15,9.2904,0.0786,0.0353,0.0391,0.1429,3.137E-16,6.9641,0.0505,0.0470,0.0078,0.1429,9.684E-15,5.2008,0.0323,0.0612,0.0000,0.0714,2.242E-15,5.1971,0.0322,0.0612,0.0000,0.0000,1.039E-17,2.6359,0.0134,0.1014,0.0000,0.0000,1.217E-14,9.6266,0.0843,0.0340,0.0391,0.2143,2.3E-14
Psephenus_herricki,128,3.4118,3.7695,500,0.9914,14,3.5590,0.9885,0.0042,10127,2.2769,0.0964,5.5294,0.0679,0.7286,1.9652,0.6214,0.4718,13.8093,3.8576,12.2585,0.4629,2.2234,0.5174,0.4129,0.4842,0.3388,1.1206,1.5278,20.4041,0.8956,0.3612,0.0862,0.0584,0.9869,25.7333,0.1429,0.2192,2.2543,0.0868,0.0000,5.8615,0.0157,1.0000,0.0037,0.1870,0.0000,0.0000,6.406E-11,5.0000,0.0304,0.0652,0.0000,0.0000,2.494E-17,10.0000,0.0875,0.0336,0.0391,0.0714,9.34E-19,5.2455,0.0328,0.0626,0.0000,0.0000,1.421E-17,19.7725,0.2827,0.0164,0.0938,0.2143,7.985E-18,9.5442,0.0832,0.0354,0.0391,0.0714,1.823E-18,6.6945,0.0470,0.0504,0.0078,0.0714,1.789E-16,5.2455,0.0328,0.0626,0.0078,0.0714,2.992E-15,5.2455,0.0328,0.0626,0.0000,0.0000,1.421E-17,2.8118,0.0136,0.1011,0.0000,0.0000,1.168E-14,9.7273,0.0850,0.0347,0.0391,0.0714,1.411E-18
Psephenus_herricki,128,3.3763,3.7631,500,0.9916,14,3.4624,0.9889,0.0030,10127,5.5115,0.8598,2.3375,0.0211,0.7701,0.8697,0.1975,0.0997,15.2669,2.1619,6.2652,0.1495,2.0299,0.5059,0.0448,0.4893,0.2307,0.6929,1.5169,17.1655,1.3279,0.5419,0.3328,1.3556,1.8473,35.3756,0.1191,0.0964,1.7064,0.1108,0.0000,5.9105,0.0165,1.0000,0.0040,0.1854,0.0000,0.0000,5.689E-11,5.0000,0.0322,0.0688,0.0000,0.0000,5.352E-17,10.0000,0.0892,0.0365,0.0234,0.0714,2.796E-18,6.5952,0.0488,0.0547,0.0000,0.0000,2.15E-18,21.6656,0.3028,0.0159,0.0938,0.2143,5.712E-18,11.5115,0.1121,0.0315,0.0312,0.0714,4.086E-19,6.5952,0.0488,0.0547,0.0000,0.0000,2.15E-18,8.3960,0.0655,0.0438,0.0156,0.0714,2.97E-17,8.3879,0.0655,0.0438,0.0156,0.0000,9.697E-20,2.7494,0.0144,0.1051,0.0000,0.0000,1.997E-14,10.0761,0.0895,0.0363,0.0234,0.0714,2.606E-18
Psephenus_herricki,128,3.4671,3.7831,500,0.9914,14,2.5844,0.9549,0.0249,10127,3.2901,0.3338,0.6217,1.9259,1.0534,1.4341,0.2015,0.4510,15.1198,4.4615,9.7840,0.2578,1.5800,0.3859,0.1013,0.6366,0.2418,1.0526,0.7638,17.2838,1.3809,0.4093,0.0889,0.0441,3.0405,32.2926,0.0999,0.1255,1.4097,0.1285,0.0000,5.8110,0.0150,1.0000,0.0045,0.1560,0.0000,0.0714,3.886E-10,5.0000,0.0355,0.0580,0.0078,0.2143,7.669E-12,10.0000,0.0998,0.0316,0.0391,0.2143,1.045E-14,3.8065,0.0231,0.0712,0.0000,0.2143,7.083E-11,19.5385,0.2791,0.0160,0.0859,0.2857,1.036E-15,9.6299,0.0937,0.0328,0.0312,0.2143,1.562E-14,5.9575,0.0445,0.0503,0.0078,0.2143,1.634E-12,1.5825,0.0079,0.1236,0.0000,0.1429,9.106E-10,1.5809,0.0079,0.1236,0.0000,0.0714,1.953E-11,2.4178,0.0130,0.0973,0.0000,0.1429,5.405E-11,9.5990,0.0932,0.0329,0.0312,0.2143,1.614E-14
Psephenus_herricki,128,3.3789,3.7551,500,0.9916,14,3.9245,0.9934,0.0014,10127,2.8242,1.4013,1.0655,0.4884,0.6467,0.7620,0.1452,0.2202,14.8595,7.8435,10.8588,0.5212,2.0521,0.3549,0.5537,0.3038,0.2059,1.2287,1.3358,15.9799,2.0050,0.4763,0.1928,0.0109,0.6438,30.2685,0.0994,0.3079,2.2282,0.1160,0.0000,5.8843,0.0161,1.0000,0.0036,0.1904,0.0000,0.0000,8.218E-11,5.0000,0.0311,0.0675,0.0000,0.0000,4.112E-17,10.0000,0.0843,0.0354,0.0312,0.0000,4.95E-21,7.8708,0.0607,0.0451,0.0000,0.0000,1.452E-19,21.6593,0.3139,0.0155,0.0938,0.0714,4.124E-23,11.2105,0.1053,0.0312,0.0312,0.0000,8.296E-22,7.8708,0.0607,0.0451,0.0000,0.0000,1.452E-19,20.8794,0.3025,0.0162,0.0859,0.0000,8.533E-26,20.8794,0.3025,0.0162,0.0859,0.0000,8.533E-26,2.8323,0.0140,0.1024,0.0000,0.0000,1.394E-14,10.0033,0.0843,0.0354,0.0312,0.0000,4.95E-21
Psephenus_herricki,128,3.4122,3.7606,500,0.9915,14,3.5413,0.9889,0.0031,10127,0.5327,0.6755,2.1697,0.5173,0.5452,1.1423,0.4410,0.1772,21.6268,2.3465,9.7427,0.4203,1.7228,0.4249,0.7278,0.4586,0.2776,0.9725,0.9532,14.4952,1.3362,0.2760,0.1648,1.0386,2.2683,32.7051,0.1593,0.1561,1.3418,0.1841,0.0000,5.8680,0.0158,1.0000,0.0037,0.1887,0.0000,0.0000,7.26E-11,5.0000,0.0303,0.0670,0.0000,0.0000,3.711E-17,10.0000,0.0843,0.0346,0.0391,0.0714,1.36E-18,7.0863,0.0501,0.0492,0.0000,0.0000,4.836E-19,21.8569,0.3323,0.0149,0.0938,0.2143,2.829E-18,9.7157,0.0801,0.0357,0.0391,0.0714,2.106E-18,7.0863,0.0501,0.0492,0.0000,0.0000,4.836E-19,7.3322,0.0531,0.0477,0.0078,0.0714,8.841E-17,7.3243,0.0530,0.0477,0.0078,0.0000,3.152E-19,2.8057,0.0138,0.1031,0.0000,0.0000,1.531E-14,9.9428,0.0838,0.0349,0.0391,0.0714,1.519E-18
Psephenus_herricki,128,3.4173,3.7690,500,0.9916,14,3.7475,0.9919,0.0015,10127,2.1249,1.4820,0.3342,0.3500,0.6299,0.7159,0.0593,0.0875,14.7836,6.5209,10.7452,0.2387,1.4965,0.3931,0.5232,0.6073,0.1993,0.6820,1.2934,16.0568,0.9514,0.4537,0.1308,1.7153,1.4674,33.8808,0.1792,0.1464,1.6859,0.0656,0.0000,5.8521,0.0156,1.0000,0.0036,0.1829,0.0000,0.0000,4.68E-11,5.0000,0.0329,0.0640,0.0000,0.0000,1.929E-17,10.0000,0.0853,0.0335,0.0312,0.0000,2.219E-21,6.6817,0.0487,0.0500,0.0000,0.0000,6.045E-19,19.2009,0.2788,0.0169,0.0938,0.1429,4.738E-20,10.6966,0.1001,0.0312,0.0312,0.0000,8.296E-22,6.6817,0.0487,0.0500,0.0000,0.0000,6.045E-19,17.2039,0.2314,0.0189,0.0625,0.0000,7.207E-25,17.2039,0.2314,0.0189,0.0625,0.0000,7.207E-25,2.7104,0.0135,0.1000,0.0000,0.0000,1.004E-14,9.8049,0.0815,0.0343,0.0234,0.0000,3.075E-21
