Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pseudacris_crucifer,49,3.9961,4.5768,500,0.9961,6,3.3635,0.9611,0.0330,10048,4.4257,0.9527,0.3253,0.6715,0.4150,41.7606,7.6350,0.5159,0.3674,2.7519,0.9558,1.2595,2.5023,0.5374,0.1102,0.8503,0.0751,0.0093,0.3408,1.1911,1.2989,2.5643,0.0000,0.2460,0.0000,24.8067,0.6945,0.1511,2.4639,0.1218,0.0000,5.2402,0.0085,1.0000,0.0023,0.1433,0.0000,0.1667,3.194E-4,5.0000,0.0226,0.0410,0.0000,0.1667,6.716E-7,10.0000,0.0829,0.0199,0.0408,0.1667,1.843E-8,5.1341,0.0243,0.0400,0.0000,0.1667,5.945E-7,28.8384,0.4046,0.0064,0.0816,0.1667,6.257E-11,9.7815,0.0771,0.0204,0.0204,0.1667,2.085E-8,5.1341,0.0243,0.0400,0.0000,0.1667,5.945E-7,0.7626,0.0016,0.1667,0.0000,0.1667,6.651E-4,36.4996,0.5147,0.0046,0.1633,0.1667,1.202E-11,2.5240,0.0074,0.0760,0.0000,0.1667,1.428E-5,10.6318,0.0938,0.0187,0.0408,0.1667,1.354E-8
Pseudacris_crucifer,49,4.0388,4.6789,500,0.9967,6,2.2663,0.9514,0.0291,10048,2.6411,1.7566,0.7260,0.3116,1.9906,34.3681,12.0193,0.6903,2.9313,0.5602,0.3144,1.9272,4.5244,0.5834,0.0000,0.8373,0.8109,0.0000,0.3162,0.6673,1.4960,2.2861,0.0000,0.0186,0.2313,23.8085,0.7446,0.7580,2.6807,0.0000,0.0000,5.1963,0.0080,1.0000,0.0017,0.1760,0.0000,0.1667,8.636E-4,5.0000,0.0176,0.0444,0.0000,0.3333,5.417E-5,10.0000,0.0733,0.0198,0.0204,0.3333,2.235E-6,7.3584,0.0389,0.0287,0.0000,0.3333,9.665E-6,24.5645,0.3398,0.0068,0.0816,0.5000,6.105E-6,9.7716,0.0653,0.0204,0.0204,0.3333,2.515E-6,7.3584,0.0389,0.0287,0.0000,0.3333,9.665E-6,1.0917,0.0019,0.1667,0.0000,0.1667,6.651E-4,0.8245,0.0013,0.1970,0.0000,0.0000,5.837E-5,3.0095,0.0076,0.0760,0.0000,0.1667,1.428E-5,10.9210,0.0841,0.0179,0.0204,0.3333,1.501E-6
Pseudacris_crucifer,49,3.8609,4.4688,500,0.9954,6,4.9285,0.9979,0.0005,10048,3.2934,3.3008,1.2060,0.9813,2.3739,29.5281,6.2821,0.5821,0.1963,3.6037,0.1533,2.7752,2.4509,0.5644,0.0000,0.2467,0.3065,0.0000,1.7928,0.7733,1.6831,2.2849,0.0000,0.1708,0.0000,31.5167,1.0602,0.5650,2.2886,0.0197,0.0000,5.3768,0.0097,1.0000,0.0021,0.1820,0.0000,0.0000,3.638E-5,5.0000,0.0200,0.0533,0.0204,0.0000,2.304E-8,10.0000,0.0647,0.0248,0.0408,0.0000,2.316E-10,4.8225,0.0190,0.0552,0.0000,0.0000,2.84E-8,27.7996,0.3780,0.0074,0.0816,0.0000,1.596E-13,9.6877,0.0597,0.0258,0.0204,0.0000,2.933E-10,9.6877,0.0597,0.0258,0.0204,0.0000,2.933E-10,53.9374,0.7047,0.0029,0.3469,0.0000,5.78E-16,53.9374,0.7047,0.0029,0.3469,0.0000,5.78E-16,2.9373,0.0085,0.0875,0.0000,0.0000,4.482E-7,11.2255,0.0802,0.0215,0.0408,0.0000,9.868E-11
Pseudacris_crucifer,49,4.0092,4.6035,500,0.9962,6,3.7595,0.9903,0.0034,10048,3.6584,0.1623,0.2707,1.8022,3.4772,41.1948,7.2486,0.7870,0.2499,3.3720,0.0533,3.0618,2.9624,0.0172,0.0112,0.1217,0.2897,0.0000,0.6475,0.7398,1.0416,3.7906,0.1219,0.0685,0.0024,22.0172,0.6654,0.7230,1.3393,0.0773,0.0248,5.2181,0.0082,1.0000,0.0018,0.1666,0.0000,0.0000,2.138E-5,5.0000,0.0198,0.0430,0.0000,0.0000,6.316E-9,10.0000,0.0738,0.0194,0.0408,0.1667,1.625E-8,6.2753,0.0297,0.0337,0.0000,0.0000,1.475E-9,26.7409,0.3747,0.0063,0.0816,0.5000,4.86E-6,8.8450,0.0564,0.0226,0.0204,0.1667,3.464E-8,6.2753,0.0297,0.0337,0.0000,0.0000,1.475E-9,8.0059,0.0459,0.0254,0.0204,0.0000,2.672E-10,8.0059,0.0459,0.0254,0.0204,0.0000,2.672E-10,2.8194,0.0073,0.0758,0.0000,0.0000,1.902E-7,10.5356,0.0829,0.0183,0.0408,0.1667,1.217E-8
Pseudacris_crucifer,49,4.0889,4.6913,500,0.9966,6,1.6389,0.8949,0.0891,10048,4.6413,0.9022,1.2455,0.4135,1.7143,35.8739,8.2956,1.0350,0.0000,1.8752,0.3573,0.6853,2.8751,0.3905,0.0216,0.1271,0.3459,0.0313,0.4980,0.5402,0.5007,2.0156,0.0000,0.1738,0.0000,30.8655,1.7303,0.5345,2.3108,0.0000,0.0000,5.1578,0.0078,1.0000,0.0025,0.1238,0.0000,0.1667,1.565E-4,5.0000,0.0238,0.0369,0.0000,0.1667,3.991E-7,10.0000,0.0783,0.0185,0.0204,0.1667,1.284E-8,5.7200,0.0311,0.0325,0.0000,0.1667,2.131E-7,27.6906,0.4078,0.0060,0.0816,0.6667,5.264E-4,9.1531,0.0679,0.0204,0.0204,0.1667,2.085E-8,5.7200,0.0311,0.0325,0.0000,0.1667,2.131E-7,0.5477,0.0013,0.1667,0.0000,0.1667,6.651E-4,10.4894,0.0863,0.0175,0.0204,0.1667,9.748E-9,2.2802,0.0069,0.0719,0.0000,0.1667,1.08E-5,10.7011,0.0905,0.0172,0.0204,0.3333,1.282E-6
Pseudacris_crucifer,50,3.8941,4.4870,500,0.9957,5,4.5948,0.9969,0.0008,10049,3.2477,3.0234,1.2642,0.5664,0.5534,35.1368,6.4675,0.6581,0.0109,3.1597,0.7268,2.2798,2.8907,0.6425,0.7008,0.4898,0.6380,0.0000,1.5746,0.8249,1.3742,3.2809,0.2499,0.0998,0.0000,27.1073,0.6887,0.4299,1.8802,0.0332,0.0000,5.3340,0.0092,1.0000,0.0019,0.1870,0.0000,0.0000,2.286E-4,5.0000,0.0195,0.0515,0.0000,0.0000,3.639E-7,10.0000,0.0669,0.0232,0.0400,0.0000,6.701E-9,5.6572,0.0231,0.0453,0.0000,0.0000,1.903E-7,27.1652,0.3794,0.0072,0.1000,0.0000,1.888E-11,9.7203,0.0609,0.0241,0.0200,0.0000,8.1E-9,9.7203,0.0609,0.0241,0.0200,0.0000,8.1E-9,35.8113,0.5092,0.0050,0.1800,0.0000,3.05E-12,35.8113,0.5092,0.0050,0.1800,0.0000,3.05E-12,3.0318,0.0081,0.0836,0.0000,0.0000,4.081E-6,11.0150,0.0787,0.0206,0.0400,0.0000,3.709E-9
Pseudacris_crucifer,50,3.9754,4.5593,500,0.9960,5,2.6402,0.9528,0.0371,10050,1.1924,1.6465,0.8516,1.2077,4.0970,31.5536,9.4111,1.0397,3.2650,2.0119,0.1555,1.4928,3.4430,0.7218,0.0060,0.3244,0.4869,0.0551,0.2856,1.1261,0.0211,3.0761,0.0000,0.0000,0.0000,29.4599,0.5935,0.3530,2.0693,0.0534,0.0000,5.2751,0.0087,1.0000,0.0018,0.1774,0.0000,0.2000,4.25E-3,5.0000,0.0192,0.0462,0.0000,0.2000,2.188E-5,10.0000,0.0704,0.0213,0.0400,0.2000,1.01E-6,5.8712,0.0259,0.0389,0.0000,0.2000,1.11E-5,28.1030,0.3948,0.0065,0.1000,0.6000,4.129E-4,8.4778,0.0524,0.0258,0.0200,0.2000,2.16E-6,5.8712,0.0259,0.0389,0.0000,0.2000,1.11E-5,0.8159,0.0014,0.2000,0.0000,0.2000,6.72E-3,17.9543,0.2371,0.0107,0.0600,0.2000,6.611E-8,2.9730,0.0077,0.0785,0.0000,0.2000,1.78E-4,10.8126,0.0819,0.0194,0.0400,0.2000,6.977E-7
Pseudacris_crucifer,50,3.8930,4.4867,500,0.9955,5,4.4711,0.9966,0.0011,10049,1.5135,2.3235,1.3202,0.0145,0.6454,38.2601,5.8844,0.7745,2.4057,2.4310,0.0662,4.4000,3.6880,0.4429,0.0000,0.2592,0.2792,0.0074,0.3214,1.3300,1.8401,2.5218,0.0000,0.0521,0.0111,25.5867,0.9733,0.7508,1.8841,0.0129,0.0000,5.3324,0.0092,1.0000,0.0022,0.1647,0.0000,0.0000,1.212E-4,5.0000,0.0204,0.0484,0.0200,0.0000,2.646E-7,10.0000,0.0696,0.0226,0.0400,0.0000,5.882E-9,4.7538,0.0190,0.0510,0.0000,0.0000,3.433E-7,27.8121,0.3959,0.0070,0.1000,0.0000,1.64E-11,9.0504,0.0591,0.0255,0.0200,0.0000,1.073E-8,9.0504,0.0591,0.0255,0.0200,0.0000,1.073E-8,30.7100,0.4363,0.0062,0.1600,0.0000,8.94E-12,30.7100,0.4363,0.0062,0.1600,0.0000,8.94E-12,2.7141,0.0081,0.0845,0.0000,0.0000,4.305E-6,10.8637,0.0797,0.0205,0.0400,0.0000,3.62E-9
Pseudacris_crucifer,50,3.9111,4.5152,500,0.9956,5,3.9628,0.9879,0.0092,10049,2.4567,1.0752,1.5846,0.2768,1.5495,41.1959,6.7527,1.0494,1.4933,1.4199,0.4011,3.7684,2.5933,0.7040,0.0000,0.8348,0.1927,0.0026,2.5941,1.2968,0.0802,2.9148,0.0000,0.0053,0.0000,22.9338,0.7661,0.7585,1.2640,0.0354,0.0000,5.3323,0.0092,1.0000,0.0021,0.1811,0.0000,0.0000,1.949E-4,5.0000,0.0193,0.0519,0.0200,0.2000,3.489E-5,10.0000,0.0638,0.0244,0.0400,0.2000,1.732E-6,4.8226,0.0177,0.0539,0.0000,0.0000,4.564E-7,27.4069,0.3911,0.0068,0.1000,0.2000,1.043E-8,8.8487,0.0538,0.0283,0.0200,0.2000,3.118E-6,8.8487,0.0538,0.0283,0.0200,0.2000,3.118E-6,4.9037,0.0183,0.0529,0.0200,0.0000,4.159E-7,4.9037,0.0183,0.0529,0.0200,0.0000,4.159E-7,2.9948,0.0082,0.0846,0.0000,0.0000,4.33E-6,11.5285,0.0842,0.0205,0.0400,0.2000,8.685E-7
Pseudacris_crucifer,50,3.8906,4.5166,500,0.9957,5,4.3897,0.9961,0.0015,10049,2.9856,1.6537,0.8789,1.8774,4.3973,30.9687,8.3879,0.7538,0.0406,4.5061,0.4700,2.6483,3.3973,0.5613,2.2577,0.4644,0.3463,0.0000,0.4128,0.5323,1.6297,2.3192,0.0000,0.1109,0.0000,24.4759,0.8249,0.7672,2.3216,0.0101,0.0000,5.3509,0.0094,1.0000,0.0020,0.1824,0.0000,0.0000,2.019E-4,5.0000,0.0193,0.0514,0.0000,0.0000,3.604E-7,10.0000,0.0658,0.0237,0.0200,0.0000,7.452E-9,5.2588,0.0212,0.0489,0.0000,0.0000,2.785E-7,28.9480,0.4054,0.0067,0.1000,0.2000,9.828E-9,10.0552,0.0662,0.0235,0.0200,0.0000,7.144E-9,10.0552,0.0662,0.0235,0.0200,0.0000,7.144E-9,21.7760,0.2731,0.0098,0.0600,0.0000,8.821E-11,21.7760,0.2731,0.0098,0.0600,0.0000,8.821E-11,3.0017,0.0083,0.0835,0.0000,0.0000,4.057E-6,11.1014,0.0851,0.0209,0.0400,0.0000,3.985E-9
