Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pseudaletia_unipuncta,67,3.8951,4.5758,500,0.9964,8,3.7206,0.9855,0.0095,10067,7.8232,3.7910,8.0420,0.9287,9.7075,11.9096,5.9424,12.1093,0.3820,1.1881,0.0000,1.8843,9.7566,0.4803,10.1647,1.6206,0.0932,0.0000,0.3876,0.0000,0.0000,7.9635,0.2728,0.4986,0.0000,0.2574,1.3005,0.0075,1.4571,1.9789,0.0525,5.3497,0.0092,1.0000,0.0021,0.1865,0.0000,0.0000,1.461E-6,5.0000,0.0187,0.0584,0.0000,0.1250,1.761E-8,10.0000,0.0553,0.0255,0.0000,0.1250,5.527E-11,14.3105,0.1194,0.0147,0.0000,0.1250,1.172E-12,27.9889,0.5025,0.0063,0.0896,0.2500,1.664E-12,14.3752,0.1199,0.0147,0.0149,0.2500,2.756E-10,14.3105,0.1194,0.0147,0.0000,0.1250,1.172E-12,3.2917,0.0097,0.0844,0.0000,0.1250,2.267E-7,3.2898,0.0097,0.0844,0.0000,0.0000,2.583E-9,2.9486,0.0083,0.0924,0.0000,0.0000,5.305E-9,11.4539,0.0677,0.0209,0.0000,0.1250,1.35E-11
Pseudaletia_unipuncta,67,3.8432,4.5409,500,0.9965,8,4.7718,0.9977,0.0007,10067,8.2783,4.2189,7.1458,3.3073,5.3530,13.3463,7.3009,7.9924,0.0012,1.3140,0.0015,3.4111,8.5749,0.5040,10.4860,1.1011,0.2715,0.0000,0.6540,0.0000,0.0000,8.8947,0.2747,0.7224,0.0000,1.9973,0.6578,0.0531,1.5117,2.5997,0.0265,5.4247,0.0100,1.0000,0.0024,0.1843,0.0000,0.0000,1.329E-6,5.0000,0.0199,0.0610,0.0000,0.0000,1.915E-10,10.0000,0.0565,0.0285,0.0000,0.0000,4.364E-13,22.0865,0.3032,0.0091,0.0000,0.0000,4.865E-17,30.4649,0.4949,0.0063,0.0896,0.0000,2.352E-18,22.2815,0.3067,0.0091,0.0149,0.0000,4.865E-17,22.0865,0.3032,0.0091,0.0000,0.0000,4.865E-17,35.0652,0.5730,0.0054,0.1940,0.0000,6.854E-19,35.0652,0.5730,0.0054,0.1940,0.0000,6.854E-19,2.8506,0.0089,0.0971,0.0000,0.0000,7.934E-9,11.8721,0.0728,0.0224,0.0000,0.0000,6.452E-14
Pseudaletia_unipuncta,67,3.8753,4.5543,500,0.9965,8,3.9198,0.9740,0.0221,10067,10.3904,0.9854,7.4500,2.1503,6.5284,14.5941,6.4696,11.0305,0.8844,0.1922,0.0057,3.3397,5.8137,0.5168,11.5074,0.6570,0.3179,0.0000,0.3553,0.0000,0.0000,9.4827,0.2922,0.6737,0.0000,1.7623,1.4227,0.0000,0.9393,2.1269,0.1113,5.3894,0.0096,1.0000,0.0024,0.1761,0.0000,0.1250,3.557E-5,5.0000,0.0195,0.0573,0.0000,0.1250,1.544E-8,10.0000,0.0602,0.0257,0.0000,0.1250,5.834E-11,21.3258,0.2861,0.0091,0.0000,0.1250,4.225E-14,29.9194,0.4944,0.0063,0.0896,0.1250,2.991E-15,21.5090,0.2863,0.0091,0.0149,0.1250,4.225E-14,21.3258,0.2861,0.0091,0.0000,0.1250,4.225E-14,1.8312,0.0049,0.1250,0.0000,0.1250,3.391E-6,48.1593,0.6862,0.0039,0.3284,0.1250,1.044E-16,2.8075,0.0086,0.0926,0.0000,0.1250,4.286E-7,11.3649,0.0775,0.0218,0.0000,0.1250,1.809E-11
Pseudaletia_unipuncta,67,3.8610,4.5415,500,0.9965,8,3.9272,0.9932,0.0030,10067,10.6563,3.1124,1.9171,2.6349,9.9713,13.8066,7.1336,10.2492,0.0000,1.6170,0.0087,2.2454,5.3933,0.4482,11.6422,0.9597,0.1883,0.0000,0.4683,0.0000,0.0243,9.3443,0.4341,0.7001,0.0520,1.3467,0.2951,0.0080,1.4113,3.9090,0.0225,5.4047,0.0098,1.0000,0.0024,0.1769,0.0000,0.0000,9.596E-7,5.0000,0.0202,0.0576,0.0000,0.0000,1.214E-10,10.0000,0.0576,0.0264,0.0000,0.0000,2.376E-13,22.1885,0.2944,0.0090,0.0000,0.2500,1.504E-11,29.2693,0.4951,0.0065,0.0896,0.2500,2.006E-12,22.1885,0.2944,0.0090,0.0000,0.2500,1.504E-11,22.1885,0.2944,0.0090,0.0000,0.2500,1.504E-11,11.8880,0.0864,0.0209,0.0000,0.0000,3.586E-14,11.8880,0.0864,0.0209,0.0000,0.0000,3.586E-14,2.8067,0.0087,0.0938,0.0000,0.0000,5.978E-9,11.4307,0.0790,0.0221,0.0000,0.0000,5.593E-14
Pseudaletia_unipuncta,67,3.9085,4.5594,500,0.9964,8,3.3284,0.9668,0.0261,10067,8.7167,5.7888,0.7849,0.4090,5.8619,21.8853,7.3964,7.6245,0.0000,1.6141,0.0087,2.3394,6.4265,0.2846,14.6800,0.9778,0.2595,0.0000,0.1368,0.0000,0.0000,8.8418,0.1931,0.5185,0.0000,1.2504,0.8359,0.1091,0.8542,2.2020,0.0000,5.3657,0.0093,1.0000,0.0021,0.1887,0.0000,0.1250,5.697E-5,5.0000,0.0182,0.0603,0.0000,0.1250,2.196E-8,10.0000,0.0539,0.0268,0.0000,0.1250,7.799E-11,11.4629,0.0675,0.0221,0.0000,0.1250,1.99E-11,26.4014,0.4440,0.0067,0.0746,0.2500,2.406E-12,14.7172,0.1139,0.0149,0.0149,0.2500,2.986E-10,11.4629,0.0675,0.0221,0.0000,0.1250,1.99E-11,2.0164,0.0052,0.1250,0.0000,0.1250,3.391E-6,11.4629,0.0675,0.0221,0.0000,0.1250,1.99E-11,2.9500,0.0084,0.0952,0.0000,0.1250,5.183E-7,11.7779,0.0713,0.0212,0.0149,0.2500,2.422E-9
Pseudaletia_unipuncta,68,3.8602,4.5314,500,0.9964,7,4.2850,0.9948,0.0017,10068,7.5368,5.6488,3.1474,0.8818,9.0857,11.8754,5.7058,16.6208,0.3376,2.0485,0.0000,1.7895,7.9143,0.4411,9.3659,1.6322,0.2169,0.0000,0.5675,0.0000,0.0000,8.2945,0.1314,0.5587,0.0000,1.2117,0.8642,0.0026,1.4097,2.6733,0.0380,5.3875,0.0096,1.0000,0.0022,0.1800,0.0000,0.0000,6.117E-6,5.0000,0.0187,0.0578,0.0000,0.0000,2.157E-9,10.0000,0.0584,0.0261,0.0000,0.0000,8.3E-12,14.8547,0.1275,0.0151,0.0000,0.0000,1.788E-13,26.3624,0.4207,0.0070,0.0735,0.1429,7.86E-13,15.1362,0.1365,0.0147,0.0147,0.1429,6.974E-11,14.8547,0.1275,0.0151,0.0000,0.0000,1.788E-13,14.8547,0.1275,0.0151,0.0000,0.0000,1.788E-13,14.8547,0.1275,0.0151,0.0000,0.0000,1.788E-13,2.8159,0.0086,0.0938,0.0000,0.0000,6.371E-8,11.4634,0.0765,0.0217,0.0000,0.0000,2.231E-12
Pseudaletia_unipuncta,68,3.8832,4.5232,500,0.9957,7,4.0441,0.9883,0.0080,10068,7.7897,4.0590,5.8306,2.1093,7.9418,10.9433,4.9073,10.3304,0.5049,1.5839,0.0249,2.0839,6.8217,0.5553,15.1469,2.1123,0.2530,0.0288,0.2395,0.0000,0.0000,8.8711,0.4420,0.5710,0.0000,1.2980,0.3856,0.0000,1.0513,4.0972,0.0174,5.3662,0.0094,1.0000,0.0023,0.1754,0.0000,0.0000,5.109E-6,5.0000,0.0197,0.0560,0.0147,0.1429,2.059E-7,10.0000,0.0575,0.0246,0.0147,0.1429,1.531E-9,4.3959,0.0158,0.0632,0.0000,0.0000,4.014E-9,27.0922,0.4602,0.0068,0.0735,0.1429,6.606E-13,14.5457,0.1401,0.0147,0.0147,0.1429,6.974E-11,20.0258,0.2631,0.0094,0.0147,0.1429,4.901E-12,4.3959,0.0158,0.0632,0.0000,0.0000,4.014E-9,4.3959,0.0158,0.0632,0.0000,0.0000,4.014E-9,2.7592,0.0084,0.0929,0.0000,0.0000,5.958E-8,11.0689,0.0701,0.0213,0.0147,0.1429,6.338E-10
Pseudaletia_unipuncta,68,3.9069,4.5460,500,0.9959,7,3.5505,0.9862,0.0069,10068,6.3611,4.8089,0.8959,2.3515,8.8775,13.6772,5.5969,10.1366,1.6908,1.1169,0.0222,2.2458,7.9274,0.5397,14.8971,2.6025,0.2654,0.0000,0.2144,0.0000,0.0000,7.9035,0.1708,0.6588,0.0000,1.5481,0.7435,0.0000,0.9850,3.6309,0.1316,5.3716,0.0094,1.0000,0.0022,0.1854,0.0000,0.0000,7.541E-6,5.0000,0.0186,0.0580,0.0000,0.0000,2.209E-9,10.0000,0.0545,0.0249,0.0147,0.2857,1.939E-7,5.5726,0.0219,0.0520,0.0000,0.0000,1.034E-9,27.9855,0.4889,0.0066,0.0882,0.2857,2.515E-10,14.4901,0.1322,0.0147,0.0147,0.2857,1.406E-8,25.0522,0.4358,0.0072,0.0147,0.2857,3.881E-10,5.5726,0.0219,0.0520,0.0000,0.0000,1.034E-9,5.5726,0.0219,0.0520,0.0000,0.0000,1.034E-9,2.9282,0.0084,0.0927,0.0000,0.0000,5.869E-8,11.1185,0.0701,0.0214,0.0147,0.2857,8.997E-8
Pseudaletia_unipuncta,68,3.8873,4.5283,500,0.9962,7,3.9357,0.9929,0.0030,10068,3.0802,8.7887,2.6776,4.5911,8.2896,10.0301,7.7232,16.1967,0.4883,1.5093,0.0235,2.3230,4.9032,0.3405,10.1594,0.9636,0.2647,0.0000,0.4347,0.0000,0.0000,9.9710,0.3747,0.5801,0.0000,1.3015,1.1427,0.0016,1.2085,2.6325,0.0000,5.3699,0.0094,1.0000,0.0023,0.1710,0.0000,0.0000,4.282E-6,5.0000,0.0202,0.0563,0.0000,0.0000,1.797E-9,10.0000,0.0601,0.0258,0.0000,0.0000,7.66E-12,10.0544,0.0601,0.0256,0.0000,0.0000,7.257E-12,27.9774,0.4607,0.0064,0.0882,0.4286,5.628E-8,14.9974,0.1275,0.0147,0.0147,0.1429,6.974E-11,20.9118,0.2696,0.0091,0.0147,0.1429,4.043E-12,10.0544,0.0601,0.0256,0.0000,0.0000,7.257E-12,10.0544,0.0601,0.0256,0.0000,0.0000,7.257E-12,2.7228,0.0085,0.0927,0.0000,0.0000,5.869E-8,11.5440,0.0768,0.0213,0.0147,0.1429,6.338E-10
Pseudaletia_unipuncta,68,3.9119,4.5377,500,0.9962,7,2.7260,0.9852,0.0039,10068,5.2309,6.1755,7.5189,3.7104,7.5111,13.5746,6.5125,12.8846,0.0000,1.7616,0.0292,1.4474,5.8140,0.5314,11.3365,0.8560,0.2133,0.0000,0.0591,0.0000,0.0000,7.9040,0.0383,0.5075,0.0000,1.3199,0.3115,0.0179,1.1815,3.5525,0.0000,5.3527,0.0092,1.0000,0.0022,0.1875,0.0000,0.0000,8.155E-6,5.0000,0.0182,0.0588,0.0000,0.0000,2.43E-9,10.0000,0.0547,0.0261,0.0000,0.0000,8.3E-12,10.5877,0.0599,0.0241,0.0000,0.0000,4.771E-12,26.2056,0.4291,0.0065,0.0735,0.5714,9.237E-6,14.8038,0.1148,0.0147,0.0147,0.5714,1.064E-4,21.1161,0.2546,0.0084,0.0147,0.5714,2.053E-5,10.5877,0.0599,0.0241,0.0000,0.0000,4.771E-12,10.5877,0.0599,0.0241,0.0000,0.0000,4.771E-12,2.9724,0.0083,0.0934,0.0000,0.0000,6.184E-8,11.6794,0.0760,0.0210,0.0147,0.5714,3.024E-4
