Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pseudopolydesmus_canadensis,219,3.6142,3.7791,500,0.9893,25,3.7251,0.9883,0.0015,10219,0.5284,1.8748,2.5614,0.5807,1.1998,3.4297,0.0795,0.0000,0.0000,15.2839,0.3300,0.1405,19.5488,0.0024,0.0150,6.2370,0.0097,0.0000,0.0000,0.0016,0.0275,20.0898,0.0000,0.1293,1.2226,1.9496,5.4693,0.0188,7.9715,11.2980,0.0003,5.6316,0.0130,1.0000,0.0049,0.0616,0.0000,0.0000,5.383E-31,5.0000,0.2604,0.0214,0.0046,0.0400,2.157E-39,10.0000,0.5437,0.0195,0.0913,0.1200,5.07E-35,4.5169,0.1644,0.0219,0.0000,0.0000,3.319E-42,22.2442,0.5437,0.0172,0.0913,0.1200,3.423E-36,7.8360,0.5176,0.0205,0.0183,0.0400,7.884E-40,4.5169,0.1644,0.0219,0.0000,0.0000,3.319E-42,4.5169,0.1644,0.0219,0.0046,0.0400,3.706E-39,4.5169,0.1644,0.0219,0.0000,0.0000,3.319E-42,1.5008,0.0107,0.0434,0.0000,0.0000,8.899E-35,2.7930,0.0417,0.0273,0.0000,0.0000,8.033E-40
Pseudopolydesmus_canadensis,219,3.6160,3.7840,500,0.9893,25,3.7862,0.9890,0.0013,10219,1.9909,3.0540,2.6834,0.0145,0.9373,2.2441,0.0644,0.0000,0.0000,11.2484,0.0018,0.1230,19.2909,0.0235,0.0000,7.7434,0.0198,0.0000,0.6194,0.0000,0.0456,20.7802,0.0000,0.1427,1.2011,2.0109,6.3009,0.0247,6.3599,13.0696,0.0055,5.6204,0.0129,1.0000,0.0053,0.0573,0.0000,0.0000,9.167E-32,5.0000,0.4069,0.0213,0.0046,0.0000,1.683E-42,10.0000,0.5355,0.0194,0.0365,0.0800,1.169E-37,4.8882,0.3408,0.0214,0.0000,0.0000,1.888E-42,13.0111,0.5398,0.0194,0.0959,0.0800,1.169E-37,6.0427,0.5060,0.0210,0.0183,0.0400,1.386E-39,4.8882,0.3408,0.0214,0.0000,0.0000,1.888E-42,6.0427,0.5060,0.0210,0.0183,0.0400,1.386E-39,5.6716,0.4413,0.0210,0.0137,0.0000,1.191E-42,1.4185,0.0107,0.0426,0.0000,0.0000,5.334E-35,2.6406,0.0425,0.0270,0.0000,0.0000,6.131E-40
Pseudopolydesmus_canadensis,219,3.6046,3.7825,500,0.9893,25,3.8231,0.9935,0.0010,10219,2.4009,3.5184,0.5336,0.0464,0.7680,5.4048,0.0800,0.0000,0.0000,11.6321,0.1342,0.2952,20.1924,0.1075,0.0185,7.2473,0.0122,0.0000,0.0000,0.0000,0.8530,19.3326,0.0000,0.1316,1.2343,1.9436,6.3693,0.0274,5.7156,12.0006,0.0002,5.6325,0.0130,1.0000,0.0047,0.0636,0.0000,0.0000,1.224E-30,5.0000,0.3724,0.0214,0.0000,0.0000,1.888E-42,10.0000,0.5394,0.0192,0.1050,0.0000,1.178E-43,5.1087,0.3724,0.0214,0.0000,0.0000,1.888E-42,8.6713,0.5336,0.0205,0.0457,0.0000,5.867E-43,5.9499,0.4906,0.0211,0.0228,0.0000,1.337E-42,5.1087,0.3724,0.0214,0.0000,0.0000,1.888E-42,23.6443,0.5394,0.0168,0.1050,0.0000,4.498E-45,23.6443,0.5394,0.0168,0.1050,0.0000,4.498E-45,1.5010,0.0108,0.0444,0.0000,0.0000,1.553E-34,2.7947,0.0381,0.0273,0.0000,0.0000,8.033E-40
Pseudopolydesmus_canadensis,219,3.6049,3.7805,500,0.9893,25,3.7984,0.9890,0.0014,10219,2.2154,1.4976,1.4018,0.6566,0.6913,2.4850,0.2311,0.0000,0.0000,15.1429,0.0000,0.1317,19.7979,0.0276,0.0174,6.1512,0.0259,0.2632,0.0000,0.0000,0.0092,21.1818,0.0000,0.1002,1.0816,2.0859,5.6498,0.2553,7.5756,10.8504,0.4735,5.6394,0.0131,1.0000,0.0044,0.0661,0.0000,0.0000,3.143E-30,5.0000,0.3199,0.0215,0.0000,0.0000,2.115E-42,10.0000,0.5435,0.0182,0.1507,0.1200,1.151E-35,5.2844,0.3778,0.0213,0.0000,0.0000,1.683E-42,8.8221,0.5413,0.0205,0.0457,0.0000,5.867E-43,6.8430,0.5231,0.0209,0.0228,0.0000,1.06E-42,5.2844,0.3778,0.0213,0.0000,0.0000,1.683E-42,8.8221,0.5413,0.0205,0.0457,0.0000,5.867E-43,8.8221,0.5413,0.0205,0.0457,0.0000,5.867E-43,1.5580,0.0108,0.0441,0.0000,0.0000,1.316E-34,2.8369,0.0395,0.0275,0.0000,0.0000,9.604E-40
Pseudopolydesmus_canadensis,220,3.6166,3.7784,500,0.9892,24,3.7128,0.9866,0.0015,10220,1.3989,3.6119,0.8442,0.0189,0.8642,2.8132,0.1388,0.0000,0.0000,14.3004,0.4492,0.3719,20.0417,0.0000,0.0252,5.6807,0.0203,0.0000,0.0000,0.0002,0.0018,22.2369,0.0000,0.0839,1.1607,1.7785,5.3177,0.0425,7.4303,10.7407,0.6275,5.6252,0.0129,1.0000,0.0054,0.0586,0.0000,0.0000,2.7E-30,5.0000,0.3876,0.0214,0.0045,0.0417,9.639E-38,10.0000,0.5358,0.0198,0.0318,0.1250,3.128E-33,4.4386,0.1966,0.0217,0.0000,0.0000,1.218E-40,21.5819,0.5408,0.0174,0.0818,0.2083,1.481E-29,6.8137,0.5066,0.0208,0.0182,0.0417,5.091E-38,4.4386,0.1966,0.0217,0.0000,0.0000,1.218E-40,4.5402,0.2199,0.0217,0.0045,0.0417,1.318E-37,4.4386,0.1966,0.0217,0.0000,0.0000,1.218E-40,1.4478,0.0107,0.0427,0.0000,0.0000,1.321E-33,2.6647,0.0406,0.0271,0.0000,0.0000,2.47E-38
Pseudopolydesmus_canadensis,220,3.6013,3.7773,500,0.9892,24,3.8052,0.9904,0.0012,10220,1.6254,2.6728,0.8549,0.6064,0.9031,3.8529,0.0820,0.0000,0.0000,12.0717,0.0000,0.5119,19.7318,0.0281,0.0259,6.3938,0.0355,0.0246,0.0000,0.0000,0.0333,21.5846,0.0000,0.0636,1.5339,1.8655,5.5233,0.0364,8.3098,11.6288,0.0000,5.6342,0.0130,1.0000,0.0048,0.0627,0.0000,0.0000,1.373E-29,5.0000,0.3597,0.0215,0.0000,0.0000,9.802E-41,10.0000,0.5395,0.0194,0.1000,0.0417,9.506E-39,5.0686,0.3597,0.0215,0.0000,0.0000,9.802E-41,13.2479,0.5395,0.0194,0.1000,0.0417,9.506E-39,5.8752,0.4860,0.0212,0.0227,0.0000,7.05E-41,5.0686,0.3597,0.0215,0.0000,0.0000,9.802E-41,8.3468,0.5328,0.0205,0.0455,0.0000,3.21E-41,8.3468,0.5328,0.0205,0.0455,0.0000,3.21E-41,1.4882,0.0108,0.0441,0.0000,0.0000,2.975E-33,2.7412,0.0391,0.0273,0.0000,0.0000,2.935E-38
Pseudopolydesmus_canadensis,220,3.6019,3.7769,500,0.9892,24,3.8013,0.9908,0.0015,10220,3.7099,0.7211,2.7360,0.2452,2.4059,2.1986,0.0510,0.0000,0.0000,11.9906,0.0000,0.2983,19.3260,0.2040,0.0047,4.3276,0.0204,0.0000,1.0066,0.0000,0.6226,21.2452,0.0023,0.1057,1.2339,1.8385,5.9213,0.0358,7.8282,11.5348,0.3858,5.6398,0.0131,1.0000,0.0046,0.0642,0.0000,0.0000,2.393E-29,5.0000,0.3556,0.0215,0.0000,0.0000,9.802E-41,10.0000,0.5421,0.0194,0.0455,0.0000,7.819E-42,5.1719,0.3556,0.0214,0.0000,0.0000,8.787E-41,23.0592,0.5448,0.0171,0.1000,0.0417,5.566E-40,6.6892,0.5200,0.0210,0.0227,0.0000,5.645E-41,5.1719,0.3556,0.0214,0.0000,0.0000,8.787E-41,13.2781,0.5421,0.0194,0.0455,0.0000,7.819E-42,13.2781,0.5421,0.0194,0.0455,0.0000,7.819E-42,1.4985,0.0109,0.0449,0.0000,0.0000,4.536E-33,2.8203,0.0394,0.0275,0.0000,0.0000,3.484E-38
Pseudopolydesmus_canadensis,220,3.6125,3.7793,500,0.9892,24,3.7813,0.9885,0.0015,10220,1.3619,1.8152,2.1859,1.9041,2.0203,2.0393,0.0526,0.0032,0.0000,12.0659,0.0039,0.2820,20.7384,0.0405,0.0218,4.0638,0.0268,0.0000,0.1574,0.0002,0.2511,22.6000,0.0000,0.1169,0.9926,1.7152,6.0430,0.0234,7.9983,11.1724,0.3037,5.6304,0.0130,1.0000,0.0053,0.0586,0.0000,0.0000,2.7E-30,5.0000,0.3609,0.0215,0.0000,0.0000,9.802E-41,10.0000,0.5397,0.0196,0.0909,0.1250,2.54E-33,5.0357,0.3609,0.0214,0.0000,0.0000,8.787E-41,12.7558,0.5397,0.0196,0.0909,0.1250,2.54E-33,5.8867,0.4963,0.0212,0.0273,0.0833,4.143E-35,5.0357,0.3609,0.0214,0.0000,0.0000,8.787E-41,5.8867,0.4963,0.0212,0.0136,0.0000,7.05E-41,5.8867,0.4963,0.0212,0.0136,0.0000,7.05E-41,1.4312,0.0107,0.0434,0.0000,0.0000,2.043E-33,2.7113,0.0391,0.0272,0.0000,0.0000,2.693E-38
Pseudopolydesmus_canadensis,220,3.6146,3.7803,500,0.9892,24,3.7773,0.9882,0.0014,10220,2.5266,2.7419,2.2326,0.0613,2.3216,2.3180,0.1206,0.0026,0.0000,11.4591,0.0000,0.1610,19.9291,0.0095,0.0131,5.2848,0.0262,0.0000,0.0000,0.0010,0.5385,21.1651,0.0000,0.1301,1.1065,1.8420,4.8163,0.0154,8.2516,12.8970,0.0286,5.6245,0.0129,1.0000,0.0055,0.0587,0.0000,0.0000,2.811E-30,5.0000,0.4012,0.0214,0.0045,0.0000,8.787E-41,10.0000,0.5351,0.0195,0.0409,0.0417,1.067E-38,4.8454,0.3579,0.0214,0.0000,0.0000,8.787E-41,12.9655,0.5388,0.0195,0.0955,0.0833,6.186E-36,5.9955,0.5204,0.0211,0.0182,0.0417,7.021E-38,4.8454,0.3579,0.0214,0.0000,0.0000,8.787E-41,5.9955,0.5204,0.0211,0.0182,0.0417,7.021E-38,5.6040,0.4325,0.0211,0.0136,0.0000,6.311E-41,1.4221,0.0106,0.0436,0.0000,0.0000,2.276E-33,2.6600,0.0390,0.0271,0.0000,0.0000,2.47E-38
Pseudopolydesmus_canadensis,220,3.6075,3.7771,500,0.9892,24,3.5336,0.9868,0.0036,10220,1.4623,1.5906,2.0166,0.8750,0.8332,2.1518,0.0548,0.0000,0.0000,15.1483,0.0074,0.3070,21.6047,0.0398,0.0317,5.4121,0.0345,0.2056,0.1117,0.0000,0.0005,21.0508,0.0000,0.0739,0.0000,2.0220,5.2961,0.0000,8.3368,11.3328,0.0001,5.6446,0.0131,1.0000,0.0046,0.0671,0.0000,0.0417,2.341E-26,5.0000,0.2955,0.0216,0.0000,0.0417,1.188E-37,10.0000,0.5368,0.0197,0.0409,0.0417,1.343E-38,5.5818,0.4079,0.0213,0.0000,0.0417,8.677E-38,12.6987,0.5438,0.0197,0.0864,0.1667,7.386E-31,6.6394,0.5210,0.0211,0.0182,0.0417,7.021E-38,5.5818,0.4079,0.0213,0.0000,0.0417,8.677E-38,1.7113,0.0122,0.0417,0.0000,0.0417,4.184E-31,12.2771,0.5368,0.0197,0.0409,0.0417,1.343E-38,1.5953,0.0109,0.0444,0.0000,0.0417,1.804E-30,2.7996,0.0376,0.0276,0.0000,0.0417,3.213E-35
