Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Psilopyga_nigripennis,41,5.2281,5.4436,500,0.9980,5,5.4777,0.9983,0.0003,10041,0.1892,3.9957,0.0839,7.8335,12.3473,0.7274,0.0000,0.0000,5.2644,0.0000,0.0000,16.9963,33.9439,0.0000,0.0381,7.4306,0.0075,0.0094,0.0108,0.0000,0.0000,0.0000,0.0000,0.0448,0.0000,2.2593,8.6836,0.0000,0.0000,0.1268,0.0075,3.9931,0.0025,1.0000,0.0014,0.0403,0.0000,0.0000,1.068E-7,5.0000,0.5289,0.0041,0.0000,0.0000,1.135E-12,10.0000,0.5637,0.0035,0.1463,0.0000,5.146E-13,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,18.9719,0.5637,0.0035,0.1463,0.0000,5.146E-13,18.9719,0.5637,0.0035,0.1463,0.0000,5.146E-13,1.4672,0.0021,0.0254,0.0000,0.0000,1.056E-8,3.3078,0.0200,0.0054,0.0000,0.0000,4.499E-12
Psilopyga_nigripennis,41,5.2862,5.4600,500,0.9980,5,5.3267,0.9969,0.0006,10041,7.6835,2.9608,2.3896,0.1179,15.8463,0.3701,2.3380,0.0000,6.3834,2.8591,0.0000,15.6889,37.2375,0.0000,0.0442,2.2811,0.0070,0.0065,0.0313,0.0000,0.0000,0.0000,0.0000,0.0198,0.0000,0.3835,3.3226,0.0000,0.0000,0.0240,0.0050,3.9316,0.0024,1.0000,0.0015,0.0246,0.0000,0.0000,9.007E-9,5.0000,0.4846,0.0041,0.0000,0.0000,1.135E-12,10.0000,0.5503,0.0038,0.0732,0.6000,1.421E-4,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,11.2124,0.5503,0.0038,0.0732,0.6000,1.421E-4,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,1.1998,0.0020,0.0189,0.0000,0.0000,2.426E-9,2.5733,0.0201,0.0050,0.0000,0.0000,3.062E-12
Psilopyga_nigripennis,41,5.2862,5.4600,500,0.9980,5,5.3267,0.9969,0.0006,10041,7.6835,2.9608,2.3896,0.1179,15.8463,0.3701,2.3380,0.0000,6.3834,2.8591,0.0000,15.6889,37.2375,0.0000,0.0442,2.2811,0.0070,0.0065,0.0313,0.0000,0.0000,0.0000,0.0000,0.0198,0.0000,0.3835,3.3226,0.0000,0.0000,0.0240,0.0050,3.9316,0.0024,1.0000,0.0015,0.0246,0.0000,0.0000,9.007E-9,5.0000,0.4846,0.0041,0.0000,0.0000,1.135E-12,10.0000,0.5503,0.0038,0.0732,0.6000,1.421E-4,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,11.2124,0.5503,0.0038,0.0732,0.6000,1.421E-4,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,5.1240,0.4846,0.0041,0.0000,0.0000,1.135E-12,1.1998,0.0020,0.0189,0.0000,0.0000,2.426E-9,2.5733,0.0201,0.0050,0.0000,0.0000,3.062E-12
Psilopyga_nigripennis,41,5.2281,5.4436,500,0.9980,5,5.4777,0.9983,0.0003,10041,0.1892,3.9957,0.0839,7.8335,12.3473,0.7274,0.0000,0.0000,5.2644,0.0000,0.0000,16.9963,33.9439,0.0000,0.0381,7.4306,0.0075,0.0094,0.0108,0.0000,0.0000,0.0000,0.0000,0.0448,0.0000,2.2593,8.6836,0.0000,0.0000,0.1268,0.0075,3.9931,0.0025,1.0000,0.0014,0.0403,0.0000,0.0000,1.068E-7,5.0000,0.5289,0.0041,0.0000,0.0000,1.135E-12,10.0000,0.5637,0.0035,0.1463,0.0000,5.146E-13,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,18.9719,0.5637,0.0035,0.1463,0.0000,5.146E-13,18.9719,0.5637,0.0035,0.1463,0.0000,5.146E-13,1.4672,0.0021,0.0254,0.0000,0.0000,1.056E-8,3.3078,0.0200,0.0054,0.0000,0.0000,4.499E-12
Psilopyga_nigripennis,41,5.2281,5.4436,500,0.9980,5,5.4777,0.9983,0.0003,10041,0.1892,3.9957,0.0839,7.8335,12.3473,0.7274,0.0000,0.0000,5.2644,0.0000,0.0000,16.9963,33.9439,0.0000,0.0381,7.4306,0.0075,0.0094,0.0108,0.0000,0.0000,0.0000,0.0000,0.0448,0.0000,2.2593,8.6836,0.0000,0.0000,0.1268,0.0075,3.9931,0.0025,1.0000,0.0014,0.0403,0.0000,0.0000,1.068E-7,5.0000,0.5289,0.0041,0.0000,0.0000,1.135E-12,10.0000,0.5637,0.0035,0.1463,0.0000,5.146E-13,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,18.9719,0.5637,0.0035,0.1463,0.0000,5.146E-13,18.9719,0.5637,0.0035,0.1463,0.0000,5.146E-13,1.4672,0.0021,0.0254,0.0000,0.0000,1.056E-8,3.3078,0.0200,0.0054,0.0000,0.0000,4.499E-12
Psilopyga_nigripennis,41,5.2281,5.4436,500,0.9980,5,5.4777,0.9983,0.0003,10041,0.1892,3.9957,0.0839,7.8335,12.3473,0.7274,0.0000,0.0000,5.2644,0.0000,0.0000,16.9963,33.9439,0.0000,0.0381,7.4306,0.0075,0.0094,0.0108,0.0000,0.0000,0.0000,0.0000,0.0448,0.0000,2.2593,8.6836,0.0000,0.0000,0.1268,0.0075,3.9931,0.0025,1.0000,0.0014,0.0403,0.0000,0.0000,1.068E-7,5.0000,0.5289,0.0041,0.0000,0.0000,1.135E-12,10.0000,0.5637,0.0035,0.1463,0.0000,5.146E-13,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,6.2356,0.5289,0.0041,0.0000,0.0000,1.135E-12,18.9719,0.5637,0.0035,0.1463,0.0000,5.146E-13,18.9719,0.5637,0.0035,0.1463,0.0000,5.146E-13,1.4672,0.0021,0.0254,0.0000,0.0000,1.056E-8,3.3078,0.0200,0.0054,0.0000,0.0000,4.499E-12
Psilopyga_nigripennis,42,5.2176,5.4248,500,0.9979,4,5.4540,0.9982,0.0003,10042,2.6583,4.4236,0.0232,4.9240,17.5805,2.7133,2.0990,0.0000,1.3160,0.0000,0.0000,17.1813,33.1435,0.0000,0.0461,5.8200,0.0073,0.0115,0.0313,0.0000,0.0000,0.0000,0.0221,0.0297,0.0000,0.6955,7.2263,0.0000,0.0000,0.0338,0.0137,4.0042,0.0025,1.0000,0.0014,0.0386,0.0000,0.0000,2.229E-6,5.0000,0.5280,0.0042,0.0000,0.0000,3.06E-10,10.0000,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,100.0000,0.5606,0.0000,0.1429,0.0000,0E0,100.0000,0.5606,0.0000,0.1429,0.0000,0E0,1.4833,0.0022,0.0234,0.0000,0.0000,2.999E-7,3.1845,0.0221,0.0054,0.0000,0.0000,8.362E-10
Psilopyga_nigripennis,42,5.2176,5.4248,500,0.9979,4,5.4540,0.9982,0.0003,10042,2.6583,4.4236,0.0232,4.9240,17.5805,2.7133,2.0990,0.0000,1.3160,0.0000,0.0000,17.1813,33.1435,0.0000,0.0461,5.8200,0.0073,0.0115,0.0313,0.0000,0.0000,0.0000,0.0221,0.0297,0.0000,0.6955,7.2263,0.0000,0.0000,0.0338,0.0137,4.0042,0.0025,1.0000,0.0014,0.0386,0.0000,0.0000,2.229E-6,5.0000,0.5280,0.0042,0.0000,0.0000,3.06E-10,10.0000,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,100.0000,0.5606,0.0000,0.1429,0.0000,0E0,100.0000,0.5606,0.0000,0.1429,0.0000,0E0,1.4833,0.0022,0.0234,0.0000,0.0000,2.999E-7,3.1845,0.0221,0.0054,0.0000,0.0000,8.362E-10
Psilopyga_nigripennis,42,5.2176,5.4248,500,0.9979,4,5.4540,0.9982,0.0003,10042,2.6583,4.4236,0.0232,4.9240,17.5805,2.7133,2.0990,0.0000,1.3160,0.0000,0.0000,17.1813,33.1435,0.0000,0.0461,5.8200,0.0073,0.0115,0.0313,0.0000,0.0000,0.0000,0.0221,0.0297,0.0000,0.6955,7.2263,0.0000,0.0000,0.0338,0.0137,4.0042,0.0025,1.0000,0.0014,0.0386,0.0000,0.0000,2.229E-6,5.0000,0.5280,0.0042,0.0000,0.0000,3.06E-10,10.0000,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,100.0000,0.5606,0.0000,0.1429,0.0000,0E0,100.0000,0.5606,0.0000,0.1429,0.0000,0E0,1.4833,0.0022,0.0234,0.0000,0.0000,2.999E-7,3.1845,0.0221,0.0054,0.0000,0.0000,8.362E-10
Psilopyga_nigripennis,42,5.2176,5.4248,500,0.9979,4,5.4540,0.9982,0.0003,10042,2.6583,4.4236,0.0232,4.9240,17.5805,2.7133,2.0990,0.0000,1.3160,0.0000,0.0000,17.1813,33.1435,0.0000,0.0461,5.8200,0.0073,0.0115,0.0313,0.0000,0.0000,0.0000,0.0221,0.0297,0.0000,0.6955,7.2263,0.0000,0.0000,0.0338,0.0137,4.0042,0.0025,1.0000,0.0014,0.0386,0.0000,0.0000,2.229E-6,5.0000,0.5280,0.0042,0.0000,0.0000,3.06E-10,10.0000,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,16.2200,0.5280,0.0036,0.0000,0.0000,1.652E-10,100.0000,0.5606,0.0000,0.1429,0.0000,0E0,100.0000,0.5606,0.0000,0.1429,0.0000,0E0,1.4833,0.0022,0.0234,0.0000,0.0000,2.999E-7,3.1845,0.0221,0.0054,0.0000,0.0000,8.362E-10
