Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Psilotreta_species,67,3.0215,3.6951,500,0.9866,8,3.0419,0.9726,0.0144,10067,1.8316,0.3848,2.8043,0.6173,2.2376,10.6187,3.8841,0.5026,0.0092,7.2704,24.7816,1.7175,7.4703,0.1197,4.5942,1.3941,0.0832,0.1408,1.8771,0.0185,1.6132,0.6529,1.8693,1.3093,0.3409,3.2840,1.9697,0.1700,15.1811,1.2524,0.0000,6.2312,0.0230,1.0000,0.0037,0.3628,0.0000,0.0000,2.999E-4,5.0000,0.0215,0.1476,0.0299,0.0000,2.254E-7,10.0000,0.0572,0.0780,0.0299,0.2500,5.482E-6,1.7358,0.0063,0.2861,0.0000,0.0000,4.487E-5,28.7453,0.3059,0.0178,0.0896,0.2500,8.581E-10,15.9406,0.1191,0.0448,0.0448,0.2500,2.093E-7,14.4388,0.1015,0.0509,0.0299,0.2500,4.433E-7,6.8974,0.0325,0.1126,0.0299,0.1250,1.66E-6,6.8953,0.0325,0.1126,0.0299,0.0000,2.592E-8,1.7358,0.0063,0.2861,0.0000,0.0000,4.487E-5,14.5290,0.1034,0.0505,0.0448,0.2500,4.232E-7
Psilotreta_species,67,3.1359,3.8818,500,0.9898,8,1.1146,0.8796,0.0574,10067,2.8066,1.5923,2.3139,0.6916,2.8276,11.8030,5.0377,0.5041,0.0445,4.4914,22.4021,2.2272,8.7451,0.0865,7.1778,1.4823,0.1394,0.4237,1.9660,0.0716,1.9379,0.4815,2.0311,1.4215,0.0000,2.6795,0.9383,0.1877,13.0132,0.4749,0.0000,6.1173,0.0204,1.0000,0.0032,0.3412,0.0000,0.1250,3.022E-3,5.0000,0.0196,0.1310,0.0149,0.3750,1.531E-3,10.0000,0.0578,0.0661,0.0149,0.3750,5.945E-5,1.5468,0.0051,0.2807,0.0000,0.1250,8.29E-4,32.6884,0.4400,0.0123,0.0746,0.5000,1.549E-6,14.1290,0.1011,0.0436,0.0448,0.3750,7.904E-6,13.3293,0.0917,0.0469,0.0149,0.3750,1.126E-5,2.2086,0.0073,0.2326,0.0149,0.2500,2.849E-3,2.2083,0.0073,0.2326,0.0149,0.1250,2.35E-4,4.5924,0.0177,0.1408,0.0149,0.3750,2.131E-3,13.7889,0.0971,0.0450,0.0299,0.3750,9.214E-6
Psilotreta_species,67,3.0834,3.7605,500,0.9879,8,1.1243,0.8741,0.0796,10067,5.6125,1.0307,0.7390,3.1310,2.8706,11.4273,6.4169,1.0290,0.0000,0.7973,17.8449,2.3296,9.2685,0.0599,2.0970,0.5941,0.0918,0.0000,1.9848,0.0749,2.5960,1.3169,0.8106,0.4579,1.4363,2.8874,0.7407,0.2461,21.8117,0.2967,0.0000,6.1924,0.0220,1.0000,0.0032,0.4007,0.0000,0.1250,8.619E-3,5.0000,0.0171,0.1560,0.0299,0.1250,1.55E-5,10.0000,0.0518,0.0771,0.0299,0.5000,1.918E-3,3.0506,0.0096,0.2289,0.0000,0.1250,2.104E-4,30.2731,0.3597,0.0150,0.0746,0.5000,3.376E-6,16.0905,0.1143,0.0420,0.0448,0.5000,1.904E-4,16.0641,0.1142,0.0421,0.0299,0.5000,1.921E-4,6.3468,0.0250,0.1250,0.0299,0.1250,3.391E-6,8.8889,0.0424,0.0880,0.0299,0.1250,3.02E-7,3.0506,0.0096,0.2289,0.0000,0.1250,2.104E-4,14.5157,0.0971,0.0486,0.0299,0.5000,3.327E-4
Psilotreta_species,67,3.0249,3.6932,500,0.9876,8,2.9904,0.9752,0.0123,10067,2.7196,0.7830,1.1874,0.1783,3.0281,12.1090,5.0403,0.3520,1.7889,6.4878,25.9094,2.6448,7.4794,0.1187,1.9147,1.4073,0.0968,0.0614,0.8231,0.0001,1.2141,0.6549,0.8226,1.0133,1.2073,4.9859,2.0485,0.0801,13.4721,0.3711,0.0000,6.2335,0.0230,1.0000,0.0032,0.4062,0.0000,0.0000,7.409E-4,5.0000,0.0190,0.1567,0.0299,0.0000,3.626E-7,10.0000,0.0520,0.0785,0.0299,0.1250,1.365E-7,3.5279,0.0120,0.2056,0.0000,0.0000,3.196E-6,30.6307,0.3741,0.0154,0.0896,0.2500,3.633E-10,15.5800,0.1116,0.0448,0.0448,0.2500,2.093E-7,18.5880,0.1530,0.0349,0.0448,0.2500,4.734E-8,8.5448,0.0405,0.0939,0.0299,0.1250,4.716E-7,8.5401,0.0405,0.0939,0.0299,0.0000,6.029E-9,3.5279,0.0120,0.2056,0.0000,0.0000,3.196E-6,14.2571,0.0968,0.0506,0.0448,0.2500,4.282E-7
Psilotreta_species,67,2.9861,3.6680,500,0.9866,8,3.1507,0.9837,0.0082,10067,2.2112,1.7930,3.0067,2.8671,2.8840,11.2110,5.1463,0.0908,0.0000,7.9456,22.2851,1.5360,8.0736,0.3542,3.6943,1.2186,0.0426,0.2246,1.5414,0.0000,2.5215,1.1172,1.2450,1.5068,0.9179,2.5222,1.3732,0.0934,12.1827,0.3938,0.0000,6.2520,0.0235,1.0000,0.0035,0.3891,0.0000,0.0000,5.253E-4,5.0000,0.0200,0.1570,0.0299,0.0000,3.7E-7,10.0000,0.0552,0.0827,0.0299,0.0000,2.198E-9,2.1364,0.0074,0.2763,0.0000,0.0000,3.401E-5,23.1578,0.2063,0.0268,0.0896,0.1250,7.799E-11,16.5419,0.1246,0.0448,0.0448,0.1250,2.784E-9,16.3780,0.1238,0.0453,0.0299,0.1250,3.006E-9,10.8919,0.0631,0.0754,0.0299,0.1250,1.035E-7,10.8802,0.0629,0.0754,0.0299,0.0000,1.044E-9,2.1364,0.0074,0.2763,0.0000,0.0000,3.401E-5,14.8661,0.1016,0.0516,0.0299,0.1250,7.395E-9
Psilotreta_species,68,3.0084,3.7270,500,0.9886,7,1.2575,0.8536,0.1311,10068,3.2233,2.2241,1.4705,0.0461,3.2233,9.8678,4.7865,0.7705,1.7240,7.6501,21.8646,2.0490,6.3604,0.0540,2.3580,1.6062,0.0004,0.3187,1.3529,0.0000,1.1871,0.8834,1.8679,1.7484,0.0000,6.0415,1.8985,0.1911,14.6660,0.5659,0.0000,6.2443,0.0232,1.0000,0.0035,0.3816,0.0000,0.1429,1.455E-2,5.0000,0.0200,0.1528,0.0147,0.1429,7.731E-5,10.0000,0.0552,0.0783,0.0294,0.1429,1.501E-6,3.3282,0.0122,0.2065,0.0000,0.1429,4.467E-4,29.9781,0.3488,0.0161,0.0882,0.1429,1.198E-10,17.3118,0.1396,0.0393,0.0441,0.1429,2.504E-8,17.3118,0.1396,0.0393,0.0294,0.1429,2.504E-8,5.4214,0.0223,0.1428,0.0294,0.1429,5.215E-5,29.9781,0.3488,0.0161,0.0882,0.1429,1.198E-10,3.3282,0.0122,0.2065,0.0000,0.1429,4.467E-4,14.2371,0.1007,0.0512,0.0294,0.1429,1.199E-7
Psilotreta_species,68,3.0163,3.6869,500,0.9885,7,2.4736,0.9742,0.0111,10068,5.2933,1.4957,3.3825,2.2794,2.6381,11.1904,4.1421,0.6889,0.0000,8.0628,23.5374,1.2523,6.0947,0.5985,1.4303,2.0912,0.1516,0.1500,1.8775,0.0000,1.2460,0.9787,0.9509,1.4258,0.0952,10.6832,2.0388,0.0000,6.0042,0.2203,0.0000,6.2539,0.0235,1.0000,0.0034,0.3979,0.0000,0.0000,1.579E-3,5.0000,0.0194,0.1562,0.0294,0.0000,2.272E-6,10.0000,0.0530,0.0788,0.0294,0.1429,1.559E-6,4.0972,0.0150,0.1830,0.0000,0.0000,6.862E-6,26.9564,0.3039,0.0198,0.0882,0.5714,2.546E-4,15.8239,0.1194,0.0441,0.0441,0.1429,4.955E-8,20.2159,0.1881,0.0310,0.0441,0.1429,6.035E-9,8.5774,0.0417,0.0936,0.0294,0.1429,4.32E-6,8.5731,0.0416,0.0936,0.0294,0.0000,6.277E-8,4.0972,0.0150,0.1830,0.0000,0.0000,6.862E-6,14.0466,0.0962,0.0516,0.0294,0.1429,1.27E-7
Psilotreta_species,68,2.9392,3.6020,500,0.9865,7,3.8408,0.9945,0.0013,10068,5.3216,1.5908,0.7838,1.8932,3.2165,12.5123,4.5975,0.3397,0.0000,5.9737,26.5949,1.9990,8.1852,0.1694,3.7763,0.7011,0.0512,0.2781,1.6105,0.0198,0.1132,1.0189,1.7454,1.5713,0.0644,2.9788,1.4519,0.0899,10.8944,0.4572,0.0000,6.3176,0.0251,1.0000,0.0036,0.4189,0.0000,0.0000,2.262E-3,5.0000,0.0196,0.1736,0.0294,0.0000,4.755E-6,10.0000,0.0523,0.0898,0.0294,0.0000,4.705E-8,3.0504,0.0107,0.2456,0.0000,0.0000,5.395E-5,29.7297,0.3072,0.0186,0.0882,0.0000,7.626E-13,17.5310,0.1362,0.0441,0.0441,0.0000,3.244E-10,16.1946,0.1131,0.0492,0.0294,0.0000,6.944E-10,37.8107,0.4829,0.0117,0.1765,0.0000,3.038E-14,37.8107,0.4829,0.0117,0.1765,0.0000,3.038E-14,3.0504,0.0107,0.2456,0.0000,0.0000,5.395E-5,14.9472,0.1000,0.0550,0.0294,0.0000,1.527E-9
Psilotreta_species,68,3.1389,3.7844,500,0.9891,7,0.2161,0.7708,0.1180,10068,2.6481,3.1358,0.6387,2.0473,2.1062,11.8549,4.1654,0.2373,0.0000,7.8142,23.0453,2.3834,8.5470,0.1713,4.4245,0.4069,0.1275,0.1264,1.1249,0.0000,1.1713,0.4716,1.5498,0.7368,1.1615,2.8038,1.8126,0.0200,14.3334,0.9343,0.0000,6.1055,0.0201,1.0000,0.0030,0.3347,0.0000,0.2857,4.607E-2,5.0000,0.0211,0.1233,0.0147,0.2857,4.813E-4,10.0000,0.0610,0.0624,0.0294,0.5714,7.02E-3,2.0548,0.0065,0.2320,0.0000,0.2857,9.203E-3,22.6671,0.2458,0.0207,0.0882,0.5714,2.9E-4,13.3102,0.0917,0.0441,0.0441,0.5714,2.625E-3,19.8657,0.2024,0.0251,0.0441,0.5714,5.148E-4,1.4024,0.0043,0.2858,0.0000,0.2857,2.329E-2,6.2152,0.0275,0.1013,0.0147,0.2857,1.879E-4,2.0548,0.0065,0.2320,0.0000,0.2857,9.203E-3,13.2204,0.0910,0.0445,0.0441,0.5714,2.693E-3
Psilotreta_species,68,2.9603,3.6302,500,0.9871,7,3.7789,0.9938,0.0018,10068,3.2537,1.5350,0.3399,1.1193,3.2315,9.5920,3.7906,0.9327,0.0000,10.1954,25.6788,2.3980,6.8006,0.1028,0.9574,1.6203,0.1316,0.3902,1.3008,0.0141,1.6222,0.8431,1.0375,1.5739,0.0805,9.2960,1.7301,0.0512,10.2043,0.1763,0.0000,6.2963,0.0245,1.0000,0.0034,0.4159,0.0000,0.0000,2.151E-3,5.0000,0.0194,0.1684,0.0294,0.0000,3.833E-6,10.0000,0.0520,0.0859,0.0294,0.0000,3.455E-8,3.2027,0.0114,0.2326,0.0000,0.0000,3.686E-5,28.2378,0.3053,0.0194,0.0882,0.0000,1.022E-12,16.9143,0.1301,0.0438,0.0441,0.0000,3.094E-10,16.8867,0.1291,0.0438,0.0294,0.0000,3.094E-10,35.9246,0.4637,0.0125,0.1471,0.0000,4.808E-14,35.9246,0.4637,0.0125,0.1471,0.0000,4.808E-14,3.2027,0.0114,0.2326,0.0000,0.0000,3.686E-5,14.5523,0.0968,0.0538,0.0294,0.0000,1.31E-9
