Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Psychoda_species,36,4.5029,5.3296,500,0.9982,4,3.6474,0.9661,0.0279,10036,12.4685,2.9174,6.2454,0.0000,9.1429,15.2802,2.8588,0.6021,0.1843,5.3757,0.0000,3.4574,14.1179,0.0000,4.3206,3.2351,0.0105,0.0845,0.0169,0.0000,0.0000,3.6091,0.0000,0.7912,0.2749,4.3219,6.5162,0.0000,0.1269,4.0414,0.0000,4.7102,0.0047,1.0000,0.0009,0.2008,0.0000,0.0000,1.625E-3,5.0000,0.0094,0.0442,0.0000,0.2500,3.349E-4,10.0000,0.0362,0.0150,0.0000,0.2500,1.347E-5,19.9461,0.2912,0.0040,0.0000,0.2500,2.525E-7,25.5014,0.6213,0.0032,0.0833,0.2500,1.294E-7,19.9461,0.2912,0.0040,0.0000,0.2500,2.525E-7,19.9461,0.2912,0.0040,0.0000,0.2500,2.525E-7,1.8154,0.0018,0.1304,0.0000,0.2500,8.007E-3,1.8149,0.0018,0.1304,0.0000,0.0000,2.894E-4,3.2693,0.0044,0.0739,0.0000,0.2500,1.527E-3,11.6427,0.0510,0.0111,0.0000,0.2500,5.367E-6
Psychoda_species,36,4.4975,5.3165,500,0.9982,4,3.5828,0.9610,0.0317,10036,10.7512,0.9295,3.8558,2.4857,9.9678,12.1608,5.4662,0.1734,0.2012,6.3032,0.1905,3.2368,16.7322,0.0000,4.1578,3.2820,0.0000,0.5071,0.0999,0.0000,0.0000,4.6078,0.0000,0.3158,0.3416,4.0600,6.8625,0.3980,0.6276,2.2656,0.0201,4.7330,0.0048,1.0000,0.0008,0.2155,0.0000,0.0000,2.158E-3,5.0000,0.0092,0.0478,0.0000,0.2500,4.219E-4,10.0000,0.0356,0.0160,0.0000,0.2500,1.632E-5,19.5632,0.2711,0.0042,0.0000,0.2500,2.923E-7,25.3301,0.6005,0.0032,0.0833,0.2500,1.294E-7,19.5632,0.2711,0.0042,0.0000,0.2500,2.923E-7,19.5632,0.2711,0.0042,0.0000,0.2500,2.923E-7,1.6845,0.0016,0.1490,0.0000,0.2500,1.174E-2,1.6834,0.0016,0.1490,0.0000,0.0000,4.924E-4,3.4142,0.0045,0.0760,0.0000,0.2500,1.658E-3,11.9585,0.0533,0.0113,0.0000,0.2500,5.661E-6
Psychoda_species,36,4.5726,5.3327,500,0.9982,4,1.9118,0.9344,0.0375,10036,15.2205,2.1813,3.2906,0.0830,9.6655,12.5836,3.3043,0.0109,0.0141,7.8543,0.0000,2.9391,18.2055,0.0000,0.1258,3.5217,0.2433,0.0925,0.7753,0.6469,0.0114,4.3666,0.0000,0.5741,0.1912,2.4505,8.8944,0.0000,0.0098,2.7437,0.0000,4.6662,0.0045,1.0000,0.0009,0.1999,0.0000,0.0000,1.596E-3,5.0000,0.0085,0.0435,0.0000,0.5000,1.073E-2,10.0000,0.0389,0.0135,0.0000,0.5000,1.066E-3,17.9275,0.2289,0.0043,0.0000,0.5000,1.095E-4,24.5833,0.6880,0.0032,0.0833,0.5000,6.074E-5,17.9275,0.2289,0.0043,0.0000,0.5000,1.095E-4,17.9275,0.2289,0.0043,0.0000,0.5000,1.095E-4,1.1315,0.0010,0.1849,0.0000,0.2500,2.179E-2,1.1314,0.0010,0.1849,0.0000,0.0000,1.17E-3,3.2617,0.0041,0.0741,0.0000,0.2500,1.539E-3,11.3562,0.0543,0.0106,0.0000,0.5000,6.599E-4
Psychoda_species,36,4.4374,5.2803,500,0.9982,4,5.4540,0.9979,0.0004,10036,19.5542,0.1147,1.8205,0.0690,12.6379,15.1038,3.9770,0.1682,0.2889,1.2025,0.0000,2.3609,14.4352,0.2021,5.5162,2.4514,0.1507,0.0986,0.1127,0.0000,0.0000,3.4915,0.0000,0.8332,0.2605,4.9889,6.6721,0.0000,0.2873,3.2020,0.0000,4.7891,0.0050,1.0000,0.0008,0.2278,0.0000,0.0000,2.692E-3,5.0000,0.0090,0.0510,0.0000,0.0000,6.774E-6,10.0000,0.0354,0.0185,0.0000,0.0000,1.18E-7,18.5678,0.1975,0.0051,0.0000,0.0000,6.669E-10,26.3910,0.5349,0.0033,0.0833,0.0000,1.169E-10,18.5678,0.1975,0.0051,0.0000,0.0000,6.669E-10,18.5678,0.1975,0.0051,0.0000,0.0000,6.669E-10,42.6976,0.7338,0.0025,0.3056,0.0000,3.851E-11,42.6976,0.7338,0.0025,0.3056,0.0000,3.851E-11,3.6126,0.0048,0.0763,0.0000,0.0000,3.394E-5,12.5440,0.0576,0.0120,0.0000,0.0000,2.044E-8
Psychoda_species,36,4.4131,5.2712,500,0.9982,4,5.3592,0.9977,0.0005,10036,9.8622,2.5693,3.6925,2.6947,10.7584,11.7745,4.9725,0.7425,0.1573,6.0008,0.0000,6.6733,16.0402,0.0000,5.0702,2.6536,0.0856,0.0590,0.0483,0.0000,0.0000,4.4612,0.0000,0.6318,0.1906,0.9996,7.2313,0.0000,0.2088,2.4215,0.0000,4.7744,0.0050,1.0000,0.0009,0.2063,0.0000,0.0000,1.81E-3,5.0000,0.0096,0.0477,0.0000,0.0000,5.189E-6,10.0000,0.0356,0.0180,0.0000,0.0000,1.058E-7,18.9659,0.1803,0.0049,0.0000,0.0000,5.683E-10,26.2084,0.5388,0.0032,0.0833,0.0000,1.034E-10,18.9659,0.1803,0.0049,0.0000,0.0000,5.683E-10,18.9659,0.1803,0.0049,0.0000,0.0000,5.683E-10,33.2640,0.6936,0.0028,0.1389,0.0000,6.059E-11,33.2640,0.6936,0.0028,0.1389,0.0000,6.059E-11,3.4017,0.0047,0.0761,0.0000,0.0000,3.358E-5,12.5726,0.0573,0.0118,0.0000,0.0000,1.911E-8
Psychoda_species,36,4.5685,5.3667,500,0.9982,4,3.1634,0.9090,0.0771,10036,20.1636,1.2201,1.7886,0.8324,8.3619,13.6303,4.2091,0.0792,0.0821,3.4722,0.0000,3.9033,15.3401,0.0000,6.0142,1.9625,0.1805,0.5212,0.0070,0.0000,0.0000,4.0968,0.0000,0.5178,0.0616,4.7569,6.5582,0.0000,0.1900,2.0505,0.0000,4.6882,0.0045,1.0000,0.0008,0.2130,0.0000,0.2500,3.249E-2,5.0000,0.0092,0.0433,0.0000,0.2500,3.151E-4,10.0000,0.0371,0.0144,0.0000,0.2500,1.193E-5,21.8381,0.5310,0.0035,0.0000,0.2500,1.692E-7,25.6538,0.6336,0.0033,0.0833,0.2500,1.419E-7,21.8381,0.5310,0.0035,0.0000,0.2500,1.692E-7,21.8381,0.5310,0.0035,0.0000,0.2500,1.692E-7,0.7701,0.0006,0.2500,0.0000,0.2500,5.078E-2,47.7243,0.7114,0.0022,0.2778,0.2500,4.207E-8,3.4188,0.0043,0.0707,0.0000,0.2500,1.341E-3,11.5084,0.0498,0.0108,0.0000,0.2500,4.945E-6
Psychoda_species,36,4.4094,5.2598,500,0.9982,4,5.2981,0.9976,0.0005,10036,13.2543,2.5819,3.5363,1.3909,9.7376,15.1768,2.6003,0.1930,0.1845,5.9587,0.0000,4.3707,18.4105,0.0000,4.0808,2.1413,0.1065,0.0000,0.0225,0.0000,0.0000,2.8389,0.0000,0.8569,0.2688,1.5748,7.0132,0.0000,0.2500,3.4509,0.0000,4.8204,0.0052,1.0000,0.0009,0.2223,0.0000,0.0000,2.442E-3,5.0000,0.0089,0.0513,0.0000,0.0000,6.934E-6,10.0000,0.0379,0.0192,0.0000,0.0000,1.368E-7,20.8608,0.2528,0.0045,0.0000,0.0000,4.042E-10,27.2606,0.5266,0.0033,0.0833,0.0000,1.169E-10,20.8608,0.2528,0.0045,0.0000,0.0000,4.042E-10,20.8608,0.2528,0.0045,0.0000,0.0000,4.042E-10,33.7827,0.6777,0.0028,0.1389,0.0000,6.059E-11,33.7827,0.6777,0.0028,0.1389,0.0000,6.059E-11,3.5714,0.0049,0.0776,0.0000,0.0000,3.63E-5,12.8111,0.0567,0.0124,0.0000,0.0000,2.33E-8
Psychoda_species,36,4.4000,5.2547,500,0.9982,4,5.3814,0.9979,0.0004,10036,14.4847,3.1431,1.7675,1.9123,9.7311,9.7802,4.3893,0.1510,0.0988,8.6662,0.0000,3.6488,16.8872,0.0000,4.3577,2.0353,0.0601,0.0000,0.0496,0.0000,0.0000,2.8309,0.0000,0.6085,0.2083,5.1492,7.2103,0.0000,0.2332,2.5968,0.0000,4.8637,0.0054,1.0000,0.0009,0.2467,0.0000,0.0000,3.705E-3,5.0000,0.0088,0.0566,0.0000,0.0000,1.026E-5,10.0000,0.0358,0.0213,0.0000,0.0000,2.067E-7,20.8634,0.2259,0.0046,0.0000,0.0000,4.414E-10,27.7641,0.5444,0.0032,0.0833,0.0000,1.034E-10,20.8634,0.2259,0.0046,0.0000,0.0000,4.414E-10,20.8634,0.2259,0.0046,0.0000,0.0000,4.414E-10,52.1771,0.7330,0.0020,0.3056,0.0000,1.577E-11,52.1771,0.7330,0.0020,0.3056,0.0000,1.577E-11,3.7631,0.0051,0.0803,0.0000,0.0000,4.16E-5,13.2014,0.0604,0.0129,0.0000,0.0000,2.73E-8
Psychoda_species,36,4.4635,5.2766,500,0.9982,4,3.4304,0.9433,0.0476,10036,11.8813,2.2593,5.7670,1.6222,12.2893,14.1781,6.5960,0.1552,0.0864,6.3268,0.0000,4.3923,15.3485,0.0000,0.7178,1.9021,0.1155,0.0643,0.0228,0.0000,0.0000,3.9278,0.0000,0.6380,0.2327,1.5880,6.7277,0.0000,0.5402,2.5044,0.1164,4.7507,0.0048,1.0000,0.0008,0.2239,0.0000,0.0000,2.513E-3,5.0000,0.0090,0.0494,0.0000,0.2500,4.65E-4,10.0000,0.0350,0.0173,0.0000,0.2500,2.058E-5,18.5596,0.2005,0.0046,0.0000,0.2500,3.838E-7,25.4811,0.5046,0.0033,0.0833,0.2500,1.419E-7,18.5596,0.2005,0.0046,0.0000,0.2500,3.838E-7,18.5596,0.2005,0.0046,0.0000,0.2500,3.838E-7,1.0173,0.0008,0.2216,0.0000,0.2500,3.629E-2,1.0169,0.0008,0.2216,0.0000,0.0000,2.412E-3,3.5473,0.0046,0.0756,0.0000,0.2500,1.632E-3,12.3389,0.0534,0.0115,0.0000,0.2500,5.967E-6
Psychoda_species,36,4.4290,5.2709,500,0.9982,4,5.4477,0.9985,0.0004,10036,17.9490,1.1665,4.3205,0.0211,7.9117,12.4779,4.3329,0.1088,0.0970,4.3543,0.0000,3.1172,15.5712,0.0000,5.4114,2.1499,0.1044,0.0896,0.0197,0.0000,0.0000,4.7350,0.0000,0.5906,0.2830,4.5669,6.9353,0.0000,0.3058,3.3805,0.0000,4.8209,0.0052,1.0000,0.0009,0.2356,0.0000,0.0000,3.079E-3,5.0000,0.0088,0.0539,0.0000,0.0000,8.444E-6,10.0000,0.0344,0.0198,0.0000,0.0000,1.546E-7,19.1591,0.1960,0.0051,0.0000,0.0000,6.669E-10,27.0108,0.5446,0.0032,0.0833,0.0000,1.034E-10,19.1591,0.1960,0.0051,0.0000,0.0000,6.669E-10,19.1591,0.1960,0.0051,0.0000,0.0000,6.669E-10,43.5019,0.7403,0.0025,0.3056,0.0000,3.851E-11,43.5019,0.7403,0.0025,0.3056,0.0000,3.851E-11,3.6689,0.0049,0.0787,0.0000,0.0000,3.839E-5,12.8751,0.0577,0.0124,0.0000,0.0000,2.33E-8
