Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pteronarcys_species,186,2.9427,3.3464,500,0.9874,21,2.8256,0.9753,0.0080,10185,3.3387,2.2537,0.0178,0.0609,0.9171,1.4870,1.1196,0.0000,3.2526,6.0890,10.2676,0.1878,0.3207,0.3810,0.5054,0.5442,0.0574,0.9156,0.4996,3.4649,0.6707,0.2083,1.9037,1.2670,0.7150,37.9020,0.7382,3.1565,16.8189,0.8752,0.0641,6.3420,0.0257,1.0000,0.0052,0.2241,0.0000,0.0000,2.277E-14,5.0000,0.0437,0.0882,0.0054,0.0952,1.612E-18,10.0000,0.1073,0.0519,0.0269,0.0952,7.459E-23,3.9454,0.0306,0.1038,0.0000,0.0476,3.975E-19,25.0260,0.4175,0.0226,0.0968,0.2381,8.359E-23,13.8684,0.1811,0.0387,0.0376,0.1429,4.476E-23,12.0171,0.1457,0.0440,0.0269,0.1429,4.447E-22,4.9152,0.0427,0.0892,0.0054,0.0952,2.026E-18,4.9117,0.0427,0.0892,0.0054,0.0476,1.976E-20,3.0568,0.0217,0.1225,0.0000,0.0476,1.08E-17,9.2415,0.0995,0.0557,0.0269,0.0952,2.766E-22
Pteronarcys_species,186,2.9714,3.3531,500,0.9874,21,2.3502,0.9693,0.0071,10186,1.7100,0.0289,5.0327,0.8568,0.8906,1.5250,1.9542,0.0206,5.6279,2.3244,9.8725,0.1743,0.2607,0.2201,0.5413,0.9524,0.0188,0.4624,0.3195,5.6532,2.1386,0.3765,0.7258,0.5997,0.8575,36.8574,1.3166,2.2007,16.2616,0.1524,0.0666,6.3407,0.0256,1.0000,0.0050,0.2283,0.0000,0.0000,3.364E-14,5.0000,0.0422,0.0892,0.0054,0.0952,2.023E-18,10.0000,0.1117,0.0527,0.0269,0.1905,9.159E-19,4.2371,0.0334,0.1002,0.0000,0.0476,1.991E-19,22.5426,0.3458,0.0245,0.0968,0.4286,1.143E-14,13.1717,0.1591,0.0414,0.0430,0.2381,1.256E-18,11.2884,0.1331,0.0476,0.0269,0.1905,1.655E-19,4.5653,0.0370,0.0952,0.0054,0.0952,6.862E-18,3.2986,0.0235,0.1184,0.0000,0.0000,3.469E-20,3.1113,0.0217,0.1229,0.0000,0.0000,7.614E-20,9.3784,0.1026,0.0557,0.0269,0.1905,2.281E-18
Pteronarcys_species,186,2.9516,3.3357,500,0.9871,21,2.1639,0.9591,0.0124,10185,0.3700,1.0686,2.6938,0.0160,0.6623,1.6101,2.3892,0.0227,2.3617,8.3152,9.1269,0.2050,0.6901,0.3027,0.5121,0.4136,0.0543,1.1297,0.1826,4.8522,0.4921,0.2567,1.4838,0.4449,1.2790,37.1363,1.0047,2.1300,17.8085,0.9644,0.0208,6.3305,0.0254,1.0000,0.0052,0.2239,0.0000,0.0476,1.65E-12,5.0000,0.0436,0.0870,0.0108,0.1905,3.974E-15,10.0000,0.1125,0.0512,0.0323,0.1905,5.52E-19,3.5631,0.0266,0.1098,0.0000,0.0476,1.213E-18,24.3422,0.4113,0.0230,0.0968,0.2857,1.249E-20,14.1500,0.1820,0.0376,0.0376,0.2857,1.86E-17,13.4342,0.1661,0.0395,0.0323,0.2857,3.804E-17,4.3198,0.0347,0.0963,0.0054,0.0476,9.007E-20,4.3198,0.0347,0.0963,0.0054,0.0476,9.007E-20,3.0870,0.0215,0.1204,0.0000,0.0476,7.585E-18,9.1670,0.0999,0.0551,0.0323,0.1905,1.911E-18
Pteronarcys_species,186,3.0010,3.4097,500,0.9883,21,1.3872,0.9015,0.0449,10185,3.3459,0.1635,1.6577,0.5922,1.0324,1.7477,2.7742,0.0000,4.0165,4.7087,9.1503,0.1960,0.9027,0.2747,1.6413,0.5137,0.0473,1.1636,0.4712,4.1072,0.6619,0.1525,0.4336,0.3980,0.7380,41.7121,1.7609,2.6836,12.5173,0.4107,0.0246,6.2792,0.0243,1.0000,0.0074,0.1763,0.0000,0.1429,2.09E-11,5.0000,0.0485,0.0784,0.0000,0.2857,8.841E-13,10.0000,0.1200,0.0471,0.0269,0.3333,2.263E-14,5.6684,0.0550,0.0720,0.0000,0.2857,2.569E-13,25.7799,0.4273,0.0214,0.0968,0.4286,2.271E-15,15.6316,0.2245,0.0324,0.0323,0.3333,1.318E-16,15.6316,0.2245,0.0324,0.0323,0.3333,1.318E-16,1.0187,0.0076,0.1751,0.0000,0.1905,3.96E-10,0.8826,0.0062,0.1853,0.0000,0.0952,1.748E-12,2.3688,0.0204,0.1201,0.0000,0.2381,2.088E-11,8.7762,0.1023,0.0523,0.0161,0.2857,2.427E-15
Pteronarcys_species,186,2.9254,3.3292,500,0.9869,21,3.1842,0.9855,0.0031,10185,1.0848,0.3114,2.4188,0.8481,0.9987,1.8255,2.0090,0.0065,3.0168,7.8571,14.4539,0.1271,0.5182,0.2668,0.6083,0.3877,0.0146,0.7068,0.2368,5.0152,0.6750,0.1298,0.4465,0.7936,0.9045,35.9742,1.2387,2.4852,14.1090,0.4656,0.0657,6.3477,0.0258,1.0000,0.0054,0.2247,0.0000,0.0000,2.429E-14,5.0000,0.0425,0.0891,0.0108,0.0000,8.761E-23,10.0000,0.1150,0.0532,0.0323,0.0476,6.613E-25,3.5157,0.0263,0.1131,0.0000,0.0000,1.328E-20,22.6607,0.3391,0.0248,0.0968,0.2381,3.8E-22,12.8288,0.1542,0.0430,0.0430,0.0476,9.426E-27,15.2382,0.1954,0.0365,0.0430,0.0476,3.618E-28,11.4424,0.1351,0.0476,0.0430,0.0476,7.206E-26,8.8852,0.1023,0.0584,0.0269,0.0000,1.252E-26,3.0339,0.0219,0.1240,0.0000,0.0000,9.168E-20,9.3792,0.1061,0.0561,0.0269,0.0476,1.87E-24
Pteronarcys_species,186,2.9424,3.3440,500,0.9874,21,3.3097,0.9862,0.0030,10185,1.1755,1.5545,1.1334,1.0699,0.7944,1.6734,1.3500,0.0221,3.6272,6.7866,11.3773,0.2395,0.4710,0.2382,0.9375,0.6597,0.0237,0.4446,0.4910,3.7500,1.3916,0.1185,0.4175,0.7635,0.8055,38.9333,1.5836,2.4337,15.1615,0.5018,0.0700,6.3483,0.0259,1.0000,0.0052,0.2238,0.0000,0.0000,2.215E-14,5.0000,0.0431,0.0890,0.0000,0.0000,8.561E-23,10.0000,0.1154,0.0524,0.0323,0.0476,4.916E-25,5.6876,0.0498,0.0811,0.0000,0.0000,1.229E-23,25.0129,0.4057,0.0227,0.0968,0.0952,1.15E-29,12.6969,0.1606,0.0430,0.0430,0.0476,9.426E-27,8.5828,0.0939,0.0593,0.0161,0.0476,5.734E-24,11.2545,0.1369,0.0476,0.0323,0.0476,7.206E-26,7.2684,0.0745,0.0672,0.0161,0.0000,2.339E-25,3.0387,0.0219,0.1236,0.0000,0.0000,8.577E-20,9.2168,0.1052,0.0561,0.0323,0.0476,1.87E-24
Pteronarcys_species,186,2.9222,3.3251,500,0.9869,21,3.4057,0.9854,0.0079,10185,2.8474,1.6754,0.0352,0.0149,1.1016,1.6719,1.2634,0.0000,6.8379,6.1801,11.1309,0.1635,0.7567,0.2246,0.6632,0.4659,0.0315,0.8825,0.4892,3.6129,1.2859,0.1267,0.4616,0.7594,0.8759,37.2110,1.6707,2.4295,14.5684,0.5412,0.0209,6.3631,0.0263,1.0000,0.0054,0.2248,0.0000,0.0000,2.451E-14,5.0000,0.0430,0.0902,0.0161,0.0476,2.456E-20,10.0000,0.1148,0.0535,0.0323,0.0476,7.383E-25,3.4854,0.0270,0.1143,0.0000,0.0476,2.704E-18,25.1147,0.3902,0.0231,0.0968,0.0952,1.592E-29,12.8937,0.1594,0.0430,0.0430,0.0476,9.426E-27,11.2993,0.1337,0.0483,0.0323,0.0476,9.591E-26,11.4891,0.1368,0.0476,0.0376,0.0476,7.206E-26,25.0043,0.3808,0.0231,0.0914,0.0476,3.756E-32,3.0733,0.0222,0.1236,0.0000,0.0476,1.286E-17,9.2652,0.1049,0.0569,0.0269,0.0476,2.555E-24
Pteronarcys_species,187,2.9710,3.3496,500,0.9872,20,2.6851,0.9757,0.0060,10186,3.5367,2.3245,0.1521,0.1953,0.4509,1.7328,1.3322,0.0685,4.1268,6.7761,10.3468,0.1953,0.4509,0.2463,1.1243,0.2704,0.0303,0.4552,0.2792,3.9362,1.9686,0.2191,1.0050,0.9602,1.2878,39.9333,1.6408,2.6057,11.7913,0.5310,0.0263,6.3462,0.0258,1.0000,0.0049,0.2304,0.0000,0.0000,1.779E-13,5.0000,0.0424,0.0896,0.0053,0.0500,2.287E-19,10.0000,0.1145,0.0525,0.0321,0.1000,1.588E-21,4.5989,0.0373,0.0950,0.0000,0.0500,6.91E-19,24.4784,0.3951,0.0229,0.0963,0.3500,3.131E-17,13.4786,0.1695,0.0405,0.0428,0.1500,2.193E-21,13.4786,0.1695,0.0405,0.0374,0.1500,2.193E-21,9.3334,0.1033,0.0556,0.0267,0.0500,2.685E-23,9.3334,0.1033,0.0556,0.0267,0.0500,2.685E-23,3.0737,0.0219,0.1242,0.0000,0.0000,7.616E-19,9.2708,0.1022,0.0560,0.0267,0.0500,3.068E-23
Pteronarcys_species,187,2.9400,3.3461,500,0.9872,20,2.9775,0.9732,0.0126,10186,3.2567,1.1131,1.5565,0.2296,0.7736,1.6152,2.1439,0.0000,8.3674,5.0255,13.6158,0.2560,0.4290,0.2683,0.9649,0.6070,0.0000,0.8127,0.5251,3.7639,0.8561,0.2429,0.5158,0.3530,0.8895,36.0507,1.1155,3.1540,11.1485,0.3108,0.0390,6.3665,0.0263,1.0000,0.0055,0.2276,0.0000,0.0500,9.557E-12,5.0000,0.0423,0.0925,0.0053,0.0500,4.13E-19,10.0000,0.1125,0.0542,0.0267,0.1000,2.779E-21,4.0394,0.0322,0.1066,0.0000,0.0500,6.072E-18,25.6803,0.4163,0.0225,0.0963,0.1500,1.023E-25,14.5280,0.1813,0.0387,0.0374,0.1000,6.625E-24,14.5280,0.1813,0.0387,0.0374,0.1000,6.625E-24,5.3762,0.0461,0.0879,0.0160,0.1000,1.556E-17,24.7531,0.3899,0.0233,0.0856,0.1000,7.258E-28,3.0859,0.0223,0.1264,0.0000,0.0500,1.52E-16,9.3990,0.1021,0.0571,0.0214,0.1000,7.161E-21
Pteronarcys_species,187,2.9538,3.3553,500,0.9876,20,2.6922,0.9616,0.0172,10186,2.9943,1.4464,0.0039,0.9958,0.5373,1.7749,1.4356,0.0065,7.2408,4.3546,10.9872,0.0439,0.6364,0.3427,0.5181,0.9243,0.1780,0.7468,0.5394,3.2945,1.2810,0.0400,0.4113,0.4784,0.7588,42.9565,1.5375,2.2404,10.8028,0.4612,0.0307,6.3328,0.0255,1.0000,0.0055,0.2183,0.0000,0.0500,4.401E-12,5.0000,0.0441,0.0858,0.0053,0.1500,6.553E-16,10.0000,0.1166,0.0508,0.0267,0.1500,9.687E-20,4.2183,0.0345,0.0963,0.0000,0.1000,7.973E-17,26.1002,0.4377,0.0218,0.0963,0.2000,1.156E-23,14.2287,0.1897,0.0375,0.0374,0.1500,5.874E-22,13.8634,0.1835,0.0384,0.0321,0.1500,8.704E-22,3.9937,0.0312,0.1000,0.0000,0.1000,1.568E-16,15.7036,0.2150,0.0343,0.0428,0.1500,1.277E-22,2.9868,0.0216,0.1208,0.0000,0.1000,4.441E-15,9.0351,0.1020,0.0552,0.0214,0.1500,3.95E-19
