Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ptyoiulus_coveanus,338,3.2335,3.3698,500,0.9837,38,3.3868,0.9859,0.0015,10338,8.4696,1.1241,8.5932,3.4754,0.1898,8.5653,0.1983,0.0009,0.5889,1.3224,0.0337,0.1119,14.4713,0.0539,0.0000,3.5781,0.0210,0.0000,0.1052,0.0000,0.0000,13.2251,0.0000,0.4333,0.0000,1.4090,11.2851,0.0000,4.0044,18.7402,0.0000,6.0284,0.0192,1.0000,0.0059,0.0754,0.0000,0.0000,0E0,5.0000,0.5255,0.0310,0.0533,0.0526,0E0,10.0000,0.5378,0.0284,0.1302,0.0526,0E0,4.3273,0.3146,0.0327,0.0000,0.0000,0E0,9.0977,0.5255,0.0310,0.0533,0.0526,0E0,9.0977,0.5255,0.0310,0.0533,0.0526,0E0,4.3273,0.3146,0.0327,0.0000,0.0000,0E0,9.0977,0.5255,0.0310,0.0533,0.0526,0E0,4.5922,0.5237,0.0326,0.0030,0.0000,0E0,1.5827,0.0157,0.0517,0.0000,0.0000,0E0,2.3005,0.0405,0.0401,0.0000,0.0000,0E0
Ptyoiulus_coveanus,338,3.2281,3.3656,500,0.9837,38,3.3818,0.9863,0.0016,10338,10.0872,1.9896,6.6983,0.0217,0.4510,7.5908,0.1314,0.0000,0.6461,0.0593,0.0345,0.1384,17.4871,0.2216,0.0000,4.2792,0.0035,0.0513,0.0954,0.0000,0.0370,12.2740,0.0000,0.4498,0.0000,1.2449,11.3588,0.0003,4.6438,20.0052,0.0000,6.0458,0.0195,1.0000,0.0054,0.0855,0.0000,0.0000,0E0,5.0000,0.5246,0.0301,0.0030,0.0000,0E0,10.0000,0.5246,0.0301,0.0030,0.0000,0E0,4.7062,0.3446,0.0327,0.0000,0.0000,0E0,15.7541,0.5291,0.0285,0.0799,0.0000,0E0,11.4980,0.5246,0.0301,0.0030,0.0000,0E0,4.7062,0.3446,0.0327,0.0000,0.0000,0E0,15.7541,0.5291,0.0285,0.0799,0.0000,0E0,15.7541,0.5291,0.0285,0.0799,0.0000,0E0,1.7311,0.0160,0.0533,0.0000,0.0000,0E0,2.5169,0.0416,0.0408,0.0000,0.0000,0E0
Ptyoiulus_coveanus,338,3.2295,3.3663,500,0.9837,38,3.3790,0.9828,0.0018,10338,13.9691,0.5984,3.5391,0.2815,0.2355,3.6724,0.0256,0.0000,0.2547,5.4183,0.0280,0.1185,15.3271,0.0999,0.0000,2.9496,0.0074,0.0171,0.0533,0.0000,0.0593,14.0700,0.0000,0.2884,0.0000,1.8849,11.8054,0.0000,7.1598,18.1370,0.0000,6.0398,0.0194,1.0000,0.0055,0.0821,0.0000,0.0000,0E0,5.0000,0.5200,0.0302,0.0030,0.0000,0E0,10.0000,0.5200,0.0302,0.0030,0.0000,0E0,4.5656,0.3158,0.0326,0.0000,0.0000,0E0,11.2848,0.5297,0.0302,0.0769,0.0263,0E0,11.0166,0.5200,0.0302,0.0030,0.0000,0E0,4.5656,0.3158,0.0326,0.0000,0.0000,0E0,11.2848,0.5297,0.0302,0.0769,0.0263,0E0,11.0166,0.5200,0.0302,0.0030,0.0000,0E0,1.6842,0.0160,0.0526,0.0000,0.0000,0E0,2.4482,0.0419,0.0405,0.0000,0.0000,0E0
Ptyoiulus_coveanus,338,3.2291,3.3680,500,0.9837,38,3.3780,0.9844,0.0018,10338,9.5751,2.0836,4.5648,0.0701,0.1052,6.7073,0.5297,0.0000,0.7413,1.2960,0.0696,0.3654,15.8108,0.0487,0.0000,3.9240,0.0925,0.0031,0.0634,0.0000,0.0250,15.1374,0.0000,0.3285,0.0000,1.6571,12.5505,0.0000,9.4299,14.8199,0.0010,6.0374,0.0194,1.0000,0.0056,0.0824,0.0000,0.0000,0E0,5.0000,0.5314,0.0310,0.0030,0.0000,0E0,10.0000,0.5394,0.0262,0.0533,0.0526,0E0,4.4587,0.3214,0.0327,0.0000,0.0000,0E0,22.7647,0.5394,0.0262,0.0533,0.0526,0E0,9.3422,0.5394,0.0310,0.0533,0.0526,0E0,4.4587,0.3214,0.0327,0.0000,0.0000,0E0,9.3422,0.5394,0.0310,0.0533,0.0526,0E0,9.0626,0.5314,0.0310,0.0030,0.0000,0E0,1.6758,0.0159,0.0530,0.0000,0.0000,0E0,2.4431,0.0404,0.0404,0.0000,0.0000,0E0
Ptyoiulus_coveanus,338,3.2311,3.3604,500,0.9837,38,3.1350,0.9702,0.0081,10338,16.6908,0.5451,0.4861,2.8310,0.0781,8.6008,0.0372,0.0000,0.5410,3.5840,0.0185,0.0339,17.8334,0.0519,0.0000,4.6836,1.7966,1.2199,0.4634,0.0000,3.3641,15.9156,0.0000,0.0676,0.0000,0.5249,17.6821,0.0028,2.7713,0.1738,0.0024,6.0397,0.0194,1.0000,0.0052,0.0857,0.0000,0.0263,0E0,5.0000,0.5254,0.0310,0.0533,0.2368,0E0,10.0000,0.5403,0.0293,0.1036,0.2895,0E0,4.6285,0.5083,0.0327,0.0000,0.0263,0E0,9.0784,0.5254,0.0310,0.0533,0.2368,0E0,4.6285,0.5083,0.0327,0.0533,0.2368,0E0,4.6285,0.5083,0.0327,0.0000,0.0263,0E0,4.6285,0.5083,0.0327,0.0000,0.0263,0E0,4.6285,0.5083,0.0327,0.0000,0.0263,0E0,1.7497,0.0159,0.0518,0.0000,0.0263,0E0,2.4727,0.0393,0.0405,0.0000,0.0263,0E0
Ptyoiulus_coveanus,338,3.2329,3.3680,500,0.9837,38,3.3716,0.9813,0.0018,10338,9.4408,0.3328,4.2066,2.5026,0.0782,7.4950,0.3815,0.0000,0.7713,0.8923,0.0312,0.1078,14.7450,0.2195,0.0000,4.4989,0.0029,0.1645,0.1229,0.0000,0.0281,15.1594,0.0155,0.9065,0.0000,1.4586,11.5943,0.0000,9.0774,15.7663,0.0000,6.0372,0.0194,1.0000,0.0055,0.0820,0.0000,0.0000,0E0,5.0000,0.5357,0.0311,0.0503,0.0789,0E0,10.0000,0.5413,0.0265,0.1893,0.2895,0E0,4.4637,0.3305,0.0327,0.0000,0.0000,0E0,8.9820,0.5357,0.0311,0.0503,0.0789,0E0,4.7289,0.5261,0.0326,0.0503,0.0789,0E0,4.4637,0.3305,0.0327,0.0000,0.0000,0E0,4.7289,0.5261,0.0326,0.0030,0.0000,0E0,4.7289,0.5261,0.0326,0.0030,0.0000,0E0,1.6926,0.0159,0.0522,0.0000,0.0000,0E0,2.4374,0.0419,0.0404,0.0000,0.0000,0E0
Ptyoiulus_coveanus,339,3.2306,3.3654,500,0.9836,37,3.3701,0.9825,0.0018,10339,11.8434,1.0262,3.1138,2.6120,0.0977,6.8180,0.1168,0.0000,0.8126,1.3350,0.0387,0.1178,12.2844,0.2727,0.0000,4.2165,0.1640,0.0028,0.0414,0.0000,0.3303,15.7771,0.0000,0.2569,0.0000,1.5203,11.5818,0.0000,10.0773,15.5425,0.0000,6.0407,0.0194,1.0000,0.0057,0.0830,0.0000,0.0000,0E0,5.0000,0.5292,0.0306,0.0678,0.1081,0E0,10.0000,0.5292,0.0306,0.0678,0.1081,0E0,4.4298,0.3309,0.0328,0.0000,0.0000,0E0,10.3654,0.5292,0.0306,0.0678,0.1081,0E0,4.6874,0.5198,0.0327,0.0029,0.0000,0E0,4.4298,0.3309,0.0328,0.0000,0.0000,0E0,4.6874,0.5198,0.0327,0.0029,0.0000,0E0,4.6874,0.5198,0.0327,0.0029,0.0000,0E0,1.7090,0.0159,0.0529,0.0000,0.0000,0E0,2.4844,0.0417,0.0406,0.0000,0.0000,0E0
Ptyoiulus_coveanus,339,3.2296,3.3665,500,0.9836,37,3.3612,0.9801,0.0018,10339,12.9465,0.7539,3.2721,0.0610,0.2391,7.0687,0.0369,0.0000,0.8563,1.3962,0.0255,0.0813,13.9199,0.2328,0.0000,3.0325,0.0032,0.3105,0.0726,0.0009,0.4151,15.6192,0.0000,0.1686,0.0000,1.1701,11.7764,0.0022,10.5594,15.9770,0.0018,6.0335,0.0193,1.0000,0.0060,0.0786,0.0000,0.0000,0E0,5.0000,0.5280,0.0308,0.0619,0.1622,0E0,10.0000,0.5280,0.0289,0.0619,0.1622,0E0,4.3126,0.3258,0.0328,0.0000,0.0000,0E0,14.4542,0.5280,0.0289,0.0619,0.1622,0E0,4.5650,0.5129,0.0327,0.0619,0.1622,0E0,4.3126,0.3258,0.0328,0.0000,0.0000,0E0,4.5650,0.5129,0.0327,0.0029,0.0000,0E0,4.5650,0.5129,0.0327,0.0029,0.0000,0E0,1.6273,0.0158,0.0524,0.0000,0.0000,0E0,2.3884,0.0413,0.0403,0.0000,0.0000,0E0
Ptyoiulus_coveanus,339,3.2335,3.3670,500,0.9836,37,3.3809,0.9842,0.0017,10339,7.4830,2.1599,6.1452,2.4891,0.1479,6.1029,0.0303,0.0000,0.8945,0.0801,0.0223,0.1013,14.6564,0.2123,0.0000,3.3304,0.0223,0.0434,0.0937,0.0022,0.1797,16.1352,0.0107,0.8492,0.0000,1.6627,12.0150,0.0055,9.4620,15.6629,0.0000,6.0331,0.0193,1.0000,0.0059,0.0780,0.0000,0.0000,0E0,5.0000,0.5239,0.0310,0.0531,0.0541,0E0,10.0000,0.5239,0.0285,0.0531,0.0541,0E0,4.3222,0.3334,0.0327,0.0000,0.0000,0E0,15.5117,0.5239,0.0285,0.0531,0.0541,0E0,4.5768,0.5150,0.0327,0.0531,0.0541,0E0,4.3222,0.3334,0.0327,0.0000,0.0000,0E0,4.5768,0.5150,0.0327,0.0531,0.0541,0E0,4.3222,0.3334,0.0327,0.0000,0.0000,0E0,1.6107,0.0158,0.0526,0.0000,0.0000,0E0,2.3649,0.0384,0.0403,0.0000,0.0000,0E0
Ptyoiulus_coveanus,339,3.2302,3.3642,500,0.9836,37,3.3796,0.9867,0.0017,10339,13.8653,1.0046,0.5139,1.4970,0.5558,7.9561,0.2061,0.0000,1.2951,0.0879,0.0159,0.1076,14.3225,0.2066,0.0000,3.5038,0.1972,0.0000,0.1357,0.0000,0.3657,15.1686,0.0000,0.7019,0.0000,1.5245,12.5583,0.0000,9.3261,14.8836,0.0000,6.0418,0.0195,1.0000,0.0062,0.0803,0.0000,0.0000,0E0,5.0000,0.5253,0.0310,0.0029,0.0000,0E0,10.0000,0.5264,0.0287,0.0560,0.0270,0E0,4.5593,0.3167,0.0328,0.0000,0.0000,0E0,15.3711,0.5264,0.0287,0.0560,0.0270,0E0,9.5580,0.5264,0.0310,0.0560,0.0270,0E0,4.5593,0.3167,0.0328,0.0000,0.0000,0E0,15.3711,0.5264,0.0287,0.0560,0.0270,0E0,9.2938,0.5253,0.0310,0.0029,0.0000,0E0,1.6594,0.0160,0.0532,0.0000,0.0000,0E0,2.4554,0.0431,0.0406,0.0000,0.0000,0E0
