Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pycnopsyche_antica,54,3.6272,4.2242,500,0.9885,6,3.4059,0.9831,0.0110,10054,6.8842,3.0240,2.6211,4.4573,2.5481,2.4228,10.5637,0.0487,3.0301,9.7509,0.2702,1.2350,12.4396,0.2816,3.2946,3.0251,0.0000,0.0000,0.5681,0.7921,0.0000,0.0777,16.8387,0.5322,0.0277,12.6345,0.2333,0.0583,2.3403,0.0000,0.0000,5.6113,0.0122,1.0000,0.0029,0.2264,0.0185,0.0000,1.346E-4,5.0000,0.0180,0.0832,0.0185,0.0000,3.305E-7,10.0000,0.0552,0.0413,0.0370,0.1667,6.942E-7,0.2204,0.0007,0.3662,0.0000,0.0000,2.413E-3,24.8258,0.2651,0.0106,0.0926,0.3333,1.892E-7,11.0135,0.0645,0.0370,0.0370,0.1667,4.032E-7,13.4156,0.0863,0.0289,0.0370,0.1667,1.189E-7,5.4920,0.0203,0.0764,0.0185,0.0000,1.987E-7,5.4920,0.0203,0.0764,0.0185,0.0000,1.987E-7,3.4933,0.0108,0.1122,0.0185,0.0000,1.994E-6,14.0519,0.0894,0.0272,0.0556,0.1667,8.656E-8
Pycnopsyche_antica,54,3.6427,4.2355,500,0.9873,6,2.9279,0.9848,0.0058,10054,4.7746,7.1098,2.5459,0.1878,3.0334,4.1756,14.1837,0.0722,1.6059,12.0721,0.3281,1.0462,12.1728,0.1839,0.0000,2.9534,0.0434,0.0000,0.0503,1.0135,0.0000,0.0195,15.9721,0.4851,0.0000,13.9126,0.1536,0.2172,1.6874,0.0000,0.0000,5.6159,0.0121,1.0000,0.0025,0.2505,0.0185,0.0000,2.474E-4,5.0000,0.0166,0.0893,0.0185,0.0000,5.077E-7,10.0000,0.0492,0.0429,0.0185,0.0000,6.206E-9,0.1496,0.0004,0.4527,0.0000,0.0000,8.602E-3,25.1792,0.2686,0.0102,0.0926,0.3333,1.625E-7,11.2427,0.0591,0.0370,0.0370,0.0000,2.566E-9,10.5222,0.0540,0.0403,0.0185,0.0000,4.273E-9,11.5106,0.0619,0.0358,0.0370,0.0000,2.108E-9,11.5106,0.0619,0.0358,0.0370,0.0000,2.108E-9,3.6816,0.0108,0.1161,0.0185,0.0000,2.446E-6,14.0115,0.0861,0.0273,0.0370,0.3333,7.918E-6
Pycnopsyche_antica,54,3.5378,4.1469,500,0.9863,6,3.8740,0.9899,0.0064,10054,5.1834,4.0958,6.9092,1.5662,2.1278,2.2992,6.4233,0.1122,4.2483,9.3318,0.2451,1.2078,11.0882,0.2750,0.0000,3.0222,0.0000,0.0000,0.1063,1.2160,0.0000,0.1300,14.0777,0.5737,0.0144,22.2827,0.4453,0.7967,2.2216,0.0000,0.0000,5.7031,0.0133,1.0000,0.0029,0.2644,0.0185,0.0000,3.414E-4,5.0000,0.0169,0.1013,0.0185,0.0000,1.078E-6,10.0000,0.0475,0.0492,0.0370,0.0000,1.424E-8,0.1423,0.0004,0.4633,0.0000,0.0000,9.889E-3,19.8123,0.1533,0.0179,0.0926,0.1667,1.087E-8,12.4867,0.0682,0.0370,0.0370,0.1667,4.032E-7,18.1045,0.1358,0.0209,0.0370,0.1667,2.344E-8,10.8352,0.0537,0.0446,0.0370,0.0000,7.828E-9,10.8352,0.0537,0.0446,0.0370,0.0000,7.828E-9,3.8333,0.0118,0.1258,0.0185,0.0000,3.967E-6,14.5357,0.0877,0.0297,0.0370,0.1667,1.361E-7
Pycnopsyche_antica,54,3.5652,4.1945,500,0.9878,6,3.7909,0.9913,0.0039,10054,5.1861,6.4321,1.9972,1.0857,3.3701,6.3215,8.3842,0.1021,3.8438,8.8623,0.2939,1.4122,6.9095,0.3530,0.0000,2.8911,0.0675,0.0000,0.3802,1.2697,0.0000,1.8771,23.1288,0.5741,0.0000,13.7955,0.2057,0.1892,1.0674,0.0000,0.0000,5.6934,0.0133,1.0000,0.0030,0.2377,0.0185,0.0000,1.804E-4,5.0000,0.0189,0.0900,0.0185,0.0000,5.319E-7,10.0000,0.0556,0.0459,0.0370,0.0000,9.293E-9,0.2085,0.0007,0.3930,0.0000,0.0000,3.683E-3,25.1564,0.2505,0.0121,0.0926,0.3333,3.189E-7,11.9997,0.0716,0.0370,0.0370,0.0000,2.566E-9,17.5422,0.1388,0.0217,0.0370,0.3333,3.202E-6,17.3142,0.1326,0.0222,0.0370,0.0000,1.191E-10,17.3142,0.1326,0.0222,0.0370,0.0000,1.191E-10,3.4893,0.0116,0.1198,0.0185,0.0000,2.949E-6,14.2485,0.0910,0.0294,0.0370,0.0000,6.512E-10
Pycnopsyche_antica,54,3.5651,4.1583,500,0.9878,6,4.3417,0.9963,0.0011,10054,2.8252,4.7345,3.4736,0.7625,3.2288,2.6449,11.6156,0.7420,3.6452,15.3324,0.3131,1.5147,9.1070,0.2056,0.0000,3.1774,0.0194,0.0000,0.1423,0.7402,0.0000,0.0556,15.3465,0.5268,0.0000,16.8988,0.2335,0.3634,2.3509,0.0000,0.0000,5.6556,0.0128,1.0000,0.0029,0.2323,0.0185,0.0000,1.573E-4,5.0000,0.0186,0.0859,0.0185,0.0000,4.028E-7,10.0000,0.0550,0.0437,0.0185,0.0000,6.93E-9,0.1707,0.0005,0.4004,0.0000,0.0000,4.123E-3,21.1983,0.1867,0.0151,0.0926,0.0000,1.194E-11,11.5026,0.0659,0.0370,0.0370,0.0000,2.566E-9,10.7969,0.0602,0.0400,0.0185,0.0000,4.086E-9,34.5783,0.4885,0.0068,0.1481,0.0000,9.572E-14,34.5783,0.4885,0.0068,0.1481,0.0000,9.572E-14,3.4399,0.0112,0.1160,0.0185,0.0000,2.433E-6,14.1352,0.0955,0.0283,0.0556,0.0000,5.188E-10
Pycnopsyche_antica,54,3.6243,4.2658,500,0.9888,6,2.6249,0.9506,0.0326,10054,4.1009,1.0192,2.6498,3.1896,2.6976,5.5743,13.9068,0.2880,1.8500,7.7951,0.3053,1.5337,10.4711,0.2123,11.2684,3.1739,0.0000,0.0000,0.1140,0.8262,0.0000,0.2112,5.4821,0.3510,0.0000,20.2122,0.2945,0.6329,1.8399,0.0000,0.0000,5.6260,0.0124,1.0000,0.0029,0.2235,0.0185,0.0000,1.246E-4,5.0000,0.0189,0.0817,0.0185,0.1667,2.03E-5,10.0000,0.0537,0.0397,0.0370,0.3333,3.488E-5,0.2519,0.0007,0.3551,0.0000,0.0000,2.004E-3,33.3116,0.4656,0.0069,0.0926,0.3333,3.291E-8,10.5883,0.0589,0.0370,0.0370,0.3333,2.647E-5,15.9002,0.1297,0.0210,0.0370,0.3333,2.813E-6,1.8187,0.0054,0.1667,0.0185,0.1667,6.651E-4,1.0211,0.0029,0.2215,0.0185,0.0000,1.181E-4,3.3353,0.0109,0.1127,0.0185,0.1667,9.88E-5,13.1743,0.0814,0.0276,0.0370,0.3333,8.266E-6
Pycnopsyche_antica,54,3.7762,4.3844,500,0.9956,6,1.4153,0.8672,0.1142,10054,7.5217,3.6910,3.3199,0.8297,3.0287,5.6295,7.2997,0.9090,3.7544,5.7025,0.6623,1.8245,10.4863,0.0853,0.0000,2.9540,0.0190,0.0000,0.1758,0.5962,0.0000,0.0361,23.9635,1.4415,0.0000,13.1923,0.3465,1.4716,1.0590,0.0000,0.0000,5.4815,0.0108,1.0000,0.0033,0.1574,0.0000,0.1667,5.044E-4,5.0000,0.0262,0.0582,0.0000,0.1667,3.808E-6,10.0000,0.0702,0.0320,0.0185,0.1667,1.968E-7,9.3570,0.0647,0.0342,0.0000,0.1667,2.733E-7,22.3550,0.2142,0.0109,0.0926,0.3333,2.112E-7,13.3624,0.1014,0.0232,0.0185,0.3333,4.168E-6,9.3570,0.0647,0.0342,0.0000,0.1667,2.733E-7,0.8797,0.0028,0.1667,0.0000,0.1667,6.651E-4,13.2509,0.1006,0.0235,0.0185,0.1667,4.192E-8,2.4578,0.0094,0.0959,0.0000,0.1667,4.474E-5,13.0841,0.0980,0.0239,0.0185,0.1667,4.558E-8
Pycnopsyche_antica,54,3.6412,4.2204,500,0.9894,6,2.9847,0.9587,0.0328,10054,3.9557,2.1346,4.4139,1.2759,1.9895,4.5346,12.8555,0.0458,4.0089,13.4000,0.0866,1.9936,10.2859,0.2131,0.0000,2.7887,0.0000,0.0000,0.3701,0.7614,0.0000,0.0522,24.7458,0.5836,0.0043,7.4583,0.2912,0.2445,1.5063,0.0000,0.0000,5.5842,0.0118,1.0000,0.0027,0.2350,0.0185,0.0000,1.686E-4,5.0000,0.0171,0.0836,0.0185,0.1667,2.286E-5,10.0000,0.0513,0.0408,0.0370,0.1667,6.537E-7,0.4056,0.0010,0.3263,0.0000,0.0000,1.208E-3,20.8672,0.1906,0.0136,0.0926,0.1667,2.787E-9,10.8413,0.0571,0.0370,0.0370,0.1667,4.032E-7,17.0880,0.1292,0.0191,0.0370,0.1667,1.5E-8,1.9761,0.0053,0.1667,0.0185,0.1667,6.651E-4,20.8672,0.1906,0.0136,0.0926,0.1667,2.787E-9,3.5005,0.0105,0.1128,0.0185,0.1667,9.923E-5,13.8173,0.0861,0.0265,0.0370,0.1667,7.606E-8
Pycnopsyche_antica,54,3.6744,4.3159,500,0.9904,6,2.8570,0.9275,0.0570,10054,3.1784,3.1289,2.1625,3.6080,3.2938,4.9000,10.3344,0.0854,2.1327,13.2232,0.8443,1.8284,9.3493,0.1183,0.0000,2.4202,0.0683,0.0000,0.0328,0.4436,0.0000,0.1183,21.4892,0.6797,0.0000,12.5267,0.1710,1.8237,2.0390,0.0000,0.0000,5.5448,0.0114,1.0000,0.0025,0.2150,0.0185,0.1667,2.265E-3,5.0000,0.0190,0.0711,0.0185,0.1667,1.027E-5,10.0000,0.0597,0.0341,0.0185,0.3333,1.923E-5,0.3399,0.0008,0.3256,0.0000,0.1667,1.601E-2,24.9280,0.3246,0.0095,0.0926,0.3333,1.228E-7,15.5664,0.1214,0.0191,0.0185,0.3333,1.935E-6,15.5664,0.1214,0.0191,0.0185,0.3333,1.935E-6,1.6178,0.0041,0.1667,0.0185,0.1667,6.651E-4,7.2465,0.0341,0.0489,0.0185,0.1667,1.615E-6,3.2085,0.0100,0.1047,0.0185,0.1667,6.901E-5,12.7327,0.0878,0.0254,0.0185,0.3333,5.958E-6
Pycnopsyche_antica,54,3.6134,4.2353,500,0.9883,6,3.1833,0.9792,0.0143,10054,4.2127,2.7267,2.8316,1.9297,3.4238,1.9794,11.8021,0.0677,4.9511,12.0342,0.1582,1.4648,11.5317,0.2087,0.0000,3.4194,0.0134,0.0000,0.1314,0.5459,0.0123,0.0848,20.4306,0.7434,0.0000,12.6299,0.1277,0.2288,2.3103,0.0000,0.0000,5.6087,0.0121,1.0000,0.0024,0.2478,0.0185,0.0000,2.313E-4,5.0000,0.0169,0.0868,0.0185,0.1667,2.747E-5,10.0000,0.0500,0.0427,0.0370,0.1667,8.185E-7,0.2449,0.0006,0.4033,0.0000,0.0000,4.304E-3,26.1054,0.2814,0.0095,0.0926,0.1667,4.724E-10,11.2407,0.0616,0.0370,0.0370,0.1667,4.032E-7,18.4295,0.1396,0.0177,0.0370,0.1667,1.028E-8,4.3225,0.0135,0.0988,0.0185,0.1667,5.175E-5,4.3201,0.0135,0.0988,0.0185,0.0000,9.282E-7,3.5992,0.0107,0.1149,0.0185,0.0000,2.299E-6,14.1927,0.0886,0.0271,0.0370,0.1667,8.5E-8
