Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pyrochroidae_genus_species,220,3.1856,3.4919,500,0.9853,25,3.4668,0.9830,0.0073,10220,1.7485,3.8385,0.5586,1.2110,1.3218,6.9190,0.5567,0.6575,0.0598,20.5696,0.0117,0.1320,16.3564,0.3614,4.0590,2.3144,0.0219,8.7872,0.2401,0.1376,0.2019,13.3001,0.0000,2.7800,0.0568,2.3875,3.0474,0.5566,0.0741,7.7326,0.0000,6.0853,0.0193,1.0000,0.0026,0.2839,0.0045,0.0000,2.125E-14,5.0000,0.0265,0.0690,0.0136,0.0400,3.147E-27,10.0000,0.1220,0.0313,0.0227,0.0400,1.912E-35,0.1944,0.0005,0.5618,0.0000,0.0000,5.499E-7,19.2869,0.4951,0.0195,0.1000,0.0400,2.165E-40,12.4144,0.2000,0.0255,0.0227,0.0400,1.444E-37,12.4144,0.2000,0.0255,0.0227,0.0400,1.444E-37,7.9387,0.0705,0.0400,0.0227,0.0400,6.846E-33,19.2869,0.4951,0.0195,0.1000,0.0400,2.165E-40,3.8824,0.0167,0.0914,0.0091,0.0400,2.628E-24,7.4570,0.0618,0.0430,0.0227,0.0400,3.732E-32
Pyrochroidae_genus_species,220,3.1742,3.4854,500,0.9855,25,3.6921,0.9876,0.0012,10220,0.8198,1.7804,5.4695,0.0482,2.5225,3.7971,0.5757,0.2310,0.1565,20.6150,0.0000,0.1382,16.4287,0.3807,7.6277,1.5215,0.0000,7.2274,0.2628,0.1185,0.1844,12.4139,0.0000,2.2927,0.1491,2.6124,2.7569,0.1145,0.0740,9.6705,0.0104,6.0905,0.0194,1.0000,0.0026,0.2803,0.0045,0.0000,1.555E-14,5.0000,0.0271,0.0687,0.0091,0.0000,8.359E-30,10.0000,0.1235,0.0317,0.0273,0.0000,3.368E-38,0.1152,0.0003,0.6262,0.0000,0.0000,8.284E-6,18.0421,0.3943,0.0203,0.1000,0.0400,5.57E-40,11.7650,0.1727,0.0273,0.0273,0.0000,8.014E-40,12.7236,0.2068,0.0255,0.0273,0.0000,1.513E-40,15.9953,0.3415,0.0218,0.0636,0.0400,3.321E-39,15.9953,0.3415,0.0218,0.0591,0.0000,2.96E-42,4.0251,0.0179,0.0874,0.0045,0.0000,3.428E-27,7.5093,0.0612,0.0432,0.0182,0.0000,7.494E-35
Pyrochroidae_genus_species,220,3.1989,3.5078,500,0.9855,25,3.1321,0.9720,0.0129,10220,5.7652,2.1804,0.6182,0.1231,1.4041,4.8152,0.5578,0.6521,0.1339,20.8906,0.0000,0.1138,15.1774,0.5536,7.3997,2.2916,0.4178,5.6212,0.1883,0.1607,0.1256,12.5811,0.0000,2.4395,0.6012,2.2184,2.1213,0.5683,0.0688,10.1957,0.0155,6.0699,0.0191,1.0000,0.0025,0.2773,0.0045,0.0000,1.185E-14,5.0000,0.0273,0.0652,0.0091,0.0800,1.392E-25,10.0000,0.1260,0.0301,0.0273,0.0800,2.958E-33,0.1093,0.0003,0.6471,0.0000,0.0000,1.878E-5,18.7594,0.5187,0.0195,0.0955,0.1600,1.403E-32,11.2080,0.1740,0.0273,0.0273,0.0800,3.059E-34,12.8028,0.2215,0.0245,0.0273,0.0800,2.465E-35,4.1767,0.0187,0.0800,0.0091,0.0800,1.527E-23,13.3023,0.2405,0.0238,0.0409,0.0800,1.284E-35,3.5700,0.0138,0.0956,0.0045,0.0800,8.788E-22,7.3323,0.0632,0.0423,0.0182,0.0800,6.918E-30
Pyrochroidae_genus_species,220,3.1687,3.4768,500,0.9856,25,3.6025,0.9886,0.0022,10220,2.0279,3.0151,2.2297,2.3069,2.3050,5.1032,0.7776,0.2098,0.0523,18.8123,0.0000,0.2458,15.4272,0.4642,8.6548,1.7445,0.0214,4.1930,0.1889,0.1829,0.4064,13.0333,0.0000,1.6612,0.0853,2.7468,3.3599,0.8936,0.0475,9.7859,0.0175,6.1050,0.0197,1.0000,0.0027,0.2954,0.0045,0.0000,5.758E-14,5.0000,0.0246,0.0742,0.0091,0.0000,5.695E-29,10.0000,0.1085,0.0326,0.0318,0.0400,4.966E-35,0.1862,0.0005,0.5713,0.0000,0.0000,8.36E-7,19.2155,0.4764,0.0196,0.0955,0.0400,2.441E-40,10.2467,0.1160,0.0318,0.0318,0.0400,2.772E-35,12.3617,0.1836,0.0264,0.0318,0.0400,3.256E-37,8.3716,0.0703,0.0400,0.0318,0.0400,6.846E-33,28.3598,0.6341,0.0166,0.2273,0.0400,4.953E-42,4.1290,0.0172,0.0923,0.0045,0.0000,1.338E-26,7.7738,0.0595,0.0438,0.0318,0.0400,6.069E-32
Pyrochroidae_genus_species,220,3.2167,3.5131,500,0.9862,25,2.6005,0.9629,0.0144,10220,3.6216,1.9559,0.7360,0.8981,0.8161,9.2412,0.8863,0.6646,0.7313,18.2949,0.0000,0.1477,15.9475,0.4911,9.8457,2.4757,0.0000,3.4876,0.0854,0.1698,0.1178,10.5474,0.0000,2.1991,0.0543,3.4550,3.7294,0.2781,0.0518,9.0541,0.0166,6.0473,0.0186,1.0000,0.0025,0.2655,0.0045,0.0400,2.794E-13,5.0000,0.0273,0.0641,0.0091,0.0800,9.511E-26,10.0000,0.1375,0.0288,0.0273,0.2400,7.853E-25,0.2095,0.0006,0.5175,0.0000,0.0000,7.048E-8,17.9531,0.4733,0.0196,0.0955,0.3200,8.435E-24,10.6320,0.1633,0.0273,0.0273,0.2400,2.929E-25,7.8764,0.0701,0.0373,0.0136,0.1200,7.706E-29,4.1036,0.0189,0.0800,0.0045,0.0800,1.527E-23,6.9850,0.0545,0.0429,0.0136,0.0800,9.489E-30,3.7696,0.0163,0.0879,0.0045,0.0800,1.284E-22,7.2249,0.0588,0.0413,0.0136,0.1200,7.214E-28
Pyrochroidae_genus_species,221,3.1738,3.4768,500,0.9854,24,3.3405,0.9873,0.0026,10221,2.1590,2.6981,1.3579,2.4138,2.4300,5.0850,1.7776,0.4281,0.0734,18.1807,0.0000,0.1684,16.2078,0.3524,7.2457,1.7235,0.0000,6.5067,0.2115,0.0693,0.0642,13.3804,0.0000,1.8158,0.6983,2.2849,1.8700,0.4737,0.0589,10.2653,0.0000,6.0918,0.0194,1.0000,0.0026,0.2919,0.0045,0.0000,1.458E-13,5.0000,0.0244,0.0731,0.0090,0.0000,5.393E-28,10.0000,0.1115,0.0318,0.0452,0.1250,6.55E-29,0.1805,0.0005,0.5730,0.0000,0.0000,1.572E-6,19.5524,0.4885,0.0192,0.0995,0.1250,1.66E-33,9.4520,0.0946,0.0339,0.0317,0.0417,3.518E-33,8.5218,0.0740,0.0384,0.0226,0.0417,6.183E-32,7.9524,0.0648,0.0417,0.0226,0.0417,4.174E-31,6.2808,0.0392,0.0554,0.0136,0.0000,6.914E-31,3.7324,0.0147,0.1017,0.0045,0.0000,1.482E-24,7.7083,0.0616,0.0432,0.0226,0.0417,9.732E-31
Pyrochroidae_genus_species,221,3.2058,3.5168,500,0.9860,24,2.9894,0.9754,0.0091,10221,3.3223,3.0463,3.1010,0.5064,1.8792,8.9564,0.6675,0.2360,0.6819,17.9716,0.0000,0.1756,14.6683,0.3628,6.0163,1.9102,0.0095,5.2467,0.1960,0.0793,0.0465,12.5581,0.0000,1.5426,0.2916,2.7713,4.4289,0.5038,0.1280,8.6798,0.0161,6.0569,0.0188,1.0000,0.0027,0.2566,0.0045,0.0000,6.658E-15,5.0000,0.0297,0.0636,0.0090,0.1250,1.249E-22,10.0000,0.1198,0.0299,0.0317,0.1667,3.167E-27,0.1657,0.0004,0.5477,0.0000,0.0000,5.308E-7,18.0526,0.4869,0.0198,0.0860,0.1667,8.138E-31,9.4725,0.1111,0.0317,0.0317,0.1667,9.866E-27,7.9236,0.0723,0.0383,0.0136,0.1250,3.12E-27,4.1831,0.0215,0.0767,0.0045,0.0417,4.989E-25,4.1831,0.0215,0.0767,0.0045,0.0417,4.989E-25,3.6659,0.0164,0.0881,0.0045,0.0417,1.178E-23,7.3163,0.0613,0.0418,0.0136,0.1250,1.963E-26
Pyrochroidae_genus_species,221,3.2458,3.5469,500,0.9881,24,2.4556,0.9313,0.0338,10221,3.0546,3.2208,0.6319,1.1582,0.6809,6.9851,0.9098,0.3271,0.0336,20.0145,0.0000,0.2130,22.7421,0.3025,4.1077,2.5531,0.0000,3.5006,0.2458,0.0214,0.1005,8.6789,0.0000,3.5844,0.6981,2.6630,1.9157,0.8296,0.0258,10.7991,0.0022,6.0249,0.0183,1.0000,0.0025,0.2470,0.0000,0.0833,7.043E-12,5.0000,0.0311,0.0551,0.0090,0.1250,6.268E-24,10.0000,0.1516,0.0276,0.0181,0.1250,3.368E-30,2.1547,0.0069,0.1350,0.0000,0.0833,1.546E-17,18.2422,0.4611,0.0194,0.0950,0.3333,2.497E-22,10.8099,0.1805,0.0260,0.0271,0.1250,9.922E-31,10.8099,0.1805,0.0260,0.0181,0.1250,9.922E-31,2.3397,0.0078,0.1250,0.0045,0.1250,1.508E-16,11.2734,0.2037,0.0252,0.0271,0.1250,5.237E-31,3.7102,0.0167,0.0772,0.0045,0.1250,7.011E-21,6.6946,0.0621,0.0404,0.0090,0.1250,9.785E-27
Pyrochroidae_genus_species,221,3.1822,3.4939,500,0.9857,24,3.3532,0.9860,0.0041,10221,1.9422,4.3341,1.6289,0.6555,1.1288,6.5676,0.8732,0.1330,0.0429,20.5668,0.0000,0.1103,16.1373,0.4572,4.0252,2.6008,0.0251,8.3591,0.2239,0.0872,0.1180,13.7529,0.0000,2.2876,0.2619,2.2617,3.2224,1.1719,0.0792,6.9454,0.0000,6.0841,0.0193,1.0000,0.0025,0.2839,0.0045,0.0000,7.532E-14,5.0000,0.0268,0.0680,0.0090,0.0417,3.15E-26,10.0000,0.1199,0.0311,0.0317,0.0833,1.816E-31,0.1844,0.0005,0.5679,0.0000,0.0000,1.264E-6,19.2606,0.5112,0.0195,0.0995,0.1250,2.282E-33,9.8201,0.1143,0.0317,0.0317,0.0833,2.737E-31,13.0117,0.2327,0.0247,0.0317,0.0833,1.102E-33,7.0915,0.0532,0.0453,0.0181,0.0417,2.825E-30,7.0915,0.0532,0.0453,0.0181,0.0417,2.825E-30,3.9457,0.0169,0.0888,0.0045,0.0417,1.443E-23,7.4527,0.0618,0.0429,0.0226,0.0833,2.033E-28
Pyrochroidae_genus_species,221,3.1608,3.4795,500,0.9855,24,3.6931,0.9902,0.0015,10221,1.0714,3.7749,0.6114,2.0502,1.2940,6.1831,0.6346,0.1895,0.0691,19.9128,0.0000,0.1286,17.2410,0.4002,7.5961,2.2785,0.0054,6.4553,0.2815,0.1025,0.1481,12.9255,0.0000,1.9163,0.5131,2.0990,1.7428,0.0685,0.0601,10.2465,0.0000,6.1068,0.0197,1.0000,0.0027,0.2877,0.0045,0.0000,1.038E-13,5.0000,0.0260,0.0725,0.0090,0.0000,4.444E-28,10.0000,0.1201,0.0326,0.0271,0.0000,2.046E-36,0.1318,0.0004,0.6162,0.0000,0.0000,8.975E-6,18.3781,0.3907,0.0202,0.0995,0.0000,2.018E-41,12.1268,0.1783,0.0271,0.0271,0.0000,2.464E-38,12.8478,0.2119,0.0257,0.0271,0.0000,7.097E-39,21.3689,0.5044,0.0187,0.1312,0.0000,3.288E-42,21.3689,0.5044,0.0187,0.1312,0.0000,3.288E-42,3.9387,0.0172,0.0939,0.0045,0.0000,2.222E-25,7.6645,0.0599,0.0438,0.0181,0.0000,2.528E-33
