Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Pyrularia_pubera,411,0.9348,1.2100,500,0.8887,46,0.4033,0.7599,0.0316,10411,6.4568,4.5222,0.1425,0.2891,0.7721,12.2234,4.1232,2.0713,0.6347,0.0639,0.0000,1.3475,5.6563,2.3892,1.0128,0.8395,0.4761,1.5414,1.8994,6.8433,31.0871,1.4374,5.0397,0.0211,0.4426,2.6590,1.2692,1.9855,1.9476,0.8024,0.0037,8.3417,0.1990,1.0000,0.0399,0.6867,0.0024,0.0435,3.979E-5,5.0000,0.1312,0.5024,0.0243,0.1522,1.4E-6,10.0000,0.1984,0.4009,0.0560,0.1957,1.182E-8,0.7888,0.0331,0.7092,0.0000,0.0217,2.937E-5,19.6710,0.2937,0.2812,0.0998,0.3696,6.91E-8,30.8684,0.3813,0.1922,0.1922,0.4783,7.046E-9,28.9489,0.3680,0.2050,0.1727,0.4565,6.456E-9,15.4467,0.2558,0.3261,0.0827,0.3261,2.425E-7,10.2506,0.2009,0.3969,0.0560,0.1957,8.094E-9,2.4845,0.0788,0.5890,0.0073,0.1087,1.541E-5,9.8798,0.1973,0.4029,0.0560,0.1957,1.424E-8
Pyrularia_pubera,411,0.9375,1.2159,500,0.8882,46,0.5027,0.7798,0.0279,10411,1.6467,4.4802,0.2964,1.1170,1.1738,12.4616,3.7796,2.6809,0.4254,1.8902,0.0262,1.0759,10.6833,2.4380,1.8119,0.8172,0.5005,1.5518,1.6675,4.5778,30.8201,1.2530,3.5384,0.0304,0.4805,3.3577,1.7351,1.5708,1.8405,0.2718,0.0000,8.3252,0.1961,1.0000,0.0454,0.6552,0.0049,0.0435,8.539E-6,5.0000,0.1381,0.4905,0.0316,0.1522,6.256E-7,10.0000,0.2055,0.3948,0.0560,0.1739,1.084E-9,0.4711,0.0249,0.7138,0.0000,0.0000,8.735E-6,16.8563,0.2726,0.3083,0.0998,0.3261,3.954E-8,31.2636,0.3809,0.1898,0.1898,0.4783,4.703E-9,30.6415,0.3777,0.1938,0.1776,0.4783,9.221E-9,16.8173,0.2723,0.3087,0.0998,0.3043,6.7E-9,10.7293,0.2137,0.3839,0.0584,0.1739,3.495E-10,3.0507,0.0991,0.5483,0.0097,0.0435,1.32E-8,9.9057,0.2041,0.3963,0.0560,0.1739,1.267E-9
Pyrularia_pubera,411,0.9055,1.1660,500,0.8825,46,0.8942,0.8519,0.0231,10411,2.2806,3.2262,3.6065,0.6673,1.1386,11.4895,4.0581,1.6350,0.1737,2.0861,0.0000,1.4281,12.8965,2.6442,0.6586,1.0011,0.2460,1.7109,1.3195,3.6639,27.8201,1.2864,4.9167,0.0588,1.3370,2.7060,1.2486,1.9084,2.4026,0.3097,0.0753,8.3568,0.2025,1.0000,0.0472,0.6698,0.0049,0.0000,9.567E-7,5.0000,0.1393,0.5060,0.0292,0.0652,3.002E-9,10.0000,0.2051,0.4075,0.0633,0.0870,1.506E-12,0.1871,0.0115,0.7915,0.0000,0.0000,2.495E-4,17.4846,0.2777,0.3116,0.0998,0.1087,1.039E-17,31.2445,0.3787,0.1971,0.1971,0.2174,9.091E-24,29.9185,0.3716,0.2060,0.1825,0.2174,2.048E-22,28.6637,0.3638,0.2150,0.1776,0.2174,3.563E-21,22.1144,0.3173,0.2670,0.1314,0.1087,5.317E-22,2.2768,0.0843,0.5948,0.0097,0.0435,2.899E-7,9.9057,0.2042,0.4091,0.0584,0.0870,1.802E-12
Pyrularia_pubera,411,0.9212,1.1892,500,0.8844,46,0.7603,0.8342,0.0234,10411,4.6436,3.9556,0.3246,1.3089,1.1503,10.9272,3.8627,1.8710,0.4319,0.2234,0.0000,1.6696,12.0215,2.4885,1.4422,0.7632,0.3633,1.4380,1.4875,3.2962,28.7051,1.0057,3.6926,0.1464,1.0642,3.9122,2.1540,1.9949,2.3812,1.2743,0.0000,8.3458,0.2003,1.0000,0.0465,0.6686,0.0049,0.0000,8.996E-7,5.0000,0.1368,0.5023,0.0341,0.0652,2.217E-9,10.0000,0.2029,0.4037,0.0633,0.1522,4.146E-10,0.1350,0.0089,0.8112,0.0000,0.0000,5.331E-4,15.3491,0.2584,0.3319,0.0998,0.1739,5.452E-13,31.1368,0.3803,0.1946,0.1946,0.2826,1.679E-19,33.6644,0.3970,0.1786,0.2019,0.3478,2.488E-17,24.9905,0.3366,0.2392,0.1582,0.2391,5.442E-17,28.6904,0.3626,0.2113,0.1849,0.2391,3.424E-20,1.7777,0.0697,0.6174,0.0049,0.0000,4.677E-8,9.9492,0.2023,0.4046,0.0633,0.1522,4.529E-10
Pyrularia_pubera,411,0.9190,1.1894,500,0.8858,46,0.6668,0.8135,0.0266,10411,4.0383,4.1666,0.7561,0.4404,0.9917,10.0865,3.2152,1.9798,3.5073,0.1324,0.0000,1.1955,10.9997,2.4110,1.9007,1.6771,0.2625,1.4375,1.5828,3.2598,29.2092,1.5282,2.1097,0.6202,0.4964,4.9225,1.2282,2.9784,2.0614,0.6158,0.1892,8.3378,0.1985,1.0000,0.0461,0.6668,0.0049,0.0435,1.531E-5,5.0000,0.1326,0.4991,0.0341,0.0870,9.818E-9,10.0000,0.2024,0.3989,0.0535,0.1522,2.52E-10,0.1862,0.0118,0.7895,0.0000,0.0000,2.304E-4,16.3187,0.2653,0.3162,0.0998,0.1957,5.397E-13,30.5594,0.3798,0.1957,0.1946,0.3696,5.3E-14,24.9428,0.3368,0.2359,0.1436,0.2826,7.26E-15,24.0683,0.3289,0.2429,0.1436,0.2391,1.289E-16,15.2363,0.2564,0.3286,0.0949,0.1522,3.252E-14,2.0924,0.0776,0.5994,0.0049,0.0652,1.722E-6,9.8541,0.2006,0.4013,0.0535,0.1522,3.237E-10
Pyrularia_pubera,411,0.9025,1.1677,500,0.8815,46,0.8980,0.8482,0.0211,10411,4.0086,2.8743,0.4506,0.2478,1.1061,10.8282,3.7672,2.5672,3.6939,0.5224,0.0000,1.0818,11.7559,2.1657,0.1636,1.0043,0.5293,1.5740,2.0628,3.0446,29.5588,1.8931,4.7294,0.0303,0.5990,2.6425,1.0630,2.2031,2.4581,1.3746,0.0000,8.3698,0.2051,1.0000,0.0486,0.6735,0.0049,0.0000,1.167E-6,5.0000,0.1395,0.5093,0.0243,0.0435,6.481E-10,10.0000,0.2075,0.4101,0.0633,0.0870,2.037E-12,0.3091,0.0185,0.7602,0.0000,0.0000,6.957E-5,16.0822,0.2676,0.3293,0.0998,0.1087,2.502E-16,30.4768,0.3811,0.2042,0.2044,0.2826,2.96E-18,26.8517,0.3531,0.2299,0.1703,0.1957,1.042E-20,27.9578,0.3619,0.2218,0.1873,0.2174,2.701E-20,18.7480,0.2915,0.3006,0.1119,0.1087,1.201E-18,2.1382,0.0820,0.6050,0.0073,0.0000,2.128E-8,9.7388,0.2037,0.4144,0.0608,0.0870,3.306E-12
Pyrularia_pubera,411,0.8860,1.1364,500,0.8787,46,1.0230,0.8791,0.0160,10411,5.2814,3.6797,0.0206,0.4706,0.9676,10.3488,3.6293,2.2745,0.4701,2.2964,0.0000,1.3142,13.8106,2.2090,1.4684,0.7732,0.6046,1.5651,1.1838,3.8183,29.5453,1.4105,3.2882,0.0238,0.7091,2.8285,1.7448,1.8782,2.1267,0.2588,0.0000,8.3851,0.2086,1.0000,0.0494,0.6738,0.0049,0.0000,1.185E-6,5.0000,0.1445,0.5122,0.0268,0.0000,1.802E-11,10.0000,0.2126,0.4152,0.0657,0.0000,4.185E-16,0.3264,0.0193,0.7582,0.0000,0.0000,6.413E-5,15.0111,0.2631,0.3475,0.0998,0.0652,3.018E-17,32.7414,0.3941,0.1946,0.1946,0.2609,5.359E-21,32.6969,0.3939,0.1949,0.1922,0.2609,5.898E-21,29.3741,0.3722,0.2174,0.1752,0.2174,7.377E-21,23.8815,0.3331,0.2597,0.1484,0.0870,2.616E-24,1.6785,0.0723,0.6292,0.0049,0.0000,9.639E-8,9.6529,0.2082,0.4208,0.0633,0.0000,8.811E-16
Pyrularia_pubera,412,0.9020,1.1603,500,0.8823,45,0.9335,0.8501,0.0246,10412,7.1346,3.5792,0.5319,0.0298,1.0280,10.4926,4.2410,2.2316,0.8352,0.8811,0.0000,1.9666,12.6236,2.0640,0.3074,0.6202,1.2304,2.1431,1.8070,5.9087,26.3275,0.7786,2.8775,0.1191,0.7248,3.7650,1.1118,1.9075,2.2723,0.4600,0.0000,8.3644,0.2037,1.0000,0.0459,0.6701,0.0049,0.0222,5.671E-6,5.0000,0.1367,0.5018,0.0243,0.0444,5.735E-10,10.0000,0.2078,0.4032,0.0583,0.0889,1.88E-12,0.2100,0.0128,0.7866,0.0000,0.0000,2.378E-4,16.5974,0.2757,0.3176,0.0995,0.1333,1.272E-15,30.4695,0.3838,0.2015,0.2015,0.2889,7.799E-18,34.8430,0.4129,0.1741,0.2087,0.3778,1.126E-15,26.7502,0.3592,0.2273,0.1820,0.2222,6.24E-19,25.5521,0.3502,0.2364,0.1748,0.1778,1.117E-20,2.1927,0.0819,0.5961,0.0073,0.0444,4.467E-7,9.4419,0.2017,0.4121,0.0534,0.0889,5.212E-12
Pyrularia_pubera,412,0.9280,1.1958,500,0.8857,45,0.5411,0.7867,0.0293,10412,2.8344,0.5079,0.4064,5.4641,0.6121,11.3231,4.3015,1.8772,0.4806,2.0318,0.0032,1.6162,10.5123,1.7971,1.1411,0.9920,0.2990,2.8616,1.6564,3.9951,29.6036,0.9186,4.2539,0.0410,0.2987,3.0399,2.2979,2.1172,2.3478,0.3683,0.0000,8.3467,0.2002,1.0000,0.0459,0.6516,0.0049,0.0222,2.187E-6,5.0000,0.1420,0.4899,0.0316,0.1111,4.304E-8,10.0000,0.2116,0.3961,0.0607,0.2222,8.235E-8,0.2270,0.0135,0.7634,0.0000,0.0000,9.421E-5,16.9260,0.2806,0.3094,0.0995,0.3111,1.814E-8,30.9512,0.3866,0.1962,0.1966,0.4000,4.535E-12,27.0372,0.3604,0.2226,0.1578,0.3778,5.838E-11,16.8890,0.2804,0.3098,0.0995,0.3111,1.912E-8,7.7355,0.1850,0.4332,0.0485,0.1333,2.194E-9,1.7086,0.0680,0.6038,0.0073,0.0444,7.03E-7,9.4285,0.2050,0.4049,0.0583,0.2222,1.74E-7
Pyrularia_pubera,412,0.9453,1.2175,500,0.8884,45,0.3081,0.7529,0.0320,10412,2.7337,3.4845,0.7353,0.2369,0.8950,11.6934,2.8321,2.4000,3.1405,0.2498,0.0163,1.6995,10.4773,2.4251,0.7519,1.3525,0.1522,1.8150,1.2793,5.0276,29.2212,1.4905,2.7979,0.1210,0.5091,4.6974,2.5843,1.8282,1.8018,1.5506,0.0000,8.3279,0.1966,1.0000,0.0453,0.6575,0.0000,0.0222,2.986E-6,5.0000,0.1361,0.4940,0.0316,0.1333,2.873E-7,10.0000,0.2030,0.3961,0.0655,0.2889,7.769E-6,1.1170,0.0500,0.6483,0.0000,0.0444,7.922E-6,15.2213,0.2549,0.3266,0.0995,0.3333,5.764E-7,31.2807,0.3811,0.1893,0.1893,0.4889,1.788E-8,30.8222,0.3781,0.1924,0.1796,0.4889,2.906E-8,14.6498,0.2498,0.3334,0.0922,0.3333,1.054E-6,20.4560,0.3011,0.2727,0.1238,0.3333,1.469E-9,2.3324,0.0842,0.5811,0.0049,0.0889,3.604E-6,9.9208,0.2013,0.3973,0.0655,0.2889,8.483E-6
