Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ramaria_species,51,3.8236,4.4286,500,0.9942,5,2.6073,0.8583,0.1248,10051,6.4810,3.4353,3.6132,5.4563,1.0444,3.9210,13.9627,0.4268,3.3413,0.8155,0.1771,1.1234,4.4136,0.0000,32.0564,0.9910,0.0173,0.0000,0.0716,0.1973,0.2895,0.1980,4.9046,0.5291,0.3185,9.8518,0.0073,0.0000,1.9601,0.3959,0.0000,5.4228,0.0102,1.0000,0.0020,0.1937,0.0000,0.2000,5.949E-3,5.0000,0.0242,0.0486,0.0196,0.2000,2.671E-5,10.0000,0.0864,0.0253,0.0196,0.2000,1.998E-6,1.8017,0.0039,0.1289,0.0000,0.2000,1.24E-3,28.4633,0.3712,0.0078,0.0980,0.2000,1.802E-8,12.9256,0.1227,0.0196,0.0196,0.2000,7.263E-7,15.0876,0.1635,0.0165,0.0196,0.2000,3.671E-7,0.9471,0.0019,0.2000,0.0000,0.2000,6.717E-3,51.2093,0.7396,0.0034,0.3529,0.2000,6.529E-10,1.8017,0.0039,0.1289,0.0000,0.2000,1.24E-3,11.2953,0.1031,0.0225,0.0196,0.2000,1.255E-6
Ramaria_species,50,3.7552,4.3995,500,0.9925,6,4.2982,0.9921,0.0063,10050,6.8533,3.8506,5.1035,0.9401,1.1961,5.5252,14.1836,0.0234,1.9741,4.0035,0.2851,1.1856,4.3644,0.0000,29.6339,1.1254,0.0000,0.3310,0.7737,0.0855,0.4068,0.1123,13.0720,0.4311,0.1438,1.6740,0.0597,0.0000,2.2674,0.3949,0.0000,5.5051,0.0109,1.0000,0.0017,0.2691,0.0000,0.0000,3.794E-4,5.0000,0.0155,0.0659,0.0200,0.0000,8.169E-8,10.0000,0.0656,0.0291,0.0200,0.1667,1.212E-7,1.4529,0.0024,0.2143,0.0000,0.0000,9.693E-5,32.9143,0.4566,0.0065,0.1000,0.1667,6.754E-11,13.7530,0.1200,0.0200,0.0200,0.1667,1.888E-8,15.5837,0.1550,0.0170,0.0200,0.1667,8.435E-9,7.1815,0.0352,0.0424,0.0200,0.0000,5.8E-9,7.1815,0.0352,0.0424,0.0200,0.0000,5.8E-9,1.4529,0.0024,0.2143,0.0000,0.0000,9.693E-5,11.6450,0.0911,0.0244,0.0200,0.1667,5.061E-8
Ramaria_species,50,3.7342,4.3643,500,0.9929,6,4.5796,0.9969,0.0010,10050,6.7185,5.7829,5.0448,3.0266,2.0215,6.0939,18.1529,0.0000,1.0912,1.6017,0.4608,1.0651,3.2142,0.0462,32.0574,0.9293,0.0000,0.5104,0.5737,0.0796,0.2577,0.0505,0.0749,0.4219,0.0834,8.0771,0.0281,0.0000,2.1582,0.3777,0.0000,5.4966,0.0108,1.0000,0.0015,0.2753,0.0000,0.0000,4.356E-4,5.0000,0.0148,0.0658,0.0200,0.0000,8.095E-8,10.0000,0.0686,0.0295,0.0200,0.0000,6.528E-10,1.8352,0.0032,0.1825,0.0000,0.0000,3.693E-5,27.1031,0.3584,0.0085,0.1000,0.0000,3.66E-13,13.9526,0.1216,0.0200,0.0200,0.0000,6.4E-11,13.9526,0.1216,0.0200,0.0200,0.0000,6.4E-11,30.2640,0.4058,0.0073,0.1200,0.0000,1.469E-13,30.2640,0.4058,0.0073,0.1200,0.0000,1.469E-13,1.8352,0.0032,0.1825,0.0000,0.0000,3.693E-5,11.8721,0.0898,0.0242,0.0200,0.0000,1.998E-10
Ramaria_species,50,3.8235,4.4592,500,0.9936,6,3.1107,0.9711,0.0186,10050,7.3599,7.0562,2.5458,6.9970,1.6801,5.3797,13.2235,0.0324,1.9048,0.1790,0.5490,1.3629,3.8208,0.0083,27.5844,1.3406,0.0191,0.6153,0.5667,0.0325,0.2576,0.1243,4.3719,0.3863,0.0686,9.6136,0.0000,0.0081,2.6983,0.2131,0.0000,5.4087,0.0098,1.0000,0.0015,0.2660,0.0000,0.0000,3.54E-4,5.0000,0.0131,0.0656,0.0200,0.1667,6.876E-6,10.0000,0.0635,0.0277,0.0200,0.3333,8.398E-6,2.0640,0.0035,0.1647,0.0000,0.0000,1.994E-5,25.0983,0.3238,0.0081,0.1000,0.3333,6.248E-8,13.0466,0.1015,0.0200,0.0200,0.3333,2.324E-6,17.8181,0.1810,0.0130,0.0200,0.3333,4.24E-7,2.7816,0.0050,0.1271,0.0200,0.1667,1.777E-4,2.7816,0.0050,0.1271,0.0200,0.0000,4.209E-6,2.0640,0.0035,0.1647,0.0000,0.0000,1.994E-5,12.0018,0.0895,0.0222,0.0200,0.3333,3.508E-6
Ramaria_species,51,3.7896,4.3813,500,0.9937,5,3.3265,0.9394,0.0521,10051,9.4267,4.6457,3.7134,2.4810,0.8991,3.8711,18.6629,0.0006,1.2136,0.7850,0.2527,1.3665,3.4973,0.0367,24.9546,1.0861,0.0314,0.5076,0.4084,0.0000,0.1617,0.0045,0.0000,0.3954,0.0850,18.8629,0.0986,0.0000,2.2985,0.2242,0.0289,5.4477,0.0103,1.0000,0.0015,0.2687,0.0000,0.2000,2.047E-2,5.0000,0.0143,0.0605,0.0196,0.2000,6.371E-5,10.0000,0.0716,0.0269,0.0196,0.2000,2.548E-6,2.3418,0.0039,0.1449,0.0000,0.2000,1.947E-3,28.3065,0.3561,0.0077,0.0980,0.2000,1.712E-8,13.2668,0.1212,0.0196,0.0196,0.2000,7.263E-7,16.6216,0.1871,0.0151,0.0196,0.2000,2.584E-7,1.5889,0.0025,0.2000,0.0000,0.2000,6.717E-3,47.7579,0.6763,0.0035,0.3333,0.2000,7.332E-10,2.3418,0.0039,0.1449,0.0000,0.2000,1.947E-3,11.4346,0.0920,0.0231,0.0196,0.2000,1.393E-6
Ramaria_species,51,3.7925,4.3791,500,0.9925,5,3.6190,0.9843,0.0115,10051,10.0672,4.0762,8.5024,0.4132,0.7719,6.7665,14.3846,0.0705,3.6702,0.0253,0.4357,0.8132,2.9319,0.0000,27.7227,0.9108,0.0043,0.0000,0.4626,0.0612,0.1071,0.0140,5.1100,0.6829,0.3941,9.7150,0.0669,0.0000,1.6403,0.1795,0.0000,5.4392,0.0102,1.0000,0.0015,0.2629,0.0000,0.0000,1.255E-3,5.0000,0.0159,0.0586,0.0196,0.2000,5.62E-5,10.0000,0.0725,0.0267,0.0196,0.2000,2.473E-6,1.4129,0.0022,0.2095,0.0000,0.0000,4.039E-4,30.5627,0.4094,0.0068,0.0980,0.2000,1.042E-8,13.0206,0.1088,0.0196,0.0196,0.2000,7.263E-7,14.6830,0.1486,0.0171,0.0196,0.2000,4.229E-7,4.4642,0.0126,0.0671,0.0196,0.0000,1.356E-6,4.4642,0.0126,0.0671,0.0196,0.0000,1.356E-6,1.4129,0.0022,0.2095,0.0000,0.0000,4.039E-4,11.4562,0.0885,0.0229,0.0196,0.2000,1.346E-6
Ramaria_species,50,3.9217,4.6128,500,0.9969,6,1.8269,0.8797,0.0915,10050,8.1637,4.6584,2.1636,3.5555,1.2045,6.3195,17.4387,0.3962,1.9751,0.0877,0.3673,0.6333,3.4941,0.0000,26.7947,1.5501,0.0071,0.4613,0.3081,0.0092,0.0690,0.0000,0.0808,0.2231,0.1077,17.7774,0.1915,0.0000,1.4441,0.5186,0.0000,5.3102,0.0090,1.0000,0.0015,0.1882,0.0000,0.1667,1.193E-3,5.0000,0.0230,0.0418,0.0000,0.3333,4.275E-5,10.0000,0.0953,0.0216,0.0000,0.3333,3.149E-6,15.7973,0.1773,0.0137,0.0000,0.3333,5.216E-7,33.2937,0.4851,0.0053,0.1000,0.3333,1.15E-8,15.9049,0.1788,0.0137,0.0200,0.3333,5.216E-7,15.7973,0.1773,0.0137,0.0000,0.3333,5.216E-7,1.1875,0.0020,0.1667,0.0000,0.1667,6.644E-4,2.3378,0.0050,0.0930,0.0000,0.1667,3.858E-5,3.0575,0.0080,0.0700,0.0000,0.3333,3.219E-4,10.8753,0.1071,0.0201,0.0000,0.3333,2.37E-6
Ramaria_species,50,3.8750,4.4779,500,0.9941,6,2.1215,0.9786,0.0076,10050,7.8410,1.2734,4.1597,0.3597,1.5870,6.9413,11.3443,0.1569,3.8669,2.7126,0.2847,1.8834,3.2474,0.0049,37.4877,1.6380,0.0194,0.0000,2.0581,0.0844,0.0000,0.3689,0.0731,0.5711,0.3375,9.0982,0.2652,0.0000,2.0195,0.3157,0.0000,5.3733,0.0095,1.0000,0.0014,0.2574,0.0000,0.0000,2.909E-4,5.0000,0.0144,0.0608,0.0200,0.0000,5.05E-8,10.0000,0.0660,0.0257,0.0200,0.1667,6.547E-8,2.3407,0.0040,0.1373,0.0000,0.0000,6.703E-6,23.8869,0.3055,0.0083,0.1000,0.8333,4.854E-2,12.2814,0.0920,0.0200,0.0200,0.3333,2.324E-6,16.1791,0.1679,0.0141,0.0200,0.3333,5.844E-7,5.0524,0.0148,0.0600,0.0200,0.0000,4.666E-8,5.0524,0.0148,0.0600,0.0200,0.0000,4.666E-8,2.3407,0.0040,0.1373,0.0000,0.0000,6.703E-6,11.6496,0.0851,0.0214,0.0200,0.3333,3.035E-6
Ramaria_species,50,3.7853,4.4226,500,0.9924,6,3.1686,0.9895,0.0026,10050,9.9042,4.8794,4.0789,2.2166,0.7621,8.7368,18.4754,0.2430,3.0784,3.4757,0.0951,0.6697,2.7617,0.0000,31.1559,1.2698,0.0261,0.2865,0.2984,0.2010,0.0176,0.0000,0.0563,0.4873,0.0164,4.8905,0.0170,0.0000,1.7673,0.1330,0.0000,5.4638,0.0104,1.0000,0.0013,0.3043,0.0000,0.0000,7.936E-4,5.0000,0.0130,0.0715,0.0200,0.0000,1.341E-7,10.0000,0.0603,0.0297,0.0200,0.0000,6.797E-10,1.6321,0.0023,0.2210,0.0000,0.0000,1.165E-4,27.8082,0.3542,0.0077,0.1000,0.6667,8.627E-4,13.6751,0.1106,0.0200,0.0200,0.0000,6.4E-11,15.1066,0.1283,0.0175,0.0200,0.1667,9.739E-9,14.0217,0.1138,0.0193,0.0200,0.0000,5.174E-11,14.0217,0.1138,0.0193,0.0200,0.0000,5.174E-11,1.6321,0.0023,0.2210,0.0000,0.0000,1.165E-4,12.1076,0.0868,0.0234,0.0200,0.0000,1.635E-10
Ramaria_species,51,3.7373,4.3566,500,0.9921,5,4.2822,0.9951,0.0019,10051,8.7441,3.7739,8.4887,2.5344,1.2127,6.2052,17.0328,0.0277,3.0508,0.3155,0.4362,0.9239,3.3603,0.0032,28.2590,1.0755,0.0092,0.5420,0.4366,0.1155,0.1563,0.5926,0.0485,0.3839,0.0609,9.5499,0.1191,0.0000,2.3544,0.1836,0.0038,5.5034,0.0109,1.0000,0.0015,0.2854,0.0000,0.0000,1.895E-3,5.0000,0.0141,0.0684,0.0196,0.0000,1.492E-6,10.0000,0.0660,0.0302,0.0196,0.0000,2.531E-8,1.4376,0.0023,0.2281,0.0000,0.0000,6.18E-4,27.6711,0.3645,0.0083,0.0980,0.2000,2.31E-8,14.4023,0.1306,0.0196,0.0196,0.0000,2.893E-9,16.6794,0.1603,0.0163,0.0196,0.0000,1.157E-9,19.4248,0.2200,0.0132,0.0588,0.0000,4.057E-10,19.4248,0.2200,0.0132,0.0588,0.0000,4.057E-10,4.0793,0.0097,0.0877,0.0196,0.0000,5.174E-6,12.0012,0.0886,0.0244,0.0196,0.0000,8.606E-9
