Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ramariopsis_kunzei,30,3.6828,4.6917,500,0.9964,4,3.6797,0.9879,0.0079,10030,3.1887,2.1971,2.3008,4.0985,6.3649,3.3273,6.4326,1.7716,26.3255,6.7225,1.7602,0.7032,6.8348,0.0000,15.3499,1.7328,0.0276,0.5419,1.5610,3.2629,0.0482,1.7271,0.0530,0.0855,0.0000,0.4918,0.8586,0.0000,1.8049,0.3212,0.1058,5.5628,0.0116,1.0000,0.0015,0.3428,0.0000,0.0000,1.38E-2,5.0000,0.0118,0.1011,0.0000,0.0000,1.045E-4,10.0000,0.0434,0.0438,0.0000,0.0000,3.67E-6,10.4842,0.0481,0.0412,0.0000,0.0000,2.875E-6,38.7797,0.4813,0.0049,0.1000,0.5000,1.423E-4,12.3300,0.0656,0.0333,0.0333,0.2500,1.44E-4,10.4842,0.0481,0.0412,0.0000,0.0000,2.875E-6,10.9293,0.0540,0.0390,0.0333,0.0000,2.309E-6,10.9293,0.0540,0.0390,0.0333,0.0000,2.309E-6,4.5920,0.0102,0.1106,0.0000,0.0000,1.495E-4,14.7040,0.0929,0.0259,0.0333,0.2500,6.832E-5
Ramariopsis_kunzei,30,3.6863,4.7149,500,0.9960,4,3.9491,0.9940,0.0026,10030,7.3987,1.9993,2.0639,1.0158,8.5077,4.7165,7.5230,2.5069,19.9367,3.0609,0.6288,0.4856,4.7943,0.0027,15.7706,2.3456,0.0052,0.3109,1.3372,2.2737,0.0251,2.3681,0.0108,0.0341,0.0000,6.5295,0.5866,0.0100,3.3962,0.0000,0.3556,5.5436,0.0113,1.0000,0.0015,0.3564,0.0000,0.0000,1.614E-2,5.0000,0.0113,0.1074,0.0000,0.0000,1.329E-4,10.0000,0.0399,0.0457,0.0333,0.0000,4.348E-6,8.8485,0.0301,0.0538,0.0000,0.0000,8.402E-6,33.2937,0.4275,0.0064,0.1000,0.5000,2.422E-4,12.5841,0.0635,0.0333,0.0333,0.0000,1.23E-6,21.8471,0.1816,0.0138,0.0333,0.0000,3.584E-8,23.5426,0.2078,0.0120,0.0667,0.0000,2.049E-8,23.5426,0.2078,0.0120,0.0667,0.0000,2.049E-8,4.6371,0.0101,0.1161,0.0000,0.0000,1.814E-4,15.1718,0.0882,0.0254,0.0333,0.0000,4.178E-7
Ramariopsis_kunzei,30,3.9024,4.8932,500,0.9978,4,2.3263,0.8138,0.1598,10030,3.8325,4.2748,0.1097,3.1163,6.6463,3.6826,9.1071,1.9934,19.9262,2.4897,0.4403,0.7425,4.8835,0.0000,20.6625,1.3440,0.0089,0.3922,0.4556,1.2217,0.0000,0.9938,0.0170,0.3442,0.0000,8.0027,1.6350,0.0000,2.9992,0.6785,0.0000,5.3266,0.0092,1.0000,0.0013,0.2648,0.0000,0.2500,5.952E-2,5.0000,0.0130,0.0678,0.0000,0.2500,1.183E-3,10.0000,0.0541,0.0305,0.0000,0.2500,1.11E-4,20.9126,0.1978,0.0115,0.0000,0.2500,5.977E-6,38.9329,0.5185,0.0040,0.1000,0.2500,2.53E-7,20.9126,0.1978,0.0115,0.0000,0.2500,5.977E-6,20.9126,0.1978,0.0115,0.0000,0.2500,5.977E-6,1.1030,0.0015,0.2500,0.0000,0.2500,5.081E-2,45.7628,0.6072,0.0029,0.1333,0.2500,9.647E-8,3.8519,0.0081,0.0905,0.0000,0.2500,2.766E-3,13.7575,0.0938,0.0204,0.0000,0.2500,3.363E-5
Ramariopsis_kunzei,30,3.7534,4.7811,500,0.9965,4,3.2466,0.9559,0.0364,10030,9.0004,0.4294,4.4185,1.8202,6.6444,3.8184,12.2383,0.6144,16.8827,4.4005,0.2013,0.9663,6.9951,0.0031,21.4197,1.9687,0.0000,0.7342,1.2668,2.9560,0.0359,0.4284,0.0010,0.0338,0.0000,0.7959,0.3189,0.0000,1.5857,0.0098,0.0123,5.4714,0.0105,1.0000,0.0014,0.3217,0.0000,0.0000,1.071E-2,5.0000,0.0115,0.0927,0.0000,0.2500,2.967E-3,10.0000,0.0428,0.0388,0.0333,0.2500,2.266E-4,8.4651,0.0308,0.0486,0.0000,0.2500,4.412E-4,37.1888,0.4892,0.0048,0.1000,0.2500,4.368E-7,11.1833,0.0527,0.0333,0.0333,0.2500,1.44E-4,26.4074,0.2791,0.0089,0.0333,0.2500,2.776E-6,2.6466,0.0045,0.1704,0.0000,0.2500,1.726E-2,2.6456,0.0045,0.1704,0.0000,0.0000,8.429E-4,4.4186,0.0094,0.1059,0.0000,0.2500,4.371E-3,14.3168,0.0927,0.0236,0.0333,0.2500,5.184E-5
Ramariopsis_kunzei,31,3.7281,4.7152,500,0.9966,3,3.1625,0.9760,0.0178,10031,6.8190,4.5997,2.0828,0.2974,7.1332,3.0005,5.8412,1.0538,22.4130,1.2875,0.3700,1.7933,4.4864,0.0000,11.5089,1.4247,0.0000,0.4707,1.1732,3.1601,0.0786,2.1073,0.0000,0.0230,0.0000,14.8634,0.8113,0.0300,2.9961,0.1747,0.0000,5.4949,0.0108,1.0000,0.0014,0.3461,0.0000,0.0000,4.147E-2,5.0000,0.0105,0.1002,0.0000,0.0000,1.006E-3,10.0000,0.0409,0.0405,0.0000,0.3333,4.782E-3,11.1460,0.0511,0.0347,0.0000,0.3333,3.527E-3,26.3760,0.2865,0.0091,0.0968,0.3333,2.454E-4,11.7338,0.0575,0.0323,0.0323,0.3333,3.062E-3,11.1460,0.0511,0.0347,0.0000,0.3333,3.527E-3,6.9432,0.0192,0.0675,0.0000,0.0000,3.074E-4,6.9432,0.0192,0.0675,0.0000,0.0000,3.074E-4,4.6996,0.0096,0.1074,0.0000,0.0000,1.238E-3,14.2881,0.0895,0.0242,0.0323,0.3333,1.732E-3
Ramariopsis_kunzei,31,3.7739,4.7452,500,0.9969,3,2.0327,0.7951,0.1663,10031,4.6912,0.7789,2.4815,3.4056,6.9793,3.4888,10.5832,1.3447,21.0517,4.8103,0.4962,1.6218,4.6352,0.0000,16.6460,1.9209,0.0133,0.1177,1.4265,1.8679,0.0319,2.3088,0.0000,0.0748,1.3145,4.5770,0.7834,0.0000,2.3259,0.2173,0.0060,5.4412,0.0103,1.0000,0.0014,0.3059,0.0000,0.3333,2.234E-1,5.0000,0.0120,0.0824,0.0000,0.3333,1.927E-2,10.0000,0.0491,0.0355,0.0000,0.3333,3.689E-3,11.1199,0.0612,0.0310,0.0000,0.3333,2.824E-3,32.5462,0.4024,0.0061,0.0968,0.3333,1.105E-4,11.1482,0.0613,0.0310,0.0323,0.3333,2.824E-3,11.1199,0.0612,0.0310,0.0000,0.3333,2.824E-3,0.8429,0.0012,0.3334,0.0000,0.3333,2.593E-1,69.0465,0.8220,0.0013,0.5161,0.3333,5.034E-6,4.2275,0.0091,0.0993,0.0000,0.3333,2.762E-2,14.0680,0.0956,0.0229,0.0323,0.3333,1.553E-3
Ramariopsis_kunzei,31,3.6841,4.6791,500,0.9964,3,5.0690,0.9985,0.0006,10031,6.5152,1.9592,2.5743,3.0893,5.4332,3.2827,10.4794,1.3148,20.4155,3.8929,0.4829,0.7076,3.8861,0.0000,17.8686,1.6352,0.0108,0.4174,0.9024,2.1350,0.0433,2.2342,0.0000,0.0488,0.0000,7.0838,1.2268,0.0000,1.8409,0.5037,0.0163,5.5455,0.0114,1.0000,0.0015,0.3402,0.0000,0.0000,3.939E-2,5.0000,0.0116,0.0989,0.0000,0.0000,9.672E-4,10.0000,0.0436,0.0419,0.0000,0.0000,7.34E-5,10.2129,0.0454,0.0407,0.0000,0.0000,6.729E-5,33.9223,0.4293,0.0064,0.0968,0.0000,2.597E-7,12.1287,0.0656,0.0323,0.0323,0.0000,3.37E-5,10.2129,0.0454,0.0407,0.0000,0.0000,6.729E-5,52.3879,0.6821,0.0026,0.1935,0.0000,1.741E-8,52.3879,0.6821,0.0026,0.1935,0.0000,1.741E-8,4.5960,0.0101,0.1084,0.0000,0.0000,1.272E-3,14.3435,0.0908,0.0255,0.0323,0.0000,1.662E-5
Ramariopsis_kunzei,31,3.7548,4.8173,500,0.9971,3,2.3748,0.9859,0.0036,10031,6.2307,2.1034,2.7857,2.6313,6.5990,3.2872,9.6318,0.4764,23.0488,7.3068,0.8670,2.5026,5.2073,0.0000,13.5895,1.7749,0.0338,0.5377,1.3885,2.6275,0.1025,1.6801,0.0000,0.0000,0.0000,0.4561,1.3921,0.0000,3.0161,0.7073,0.0160,5.4716,0.0105,1.0000,0.0013,0.3473,0.0000,0.0000,4.19E-2,5.0000,0.0108,0.0978,0.0000,0.0000,9.354E-4,10.0000,0.0387,0.0415,0.0000,0.0000,7.133E-5,14.3902,0.0854,0.0252,0.0000,0.0000,1.604E-5,35.3201,0.4366,0.0051,0.0968,1.0000,1E0,14.3902,0.0854,0.0252,0.0323,0.0000,1.604E-5,14.3902,0.0854,0.0252,0.0000,0.0000,1.604E-5,16.7815,0.1184,0.0200,0.0323,0.0000,8.046E-6,16.7815,0.1184,0.0200,0.0323,0.0000,8.046E-6,4.5565,0.0094,0.1083,0.0000,0.0000,1.269E-3,15.0423,0.0930,0.0236,0.0323,0.0000,1.319E-5
Ramariopsis_kunzei,31,3.8488,4.9141,500,0.9977,3,0.9171,0.9109,0.0618,10031,8.2476,0.5276,0.0232,3.5704,4.0884,4.6513,4.4335,1.0389,23.2059,2.2104,0.3930,0.9077,5.5025,0.0000,12.7941,2.3549,0.0223,0.6684,1.3739,3.7588,0.0000,1.9524,0.0785,0.0000,0.0000,14.2686,0.8504,0.0000,2.9728,0.0654,0.0390,5.3878,0.0097,1.0000,0.0013,0.3133,0.0000,0.0000,3.076E-2,5.0000,0.0112,0.0863,0.0000,0.3333,2.107E-2,10.0000,0.0412,0.0364,0.0000,0.3333,3.876E-3,17.0312,0.1238,0.0166,0.0000,0.6667,4.912E-2,40.6331,0.5705,0.0037,0.0968,1.0000,1E0,17.0312,0.1238,0.0166,0.0323,0.6667,4.912E-2,17.0312,0.1238,0.0166,0.0000,0.6667,4.912E-2,1.5614,0.0021,0.2401,0.0000,0.3333,1.452E-1,1.5612,0.0021,0.2401,0.0000,0.0000,1.383E-2,4.2972,0.0086,0.1017,0.0000,0.3333,2.892E-2,14.3777,0.0831,0.0217,0.0000,0.6667,6.379E-2
Ramariopsis_kunzei,31,3.7905,4.8379,500,0.9972,3,2.4012,0.9649,0.0243,10031,8.2639,0.2038,1.6676,1.0172,6.7543,5.5574,3.9585,0.9210,25.1647,4.4643,0.5815,1.3578,5.8712,0.0372,20.3471,2.0598,0.0623,0.5889,1.0457,3.1876,0.0157,1.4217,0.0239,0.0000,0.0000,1.1108,0.3295,0.0564,3.8602,0.0393,0.0307,5.4505,0.0103,1.0000,0.0013,0.3451,0.0000,0.0000,4.111E-2,5.0000,0.0103,0.0927,0.0000,0.3333,2.419E-2,10.0000,0.0433,0.0377,0.0000,0.3333,4.153E-3,12.4537,0.0681,0.0279,0.0000,0.3333,2.294E-3,41.6528,0.5619,0.0036,0.0968,0.6667,1.073E-2,12.4537,0.0681,0.0279,0.0323,0.3333,2.294E-3,12.4537,0.0681,0.0279,0.0000,0.3333,2.294E-3,4.9254,0.0100,0.0944,0.0000,0.0000,8.414E-4,4.9254,0.0100,0.0944,0.0000,0.0000,8.414E-4,4.6830,0.0092,0.1003,0.0000,0.0000,1.009E-3,14.2293,0.0909,0.0231,0.0323,0.3333,1.58E-3
