Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Rhagovelia_obesa,48,3.6329,4.2559,500,0.9949,6,0.4395,0.8915,0.0564,10048,1.6026,2.3042,0.6945,0.6106,1.3180,2.7310,0.0204,0.5300,31.8410,6.2628,17.0190,0.1847,3.7615,0.6728,0.5232,0.1453,0.0000,0.1356,0.4477,3.7073,0.0000,0.3857,1.5998,0.4622,0.0622,22.1984,0.0901,0.5763,0.0649,0.0482,0.0000,5.6046,0.0124,1.0000,0.0035,0.1792,0.0000,0.1667,9.442E-4,5.0000,0.0245,0.0700,0.0000,0.3333,3.204E-4,10.0000,0.0642,0.0384,0.0208,0.6667,1.996E-2,7.7452,0.0459,0.0489,0.0000,0.6667,3.14E-2,23.0147,0.2283,0.0140,0.0833,0.6667,2.845E-3,16.2730,0.1368,0.0226,0.0208,0.6667,7.206E-3,16.2730,0.1368,0.0226,0.0208,0.6667,7.206E-3,1.1793,0.0041,0.1667,0.0000,0.1667,6.651E-4,2.5581,0.0101,0.1102,0.0000,0.1667,8.844E-5,2.6520,0.0107,0.1078,0.0000,0.3333,1.691E-3,13.9650,0.1149,0.0270,0.0208,0.6667,1.015E-2
Rhagovelia_obesa,48,3.5275,4.1120,500,0.9933,6,1.4133,0.9523,0.0157,10048,2.3657,0.9441,1.5062,1.3605,0.8855,2.9402,0.9513,0.4808,33.0942,2.1945,14.0677,0.4510,2.7135,0.5209,0.1826,0.1008,0.0683,1.0986,0.6219,1.5206,1.0827,0.0000,3.4719,0.0707,0.1167,25.3506,0.5782,0.7375,0.4984,0.0000,0.0242,5.7104,0.0138,1.0000,0.0040,0.1948,0.0000,0.0000,5.458E-5,5.0000,0.0240,0.0830,0.0000,0.1667,2.2E-5,10.0000,0.0627,0.0461,0.0208,0.6667,2.813E-2,5.6533,0.0285,0.0758,0.0000,0.1667,1.41E-5,22.4037,0.2058,0.0172,0.0833,0.6667,4.246E-3,11.5066,0.0767,0.0400,0.0417,0.6667,2.156E-2,11.5066,0.0767,0.0400,0.0208,0.6667,2.156E-2,2.7869,0.0123,0.1210,0.0000,0.1667,1.4E-4,2.7849,0.0123,0.1210,0.0000,0.0000,3.141E-6,2.7849,0.0123,0.1210,0.0000,0.0000,3.141E-6,14.8865,0.1077,0.0301,0.0417,0.6667,1.25E-2
Rhagovelia_obesa,48,3.3677,3.9501,500,0.9920,6,1.6521,0.8926,0.0601,10048,0.8248,2.3766,2.2921,0.0494,1.3646,2.1139,2.4716,0.0554,32.7350,2.4297,13.4049,0.3040,2.2333,0.8701,0.2780,0.3916,0.0595,0.7546,0.2502,4.1610,0.0000,0.4960,2.1484,0.0451,0.2442,26.3248,0.1767,0.3330,0.5366,0.2749,0.0000,5.9342,0.0175,1.0000,0.0044,0.2377,0.0000,0.3333,3.146E-2,5.0000,0.0255,0.1079,0.0000,0.3333,1.697E-3,10.0000,0.0614,0.0625,0.0000,0.3333,2.066E-4,10.9976,0.0696,0.0571,0.0000,0.3333,1.455E-4,19.6063,0.1504,0.0294,0.0833,0.3333,1.063E-5,14.8890,0.1029,0.0417,0.0417,0.3333,4.238E-5,10.9976,0.0696,0.0571,0.0000,0.3333,1.455E-4,0.7206,0.0032,0.2654,0.0000,0.3333,4.633E-2,35.8927,0.3934,0.0096,0.1875,0.3333,1.231E-7,3.1214,0.0148,0.1432,0.0000,0.3333,4.95E-3,16.2706,0.1170,0.0375,0.0417,0.3333,2.797E-5
Rhagovelia_obesa,48,3.3669,4.0371,500,0.9930,6,3.8422,0.9881,0.0082,10048,3.3442,0.8135,0.2889,0.0927,1.4110,3.3265,2.9960,0.3755,27.8502,2.7720,18.0572,0.3368,4.1156,0.4995,0.3535,0.1685,0.0000,0.5361,0.0885,4.7619,0.0000,0.4874,2.2647,0.0397,0.1231,23.3610,0.2049,0.4313,0.7056,0.1942,0.0000,5.8737,0.0165,1.0000,0.0044,0.2155,0.0000,0.0000,1.001E-4,5.0000,0.0266,0.0968,0.0000,0.0000,8.245E-7,10.0000,0.0632,0.0562,0.0208,0.0000,3.161E-8,9.2253,0.0571,0.0606,0.0000,0.0000,4.957E-8,20.3289,0.1706,0.0252,0.0833,0.1667,5.945E-8,13.4737,0.0948,0.0417,0.0417,0.1667,7.302E-7,9.2253,0.0571,0.0606,0.0000,0.0000,4.957E-8,10.0203,0.0632,0.0561,0.0208,0.0000,3.127E-8,10.0203,0.0632,0.0561,0.0208,0.0000,3.127E-8,2.8637,0.0139,0.1353,0.0000,0.0000,6.121E-6,15.6157,0.1187,0.0353,0.0417,0.1667,3.206E-7
Rhagovelia_obesa,49,3.3564,3.9853,500,0.9925,5,3.8040,0.9846,0.0112,10049,1.4532,1.3560,1.9156,0.4246,1.3396,2.3674,0.0922,0.3126,26.0185,3.7949,19.4390,0.1564,2.8540,0.6251,0.6761,0.3070,0.0109,0.3611,0.3691,4.1284,0.0000,0.4907,1.7081,0.0699,0.1324,28.2594,0.1772,0.4865,0.4269,0.2473,0.0000,5.8790,0.0166,1.0000,0.0047,0.2076,0.0000,0.0000,3.854E-4,5.0000,0.0278,0.0944,0.0000,0.0000,7.511E-6,10.0000,0.0651,0.0550,0.0408,0.2000,4.384E-5,9.1998,0.0587,0.0594,0.0000,0.2000,5.932E-5,22.7081,0.1963,0.0217,0.0816,0.2000,1.088E-6,13.6152,0.1043,0.0408,0.0408,0.2000,1.34E-5,9.1998,0.0587,0.0594,0.0000,0.2000,5.932E-5,8.2661,0.0506,0.0650,0.0000,0.0000,1.159E-6,8.2661,0.0506,0.0650,0.0000,0.0000,1.159E-6,2.7328,0.0140,0.1341,0.0000,0.0000,4.343E-5,15.5185,0.1214,0.0355,0.0408,0.2000,7.738E-6
Rhagovelia_obesa,49,3.3980,3.9949,500,0.9925,5,3.0371,0.9825,0.0080,10049,1.2059,1.0729,3.1732,0.2566,0.8571,2.8141,0.1296,0.3704,33.0347,4.5719,11.9789,0.6344,2.3125,0.5939,0.3697,0.2991,0.0000,0.2955,0.5593,1.7358,2.4909,0.4530,2.1955,0.0719,0.2135,26.3285,0.4148,0.6387,0.9205,0.0070,0.0000,5.8381,0.0157,1.0000,0.0037,0.2288,0.0000,0.0000,6.267E-4,5.0000,0.0239,0.0961,0.0000,0.0000,8.209E-6,10.0000,0.0624,0.0531,0.0204,0.0000,4.237E-7,7.3366,0.0382,0.0708,0.0000,0.0000,1.773E-6,22.0257,0.1956,0.0209,0.0816,0.4000,8.843E-5,13.0098,0.0924,0.0408,0.0408,0.2000,1.34E-5,11.7403,0.0804,0.0453,0.0204,0.2000,2.025E-5,10.9512,0.0713,0.0487,0.0204,0.0000,2.729E-7,10.9512,0.0713,0.0487,0.0204,0.0000,2.729E-7,3.0615,0.0135,0.1326,0.0000,0.0000,4.092E-5,15.2624,0.1131,0.0341,0.0408,0.2000,6.601E-6
Rhagovelia_obesa,49,3.5597,4.1640,500,0.9940,5,1.0743,0.9360,0.0282,10049,3.0118,2.2883,1.0839,1.0065,1.4811,2.8275,0.0155,0.1483,32.8094,3.3850,16.2465,0.1223,2.6810,0.7693,0.2260,0.1606,0.0425,0.2520,0.1681,4.4172,0.0000,0.4070,1.9220,0.0317,0.0410,23.6695,0.4579,0.1422,0.1206,0.0652,0.0000,5.6801,0.0134,1.0000,0.0043,0.1764,0.0000,0.2000,4.161E-3,5.0000,0.0270,0.0761,0.0000,0.2000,1.577E-4,10.0000,0.0646,0.0435,0.0204,0.6000,1.732E-2,5.0349,0.0274,0.0758,0.0000,0.2000,1.553E-4,22.6058,0.2049,0.0163,0.0816,0.8000,7.898E-2,15.7338,0.1206,0.0266,0.0204,0.6000,6.692E-3,15.7338,0.1206,0.0266,0.0204,0.6000,6.692E-3,0.8982,0.0038,0.1838,0.0000,0.2000,4.867E-3,0.8979,0.0038,0.1838,0.0000,0.0000,2.098E-4,2.4332,0.0115,0.1177,0.0000,0.2000,8.699E-4,14.6316,0.1086,0.0291,0.0204,0.6000,7.963E-3
Rhagovelia_obesa,49,3.4659,4.0445,500,0.9927,5,2.5378,0.9627,0.0221,10049,1.6125,1.3561,0.0633,0.9436,1.6540,1.6445,0.3123,0.2874,29.4813,2.6824,14.9947,0.5615,3.2566,0.7981,0.0863,0.0469,0.0616,0.3125,0.6254,2.3549,2.6093,0.8304,1.8872,0.0312,0.1130,30.1423,0.0658,0.6405,0.5397,0.0046,0.0000,5.8037,0.0153,1.0000,0.0040,0.2036,0.0000,0.0000,3.499E-4,5.0000,0.0262,0.0857,0.0204,0.2000,2.51E-4,10.0000,0.0679,0.0486,0.0204,0.2000,2.673E-5,4.9293,0.0253,0.0865,0.0000,0.2000,2.603E-4,22.5856,0.2077,0.0193,0.0816,0.4000,6.988E-5,12.7105,0.0964,0.0385,0.0408,0.4000,5.387E-4,12.6784,0.0963,0.0385,0.0204,0.4000,5.387E-4,2.5847,0.0115,0.1308,0.0000,0.2000,1.309E-3,2.5834,0.0115,0.1308,0.0000,0.0000,3.823E-5,2.8850,0.0130,0.1228,0.0000,0.2000,1.025E-3,14.7002,0.1163,0.0329,0.0408,0.4000,3.399E-4
Rhagovelia_obesa,49,3.3919,3.9792,500,0.9920,5,3.3302,0.9797,0.0122,10049,1.8964,1.2356,2.0139,0.0000,1.1087,1.4470,1.2424,0.1461,30.3518,1.7720,18.4319,0.6600,2.8201,0.7268,0.2505,0.1249,0.0835,0.2840,0.5777,3.5171,0.0000,0.3356,1.8326,0.0418,0.1287,27.8636,0.4168,0.2923,0.2949,0.1035,0.0000,5.8687,0.0163,1.0000,0.0038,0.2299,0.0000,0.0000,6.419E-4,5.0000,0.0253,0.0980,0.0000,0.0000,9.048E-6,10.0000,0.0610,0.0554,0.0408,0.2000,4.51E-5,7.3825,0.0414,0.0728,0.0000,0.0000,2.051E-6,24.3736,0.2221,0.0187,0.0816,0.4000,6.366E-5,13.5527,0.0952,0.0408,0.0408,0.2000,1.34E-5,7.3825,0.0414,0.0728,0.0000,0.0000,2.051E-6,7.5939,0.0427,0.0712,0.0204,0.0000,1.824E-6,7.5939,0.0427,0.0712,0.0204,0.0000,1.824E-6,3.0640,0.0139,0.1333,0.0000,0.0000,4.216E-5,15.4645,0.1160,0.0351,0.0816,0.2000,7.399E-6
Rhagovelia_obesa,49,3.3758,4.0013,500,0.9926,5,3.5318,0.9919,0.0032,10049,1.3612,2.4215,0.2956,0.1822,1.0854,2.8048,1.0565,0.4046,29.2478,2.4850,14.5039,0.2900,2.9439,0.6231,0.8409,0.0339,0.0000,0.2479,0.2194,4.1309,0.0000,1.3072,2.0178,0.0312,0.2188,29.7937,0.6886,0.1556,0.3345,0.2736,0.0000,5.8761,0.0165,1.0000,0.0045,0.2171,0.0000,0.0000,4.827E-4,5.0000,0.0263,0.0974,0.0000,0.0000,8.776E-6,10.0000,0.0643,0.0558,0.0204,0.0000,5.423E-7,8.7551,0.0518,0.0630,0.0000,0.0000,9.918E-7,20.9434,0.1741,0.0247,0.0816,0.0000,9.155E-9,13.8436,0.1071,0.0408,0.0408,0.0000,1.131E-7,8.7551,0.0518,0.0630,0.0000,0.0000,9.918E-7,23.4295,0.2047,0.0209,0.1429,0.0000,3.985E-9,23.4295,0.2047,0.0209,0.1429,0.0000,3.985E-9,2.8941,0.0140,0.1354,0.0000,0.0000,4.557E-5,15.8258,0.1253,0.0354,0.0408,0.0000,5.58E-8
