Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Rhinichthys_atratulus,66,2.4553,3.0462,500,0.9760,8,1.9614,0.9472,0.0197,10064,4.5557,5.5235,0.7079,2.1194,4.6711,14.2133,4.4670,0.7494,0.7746,0.1822,0.2032,5.3621,5.6492,1.3799,7.0759,0.7908,0.5335,0.0741,8.3652,26.1575,0.1455,1.2076,0.0276,0.0000,0.1085,1.5673,2.4698,0.6503,0.2678,0.0000,0.0000,6.8092,0.0434,1.0000,0.0092,0.3672,0.0000,0.0000,3.302E-4,5.0000,0.0408,0.2013,0.0152,0.0000,2.697E-6,10.0000,0.0837,0.1301,0.0455,0.1250,4.465E-6,4.8959,0.0396,0.2035,0.0000,0.0000,2.941E-6,20.4972,0.1918,0.0660,0.0909,0.3750,5.91E-5,15.8759,0.1413,0.0870,0.0909,0.3750,2.233E-4,12.7516,0.1084,0.1067,0.0455,0.2500,3.415E-5,10.5356,0.0881,0.1250,0.0455,0.1250,3.397E-6,7.9956,0.0669,0.1524,0.0455,0.0000,2.914E-7,4.2862,0.0347,0.2179,0.0000,0.0000,5.083E-6,15.3416,0.1369,0.0900,0.0758,0.3750,2.622E-4
Rhinichthys_atratulus,66,2.5211,3.1187,500,0.9763,8,-10.1395,0.7271,0.1052,10064,6.1600,2.2719,1.9924,1.9668,4.8919,12.3997,2.8175,0.5529,0.8641,0.0711,0.0139,3.1425,6.0605,2.2290,8.4138,0.2670,1.7436,0.1247,6.6317,28.7189,0.0724,1.6533,0.0307,0.0114,0.0175,2.2583,3.0410,0.8807,0.7010,0.0000,0.0000,6.7382,0.0403,1.0000,0.0092,0.3355,0.0000,0.2500,2.032E-2,5.0000,0.0412,0.1830,0.0455,0.5000,4.202E-2,10.0000,0.0861,0.1183,0.0606,0.7500,2.429E-1,3.6019,0.0298,0.2152,0.0000,0.5000,7.132E-2,16.4231,0.1528,0.0770,0.0909,0.7500,1.217E-1,15.6216,0.1430,0.0809,0.0758,0.7500,1.322E-1,15.5623,0.1427,0.0812,0.0606,0.7500,1.33E-1,1.9409,0.0170,0.2740,0.0000,0.2500,6.957E-3,0.9571,0.0088,0.3394,0.0000,0.1250,2.919E-3,3.6019,0.0298,0.2152,0.0000,0.5000,7.132E-2,15.0577,0.1374,0.0838,0.0606,0.7500,1.401E-1
Rhinichthys_atratulus,66,2.5388,3.1369,500,0.9775,8,0.6606,0.8625,0.0582,10064,3.9376,4.7520,2.8903,0.3518,5.0684,17.2838,3.9324,1.1799,0.6951,0.2701,0.0123,3.6458,4.4627,1.5287,10.0134,0.2678,0.5384,0.0635,4.9054,27.5973,0.1121,0.4490,0.0458,0.0000,0.1739,1.4422,2.9270,0.9980,0.4011,0.0542,0.0000,6.7167,0.0395,1.0000,0.0102,0.3287,0.0000,0.2500,1.828E-2,5.0000,0.0416,0.1843,0.0303,0.2500,7.79E-4,10.0000,0.0845,0.1200,0.0606,0.2500,6.741E-5,4.3760,0.0367,0.1969,0.0000,0.2500,1.13E-3,25.0272,0.2320,0.0471,0.0909,0.5000,2.955E-4,16.1411,0.1441,0.0799,0.0758,0.5000,2.192E-3,25.0272,0.2320,0.0471,0.0909,0.5000,2.955E-4,2.4870,0.0218,0.2500,0.0000,0.2500,4.227E-3,12.5718,0.1083,0.1003,0.0606,0.2500,2.376E-5,3.7592,0.0318,0.2113,0.0000,0.2500,1.675E-3,15.6995,0.1398,0.0821,0.0758,0.5000,2.424E-3
Rhinichthys_atratulus,66,2.4413,3.0713,500,0.9772,8,2.2589,0.9459,0.0224,10064,3.7104,3.8702,3.1143,0.9631,4.9148,14.4984,3.2382,0.9289,0.8289,1.5426,0.0608,6.2435,5.1557,2.0510,4.7561,0.5469,0.2014,0.0522,5.2858,31.5661,0.1576,0.8364,0.0656,0.0000,0.1823,1.3029,2.7528,0.7380,0.3512,0.0838,0.0000,6.8026,0.0433,1.0000,0.0094,0.3677,0.0000,0.0000,3.345E-4,5.0000,0.0408,0.2031,0.0152,0.0000,2.895E-6,10.0000,0.0843,0.1315,0.0455,0.1250,4.803E-6,4.1531,0.0341,0.2228,0.0000,0.0000,6.066E-6,19.1710,0.1696,0.0727,0.0909,0.3750,9.453E-5,15.5113,0.1367,0.0909,0.0909,0.3750,2.748E-4,12.9593,0.1123,0.1069,0.0455,0.2500,3.452E-5,10.6986,0.0898,0.1250,0.0455,0.1250,3.397E-6,6.2606,0.0503,0.1794,0.0152,0.0000,1.071E-6,4.1531,0.0341,0.2228,0.0000,0.0000,6.066E-6,15.7778,0.1390,0.0894,0.0909,0.3750,2.54E-4
Rhinichthys_atratulus,67,2.4642,3.0911,500,0.9771,7,1.8432,0.9271,0.0432,10065,5.1601,6.3337,1.6088,1.0239,5.3732,16.2343,3.5404,2.8520,0.3923,0.9925,0.0000,4.4435,4.9861,2.1257,3.8074,0.3765,0.6947,0.0904,5.1964,28.3425,1.1373,0.3568,0.0000,0.0000,0.0000,0.9688,3.2194,0.1746,0.4995,0.0692,0.0000,6.7874,0.0426,1.0000,0.0096,0.3496,0.0000,0.0000,6.386E-4,5.0000,0.0415,0.1936,0.0299,0.1429,3.078E-4,10.0000,0.0866,0.1260,0.0448,0.1429,2.496E-5,4.1593,0.0350,0.2122,0.0000,0.1429,5.232E-4,18.3636,0.1684,0.0736,0.0896,0.2857,4.002E-5,17.2497,0.1580,0.0786,0.0746,0.2857,5.499E-5,17.2497,0.1580,0.0786,0.0746,0.2857,5.499E-5,8.3613,0.0721,0.1429,0.0299,0.1429,5.224E-5,13.3810,0.1208,0.1000,0.0597,0.1429,6.381E-6,4.0182,0.0340,0.2157,0.0000,0.1429,5.746E-4,15.4062,0.1395,0.0880,0.0746,0.2857,9.533E-5
Rhinichthys_atratulus,67,2.4495,3.0594,500,0.9728,7,1.7349,0.9380,0.0205,10066,4.2141,5.2232,3.6690,3.5793,4.8314,11.1156,3.0388,2.0212,1.0165,0.0000,0.0026,3.4095,6.2617,2.5323,3.7888,0.1683,0.1913,0.0270,5.7926,31.3437,0.2041,1.8270,0.0903,0.0000,0.0428,2.0651,2.9053,0.4282,0.1872,0.0229,0.0000,6.7959,0.0428,1.0000,0.0093,0.3762,0.0000,0.0000,1.067E-3,5.0000,0.0396,0.2101,0.0149,0.0000,1.808E-5,10.0000,0.0791,0.1354,0.0746,0.1429,3.814E-5,3.0577,0.0249,0.2629,0.0000,0.0000,8.672E-5,11.5379,0.0927,0.1208,0.0896,0.1429,1.95E-5,13.6237,0.1116,0.1045,0.1045,0.2857,2.183E-4,27.1062,0.2528,0.0461,0.1194,0.5714,2.98E-3,9.3134,0.0732,0.1429,0.0746,0.1429,5.221E-5,8.3967,0.0655,0.1537,0.0597,0.0000,2.025E-6,3.0577,0.0249,0.2629,0.0000,0.0000,8.672E-5,16.0685,0.1332,0.0888,0.1045,0.2857,9.952E-5
Rhinichthys_atratulus,67,2.4076,3.0108,500,0.9757,7,2.6787,0.9707,0.0116,10065,2.3709,7.7373,1.6173,1.2745,4.3945,14.4290,5.9870,1.1347,0.3886,0.3327,0.0112,4.0725,3.9542,2.1806,5.1628,0.6718,1.0591,0.1063,5.7667,29.9128,0.0987,0.7095,0.0159,0.0000,0.2233,2.1018,3.2790,0.6146,0.3927,0.0000,0.0000,6.8519,0.0452,1.0000,0.0096,0.3749,0.0000,0.0000,1.04E-3,5.0000,0.0410,0.2077,0.0149,0.0000,1.67E-5,10.0000,0.0834,0.1336,0.0448,0.0000,7.61E-7,3.9341,0.0330,0.2341,0.0000,0.0000,3.851E-5,16.7203,0.1512,0.0848,0.0896,0.0000,3.166E-8,15.8638,0.1417,0.0895,0.0896,0.0000,4.607E-8,13.1329,0.1172,0.1069,0.0597,0.0000,1.596E-7,17.7577,0.1621,0.0796,0.1045,0.1429,1.657E-6,17.7431,0.1617,0.0796,0.1045,0.0000,2.022E-8,3.9341,0.0330,0.2341,0.0000,0.0000,3.851E-5,15.1230,0.1333,0.0939,0.0746,0.0000,6.432E-8
Rhinichthys_atratulus,67,2.5933,3.2446,500,0.9834,7,0.2218,0.8179,0.0597,10065,3.8010,6.8601,2.2374,2.0873,4.7241,13.0456,5.2801,1.1866,0.4396,0.2837,0.0317,3.6658,5.4164,2.2650,7.1016,0.4989,0.8183,0.1509,7.0534,25.4599,0.1583,0.8722,0.0571,0.0000,0.4275,1.8421,2.8820,0.6719,0.6402,0.0411,0.0000,6.6529,0.0368,1.0000,0.0079,0.3383,0.0000,0.2857,4.819E-2,5.0000,0.0368,0.1786,0.0000,0.4286,2.252E-2,10.0000,0.0785,0.1123,0.0299,0.5714,3.496E-2,7.0681,0.0534,0.1447,0.0000,0.5714,6.733E-2,25.9539,0.2573,0.0407,0.0896,0.7143,3.039E-2,15.6706,0.1346,0.0746,0.0746,0.5714,1.156E-2,25.1275,0.2455,0.0426,0.0746,0.7143,3.307E-2,1.6154,0.0125,0.2920,0.0000,0.2857,2.56E-2,0.4851,0.0040,0.4065,0.0000,0.0000,1.833E-3,4.0743,0.0298,0.1994,0.0000,0.4286,3.3E-2,15.1963,0.1302,0.0770,0.0597,0.5714,1.261E-2
Rhinichthys_atratulus,67,2.5052,3.1512,500,0.9796,7,1.3520,0.8967,0.0465,10065,4.9455,5.2354,3.4036,2.4198,5.6170,16.7014,2.5982,1.1259,0.2828,0.5068,0.0093,3.4474,4.7653,1.5213,6.8867,0.3015,0.5482,0.0240,6.6140,25.2330,0.4620,0.8006,0.0526,0.0818,0.0477,1.4152,3.0263,1.1798,0.7023,0.0447,0.0000,6.7682,0.0417,1.0000,0.0093,0.3528,0.0000,0.0000,6.804E-4,5.0000,0.0404,0.1923,0.0299,0.2857,3.903E-3,10.0000,0.0870,0.1250,0.0448,0.2857,5.143E-4,3.2341,0.0264,0.2373,0.0000,0.2857,1.018E-2,27.4186,0.2768,0.0435,0.0896,0.4286,1.129E-4,17.8800,0.1599,0.0746,0.0746,0.4286,9.024E-4,27.4186,0.2768,0.0435,0.0896,0.4286,1.129E-4,2.5570,0.0214,0.2613,0.0000,0.2857,1.569E-2,1.3733,0.0121,0.3231,0.0000,0.0000,3.676E-4,3.2341,0.0264,0.2373,0.0000,0.2857,1.018E-2,15.4993,0.1379,0.0863,0.0597,0.2857,8.679E-5
Rhinichthys_atratulus,67,2.3601,2.9781,500,0.9743,7,2.9457,0.9835,0.0082,10066,2.8406,7.5830,0.8057,1.6709,6.2342,14.9475,5.9896,1.0940,0.7276,0.1255,0.0718,2.6467,4.0160,2.1173,7.3199,0.4090,0.3787,0.0856,5.6666,27.5729,0.2214,0.9119,0.0553,0.0096,0.0057,1.7003,2.5385,1.4251,0.8292,0.0000,0.0000,6.9025,0.0481,1.0000,0.0105,0.3789,0.0000,0.0000,1.121E-3,5.0000,0.0438,0.2167,0.0149,0.0000,2.242E-5,10.0000,0.0884,0.1439,0.0597,0.0000,1.275E-6,3.4728,0.0313,0.2556,0.0000,0.0000,7.13E-5,18.6233,0.1692,0.0831,0.0896,0.0000,2.725E-8,17.3672,0.1573,0.0895,0.0896,0.0000,4.603E-8,25.6459,0.2503,0.0566,0.1045,0.1429,2.196E-7,22.8184,0.2169,0.0660,0.1045,0.0000,5.435E-9,22.8184,0.2169,0.0660,0.1045,0.0000,5.435E-9,3.4728,0.0313,0.2556,0.0000,0.0000,7.13E-5,15.7301,0.1405,0.0987,0.0896,0.0000,9.156E-8
