Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Rhyacophila_glaberrima,76,2.6099,3.2292,500,0.9738,9,2.6823,0.9650,0.0172,10076,2.9061,7.5555,0.6171,1.5892,3.5036,6.5303,7.2324,0.5530,0.0553,22.4428,7.5910,1.2900,8.6718,1.2864,0.1925,3.7355,0.1347,0.2142,0.5856,0.0564,0.0000,2.9737,0.2359,0.1283,0.1919,0.8586,0.8653,0.8818,17.1086,0.0126,0.0000,6.6485,0.0359,1.0000,0.0042,0.5383,0.0000,0.0000,3.796E-3,5.0000,0.0218,0.2363,0.0395,0.0000,2.297E-6,10.0000,0.0564,0.1303,0.0526,0.1111,6.616E-7,1.3447,0.0055,0.4836,0.0000,0.0000,1.447E-3,22.1189,0.1818,0.0499,0.0921,0.1111,3.317E-10,17.3680,0.1289,0.0703,0.0658,0.1111,5.014E-9,17.3680,0.1289,0.0703,0.0658,0.1111,5.014E-9,11.6943,0.0705,0.1112,0.0526,0.1111,1.89E-7,23.6559,0.2010,0.0450,0.1184,0.1111,1.442E-10,4.4077,0.0188,0.2581,0.0132,0.0000,5.089E-6,16.2292,0.1168,0.0765,0.0658,0.1111,9.858E-9
Rhyacophila_glaberrima,76,2.5969,3.2346,500,0.9761,9,1.8288,0.8988,0.0786,10076,6.2569,4.3825,0.5936,2.9977,2.0817,8.8447,7.0172,0.0183,0.5814,18.7410,5.5372,2.0229,9.8921,1.6077,0.1943,2.0344,0.2944,0.2659,0.9078,0.2921,0.0000,1.4581,0.2305,0.1024,0.5113,2.1476,0.6771,0.4724,19.8368,0.0000,0.0000,6.6661,0.0367,1.0000,0.0045,0.5724,0.0000,0.1111,5.091E-2,5.0000,0.0205,0.2661,0.0132,0.1111,1.726E-4,10.0000,0.0491,0.1469,0.0395,0.1111,1.695E-6,1.7767,0.0071,0.4675,0.0000,0.1111,1.201E-2,21.1927,0.1573,0.0583,0.0921,0.1111,1.132E-9,17.0779,0.1114,0.0789,0.0789,0.1111,1.257E-8,21.0036,0.1558,0.0590,0.0789,0.1111,1.244E-9,12.9599,0.0737,0.1112,0.0526,0.1111,1.89E-7,25.7553,0.2146,0.0424,0.1316,0.1111,9.009E-11,5.2735,0.0217,0.2563,0.0132,0.1111,1.292E-4,17.2392,0.1133,0.0779,0.0789,0.1111,1.137E-8
Rhyacophila_glaberrima,76,2.6078,3.2367,500,0.9769,9,2.0228,0.8620,0.0832,10076,6.4286,4.7580,1.1204,0.6249,1.9302,6.1133,4.2000,0.4403,0.2338,22.3433,8.6129,1.4263,8.5014,1.4746,0.3065,3.7768,0.1855,0.5698,0.4867,0.2060,0.0000,2.3133,0.2837,0.2235,0.0915,1.8470,0.8203,0.8667,19.8146,0.0000,0.0000,6.6544,0.0362,1.0000,0.0044,0.5541,0.0000,0.1111,4.058E-2,5.0000,0.0210,0.2507,0.0263,0.2222,1.367E-3,10.0000,0.0534,0.1382,0.0395,0.2222,2.686E-5,1.5319,0.0062,0.4766,0.0000,0.2222,6.888E-2,27.0916,0.2379,0.0366,0.0921,0.2222,2.98E-9,21.6602,0.1668,0.0536,0.0526,0.2222,4.153E-8,21.6602,0.1668,0.0536,0.0526,0.2222,4.153E-8,5.8698,0.0251,0.2222,0.0263,0.2222,6.256E-4,42.5749,0.4830,0.0143,0.2500,0.2222,4.275E-12,3.7713,0.0151,0.3030,0.0132,0.2222,4.568E-3,16.7966,0.1140,0.0770,0.0526,0.2222,5.032E-7
Rhyacophila_glaberrima,76,2.7239,3.3594,500,0.9820,9,0.6533,0.8245,0.0877,10076,6.1683,3.7395,1.4100,1.8508,2.8777,9.6491,6.2028,1.6835,0.2292,22.9129,10.1269,1.2464,9.1958,1.2920,0.9115,4.1938,0.2001,0.2289,0.2722,0.0734,0.0000,0.7907,0.3761,0.0491,0.2221,1.1780,1.0574,1.0804,10.7814,0.0000,0.0000,6.5260,0.0316,1.0000,0.0036,0.5361,0.0000,0.1111,3.215E-2,5.0000,0.0192,0.2262,0.0132,0.2222,7.02E-4,10.0000,0.0506,0.1203,0.0395,0.4444,2.084E-3,4.8807,0.0185,0.2304,0.0000,0.2222,7.928E-4,24.1974,0.2092,0.0378,0.0921,0.5556,2.21E-4,16.6236,0.1154,0.0656,0.0658,0.5556,1.785E-3,20.5033,0.1635,0.0490,0.0658,0.5556,5.964E-4,5.1180,0.0197,0.2222,0.0132,0.2222,6.256E-4,8.5754,0.0404,0.1406,0.0395,0.2222,3.013E-5,4.8807,0.0185,0.2304,0.0000,0.2222,7.928E-4,16.2323,0.1109,0.0677,0.0526,0.5556,2.005E-3
Rhyacophila_glaberrima,76,2.6106,3.2445,500,0.9748,9,2.5694,0.9708,0.0104,10076,3.2289,4.4147,4.5800,0.6884,2.2732,7.3697,5.4958,1.1288,0.6636,25.5201,7.8919,1.3983,9.4010,1.2799,0.0800,2.8634,0.1889,0.2552,0.1392,0.0538,0.1747,2.2510,0.4387,0.1883,0.4696,2.0555,1.2229,0.7694,13.5150,0.0000,0.0000,6.6488,0.0360,1.0000,0.0042,0.5588,0.0000,0.0000,5.309E-3,5.0000,0.0207,0.2474,0.0263,0.0000,3.475E-6,10.0000,0.0534,0.1357,0.0526,0.0000,1.557E-8,1.4186,0.0056,0.4934,0.0000,0.0000,1.731E-3,22.9487,0.1837,0.0492,0.0921,0.3333,1.05E-6,18.7955,0.1395,0.0658,0.0658,0.1111,2.978E-9,19.1382,0.1435,0.0642,0.0658,0.1111,2.453E-9,15.2584,0.1032,0.0856,0.0658,0.1111,2.408E-8,15.2469,0.1030,0.0856,0.0658,0.0000,2.48E-10,3.2196,0.0124,0.3313,0.0132,0.0000,4.806E-5,16.7301,0.1169,0.0765,0.0658,0.1111,9.858E-9
Rhyacophila_glaberrima,77,2.6958,3.3341,500,0.9755,8,0.2971,0.8196,0.0965,10077,5.1610,5.9568,2.8301,0.3746,2.7624,7.7140,7.4473,1.0196,0.0206,23.6023,6.2468,1.1547,9.3264,0.4842,0.0693,2.1994,0.0351,0.3943,0.4023,0.2348,0.0000,2.1066,0.4703,0.2346,0.0869,1.4491,0.8416,1.3365,16.0385,0.0000,0.0000,6.5601,0.0326,1.0000,0.0040,0.5606,0.0130,0.1250,7.091E-2,5.0000,0.0183,0.2492,0.0260,0.1250,3.732E-4,10.0000,0.0457,0.1330,0.0519,0.2500,1.216E-4,0.9106,0.0038,0.5766,0.0000,0.1250,8.396E-2,25.1186,0.2133,0.0360,0.0909,0.7500,3.144E-2,17.5481,0.1140,0.0649,0.0649,0.6250,1.195E-2,22.1512,0.1689,0.0449,0.0649,0.7500,4.704E-2,6.9596,0.0283,0.1899,0.0390,0.2500,9.222E-4,6.9563,0.0282,0.1899,0.0390,0.1250,5.949E-5,4.0212,0.0140,0.2914,0.0130,0.1250,1.062E-3,16.6473,0.1049,0.0701,0.0649,0.6250,1.473E-2
Rhyacophila_glaberrima,77,2.7593,3.3843,500,0.9795,8,0.1106,0.7230,0.1079,10077,1.3479,5.1405,3.7396,5.4974,3.5236,7.4675,4.4609,0.1115,0.5873,23.7604,7.5338,2.3052,10.8859,1.5751,0.3441,3.7844,0.2142,0.1053,0.2387,0.1944,0.0516,2.1642,0.3029,0.0000,0.1305,2.9458,1.0940,0.7045,9.7380,0.0291,0.0218,6.5088,0.0312,1.0000,0.0039,0.4937,0.0000,0.2500,1.364E-1,5.0000,0.0204,0.2158,0.0260,0.3750,1.453E-2,10.0000,0.0550,0.1193,0.0390,0.6250,5.988E-2,2.0716,0.0078,0.3661,0.0000,0.2500,3.187E-2,25.0693,0.2136,0.0368,0.0909,0.6250,2.431E-3,18.2366,0.1299,0.0597,0.0649,0.6250,9.508E-3,16.1473,0.1089,0.0701,0.0390,0.6250,1.473E-2,2.2117,0.0083,0.3546,0.0130,0.3750,1.114E-1,5.8511,0.0247,0.1913,0.0260,0.3750,8.553E-3,2.0716,0.0078,0.3661,0.0000,0.2500,3.187E-2,16.8238,0.1156,0.0665,0.0519,0.6250,1.277E-2
Rhyacophila_glaberrima,77,2.6174,3.2508,500,0.9747,8,2.7171,0.9547,0.0217,10077,2.5290,9.5815,1.3537,0.0304,2.1188,8.0841,8.2242,0.0510,0.0879,20.4369,6.3311,1.8745,8.8973,1.1949,0.0626,2.7863,0.2140,0.1182,1.0236,0.2318,0.0356,4.0057,0.4594,0.0000,0.3239,4.6064,0.7408,0.9704,13.6260,0.0000,0.0000,6.6447,0.0359,1.0000,0.0045,0.5268,0.0000,0.0000,5.935E-3,5.0000,0.0222,0.2390,0.0260,0.0000,1.063E-5,10.0000,0.0556,0.1339,0.0390,0.1250,5.442E-6,1.0098,0.0045,0.5252,0.0000,0.0000,5.785E-3,23.9929,0.2035,0.0448,0.0909,0.3750,8.973E-6,16.2602,0.1116,0.0779,0.0779,0.2500,5.45E-6,20.9174,0.1630,0.0551,0.0779,0.2500,7.095E-7,10.7196,0.0609,0.1250,0.0649,0.1250,3.404E-6,6.8053,0.0323,0.1888,0.0260,0.0000,1.618E-6,3.4254,0.0143,0.3049,0.0130,0.0000,7.46E-5,16.5419,0.1143,0.0762,0.0779,0.2500,4.794E-6
Rhyacophila_glaberrima,77,2.6456,3.2586,500,0.9739,8,1.3017,0.8438,0.0949,10077,4.0844,5.0981,0.6783,0.6168,2.2455,6.3132,5.0059,0.0313,0.2431,23.9089,9.7652,1.6457,10.5365,1.2298,0.1059,1.8125,0.3580,0.0861,0.3290,0.0350,0.1540,2.7683,1.3742,0.0694,0.2175,0.5773,1.6588,1.3109,17.7344,0.0057,0.0000,6.6059,0.0343,1.0000,0.0041,0.5476,0.0000,0.1250,6.151E-2,5.0000,0.0199,0.2488,0.0260,0.1250,3.692E-4,10.0000,0.0503,0.1354,0.0649,0.2500,1.346E-4,2.1003,0.0081,0.4118,0.0000,0.1250,1.028E-2,23.1796,0.1870,0.0455,0.0909,0.3750,9.674E-6,16.8223,0.1114,0.0737,0.0779,0.3750,1.009E-4,22.5212,0.1769,0.0476,0.0779,0.3750,1.216E-5,5.6657,0.0231,0.2264,0.0260,0.2500,2.45E-3,5.6653,0.0231,0.2264,0.0260,0.1250,1.953E-4,2.1003,0.0081,0.4118,0.0000,0.1250,1.028E-2,16.8905,0.1121,0.0733,0.0779,0.3750,9.835E-5
Rhyacophila_glaberrima,77,2.6506,3.2606,500,0.9782,8,1.6158,0.7684,0.1328,10077,3.7859,5.3528,2.8541,0.2799,2.4499,7.9328,7.9861,0.8363,0.0168,22.2922,7.7250,1.5715,10.0637,1.4203,0.2184,3.1285,0.2400,0.1234,0.3832,0.0000,0.1602,2.8769,0.5686,0.3133,0.4513,3.4115,0.4286,0.9183,12.2053,0.0052,0.0000,6.5770,0.0335,1.0000,0.0040,0.5288,0.0000,0.2500,1.857E-1,5.0000,0.0207,0.2279,0.0130,0.2500,2.546E-3,10.0000,0.0546,0.1241,0.0390,0.2500,8.187E-5,1.0690,0.0042,0.5168,0.0000,0.2500,1.677E-1,24.5432,0.2156,0.0402,0.0909,0.3750,5.302E-6,15.8509,0.1090,0.0745,0.0779,0.3750,1.063E-4,20.5604,0.1584,0.0525,0.0779,0.3750,1.953E-5,4.4000,0.0175,0.2500,0.0130,0.2500,4.224E-3,13.9293,0.0885,0.0869,0.0519,0.2500,1.035E-5,6.3397,0.0277,0.1891,0.0130,0.2500,9.008E-4,16.4311,0.1147,0.0713,0.0779,0.3750,8.562E-5
