Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Robinia_pseudoacacia,1130,0.5958,0.7419,500,0.8283,128,0.5400,0.7945,0.0160,11124,1.3599,3.6429,1.0046,1.1090,7.2519,6.2380,4.5320,0.2784,2.8923,1.0183,0.6340,4.5544,18.9251,3.0215,2.2659,0.5195,0.6425,0.1436,0.2540,4.1490,16.9896,2.9607,9.4329,1.7208,1.6426,1.1492,0.1745,0.8743,0.4884,0.1303,0.0000,8.7336,0.2774,1.0000,0.0737,0.7956,0.0035,0.0078,1.736E-8,5.0000,0.1751,0.6394,0.0283,0.0234,9.822E-16,10.0000,0.2397,0.5333,0.0549,0.0469,8.533E-22,0.0422,0.0081,0.9298,0.0000,0.0078,2.864E-3,16.0273,0.2957,0.4414,0.1000,0.1094,6.864E-25,34.8259,0.4130,0.2496,0.2496,0.3281,1.211E-28,28.2339,0.3739,0.3063,0.1823,0.2578,5.128E-27,30.6104,0.3881,0.2848,0.2124,0.2812,7.283E-28,15.3563,0.2896,0.4505,0.0929,0.0781,4.124E-27,2.1454,0.1135,0.7337,0.0088,0.0078,1.851E-11,8.6602,0.2252,0.5580,0.0469,0.0469,1.11E-19
Robinia_pseudoacacia,1133,0.5952,0.7420,500,0.8284,125,0.6237,0.8039,0.0170,11126,1.3447,1.1491,1.4001,2.5610,6.2588,6.5540,3.5327,0.2858,2.5747,1.5378,1.0574,5.6051,17.6143,3.4237,4.0735,0.4397,0.7737,0.2263,0.2916,3.7512,19.1334,3.9877,6.6453,1.8056,1.5150,0.3304,0.4268,1.0813,0.5245,0.0950,0.0000,8.7305,0.2764,1.0000,0.0737,0.7949,0.0062,0.0160,8.196E-8,5.0000,0.1732,0.6370,0.0247,0.0480,1.2E-13,10.0000,0.2407,0.5302,0.0485,0.0640,4.926E-20,0.0024,0.0014,0.9833,0.0000,0.0000,7.245E-2,18.0717,0.3111,0.4128,0.0997,0.1200,1.352E-26,34.1752,0.4082,0.2533,0.2533,0.2800,1.806E-33,24.8539,0.3549,0.3374,0.1606,0.1760,6.162E-31,32.8669,0.4012,0.2640,0.2374,0.2640,2.471E-33,21.2896,0.3333,0.3752,0.1297,0.1200,1.046E-31,3.2140,0.1388,0.6907,0.0150,0.0400,3.666E-11,8.5911,0.2241,0.5562,0.0371,0.0640,6.302E-18
Robinia_pseudoacacia,1131,0.5956,0.7492,500,0.8301,127,0.5784,0.7877,0.0162,11126,3.3726,3.2216,0.1330,1.3536,6.9664,6.9088,5.8524,1.0496,3.0797,1.2856,0.9149,3.8725,17.2040,3.3394,3.5424,0.4413,0.6305,0.2379,0.5329,3.2101,16.6249,3.1683,6.7476,2.0394,1.1691,0.6366,0.3638,0.9059,0.4100,0.7852,0.0000,8.7318,0.2766,1.0000,0.0729,0.7974,0.0062,0.0079,2.388E-8,5.0000,0.1732,0.6398,0.0327,0.0157,3.064E-16,10.0000,0.2382,0.5327,0.0495,0.0709,1.714E-19,0.0035,0.0019,0.9812,0.0000,0.0000,5.947E-2,18.9893,0.3143,0.4026,0.0999,0.1654,1.56E-23,34.2235,0.4089,0.2524,0.2520,0.3622,7.691E-24,27.2966,0.3682,0.3133,0.1760,0.2598,1.692E-25,29.2812,0.3792,0.2947,0.1989,0.2913,7.124E-25,23.6913,0.3465,0.3495,0.1459,0.1811,6.583E-29,1.4265,0.0903,0.7708,0.0080,0.0079,1.478E-9,8.6962,0.2240,0.5569,0.0442,0.0551,6.721E-19
Robinia_pseudoacacia,1131,0.6032,0.7547,500,0.8312,127,0.5179,0.7821,0.0180,11124,1.5025,2.5917,1.6011,3.1015,5.9898,5.7663,4.8476,0.9705,2.7515,1.7012,0.6919,3.6897,16.0870,3.4104,3.3752,0.4072,0.5921,0.8575,0.2302,3.6989,20.1808,3.3583,7.1033,1.6779,1.4402,0.4603,0.2939,0.6126,0.4265,0.5823,0.0000,8.7268,0.2753,1.0000,0.0706,0.7957,0.0044,0.0236,2.201E-7,5.0000,0.1721,0.6363,0.0309,0.0394,1.502E-14,10.0000,0.2377,0.5290,0.0504,0.0945,9.506E-18,0.0085,0.0030,0.9713,0.0000,0.0000,2.641E-2,18.3680,0.3130,0.4074,0.0999,0.1811,1.904E-21,34.8284,0.4132,0.2467,0.2467,0.3150,1.047E-30,31.3832,0.3930,0.2748,0.2095,0.3150,1.969E-25,29.5022,0.3823,0.2914,0.1954,0.2913,2.095E-25,26.0765,0.3621,0.3234,0.1636,0.2362,1.326E-26,1.8257,0.1017,0.7471,0.0088,0.0315,4.742E-9,8.6431,0.2226,0.5542,0.0451,0.0787,4.325E-17
Robinia_pseudoacacia,1134,0.5964,0.7526,500,0.8309,124,0.5923,0.7920,0.0179,11128,2.3615,3.9413,1.0168,0.8650,6.8657,5.6456,5.7194,0.1153,0.3606,2.4950,0.6247,4.3200,20.6429,3.0843,2.7408,0.3498,0.7045,0.1943,0.2946,4.3714,16.1665,3.2677,7.4195,1.7808,1.7277,0.3002,0.4126,0.8033,1.0136,0.3885,0.0060,8.7314,0.2767,1.0000,0.0715,0.7985,0.0044,0.0000,1.113E-8,5.0000,0.1731,0.6396,0.0282,0.0484,2.315E-13,10.0000,0.2394,0.5330,0.0511,0.0887,1.536E-17,0.0068,0.0028,0.9748,0.0000,0.0000,3.681E-2,18.5561,0.3126,0.4085,0.0996,0.1694,5.741E-22,35.0374,0.4128,0.2472,0.2469,0.2984,4.505E-32,27.4739,0.3695,0.3127,0.1649,0.2581,3.194E-25,31.7530,0.3948,0.2742,0.2116,0.2742,8.846E-30,38.5166,0.4329,0.2207,0.2840,0.3065,3.106E-37,1.6911,0.0974,0.7567,0.0079,0.0000,1.364E-10,8.7175,0.2253,0.5566,0.0476,0.0806,2.13E-16
Robinia_pseudoacacia,1131,0.5983,0.7463,500,0.8302,127,0.5638,0.7805,0.0183,11125,2.2920,1.3274,0.5505,1.6607,6.3850,6.2426,4.3526,0.3290,3.9644,0.4654,0.7428,5.1113,19.1727,2.8540,2.0201,0.7003,0.7120,0.1074,0.3447,3.5396,18.8603,3.4100,8.2881,2.0232,1.2846,0.4864,0.4115,1.6116,0.5654,0.1309,0.0538,8.7298,0.2760,1.0000,0.0704,0.7972,0.0053,0.0157,7.927E-8,5.0000,0.1723,0.6359,0.0274,0.0394,1.413E-14,10.0000,0.2401,0.5290,0.0548,0.1181,8.103E-16,0.0049,0.0025,0.9804,0.0000,0.0000,5.555E-2,18.5969,0.3136,0.4047,0.0999,0.2126,7.652E-19,34.8634,0.4148,0.2460,0.2458,0.3386,8.083E-28,28.1755,0.3751,0.3030,0.1839,0.3071,5.816E-22,27.7505,0.3724,0.3071,0.1830,0.3071,2.111E-21,35.1853,0.4163,0.2434,0.2467,0.3386,2.47E-28,2.0402,0.1059,0.7374,0.0080,0.0236,4.695E-10,8.5455,0.2213,0.5559,0.0486,0.0787,5.784E-17
Robinia_pseudoacacia,1130,0.5986,0.7516,500,0.8308,128,0.5290,0.7772,0.0189,11123,3.3991,1.0600,1.6869,1.1697,6.5231,6.5807,4.1228,0.1730,0.0106,4.2891,0.7352,4.7639,17.4804,2.9739,2.4497,0.4801,0.7686,0.1142,0.3790,2.3885,19.7556,2.9083,9.1681,1.7357,1.3391,0.4432,0.4638,1.4698,0.7194,0.4439,0.0045,8.7297,0.2760,1.0000,0.0703,0.7991,0.0027,0.0078,2.479E-8,5.0000,0.1708,0.6365,0.0257,0.0625,7.238E-13,10.0000,0.2384,0.5287,0.0531,0.1250,2.109E-15,0.0016,0.0015,0.9909,0.0000,0.0000,1.394E-1,19.2833,0.3183,0.3955,0.1000,0.2031,7.895E-21,34.4282,0.4139,0.2501,0.2504,0.3203,1.586E-29,29.2960,0.3850,0.2931,0.1876,0.2812,1.842E-26,29.7539,0.3875,0.2890,0.1991,0.2891,3.157E-26,26.7417,0.3695,0.3165,0.1690,0.2344,4.321E-28,1.0173,0.0710,0.7978,0.0027,0.0078,2.181E-8,8.5482,0.2216,0.5559,0.0460,0.1094,1.246E-14
Robinia_pseudoacacia,1136,0.5964,0.7465,500,0.8295,122,0.5683,0.7959,0.0177,11131,1.8912,3.1493,0.7301,0.3070,7.2838,7.2124,4.9853,0.1661,0.0115,4.3314,0.7387,4.6282,18.2966,2.4839,1.9564,0.4556,0.7071,0.1692,0.3749,5.0474,18.3549,3.5159,6.7986,1.6993,1.3665,0.5505,0.2627,1.2148,0.6973,0.6134,0.0000,8.7375,0.2782,1.0000,0.0721,0.7981,0.0053,0.0164,1.664E-7,5.0000,0.1748,0.6397,0.0264,0.0574,1.602E-12,10.0000,0.2410,0.5335,0.0502,0.0820,8.368E-18,0.0028,0.0017,0.9835,0.0000,0.0000,7.607E-2,18.8014,0.3158,0.4069,0.0995,0.1311,1.421E-25,34.8005,0.4143,0.2509,0.2509,0.3115,3.628E-29,23.9790,0.3505,0.3490,0.1461,0.1967,3.274E-26,32.0906,0.3991,0.2730,0.2271,0.2705,5.377E-30,22.8443,0.3441,0.3609,0.1373,0.1557,5.176E-29,3.5092,0.1460,0.6835,0.0158,0.0246,2.07E-12,8.5678,0.2246,0.5599,0.0431,0.0738,1.795E-16
Robinia_pseudoacacia,1132,0.5937,0.7394,500,0.8280,126,0.6001,0.7986,0.0181,11125,3.1611,0.0246,0.6577,1.1317,5.9661,7.1562,5.5661,0.4440,0.1357,4.3041,0.7070,5.0682,19.2266,2.0408,2.8954,0.4145,0.5654,0.1948,0.5375,3.9129,18.2946,3.1060,8.1647,2.2290,1.3918,0.4169,0.3945,0.6695,0.4154,0.8071,0.0000,8.7329,0.2770,1.0000,0.0702,0.7959,0.0053,0.0159,7.905E-8,5.0000,0.1735,0.6362,0.0283,0.0635,1.223E-12,10.0000,0.2415,0.5301,0.0495,0.0873,3.795E-18,0.0077,0.0030,0.9723,0.0000,0.0000,2.91E-2,16.9836,0.3038,0.4266,0.0998,0.1190,3.118E-25,34.9191,0.4164,0.2484,0.2482,0.2778,3.953E-35,32.0208,0.4008,0.2717,0.2129,0.2698,3.009E-31,32.2479,0.4021,0.2698,0.2164,0.2698,1.28E-31,34.4906,0.4147,0.2517,0.2429,0.2698,1.768E-35,3.2779,0.1402,0.6877,0.0150,0.0397,2.02E-11,8.5031,0.2248,0.5576,0.0406,0.0714,2.544E-17
Robinia_pseudoacacia,1134,0.6040,0.7519,500,0.8305,124,0.5210,0.7729,0.0183,11127,2.0144,1.8115,1.9063,0.6837,6.4975,6.8505,5.9104,0.4441,2.8705,0.8740,0.9918,4.3115,19.9168,2.6473,1.9643,0.5102,0.5654,0.1280,0.1691,3.8840,17.5847,3.6346,7.5011,2.0636,1.2401,0.4737,0.3765,0.9495,0.5080,0.7171,0.0000,8.7242,0.2745,1.0000,0.0703,0.7937,0.0035,0.0081,2.434E-8,5.0000,0.1723,0.6337,0.0265,0.0403,2.451E-14,10.0000,0.2383,0.5270,0.0556,0.1048,1.095E-16,0.0041,0.0021,0.9788,0.0000,0.0000,5.059E-2,17.2045,0.3019,0.4199,0.0996,0.2016,6.704E-18,35.2758,0.4162,0.2419,0.2407,0.3871,2.556E-22,31.3556,0.3932,0.2737,0.2002,0.3468,1.307E-21,27.4105,0.3711,0.3090,0.1781,0.3065,9.501E-21,21.6208,0.3341,0.3677,0.1393,0.2419,9.74E-20,1.1028,0.0749,0.7864,0.0035,0.0081,1.17E-8,8.6184,0.2223,0.5526,0.0494,0.0806,1.077E-16
