Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Rubus_species,385,1.4368,1.6894,500,0.9166,43,1.1922,0.8749,0.0292,10384,1.5645,5.7229,3.3900,0.7789,3.0136,11.3209,1.5514,9.7260,0.0000,1.9480,0.0000,2.6988,21.6092,1.6384,0.1467,0.5516,0.0823,0.2823,0.0067,17.2682,1.5523,9.6101,0.1204,0.5932,0.1973,0.1528,0.2003,0.0887,1.6965,2.3487,0.1394,7.8495,0.1204,1.0000,0.0234,0.7934,0.0026,0.0233,1.493E-3,5.0000,0.0560,0.5503,0.0312,0.0698,2.742E-7,10.0000,0.0903,0.3906,0.0494,0.1163,1.704E-11,0.7882,0.0207,0.8167,0.0000,0.0233,3.344E-3,17.3434,0.1430,0.2509,0.0987,0.1628,3.684E-19,26.0383,0.2181,0.1506,0.1506,0.2093,4.219E-32,30.9062,0.2711,0.1132,0.1870,0.2558,2.698E-39,22.4472,0.1847,0.1861,0.1247,0.1860,1.836E-26,30.1403,0.2618,0.1183,0.1844,0.2093,9.392E-43,3.6564,0.0468,0.6116,0.0130,0.0465,2.115E-6,17.6125,0.1451,0.2469,0.1039,0.1628,1.399E-19
Rubus_species,385,1.4166,1.6810,500,0.9142,43,1.4397,0.8655,0.0340,10384,3.4848,3.8597,3.7882,2.1538,4.1936,9.9761,1.4327,9.8091,0.0146,0.1573,0.0000,2.7954,20.8446,0.9411,0.3366,0.3964,0.1049,0.1315,0.0000,16.6023,2.5176,10.6277,0.7329,0.8206,0.1600,1.0026,0.1878,0.1582,1.4834,1.1708,0.1158,7.8610,0.1219,1.0000,0.0232,0.7859,0.0052,0.0465,3.694E-3,5.0000,0.0582,0.5444,0.0286,0.0930,9.027E-7,10.0000,0.0931,0.3887,0.0571,0.1395,1.099E-10,0.8394,0.0210,0.8037,0.0000,0.0233,2.142E-3,16.7354,0.1412,0.2592,0.0987,0.1860,5.182E-17,25.7885,0.2192,0.1532,0.1532,0.2093,1.933E-31,26.3825,0.2253,0.1480,0.1558,0.2093,8.729E-33,22.4135,0.1885,0.1861,0.1299,0.1860,1.836E-26,27.8040,0.2385,0.1363,0.1818,0.2093,3.346E-36,4.3097,0.0531,0.5738,0.0234,0.0930,4.973E-6,17.3671,0.1455,0.2498,0.1039,0.1860,6.4E-18
Rubus_species,385,1.4356,1.7058,500,0.9175,43,1.2216,0.8570,0.0319,10384,7.4081,2.7539,0.2865,2.2223,3.7454,11.5946,1.7177,7.1468,0.0000,0.3883,0.0000,2.1476,23.3119,1.4648,0.0720,0.3765,0.0323,0.3957,0.0000,17.5869,1.5318,9.6639,0.9836,0.8368,0.1803,0.8543,0.3435,0.0655,1.7164,1.1727,0.0000,7.8393,0.1190,1.0000,0.0226,0.7872,0.0000,0.0233,1.194E-3,5.0000,0.0564,0.5440,0.0234,0.0930,8.817E-7,10.0000,0.0900,0.3854,0.0623,0.1628,5.736E-10,2.0546,0.0336,0.6983,0.0000,0.0465,1.332E-4,16.2814,0.1354,0.2625,0.0987,0.1628,5.418E-18,25.2123,0.2103,0.1547,0.1558,0.2558,5.59E-27,27.5688,0.2343,0.1344,0.1662,0.2791,8.795E-30,20.2481,0.1664,0.2075,0.1091,0.2093,2.058E-21,22.8805,0.1881,0.1777,0.1299,0.2093,3.625E-26,4.4343,0.0526,0.5681,0.0182,0.0698,8.167E-7,17.4877,0.1435,0.2444,0.1039,0.1628,7.448E-20
Rubus_species,385,1.4291,1.6927,500,0.9152,43,1.2602,0.8557,0.0289,10384,6.4576,3.5727,3.9680,0.6232,4.4657,10.6104,1.3537,9.5118,0.0276,0.3789,0.0000,3.6222,20.4546,1.2497,0.3730,0.4759,0.0546,0.1830,0.0000,14.2168,2.5828,9.5948,0.9450,0.7613,0.1924,0.7113,0.1187,0.0607,1.9297,1.5040,0.0000,7.8379,0.1189,1.0000,0.0221,0.7822,0.0052,0.0000,2.695E-4,5.0000,0.0562,0.5349,0.0260,0.0465,1.86E-8,10.0000,0.0919,0.3795,0.0545,0.1628,3.112E-10,0.7207,0.0182,0.8155,0.0000,0.0000,9.068E-4,15.1789,0.1299,0.2770,0.0987,0.2093,2.576E-14,24.7338,0.2106,0.1584,0.1584,0.3488,4.404E-19,23.7822,0.2005,0.1674,0.1377,0.3488,9.634E-18,18.0825,0.1514,0.2335,0.1143,0.2326,6.409E-17,17.4432,0.1466,0.2424,0.1091,0.2093,2.425E-17,6.2415,0.0650,0.4880,0.0260,0.0930,1.932E-8,17.3323,0.1456,0.2440,0.1091,0.2093,3.527E-17
Rubus_species,385,1.4464,1.7037,500,0.9176,43,1.2340,0.8417,0.0380,10384,4.7933,2.1610,5.1555,2.5105,3.2798,11.2864,1.6252,7.0286,0.0121,0.0406,0.0000,2.0543,24.5765,1.5210,1.0576,0.2320,0.1174,0.0904,0.1397,14.6026,1.8846,10.4107,0.5864,0.5523,0.2440,0.1191,0.1517,0.1444,1.8112,1.8009,0.0100,7.8290,0.1176,1.0000,0.0221,0.7812,0.0026,0.0698,9.045E-3,5.0000,0.0567,0.5377,0.0182,0.1163,2.663E-6,10.0000,0.0903,0.3821,0.0597,0.1395,5.4E-11,0.9279,0.0211,0.7891,0.0000,0.0698,1.165E-2,17.0819,0.1412,0.2485,0.0987,0.1860,4.686E-18,25.7428,0.2134,0.1486,0.1481,0.2791,2.498E-26,25.5603,0.2114,0.1501,0.1429,0.2791,5.423E-26,19.9815,0.1640,0.2093,0.1091,0.2093,3.53E-21,32.6790,0.2882,0.0980,0.2364,0.2791,3.087E-43,4.9093,0.0561,0.5414,0.0156,0.1163,3.321E-6,17.5332,0.1443,0.2419,0.1039,0.1860,9.813E-19
Rubus_species,385,1.3969,1.6702,500,0.9128,43,1.5635,0.8957,0.0245,10384,1.8420,3.1573,4.3285,2.4153,4.7235,9.4871,1.4527,7.9523,0.1228,2.1770,0.0000,2.0580,21.5729,1.6325,0.1590,0.5524,0.0869,0.2179,0.0511,16.4327,3.3112,10.1645,1.0862,0.7753,0.2445,1.1742,0.2115,0.0633,1.4702,1.0772,0.0000,7.8901,0.1257,1.0000,0.0252,0.8215,0.0026,0.0000,1.117E-3,5.0000,0.0572,0.5787,0.0260,0.0233,6.236E-8,10.0000,0.0906,0.4139,0.0519,0.0930,2.608E-11,0.3634,0.0156,0.8997,0.0000,0.0000,1.43E-2,17.3517,0.1404,0.2668,0.0961,0.1628,1.359E-17,25.8932,0.2109,0.1610,0.1610,0.1860,1.159E-31,25.2638,0.2052,0.1671,0.1403,0.1860,2.93E-30,23.4623,0.1892,0.1861,0.1377,0.1860,1.836E-26,26.4409,0.2162,0.1558,0.1636,0.1860,5.96E-33,4.7127,0.0550,0.5912,0.0208,0.0233,1.354E-7,17.9729,0.1443,0.2571,0.1013,0.1628,1.609E-18
Rubus_species,385,1.4181,1.6904,500,0.9145,43,1.3810,0.8770,0.0261,10385,8.9039,4.8919,0.8212,2.0501,2.9406,11.2035,1.8993,10.6673,0.0000,0.1428,0.0000,3.2210,19.6384,1.3474,0.1491,0.5593,0.1239,0.1978,0.0232,14.7471,2.2802,7.9826,0.1261,0.5902,0.1438,0.0860,0.1880,0.1122,2.6066,2.3567,0.0000,7.8582,0.1215,1.0000,0.0234,0.7880,0.0052,0.0000,3.349E-4,5.0000,0.0573,0.5436,0.0338,0.0465,3.397E-8,10.0000,0.0924,0.3860,0.0571,0.1163,1.017E-11,0.6216,0.0181,0.8326,0.0000,0.0000,1.642E-3,16.3566,0.1403,0.2633,0.0987,0.1860,1.207E-16,26.2486,0.2242,0.1487,0.1481,0.3256,1.657E-22,25.7629,0.2201,0.1529,0.1403,0.2791,2.108E-25,19.9781,0.1676,0.2137,0.1195,0.2093,1.34E-20,22.9030,0.1926,0.1805,0.1351,0.2326,6.949E-24,3.5092,0.0461,0.6118,0.0182,0.0233,4.553E-7,17.3271,0.1480,0.2490,0.1091,0.2093,1.07E-16
Rubus_species,385,1.4347,1.6989,500,0.9180,43,1.2522,0.8621,0.0344,10384,8.5367,0.8516,0.7163,2.0301,5.3523,9.4566,1.5550,7.0766,0.0065,0.7927,0.0000,2.3726,26.0014,1.3848,0.2310,0.5528,0.1562,0.1980,0.0728,15.2955,2.5749,9.2777,0.4038,0.6146,0.1749,1.0101,0.2321,0.0886,1.4432,1.5407,0.0000,7.8405,0.1194,1.0000,0.0227,0.7801,0.0052,0.0465,3.029E-3,5.0000,0.0572,0.5377,0.0156,0.0930,5.946E-7,10.0000,0.0929,0.3846,0.0494,0.1163,8.658E-12,0.5620,0.0168,0.8339,0.0000,0.0233,5.917E-3,16.1379,0.1352,0.2659,0.0987,0.1628,1.129E-17,24.9369,0.2067,0.1586,0.1610,0.2558,3.833E-26,27.9632,0.2391,0.1326,0.1792,0.2791,2.78E-30,21.3674,0.1763,0.1955,0.1273,0.1860,7.565E-25,35.8947,0.3320,0.0832,0.2468,0.2791,4.338E-52,5.1277,0.0581,0.5326,0.0156,0.0930,4.305E-7,17.5496,0.1443,0.2447,0.1039,0.1628,8.015E-20
Rubus_species,386,1.4489,1.7118,500,0.9173,42,1.1175,0.8469,0.0311,10385,9.1013,1.7163,0.7552,0.5091,3.3208,11.5686,1.4987,9.3841,0.0005,3.3207,0.0000,2.9007,20.8824,1.6220,0.2093,0.3535,0.0961,0.3097,0.0209,14.8164,2.7171,9.1933,0.5336,0.4047,0.1645,0.0680,0.4395,0.1510,2.2547,1.6873,0.0000,7.8239,0.1170,1.0000,0.0226,0.7770,0.0026,0.0000,2.583E-4,5.0000,0.0560,0.5364,0.0207,0.1190,3.781E-6,10.0000,0.0901,0.3812,0.0622,0.1667,8.062E-10,0.1627,0.0083,0.9076,0.0000,0.0000,1.93E-2,15.0893,0.1242,0.2777,0.0984,0.1667,4.492E-16,24.9608,0.2066,0.1528,0.1528,0.3333,1.069E-20,26.1815,0.2185,0.1419,0.1554,0.3333,9.744E-23,19.3731,0.1566,0.2143,0.1166,0.2143,8.88E-20,16.5003,0.1348,0.2549,0.1010,0.1667,3.915E-18,6.2280,0.0648,0.4904,0.0233,0.1190,2.065E-7,17.4556,0.1414,0.2406,0.1010,0.1905,3.212E-18
Rubus_species,386,1.4165,1.6862,500,0.9134,42,1.4995,0.8622,0.0277,10385,4.3177,2.4158,3.5677,3.2887,2.7746,12.2345,1.7747,5.3668,0.4691,0.2715,0.0000,2.4599,24.1786,1.7626,0.2419,0.5113,0.1176,0.1781,0.0373,15.2880,1.6687,10.8970,1.0921,1.0578,0.2808,0.2827,0.2212,0.1258,1.4807,1.6324,0.0044,7.8602,0.1218,1.0000,0.0234,0.7972,0.0000,0.0000,5.404E-4,5.0000,0.0571,0.5528,0.0363,0.0000,2.792E-9,10.0000,0.0908,0.3941,0.0544,0.1667,2.858E-9,1.0946,0.0244,0.7876,0.0000,0.0000,3.817E-4,17.0610,0.1418,0.2561,0.0984,0.2619,4.164E-13,25.8302,0.2163,0.1525,0.1528,0.3333,9.518E-21,25.7345,0.2157,0.1533,0.1451,0.3333,1.296E-20,16.6835,0.1388,0.2619,0.0959,0.2619,1.119E-12,37.2139,0.3495,0.0784,0.2461,0.3571,1.726E-42,2.8208,0.0409,0.6592,0.0181,0.0000,1.584E-6,17.4997,0.1448,0.2496,0.1062,0.2857,1.717E-12
