Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Scoparia_biplagialis,102,3.4441,3.8859,500,0.9883,11,2.0794,0.9143,0.0541,10102,3.4559,3.0395,2.7348,0.0320,7.3976,1.9144,5.1151,0.4750,4.0801,0.6352,0.1914,2.5084,15.4415,0.7514,17.8230,2.8454,0.1024,0.3718,0.8833,0.1367,1.4053,7.9629,0.1243,1.5702,0.2000,1.2760,0.5536,0.2345,0.7226,15.9829,0.0330,5.8449,0.0148,1.0000,0.0019,0.3868,0.0000,0.0909,5.341E-4,5.0000,0.0128,0.1209,0.0196,0.1818,2.405E-7,10.0000,0.0429,0.0493,0.0294,0.2727,5.032E-9,1.3063,0.0025,0.3390,0.0000,0.0909,1.527E-4,24.0325,0.3175,0.0117,0.0980,0.4545,1.116E-9,11.5545,0.0590,0.0392,0.0392,0.2727,8.272E-10,11.1855,0.0546,0.0412,0.0294,0.2727,1.22E-9,4.4603,0.0106,0.1365,0.0196,0.1818,6.966E-7,4.4603,0.0106,0.1365,0.0098,0.0909,2.165E-8,4.4603,0.0106,0.1365,0.0098,0.0909,2.165E-8,12.5800,0.0710,0.0342,0.0392,0.2727,2.784E-10
Scoparia_biplagialis,102,3.5245,4.0446,500,0.9938,11,1.8185,0.8772,0.0704,10102,0.3263,2.9820,1.8416,1.8307,8.1314,2.1613,4.8961,3.7900,3.2377,0.7517,0.2023,3.8310,10.3548,0.7555,17.1655,3.2950,0.5211,0.0000,1.4943,0.4503,0.1463,8.0733,0.7386,1.6660,0.5361,1.7994,0.3456,0.3484,1.4296,16.7410,0.1572,5.8152,0.0145,1.0000,0.0021,0.3185,0.0000,0.1818,9.443E-4,5.0000,0.0160,0.1026,0.0000,0.1818,5.687E-8,10.0000,0.0478,0.0443,0.0098,0.2727,2.188E-9,8.8576,0.0387,0.0528,0.0000,0.1818,1.581E-10,26.8970,0.4088,0.0099,0.0980,0.4545,4.166E-10,15.2212,0.1187,0.0232,0.0196,0.3636,1.088E-9,13.2180,0.0870,0.0290,0.0098,0.2727,7.641E-11,2.5352,0.0062,0.1818,0.0000,0.1818,8.368E-6,9.1243,0.0413,0.0506,0.0098,0.1818,1.086E-10,4.3106,0.0131,0.1181,0.0000,0.1818,1.963E-7,12.1235,0.0728,0.0332,0.0098,0.2727,2.206E-10
Scoparia_biplagialis,101,3.3536,3.9175,500,0.9902,12,3.6808,0.9612,0.0330,10101,5.5481,3.3879,3.3547,0.0613,5.2101,3.4503,5.9612,3.4598,3.3336,0.9707,0.1652,3.1240,10.1775,0.6693,18.7891,2.4360,0.3267,0.5645,1.3292,0.1578,1.0168,7.1549,0.2435,2.2527,0.8681,1.7382,0.2426,0.4421,0.8809,12.6833,0.0000,5.9722,0.0170,1.0000,0.0023,0.4031,0.0000,0.0833,3.457E-4,5.0000,0.0141,0.1426,0.0099,0.0833,5.156E-9,10.0000,0.0420,0.0637,0.0099,0.0833,7.859E-13,1.3717,0.0031,0.3490,0.0000,0.0833,7.63E-5,28.7566,0.3936,0.0105,0.0990,0.0833,2.02E-21,16.0943,0.1005,0.0297,0.0297,0.0833,1.851E-16,15.3101,0.0898,0.0325,0.0198,0.0833,4.928E-16,8.1561,0.0290,0.0834,0.0099,0.0833,1.497E-11,28.7566,0.3936,0.0105,0.0990,0.0833,2.02E-21,5.2839,0.0153,0.1352,0.0099,0.0833,2.908E-9,13.8575,0.0758,0.0388,0.0198,0.0833,3.48E-15
Scoparia_biplagialis,102,3.3801,3.9216,500,0.9892,11,3.4139,0.9309,0.0606,10102,2.6183,1.5881,4.2508,3.5913,7.5889,3.2118,3.1689,2.5626,2.8115,1.4711,0.1962,2.7940,13.8292,0.5175,15.6608,3.1109,0.2200,0.7352,1.5572,0.2155,0.3777,6.6858,0.2078,1.8831,1.0083,1.6367,0.3280,0.3366,0.5312,15.3050,0.0000,5.9184,0.0161,1.0000,0.0025,0.3429,0.0098,0.0909,1.702E-4,5.0000,0.0158,0.1224,0.0098,0.0909,7.35E-9,10.0000,0.0458,0.0561,0.0196,0.0909,3.239E-12,0.4771,0.0012,0.4513,0.0000,0.0909,2.273E-3,26.7514,0.3541,0.0111,0.0980,0.0909,3.056E-19,14.4562,0.0888,0.0319,0.0294,0.0909,1.156E-14,13.9722,0.0846,0.0338,0.0196,0.0909,2.048E-14,6.7272,0.0242,0.0909,0.0098,0.0909,3.875E-10,34.1656,0.5915,0.0082,0.2157,0.0909,1.531E-20,4.6977,0.0145,0.1297,0.0098,0.0909,1.305E-8,13.2713,0.0752,0.0367,0.0196,0.0909,4.746E-14
Scoparia_biplagialis,101,3.3861,3.9182,500,0.9889,12,3.7114,0.9844,0.0105,10101,2.9695,2.1086,3.7620,0.0465,8.2809,1.7839,4.9649,3.1634,2.7805,2.0452,0.1444,3.7974,12.7526,0.7095,17.7254,2.7202,0.1099,0.8411,0.6727,0.2448,0.4257,5.9488,0.2485,2.5208,0.8998,2.4385,0.3746,0.7433,1.2172,13.3552,0.2043,5.9533,0.0166,1.0000,0.0023,0.3980,0.0099,0.0000,1.579E-5,5.0000,0.0141,0.1420,0.0099,0.0000,6.702E-11,10.0000,0.0403,0.0636,0.0198,0.0833,7.727E-13,0.7940,0.0019,0.4359,0.0000,0.0000,4.706E-5,26.9367,0.3433,0.0113,0.0891,0.1667,2.168E-18,13.4626,0.0688,0.0396,0.0396,0.0833,4.343E-15,19.9877,0.1858,0.0188,0.0396,0.1667,3.536E-16,8.1569,0.0285,0.0834,0.0099,0.0833,1.497E-11,19.1461,0.1598,0.0203,0.0396,0.0833,2.833E-18,5.2692,0.0151,0.1350,0.0099,0.0000,3.676E-11,13.7594,0.0720,0.0381,0.0396,0.0833,2.856E-15
Scoparia_biplagialis,101,3.4243,3.9042,500,0.9882,12,1.8878,0.8540,0.0848,10101,3.4840,3.9040,3.2159,2.1273,4.9756,2.2253,3.0830,2.7042,6.0430,0.8744,0.0809,3.1566,9.5504,0.3959,15.6677,2.4188,0.5123,0.8613,0.4297,0.1566,1.4326,8.5820,0.9973,2.8677,0.7312,1.9449,0.3205,0.2897,0.6713,16.2447,0.0513,5.8723,0.0152,1.0000,0.0019,0.4298,0.0099,0.1667,5.284E-3,5.0000,0.0116,0.1405,0.0099,0.1667,1.504E-7,10.0000,0.0374,0.0556,0.0297,0.2500,9.636E-10,0.7682,0.0015,0.4777,0.0000,0.1667,1.313E-2,23.1599,0.2570,0.0125,0.0990,0.3333,2.775E-13,12.2459,0.0572,0.0396,0.0396,0.3333,2.594E-9,19.0203,0.1804,0.0175,0.0495,0.3333,4.133E-12,4.2323,0.0091,0.1666,0.0099,0.1667,7.838E-7,9.6416,0.0345,0.0591,0.0198,0.1667,3.074E-11,5.6516,0.0139,0.1227,0.0099,0.1667,4.018E-8,13.0708,0.0660,0.0351,0.0495,0.3333,1.015E-9
Scoparia_biplagialis,102,3.3638,3.8781,500,0.9884,11,3.6332,0.9923,0.0019,10102,4.4829,3.8978,3.5622,0.0210,8.5650,2.3889,6.5243,4.3563,1.7269,1.9267,0.2145,3.4664,10.4697,0.6186,15.8695,2.4302,0.1791,0.5015,0.7478,0.2862,0.3371,6.3589,0.4145,3.4290,0.2380,2.0302,0.3027,0.6800,0.9675,12.7344,0.2722,5.9571,0.0167,1.0000,0.0023,0.3865,0.0098,0.0000,2.872E-5,5.0000,0.0149,0.1373,0.0098,0.0000,3.269E-10,10.0000,0.0408,0.0624,0.0196,0.0000,5.55E-14,0.7537,0.0018,0.4331,0.0000,0.0000,1.005E-4,26.3946,0.3099,0.0120,0.0980,0.1818,2.731E-16,13.5423,0.0731,0.0392,0.0392,0.0000,3.359E-16,17.9492,0.1406,0.0234,0.0392,0.0000,1.131E-18,20.0668,0.1950,0.0192,0.0588,0.0000,1.31E-19,20.0668,0.1950,0.0192,0.0588,0.0000,1.31E-19,5.0551,0.0151,0.1359,0.0098,0.0000,2.923E-10,13.7513,0.0761,0.0382,0.0392,0.0000,2.535E-16
Scoparia_biplagialis,102,3.4037,3.9087,500,0.9889,11,2.8342,0.9578,0.0224,10102,5.0842,1.9786,1.4680,0.0105,8.7117,2.3682,3.4511,2.3313,3.4602,1.6690,0.2369,3.4398,11.4197,0.6999,14.3382,2.6257,0.0905,0.5432,0.4881,0.1469,0.3434,7.5603,3.0824,2.6752,0.4389,1.9305,0.3594,0.2964,1.0483,17.3385,0.3649,5.8997,0.0157,1.0000,0.0022,0.3759,0.0000,0.0000,2.115E-5,5.0000,0.0141,0.1273,0.0196,0.1818,3.787E-7,10.0000,0.0431,0.0553,0.0294,0.1818,2.416E-10,1.7788,0.0039,0.2803,0.0000,0.0000,8.405E-7,25.1973,0.3367,0.0116,0.0980,0.3636,8.857E-12,11.3311,0.0534,0.0458,0.0490,0.1818,4.512E-11,21.0930,0.2279,0.0154,0.0588,0.2727,5.119E-13,3.3406,0.0083,0.1816,0.0196,0.1818,8.29E-6,19.2527,0.1810,0.0180,0.0588,0.1818,1.064E-14,3.3383,0.0083,0.1816,0.0098,0.0909,3.592E-7,13.1240,0.0702,0.0360,0.0490,0.1818,5.272E-12
Scoparia_biplagialis,102,3.3132,3.8560,500,0.9881,11,4.1693,0.9950,0.0010,10102,6.3208,1.4927,0.8162,0.7036,5.2744,3.2408,5.5338,2.0724,2.7826,2.0368,0.2591,3.5877,9.4316,0.6940,20.2367,2.4562,0.2510,0.6828,0.7275,0.1642,1.0821,6.7802,2.9261,2.8413,0.5743,2.3675,0.2641,0.7287,1.1272,12.4984,0.0452,5.9670,0.0169,1.0000,0.0023,0.3842,0.0098,0.0000,2.691E-5,5.0000,0.0154,0.1356,0.0098,0.0000,2.854E-10,10.0000,0.0431,0.0618,0.0196,0.0000,4.995E-14,0.6720,0.0016,0.4499,0.0000,0.0000,1.529E-4,24.7614,0.2893,0.0137,0.0980,0.0000,3.092E-21,13.4268,0.0722,0.0392,0.0392,0.0000,3.359E-16,13.1347,0.0690,0.0406,0.0294,0.0000,4.922E-16,28.6244,0.4022,0.0108,0.1275,0.0000,2.308E-22,28.6244,0.4022,0.0108,0.1275,0.0000,2.308E-22,4.9577,0.0152,0.1367,0.0098,0.0000,3.116E-10,13.5479,0.0738,0.0386,0.0392,0.0000,2.839E-16
Scoparia_biplagialis,102,3.2983,3.8393,500,0.9885,11,4.4570,0.9967,0.0008,10102,3.3361,2.1279,2.8172,1.0117,7.0763,2.4584,4.3562,0.1797,2.4983,1.5420,0.9138,2.1748,16.4474,0.6440,17.0592,2.6049,0.3204,0.4483,0.6849,0.2556,0.3186,7.3481,0.1611,2.9507,0.7049,2.0554,0.2316,0.7264,1.0000,15.4620,0.0842,6.0164,0.0177,1.0000,0.0023,0.4273,0.0098,0.0000,8.68E-5,5.0000,0.0138,0.1533,0.0098,0.0000,1.102E-9,10.0000,0.0397,0.0694,0.0098,0.0000,1.796E-13,0.9368,0.0022,0.4388,0.0000,0.0000,1.162E-4,25.3121,0.2935,0.0138,0.0980,0.0000,3.347E-21,14.3217,0.0766,0.0392,0.0392,0.0000,3.359E-16,19.1675,0.1563,0.0227,0.0392,0.0000,8.123E-19,48.4458,0.7391,0.0058,0.3431,0.0000,2.697E-25,48.4458,0.7391,0.0058,0.3431,0.0000,2.697E-25,5.5124,0.0160,0.1395,0.0098,0.0000,3.886E-10,14.0456,0.0736,0.0406,0.0392,0.0000,4.922E-16
