Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Semiothisa_species,28,3.9357,5.1397,500,0.9984,4,4.8511,0.9976,0.0009,10028,11.2224,7.2776,9.9420,3.2806,4.0348,18.2781,1.1100,1.4868,0.5635,1.3816,0.8230,13.4715,12.0396,0.4381,6.0380,0.2395,0.0000,0.0000,1.4861,0.0000,0.0000,1.6835,1.1152,0.0000,0.0999,1.4953,0.3574,0.1332,1.9411,0.0611,0.0000,5.3092,0.0087,1.0000,0.0013,0.3845,0.0000,0.0000,2.186E-2,5.0000,0.0072,0.1364,0.0000,0.0000,3.463E-4,10.0000,0.0218,0.0562,0.0000,0.0000,1.001E-5,30.2074,0.2766,0.0052,0.0000,0.0000,7.23E-10,37.3093,0.5100,0.0029,0.0714,0.2500,9.653E-8,30.2074,0.2766,0.0052,0.0000,0.0000,7.23E-10,30.2074,0.2766,0.0052,0.0000,0.0000,7.23E-10,30.2074,0.2766,0.0052,0.0000,0.0000,7.23E-10,30.2074,0.2766,0.0052,0.0000,0.0000,7.23E-10,5.4266,0.0080,0.1252,0.0000,0.0000,2.461E-4,17.6119,0.0813,0.0201,0.0000,0.0000,1.646E-7
Semiothisa_species,28,3.9371,5.1745,500,0.9985,4,3.7985,0.9634,0.0306,10028,13.8337,5.8494,7.2863,2.4877,1.5021,19.2392,1.6074,2.9232,1.3724,2.4898,0.9033,10.4980,18.5413,0.7066,0.0000,0.9163,0.0058,0.0000,3.8213,0.0000,0.0000,3.2078,0.0561,0.0000,0.2474,1.5137,0.0303,0.1809,0.7650,0.0151,0.0000,5.3108,0.0088,1.0000,0.0013,0.3537,0.0000,0.0000,1.565E-2,5.0000,0.0080,0.1188,0.0000,0.2500,6.104E-3,10.0000,0.0266,0.0486,0.0000,0.2500,4.415E-4,37.1904,0.4703,0.0031,0.0000,0.2500,1.179E-7,41.5137,0.6291,0.0025,0.0714,0.2500,6.186E-8,37.1904,0.4703,0.0031,0.0000,0.2500,1.179E-7,37.1904,0.4703,0.0031,0.0000,0.2500,1.179E-7,4.1568,0.0063,0.1425,0.0000,0.2500,1.034E-2,4.1548,0.0063,0.1425,0.0000,0.0000,4.124E-4,4.9989,0.0080,0.1189,0.0000,0.2500,6.119E-3,17.0055,0.0858,0.0201,0.0000,0.2500,3.22E-5
Semiothisa_species,29,3.9086,5.1636,500,0.9985,3,5.1887,0.9982,0.0003,10029,9.1895,7.3253,9.6719,3.7784,0.7191,20.2447,1.9807,1.2496,1.9194,1.1356,0.5683,14.2660,17.1616,0.5177,0.0013,1.0278,0.0227,0.0000,2.7622,0.0000,0.0000,3.4417,0.0305,0.0000,0.0542,1.7258,0.1185,0.2079,0.8688,0.0005,0.0101,5.3218,0.0089,1.0000,0.0014,0.3597,0.0000,0.0000,4.652E-2,5.0000,0.0080,0.1244,0.0000,0.0000,1.927E-3,10.0000,0.0242,0.0516,0.0000,0.0000,1.37E-4,37.5427,0.4946,0.0030,0.0000,0.0000,2.677E-8,38.9418,0.6147,0.0029,0.0690,0.0000,2.418E-8,37.5427,0.4946,0.0030,0.0000,0.0000,2.677E-8,37.5427,0.4946,0.0030,0.0000,0.0000,2.677E-8,49.7703,0.7747,0.0019,0.2414,0.0000,6.8E-9,49.7703,0.7747,0.0019,0.2414,0.0000,6.8E-9,5.0615,0.0081,0.1229,0.0000,0.0000,1.858E-3,17.2205,0.0818,0.0203,0.0000,0.0000,8.416E-6
Semiothisa_species,29,3.8855,5.1416,500,0.9985,3,5.5151,0.9991,0.0005,10029,13.1162,5.7284,4.0680,5.8062,1.9757,19.1447,2.3118,3.3830,2.0646,1.1389,0.7568,12.1891,12.5089,0.9401,2.7106,1.0891,0.0000,0.0000,1.8941,0.0000,0.0000,5.2131,0.0950,0.0000,0.1299,1.9403,0.2212,0.1128,1.4328,0.0288,0.0000,5.3725,0.0093,1.0000,0.0014,0.3692,0.0000,0.0000,5.034E-2,5.0000,0.0082,0.1296,0.0000,0.0000,2.178E-3,10.0000,0.0248,0.0547,0.0000,0.0000,1.64E-4,37.5339,0.4626,0.0032,0.0000,0.0000,3.248E-8,42.2655,0.6209,0.0025,0.0690,0.0000,1.549E-8,37.5339,0.4626,0.0032,0.0000,0.0000,3.248E-8,37.5339,0.4626,0.0032,0.0000,0.0000,3.248E-8,47.1230,0.7730,0.0022,0.2414,0.0000,1.056E-8,47.1230,0.7730,0.0022,0.2414,0.0000,1.056E-8,5.1505,0.0085,0.1258,0.0000,0.0000,1.993E-3,17.3168,0.0847,0.0214,0.0000,0.0000,9.852E-6
Semiothisa_species,29,3.8851,5.1552,500,0.9985,3,5.3606,0.9986,0.0005,10029,15.8472,8.7465,2.3671,1.9698,1.2491,19.5144,2.4083,5.1844,0.0172,2.8999,0.7021,11.1905,16.7310,0.6509,0.0000,0.7135,0.0000,0.0000,3.9346,0.0000,0.0000,3.3243,0.0655,0.0000,0.0286,1.7147,0.1322,0.2139,0.3504,0.0439,0.0000,5.3659,0.0093,1.0000,0.0014,0.3615,0.0000,0.0000,4.722E-2,5.0000,0.0084,0.1267,0.0000,0.0000,2.035E-3,10.0000,0.0256,0.0528,0.0000,0.0000,1.476E-4,37.6123,0.4835,0.0032,0.0000,0.0000,3.248E-8,41.5987,0.6336,0.0026,0.0690,0.0000,1.742E-8,37.6123,0.4835,0.0032,0.0000,0.0000,3.248E-8,37.6123,0.4835,0.0032,0.0000,0.0000,3.248E-8,50.9049,0.7836,0.0019,0.2414,0.0000,6.8E-9,50.9049,0.7836,0.0019,0.2414,0.0000,6.8E-9,5.0086,0.0085,0.1265,0.0000,0.0000,2.026E-3,17.1846,0.0863,0.0212,0.0000,0.0000,9.58E-6
Semiothisa_species,29,4.0181,5.1312,500,0.9980,3,3.3420,0.9932,0.0034,10029,8.5816,10.1613,5.6058,6.4931,2.4112,19.8370,2.3801,1.3594,0.0944,2.7818,0.7709,13.3633,15.6129,0.6276,2.3804,0.5916,0.0000,0.0000,0.6817,0.0000,0.0000,4.2006,0.1875,0.0000,0.0998,0.8764,0.0786,0.1248,0.6727,0.0257,0.0000,5.2010,0.0076,1.0000,0.0011,0.4022,0.0000,0.0000,6.508E-2,5.0000,0.0061,0.1379,0.0000,0.0000,2.622E-3,10.0000,0.0196,0.0540,0.0000,0.0000,1.578E-4,18.5900,0.0820,0.0149,0.0000,0.0000,3.279E-6,29.8609,0.2722,0.0039,0.0345,0.3333,4.525E-5,18.5900,0.0820,0.0149,0.0000,0.0000,3.279E-6,18.5900,0.0820,0.0149,0.0000,0.0000,3.279E-6,18.5900,0.0820,0.0149,0.0000,0.0000,3.279E-6,18.5900,0.0820,0.0149,0.0000,0.0000,3.279E-6,5.5994,0.0072,0.1217,0.0000,0.0000,1.805E-3,17.2043,0.0669,0.0180,0.0000,0.0000,5.878E-6
Semiothisa_species,29,4.0154,5.1177,500,0.9981,3,3.2676,0.9933,0.0029,10029,14.3435,7.7631,7.1864,0.0086,2.1401,23.8049,1.1420,2.1782,2.1108,0.7255,1.0734,11.9727,13.6158,0.5146,4.4293,1.5342,0.0000,0.0000,1.7223,0.0000,0.0000,1.1484,0.0541,0.0000,0.1234,1.2806,0.0921,0.1027,0.9038,0.0245,0.0051,5.2483,0.0080,1.0000,0.0012,0.4115,0.0000,0.0000,6.968E-2,5.0000,0.0063,0.1451,0.0000,0.0000,3.054E-3,10.0000,0.0193,0.0583,0.0000,0.0000,1.985E-4,19.9857,0.0951,0.0137,0.0000,0.0000,2.549E-6,29.9619,0.2809,0.0044,0.0345,0.3333,5.758E-5,19.9857,0.0951,0.0137,0.0000,0.0000,2.549E-6,19.9857,0.0951,0.0137,0.0000,0.0000,2.549E-6,19.9857,0.0951,0.0137,0.0000,0.0000,2.549E-6,19.9857,0.0951,0.0137,0.0000,0.0000,2.549E-6,5.6674,0.0075,0.1268,0.0000,0.0000,2.04E-3,17.4746,0.0701,0.0189,0.0000,0.0000,6.8E-6
Semiothisa_species,29,4.0385,5.2165,500,0.9985,3,1.4400,0.7214,0.2264,10029,12.5378,7.7682,0.9958,5.4163,0.4998,22.1012,3.7869,3.3242,1.6077,0.0000,0.8637,14.0545,15.6037,0.6148,1.6043,0.8983,0.0105,0.0000,1.6639,0.0000,0.0000,4.7607,0.0570,0.0000,0.0492,0.9137,0.0442,0.1557,0.6679,0.0000,0.0000,5.1930,0.0077,1.0000,0.0012,0.3225,0.0000,0.3333,2.449E-1,5.0000,0.0080,0.1062,0.0000,0.3333,3.144E-2,10.0000,0.0247,0.0423,0.0000,0.3333,5.211E-3,32.6974,0.4574,0.0035,0.0000,0.3333,3.645E-5,38.8451,0.5998,0.0026,0.0690,0.3333,2.013E-5,32.6974,0.4574,0.0035,0.0000,0.3333,3.645E-5,32.6974,0.4574,0.0035,0.0000,0.3333,3.645E-5,0.9282,0.0011,0.3333,0.0000,0.3333,2.593E-1,47.9697,0.7812,0.0020,0.2414,0.3333,1.191E-5,4.6058,0.0071,0.1155,0.0000,0.3333,3.692E-2,15.9656,0.0727,0.0179,0.0000,0.3333,9.548E-4
Semiothisa_species,29,3.9798,5.2096,500,0.9985,3,2.4930,0.9494,0.0389,10029,9.1282,13.7172,7.7783,2.1978,0.8923,17.7806,2.5049,2.9582,0.8928,1.0457,0.6101,12.4677,12.8181,0.7742,2.0008,1.1129,0.0426,0.0000,2.3030,0.0000,0.0000,6.3025,0.0000,0.0000,0.1523,1.3884,0.2669,0.0432,0.8214,0.0000,0.0000,5.2603,0.0082,1.0000,0.0013,0.3576,0.0000,0.0000,4.571E-2,5.0000,0.0076,0.1233,0.0000,0.3333,4.189E-2,10.0000,0.0239,0.0507,0.0000,0.3333,7.437E-3,34.9672,0.4758,0.0032,0.0000,0.6667,9.542E-3,38.4027,0.5966,0.0027,0.0690,0.6667,8.055E-3,34.9672,0.4758,0.0032,0.0000,0.6667,9.542E-3,34.9672,0.4758,0.0032,0.0000,0.6667,9.542E-3,4.2078,0.0060,0.1457,0.0000,0.0000,3.092E-3,4.2078,0.0060,0.1457,0.0000,0.0000,3.092E-3,5.0167,0.0076,0.1229,0.0000,0.3333,4.163E-2,17.3063,0.0753,0.0191,0.0000,0.3333,1.086E-3
Semiothisa_species,29,3.9015,5.1724,500,0.9985,3,5.4784,0.9991,0.0005,10029,14.9074,10.5639,1.9777,3.8133,1.6097,19.0822,1.7762,4.3054,2.1636,1.3528,1.0394,10.1204,11.7449,0.7901,3.9291,1.1307,0.0000,0.0000,1.9972,0.0000,0.0000,4.3084,0.0816,0.0000,0.2493,1.9385,0.3126,0.1700,0.5879,0.0476,0.0000,5.3208,0.0088,1.0000,0.0014,0.3506,0.0000,0.0000,4.309E-2,5.0000,0.0084,0.1209,0.0000,0.0000,1.769E-3,10.0000,0.0254,0.0506,0.0000,0.0000,1.292E-4,37.1794,0.4862,0.0031,0.0000,0.0000,2.953E-8,39.0240,0.6138,0.0029,0.0690,0.0000,2.418E-8,37.1794,0.4862,0.0031,0.0000,0.0000,2.953E-8,37.1794,0.4862,0.0031,0.0000,0.0000,2.953E-8,44.7725,0.7504,0.0022,0.2069,0.0000,1.056E-8,44.7725,0.7504,0.0022,0.2069,0.0000,1.056E-8,4.8492,0.0081,0.1246,0.0000,0.0000,1.936E-3,17.0495,0.0816,0.0203,0.0000,0.0000,8.416E-6
