Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Setophaga_fusca,426,0.9854,1.3122,500,0.8916,48,0.9179,0.8439,0.0245,10424,5.3782,2.5245,0.6094,2.0213,8.7859,5.8006,1.5982,1.0286,1.4434,10.3078,0.2481,2.9086,12.8456,3.4923,1.0021,4.3484,3.0240,0.6052,0.9636,2.2467,11.4660,4.2007,2.8665,1.0101,0.8563,0.9130,0.3482,3.6967,2.9836,0.4763,0.0000,8.2908,0.1902,1.0000,0.0400,0.7863,0.0070,0.0000,1.518E-4,5.0000,0.1022,0.5824,0.0305,0.0208,1.245E-8,10.0000,0.1561,0.4527,0.0540,0.0833,5.312E-11,0.3668,0.0223,0.8618,0.0000,0.0000,2.761E-3,21.8794,0.2558,0.2746,0.0986,0.1875,3.385E-17,31.3826,0.3265,0.1863,0.1854,0.3125,2.363E-19,29.1127,0.3121,0.2048,0.1573,0.2708,1.111E-19,24.2125,0.2757,0.2500,0.1221,0.2500,6.221E-16,22.4909,0.2616,0.2679,0.1009,0.1875,8.065E-18,2.6058,0.0699,0.6802,0.0094,0.0208,4.467E-6,13.8237,0.1890,0.3824,0.0681,0.1042,1.241E-13
Setophaga_fusca,425,0.9905,1.3235,500,0.8955,49,0.8914,0.8304,0.0316,10423,4.6956,4.8544,1.0944,0.3188,7.9999,5.9998,2.4747,0.6520,1.4552,12.0442,0.2599,4.3841,12.5793,2.5001,1.9847,2.9315,2.3649,0.5083,0.6888,1.2116,12.3443,4.5119,2.3018,1.3147,0.7103,0.8161,0.2385,2.7556,2.6476,1.3395,0.0178,8.2893,0.1895,1.0000,0.0394,0.7872,0.0094,0.0408,1.634E-3,5.0000,0.1016,0.5790,0.0282,0.1020,3.061E-6,10.0000,0.1547,0.4483,0.0400,0.1224,7.641E-10,0.1802,0.0148,0.9023,0.0000,0.0000,1.064E-2,19.9590,0.2422,0.2939,0.0988,0.1837,4.938E-16,31.7822,0.3355,0.1809,0.1812,0.2857,1.541E-22,35.5650,0.3646,0.1541,0.1953,0.3061,6.179E-26,26.5740,0.2933,0.2245,0.1459,0.2245,1.189E-20,26.2983,0.2914,0.2270,0.1459,0.2041,9.802E-22,3.9426,0.0877,0.6178,0.0212,0.1020,2.716E-5,13.5993,0.1898,0.3818,0.0541,0.1429,3.743E-12
Setophaga_fusca,426,1.0059,1.3366,500,0.8918,48,0.7316,0.8107,0.0344,10425,5.6353,4.2211,1.1497,0.1936,8.3560,5.5685,2.1466,0.8463,0.0313,12.1126,0.0867,4.3439,11.5148,2.5612,2.1064,3.6968,3.3146,0.6948,1.4189,1.0945,12.2019,5.4233,1.4596,1.1675,0.5259,1.3961,0.1152,3.4572,2.6548,0.5049,0.0000,8.2632,0.1846,1.0000,0.0384,0.7851,0.0070,0.0625,5.083E-3,5.0000,0.0984,0.5778,0.0329,0.1250,1.534E-5,10.0000,0.1486,0.4453,0.0516,0.1667,3.159E-8,0.3253,0.0197,0.8716,0.0000,0.0000,3.911E-3,17.4223,0.2162,0.3210,0.0986,0.2083,1.419E-12,31.0861,0.3248,0.1807,0.1808,0.2708,2.672E-23,30.1713,0.3171,0.1878,0.1667,0.2292,2.274E-25,25.4690,0.2782,0.2292,0.1432,0.2292,2.148E-19,30.2747,0.3179,0.1871,0.1690,0.2292,1.663E-25,3.0537,0.0739,0.6552,0.0164,0.0833,6.899E-5,13.9671,0.1868,0.3720,0.0775,0.2083,8.956E-10
Setophaga_fusca,426,0.9804,1.3061,500,0.8907,48,0.9470,0.8250,0.0319,10424,5.0468,4.3998,1.3713,0.2995,6.6884,7.3523,1.2128,0.9281,0.7749,13.3868,0.2224,3.9722,12.5693,2.9321,1.8425,4.3297,3.3299,0.4655,0.9017,1.6201,11.5083,2.6029,2.4387,0.7639,0.7674,1.1961,0.1878,3.2326,2.9172,0.7068,0.0322,8.2912,0.1901,1.0000,0.0399,0.7876,0.0070,0.0208,5.874E-4,5.0000,0.1023,0.5828,0.0305,0.0833,1.359E-6,10.0000,0.1532,0.4509,0.0469,0.1667,5.044E-8,0.4122,0.0235,0.8568,0.0000,0.0000,2.308E-3,21.5439,0.2564,0.2763,0.0986,0.2292,9.123E-15,30.7544,0.3270,0.1901,0.1901,0.2917,2.873E-20,23.7412,0.2737,0.2531,0.1150,0.2292,7.872E-17,24.1026,0.2764,0.2494,0.1244,0.2500,5.49E-16,26.7023,0.2950,0.2245,0.1502,0.2500,1.318E-18,4.0355,0.0906,0.6173,0.0211,0.0833,9.909E-6,13.6701,0.1882,0.3826,0.0704,0.1667,6.57E-11
Setophaga_fusca,426,1.0189,1.3394,500,0.8938,48,0.6216,0.7936,0.0380,10424,5.5588,2.1552,1.1589,0.5437,8.0962,7.2064,1.0516,0.5433,0.0070,11.5407,0.1456,3.7451,12.1117,2.8219,3.0920,3.7078,2.3983,0.5953,0.7192,1.7439,13.3288,6.2625,0.7485,0.3773,1.0291,1.8611,0.2399,3.8229,1.7401,1.6222,0.0250,8.2517,0.1825,1.0000,0.0375,0.7730,0.0023,0.0625,3.26E-3,5.0000,0.0993,0.5685,0.0258,0.1458,3.22E-5,10.0000,0.1520,0.4395,0.0493,0.1458,3.544E-9,0.4221,0.0222,0.8430,0.0000,0.0417,1.401E-2,18.8920,0.2281,0.2981,0.0986,0.2292,4.007E-13,30.3730,0.3180,0.1842,0.1831,0.3542,7.863E-17,30.3365,0.3177,0.1845,0.1808,0.3542,8.558E-17,23.1135,0.2608,0.2500,0.1291,0.2500,6.221E-16,25.1872,0.2777,0.2293,0.1362,0.2500,4.656E-18,4.6464,0.0952,0.5806,0.0211,0.1458,6.124E-5,13.9584,0.1858,0.3677,0.0751,0.1667,1.114E-11
Setophaga_fusca,427,0.9668,1.2786,500,0.8885,47,1.1276,0.8483,0.0312,10425,3.8688,5.5385,1.2040,0.5956,7.1670,7.8522,1.6335,0.6391,0.0000,11.9142,0.1559,3.1782,11.8729,2.5794,3.3504,3.1470,2.9882,0.6985,0.8005,2.5574,11.9927,2.8979,1.6557,0.6286,0.7249,1.7659,0.1762,2.9714,3.5094,1.9304,0.0053,8.3144,0.1948,1.0000,0.0421,0.7911,0.0117,0.0213,7.772E-4,5.0000,0.1052,0.5926,0.0304,0.0638,8.193E-7,10.0000,0.1568,0.4629,0.0445,0.1064,1.594E-9,0.4010,0.0247,0.8596,0.0000,0.0213,9.357E-3,19.8029,0.2400,0.3061,0.0960,0.2128,4.115E-13,31.6718,0.3305,0.1883,0.1874,0.2553,8.635E-23,33.2386,0.3435,0.1762,0.1920,0.2553,7.354E-25,26.4269,0.2901,0.2341,0.1499,0.2340,3.576E-18,42.5032,0.4221,0.1170,0.2904,0.2979,4.887E-36,3.0751,0.0804,0.6663,0.0187,0.0426,1.152E-5,13.8332,0.1915,0.3916,0.0656,0.1064,8.836E-13
Setophaga_fusca,426,1.0209,1.3434,500,0.8936,48,0.5228,0.7599,0.0371,10424,4.4160,4.3814,0.5789,0.3671,7.2165,6.0105,1.7250,0.5153,0.0174,14.4299,0.2007,4.2732,9.5445,3.0410,2.7540,3.9512,1.5521,1.3550,1.2211,1.8472,12.4050,3.5087,1.6612,1.0222,0.5969,1.3393,0.2083,4.0041,4.3393,1.5171,0.0000,8.2547,0.1830,1.0000,0.0371,0.7780,0.0070,0.0417,1.323E-3,5.0000,0.0988,0.5684,0.0305,0.1667,1.053E-4,10.0000,0.1514,0.4384,0.0516,0.2292,1.729E-6,0.0888,0.0090,0.9248,0.0000,0.0000,2.409E-2,20.6617,0.2441,0.2775,0.0986,0.3125,1.126E-10,31.3228,0.3273,0.1780,0.1761,0.4792,2.633E-10,28.8341,0.3072,0.1977,0.1549,0.4167,9.868E-12,19.3166,0.2328,0.2934,0.0892,0.2917,1.355E-10,18.0446,0.2228,0.3093,0.0869,0.2708,1.548E-10,2.2393,0.0599,0.6875,0.0117,0.0625,9.34E-5,13.8758,0.1887,0.3689,0.0751,0.2708,1.148E-7
Setophaga_fusca,428,0.9896,1.3013,500,0.8879,46,0.8644,0.8400,0.0248,10427,5.5772,1.9500,1.6184,1.8069,8.2642,7.6111,1.1667,0.5465,0.4472,12.7046,0.0376,3.3302,11.6224,3.3166,1.9683,2.9759,2.4610,0.2652,0.7946,2.0047,11.1122,7.1855,2.0132,1.1133,0.6766,1.1798,0.1580,3.6472,0.8912,1.5540,0.0000,8.2812,0.1882,1.0000,0.0396,0.7891,0.0070,0.0000,2.272E-4,5.0000,0.1013,0.5838,0.0327,0.0435,1.459E-7,10.0000,0.1533,0.4527,0.0537,0.0652,2.53E-11,0.3433,0.0212,0.8700,0.0000,0.0000,4.381E-3,18.5130,0.2262,0.3136,0.0981,0.1739,3.402E-14,31.2875,0.3245,0.1846,0.1846,0.3478,1.5E-16,31.2146,0.3240,0.1852,0.1822,0.3478,1.769E-16,22.9883,0.2614,0.2610,0.1262,0.2609,7.628E-14,17.3448,0.2162,0.3291,0.0911,0.1304,3.092E-15,1.5487,0.0507,0.7449,0.0070,0.0000,3.607E-5,14.0379,0.1882,0.3786,0.0724,0.1304,3.333E-12
Setophaga_fusca,427,1.0127,1.3375,500,0.8939,47,0.6773,0.7795,0.0389,10425,3.6819,1.1959,2.2740,1.9326,8.3813,5.7934,1.2432,0.5314,0.0229,12.3244,0.0376,3.8536,12.1919,2.9879,2.9210,3.6899,2.8612,0.6093,1.0897,2.0967,13.0788,4.1436,1.5269,0.2947,0.9435,1.3856,0.2402,3.9225,2.9726,1.7718,0.0000,8.2523,0.1828,1.0000,0.0374,0.7827,0.0094,0.0851,1.401E-2,5.0000,0.0980,0.5729,0.0281,0.1277,1.658E-5,10.0000,0.1510,0.4417,0.0515,0.1915,2.057E-7,0.6054,0.0277,0.8263,0.0000,0.0638,2.338E-2,19.3950,0.2301,0.2946,0.0984,0.2766,5.624E-11,30.7925,0.3181,0.1825,0.1827,0.4043,1.123E-13,34.8261,0.3535,0.1531,0.2061,0.4043,1.761E-17,20.4748,0.2396,0.2816,0.1030,0.2766,8.287E-12,28.8576,0.3035,0.1983,0.1663,0.3404,1.077E-15,3.1032,0.0724,0.6481,0.0164,0.1064,2.117E-4,14.1171,0.1891,0.3680,0.0749,0.2553,4.268E-8
Setophaga_fusca,429,0.9915,1.3255,500,0.8919,45,0.8733,0.7978,0.0370,10427,3.1129,3.2243,1.9927,0.1910,8.3177,7.1028,1.4822,1.2121,1.4681,12.1112,0.1833,3.4359,12.1271,2.6051,0.8661,3.9691,3.1059,1.1754,1.4217,0.9565,12.5179,4.7478,1.2833,1.1287,0.6938,1.1886,0.5152,4.3878,3.1220,0.3536,0.0000,8.2779,0.1872,1.0000,0.0395,0.7910,0.0047,0.0222,1.031E-3,5.0000,0.0984,0.5822,0.0280,0.1556,1.809E-4,10.0000,0.1510,0.4484,0.0559,0.2000,1.052E-6,0.1996,0.0155,0.8996,0.0000,0.0000,1.251E-2,19.2129,0.2328,0.2998,0.0979,0.2667,1.094E-10,30.9756,0.3262,0.1841,0.1841,0.3556,8.153E-16,29.8552,0.3175,0.1931,0.1655,0.3556,8.486E-15,22.0446,0.2558,0.2667,0.1119,0.2667,7.31E-13,23.4862,0.2671,0.2513,0.1259,0.2667,4.477E-14,2.3812,0.0638,0.6950,0.0093,0.0667,2.58E-4,13.7858,0.1854,0.3774,0.0699,0.2000,2.479E-9
