Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Sitta_carolinensis,448,0.8335,1.0836,500,0.8722,50,0.5916,0.7866,0.0283,10446,6.5191,2.5434,3.2086,2.7650,9.9969,8.1602,3.4177,1.2800,0.0168,2.0584,0.3552,5.2294,8.0563,4.0118,0.4367,1.4742,0.8357,0.4781,2.3344,5.3721,7.6320,4.3396,0.4612,0.0931,0.2512,1.0241,0.4891,6.2665,9.4444,1.4487,0.0000,8.4474,0.2207,1.0000,0.0453,0.8062,0.0067,0.0200,9.398E-4,5.0000,0.1158,0.5954,0.0246,0.0400,7.515E-8,10.0000,0.1805,0.4656,0.0513,0.1400,1.133E-8,0.2213,0.0203,0.9104,0.0000,0.0000,1.327E-2,16.8547,0.2494,0.3531,0.0982,0.1800,2.445E-12,31.3321,0.3709,0.2075,0.2076,0.4800,2.548E-8,26.5865,0.3331,0.2467,0.1585,0.3400,6.037E-12,23.0909,0.3047,0.2800,0.1384,0.2800,2.118E-12,18.7241,0.2655,0.3289,0.1116,0.2000,6.714E-13,3.7804,0.0978,0.6410,0.0134,0.0400,1.288E-6,10.9838,0.1903,0.4463,0.0558,0.1400,1.994E-9
Sitta_carolinensis,448,0.8532,1.1070,500,0.8773,50,0.5871,0.7888,0.0357,10446,3.7268,5.2381,1.0859,1.3918,11.5202,9.5916,5.3239,0.7484,0.5289,4.7575,0.5460,5.4026,9.1221,4.4773,0.4504,1.3604,0.3876,0.4353,2.1201,4.3593,3.1696,8.0394,0.1753,0.2624,0.7005,1.1457,0.2412,5.8747,5.5789,2.2304,0.0076,8.4250,0.2160,1.0000,0.0427,0.7885,0.0045,0.0600,4.36E-3,5.0000,0.1170,0.5798,0.0179,0.1400,2.99E-5,10.0000,0.1800,0.4537,0.0402,0.1600,2.042E-8,0.3600,0.0244,0.8689,0.0000,0.0200,9.982E-3,18.9380,0.2708,0.3186,0.0982,0.2800,5.579E-10,31.0114,0.3727,0.2067,0.2076,0.3200,6.962E-17,24.6612,0.3198,0.2590,0.1362,0.2800,5.044E-14,22.4960,0.3024,0.2800,0.1228,0.2800,2.118E-12,36.6171,0.4157,0.1690,0.2634,0.3200,2.622E-22,4.5931,0.1110,0.5937,0.0134,0.1400,6.311E-5,10.8986,0.1905,0.4364,0.0469,0.1800,2.265E-8
Sitta_carolinensis,448,0.8505,1.0955,500,0.8745,50,0.5634,0.7775,0.0342,10447,9.0320,1.8909,1.8843,0.0085,13.5724,8.6546,5.5332,0.8749,0.2460,2.1306,0.7521,4.5166,6.6278,3.6659,0.7894,1.8394,1.0595,0.3723,2.6990,4.5894,7.5076,6.6999,0.1632,0.1551,0.2776,0.7119,0.4839,5.5625,5.7535,1.9458,0.0000,8.4340,0.2176,1.0000,0.0445,0.8003,0.0067,0.0200,7.41E-4,5.0000,0.1145,0.5882,0.0223,0.1200,1.381E-5,10.0000,0.1789,0.4583,0.0446,0.2000,6.202E-7,0.1640,0.0165,0.9205,0.0000,0.0200,5.985E-2,18.7855,0.2663,0.3228,0.0982,0.3000,5.809E-9,30.8018,0.3688,0.2085,0.2076,0.3600,2.925E-14,28.7648,0.3532,0.2243,0.1763,0.3400,7.523E-14,20.7524,0.2845,0.3000,0.1183,0.3000,3.364E-10,30.1104,0.3638,0.2137,0.1987,0.3400,6.95E-15,3.7088,0.0949,0.6369,0.0134,0.1000,5.481E-5,10.9287,0.1902,0.4403,0.0513,0.2000,1.501E-7
Sitta_carolinensis,448,0.8275,1.0745,500,0.8700,50,0.7320,0.8333,0.0266,10446,8.2501,2.8049,0.6520,0.9284,12.8863,7.6141,4.1596,0.5696,0.2566,1.9135,0.2495,6.4888,6.9499,4.0456,0.3377,2.0032,0.9573,0.4611,2.2960,5.3750,6.6704,6.9287,0.2452,0.1116,0.2966,0.8438,0.2877,7.3913,5.9264,2.0933,0.0058,8.4483,0.2212,1.0000,0.0451,0.8052,0.0045,0.0200,9.011E-4,5.0000,0.1168,0.5953,0.0201,0.0400,7.467E-8,10.0000,0.1806,0.4660,0.0513,0.0600,9.168E-12,0.5577,0.0333,0.8532,0.0000,0.0200,5.656E-3,17.7268,0.2594,0.3432,0.0982,0.1000,5.531E-17,30.7487,0.3667,0.2142,0.2143,0.3200,5.001E-16,26.7697,0.3340,0.2471,0.1741,0.2400,2.069E-17,27.4965,0.3400,0.2408,0.1875,0.2400,4.443E-18,21.1561,0.2889,0.3027,0.1339,0.1200,3.188E-19,4.2278,0.1041,0.6231,0.0134,0.0400,4.424E-7,10.9935,0.1915,0.4467,0.0536,0.0800,8.357E-12
Sitta_carolinensis,449,0.8094,1.0511,500,0.8696,49,0.9071,0.8319,0.0254,10447,5.8936,4.1339,1.5034,0.1175,11.8960,8.2864,4.4642,0.8961,0.0000,2.8122,0.3409,5.0100,6.8443,4.0398,1.4627,1.7565,0.5031,0.9337,2.1897,6.0090,4.4597,6.6768,0.2619,0.1871,0.4214,1.5141,0.2609,6.4120,8.9761,1.7370,0.0000,8.4755,0.2272,1.0000,0.0468,0.8116,0.0045,0.0000,3.726E-4,5.0000,0.1193,0.6027,0.0223,0.0000,6.585E-9,10.0000,0.1834,0.4730,0.0423,0.1224,7.033E-9,0.1410,0.0174,0.9318,0.0000,0.0000,2.908E-2,18.0768,0.2656,0.3448,0.0980,0.1633,2.159E-13,32.1035,0.3825,0.2083,0.2094,0.3265,5.345E-16,26.0930,0.3330,0.2580,0.1537,0.2449,9.042E-16,26.3543,0.3350,0.2557,0.1604,0.2653,7.559E-15,22.9359,0.3075,0.2889,0.1314,0.1837,1.883E-16,5.3968,0.1253,0.5896,0.0223,0.0000,2.616E-9,10.7009,0.1919,0.4591,0.0445,0.1429,1.125E-8
Sitta_carolinensis,447,0.8389,1.0963,500,0.8745,51,0.6016,0.7969,0.0300,10445,6.4595,2.5070,3.2328,0.3450,10.5441,9.3808,5.0935,1.1067,1.3892,0.9529,0.3258,4.4507,8.1267,3.2985,2.5408,1.8370,1.2871,0.7714,1.7654,5.3159,4.6454,6.4146,0.2146,0.1151,0.6768,1.4203,0.3576,5.6869,7.5160,2.1727,0.0492,8.4382,0.2188,1.0000,0.0439,0.7919,0.0089,0.0196,4.559E-4,5.0000,0.1168,0.5834,0.0157,0.0980,1.974E-6,10.0000,0.1828,0.4566,0.0470,0.1569,1.495E-8,0.3456,0.0238,0.8749,0.0000,0.0000,3.458E-3,19.5690,0.2775,0.3147,0.0984,0.2157,2.566E-13,31.0190,0.3730,0.2094,0.2103,0.2941,1.458E-18,27.2631,0.3437,0.2392,0.1566,0.2745,1.945E-16,23.3840,0.3118,0.2745,0.1409,0.2745,2.649E-13,32.0969,0.3809,0.2014,0.2237,0.2941,1.329E-19,5.0389,0.1172,0.5822,0.0157,0.0980,1.827E-6,10.7463,0.1917,0.4423,0.0470,0.1569,4.123E-9
Sitta_carolinensis,448,0.8377,1.0823,500,0.8720,50,0.7703,0.8141,0.0256,10446,8.5902,1.6253,1.0923,1.9189,13.7510,8.8544,4.9113,0.7737,0.2109,3.6402,1.3572,4.1973,6.5883,4.4928,0.2997,2.1693,0.7180,0.4642,1.8909,5.1899,4.2189,5.7843,0.7989,0.0246,0.2438,1.4424,0.2104,5.9619,6.0099,2.5044,0.0648,8.4341,0.2181,1.0000,0.0441,0.8004,0.0067,0.0000,2.069E-4,5.0000,0.1148,0.5914,0.0246,0.0400,5.732E-8,10.0000,0.1782,0.4616,0.0491,0.0800,3.969E-11,0.2636,0.0216,0.8971,0.0000,0.0000,8.311E-3,19.0968,0.2702,0.3217,0.0960,0.2800,8.29E-10,30.1215,0.3607,0.2159,0.2165,0.3600,1.557E-13,23.8903,0.3108,0.2702,0.1384,0.3200,3.414E-11,21.0129,0.2874,0.3000,0.1183,0.3000,3.377E-10,13.0355,0.2121,0.4064,0.0603,0.1200,4.595E-12,3.7281,0.0969,0.6388,0.0179,0.0200,2.549E-7,11.0882,0.1907,0.4405,0.0513,0.1000,2.964E-11
Sitta_carolinensis,450,0.8625,1.1099,500,0.8762,48,0.3683,0.7663,0.0305,10448,7.7652,2.4421,1.1860,0.9313,12.8314,9.5229,4.3447,1.6246,0.1942,2.2772,0.3064,4.9507,7.7519,3.2914,0.3872,1.9088,0.9250,0.7698,1.8031,5.0136,4.9258,4.9024,0.3377,0.1096,0.9416,1.1622,0.2564,5.2162,10.1038,1.7323,0.0845,8.4156,0.2139,1.0000,0.0429,0.7949,0.0089,0.0000,2.163E-4,5.0000,0.1127,0.5830,0.0200,0.0833,1.375E-6,10.0000,0.1782,0.4552,0.0444,0.1458,1.425E-8,0.1978,0.0176,0.9078,0.0000,0.0000,1.364E-2,18.5476,0.2628,0.3229,0.1000,0.2708,8.774E-10,30.8718,0.3653,0.2051,0.2044,0.3750,2.912E-13,26.3904,0.3275,0.2416,0.1489,0.3750,2.717E-10,19.4327,0.2701,0.3125,0.1089,0.3125,1.04E-8,32.7390,0.3825,0.1915,0.2289,0.3750,1.154E-14,4.9924,0.1126,0.5833,0.0156,0.0833,1.399E-6,11.1982,0.1903,0.4323,0.0556,0.1667,1.023E-8
Sitta_carolinensis,446,0.8384,1.0969,500,0.8748,52,0.6703,0.8027,0.0289,10445,4.4247,0.9693,1.1561,2.6465,11.0961,7.7751,5.1832,1.5845,0.0054,3.9575,0.1343,3.9719,8.8023,4.3523,0.3747,1.9231,1.0152,0.5606,2.1209,5.8933,4.9328,8.7701,0.2861,0.1380,0.3340,0.9423,0.2137,7.0875,6.7665,2.5820,0.0000,8.4383,0.2188,1.0000,0.0437,0.7924,0.0067,0.0000,1.119E-4,5.0000,0.1156,0.5825,0.0202,0.0577,7.141E-8,10.0000,0.1847,0.4558,0.0471,0.1538,7.946E-9,0.4399,0.0271,0.8609,0.0000,0.0000,1.873E-3,18.4797,0.2705,0.3279,0.0987,0.2500,4.477E-11,31.3298,0.3728,0.2072,0.2063,0.3654,1.422E-14,29.0420,0.3550,0.2250,0.1704,0.3269,5.047E-15,23.9994,0.3162,0.2692,0.1345,0.2692,3.103E-14,24.5363,0.3211,0.2640,0.1345,0.2692,1.132E-14,4.3667,0.1067,0.6050,0.0179,0.0577,3.247E-7,10.7114,0.1921,0.4423,0.0493,0.1731,1.174E-8
Sitta_carolinensis,450,0.8361,1.0744,500,0.8710,48,0.5449,0.7864,0.0298,10448,6.9219,1.6796,3.4527,1.7963,12.0191,7.3420,4.9231,1.2855,0.0000,3.2726,0.8503,5.4563,9.3893,4.9731,0.7705,2.0401,0.7008,0.5085,1.6558,4.6067,5.5462,4.0628,0.6127,0.0582,0.6570,0.9492,0.1622,5.2520,7.3204,1.6632,0.0716,8.4376,0.2185,1.0000,0.0447,0.8006,0.0089,0.0000,2.728E-4,5.0000,0.1155,0.5900,0.0267,0.0625,4.905E-7,10.0000,0.1782,0.4607,0.0556,0.2083,2.104E-6,0.2295,0.0201,0.9031,0.0000,0.0000,1.164E-2,18.8958,0.2694,0.3243,0.1000,0.2708,1.032E-9,30.9562,0.3671,0.2088,0.2089,0.3542,4.732E-14,25.4583,0.3233,0.2551,0.1467,0.3542,2.637E-10,20.4287,0.2819,0.3065,0.1133,0.3125,5.141E-9,33.5801,0.3904,0.1898,0.2444,0.3542,3.907E-16,2.8404,0.0816,0.6774,0.0111,0.0417,1.563E-5,10.9573,0.1898,0.4419,0.0600,0.2083,5.317E-7
