Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Smilax_species,45,2.5786,3.4949,500,0.9802,6,1.4904,0.8176,0.1356,10045,0.7802,1.9949,0.1803,1.4207,10.2109,39.1152,3.1504,0.5661,1.8166,4.5583,1.4544,0.6087,3.5327,6.7632,1.7175,1.8675,0.5881,0.3943,0.2864,0.0721,14.5570,0.6740,0.1181,0.0442,0.0679,0.3016,0.2134,0.8236,0.7851,1.3367,0.0000,6.6808,0.0374,1.0000,0.0055,0.5430,0.0000,0.1667,1.55E-1,5.0000,0.0213,0.2739,0.0000,0.1667,7.134E-3,10.0000,0.0478,0.1531,0.0444,0.3333,6.353E-3,7.8017,0.0349,0.1939,0.0000,0.1667,1.38E-3,30.6458,0.3089,0.0295,0.0889,0.3333,1.078E-5,15.6956,0.0908,0.0889,0.0889,0.3333,8.086E-4,30.6458,0.3089,0.0295,0.0889,0.3333,1.078E-5,9.1959,0.0429,0.1667,0.0444,0.1667,6.641E-4,9.4714,0.0442,0.1618,0.0444,0.1667,5.751E-4,7.1113,0.0308,0.2103,0.0000,0.1667,2.033E-3,17.0004,0.1041,0.0792,0.0889,0.3333,5.19E-4
Smilax_species,45,2.5691,3.3619,500,0.9649,6,1.8651,0.9069,0.0672,10045,2.0980,1.5321,1.2248,0.1259,10.8399,42.1820,4.6307,0.0773,0.4089,4.1160,0.0721,1.0757,2.9815,7.2235,1.0498,1.4672,0.0000,1.7046,1.4780,0.0804,11.8459,0.3071,0.0300,0.0405,0.0311,0.1108,0.0245,0.7205,2.1169,0.4044,0.0000,6.6731,0.0372,1.0000,0.0052,0.5824,0.0000,0.0000,3.902E-2,5.0000,0.0193,0.2943,0.0444,0.1667,9.994E-3,10.0000,0.0431,0.1620,0.0889,0.1667,5.786E-4,2.9468,0.0121,0.3976,0.0000,0.1667,3.987E-2,11.6587,0.0535,0.1361,0.0889,0.1667,2.483E-4,13.7384,0.0708,0.1111,0.1111,0.1667,9.216E-5,25.2208,0.2043,0.0439,0.1111,0.1667,9.428E-7,9.7409,0.0412,0.1667,0.0889,0.1667,6.641E-4,25.2208,0.2043,0.0439,0.1111,0.1667,9.428E-7,2.9468,0.0121,0.3976,0.0000,0.1667,3.987E-2,17.6888,0.1073,0.0786,0.1111,0.1667,1.687E-5
Smilax_species,47,2.8210,3.6585,500,0.9810,4,-1.8987,0.5885,0.1196,10047,1.2969,0.4607,0.7451,0.1603,9.8657,45.6153,4.8650,0.0915,2.4473,5.1081,0.2652,0.9329,3.5272,7.0396,0.6927,1.1228,0.0825,1.2713,0.8161,0.2440,10.3263,0.4992,0.3749,0.3002,0.0214,0.1938,0.1935,0.5696,0.6962,0.1746,0.0000,6.4561,0.0295,1.0000,0.0039,0.5294,0.0000,0.2500,3.579E-1,5.0000,0.0163,0.2302,0.0213,0.7500,6.489E-1,10.0000,0.0438,0.1137,0.0638,0.7500,3.829E-1,2.9409,0.0095,0.3332,0.0000,0.7500,8.024E-1,23.1836,0.2130,0.0357,0.0851,1.0000,1E0,15.5480,0.1019,0.0638,0.0638,0.7500,2.318E-1,18.4620,0.1406,0.0501,0.0638,0.7500,1.857E-1,1.1925,0.0044,0.5000,0.0000,0.5000,6.876E-1,0.2751,0.0015,0.7057,0.0000,0.0000,2.48E-1,2.9409,0.0095,0.3332,0.0000,0.7500,8.024E-1,15.6376,0.1028,0.0633,0.0638,0.7500,2.302E-1
Smilax_species,46,2.6606,3.5471,500,0.9761,5,0.9789,0.8107,0.1404,10046,3.0803,0.5499,0.3663,1.9333,9.7053,37.3367,4.0789,0.1532,3.1278,3.8298,0.2229,1.4304,3.5556,7.4406,0.7897,0.7272,0.0000,1.6888,1.1409,0.1281,13.2344,0.1278,0.7180,0.0160,0.6152,0.2284,0.0154,1.6163,1.4904,0.4850,0.1675,6.6122,0.0349,1.0000,0.0051,0.5160,0.0000,0.2000,2.082E-1,5.0000,0.0209,0.2501,0.0217,0.2000,1.566E-2,10.0000,0.0474,0.1372,0.0870,0.2000,1.576E-3,3.0130,0.0128,0.3381,0.0000,0.2000,4.769E-2,32.1670,0.3426,0.0256,0.0870,0.6000,6.216E-3,14.6263,0.0883,0.0870,0.0870,0.2000,2.665E-4,32.1670,0.3426,0.0256,0.0870,0.6000,6.216E-3,6.7124,0.0294,0.2000,0.0435,0.2000,6.717E-3,15.2596,0.0932,0.0822,0.0870,0.2000,2.135E-4,3.0130,0.0128,0.3381,0.0000,0.2000,4.769E-2,16.4961,0.1064,0.0741,0.0870,0.4000,3.624E-3
Smilax_species,46,2.5348,3.4014,500,0.9703,5,1.6338,0.9068,0.0495,10046,1.9010,0.2805,0.8080,2.1361,9.9272,37.7606,5.6052,0.1846,1.5580,3.3309,1.6109,0.8231,3.5603,6.7703,0.8890,1.6557,0.0259,2.9231,1.6222,0.0330,12.7097,0.1457,0.0000,0.3219,0.0436,0.3110,0.3536,0.6839,1.1805,0.8446,0.0000,6.7123,0.0386,1.0000,0.0057,0.5588,0.0000,0.0000,5.45E-2,5.0000,0.0214,0.2868,0.0217,0.2000,2.606E-2,10.0000,0.0463,0.1613,0.0870,0.2000,2.945E-3,2.8525,0.0129,0.3898,0.0000,0.0000,9E-3,12.1013,0.0598,0.1303,0.0870,0.2000,1.291E-3,14.0134,0.0757,0.1087,0.1087,0.4000,1.084E-2,32.9855,0.3313,0.0270,0.1087,0.6000,6.892E-3,8.0039,0.0357,0.2000,0.0652,0.2000,6.717E-3,4.7512,0.0204,0.2963,0.0217,0.0000,2.285E-3,2.8525,0.0129,0.3898,0.0000,0.0000,9E-3,17.2304,0.1075,0.0818,0.1087,0.4000,4.828E-3
Smilax_species,46,2.5590,3.3694,500,0.9650,5,1.1231,0.9342,0.0229,10046,2.8902,2.0430,1.3131,0.2151,10.1832,38.4862,7.7959,0.0070,0.4383,4.9958,0.1409,1.2589,4.6012,4.9388,1.0657,2.1331,0.0000,1.0393,0.6914,0.0000,11.8356,0.3129,0.0000,0.0807,0.1993,0.8007,0.6863,0.6061,1.0542,0.1678,0.0192,6.6826,0.0374,1.0000,0.0055,0.5563,0.0000,0.0000,5.33E-2,5.0000,0.0207,0.2854,0.0435,0.0000,1.893E-3,10.0000,0.0448,0.1591,0.0870,0.0000,1.018E-4,2.5585,0.0116,0.4056,0.0000,0.0000,1.098E-2,13.4125,0.0674,0.1123,0.0870,0.4000,1.188E-2,13.7483,0.0708,0.1087,0.1087,0.4000,1.084E-2,28.0625,0.2638,0.0348,0.1087,0.6000,1.131E-2,11.4876,0.0541,0.1361,0.0870,0.2000,1.528E-3,11.4839,0.0540,0.1361,0.0870,0.0000,4.665E-5,2.5585,0.0116,0.4056,0.0000,0.0000,1.098E-2,17.1605,0.1018,0.0794,0.1087,0.4000,4.434E-3
Smilax_species,46,2.6254,3.4873,500,0.9710,5,1.4398,0.8043,0.1486,10046,1.6816,0.9756,0.0055,2.9569,9.5438,39.5256,6.6597,1.0615,3.1472,2.4728,0.3146,0.6479,2.3437,5.4886,0.6851,2.2276,0.0760,3.2220,0.5106,0.0290,13.4559,0.3902,0.0000,0.0000,0.2769,0.0770,0.0910,1.0661,0.4096,0.6582,0.0000,6.6340,0.0356,1.0000,0.0053,0.4996,0.0000,0.2000,1.87E-1,5.0000,0.0218,0.2427,0.0435,0.2000,1.398E-2,10.0000,0.0503,0.1318,0.0870,0.2000,1.349E-3,1.2497,0.0063,0.4673,0.0000,0.2000,1.492E-1,26.5312,0.2632,0.0354,0.0870,0.4000,4.217E-4,14.2068,0.0892,0.0870,0.0870,0.4000,5.756E-3,26.5312,0.2632,0.0354,0.0870,0.4000,4.217E-4,6.4458,0.0286,0.2000,0.0435,0.2000,6.717E-3,11.2474,0.0599,0.1155,0.0870,0.2000,8.067E-4,4.8074,0.0210,0.2493,0.0217,0.2000,1.545E-2,15.8120,0.1063,0.0757,0.0870,0.4000,3.853E-3
Smilax_species,46,2.5105,3.3314,500,0.9661,5,2.6750,0.9742,0.0139,10046,0.7712,2.4569,0.8648,0.6091,9.5458,39.4127,6.3065,0.3455,3.5239,6.6991,0.3062,1.0716,2.3098,3.5441,0.7081,1.7964,0.0000,3.6713,0.5977,0.0000,11.9589,0.1354,0.0000,0.0176,0.0226,0.3252,0.7510,1.0191,0.7222,0.5075,0.0000,6.7571,0.0405,1.0000,0.0057,0.5809,0.0000,0.0000,6.616E-2,5.0000,0.0213,0.2970,0.0217,0.0000,2.312E-3,10.0000,0.0473,0.1669,0.1087,0.0000,1.296E-4,2.9397,0.0133,0.3988,0.0000,0.0000,1.008E-2,8.4402,0.0383,0.1972,0.0870,0.0000,2.982E-4,14.3942,0.0804,0.1087,0.1087,0.0000,1.518E-5,28.4099,0.2651,0.0376,0.1087,0.2000,9.721E-6,17.4864,0.1092,0.0831,0.1087,0.0000,3.967E-6,17.4864,0.1092,0.0831,0.1087,0.0000,3.967E-6,2.9397,0.0133,0.3988,0.0000,0.0000,1.008E-2,17.1493,0.1058,0.0856,0.1087,0.0000,4.598E-6
Smilax_species,46,2.5114,3.3360,500,0.9659,5,2.4248,0.8419,0.1362,10046,1.7382,1.4915,0.6114,0.6492,7.2896,40.3443,5.6798,0.0623,2.7668,3.6314,0.6311,1.3611,2.1111,7.1070,1.4629,1.9570,0.0000,1.1128,0.7836,0.0687,14.2497,0.6549,0.0000,0.0531,0.0082,0.2335,0.3845,1.9956,1.0423,0.5184,0.0000,6.7501,0.0402,1.0000,0.0057,0.5690,0.0000,0.2000,2.855E-1,5.0000,0.0218,0.2896,0.0217,0.2000,2.701E-2,10.0000,0.0476,0.1604,0.1087,0.2000,2.882E-3,2.2149,0.0106,0.4402,0.0000,0.2000,1.216E-1,8.6132,0.0395,0.1863,0.0870,0.2000,5.13E-3,13.9994,0.0803,0.1087,0.1087,0.2000,6.373E-4,34.5594,0.3795,0.0259,0.1087,0.2000,2.197E-6,7.9903,0.0351,0.2000,0.0870,0.2000,6.717E-3,39.7918,0.4518,0.0196,0.1739,0.2000,7.278E-7,5.2854,0.0228,0.2789,0.0217,0.2000,2.351E-2,16.8497,0.1061,0.0850,0.1087,0.2000,2.434E-4
Smilax_species,46,2.4442,3.2741,500,0.9622,5,2.8508,0.9837,0.0054,10046,3.4967,1.0782,2.1277,1.1747,6.9170,38.3560,5.1938,0.2542,2.5749,3.8157,0.3301,1.0730,2.8368,6.7248,1.1448,2.2109,0.2597,4.2308,0.3754,0.0334,12.8776,0.0026,0.0000,0.0390,0.0000,0.3460,0.2209,0.5618,1.1971,0.5465,0.0000,6.7974,0.0422,1.0000,0.0060,0.5837,0.0000,0.0000,6.776E-2,5.0000,0.0225,0.3027,0.0435,0.0000,2.542E-3,10.0000,0.0473,0.1713,0.1087,0.0000,1.475E-4,1.8443,0.0095,0.4859,0.0000,0.0000,2.708E-2,9.5261,0.0449,0.1801,0.0870,0.0000,1.893E-4,14.7273,0.0827,0.1087,0.1087,0.0000,1.518E-5,29.7419,0.2960,0.0352,0.1087,0.0000,5.433E-8,32.5471,0.3465,0.0301,0.1304,0.0000,2.455E-8,32.5471,0.3465,0.0301,0.1304,0.0000,2.455E-8,4.6417,0.0210,0.3171,0.0217,0.0000,3.208E-3,17.0163,0.1065,0.0891,0.1087,0.0000,5.612E-6
