Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Sphaeroderus_multicarinatus,101,4.1376,4.4796,500,0.9950,12,4.5316,0.9952,0.0009,10101,2.7782,2.9774,5.4555,4.5940,0.9429,2.8244,0.1240,2.6231,0.4329,8.9859,0.0031,0.1547,11.8809,0.2710,0.0000,5.0615,0.0535,2.7837,0.3159,8.5237,0.7318,5.3354,0.0000,0.0000,4.0152,0.2361,11.9365,15.4960,0.6950,0.7327,0.0350,5.1262,0.0075,1.0000,0.0016,0.1291,0.0000,0.0000,2.143E-11,5.0000,0.0309,0.0186,0.0000,0.0000,1.728E-21,10.0000,0.2901,0.0101,0.0000,0.0000,1.124E-24,10.4494,0.4049,0.0100,0.0000,0.0000,9.988E-25,17.8653,0.5811,0.0088,0.0990,0.0000,2.189E-25,11.0300,0.4943,0.0099,0.0099,0.0000,8.864E-25,10.4494,0.4049,0.0100,0.0000,0.0000,9.988E-25,27.3488,0.5921,0.0077,0.1188,0.0000,4.495E-26,27.3488,0.5921,0.0077,0.1188,0.0000,4.495E-26,2.5131,0.0066,0.0495,0.0000,0.0000,2.164E-16,5.4542,0.0418,0.0166,0.0000,0.0000,4.481E-22
Sphaeroderus_multicarinatus,101,4.1562,4.4916,500,0.9950,12,4.4997,0.9951,0.0010,10101,5.5367,4.4467,0.1784,6.1026,0.5989,1.7686,0.2007,0.8174,0.4631,12.2140,0.0024,0.1817,14.7835,0.0181,0.2118,3.0898,0.0647,3.0857,0.7311,11.0653,0.5078,6.5444,0.0000,0.0000,3.2800,0.2684,11.5490,10.8168,0.7662,0.7061,0.0000,5.0912,0.0073,1.0000,0.0016,0.1164,0.0000,0.0000,6.202E-12,5.0000,0.0357,0.0166,0.0000,0.0000,4.481E-22,10.0000,0.4998,0.0099,0.0099,0.0000,8.864E-25,9.6793,0.3867,0.0100,0.0000,0.0000,9.988E-25,25.2184,0.5888,0.0079,0.0990,0.1667,6.317E-20,10.2938,0.4998,0.0099,0.0099,0.0000,8.864E-25,9.6793,0.3867,0.0100,0.0000,0.0000,9.988E-25,14.7473,0.5118,0.0091,0.0396,0.0000,3.259E-25,14.7473,0.5118,0.0091,0.0396,0.0000,3.259E-25,2.4137,0.0064,0.0455,0.0000,0.0000,7.956E-17,5.1612,0.0387,0.0160,0.0000,0.0000,2.896E-22
Sphaeroderus_multicarinatus,101,4.1454,4.4905,500,0.9950,12,4.4919,0.9945,0.0011,10101,12.6175,1.5696,2.3107,0.2222,0.4805,3.8419,0.7008,1.1014,0.6476,13.1645,0.0020,1.6149,11.4409,0.0226,0.2175,2.9622,0.0324,2.3976,0.5469,10.5149,0.1670,5.4998,0.0000,0.0000,3.8372,0.2326,11.4383,11.3122,0.6006,0.5035,0.0000,5.0844,0.0073,1.0000,0.0016,0.1141,0.0000,0.0000,4.893E-12,5.0000,0.0387,0.0163,0.0000,0.0000,3.609E-22,10.0000,0.4975,0.0099,0.0099,0.0000,8.864E-25,9.5930,0.4047,0.0100,0.0000,0.0000,9.988E-25,16.1764,0.5823,0.0090,0.0990,0.1667,2.287E-19,10.2061,0.4975,0.0099,0.0099,0.0000,8.864E-25,9.5930,0.4047,0.0100,0.0000,0.0000,9.988E-25,12.6586,0.4975,0.0094,0.0099,0.0000,4.79E-25,12.6586,0.4975,0.0094,0.0099,0.0000,4.79E-25,2.3588,0.0063,0.0457,0.0000,0.0000,8.382E-17,5.1286,0.0418,0.0159,0.0000,0.0000,2.689E-22
Sphaeroderus_multicarinatus,102,4.1262,4.4730,500,0.9950,11,4.5272,0.9958,0.0009,10102,9.3323,3.0796,2.4776,0.1573,0.4918,4.0588,1.1104,0.6533,0.1224,11.6828,0.0051,0.1263,10.1462,0.2253,0.0000,3.6448,0.0000,2.5965,0.8525,10.1239,0.6452,5.8323,0.0379,0.0000,4.0490,0.0880,12.2551,13.7967,0.7809,1.5799,0.0481,5.1199,0.0075,1.0000,0.0017,0.1188,0.0000,0.0000,6.645E-11,5.0000,0.0359,0.0176,0.0000,0.0000,5.083E-20,10.0000,0.3820,0.0101,0.0000,0.0000,1.112E-22,10.2391,0.3820,0.0100,0.0000,0.0000,9.978E-23,16.9949,0.5654,0.0091,0.0980,0.0000,3.574E-23,10.8529,0.5066,0.0100,0.0098,0.0000,9.978E-23,10.2391,0.3820,0.0100,0.0000,0.0000,9.978E-23,27.2592,0.5907,0.0078,0.1176,0.0000,6.69E-24,27.2592,0.5907,0.0078,0.1176,0.0000,6.69E-24,2.4054,0.0066,0.0478,0.0000,0.0000,2.985E-15,5.2913,0.0431,0.0165,0.0000,0.0000,2.52E-20
Sphaeroderus_multicarinatus,102,4.1541,4.4790,500,0.9950,11,4.4350,0.9948,0.0011,10102,12.5596,4.9673,2.1148,0.1417,0.5902,4.9561,0.0628,0.6135,0.1084,7.6528,0.0007,0.9936,15.5270,0.0623,0.0000,2.1694,0.0521,4.9286,0.7600,13.7681,0.4026,2.7339,0.0050,0.2084,4.6295,0.0791,11.4149,7.3851,0.3609,0.7401,0.0113,5.1015,0.0074,1.0000,0.0017,0.1104,0.0000,0.0000,2.962E-11,5.0000,0.0382,0.0167,0.0000,0.0000,2.873E-20,10.0000,0.4501,0.0100,0.0098,0.0000,9.978E-23,9.8107,0.3962,0.0100,0.0000,0.0000,9.978E-23,24.2062,0.5866,0.0081,0.0980,0.1818,8.292E-18,10.3090,0.4501,0.0100,0.0098,0.0000,9.978E-23,9.8107,0.3962,0.0100,0.0000,0.0000,9.978E-23,9.8107,0.3962,0.0100,0.0000,0.0000,9.978E-23,9.8107,0.3962,0.0100,0.0000,0.0000,9.978E-23,2.2696,0.0064,0.0478,0.0000,0.0000,2.985E-15,5.1305,0.0417,0.0162,0.0000,0.0000,2.064E-20
Sphaeroderus_multicarinatus,102,4.1331,4.4759,500,0.9950,11,4.5377,0.9971,0.0007,10102,12.9781,1.8026,2.1510,0.0929,0.5603,3.0152,0.1098,0.8157,0.3638,6.8440,0.0000,0.1840,15.5701,0.0483,0.0000,3.1674,0.0682,3.6729,1.0448,15.3703,0.1683,6.2567,0.0000,0.0000,8.7279,0.2082,6.8001,8.0942,0.7009,1.1845,0.0000,5.1285,0.0076,1.0000,0.0015,0.1292,0.0000,0.0000,1.672E-10,5.0000,0.0305,0.0183,0.0000,0.0000,7.77E-20,10.0000,0.4258,0.0101,0.0000,0.0000,1.112E-22,10.2406,0.4258,0.0101,0.0000,0.0000,1.112E-22,17.6474,0.5850,0.0089,0.0980,0.0000,2.807E-23,10.8419,0.5037,0.0100,0.0098,0.0000,9.978E-23,10.2406,0.4258,0.0101,0.0000,0.0000,1.112E-22,28.0945,0.5950,0.0077,0.1176,0.0000,5.815E-24,28.0945,0.5950,0.0077,0.1176,0.0000,5.815E-24,2.5437,0.0066,0.0488,0.0000,0.0000,3.74E-15,5.3862,0.0419,0.0166,0.0000,0.0000,2.691E-20
Sphaeroderus_multicarinatus,102,4.1383,4.4718,500,0.9950,11,4.4877,0.9950,0.0010,10102,7.8142,2.5196,1.8015,2.4634,0.6068,1.1231,0.0897,0.6630,0.3496,12.1604,0.0083,0.1883,15.5366,0.0419,0.0301,4.5135,0.1005,2.1584,0.7529,12.9684,0.4534,6.3049,0.0000,0.0000,2.9707,0.1479,11.8026,11.0292,0.6367,0.7645,0.0000,5.1187,0.0075,1.0000,0.0016,0.1225,0.0000,0.0000,9.364E-11,5.0000,0.0326,0.0177,0.0000,0.0000,5.406E-20,10.0000,0.3932,0.0101,0.0000,0.0000,1.112E-22,10.1591,0.3932,0.0100,0.0000,0.0000,9.978E-23,16.4506,0.5735,0.0090,0.0882,0.0909,3.839E-20,10.7323,0.4893,0.0100,0.0098,0.0000,9.978E-23,10.1591,0.3932,0.0100,0.0000,0.0000,9.978E-23,13.0251,0.4893,0.0095,0.0098,0.0000,5.708E-23,13.0251,0.4893,0.0095,0.0098,0.0000,5.708E-23,2.4363,0.0066,0.0485,0.0000,0.0000,3.497E-15,5.2916,0.0408,0.0165,0.0000,0.0000,2.52E-20
Sphaeroderus_multicarinatus,102,4.1239,4.4703,500,0.9950,11,4.4846,0.9953,0.0011,10102,6.1433,2.9815,2.1257,3.1383,0.7187,5.2710,0.3639,0.8654,0.4549,7.9346,0.0000,0.2899,13.1684,0.0871,0.1586,5.1034,0.0000,2.0429,0.7027,12.9997,0.4821,4.5072,0.0102,0.0000,3.0074,0.2392,12.2022,14.1334,0.4798,0.3390,0.0496,5.1318,0.0076,1.0000,0.0016,0.1287,0.0000,0.0000,1.603E-10,5.0000,0.0311,0.0188,0.0000,0.0000,1.042E-19,10.0000,0.4003,0.0101,0.0000,0.0000,1.112E-22,10.3811,0.4003,0.0100,0.0000,0.0000,9.978E-23,16.8451,0.5899,0.0090,0.0882,0.0909,3.839E-20,10.9684,0.4986,0.0100,0.0098,0.0000,9.978E-23,10.3811,0.4003,0.0100,0.0000,0.0000,9.978E-23,13.3175,0.4986,0.0095,0.0098,0.0000,5.708E-23,13.3175,0.4986,0.0095,0.0098,0.0000,5.708E-23,2.4652,0.0066,0.0502,0.0000,0.0000,5.089E-15,5.4796,0.0414,0.0167,0.0000,0.0000,2.873E-20
Sphaeroderus_multicarinatus,102,4.1286,4.4711,500,0.9950,11,4.4746,0.9945,0.0010,10102,5.8814,6.1174,2.8388,0.0209,1.8262,1.3208,0.3740,3.8062,0.4231,9.1990,0.0028,0.1675,11.0900,0.0730,0.0000,5.1518,0.0399,2.1288,0.7369,12.0472,0.4423,3.8606,0.0000,0.0000,3.8396,0.1477,11.8556,15.4295,0.2671,0.8651,0.0470,5.1127,0.0074,1.0000,0.0015,0.1320,0.0000,0.0000,2.112E-10,5.0000,0.0313,0.0176,0.0000,0.0000,5.083E-20,10.0000,0.4579,0.0100,0.0098,0.0000,9.978E-23,9.4738,0.3533,0.0102,0.0000,0.0000,1.238E-22,15.0592,0.5575,0.0092,0.0882,0.0909,4.77E-20,10.3315,0.4579,0.0100,0.0098,0.0000,9.978E-23,9.4738,0.3533,0.0102,0.0000,0.0000,1.238E-22,10.3315,0.4579,0.0100,0.0098,0.0000,9.978E-23,10.3315,0.4579,0.0100,0.0098,0.0000,9.978E-23,2.5899,0.0065,0.0475,0.0000,0.0000,2.787E-15,5.2737,0.0382,0.0164,0.0000,0.0000,2.359E-20
Sphaeroderus_multicarinatus,102,4.1534,4.4844,500,0.9949,11,3.7173,0.9899,0.0037,10102,9.1356,3.3453,0.0055,2.2277,0.4499,1.5117,2.0780,1.6179,0.1755,13.8030,0.0000,0.1636,12.0387,0.0471,0.0000,3.7889,0.3736,6.3591,0.0844,11.3646,2.1991,3.0130,0.0007,0.1081,1.1586,0.0632,11.4044,8.5268,1.4608,3.4669,0.0281,5.0857,0.0072,1.0000,0.0015,0.1250,0.0000,0.0000,1.167E-10,5.0000,0.0340,0.0171,0.0000,0.0909,2.349E-17,10.0000,0.5732,0.0094,0.0686,0.2727,9.842E-15,8.2283,0.2084,0.0103,0.0000,0.0909,1.457E-19,15.2927,0.5895,0.0092,0.0882,0.2727,8.306E-15,9.3816,0.5209,0.0100,0.0098,0.2727,1.604E-14,8.2283,0.2084,0.0103,0.0000,0.0909,1.457E-19,2.4906,0.0063,0.0475,0.0000,0.0909,6.174E-13,2.4881,0.0062,0.0475,0.0000,0.0000,2.787E-15,2.4881,0.0062,0.0475,0.0000,0.0000,2.787E-15,5.2817,0.0373,0.0159,0.0000,0.0909,1.146E-17
